ID;Perioden;ObligatiesAlgemeen_1;StaatsleningenAlgemeen_2;StaatsleningenVasteLooptijd_3;StaatsleningenVasteLooptijd03Jaar_4;StaatsleningenVasteLooptijd35Jaar_5;StaatsleningenVasteLooptijd58Jaar_6;StaatsleningenVasteLooptijd8Jaar_7;GewoneObligaties_8;AchtergesteldeObligaties_9
79;1990 augustus;;;4.2;;;;;;
80;1990 september;;;4.14;;;;;;
81;1990 oktober;;;4.19;;;;;;
82;1990 november;;;4.17;;;;;;
83;1990 december;;;4.19;;;;;;
84;1991 januari;;;4.2;;;;;;
85;1991 februari;;;4.28;;;;;;
86;1991 maart;;;4.26;;;;;;
87;1991 april;;;4.3;;;;;;
88;1991 mei;;;4.28;;;;;;
89;1991 juni;;;4.55;;;;;;
90;1991 juli;;;4.5;;;;;;
91;1991 augustus;;;4.46;;;;;;
92;1991 september;;;4.4;;;;;;
93;1991 oktober;;;4.52;;;;;;
94;1991 november;;;4.43;;;;;;
95;1991 december;;;4.43;;;;;;
96;1992 januari;;;4.46;1.71;3.32;5.43;6.64;;
97;1992 februari;;;4.67;1.66;3.38;5.53;6.88;;
98;1992 maart;;;4.59;1.59;3.31;5.46;6.8;;
99;1992 april;;;4.64;1.61;3.39;5.38;6.85;;
100;1992 mei;;;4.62;1.6;3.45;5.43;6.98;;
101;1992 juni;;;4.67;1.54;3.45;5.38;6.98;;
102;1992 juli;;;4.6;1.49;3.46;5.36;6.95;;
103;1992 augustus;;;4.54;1.41;3.43;5.31;6.9;;
104;1992 september;;;4.66;1.33;3.36;5.26;7.12;;
105;1992 oktober;;;4.71;1.27;3.53;5.4;7.25;;
106;1992 november;;;4.89;1.5;3.47;5.35;7.2;;
107;1992 december;;;4.86;1.43;3.44;5.35;7.22;;
108;1993 januari;;;4.96;1.39;3.36;5.38;7.56;;
109;1993 februari;;;5.14;1.35;3.32;5.37;7.74;;
110;1993 maart;;;5.1;1.39;3.3;5.39;7.84;;
111;1993 april;;;5.13;1.41;3.36;5.3;7.79;;
112;1993 mei;;;5.11;1.42;3.35;5.3;7.71;;
113;1993 juni;;;5.14;1.34;3.31;5.24;7.84;;
114;1993 juli;;;5.12;1.33;3.72;5.23;7.76;;
115;1993 augustus;;;5.15;1.34;3.81;5.17;7.85;;
116;1993 september;;;5.12;1.26;3.73;5.23;8.22;;
117;1993 oktober;;;5.2;1.22;3.82;5.23;8.34;;
118;1993 november;;;5.19;1.22;3.74;5.18;8.24;;
119;1993 december;;;5.15;1.15;3.67;5.11;8.22;;
120;1994 januari;;;5.26;1.09;3.67;5.1;8.26;;
121;1994 februari;;;5.3;1.28;3.79;5.17;8.46;;
122;1994 maart;;;5.31;1.27;3.76;5.15;8.28;;
123;1994 april;;;5.22;1.21;3.68;5.06;8.2;;
124;1994 mei;;;5.12;1.17;3.65;5.04;8.0;;
125;1994 juni;;;5.14;1.14;3.69;5.14;8.31;;
126;1994 juli;;;5.17;1.15;3.71;5.12;8.27;;
127;1994 augustus;;;5.04;1.07;3.66;5.05;8.11;;
128;1994 september;;;4.99;0.99;3.57;5.01;8.09;;
129;1994 oktober;;;5.03;1.19;3.67;4.94;7.95;;
130;1994 november;;;5.1;1.14;3.63;4.93;7.91;;
131;1994 december;;;5.03;1.01;3.56;4.84;7.77;;
132;1995 januari;;;5.2;1.11;3.55;4.84;7.83;;
133;1995 februari;;;5.2;1.04;3.55;5.04;8.1;;
134;1995 maart;;;5.27;1.04;3.48;5.0;7.91;;
135;1995 april;;;5.44;1.17;3.4;5.06;8.16;;
136;1995 mei;;;5.49;1.24;3.48;5.16;8.17;;
137;1995 juni;;;5.49;1.28;3.42;5.12;8.03;;
138;1995 juli;;;5.48;1.97;3.61;5.1;7.99;;
139;1995 augustus;;;5.4;1.86;3.56;5.05;7.93;;
140;1995 september;;;5.36;1.78;3.48;5.03;7.9;;
141;1995 oktober;;;5.36;1.86;3.51;5.01;7.93;;
142;1995 november;;;5.41;1.78;3.45;4.97;7.9;;
143;1995 december;;;5.35;1.72;3.44;4.94;7.84;;
144;1996 januari;;;5.39;1.74;3.49;5.26;8.05;;
145;1996 februari;;;5.3;1.77;3.47;5.24;7.93;;
146;1996 maart;;;5.19;1.81;3.57;5.34;7.92;;
147;1996 april;;;5.27;1.85;3.49;5.31;7.88;;
148;1996 mei;;;5.21;1.89;3.49;5.21;7.77;;
149;1996 juni;;;5.18;1.92;3.49;5.2;7.77;;
150;1996 juli;;;5.15;1.92;3.46;5.11;7.72;;
151;1996 augustus;;;5.12;2.0;3.42;5.03;7.62;;
152;1996 september;;;5.12;1.91;3.5;5.2;7.65;;
153;1996 oktober;;;5.08;1.86;3.44;5.35;7.83;;
154;1996 november;;;5.06;1.85;3.41;5.28;7.84;;
155;1996 december;;;4.97;1.78;3.34;5.19;7.74;;
156;1997 januari;;;4.97;1.76;3.34;5.17;7.82;;
157;1997 februari;;;5.08;1.84;3.46;5.31;7.86;;
158;1997 maart;;;4.98;1.77;3.41;5.37;7.94;;
159;1997 april;;;4.91;1.69;3.32;5.33;7.89;;
160;1997 mei;;;4.84;1.77;3.4;5.24;7.79;;
161;1997 juni;;;4.86;1.7;3.48;5.49;7.99;;
162;1997 juli;;;4.83;1.69;3.44;5.41;7.95;;
163;1997 augustus;;;4.73;1.63;3.37;5.33;7.83;;
164;1997 september;;;4.71;1.54;3.44;5.34;7.86;;
165;1997 oktober;;;4.65;1.53;3.41;5.32;7.77;;
166;1997 november;;;4.61;1.46;3.34;5.38;7.91;;
167;1997 december;;;4.56;1.46;3.31;5.3;7.85;;
168;1998 januari;;;4.64;1.52;3.44;5.47;7.82;;
169;1998 februari;;;4.56;1.45;3.59;5.56;7.86;;
170;1998 maart;;;4.6;1.48;3.66;5.52;7.94;;
171;1998 april;;;4.52;1.4;3.7;5.61;7.89;;
172;1998 mei;;;4.56;1.34;3.62;5.54;7.79;;
173;1998 juni;;;4.52;1.26;3.61;5.59;7.99;;
174;1998 juli;;;4.76;1.48;3.52;5.51;7.95;;
175;1998 augustus;;;4.73;1.41;3.45;5.44;7.83;;
176;1998 september;;;5.01;1.5;3.59;5.37;7.86;;
177;1998 oktober;;;4.95;1.49;3.51;5.34;7.77;;
178;1998 november;;;4.97;1.42;3.43;5.29;7.91;;
179;1998 december;;;5.0;1.34;3.34;5.21;7.85;;
180;1999 januari;;;5.06;1.32;3.5;5.4;8.28;;
181;1999 februari;;;4.98;1.51;3.59;5.6;8.42;;
182;1999 maart;;;4.95;1.48;3.49;5.55;8.63;;
183;1999 april;;;4.92;1.41;3.46;5.48;8.57;;
184;1999 mei;;;4.81;1.44;3.37;5.38;8.74;;
185;1999 juni;;;4.78;1.58;3.43;5.35;9.13;;
186;1999 juli;;;4.86;1.58;3.35;5.26;9.08;;
187;1999 augustus;;;4.79;1.53;3.26;5.17;9.08;;
188;1999 september;;;4.76;1.63;3.38;5.21;9.25;;
189;1999 oktober;;;4.85;1.53;3.57;5.27;9.05;;
190;1999 november;;;4.81;1.52;3.48;5.17;9.06;;
191;1999 december;;;4.7;1.44;3.4;5.08;9.23;;
192;2000 januari;;;4.72;1.4;3.35;5.06;9.42;;
193;2000 februari;;;4.75;1.5;3.34;5.08;10.31;;
194;2000 maart;;;4.73;1.43;3.57;5.38;10.19;;
195;2000 april;;;4.65;1.61;3.88;5.3;10.22;;
196;2000 mei;;;4.74;1.68;3.79;5.21;10.01;;
197;2000 juni;;;4.66;1.6;3.74;5.19;9.8;;
198;2000 juli;;;4.8;1.55;3.65;5.49;9.5;;
199;2000 augustus;4.64;4.71;4.71;1.48;3.57;5.41;9.34;;
200;2000 september;4.61;4.69;4.69;1.42;3.49;5.35;9.72;;
201;2000 oktober;4.6;4.68;4.68;1.37;3.46;5.28;9.94;;
202;2000 november;4.58;4.67;4.67;1.37;3.4;5.23;9.76;;
203;2000 december;4.57;4.62;4.62;1.29;3.33;5.16;9.63;;
204;2001 januari;4.63;4.73;4.73;1.53;3.8;5.49;10.03;4.58;4.58
205;2001 februari;4.61;4.71;4.71;1.47;3.73;5.57;9.96;4.54;4.54
206;2001 maart;4.69;4.83;4.83;1.5;3.74;5.49;9.78;4.54;4.54
207;2001 april;4.66;4.79;4.79;1.44;3.66;5.41;9.58;4.54;4.54
208;2001 mei;4.57;4.63;4.63;1.38;3.56;5.31;9.41;4.51;4.51
209;2001 juni;4.54;4.6;4.6;1.31;3.5;5.26;9.29;4.46;4.46
210;2001 juli;4.52;4.61;4.61;1.22;3.42;5.77;10.27;4.41;4.41
211;2001 augustus;4.45;4.54;4.54;1.14;3.33;5.69;10.2;4.36;4.36
212;2001 september;4.55;4.71;4.71;1.19;3.26;5.62;9.84;4.34;4.34
213;2001 oktober;4.54;4.7;4.7;1.32;3.35;5.55;9.94;4.33;4.33
214;2001 november;4.49;4.63;4.63;1.24;3.28;5.46;9.73;4.27;4.27
215;2001 december;4.39;4.5;4.5;1.16;3.19;5.37;9.56;4.21;4.21
216;2002 januari;4.41;4.5;4.5;1.07;3.19;5.28;9.76;4.22;5.57
217;2002 februari;4.65;4.91;4.91;1.32;3.58;5.84;9.56;4.19;5.59
218;2002 maart;4.56;4.81;4.81;1.51;3.9;5.75;9.4;4.13;5.59
219;2002 april;4.55;4.81;4.81;1.44;3.82;5.72;9.37;4.09;5.49
220;2002 mei;4.45;4.66;4.66;1.36;3.59;5.63;9.29;4.05;5.45
221;2002 juni;4.46;4.67;4.67;1.33;3.54;5.56;9.3;4.06;5.43
222;2002 juli;4.47;4.72;4.72;1.4;3.6;6.0;10.12;4.02;5.46
223;2002 augustus;4.43;4.68;4.68;1.32;3.52;5.92;10.12;3.95;5.39
224;2002 september;4.51;4.81;4.81;1.45;3.47;5.9;10.09;4.0;5.33
225;2002 oktober;4.45;4.74;4.74;1.37;3.38;5.8;9.78;3.94;5.37
226;2002 november;4.38;4.65;4.65;1.35;3.32;5.73;9.74;3.92;5.32
227;2002 december;4.37;4.62;4.62;1.27;3.24;5.65;9.74;3.91;5.26
228;2003 januari;4.41;4.7;4.7;1.45;3.55;5.57;9.85;3.89;5.23
229;2003 februari;4.55;4.95;4.95;1.61;3.59;5.5;9.78;3.94;5.24
230;2003 maart;4.54;4.92;4.92;1.55;3.5;5.41;9.59;3.97;5.16
231;2003 april;4.65;5.13;5.13;1.76;3.38;5.34;9.49;3.99;5.12
232;2003 mei;4.67;5.17;5.17;1.68;3.3;5.27;9.46;3.96;5.1
233;2003 juni;4.61;5.03;5.03;1.61;3.19;5.19;9.34;3.94;5.06
234;2003 juli;4.6;5.04;5.04;1.73;3.77;6.0;10.18;3.87;5.0
235;2003 augustus;4.54;4.97;4.97;1.65;3.69;5.92;10.13;3.83;4.92
236;2003 september;4.47;4.88;4.88;1.61;3.62;5.84;10.07;3.77;4.9
237;2003 oktober;4.38;4.76;4.76;1.53;3.53;5.71;9.92;3.72;4.82
238;2003 november;4.35;4.71;4.71;1.45;3.45;5.63;9.72;3.73;4.75
239;2003 december;4.31;4.65;4.65;1.37;3.36;5.54;9.67;3.71;4.73
