ID;TypeGefailleerde;Leeftijden;Perioden;UitgesprokenFaillissementen_1
91;Natuurlijke personen;Totaal;2018 juni;89
92;Natuurlijke personen;Totaal;2018 2e kwartaal;265
93;Natuurlijke personen;Totaal;2018 juli;84
94;Natuurlijke personen;Totaal;2018 augustus;84
95;Natuurlijke personen;Totaal;2018 september;97
96;Natuurlijke personen;Totaal;2018 3e kwartaal;265
97;Natuurlijke personen;Totaal;2018 oktober;94
98;Natuurlijke personen;Totaal;2018 november;87
99;Natuurlijke personen;Totaal;2018 december;70
100;Natuurlijke personen;Totaal;2018 4e kwartaal;251
101;Natuurlijke personen;Totaal;2018;1081
102;Natuurlijke personen;Totaal;2019 januari;121
103;Natuurlijke personen;Totaal;2019 februari;108
104;Natuurlijke personen;Totaal;2019 maart;98
105;Natuurlijke personen;Totaal;2019 1e kwartaal;327
106;Natuurlijke personen;Totaal;2019 april;103
107;Natuurlijke personen;Totaal;2019 mei;77
108;Natuurlijke personen;Totaal;2019 juni;91
109;Natuurlijke personen;Totaal;2019 2e kwartaal;271
110;Natuurlijke personen;Totaal;2019 juli;98
111;Natuurlijke personen;Totaal;2019 augustus;86
112;Natuurlijke personen;Totaal;2019 september;102
113;Natuurlijke personen;Totaal;2019 3e kwartaal;286
114;Natuurlijke personen;Totaal;2019 oktober;104
115;Natuurlijke personen;Totaal;2019 november;96
116;Natuurlijke personen;Totaal;2019 december;86
117;Natuurlijke personen;Totaal;2019 4e kwartaal;286
118;Natuurlijke personen;Totaal;2019;1170
119;Natuurlijke personen;Totaal;2020 januari;91
120;Natuurlijke personen;Totaal;2020 februari;116
121;Natuurlijke personen;Totaal;2020 maart;75
122;Natuurlijke personen;Totaal;2020 1e kwartaal;282
123;Natuurlijke personen;Totaal;2020 april;76
124;Natuurlijke personen;Totaal;2020 mei;102
125;Natuurlijke personen;Totaal;2020 juni;86
126;Natuurlijke personen;Totaal;2020 2e kwartaal;264
127;Natuurlijke personen;Totaal;2020 juli;59
128;Natuurlijke personen;Totaal;2020 augustus;45
129;Natuurlijke personen;Totaal;2020 september;79
130;Natuurlijke personen;Totaal;2020 3e kwartaal;183
131;Natuurlijke personen;Totaal;2020 oktober;60
132;Natuurlijke personen;Totaal;2020 november;64
133;Natuurlijke personen;Totaal;2020 december;76
134;Natuurlijke personen;Totaal;2020 4e kwartaal;200
135;Natuurlijke personen;Totaal;2020;929
136;Natuurlijke personen;Totaal;2021 januari;62
137;Natuurlijke personen;Totaal;2021 februari;55
138;Natuurlijke personen;Totaal;2021 maart;58
139;Natuurlijke personen;Totaal;2021 1e kwartaal;175
140;Natuurlijke personen;Totaal;2021 april;63
141;Natuurlijke personen;Totaal;2021 mei;52
142;Natuurlijke personen;Totaal;2021 juni;47
143;Natuurlijke personen;Totaal;2021 2e kwartaal;162
144;Natuurlijke personen;Totaal;2021 juli;40
145;Natuurlijke personen;Totaal;2021 augustus;41
146;Natuurlijke personen;Totaal;2021 september;49
147;Natuurlijke personen;Totaal;2021 3e kwartaal;130
148;Natuurlijke personen;Totaal;2021 oktober;40
149;Natuurlijke personen;Totaal;2021 november;49
150;Natuurlijke personen;Totaal;2021 december;36
151;Natuurlijke personen;Totaal;2021 4e kwartaal;125
152;Natuurlijke personen;Totaal;2021;592
153;Natuurlijke personen;Totaal;2022 januari;31
154;Natuurlijke personen;Totaal;2022 februari;45
155;Natuurlijke personen;Totaal;2022 maart;39
156;Natuurlijke personen;Totaal;2022 1e kwartaal;115
157;Natuurlijke personen;Totaal;2022 april;45
158;Natuurlijke personen;Totaal;2022 mei;64
159;Natuurlijke personen;Totaal;2022 juni;39
160;Natuurlijke personen;Totaal;2022 2e kwartaal;148
161;Natuurlijke personen;Totaal;2022 juli;43
162;Natuurlijke personen;Totaal;2022 augustus;46
163;Natuurlijke personen;Totaal;2022 september;38
164;Natuurlijke personen;Totaal;2022 3e kwartaal;127
165;Natuurlijke personen;Totaal;2022 oktober;60
166;Natuurlijke personen;Totaal;2022 november;75
167;Natuurlijke personen;Totaal;2022 december;53
168;Natuurlijke personen;Totaal;2022 4e kwartaal;188
169;Natuurlijke personen;Totaal;2022;578
170;Natuurlijke personen;Totaal;2023 januari;58
171;Natuurlijke personen;Totaal;2023 februari;61
172;Natuurlijke personen;Totaal;2023 maart;58
173;Natuurlijke personen;Totaal;2023 1e kwartaal;177
174;Natuurlijke personen;Totaal;2023 april;52
175;Natuurlijke personen;Totaal;2023 mei;69
176;Natuurlijke personen;Totaal;2023 juni;52
177;Natuurlijke personen;Totaal;2023 2e kwartaal;173
178;Natuurlijke personen;Totaal;2023 juli;60
179;Natuurlijke personen;Totaal;2023 augustus;68
180;Natuurlijke personen;Totaal;2023 september;58
181;Natuurlijke personen;Totaal;2023 3e kwartaal;186
182;Natuurlijke personen;Totaal;2023 oktober;74
183;Natuurlijke personen;Totaal;2023 november;56
184;Natuurlijke personen;Totaal;2023 december;62
185;Natuurlijke personen;Totaal;2023 4e kwartaal;192
186;Natuurlijke personen;Totaal;2023;728
187;Natuurlijke personen;Totaal;2024 januari;111
188;Natuurlijke personen;Totaal;2024 februari;59
189;Natuurlijke personen;Totaal;2024 maart;73
190;Natuurlijke personen;Totaal;2024 1e kwartaal;243
191;Natuurlijke personen;Totaal;2024 april;74
192;Natuurlijke personen;Totaal;2024 mei;55
193;Natuurlijke personen;Totaal;2024 juni;62
194;Natuurlijke personen;Totaal;2024 2e kwartaal;191
195;Natuurlijke personen;Totaal;2024 juli;96
196;Natuurlijke personen;Totaal;2024 augustus;61
197;Natuurlijke personen;Totaal;2024 september;78
198;Natuurlijke personen;Totaal;2024 3e kwartaal;235
199;Natuurlijke personen;Totaal;2024 oktober;78
200;Natuurlijke personen;Totaal;2024 november;62
201;Natuurlijke personen;Totaal;2024 december;68
202;Natuurlijke personen;Totaal;2024 4e kwartaal;208
203;Natuurlijke personen;Totaal;2024;877
204;Natuurlijke personen;Totaal;2025 januari;91
205;Natuurlijke personen;Totaal;2025 februari;58
206;Natuurlijke personen;Totaal;2025 maart;72
207;Natuurlijke personen;Totaal;2025 1e kwartaal;221
208;Natuurlijke personen;Jonger dan 25 jaar;2013 januari;11
209;Natuurlijke personen;Jonger dan 25 jaar;2013 februari;2
210;Natuurlijke personen;Jonger dan 25 jaar;2013 maart;8
211;Natuurlijke personen;Jonger dan 25 jaar;2013 1e kwartaal;21
212;Natuurlijke personen;Jonger dan 25 jaar;2013 april;10
213;Natuurlijke personen;Jonger dan 25 jaar;2013 mei;10
214;Natuurlijke personen;Jonger dan 25 jaar;2013 juni;10
215;Natuurlijke personen;Jonger dan 25 jaar;2013 2e kwartaal;30
216;Natuurlijke personen;Jonger dan 25 jaar;2013 juli;7
217;Natuurlijke personen;Jonger dan 25 jaar;2013 augustus;7
218;Natuurlijke personen;Jonger dan 25 jaar;2013 september;7
219;Natuurlijke personen;Jonger dan 25 jaar;2013 3e kwartaal;21
220;Natuurlijke personen;Jonger dan 25 jaar;2013 oktober;9
221;Natuurlijke personen;Jonger dan 25 jaar;2013 november;11
222;Natuurlijke personen;Jonger dan 25 jaar;2013 december;8
223;Natuurlijke personen;Jonger dan 25 jaar;2013 4e kwartaal;28
224;Natuurlijke personen;Jonger dan 25 jaar;2013;100
225;Natuurlijke personen;Jonger dan 25 jaar;2014 januari;5
226;Natuurlijke personen;Jonger dan 25 jaar;2014 februari;8
227;Natuurlijke personen;Jonger dan 25 jaar;2014 maart;4
228;Natuurlijke personen;Jonger dan 25 jaar;2014 1e kwartaal;17
229;Natuurlijke personen;Jonger dan 25 jaar;2014 april;5
230;Natuurlijke personen;Jonger dan 25 jaar;2014 mei;5
231;Natuurlijke personen;Jonger dan 25 jaar;2014 juni;8
232;Natuurlijke personen;Jonger dan 25 jaar;2014 2e kwartaal;18
233;Natuurlijke personen;Jonger dan 25 jaar;2014 juli;4
234;Natuurlijke personen;Jonger dan 25 jaar;2014 augustus;10
235;Natuurlijke personen;Jonger dan 25 jaar;2014 september;4
236;Natuurlijke personen;Jonger dan 25 jaar;2014 3e kwartaal;18
237;Natuurlijke personen;Jonger dan 25 jaar;2014 oktober;2
238;Natuurlijke personen;Jonger dan 25 jaar;2014 november;7
239;Natuurlijke personen;Jonger dan 25 jaar;2014 december;3
240;Natuurlijke personen;Jonger dan 25 jaar;2014 4e kwartaal;12
241;Natuurlijke personen;Jonger dan 25 jaar;2014;65
242;Natuurlijke personen;Jonger dan 25 jaar;2015 januari;3
243;Natuurlijke personen;Jonger dan 25 jaar;2015 februari;5
244;Natuurlijke personen;Jonger dan 25 jaar;2015 maart;5
245;Natuurlijke personen;Jonger dan 25 jaar;2015 1e kwartaal;13
246;Natuurlijke personen;Jonger dan 25 jaar;2015 april;1
247;Natuurlijke personen;Jonger dan 25 jaar;2015 mei;1
248;Natuurlijke personen;Jonger dan 25 jaar;2015 juni;7
249;Natuurlijke personen;Jonger dan 25 jaar;2015 2e kwartaal;9
250;Natuurlijke personen;Jonger dan 25 jaar;2015 juli;0
251;Natuurlijke personen;Jonger dan 25 jaar;2015 augustus;3
252;Natuurlijke personen;Jonger dan 25 jaar;2015 september;0
253;Natuurlijke personen;Jonger dan 25 jaar;2015 3e kwartaal;3
254;Natuurlijke personen;Jonger dan 25 jaar;2015 oktober;3
255;Natuurlijke personen;Jonger dan 25 jaar;2015 november;1
256;Natuurlijke personen;Jonger dan 25 jaar;2015 december;5
257;Natuurlijke personen;Jonger dan 25 jaar;2015 4e kwartaal;9
258;Natuurlijke personen;Jonger dan 25 jaar;2015;34
259;Natuurlijke personen;Jonger dan 25 jaar;2016 januari;3
260;Natuurlijke personen;Jonger dan 25 jaar;2016 februari;1
261;Natuurlijke personen;Jonger dan 25 jaar;2016 maart;2
262;Natuurlijke personen;Jonger dan 25 jaar;2016 1e kwartaal;6
263;Natuurlijke personen;Jonger dan 25 jaar;2016 april;3
264;Natuurlijke personen;Jonger dan 25 jaar;2016 mei;1
265;Natuurlijke personen;Jonger dan 25 jaar;2016 juni;1
266;Natuurlijke personen;Jonger dan 25 jaar;2016 2e kwartaal;5
267;Natuurlijke personen;Jonger dan 25 jaar;2016 juli;4
268;Natuurlijke personen;Jonger dan 25 jaar;2016 augustus;7
269;Natuurlijke personen;Jonger dan 25 jaar;2016 september;3
270;Natuurlijke personen;Jonger dan 25 jaar;2016 3e kwartaal;14
271;Natuurlijke personen;Jonger dan 25 jaar;2016 oktober;0
272;Natuurlijke personen;Jonger dan 25 jaar;2016 november;2
273;Natuurlijke personen;Jonger dan 25 jaar;2016 december;1
274;Natuurlijke personen;Jonger dan 25 jaar;2016 4e kwartaal;3
275;Natuurlijke personen;Jonger dan 25 jaar;2016;28
276;Natuurlijke personen;Jonger dan 25 jaar;2017 januari;0
277;Natuurlijke personen;Jonger dan 25 jaar;2017 februari;3
278;Natuurlijke personen;Jonger dan 25 jaar;2017 maart;1
279;Natuurlijke personen;Jonger dan 25 jaar;2017 1e kwartaal;4
280;Natuurlijke personen;Jonger dan 25 jaar;2017 april;1
281;Natuurlijke personen;Jonger dan 25 jaar;2017 mei;5
282;Natuurlijke personen;Jonger dan 25 jaar;2017 juni;2
283;Natuurlijke personen;Jonger dan 25 jaar;2017 2e kwartaal;8
284;Natuurlijke personen;Jonger dan 25 jaar;2017 juli;0
285;Natuurlijke personen;Jonger dan 25 jaar;2017 augustus;2
286;Natuurlijke personen;Jonger dan 25 jaar;2017 september;4
287;Natuurlijke personen;Jonger dan 25 jaar;2017 3e kwartaal;6
288;Natuurlijke personen;Jonger dan 25 jaar;2017 oktober;4
289;Natuurlijke personen;Jonger dan 25 jaar;2017 november;2
290;Natuurlijke personen;Jonger dan 25 jaar;2017 december;0
291;Natuurlijke personen;Jonger dan 25 jaar;2017 4e kwartaal;6
292;Natuurlijke personen;Jonger dan 25 jaar;2017;24
293;Natuurlijke personen;Jonger dan 25 jaar;2018 januari;5
294;Natuurlijke personen;Jonger dan 25 jaar;2018 februari;0
295;Natuurlijke personen;Jonger dan 25 jaar;2018 maart;3
296;Natuurlijke personen;Jonger dan 25 jaar;2018 1e kwartaal;8
297;Natuurlijke personen;Jonger dan 25 jaar;2018 april;1
298;Natuurlijke personen;Jonger dan 25 jaar;2018 mei;1
299;Natuurlijke personen;Jonger dan 25 jaar;2018 juni;1
300;Natuurlijke personen;Jonger dan 25 jaar;2018 2e kwartaal;3
301;Natuurlijke personen;Jonger dan 25 jaar;2018 juli;2
302;Natuurlijke personen;Jonger dan 25 jaar;2018 augustus;4
303;Natuurlijke personen;Jonger dan 25 jaar;2018 september;3
304;Natuurlijke personen;Jonger dan 25 jaar;2018 3e kwartaal;9
305;Natuurlijke personen;Jonger dan 25 jaar;2018 oktober;2
306;Natuurlijke personen;Jonger dan 25 jaar;2018 november;2
307;Natuurlijke personen;Jonger dan 25 jaar;2018 december;3
308;Natuurlijke personen;Jonger dan 25 jaar;2018 4e kwartaal;7
309;Natuurlijke personen;Jonger dan 25 jaar;2018;27
310;Natuurlijke personen;Jonger dan 25 jaar;2019 januari;1
311;Natuurlijke personen;Jonger dan 25 jaar;2019 februari;0
312;Natuurlijke personen;Jonger dan 25 jaar;2019 maart;1
313;Natuurlijke personen;Jonger dan 25 jaar;2019 1e kwartaal;2
314;Natuurlijke personen;Jonger dan 25 jaar;2019 april;3
315;Natuurlijke personen;Jonger dan 25 jaar;2019 mei;0
316;Natuurlijke personen;Jonger dan 25 jaar;2019 juni;1
317;Natuurlijke personen;Jonger dan 25 jaar;2019 2e kwartaal;4
318;Natuurlijke personen;Jonger dan 25 jaar;2019 juli;2
319;Natuurlijke personen;Jonger dan 25 jaar;2019 augustus;4
320;Natuurlijke personen;Jonger dan 25 jaar;2019 september;6
321;Natuurlijke personen;Jonger dan 25 jaar;2019 3e kwartaal;12
322;Natuurlijke personen;Jonger dan 25 jaar;2019 oktober;3
323;Natuurlijke personen;Jonger dan 25 jaar;2019 november;1
324;Natuurlijke personen;Jonger dan 25 jaar;2019 december;2
325;Natuurlijke personen;Jonger dan 25 jaar;2019 4e kwartaal;6
326;Natuurlijke personen;Jonger dan 25 jaar;2019;24
327;Natuurlijke personen;Jonger dan 25 jaar;2020 januari;2
328;Natuurlijke personen;Jonger dan 25 jaar;2020 februari;3
329;Natuurlijke personen;Jonger dan 25 jaar;2020 maart;1
330;Natuurlijke personen;Jonger dan 25 jaar;2020 1e kwartaal;6
331;Natuurlijke personen;Jonger dan 25 jaar;2020 april;0
332;Natuurlijke personen;Jonger dan 25 jaar;2020 mei;3
333;Natuurlijke personen;Jonger dan 25 jaar;2020 juni;3
334;Natuurlijke personen;Jonger dan 25 jaar;2020 2e kwartaal;6
335;Natuurlijke personen;Jonger dan 25 jaar;2020 juli;0
336;Natuurlijke personen;Jonger dan 25 jaar;2020 augustus;2
337;Natuurlijke personen;Jonger dan 25 jaar;2020 september;4
338;Natuurlijke personen;Jonger dan 25 jaar;2020 3e kwartaal;6
339;Natuurlijke personen;Jonger dan 25 jaar;2020 oktober;3
340;Natuurlijke personen;Jonger dan 25 jaar;2020 november;2
341;Natuurlijke personen;Jonger dan 25 jaar;2020 december;3
342;Natuurlijke personen;Jonger dan 25 jaar;2020 4e kwartaal;8
343;Natuurlijke personen;Jonger dan 25 jaar;2020;26
344;Natuurlijke personen;Jonger dan 25 jaar;2021 januari;2
345;Natuurlijke personen;Jonger dan 25 jaar;2021 februari;3
346;Natuurlijke personen;Jonger dan 25 jaar;2021 maart;3
347;Natuurlijke personen;Jonger dan 25 jaar;2021 1e kwartaal;8
348;Natuurlijke personen;Jonger dan 25 jaar;2021 april;3
349;Natuurlijke personen;Jonger dan 25 jaar;2021 mei;1
350;Natuurlijke personen;Jonger dan 25 jaar;2021 juni;1
351;Natuurlijke personen;Jonger dan 25 jaar;2021 2e kwartaal;5
352;Natuurlijke personen;Jonger dan 25 jaar;2021 juli;0
353;Natuurlijke personen;Jonger dan 25 jaar;2021 augustus;2
354;Natuurlijke personen;Jonger dan 25 jaar;2021 september;3
355;Natuurlijke personen;Jonger dan 25 jaar;2021 3e kwartaal;5
356;Natuurlijke personen;Jonger dan 25 jaar;2021 oktober;4
357;Natuurlijke personen;Jonger dan 25 jaar;2021 november;3
358;Natuurlijke personen;Jonger dan 25 jaar;2021 december;3
359;Natuurlijke personen;Jonger dan 25 jaar;2021 4e kwartaal;10
360;Natuurlijke personen;Jonger dan 25 jaar;2021;28
361;Natuurlijke personen;Jonger dan 25 jaar;2022 januari;0
362;Natuurlijke personen;Jonger dan 25 jaar;2022 februari;2
363;Natuurlijke personen;Jonger dan 25 jaar;2022 maart;2
364;Natuurlijke personen;Jonger dan 25 jaar;2022 1e kwartaal;4
365;Natuurlijke personen;Jonger dan 25 jaar;2022 april;0
366;Natuurlijke personen;Jonger dan 25 jaar;2022 mei;2
367;Natuurlijke personen;Jonger dan 25 jaar;2022 juni;1
368;Natuurlijke personen;Jonger dan 25 jaar;2022 2e kwartaal;3
369;Natuurlijke personen;Jonger dan 25 jaar;2022 juli;2
370;Natuurlijke personen;Jonger dan 25 jaar;2022 augustus;3
371;Natuurlijke personen;Jonger dan 25 jaar;2022 september;1
372;Natuurlijke personen;Jonger dan 25 jaar;2022 3e kwartaal;6
373;Natuurlijke personen;Jonger dan 25 jaar;2022 oktober;4
374;Natuurlijke personen;Jonger dan 25 jaar;2022 november;5
375;Natuurlijke personen;Jonger dan 25 jaar;2022 december;2
376;Natuurlijke personen;Jonger dan 25 jaar;2022 4e kwartaal;11
377;Natuurlijke personen;Jonger dan 25 jaar;2022;24
378;Natuurlijke personen;Jonger dan 25 jaar;2023 januari;3
379;Natuurlijke personen;Jonger dan 25 jaar;2023 februari;5
380;Natuurlijke personen;Jonger dan 25 jaar;2023 maart;4
381;Natuurlijke personen;Jonger dan 25 jaar;2023 1e kwartaal;12
382;Natuurlijke personen;Jonger dan 25 jaar;2023 april;1
383;Natuurlijke personen;Jonger dan 25 jaar;2023 mei;2
384;Natuurlijke personen;Jonger dan 25 jaar;2023 juni;1
385;Natuurlijke personen;Jonger dan 25 jaar;2023 2e kwartaal;4
386;Natuurlijke personen;Jonger dan 25 jaar;2023 juli;0
387;Natuurlijke personen;Jonger dan 25 jaar;2023 augustus;3
388;Natuurlijke personen;Jonger dan 25 jaar;2023 september;1
389;Natuurlijke personen;Jonger dan 25 jaar;2023 3e kwartaal;4
390;Natuurlijke personen;Jonger dan 25 jaar;2023 oktober;1
391;Natuurlijke personen;Jonger dan 25 jaar;2023 november;1
392;Natuurlijke personen;Jonger dan 25 jaar;2023 december;0
393;Natuurlijke personen;Jonger dan 25 jaar;2023 4e kwartaal;2
394;Natuurlijke personen;Jonger dan 25 jaar;2023;22
395;Natuurlijke personen;Jonger dan 25 jaar;2024 januari;1
396;Natuurlijke personen;Jonger dan 25 jaar;2024 februari;1
397;Natuurlijke personen;Jonger dan 25 jaar;2024 maart;2
398;Natuurlijke personen;Jonger dan 25 jaar;2024 1e kwartaal;4
399;Natuurlijke personen;Jonger dan 25 jaar;2024 april;3
400;Natuurlijke personen;Jonger dan 25 jaar;2024 mei;1
401;Natuurlijke personen;Jonger dan 25 jaar;2024 juni;4
402;Natuurlijke personen;Jonger dan 25 jaar;2024 2e kwartaal;8
403;Natuurlijke personen;Jonger dan 25 jaar;2024 juli;2
404;Natuurlijke personen;Jonger dan 25 jaar;2024 augustus;1
405;Natuurlijke personen;Jonger dan 25 jaar;2024 september;5
406;Natuurlijke personen;Jonger dan 25 jaar;2024 3e kwartaal;8
407;Natuurlijke personen;Jonger dan 25 jaar;2024 oktober;4
408;Natuurlijke personen;Jonger dan 25 jaar;2024 november;2
409;Natuurlijke personen;Jonger dan 25 jaar;2024 december;4
410;Natuurlijke personen;Jonger dan 25 jaar;2024 4e kwartaal;10
411;Natuurlijke personen;Jonger dan 25 jaar;2024;30
412;Natuurlijke personen;Jonger dan 25 jaar;2025 januari;5
413;Natuurlijke personen;Jonger dan 25 jaar;2025 februari;2
414;Natuurlijke personen;Jonger dan 25 jaar;2025 maart;3
415;Natuurlijke personen;Jonger dan 25 jaar;2025 1e kwartaal;10
416;Natuurlijke personen;25 tot 30 jaar;2013 januari;36
417;Natuurlijke personen;25 tot 30 jaar;2013 februari;20
418;Natuurlijke personen;25 tot 30 jaar;2013 maart;22
419;Natuurlijke personen;25 tot 30 jaar;2013 1e kwartaal;78
420;Natuurlijke personen;25 tot 30 jaar;2013 april;23
421;Natuurlijke personen;25 tot 30 jaar;2013 mei;23
422;Natuurlijke personen;25 tot 30 jaar;2013 juni;23
423;Natuurlijke personen;25 tot 30 jaar;2013 2e kwartaal;69
424;Natuurlijke personen;25 tot 30 jaar;2013 juli;26
425;Natuurlijke personen;25 tot 30 jaar;2013 augustus;21
426;Natuurlijke personen;25 tot 30 jaar;2013 september;19
427;Natuurlijke personen;25 tot 30 jaar;2013 3e kwartaal;66
428;Natuurlijke personen;25 tot 30 jaar;2013 oktober;29
429;Natuurlijke personen;25 tot 30 jaar;2013 november;23
430;Natuurlijke personen;25 tot 30 jaar;2013 december;18
431;Natuurlijke personen;25 tot 30 jaar;2013 4e kwartaal;70
432;Natuurlijke personen;25 tot 30 jaar;2013;283
433;Natuurlijke personen;25 tot 30 jaar;2014 januari;32
434;Natuurlijke personen;25 tot 30 jaar;2014 februari;19
435;Natuurlijke personen;25 tot 30 jaar;2014 maart;17
436;Natuurlijke personen;25 tot 30 jaar;2014 1e kwartaal;68
437;Natuurlijke personen;25 tot 30 jaar;2014 april;16
438;Natuurlijke personen;25 tot 30 jaar;2014 mei;21
439;Natuurlijke personen;25 tot 30 jaar;2014 juni;12
440;Natuurlijke personen;25 tot 30 jaar;2014 2e kwartaal;49
441;Natuurlijke personen;25 tot 30 jaar;2014 juli;9
442;Natuurlijke personen;25 tot 30 jaar;2014 augustus;17
443;Natuurlijke personen;25 tot 30 jaar;2014 september;20
444;Natuurlijke personen;25 tot 30 jaar;2014 3e kwartaal;46
445;Natuurlijke personen;25 tot 30 jaar;2014 oktober;11
446;Natuurlijke personen;25 tot 30 jaar;2014 november;8
447;Natuurlijke personen;25 tot 30 jaar;2014 december;13
448;Natuurlijke personen;25 tot 30 jaar;2014 4e kwartaal;32
449;Natuurlijke personen;25 tot 30 jaar;2014;195
450;Natuurlijke personen;25 tot 30 jaar;2015 januari;12
451;Natuurlijke personen;25 tot 30 jaar;2015 februari;11
452;Natuurlijke personen;25 tot 30 jaar;2015 maart;10
453;Natuurlijke personen;25 tot 30 jaar;2015 1e kwartaal;33
454;Natuurlijke personen;25 tot 30 jaar;2015 april;8
455;Natuurlijke personen;25 tot 30 jaar;2015 mei;9
456;Natuurlijke personen;25 tot 30 jaar;2015 juni;10
457;Natuurlijke personen;25 tot 30 jaar;2015 2e kwartaal;27
458;Natuurlijke personen;25 tot 30 jaar;2015 juli;7
459;Natuurlijke personen;25 tot 30 jaar;2015 augustus;4
460;Natuurlijke personen;25 tot 30 jaar;2015 september;12
461;Natuurlijke personen;25 tot 30 jaar;2015 3e kwartaal;23
