ID;RegioS;Perioden;OntvangenMeldingenTotaal_1;k_1eMeldingGeenBetrokkenenBekendVT_2;Totaal_3;MeerdereBetrokkenenAlBekendBijVT_4;EenBetrokkeneAlBekendBijVT_5;Totaal_6;TijdensVeiligheidsbeoordeling_7;NaVeiligheidsbeoordeling_8;TijdensMonitoringDoorVT_9;MeldingNietIngedeeld_10;OntvangenMeldingenTotaal_11;k_1eMeldingGeenBetrokkenenBekendVT_12;Totaal_13;MeerdereBetrokkenenAlBekendBijVT_14;EenBetrokkeneAlBekendBijVT_15;Totaal_16;TijdensVeiligheidsbeoordeling_17;NaVeiligheidsbeoordeling_18;TijdensMonitoring_19;MeldingNietIngedeeld_20
10;Noord-Nederland (LD);1e halfjaar 2023;5285.0;1745.0;2145.0;1830.0;315.0;1165.0;585.0;380.0;200.0;230.0;100.0;33.0;40.6;34.6;6.0;22.0;11.1;7.2;3.8;4.4
11;Noord-Nederland (LD);2e halfjaar 2023;5085.0;1600.0;2045.0;1725.0;325.0;1215.0;645.0;345.0;220.0;225.0;100.0;31.5;40.2;33.9;6.4;23.9;12.7;6.8;4.3;4.4
12;Noord-Nederland (LD);2023;10370.0;3350.0;4200.0;3555.0;645.0;2380.0;1235.0;730.0;420.0;440.0;100.0;32.3;40.5;34.3;6.2;23.0;11.9;7.0;4.1;4.2
13;Noord-Nederland (LD);1e halfjaar 2024;5235.0;1730.0;2005.0;1680.0;325.0;1265.0;670.0;375.0;220.0;230.0;100.0;33.0;38.3;32.1;6.2;24.2;12.8;7.2;4.2;4.4
14;Oost-Nederland (LD);1e halfjaar 2022;9840.0;3650.0;3395.0;3030.0;370.0;2650.0;945.0;940.0;765.0;145.0;100.0;37.1;34.5;30.8;3.8;26.9;9.6;9.6;7.8;1.5
15;Oost-Nederland (LD);2e halfjaar 2022;10495.0;3705.0;3765.0;3325.0;435.0;2800.0;1105.0;910.0;790.0;225.0;100.0;35.3;35.9;31.7;4.2;26.7;10.5;8.7;7.5;2.1
16;Oost-Nederland (LD);2022;20335.0;7365.0;7165.0;6360.0;805.0;5450.0;2045.0;1865.0;1540.0;355.0;100.0;36.2;35.2;31.3;4.0;26.8;10.1;9.2;7.6;1.7
17;Oost-Nederland (LD);1e halfjaar 2023;10820.0;3885.0;3615.0;3205.0;415.0;3080.0;1300.0;990.0;790.0;235.0;100.0;35.9;33.4;29.6;3.8;28.5;12.0;9.1;7.3;2.2
18;Oost-Nederland (LD);2e halfjaar 2023;10380.0;3470.0;3705.0;3280.0;425.0;3005.0;1300.0;1020.0;685.0;200.0;100.0;33.4;35.7;31.6;4.1;28.9;12.5;9.8;6.6;1.9
19;Oost-Nederland (LD);2023;21200.0;7380.0;7335.0;6490.0;845.0;6095.0;2610.0;2040.0;1445.0;390.0;100.0;34.8;34.6;30.6;4.0;28.8;12.3;9.6;6.8;1.8
20;Oost-Nederland (LD);1e halfjaar 2024;10425.0;3560.0;3640.0;3215.0;425.0;3055.0;1320.0;1010.0;725.0;170.0;100.0;34.1;34.9;30.8;4.1;29.3;12.7;9.7;7.0;1.6
21;West-Nederland (LD);1e halfjaar 2022;31685.0;10720.0;12005.0;10665.0;1340.0;8810.0;3275.0;3755.0;1785.0;150.0;100.0;33.8;37.9;33.7;4.2;27.8;10.3;11.9;5.6;0.5
22;West-Nederland (LD);2e halfjaar 2022;33485.0;10840.0;12690.0;11260.0;1430.0;9810.0;3940.0;3905.0;1965.0;145.0;100.0;32.4;37.9;33.6;4.3;29.3;11.8;11.7;5.9;0.4
23;West-Nederland (LD);2022;65170.0;21575.0;24715.0;21940.0;2775.0;18620.0;7215.0;7675.0;3735.0;260.0;100.0;33.1;37.9;33.7;4.3;28.6;11.1;11.8;5.7;0.4
24;West-Nederland (LD);1e halfjaar 2023;34365.0;11370.0;12605.0;11220.0;1385.0;10170.0;4525.0;3970.0;1680.0;215.0;100.0;33.1;36.7;32.6;4.0;29.6;13.2;11.6;4.9;0.6
25;West-Nederland (LD);2e halfjaar 2023;33620.0;10245.0;12710.0;11335.0;1375.0;10135.0;4745.0;3755.0;1630.0;530.0;100.0;30.5;37.8;33.7;4.1;30.1;14.1;11.2;4.8;1.6
26;West-Nederland (LD);2023;67990.0;21655.0;25375.0;22610.0;2765.0;20315.0;9275.0;7745.0;3295.0;645.0;100.0;31.9;37.3;33.3;4.1;29.9;13.6;11.4;4.8;0.9
27;West-Nederland (LD);1e halfjaar 2024;34065.0;10605.0;12470.0;11110.0;1360.0;10330.0;4935.0;3745.0;1650.0;660.0;100.0;31.1;36.6;32.6;4.0;30.3;14.5;11.0;4.8;1.9
28;Zuid-Nederland (LD);1e halfjaar 2022;13350.0;4150.0;5420.0;4810.0;610.0;3640.0;1795.0;1195.0;645.0;135.0;100.0;31.1;40.6;36.0;4.6;27.3;13.4;9.0;4.8;1.0
29;Zuid-Nederland (LD);2e halfjaar 2022;13815.0;4155.0;5775.0;5130.0;640.0;3660.0;1790.0;1205.0;665.0;230.0;100.0;30.1;41.8;37.1;4.6;26.5;13.0;8.7;4.8;1.7
30;Zuid-Nederland (LD);2022;27165.0;8310.0;11205.0;9950.0;1250.0;7300.0;3590.0;2405.0;1310.0;350.0;100.0;30.6;41.2;36.6;4.6;26.9;13.2;8.8;4.8;1.3
31;Zuid-Nederland (LD);1e halfjaar 2023;14000.0;4310.0;5715.0;5115.0;600.0;3765.0;1870.0;1245.0;655.0;205.0;100.0;30.8;40.8;36.5;4.3;26.9;13.4;8.9;4.7;1.5
32;Zuid-Nederland (LD);2e halfjaar 2023;13840.0;3930.0;5920.0;5295.0;620.0;3810.0;1920.0;1190.0;700.0;180.0;100.0;28.4;42.8;38.3;4.5;27.5;13.9;8.6;5.1;1.3
33;Zuid-Nederland (LD);2023;27835.0;8250.0;11650.0;10425.0;1225.0;7580.0;3795.0;2440.0;1345.0;355.0;100.0;29.6;41.9;37.5;4.4;27.2;13.6;8.8;4.8;1.3
34;Zuid-Nederland (LD);1e halfjaar 2024;14075.0;4220.0;5910.0;5325.0;585.0;3750.0;1950.0;1110.0;695.0;200.0;100.0;30.0;42.0;37.8;4.2;26.6;13.9;7.9;4.9;1.4
35;Groningen (PV);1e halfjaar 2022;1975.0;680.0;870.0;750.0;120.0;365.0;255.0;105.0;10.0;55.0;100.0;34.4;44.1;38.0;6.1;18.5;12.9;5.3;0.5;2.8
36;Groningen (PV);2e halfjaar 2022;2055.0;645.0;970.0;810.0;160.0;330.0;215.0;105.0;10.0;110.0;100.0;31.5;47.2;39.5;7.7;16.0;10.5;5.0;0.5;5.3
37;Groningen (PV);2022;4035.0;1330.0;1840.0;1565.0;280.0;695.0;470.0;210.0;20.0;165.0;100.0;32.9;45.7;38.8;6.9;17.3;11.7;5.2;0.4;4.1
38;Groningen (PV);1e halfjaar 2023;2160.0;620.0;1010.0;865.0;145.0;390.0;270.0;110.0;10.0;140.0;100.0;28.7;46.8;40.0;6.7;18.1;12.5;5.1;0.5;6.5
39;Groningen (PV);2e halfjaar 2023;2080.0;570.0;985.0;820.0;165.0;410.0;315.0;90.0;10.0;115.0;100.0;27.4;47.4;39.4;7.9;19.7;15.1;4.3;0.5;5.5
40;Groningen (PV);2023;4240.0;1190.0;1995.0;1685.0;310.0;800.0;580.0;200.0;20.0;255.0;100.0;28.1;47.1;39.7;7.3;18.9;13.7;4.7;0.5;6.0
41;Groningen (PV);1e halfjaar 2024;2200.0;655.0;970.0;795.0;170.0;455.0;310.0;130.0;15.0;125.0;100.0;29.8;44.1;36.1;7.7;20.7;14.1;5.9;0.7;5.7
42;Fryslân (PV);1e halfjaar 2022;2280.0;810.0;865.0;750.0;115.0;550.0;220.0;190.0;145.0;60.0;100.0;35.5;37.9;32.9;5.0;24.1;9.6;8.3;6.4;2.6
43;Fryslân (PV);2e halfjaar 2022;2230.0;700.0;865.0;750.0;115.0;565.0;195.0;210.0;165.0;95.0;100.0;31.4;38.8;33.6;5.3;25.4;8.7;9.4;7.4;4.4
44;Fryslân (PV);2022;4510.0;1510.0;1730.0;1500.0;230.0;1120.0;415.0;400.0;305.0;150.0;100.0;33.5;38.4;33.3;5.1;24.8;9.2;8.9;6.8;3.3
45;Fryslân (PV);1e halfjaar 2023;2145.0;725.0;820.0;685.0;135.0;535.0;185.0;195.0;155.0;65.0;100.0;33.8;38.2;31.9;6.3;24.9;8.6;9.1;7.2;3.0
46;Fryslân (PV);2e halfjaar 2023;2080.0;645.0;770.0;660.0;110.0;565.0;195.0;205.0;170.0;95.0;100.0;31.0;37.0;31.7;5.3;27.2;9.4;9.9;8.2;4.6
47;Fryslân (PV);2023;4225.0;1375.0;1595.0;1350.0;245.0;1100.0;375.0;405.0;320.0;155.0;100.0;32.5;37.8;32.0;5.8;26.0;8.9;9.6;7.6;3.7
48;Fryslân (PV);1e halfjaar 2024;2055.0;680.0;740.0;620.0;120.0;545.0;190.0;185.0;170.0;90.0;100.0;33.1;36.0;30.2;5.8;26.5;9.2;9.0;8.3;4.4
49;Drenthe (PV);1e halfjaar 2022;910.0;360.0;310.0;275.0;35.0;225.0;110.0;75.0;40.0;15.0;100.0;39.6;34.1;30.2;3.8;24.7;12.1;8.2;4.4;1.6
50;Drenthe (PV);2e halfjaar 2022;890.0;350.0;295.0;250.0;45.0;230.0;110.0;60.0;60.0;15.0;100.0;39.6;33.2;28.4;4.8;25.7;12.3;6.6;6.8;1.5
51;Drenthe (PV);2022;1795.0;715.0;605.0;525.0;80.0;450.0;220.0;135.0;100.0;25.0;100.0;39.7;33.7;29.3;4.4;25.2;12.2;7.4;5.6;1.4
52;Drenthe (PV);1e halfjaar 2023;980.0;400.0;315.0;275.0;35.0;245.0;135.0;70.0;40.0;20.0;100.0;40.8;32.1;28.1;3.6;25.0;13.8;7.1;4.1;2.0
53;Drenthe (PV);2e halfjaar 2023;925.0;385.0;295.0;245.0;45.0;235.0;140.0;55.0;40.0;15.0;100.0;41.6;31.9;26.5;4.9;25.4;15.1;5.9;4.3;1.6
54;Drenthe (PV);2023;1905.0;785.0;610.0;525.0;85.0;480.0;275.0;125.0;80.0;30.0;100.0;41.2;32.0;27.6;4.5;25.2;14.4;6.6;4.2;1.6
55;Drenthe (PV);1e halfjaar 2024;980.0;395.0;300.0;260.0;35.0;265.0;170.0;60.0;35.0;20.0;100.0;40.3;30.6;26.5;3.6;27.0;17.3;6.1;3.6;2.0
56;Overijssel (PV);1e halfjaar 2022;2940.0;1085.0;1110.0;1000.0;110.0;645.0;320.0;190.0;135.0;95.0;100.0;36.9;37.8;34.0;3.7;21.9;10.9;6.5;4.6;3.2
57;Overijssel (PV);2e halfjaar 2022;3375.0;1085.0;1315.0;1190.0;120.0;820.0;415.0;230.0;175.0;155.0;100.0;32.2;38.9;35.3;3.6;24.4;12.4;6.9;5.1;4.5
58;Overijssel (PV);2022;6315.0;2175.0;2420.0;2195.0;230.0;1470.0;735.0;425.0;310.0;250.0;100.0;34.4;38.4;34.7;3.6;23.3;11.6;6.7;4.9;3.9
59;Overijssel (PV);1e halfjaar 2023;3435.0;1170.0;1255.0;1115.0;140.0;835.0;460.0;210.0;165.0;175.0;100.0;34.1;36.5;32.5;4.1;24.3;13.4;6.1;4.8;5.1
60;Overijssel (PV);2e halfjaar 2023;3225.0;995.0;1290.0;1140.0;150.0;795.0;430.0;220.0;145.0;145.0;100.0;30.9;40.0;35.3;4.7;24.7;13.3;6.8;4.5;4.5
61;Overijssel (PV);2023;6660.0;2175.0;2545.0;2255.0;290.0;1635.0;890.0;435.0;310.0;305.0;100.0;32.7;38.2;33.9;4.4;24.5;13.4;6.5;4.7;4.6
62;Overijssel (PV);1e halfjaar 2024;3475.0;1115.0;1315.0;1165.0;150.0;935.0;485.0;240.0;210.0;110.0;100.0;32.1;37.8;33.5;4.3;26.9;14.0;6.9;6.0;3.2
63;Flevoland (PV);1e halfjaar 2022;2570.0;795.0;820.0;745.0;75.0;950.0;250.0;335.0;360.0;;100.0;30.9;31.9;29.0;2.9;37.0;9.7;13.0;14.0;
64;Flevoland (PV);2e halfjaar 2022;2710.0;805.0;930.0;850.0;85.0;970.0;310.0;300.0;355.0;;100.0;29.8;34.4;31.3;3.1;35.8;11.5;11.1;13.1;
65;Flevoland (PV);2022;5280.0;1605.0;1755.0;1600.0;155.0;1915.0;565.0;645.0;710.0;;100.0;30.4;33.3;30.3;3.0;36.3;10.7;12.2;13.4;
66;Flevoland (PV);1e halfjaar 2023;3115.0;960.0;970.0;880.0;95.0;1175.0;395.0;405.0;375.0;;100.0;30.8;31.1;28.3;3.0;37.7;12.7;13.0;12.0;
67;Flevoland (PV);2e halfjaar 2023;2845.0;805.0;970.0;885.0;90.0;1060.0;390.0;370.0;300.0;10.0;100.0;28.3;34.1;31.1;3.2;37.3;13.7;13.0;10.5;0.4
68;Flevoland (PV);2023;5955.0;1765.0;1950.0;1770.0;180.0;2235.0;785.0;795.0;650.0;10.0;100.0;29.6;32.7;29.7;3.0;37.5;13.2;13.4;10.9;0.2
69;Flevoland (PV);1e halfjaar 2024;2760.0;750.0;960.0;890.0;70.0;1040.0;365.0;405.0;265.0;10.0;100.0;27.2;34.8;32.2;2.5;37.7;13.2;14.7;9.6;0.4
70;Gelderland (PV);1e halfjaar 2022;4330.0;1765.0;1470.0;1280.0;190.0;1055.0;375.0;415.0;265.0;40.0;100.0;40.8;33.9;29.6;4.4;24.4;8.7;9.6;6.1;0.9
71;Gelderland (PV);2e halfjaar 2022;4410.0;1815.0;1520.0;1285.0;230.0;1010.0;375.0;375.0;260.0;70.0;100.0;41.1;34.4;29.2;5.3;22.9;8.5;8.5;5.9;1.6
72;Gelderland (PV);2022;8740.0;3585.0;2990.0;2570.0;420.0;2065.0;750.0;795.0;525.0;100.0;100.0;41.0;34.2;29.4;4.8;23.6;8.6;9.1;6.0;1.2
73;Gelderland (PV);1e halfjaar 2023;4270.0;1755.0;1390.0;1210.0;180.0;1075.0;445.0;375.0;250.0;55.0;100.0;41.1;32.6;28.3;4.2;25.2;10.4;8.8;5.9;1.3
74;Gelderland (PV);2e halfjaar 2023;4310.0;1670.0;1440.0;1255.0;185.0;1150.0;485.0;430.0;235.0;50.0;100.0;38.7;33.4;29.1;4.3;26.7;11.3;10.0;5.5;1.2
75;Gelderland (PV);2023;8585.0;3440.0;2840.0;2465.0;375.0;2230.0;930.0;810.0;490.0;80.0;100.0;40.1;33.1;28.7;4.4;26.0;10.8;9.4;5.7;0.9
76;Gelderland (PV);1e halfjaar 2024;4190.0;1695.0;1365.0;1160.0;205.0;1080.0;470.0;365.0;245.0;45.0;100.0;40.5;32.6;27.7;4.9;25.8;11.2;8.7;5.8;1.1
77;Utrecht (PV);1e halfjaar 2022;4895.0;1640.0;2320.0;1990.0;335.0;915.0;335.0;465.0;115.0;20.0;100.0;33.5;47.4;40.7;6.8;18.7;6.8;9.5;2.3;0.4
78;Utrecht (PV);2e halfjaar 2022;5190.0;1705.0;2380.0;2025.0;355.0;1100.0;490.0;480.0;130.0;;100.0;32.8;45.9;39.0;6.8;21.2;9.4;9.2;2.5;
79;Utrecht (PV);2022;10085.0;3350.0;4710.0;4020.0;690.0;2015.0;825.0;945.0;240.0;15.0;100.0;33.2;46.7;39.8;6.8;20.0;8.2;9.4;2.4;0.1
80;Utrecht (PV);1e halfjaar 2023;5420.0;1780.0;2410.0;2040.0;370.0;1145.0;490.0;545.0;110.0;80.0;100.0;32.8;44.5;37.6;6.8;21.1;9.0;10.1;2.0;1.5
81;Utrecht (PV);2e halfjaar 2023;5455.0;1685.0;2445.0;2090.0;355.0;1305.0;685.0;515.0;105.0;20.0;100.0;30.9;44.8;38.3;6.5;23.9;12.6;9.4;1.9;0.4
82;Utrecht (PV);2023;10875.0;3500.0;4890.0;4165.0;725.0;2455.0;1175.0;1065.0;215.0;25.0;100.0;32.2;45.0;38.3;6.7;22.6;10.8;9.8;2.0;0.2
83;Utrecht (PV);1e halfjaar 2024;5490.0;1755.0;2405.0;2020.0;380.0;1320.0;740.0;455.0;130.0;10.0;100.0;32.0;43.8;36.8;6.9;24.0;13.5;8.3;2.4;0.2
84;Noord-Holland (PV);1e halfjaar 2022;10345.0;3700.0;3420.0;2990.0;430.0;3210.0;1050.0;1290.0;870.0;10.0;100.0;35.8;33.1;28.9;4.2;31.0;10.1;12.5;8.4;0.1
85;Noord-Holland (PV);2e halfjaar 2022;10905.0;3625.0;3695.0;3270.0;425.0;3575.0;1270.0;1270.0;1035.0;10.0;100.0;33.2;33.9;30.0;3.9;32.8;11.6;11.6;9.5;0.1
86;Noord-Holland (PV);2022;21245.0;7330.0;7120.0;6260.0;855.0;6785.0;2320.0;2570.0;1895.0;15.0;100.0;34.5;33.5;29.5;4.0;31.9;10.9;12.1;8.9;0.1
87;Noord-Holland (PV);1e halfjaar 2023;11040.0;3795.0;3555.0;3145.0;415.0;3660.0;1490.0;1330.0;840.0;30.0;100.0;34.4;32.2;28.5;3.8;33.2;13.5;12.0;7.6;0.3
88;Noord-Holland (PV);2e halfjaar 2023;10640.0;3370.0;3535.0;3145.0;390.0;3695.0;1715.0;1190.0;785.0;40.0;100.0;31.7;33.2;29.6;3.7;34.7;16.1;11.2;7.4;0.4
89;Noord-Holland (PV);2023;21680.0;7165.0;7105.0;6305.0;800.0;7355.0;3205.0;2530.0;1615.0;60.0;100.0;33.0;32.8;29.1;3.7;33.9;14.8;11.7;7.4;0.3
90;Noord-Holland (PV);1e halfjaar 2024;10305.0;3425.0;3335.0;3000.0;335.0;3520.0;1600.0;1170.0;750.0;25.0;100.0;33.2;32.4;29.1;3.3;34.2;15.5;11.4;7.3;0.2
91;Zuid-Holland (PV);1e halfjaar 2022;15545.0;5005.0;5925.0;5380.0;550.0;4490.0;1780.0;1950.0;760.0;120.0;100.0;32.2;38.1;34.6;3.5;28.9;11.5;12.5;4.9;0.8
92;Zuid-Holland (PV);2e halfjaar 2022;16295.0;5085.0;6180.0;5570.0;610.0;4905.0;2070.0;2085.0;750.0;125.0;100.0;31.2;37.9;34.2;3.7;30.1;12.7;12.8;4.6;0.8
93;Zuid-Holland (PV);2022;31840.0;10095.0;12120.0;10960.0;1160.0;9400.0;3850.0;4040.0;1505.0;230.0;100.0;31.7;38.1;34.4;3.6;29.5;12.1;12.7;4.7;0.7
94;Zuid-Holland (PV);1e halfjaar 2023;16800.0;5350.0;6235.0;5665.0;575.0;5105.0;2415.0;2015.0;675.0;105.0;100.0;31.8;37.1;33.7;3.4;30.4;14.4;12.0;4.0;0.6
95;Zuid-Holland (PV);2e halfjaar 2023;16240.0;4725.0;6290.0;5695.0;595.0;4760.0;2140.0;1950.0;670.0;470.0;100.0;29.1;38.7;35.1;3.7;29.3;13.2;12.0;4.1;2.9
96;Zuid-Holland (PV);2023;33040.0;10085.0;12530.0;11365.0;1165.0;9870.0;4560.0;3975.0;1340.0;555.0;100.0;30.5;37.9;34.4;3.5;29.9;13.8;12.0;4.1;1.7
97;Zuid-Holland (PV);1e halfjaar 2024;16945.0;4965.0;6285.0;5690.0;595.0;5070.0;2365.0;2020.0;685.0;625.0;100.0;29.3;37.1;33.6;3.5;29.9;14.0;11.9;4.0;3.7
98;Zeeland (PV);1e halfjaar 2022;900.0;370.0;335.0;310.0;25.0;190.0;105.0;45.0;40.0;;100.0;41.1;37.2;34.4;2.8;21.1;11.7;5.0;4.4;
99;Zeeland (PV);2e halfjaar 2022;1095.0;430.0;430.0;390.0;40.0;230.0;110.0;70.0;50.0;;100.0;39.4;39.4;35.7;3.7;21.0;10.1;6.3;4.6;
100;Zeeland (PV);2022;1995.0;800.0;765.0;700.0;65.0;420.0;215.0;115.0;90.0;;100.0;40.2;38.4;35.1;3.3;21.2;10.7;5.8;4.6;
101;Zeeland (PV);1e halfjaar 2023;1105.0;440.0;400.0;375.0;30.0;260.0;130.0;75.0;55.0;;100.0;39.8;36.2;33.9;2.7;23.5;11.8;6.8;5.0;
102;Zeeland (PV);2e halfjaar 2023;1285.0;465.0;445.0;405.0;40.0;375.0;205.0;95.0;70.0;;100.0;36.2;34.6;31.5;3.1;29.2;16.0;7.4;5.4;
103;Zeeland (PV);2023;2390.0;905.0;845.0;775.0;70.0;635.0;335.0;175.0;130.0;;100.0;37.9;35.4;32.4;2.9;26.6;14.0;7.3;5.4;
104;Zeeland (PV);1e halfjaar 2024;1325.0;460.0;445.0;400.0;50.0;415.0;230.0;105.0;85.0;;100.0;34.7;33.6;30.2;3.8;31.3;17.4;7.9;6.4;
105;Noord-Brabant (PV);1e halfjaar 2022;9520.0;2990.0;3570.0;3180.0;390.0;2850.0;1450.0;890.0;510.0;110.0;100.0;31.4;37.5;33.4;4.1;29.9;15.2;9.3;5.4;1.2
106;Noord-Brabant (PV);2e halfjaar 2022;9865.0;2930.0;3860.0;3430.0;430.0;2880.0;1440.0;925.0;520.0;190.0;100.0;29.7;39.2;34.8;4.4;29.2;14.6;9.4;5.3;1.9
107;Noord-Brabant (PV);2022;19385.0;5920.0;7435.0;6615.0;820.0;5730.0;2890.0;1815.0;1025.0;295.0;100.0;30.5;38.4;34.1;4.2;29.6;14.9;9.4;5.3;1.5
108;Noord-Brabant (PV);1e halfjaar 2023;10030.0;3105.0;3835.0;3455.0;380.0;2920.0;1495.0;930.0;500.0;170.0;100.0;31.0;38.2;34.4;3.8;29.1;14.9;9.3;5.0;1.7
109;Noord-Brabant (PV);2e halfjaar 2023;9610.0;2775.0;3760.0;3375.0;380.0;2920.0;1550.0;880.0;490.0;155.0;100.0;28.9;39.1;35.1;4.0;30.4;16.1;9.2;5.1;1.6
110;Noord-Brabant (PV);2023;19640.0;5890.0;7600.0;6840.0;765.0;5840.0;3050.0;1810.0;980.0;305.0;100.0;30.0;38.7;34.8;3.9;29.7;15.5;9.2;5.0;1.6
111;Noord-Brabant (PV);1e halfjaar 2024;9715.0;2915.0;3850.0;3480.0;365.0;2785.0;1485.0;795.0;505.0;170.0;100.0;30.0;39.6;35.8;3.8;28.7;15.3;8.2;5.2;1.7
112;Limburg (PV);1e halfjaar 2022;3830.0;1160.0;1850.0;1630.0;220.0;790.0;345.0;305.0;140.0;25.0;100.0;30.3;48.3;42.6;5.7;20.6;9.0;8.0;3.7;0.7
113;Limburg (PV);2e halfjaar 2022;3950.0;1225.0;1910.0;1700.0;210.0;780.0;355.0;280.0;145.0;40.0;100.0;31.0;48.4;43.0;5.3;19.7;9.0;7.1;3.7;1.0
114;Limburg (PV);2022;7780.0;2385.0;3765.0;3335.0;430.0;1570.0;700.0;585.0;285.0;60.0;100.0;30.7;48.4;42.9;5.5;20.2;9.0;7.5;3.6;0.7
115;Limburg (PV);1e halfjaar 2023;3965.0;1205.0;1880.0;1660.0;220.0;845.0;375.0;315.0;155.0;35.0;100.0;30.4;47.4;41.9;5.5;21.3;9.5;7.9;3.9;0.9
116;Limburg (PV);2e halfjaar 2023;4230.0;1155.0;2160.0;1920.0;240.0;890.0;370.0;315.0;210.0;25.0;100.0;27.3;51.1;45.4;5.7;21.0;8.7;7.4;5.0;0.6
117;Limburg (PV);2023;8195.0;2360.0;4050.0;3585.0;460.0;1735.0;745.0;630.0;365.0;50.0;100.0;28.8;49.4;43.7;5.6;21.2;9.1;7.7;4.5;0.6
118;Limburg (PV);1e halfjaar 2024;4360.0;1305.0;2060.0;1840.0;220.0;965.0;460.0;315.0;190.0;30.0;100.0;29.9;47.2;42.2;5.0;22.1;10.6;7.2;4.4;0.7
119;Aa en Hunze;1e halfjaar 2022;50.0;15.0;20.0;10.0;10.0;15.0;;;;;100.0;30.0;40.0;20.0;20.0;30.0;;;;
120;Aa en Hunze;2e halfjaar 2022;45.0;15.0;20.0;10.0;10.0;10.0;;;;;100.0;29.8;44.7;19.1;25.5;23.4;;;;
121;Aa en Hunze;2022;100.0;30.0;40.0;20.0;20.0;25.0;10.0;10.0;;;100.0;29.6;41.8;21.4;20.4;26.5;10.2;9.2;;
122;Aa en Hunze;1e halfjaar 2023;45.0;20.0;15.0;10.0;10.0;10.0;;;;;100.0;44.4;33.3;22.2;22.2;22.2;;;;
123;Aa en Hunze;2e halfjaar 2023;50.0;20.0;15.0;10.0;10.0;20.0;15.0;;;;100.0;40.0;30.0;20.0;20.0;40.0;30.0;;;
124;Aa en Hunze;2023;95.0;35.0;30.0;15.0;15.0;30.0;15.0;10.0;;;100.0;36.8;31.6;15.8;15.8;31.6;15.8;10.5;;
125;Aa en Hunze;1e halfjaar 2024;45.0;15.0;10.0;10.0;;15.0;10.0;;;;100.0;33.3;22.2;22.2;;33.3;22.2;;;
126;Aalsmeer;1e halfjaar 2022;90.0;35.0;40.0;35.0;;15.0;;10.0;;;100.0;38.9;44.4;38.9;;16.7;;11.1;;
127;Aalsmeer;2e halfjaar 2022;90.0;30.0;35.0;30.0;;25.0;;10.0;;;100.0;34.4;40.0;35.6;;25.6;;12.2;;
128;Aalsmeer;2022;180.0;65.0;75.0;65.0;10.0;40.0;10.0;20.0;10.0;;100.0;35.7;42.3;36.3;6.0;22.0;6.6;11.0;4.4;
