ID;Perioden;NederlandHICP_1;EurozoneMUICP_2;EuropeseUnieEICP_3;JaarmutatieHICP_4;JaarmutatieMUICP_5;JaarmutatieEICP_6
142;2006;101.65;102.18;102.2;1.7;2.2;2.2
143;2007 januari;101.5;102.51;102.75;1.2;1.8;2.1
144;2007 februari;102.16;102.81;103.09;1.4;1.8;2.1
145;2007 maart;103.47;103.5;103.71;1.9;1.9;2.3
146;2007 april;104.05;104.15;104.3;1.9;1.9;2.2
147;2007 mei;104.09;104.4;104.58;2.0;1.9;2.1
148;2007 juni;103.55;104.5;104.71;1.8;1.9;2.1
149;2007 juli;102.77;104.25;104.44;1.4;1.8;2.0
150;2007 augustus;102.89;104.31;104.57;1.1;1.7;1.9
151;2007 september;103.6;104.71;104.95;1.3;2.1;2.2
152;2007 oktober;103.76;105.22;105.49;1.6;2.6;2.7
153;2007 november;103.92;105.78;106.03;1.8;3.1;3.1
154;2007 december;103.35;106.2;106.48;1.6;3.1;3.2
155;2007;103.26;104.36;104.59;1.6;2.1;2.3
156;2008 januari;103.32;105.8;106.25;1.8;3.2;3.4
157;2008 februari;104.2;106.17;106.7;2.0;3.3;3.5
158;2008 maart;105.44;107.21;107.6;1.9;3.6;3.8
159;2008 april;105.81;107.55;108.05;1.7;3.3;3.6
160;2008 mei;106.25;108.23;108.72;2.1;3.7;4.0
161;2008 juni;105.94;108.64;109.17;2.3;4.0;4.3
162;2008 juli;105.82;108.47;109.08;3.0;4.0;4.4
163;2008 augustus;105.96;108.32;109.04;3.0;3.8;4.3
164;2008 september;106.49;108.52;109.34;2.8;3.6;4.2
165;2008 oktober;106.32;108.55;109.37;2.5;3.2;3.7
166;2008 november;105.88;108.02;108.96;1.9;2.1;2.8
167;2008 december;105.07;107.88;108.77;1.7;1.6;2.2
168;2008;105.54;107.78;108.42;2.2;3.3;3.7
169;2009 januari;105.12;106.98;108.11;1.7;1.1;1.8
170;2009 februari;106.15;107.42;108.67;1.9;1.2;1.8
171;2009 maart;107.38;107.82;109.05;1.8;0.6;1.3
172;2009 april;107.75;108.21;109.43;1.8;0.6;1.3
173;2009 mei;107.87;108.27;109.62;1.5;0.0;0.8
174;2009 juni;107.39;108.48;109.85;1.4;-0.1;0.6
175;2009 juli;105.67;107.77;109.34;-0.1;-0.6;0.2
176;2009 augustus;105.89;108.14;109.65;-0.1;-0.2;0.6
177;2009 september;106.46;108.16;109.69;0.0;-0.3;0.3
178;2009 oktober;106.75;108.41;109.91;0.4;-0.1;0.5
179;2009 november;106.59;108.54;110.09;0.7;0.5;1.0
180;2009 december;105.82;108.88;110.44;0.7;0.9;1.5
181;2009;106.57;108.09;109.49;1.0;0.3;1.0
182;2010 januari;105.52;107.99;109.9;0.4;0.9;1.7
183;2010 februari;106.51;108.33;110.25;0.3;0.8;1.5
184;2010 maart;108.08;109.53;111.26;0.7;1.6;2.0
185;2010 april;108.45;109.98;111.74;0.6;1.6;2.1
186;2010 mei;108.35;110.1;111.91;0.4;1.7;2.1
