ID;BeroepsEnEigenVervoer;Vervoerstroom;MilieuklasseVanHetVoertuigEURONorm;Perioden;VervoerdLadinggewicht_1;Ladingtonkilometers_2;VoertuigkilometersBeladen_3;RittenBeladen_4
50;Beroeps- en eigen vervoer;Totaal;Euro 2;2018;5045;228;30;687
51;Beroeps- en eigen vervoer;Totaal;Euro 2;2019;3033;151;21;420
52;Beroeps- en eigen vervoer;Totaal;Euro 2;2020;1878;85;13;369
53;Beroeps- en eigen vervoer;Totaal;Euro 2;2021;1570;72;11;277
54;Beroeps- en eigen vervoer;Totaal;Euro 2;2022;808;38;6;136
55;Beroeps- en eigen vervoer;Totaal;Euro 2;2023;860;71;6;80
56;Beroeps- en eigen vervoer;Totaal;Euro 3;2010;273588;30529;2289;20161
57;Beroeps- en eigen vervoer;Totaal;Euro 3;2011;233243;24578;1925;17799
58;Beroeps- en eigen vervoer;Totaal;Euro 3;2012;184172;17308;1363;14068
59;Beroeps- en eigen vervoer;Totaal;Euro 3;2013;152307;13354;1058;12179
60;Beroeps- en eigen vervoer;Totaal;Euro 3;2014;113747;9203;780;9455
61;Beroeps- en eigen vervoer;Totaal;Euro 3;2015;85804;5867;522;7370
62;Beroeps- en eigen vervoer;Totaal;Euro 3;2016;61364;3966;350;5467
63;Beroeps- en eigen vervoer;Totaal;Euro 3;2017;44390;2599;245;4066
64;Beroeps- en eigen vervoer;Totaal;Euro 3;2018;34869;1820;193;3388
65;Beroeps- en eigen vervoer;Totaal;Euro 3;2019;20465;1084;116;2124
66;Beroeps- en eigen vervoer;Totaal;Euro 3;2020;11742;594;69;1485
67;Beroeps- en eigen vervoer;Totaal;Euro 3;2021;10343;629;63;1248
68;Beroeps- en eigen vervoer;Totaal;Euro 3;2022;6842;350;38;906
69;Beroeps- en eigen vervoer;Totaal;Euro 3;2023;3881;180;27;605
70;Beroeps- en eigen vervoer;Totaal;Euro 4;2010;60131;7075;541;4841
71;Beroeps- en eigen vervoer;Totaal;Euro 4;2011;63657;6721;552;5291
72;Beroeps- en eigen vervoer;Totaal;Euro 4;2012;63185;5970;510;5245
73;Beroeps- en eigen vervoer;Totaal;Euro 4;2013;56969;5506;469;4944
74;Beroeps- en eigen vervoer;Totaal;Euro 4;2014;50088;4785;429;4666
75;Beroeps- en eigen vervoer;Totaal;Euro 4;2015;39798;3405;328;4089
76;Beroeps- en eigen vervoer;Totaal;Euro 4;2016;33507;2421;249;3489
77;Beroeps- en eigen vervoer;Totaal;Euro 4;2017;26876;1872;187;2656
78;Beroeps- en eigen vervoer;Totaal;Euro 4;2018;21656;1355;147;2139
79;Beroeps- en eigen vervoer;Totaal;Euro 4;2019;15731;935;101;1686
80;Beroeps- en eigen vervoer;Totaal;Euro 4;2020;12766;657;74;1418
81;Beroeps- en eigen vervoer;Totaal;Euro 4;2021;8089;416;55;994
82;Beroeps- en eigen vervoer;Totaal;Euro 4;2022;7662;358;44;875
83;Beroeps- en eigen vervoer;Totaal;Euro 4;2023;3238;126;22;556
84;Beroeps- en eigen vervoer;Totaal;Euro 5 en EEV;2010;248293;35014;2451;16189
85;Beroeps- en eigen vervoer;Totaal;Euro 5 en EEV;2011;306016;41145;3005;20855
86;Beroeps- en eigen vervoer;Totaal;Euro 5 en EEV;2012;348901;44627;3353;24660
87;Beroeps- en eigen vervoer;Totaal;Euro 5 en EEV;2013;392696;50209;3710;28900
88;Beroeps- en eigen vervoer;Totaal;Euro 5 en EEV;2014;399477;49250;3740;30655
89;Beroeps- en eigen vervoer;Totaal;Euro 5 en EEV;2015;371021;42143;3343;30125
90;Beroeps- en eigen vervoer;Totaal;Euro 5 en EEV;2016;341604;34991;2841;27687
91;Beroeps- en eigen vervoer;Totaal;Euro 5 en EEV;2017;296625;27964;2231;23179
92;Beroeps- en eigen vervoer;Totaal;Euro 5 en EEV;2018;241960;21910;1793;19383
93;Beroeps- en eigen vervoer;Totaal;Euro 5 en EEV;2019;201842;15768;1282;15890
94;Beroeps- en eigen vervoer;Totaal;Euro 5 en EEV;2020;142876;10697;911;12396
95;Beroeps- en eigen vervoer;Totaal;Euro 5 en EEV;2021;112504;7948;709;9846
96;Beroeps- en eigen vervoer;Totaal;Euro 5 en EEV;2022;80052;4902;461;7571
97;Beroeps- en eigen vervoer;Totaal;Euro 5 en EEV;2023;55113;3052;295;5252
98;Beroeps- en eigen vervoer;Totaal;Euro 6;2010;0;0;0;0
99;Beroeps- en eigen vervoer;Totaal;Euro 6;2011;0;0;0;0
100;Beroeps- en eigen vervoer;Totaal;Euro 6;2012;1296;169;8;61
101;Beroeps- en eigen vervoer;Totaal;Euro 6;2013;10825;1514;108;766
102;Beroeps- en eigen vervoer;Totaal;Euro 6;2014;57551;8089;601;4357
103;Beroeps- en eigen vervoer;Totaal;Euro 6;2015;131321;16849;1290;10187
104;Beroeps- en eigen vervoer;Totaal;Euro 6;2016;210093;25942;1965;16215
105;Beroeps- en eigen vervoer;Totaal;Euro 6;2017;291530;34832;2621;21768
106;Beroeps- en eigen vervoer;Totaal;Euro 6;2018;376210;43580;3272;27552
107;Beroeps- en eigen vervoer;Totaal;Euro 6;2019;447427;50974;3849;33673
108;Beroeps- en eigen vervoer;Totaal;Euro 6;2020;514926;55557;4302;39527
109;Beroeps- en eigen vervoer;Totaal;Euro 6;2021;566814;60491;4753;44682
110;Beroeps- en eigen vervoer;Totaal;Euro 6;2022;595362;59817;4740;49020
111;Beroeps- en eigen vervoer;Totaal;Euro 6;2023;579103;59141;4792;48519
112;Beroeps- en eigen vervoer;Binnenlands vervoer;Totaal;2010;520929;30114;2582;39524
113;Beroeps- en eigen vervoer;Binnenlands vervoer;Totaal;2011;516934;30344;2717;40715
114;Beroeps- en eigen vervoer;Binnenlands vervoer;Totaal;2012;497434;28718;2592;39293
115;Beroeps- en eigen vervoer;Binnenlands vervoer;Totaal;2013;504971;31844;2779;41102
116;Beroeps- en eigen vervoer;Binnenlands vervoer;Totaal;2014;503103;32033;2900;42320
117;Beroeps- en eigen vervoer;Binnenlands vervoer;Totaal;2015;508883;32075;2964;44436
118;Beroeps- en eigen vervoer;Binnenlands vervoer;Totaal;2016;528369;33953;3099;45605
119;Beroeps- en eigen vervoer;Binnenlands vervoer;Totaal;2017;534045;33122;2931;43901
120;Beroeps- en eigen vervoer;Binnenlands vervoer;Totaal;2018;547805;34111;3020;44454
121;Beroeps- en eigen vervoer;Binnenlands vervoer;Totaal;2019;559867;35342;3054;45401
122;Beroeps- en eigen vervoer;Binnenlands vervoer;Totaal;2020;558809;34976;3082;46824
123;Beroeps- en eigen vervoer;Binnenlands vervoer;Totaal;2021;570092;36278;3225;48375
124;Beroeps- en eigen vervoer;Binnenlands vervoer;Totaal;2022;573299;35452;3144;50390
125;Beroeps- en eigen vervoer;Binnenlands vervoer;Totaal;2023;525871;33166;3035;47026
126;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 0;2010;1899;51;14;438
127;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 0;2011;1641;58;12;331
128;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 0;2012;995;28;6;208
129;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 0;2013;596;21;6;176
130;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 0;2014;294;12;4;93
131;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 0;2015;275;11;3;81
132;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 0;2016;130;5;1;42
133;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 0;2017;33;1;0;10
134;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 0;2018;8;0;0;5
135;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 0;2019;7;0;0;1
136;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 0;2020;1;0;0;0
137;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 0;2021;2;0;0;1
138;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 0;2022;0;0;0;0
139;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 0;2023;0;0;0;0
140;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 1;2010;6658;255;33;765
141;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 1;2011;4278;168;20;516
142;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 1;2012;3175;107;14;365
143;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 1;2013;2243;92;13;327
144;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 1;2014;2456;80;11;314
145;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 1;2015;1104;36;7;189
146;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 1;2016;773;28;5;156
147;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 1;2017;411;16;5;112
148;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 1;2018;408;12;5;87
149;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 1;2019;232;10;1;33
150;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 1;2020;48;2;0;10
151;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 1;2021;1;0;0;0
152;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 1;2022;0;0;0;0
153;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 1;2023;0;0;0;0
154;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 2;2010;61461;2605;252;5139
155;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 2;2011;44043;1887;207;4251
156;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 2;2012;26793;1181;130;2721
157;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 2;2013;24200;1025;101;2371
158;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 2;2014;14626;643;71;1654
159;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 2;2015;10953;414;51;1375
160;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 2;2016;8175;351;43;1042
161;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 2;2017;5826;191;32;900
162;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 2;2018;4539;153;23;632
163;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 2;2019;2910;116;16;403
164;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 2;2020;1763;53;10;357
165;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 2;2021;1398;51;9;259
166;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 2;2022;758;25;5;131
167;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 2;2023;790;16;2;74
168;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 3;2010;218230;12671;1100;16726
169;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 3;2011;187724;11026;1003;14974
170;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 3;2012;151968;8735;765;12065
171;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 3;2013;127815;7313;627;10568
172;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 3;2014;97771;5120;482;8359
173;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 3;2015;75380;3615;348;6667
174;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 3;2016;55585;2627;252;5065
175;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 3;2017;40802;1786;182;3791
176;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 3;2018;32475;1292;143;3172
177;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 3;2019;18939;777;89;1975
178;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 3;2020;10851;406;54;1402
179;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 3;2021;9659;403;47;1191
180;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 3;2022;6449;237;29;863
181;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 3;2023;3582;126;21;574
182;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 4;2010;47177;2837;277;4099
183;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 4;2011;50221;2846;293;4496
184;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 4;2012;50240;2581;270;4478
185;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 4;2013;46920;2904;286;4287
186;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 4;2014;41512;2568;275;4097
187;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 4;2015;33674;2001;222;3663
188;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 4;2016;30281;1671;185;3244
189;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 4;2017;23926;1306;141;2434
190;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 4;2018;19690;905;107;1977
191;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 4;2019;14235;692;80;1570
192;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 4;2020;11752;509;62;1346
193;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 4;2021;7631;353;48;954
194;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 4;2022;7291;311;37;831
195;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 4;2023;3003;102;18;533
196;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 5 en EEV;2010;185505;11695;906;12357
197;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 5 en EEV;2011;229028;14360;1182;16146
198;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 5 en EEV;2012;263080;15961;1401;19401
199;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 5 en EEV;2013;295217;19825;1697;22788
200;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 5 en EEV;2014;303563;20324;1781;24411
201;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 5 en EEV;2015;287897;18739;1715;24463
202;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 5 en EEV;2016;273110;17294;1610;23187
203;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 5 en EEV;2017;240335;14444;1290;19455
204;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 5 en EEV;2018;200034;11755;1080;16623
205;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 5 en EEV;2019;172763;9275;831;13995
206;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 5 en EEV;2020;123537;6589;615;11093
207;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 5 en EEV;2021;98911;5143;496;8893
208;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 5 en EEV;2022;72612;3375;339;6994
209;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 5 en EEV;2023;50114;2186;223;4862
210;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 6;2010;0;0;0;0
211;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 6;2011;0;0;0;0
212;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 6;2012;1183;125;6;55
213;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 6;2013;7981;664;49;585
214;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 6;2014;42881;3285;276;3391
215;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 6;2015;99600;7259;618;7998
216;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 6;2016;160314;11975;1002;12868
217;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 6;2017;222712;15378;1282;17199
218;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 6;2018;290651;19994;1663;21957
219;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 6;2019;350782;24472;2036;27423
220;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 6;2020;410857;27417;2341;32616
221;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 6;2021;452490;30327;2625;37076
222;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 6;2022;486190;31504;2734;41572
223;Beroeps- en eigen vervoer;Binnenlands vervoer;Euro 6;2023;468382;30737;2772;40984
224;Beroeps- en eigen vervoer;Internationaal vervoer;Totaal;2010;136773;46721;3099;8426
225;Beroeps- en eigen vervoer;Internationaal vervoer;Totaal;2011;140925;45198;3081;8665
226;Beroeps- en eigen vervoer;Internationaal vervoer;Totaal;2012;134271;41365;2851;8275
227;Beroeps- en eigen vervoer;Internationaal vervoer;Totaal;2013;137079;40236;2719;8759
228;Beroeps- en eigen vervoer;Internationaal vervoer;Totaal;2014;136588;40302;2761;9000
229;Beroeps- en eigen vervoer;Internationaal vervoer;Totaal;2015;132557;36824;2603;9086
230;Beroeps- en eigen vervoer;Internationaal vervoer;Totaal;2016;128048;33833;2364;8567
231;Beroeps- en eigen vervoer;Internationaal vervoer;Totaal;2017;131947;34410;2397;8832
232;Beroeps- en eigen vervoer;Internationaal vervoer;Totaal;2018;132364;34795;2420;8788
233;Beroeps- en eigen vervoer;Internationaal vervoer;Totaal;2019;128872;33579;2317;8427
234;Beroeps- en eigen vervoer;Internationaal vervoer;Totaal;2020;125432;32616;2287;8382
235;Beroeps- en eigen vervoer;Internationaal vervoer;Totaal;2021;129231;33279;2366;8673
236;Beroeps- en eigen vervoer;Internationaal vervoer;Totaal;2022;117427;30012;2145;8118
237;Beroeps- en eigen vervoer;Internationaal vervoer;Totaal;2023;116324;29403;2106;7987
238;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 0;2010;96;20;2;12
239;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 0;2011;60;7;2;14
240;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 0;2012;135;52;3;14
241;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 0;2013;55;5;1;9
242;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 0;2014;70;14;2;9
243;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 0;2015;19;2;0;7
244;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 0;2016;0;0;0;0
245;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 0;2017;2;1;0;0
246;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 0;2018;0;0;0;0
247;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 0;2019;0;0;0;0
248;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 0;2020;0;0;0;0
249;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 0;2021;0;0;0;0
250;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 0;2022;0;0;0;0
251;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 0;2023;0;0;0;0
252;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 1;2010;421;65;7;42
253;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 1;2011;278;72;7;31
254;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 1;2012;182;56;8;27
255;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 1;2013;122;20;3;25
256;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 1;2014;137;34;4;13
257;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 1;2015;33;5;2;12
258;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 1;2016;129;17;3;23
259;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 1;2017;38;8;1;8
260;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 1;2018;13;1;0;2
261;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 1;2019;3;1;1;0
262;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 1;2020;4;1;0;1
263;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 1;2021;0;0;0;0
264;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 1;2022;0;0;0;0
265;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 1;2023;0;0;0;0
266;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 2;2010;5156;1221;93;363
267;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 2;2011;4643;905;67;291
268;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 2;2012;2870;586;47;198
269;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 2;2013;2037;334;30;164
270;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 2;2014;1245;224;21;103
271;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 2;2015;1112;167;20;88
272;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 2;2016;641;64;6;51
273;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 2;2017;262;48;5;34
274;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 2;2018;506;75;7;55
275;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 2;2019;123;34;4;17
276;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 2;2020;116;32;3;12
277;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 2;2021;172;22;2;18
278;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 2;2022;51;13;1;5
279;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 2;2023;71;55;4;6
280;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 3;2010;55358;17858;1189;3435
281;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 3;2011;45520;13553;923;2825
282;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 3;2012;32204;8573;598;2004
283;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 3;2013;24492;6041;430;1610
284;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 3;2014;15976;4083;298;1096
285;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 3;2015;10424;2253;175;703
286;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 3;2016;5779;1339;97;402
287;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 3;2017;3588;813;64;276
288;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 3;2018;2394;528;49;215
289;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 3;2019;1526;307;27;149
290;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 3;2020;890;189;15;83
291;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 3;2021;684;226;17;56
292;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 3;2022;393;113;9;44
293;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 3;2023;298;54;7;32
294;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 4;2010;12954;4238;263;742
295;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 4;2011;13436;3876;259;795
296;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 4;2012;12945;3389;241;767
297;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 4;2013;10049;2602;183;657
298;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 4;2014;8576;2218;154;569
299;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 4;2015;6124;1404;106;425
300;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 4;2016;3226;750;64;245
301;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 4;2017;2949;566;46;222
302;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 4;2018;1966;450;40;162
303;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 4;2019;1496;242;20;116
304;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 4;2020;1014;148;12;72
305;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 4;2021;458;63;7;40
306;Beroeps- en eigen vervoer;Internationaal vervoer;Euro 4;2022;371;46;7;44
