ID;Perioden;TotaalMotorvoertuigen_1;Personenauto_2;TotaalBedrijfsmotorvoertuigen_3;Bestelauto_4;VrachtautoExclTrekkerVoorOplegger_5;TrekkerVoorOplegger_6;SpeciaalVoertuig_7;Bus_8;Motorfiets_9;TotaalMotorvoertuigen_10;Personenauto_11;TotaalBedrijfsmotorvoertuigen_12;Bestelauto_13;VrachtautoExclTrekkerVoorOplegger_14;TrekkerVoorOplegger_15;SpeciaalVoertuig_16;Bus_17;Motorfiets_18
101;2012;581711;502479;69295;56514;3535;7712;750;784;9937;2130591;1831482;189275;170854;8421;7359;1546;1095;109834
102;2013 januari;56125;47957;7695;6743;301;499;83;69;473;174891;151714;17185;14675;772;913;295;530;5992
103;2013 februari;37432;31901;4965;4159;226;518;43;19;566;171305;148631;16488;14658;760;803;203;64;6186
104;2013 maart;43347;35559;6179;5105;272;657;54;91;1609;187236;160011;16619;14819;748;844;139;69;10606
105;2013 1e kwartaal;136904;115417;18839;16007;799;1674;180;179;2648;533432;460356;50292;44152;2280;2560;637;663;22784
106;2013 april;36870;30408;5166;4283;213;537;65;68;1296;174601;147424;15120;13586;653;662;118;101;12057
107;2013 mei;36247;30083;5011;4018;245;659;50;39;1153;184480;156102;15582;13910;703;728;183;58;12796
108;2013 juni;41293;35043;5095;4207;221;594;56;17;1155;182785;155158;15127;13917;573;496;105;36;12500
109;2013 2e kwartaal;114410;95534;15272;12508;679;1790;171;124;3604;541866;458684;45829;41413;1929;1886;406;195;37353
110;2013 juli;36190;30475;4856;3949;271;561;69;6;859;178640;152081;14893;13615;640;479;120;39;11666
111;2013 augustus;33381;28309;4274;3409;188;633;35;9;798;169843;144661;13976;12804;538;475;91;68;11206
112;2013 september;36609;31394;4658;3701;243;640;56;18;557;161432;138134;14933;13430;641;674;107;81;8365
113;2013 3e kwartaal;106180;90178;13788;11059;702;1834;160;33;2214;509915;434876;43802;39849;1819;1628;318;188;31237
114;2013 oktober;41861;36313;5146;4159;279;621;84;3;402;173089;149005;16170;14529;686;679;123;153;7914
115;2013 november;45926;40357;5346;4208;242;773;71;52;223;170571;148997;15160;13685;623;623;98;131;6414
116;2013 december;45079;38918;6008;2627;860;2170;146;205;153;165538;142145;17766;14575;767;713;700;1011;5627
117;2013 4e kwartaal;132866;115588;16500;10994;1381;3564;301;260;778;509198;440147;49096;42789;2076;2015;921;1295;19955
118;2013;490360;416717;64399;50568;3561;8862;812;596;9244;2094411;1794063;189019;168203;8104;8089;2282;2341;111329
119;2014 januari;51469;44368;6553;6229;76;187;36;25;548;187945;163563;17534;15705;795;683;257;94;6848
120;2014 februari;39013;33298;5068;4432;123;430;49;34;647;165911;143323;15814;14296;762;581;119;56;6774
121;2014 maart;37036;29366;5913;4986;231;587;43;66;1757;176820;147198;16308;14611;710;771;156;60;13314
122;2014 1e kwartaal;127518;107032;17534;15647;430;1204;128;125;2952;530676;454084;49656;44612;2267;2035;532;210;26936
123;2014 april;34865;28282;5257;4226;266;585;41;139;1326;171155;142663;15954;14482;650;613;138;71;12538
124;2014 mei;37505;30943;5254;4349;259;549;67;30;1308;188332;159487;15719;14185;678;649;138;69;13126
125;2014 juni;39379;32699;5505;4688;231;505;69;12;1175;173042;146626;14559;13091;714;530;179;45;11857
126;2014 2e kwartaal;111749;91924;16016;13263;756;1639;177;181;3809;532529;448776;46232;41758;2042;1792;455;185;37521
127;2014 juli;35653;29764;4897;4002;276;545;61;13;992;181919;154364;16271;15013;587;534;81;56;11284
128;2014 augustus;30515;25524;4183;3381;202;559;35;6;808;167713;144368;13353;12209;479;512;103;50;9992
129;2014 september;35984;29807;5419;4250;235;860;40;34;758;169846;144856;15639;14139;604;695;142;59;9351
130;2014 3e kwartaal;102152;85095;14499;11633;713;1964;136;53;2558;519478;443588;45263;41361;1670;1741;326;165;30627
131;2014 oktober;41068;35112;5405;4154;293;908;46;4;551;179415;154335;16170;14692;632;653;119;74;8910
132;2014 november;37851;32192;5349;4350;250;655;61;33;310;161507;140529;13861;12646;553;514;97;51;7117
133;2014 december;40333;36214;3973;2714;282;640;64;273;146;167464;147441;14572;13250;566;577;110;69;5451
134;2014 4e kwartaal;119252;103518;14727;11218;825;2203;171;310;1007;508386;442305;44603;40588;1751;1744;326;194;21478
135;2014;460671;387569;62776;51761;2724;7010;612;669;10326;2091069;1788753;185754;168319;7730;7312;1639;754;116562
136;2015 januari;56004;47639;7716;6406;290;955;46;19;649;185079;162074;16898;14869;876;936;134;83;6107
137;2015 februari;39797;33421;5774;4574;302;827;53;18;602;165052;143767;14738;13282;612;694;99;51;6547
138;2015 maart;37960;28642;7517;5895;361;1143;51;67;1801;185710;157082;16818;15125;749;753;116;75;11810
139;2015 1e kwartaal;133761;109702;21007;16875;953;2925;150;104;3052;535841;462923;48454;43276;2237;2383;349;209;24464
140;2015 april;34357;26996;5880;4618;324;828;52;58;1481;182406;153950;15657;14102;663;687;112;93;12799
141;2015 mei;35069;27757;5912;4805;327;713;50;17;1400;184067;155999;14723;13510;580;498;70;65;13345
142;2015 juni;45299;36839;7141;5901;356;732;68;84;1319;194714;165199;16281;14911;587;650;92;41;13234
143;2015 2e kwartaal;114725;91592;18933;15324;1007;2273;170;159;4200;561187;475148;46661;42523;1830;1835;274;199;39378
144;2015 juli;40475;33820;5502;4323;339;713;100;27;1153;187734;159869;15949;14562;604;582;115;86;11916
145;2015 augustus;36277;30839;4488;3688;191;554;53;2;950;165658;141210;13526;12391;503;492;78;62;10922
146;2015 september;41910;35032;6049;4808;302;868;58;13;829;176100;151458;15684;14359;599;563;91;72;8958
147;2015 3e kwartaal;118662;99691;16039;12819;832;2135;211;42;2932;529492;452537;45159;41312;1706;1637;284;220;31796
148;2015 oktober;45234;38819;5779;4496;271;929;74;9;636;186533;161663;15977;14645;605;618;72;37;8893
149;2015 november;46425;40344;5771;4781;270;623;92;5;310;166202;144251;15303;13847;570;663;101;122;6648
150;2015 december;73241;68779;4271;3407;226;554;59;25;191;176742;153904;16366;14663;746;811;110;36;6472
151;2015 4e kwartaal;164900;147942;15821;12684;767;2106;225;39;1137;529477;459818;47646;43155;1921;2092;283;195;22013
152;2015;532048;448927;71800;57702;3559;9439;756;344;11321;2155997;1850426;187920;170266;7694;7947;1190;823;117651
153;2016 januari;50221;40542;9000;7389;371;1134;80;26;679;184539;161751;16627;14935;681;723;137;151;6161
154;2016 februari;36669;28097;7730;6306;303;1032;75;14;842;182663;158579;16860;15308;654;698;130;70;7224
155;2016 maart;41310;29626;9709;7646;388;1491;92;92;1975;194922;167159;17138;15436;729;759;167;47;10625
156;2016 1e kwartaal;128200;98265;26439;21341;1062;3657;247;132;3496;562124;487489;50625;45679;2064;2180;434;268;24010
157;2016 april;36778;27611;7490;5957;393;963;90;87;1677;195735;165074;17157;15629;633;689;112;94;13504
158;2016 mei;37038;28791;6829;5671;425;620;86;27;1418;188730;159640;15603;14390;569;523;85;36;13487
159;2016 juni;49553;39251;8762;7492;379;741;129;21;1540;209274;178867;17355;16016;631;560;102;46;13052
160;2016 2e kwartaal;123369;95653;23081;19120;1197;2324;305;135;4635;593739;503581;50115;46035;1833;1772;299;176;40043
161;2016 juli;38399;31029;6197;5076;374;618;123;6;1173;195230;166777;16320;15052;568;522;138;40;12133
162;2016 augustus;33353;26847;5565;4625;232;607;91;10;941;174804;150023;14189;13033;537;488;90;41;10592
163;2016 september;41006;33327;6690;5318;327;931;83;31;989;185129;157403;17074;15573;647;650;150;54;10652
164;2016 3e kwartaal;112758;91203;18452;15019;933;2156;297;47;3103;555163;474203;47583;43658;1752;1660;378;135;33377
165;2016 oktober;37106;29814;6678;5458;330;769;85;36;614;190934;164539;17179;15748;652;652;79;48;9216
166;2016 november;39676;32091;7233;5984;346;640;90;173;352;179924;156225;16857;15320;643;702;109;83;6842
167;2016 december;40710;35567;4738;3509;287;553;72;317;405;182879;159097;17440;15599;754;780;143;164;6342
168;2016 4e kwartaal;117492;97472;18649;14951;963;1962;247;526;1371;553737;479861;51476;46667;2049;2134;331;295;22400
169;2016;481819;382593;86621;70431;4155;10099;1096;840;12605;2264763;1945134;199799;182039;7698;7746;1442;874;119830
