ID;SectorBranchesSIC2008;Periods;TurnoverIndices_1;TurnoverYearOnYearChange_2
193;462 Wholesale of agricultural products;2017 4th quarter;115.6;-15.8
194;462 Wholesale of agricultural products;2017;122.7;-3.7
195;4621 Wholesale of grain, seeds etc.;2005 1st quarter;;
196;4621 Wholesale of grain, seeds etc.;2005 2nd quarter;;
197;4621 Wholesale of grain, seeds etc.;2005 3rd quarter;;
198;4621 Wholesale of grain, seeds etc.;2005 4th quarter;;
199;4621 Wholesale of grain, seeds etc.;2005;;
200;4621 Wholesale of grain, seeds etc.;2006 1st quarter;;
201;4621 Wholesale of grain, seeds etc.;2006 2nd quarter;;
202;4621 Wholesale of grain, seeds etc.;2006 3rd quarter;;
203;4621 Wholesale of grain, seeds etc.;2006 4th quarter;;
204;4621 Wholesale of grain, seeds etc.;2006;;
205;4621 Wholesale of grain, seeds etc.;2007 1st quarter;65.0;
206;4621 Wholesale of grain, seeds etc.;2007 2nd quarter;64.4;
207;4621 Wholesale of grain, seeds etc.;2007 3rd quarter;73.0;
208;4621 Wholesale of grain, seeds etc.;2007 4th quarter;108.6;
209;4621 Wholesale of grain, seeds etc.;2007;77.7;
210;4621 Wholesale of grain, seeds etc.;2008 1st quarter;97.8;50.5
211;4621 Wholesale of grain, seeds etc.;2008 2nd quarter;99.7;55.0
212;4621 Wholesale of grain, seeds etc.;2008 3rd quarter;125.0;71.2
213;4621 Wholesale of grain, seeds etc.;2008 4th quarter;83.7;-22.9
214;4621 Wholesale of grain, seeds etc.;2008;101.6;30.7
215;4621 Wholesale of grain, seeds etc.;2009 1st quarter;88.4;-9.6
216;4621 Wholesale of grain, seeds etc.;2009 2nd quarter;82.5;-17.3
217;4621 Wholesale of grain, seeds etc.;2009 3rd quarter;81.5;-34.8
218;4621 Wholesale of grain, seeds etc.;2009 4th quarter;87.9;5.0
219;4621 Wholesale of grain, seeds etc.;2009;85.1;-16.2
220;4621 Wholesale of grain, seeds etc.;2010 1st quarter;86.5;-2.2
221;4621 Wholesale of grain, seeds etc.;2010 2nd quarter;94.8;14.9
222;4621 Wholesale of grain, seeds etc.;2010 3rd quarter;99.8;22.4
223;4621 Wholesale of grain, seeds etc.;2010 4th quarter;119.0;35.4
224;4621 Wholesale of grain, seeds etc.;2010;100.0;17.6
225;4621 Wholesale of grain, seeds etc.;2011 1st quarter;119.9;38.7
226;4621 Wholesale of grain, seeds etc.;2011 2nd quarter;116.8;23.3
227;4621 Wholesale of grain, seeds etc.;2011 3rd quarter;111.3;11.5
228;4621 Wholesale of grain, seeds etc.;2011 4th quarter;119.4;0.3
229;4621 Wholesale of grain, seeds etc.;2011;116.8;16.8
230;4621 Wholesale of grain, seeds etc.;2012 1st quarter;125.5;4.7
231;4621 Wholesale of grain, seeds etc.;2012 2nd quarter;142.5;22.0
232;4621 Wholesale of grain, seeds etc.;2012 3rd quarter;145.6;30.9
233;4621 Wholesale of grain, seeds etc.;2012 4th quarter;143.2;19.9
234;4621 Wholesale of grain, seeds etc.;2012;139.2;19.1
235;4621 Wholesale of grain, seeds etc.;2013 1st quarter;144.5;15.2
236;4621 Wholesale of grain, seeds etc.;2013 2nd quarter;145.0;1.7
237;4621 Wholesale of grain, seeds etc.;2013 3rd quarter;129.5;-11.1
238;4621 Wholesale of grain, seeds etc.;2013 4th quarter;129.2;-9.7
239;4621 Wholesale of grain, seeds etc.;2013;137.0;-1.5
240;4621 Wholesale of grain, seeds etc.;2014 1st quarter;122.8;-15.1
241;4621 Wholesale of grain, seeds etc.;2014 2nd quarter;131.2;-9.5
242;4621 Wholesale of grain, seeds etc.;2014 3rd quarter;121.3;-6.3
243;4621 Wholesale of grain, seeds etc.;2014 4th quarter;130.3;0.9
244;4621 Wholesale of grain, seeds etc.;2014;126.4;-7.8
245;4621 Wholesale of grain, seeds etc.;2015 1st quarter;132.1;7.6
246;4621 Wholesale of grain, seeds etc.;2015 2nd quarter;130.1;-0.8
247;4621 Wholesale of grain, seeds etc.;2015 3rd quarter;127.4;5.0
248;4621 Wholesale of grain, seeds etc.;2015 4th quarter;141.2;8.3
249;4621 Wholesale of grain, seeds etc.;2015;132.7;5.0
250;4621 Wholesale of grain, seeds etc.;2016 1st quarter;128.1;-3.0
251;4621 Wholesale of grain, seeds etc.;2016 2nd quarter;132.6;1.9
252;4621 Wholesale of grain, seeds etc.;2016 3rd quarter;130.1;2.1
253;4621 Wholesale of grain, seeds etc.;2016 4th quarter;151.7;7.5
254;4621 Wholesale of grain, seeds etc.;2016;135.6;2.2
255;4621 Wholesale of grain, seeds etc.;2017 1st quarter;136.9;6.8
256;4621 Wholesale of grain, seeds etc.;2017 2nd quarter;130.7;-1.4
257;4621 Wholesale of grain, seeds etc.;2017 3rd quarter;118.7;-8.8
258;4621 Wholesale of grain, seeds etc.;2017 4th quarter;118.2;-22.1
259;4621 Wholesale of grain, seeds etc.;2017;126.1;-7.0
260;4622 Wholesale of flowers and plants;2005 1st quarter;;
261;4622 Wholesale of flowers and plants;2005 2nd quarter;;
262;4622 Wholesale of flowers and plants;2005 3rd quarter;;
263;4622 Wholesale of flowers and plants;2005 4th quarter;;
264;4622 Wholesale of flowers and plants;2005;;
265;4622 Wholesale of flowers and plants;2006 1st quarter;;
266;4622 Wholesale of flowers and plants;2006 2nd quarter;;
267;4622 Wholesale of flowers and plants;2006 3rd quarter;;
268;4622 Wholesale of flowers and plants;2006 4th quarter;;
269;4622 Wholesale of flowers and plants;2006;;
270;4622 Wholesale of flowers and plants;2007 1st quarter;106.6;
271;4622 Wholesale of flowers and plants;2007 2nd quarter;97.4;
272;4622 Wholesale of flowers and plants;2007 3rd quarter;85.8;
273;4622 Wholesale of flowers and plants;2007 4th quarter;98.3;
274;4622 Wholesale of flowers and plants;2007;97.0;
275;4622 Wholesale of flowers and plants;2008 1st quarter;125.8;18.0
276;4622 Wholesale of flowers and plants;2008 2nd quarter;107.5;10.4
277;4622 Wholesale of flowers and plants;2008 3rd quarter;87.4;1.9
278;4622 Wholesale of flowers and plants;2008 4th quarter;100.7;2.4
279;4622 Wholesale of flowers and plants;2008;105.4;8.6
280;4622 Wholesale of flowers and plants;2009 1st quarter;119.0;-5.4
281;4622 Wholesale of flowers and plants;2009 2nd quarter;113.0;5.1
282;4622 Wholesale of flowers and plants;2009 3rd quarter;83.9;-4.1
283;4622 Wholesale of flowers and plants;2009 4th quarter;95.4;-5.2
284;4622 Wholesale of flowers and plants;2009;102.8;-2.4
285;4622 Wholesale of flowers and plants;2010 1st quarter;116.4;-2.2
286;4622 Wholesale of flowers and plants;2010 2nd quarter;110.5;-2.2
287;4622 Wholesale of flowers and plants;2010 3rd quarter;84.3;0.6
288;4622 Wholesale of flowers and plants;2010 4th quarter;88.8;-6.9
289;4622 Wholesale of flowers and plants;2010;100.0;-2.7
290;4622 Wholesale of flowers and plants;2011 1st quarter;113.6;-2.4
291;4622 Wholesale of flowers and plants;2011 2nd quarter;110.8;0.3
292;4622 Wholesale of flowers and plants;2011 3rd quarter;90.0;6.7
293;4622 Wholesale of flowers and plants;2011 4th quarter;94.9;6.9
294;4622 Wholesale of flowers and plants;2011;102.3;2.3
295;4622 Wholesale of flowers and plants;2012 1st quarter;117.6;3.5
296;4622 Wholesale of flowers and plants;2012 2nd quarter;111.7;0.8
297;4622 Wholesale of flowers and plants;2012 3rd quarter;89.0;-1.1
298;4622 Wholesale of flowers and plants;2012 4th quarter;93.7;-1.3
299;4622 Wholesale of flowers and plants;2012;103.0;0.6
300;4622 Wholesale of flowers and plants;2013 1st quarter;119.4;1.5
301;4622 Wholesale of flowers and plants;2013 2nd quarter;116.1;4.0
302;4622 Wholesale of flowers and plants;2013 3rd quarter;87.2;-2.1
303;4622 Wholesale of flowers and plants;2013 4th quarter;95.3;1.8
304;4622 Wholesale of flowers and plants;2013;104.5;1.4
305;4622 Wholesale of flowers and plants;2014 1st quarter;117.3;-1.8
306;4622 Wholesale of flowers and plants;2014 2nd quarter;110.4;-4.9
307;4622 Wholesale of flowers and plants;2014 3rd quarter;89.3;2.5
308;4622 Wholesale of flowers and plants;2014 4th quarter;99.2;4.1
309;4622 Wholesale of flowers and plants;2014;104.1;-0.4
310;4622 Wholesale of flowers and plants;2015 1st quarter;124.4;6.1
311;4622 Wholesale of flowers and plants;2015 2nd quarter;114.8;4.0
312;4622 Wholesale of flowers and plants;2015 3rd quarter;91.6;2.5
313;4622 Wholesale of flowers and plants;2015 4th quarter;101.6;2.4
314;4622 Wholesale of flowers and plants;2015;108.1;3.9
315;4622 Wholesale of flowers and plants;2016 1st quarter;127.0;2.1
316;4622 Wholesale of flowers and plants;2016 2nd quarter;121.5;5.8
317;4622 Wholesale of flowers and plants;2016 3rd quarter;96.0;4.8
318;4622 Wholesale of flowers and plants;2016 4th quarter;106.6;4.8
319;4622 Wholesale of flowers and plants;2016;112.8;4.3
320;4622 Wholesale of flowers and plants;2017 1st quarter;132.4;4.3
321;4622 Wholesale of flowers and plants;2017 2nd quarter;123.9;1.9
322;4622 Wholesale of flowers and plants;2017 3rd quarter;99.7;3.9
323;4622 Wholesale of flowers and plants;2017 4th quarter;107.1;0.5
324;4622 Wholesale of flowers and plants;2017;115.8;2.7
325;463 Wholesale of food and beverages ;2005 1st quarter;76.3;
326;463 Wholesale of food and beverages ;2005 2nd quarter;83.8;
327;463 Wholesale of food and beverages ;2005 3rd quarter;79.4;
328;463 Wholesale of food and beverages ;2005 4th quarter;88.4;
329;463 Wholesale of food and beverages ;2005;82.0;
330;463 Wholesale of food and beverages ;2006 1st quarter;81.4;6.6
331;463 Wholesale of food and beverages ;2006 2nd quarter;89.8;7.2
332;463 Wholesale of food and beverages ;2006 3rd quarter;81.2;2.3
333;463 Wholesale of food and beverages ;2006 4th quarter;89.6;1.4
334;463 Wholesale of food and beverages ;2006;85.5;4.3
335;463 Wholesale of food and beverages ;2007 1st quarter;83.9;3.0
336;463 Wholesale of food and beverages ;2007 2nd quarter;94.1;4.8
337;463 Wholesale of food and beverages ;2007 3rd quarter;89.0;9.6
338;463 Wholesale of food and beverages ;2007 4th quarter;98.0;9.4
339;463 Wholesale of food and beverages ;2007;91.3;6.7
340;463 Wholesale of food and beverages ;2008 1st quarter;90.8;8.3
341;463 Wholesale of food and beverages ;2008 2nd quarter;99.6;5.8
342;463 Wholesale of food and beverages ;2008 3rd quarter;93.0;4.5
343;463 Wholesale of food and beverages ;2008 4th quarter;101.4;3.4
344;463 Wholesale of food and beverages ;2008;96.2;5.4
345;463 Wholesale of food and beverages ;2009 1st quarter;90.3;-0.6
346;463 Wholesale of food and beverages ;2009 2nd quarter;97.6;-2.0
347;463 Wholesale of food and beverages ;2009 3rd quarter;92.1;-1.0
348;463 Wholesale of food and beverages ;2009 4th quarter;101.9;0.6
349;463 Wholesale of food and beverages ;2009;95.5;-0.7
350;463 Wholesale of food and beverages ;2010 1st quarter;93.3;3.3
351;463 Wholesale of food and beverages ;2010 2nd quarter;104.3;6.8
352;463 Wholesale of food and beverages ;2010 3rd quarter;97.1;5.5
353;463 Wholesale of food and beverages ;2010 4th quarter;105.3;3.3
354;463 Wholesale of food and beverages ;2010;100.0;4.7
355;463 Wholesale of food and beverages ;2011 1st quarter;97.3;4.3
356;463 Wholesale of food and beverages ;2011 2nd quarter;105.5;1.1
357;463 Wholesale of food and beverages ;2011 3rd quarter;98.5;1.4
358;463 Wholesale of food and beverages ;2011 4th quarter;103.2;-2.0
359;463 Wholesale of food and beverages ;2011;101.1;1.1
360;463 Wholesale of food and beverages ;2012 1st quarter;99.0;1.7
361;463 Wholesale of food and beverages ;2012 2nd quarter;108.6;2.9
362;463 Wholesale of food and beverages ;2012 3rd quarter;103.6;5.1
363;463 Wholesale of food and beverages ;2012 4th quarter;109.2;5.8
364;463 Wholesale of food and beverages ;2012;105.1;3.9
365;463 Wholesale of food and beverages ;2013 1st quarter;98.3;-0.7
366;463 Wholesale of food and beverages ;2013 2nd quarter;111.5;2.7
367;463 Wholesale of food and beverages ;2013 3rd quarter;106.4;2.7
368;463 Wholesale of food and beverages ;2013 4th quarter;108.7;-0.5
369;463 Wholesale of food and beverages ;2013;106.2;1.0
370;463 Wholesale of food and beverages ;2014 1st quarter;100.0;1.7
371;463 Wholesale of food and beverages ;2014 2nd quarter;111.2;-0.2
372;463 Wholesale of food and beverages ;2014 3rd quarter;105.2;-1.1
373;463 Wholesale of food and beverages ;2014 4th quarter;110.1;1.3
374;463 Wholesale of food and beverages ;2014;106.6;0.4
375;463 Wholesale of food and beverages ;2015 1st quarter;99.5;-0.4
376;463 Wholesale of food and beverages ;2015 2nd quarter;113.7;2.2
377;463 Wholesale of food and beverages ;2015 3rd quarter;110.1;4.7
378;463 Wholesale of food and beverages ;2015 4th quarter;114.7;4.2
379;463 Wholesale of food and beverages ;2015;109.5;2.7
380;463 Wholesale of food and beverages ;2016 1st quarter;104.7;5.2
381;463 Wholesale of food and beverages ;2016 2nd quarter;115.8;1.8
382;463 Wholesale of food and beverages ;2016 3rd quarter;112.8;2.5
383;463 Wholesale of food and beverages ;2016 4th quarter;114.6;-0.1
384;463 Wholesale of food and beverages ;2016;112.0;2.3
385;463 Wholesale of food and beverages ;2017 1st quarter;108.6;3.7
386;463 Wholesale of food and beverages ;2017 2nd quarter;121.9;5.3
387;463 Wholesale of food and beverages ;2017 3rd quarter;115.5;2.4
388;463 Wholesale of food and beverages ;2017 4th quarter;120.0;4.7
389;463 Wholesale of food and beverages ;2017;116.5;4.0
390;4631 Wholesale of vegetables, potatoes;2005 1st quarter;;
391;4631 Wholesale of vegetables, potatoes;2005 2nd quarter;;
392;4631 Wholesale of vegetables, potatoes;2005 3rd quarter;;
393;4631 Wholesale of vegetables, potatoes;2005 4th quarter;;
394;4631 Wholesale of vegetables, potatoes;2005;;
395;4631 Wholesale of vegetables, potatoes;2006 1st quarter;;
396;4631 Wholesale of vegetables, potatoes;2006 2nd quarter;;
397;4631 Wholesale of vegetables, potatoes;2006 3rd quarter;;
398;4631 Wholesale of vegetables, potatoes;2006 4th quarter;;
399;4631 Wholesale of vegetables, potatoes;2006;;
400;4631 Wholesale of vegetables, potatoes;2007 1st quarter;89.3;
401;4631 Wholesale of vegetables, potatoes;2007 2nd quarter;105.6;
402;4631 Wholesale of vegetables, potatoes;2007 3rd quarter;84.2;
403;4631 Wholesale of vegetables, potatoes;2007 4th quarter;83.4;
404;4631 Wholesale of vegetables, potatoes;2007;90.6;
405;4631 Wholesale of vegetables, potatoes;2008 1st quarter;95.2;6.6
406;4631 Wholesale of vegetables, potatoes;2008 2nd quarter;112.8;6.8
407;4631 Wholesale of vegetables, potatoes;2008 3rd quarter;89.1;5.7
408;4631 Wholesale of vegetables, potatoes;2008 4th quarter;84.8;1.7
409;4631 Wholesale of vegetables, potatoes;2008;95.5;5.3
410;4631 Wholesale of vegetables, potatoes;2009 1st quarter;95.0;-0.3
411;4631 Wholesale of vegetables, potatoes;2009 2nd quarter;109.6;-2.9
412;4631 Wholesale of vegetables, potatoes;2009 3rd quarter;83.1;-6.7
413;4631 Wholesale of vegetables, potatoes;2009 4th quarter;79.8;-5.9
414;4631 Wholesale of vegetables, potatoes;2009;91.9;-3.8
415;4631 Wholesale of vegetables, potatoes;2010 1st quarter;93.3;-1.8
