ID;Geslacht;Leeftijd;Migratiemotief;SociaaleconomischeCategorie;Nationaliteit;Verblijfsduur;JaarVanImmigratie;ImmigrantenExclusiefEUEFTA_1
70;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;3 jaar;2019;90770.0
71;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;3 jaar;2020;61545.0
72;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;3 jaar;2021;
73;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;3 jaar;2022;
74;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;3 jaar;2023;
75;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;4 jaar;1999 ;55625.0
76;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;4 jaar;2000 ;68045.0
77;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;4 jaar;2001;70485.0
78;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;4 jaar;2002 ;64855.0
79;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;4 jaar;2003;53600.0
80;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;4 jaar;2004 ;38680.0
81;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;4 jaar;2005 ;36125.0
82;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;4 jaar;2006;36155.0
83;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;4 jaar;2007 ;36315.0
84;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;4 jaar;2008;46980.0
85;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;4 jaar;2009;49795.0
86;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;4 jaar;2010 ;48925.0
87;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;4 jaar;2011;49095.0
88;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;4 jaar;2012 ;44735.0
