ID;Perioden;TotaalPersonenInHuishoudens_1;TotaalPersonenInParticuliereHuish_2;ThuiswonendKind_3;Alleenstaand_4;Samenwonend_5;OuderInEenouderhuishouden_6;OverigLidHuishouden_7;PersonenInInstitutioneleHuishoudens_8;TotaalParticuliereHuishoudens_9;Eenpersoonshuishouden_10;TotaalMeerpersoonshuishoudens_11;Paar_12;Eenouderhuishouden_13;OverigHuishouden_14;TotaalParticuliereHuishoudens_15;Eenpersoonshuishouden_16;TotaalMeerpersoonshuishoudens_17;k_2Personen_18;k_3Personen_19;k_4Personen_20;k_5OfMeerPersonen_21;GemiddeldeHuishoudensgrootte_22;TotaalHuishoudensMetKinderen_23;k_1Kind_24;k_2Kinderen_25;k_3OfMeerKinderen_26;TotaalParenMetKinderen_27;k_1Kind_28;k_2Kinderen_29;k_3OfMeerKinderen_30;TotaalEenouderhuishoudens_31;k_1Kind_32;k_2Kinderen_33;k_3OfMeerKinderen_34;TotaalHuishoudensMetKinderen_35;JongsteKind0Tot3Jaar_36;JongsteKind3Tot6Jaar_37;JongsteKind6Tot12Jaar_38;JongsteKind12Tot18Jaar_39;JongsteKind18JaarOfOuder_40
29;2045;18139986;17838241;4735124;3629595;8580118;605299;288105;301745;8569453;3629611;4939842;4290057;605303;44482;8569453;3629611;4939842;2570713;982948;989718;396462;2.08;2694557;1184632;1118981;390942;2089254;804793;943056;341405;605303;379839;175925;49537;2694554;500232;336479;589005;566108;702730
30;2046;18141096;17837082;4730500;3639752;8571340;606236;289254;304014;8576300;3639758;4936542;4285672;606227;44643;8576300;3639758;4936542;2566385;985786;988655;395717;2.08;2696255;1188340;1118043;389874;2090028;807617;941968;340443;606227;380723;176075;49431;2696254;500244;334902;585799;566736;708573
31;2047;18141485;17835258;4724794;3649431;8563748;606901;290384;306227;8583006;3649425;4933581;4281874;606892;44815;8583006;3649425;4933581;2562865;988678;987297;394741;2.08;2697302;1191993;1116707;388603;2090410;810563;940570;339277;606892;381430;176137;49326;2697304;500981;333571;582281;566702;713769
32;2048;18141478;17833082;4718395;3658506;8557381;607291;291509;308396;8589477;3658512;4930965;4278691;607287;44987;8589477;3658512;4930965;2560044;991374;985841;393706;2.08;2697762;1195270;1115199;387293;2090475;813346;939065;338064;607287;381924;176134;49229;2697760;502425;332535;578616;565921;718263
33;2049;18141384;17830890;4711710;3666653;8552268;607675;292584;310494;8595615;3666651;4928964;4276135;607679;45150;8595615;3666651;4928964;2557732;994181;984398;392653;2.07;2698416;1198795;1113676;385945;2090737;816283;937598;336856;607679;382512;176078;49089;2698416;504624;331968;575112;564488;722224
34;2050;18141420;17828932;4705116;3674160;8548402;607545;293709;312488;8601211;3674158;4927053;4274199;607533;45321;8601211;3674158;4927053;2556097;996458;982859;391640;2.07;2698032;1201437;1111952;384642;2090499;818783;936035;335681;607533;382654;175917;48961;2698031;507190;331772;571591;562161;725317
35;2051;18141702;17827378;4698902;3680658;8545862;607146;294810;314324;8606209;3680662;4925547;4272930;607131;45486;8606209;3680662;4925547;2554952;998592;981368;390635;2.07;2697457;1203945;1110177;383333;2090326;821260;934541;334525;607131;382685;175636;48808;2697455;510118;332085;568375;559152;727725
36;2052;18142377;17826403;4693339;3686061;8544585;606550;295868;315974;8610560;3686063;4924497;4272292;606554;45651;8610560;3686063;4924497;2554210;1000463;980054;389769;2.07;2696770;1206026;1108539;382205;2090216;823486;933212;333518;606554;382540;175327;48687;2696772;513240;332906;565606;555619;729401
37;2053;18143557;17826157;4688632;3690271;8544590;605797;296867;317400;8614164;3690273;4923891;4272296;605798;45797;8614164;3690273;4923891;2553701;1001908;979093;389188;2.07;2696037;1207355;1107281;381400;2090239;825220;932224;332795;605798;382135;175057;48605;2696036;516415;334159;563413;551746;730303
38;2054;18145388;17826808;4684957;3693247;8545884;604923;297797;318580;8617041;3693251;4923790;4272944;604918;45928;8617041;3693251;4923790;2553606;1003134;978316;388734;2.07;2695341;1208437;1106180;380722;2090423;826768;931443;332212;604918;381669;174737;48510;2695337;519493;335761;561939;547722;730422
39;2055;18147996;17828504;4682408;3694963;8548533;603957;298643;319492;8619209;3694955;4924254;4274266;603956;46032;8619209;3694955;4924254;2553876;1003926;977850;388601;2.07;2694756;1208966;1105392;380395;2090800;827875;930974;331951;603956;381091;174418;48444;2694757;522411;337596;561300;543708;729742
40;2056;18151509;17831412;4681075;3695484;8552520;602933;299400;320097;8620794;3695487;4925307;4276262;602924;46121;8620794;3695487;4925307;2554610;1004527;977588;388582;2.07;2694295;1209324;1104774;380197;2091371;828836;930718;331817;602924;380488;174056;48380;2694294;525050;339565;561523;539834;728322
41;2057;18156035;17835653;4680996;3694884;8557835;601863;300075;320382;8621866;3694891;4926975;4278917;601868;46190;8621866;3694891;4926975;2555689;1004802;977675;388809;2.07;2694006;1209165;1104556;380285;2092138;829400;930802;331936;601868;379765;173754;48349;2694003;527375;341577;562601;536246;726204
42;2058;18161682;17841343;4682168;3693274;8564442;600789;300670;320339;8622529;3693260;4929269;4282221;600799;46249;8622529;3693260;4929269;2557070;1004671;978201;389327;2.07;2693890;1208309;1104870;380712;2093091;829435;931311;332345;600799;378874;173559;48367;2693889;529326;343551;564430;533098;723484
43;2059;18168586;17848612;4684570;3690815;8572310;599733;301184;319974;8622981;3690812;4932169;4286153;599733;46283;8622981;3690812;4932169;2558879;1004319;978968;390002;2.07;2693974;1207250;1105409;381313;2094241;829267;932063;332911;599733;377983;173346;48402;2693973;530875;345413;566870;530545;720270
44;2060;18176850;17857530;4688144;3687670;8581363;598718;301635;319320;8623341;3687652;4935689;4290680;598717;46292;8623341;3687652;4935689;2561100;1003769;979998;390823;2.07;2694284;1205951;1106274;382059;2095567;828859;933089;333619;598717;377092;173185;48440;2694283;531886;347172;569803;528719;716703
