ID;ForecastInterval;Periods;TotalPopulation_1;k_0To20Years_2;k_20To65Years_3;k_65YearsAndOlder_4;k_0To20Years_5;k_20To65Years_6;k_65YearsAndOlder_7;TotalPressure_8;GreenPressure_9;GreyPressure_10;LiveBirths_11;TotalFertilityRate_12;Deaths_13;Total_14;Men_15;Women_16;Total_17;Men_18;Women_19;Immigration_20;EmigrationInclNetAdmCorr_21;NetMigrationInclNetAdmCorr_22
35;Forecast;2049;18006728.0;3826790.0;9487299.0;4692640.0;21.3;52.7;26.1;89.8;40.3;49.5;185342.0;1.75;199974.0;86.94;85.52;88.34;23.59;22.52;24.65;185949.0;169643.0;16306.0
36;Forecast;2050;18008402.0;3819491.0;9506194.0;4682717.0;21.2;52.8;26.0;89.4;40.2;49.3;186340.0;1.75;200497.0;87.09;85.66;88.49;23.71;22.63;24.77;186034.0;169838.0;16196.0
37;Forecast;2051;18010442.0;3813200.0;9522114.0;4675128.0;21.2;52.9;26.0;89.1;40.0;49.1;187349.0;1.75;200972.0;87.23;85.81;88.63;23.82;22.74;24.89;186125.0;170034.0;16091.0
38;Forecast;2052;18012910.0;3808130.0;9532968.0;4671811.0;21.1;52.9;25.9;89.0;39.9;49.0;188326.0;1.75;201356.0;87.37;85.94;88.77;23.93;22.85;25.0;186176.0;170225.0;15951.0
39;Forecast;2053;18015830.0;3804491.0;9542056.0;4669284.0;21.1;53.0;25.9;88.8;39.9;48.9;189246.0;1.75;201613.0;87.51;86.08;88.92;24.05;22.96;25.12;186245.0;170416.0;15829.0
40;Forecast;2054;18019292.0;3802452.0;9551050.0;4665790.0;21.1;53.0;25.9;88.7;39.8;48.9;190082.0;1.75;201703.0;87.65;86.22;89.05;24.16;23.07;25.23;186313.0;170597.0;15716.0
41;Forecast;2055;18023386.0;3802112.0;9556972.0;4664303.0;21.1;53.0;25.9;88.6;39.8;48.8;190814.0;1.75;201587.0;87.79;86.36;89.19;24.27;23.17;25.34;186386.0;170772.0;15614.0
42;Forecast;2056;18028228.0;3803544.0;9554546.0;4670137.0;21.1;53.0;25.9;88.7;39.8;48.9;191424.0;1.75;201237.0;87.93;86.49;89.33;24.38;23.28;25.45;186435.0;170939.0;15496.0
43;Forecast;2057;18033912.0;3806734.0;9550657.0;4676521.0;21.1;53.0;25.9;88.8;39.9;49.0;191910.0;1.75;200637.0;88.06;86.63;89.46;24.48;23.38;25.56;186458.0;171090.0;15368.0
44;Forecast;2058;18040554.0;3811586.0;9547460.0;4681507.0;21.1;52.9;25.9;89.0;39.9;49.0;192269.0;1.75;199778.0;88.2;86.76;89.59;24.59;23.49;25.67;186505.0;171232.0;15273.0
45;Forecast;2059;18048318.0;3817948.0;9544186.0;4686184.0;21.2;52.9;26.0;89.1;40.0;49.1;192500.0;1.75;198655.0;88.33;86.89;89.72;24.7;23.59;25.78;186519.0;171357.0;15162.0
46;Forecast;2060;18057326.0;3825603.0;9538944.0;4692778.0;21.2;52.8;26.0;89.3;40.1;49.2;;1.75;;88.46;87.02;89.85;24.8;23.7;25.89;;;
47;Lower limit 95% forecast-interval;2014;;;;;;;;;;;166638.0;1.63;129085.0;80.87;79.13;82.49;19.25;17.81;20.51;153468.0;128501.0;1846.0
48;Lower limit 95% forecast-interval;2015;16861768.0;3816829.0;10040527.0;2995712.0;22.6;59.5;17.7;67.7;37.9;29.7;166450.0;1.62;127342.0;80.73;79.01;82.33;19.12;17.72;20.37;148117.0;127699.0;-7482.0
