ID;Taakvelden;Jaren;Investeringen_1;TotaalKosten_2;Personeelskosten_3;TotaalKapitaallasten_4;Rente_5;Afschrijving_6;GesubsidieerdeKapitaallasten_7;Huren_8;Onderhoud_9;BelastingenEnVerzekeringen_10;EnergieEnWater_11;Chemicalien_12;Slibverwerking_13;Overig_14;TotaleKostenPerIEOntwerp_15;TotaleKostenPerIEAangevoerd_16;TotaleKostenPerIEGezuiverd_17
18;Transporteren van afvalwater;1981;41;48;2;40;23;10;7;0;2;0;4;0;0;0;;;
19;Transporteren van afvalwater;1982;50;52;2;44;25;10;9;0;2;0;4;0;0;0;;;
20;Transporteren van afvalwater;1983;61;64;3;52;30;12;10;0;3;0;5;0;0;0;;;
21;Transporteren van afvalwater;1984;42;66;2;54;31;14;10;0;3;0;6;0;0;0;;;
22;Transporteren van afvalwater;1985;58;78;2;65;37;18;10;0;3;0;7;0;0;1;;;
23;Transporteren van afvalwater;1986;51;83;3;68;41;18;10;0;3;0;6;0;0;3;;;
24;Transporteren van afvalwater;1987;56;85;3;70;40;19;11;0;4;0;6;0;0;1;;;
25;Transporteren van afvalwater;1988;30;100;3;83;39;33;11;0;5;0;7;0;0;2;;;
26;Transporteren van afvalwater;1989;25;96;3;80;44;23;12;0;5;0;7;0;0;1;;;
27;Transporteren van afvalwater;1990;49;103;4;83;45;26;12;0;7;0;7;0;0;2;;;
28;Transporteren van afvalwater;1991;23;104;4;85;47;26;12;0;7;0;7;0;0;1;;;
29;Transporteren van afvalwater;1992;41;117;5;94;48;34;12;0;8;0;8;0;0;2;;;
30;Transporteren van afvalwater;1993;45;115;6;92;46;35;11;0;7;0;9;0;0;2;;;
31;Transporteren van afvalwater;1994;52;124;7;98;44;44;11;0;8;0;10;0;0;1;;;
32;Transporteren van afvalwater;1995;39;107;6;82;40;31;11;0;8;0;9;0;0;2;;;
33;Transporteren van afvalwater;1996;49;122;6;94;44;39;10;1;8;1;9;0;0;3;;;
34;Transporteren van afvalwater;1997;40;118;5;89;41;37;11;2;8;0;11;0;0;3;;;
35;Transporteren van afvalwater;1998;52;121;7;90;41;38;10;2;8;0;11;0;0;3;;;
36;Zuivering en slibverwerking;1981;84;202;28;121;67;32;22;0;13;0;26;3;10;2;;;
37;Zuivering en slibverwerking;1982;153;234;30;140;78;36;26;0;14;1;30;4;12;3;;;
38;Zuivering en slibverwerking;1983;165;253;32;153;83;39;31;0;16;1;30;4;14;4;;;
39;Zuivering en slibverwerking;1984;104;261;31;157;81;42;34;0;15;1;31;4;16;7;;;
40;Zuivering en slibverwerking;1985;164;289;33;172;89;49;35;0;16;1;33;5;22;6;;;
41;Zuivering en slibverwerking;1986;96;290;35;176;86;56;34;0;18;1;26;5;24;5;;;
42;Zuivering en slibverwerking;1987;207;305;36;182;86;62;34;0;21;1;25;6;29;4;;;
43;Zuivering en slibverwerking;1988;141;331;39;199;89;70;40;0;20;1;25;7;35;4;;;
44;Zuivering en slibverwerking;1989;164;351;36;212;95;70;47;0;22;1;26;8;42;5;;;
45;Zuivering en slibverwerking;1990;157;376;39;222;99;73;50;0;25;1;27;9;50;5;;;
46;Zuivering en slibverwerking;1991;107;409;41;231;99;81;51;0;29;1;28;11;61;8;;;
47;Zuivering en slibverwerking;1992;188;441;43;249;103;96;50;0;32;1;28;13;66;10;;;
48;Zuivering en slibverwerking;1993;177;474;43;259;107;105;47;0;33;1;30;15;83;11;;;
49;Zuivering en slibverwerking;1994;181;488;45;245;105;92;48;0;33;1;31;14;107;13;;;
50;Zuivering en slibverwerking;1995;297;543;44;278;114;117;48;0;34;2;34;21;116;14;;;
51;Zuivering en slibverwerking;1996;377;567;47;274;105;123;46;21;33;2;36;25;113;16;;;
52;Zuivering en slibverwerking;1997;158;559;47;266;101;122;43;26;34;1;40;23;104;18;;;
53;Zuivering en slibverwerking;1998;181;571;49;263;98;122;43;38;32;1;40;25;103;19;;;
