ID;Opdrachtgever;Functies;Perioden;TotaalGemaakteKostenGWW_1;KleinOnderhoud_2;Kapitaalswerken_3;TotaalInEigenBeheer_4;KleinOnderhoud_5;Kapitaalswerken_6;TotaalUitbesteed_7;KleinOnderhoud_8;Kapitaalswerken_9
61;Totaal opdrachtgevers;Totaal functies;2001 2e kwartaal;2368;724;1644;550;249;301;1818;475;1343
62;Totaal opdrachtgevers;Totaal functies;2001 3e kwartaal;3079;998;2082;487;281;206;2592;717;1875
63;Totaal opdrachtgevers;Totaal functies;2001 4e kwartaal;3598;1145;2452;676;403;273;2922;742;2180
64;Totaal opdrachtgevers;Totaal functies;2001;10876;3354;7522;2110;1090;1021;8765;2264;6501
65;Totaal opdrachtgevers;Totaal functies;2002 1e kwartaal;1833;467;1366;292;133;158;1542;334;1207
66;Totaal opdrachtgevers;Totaal functies;2002 2e kwartaal;2994;735;2259;503;290;213;2491;444;2046
67;Totaal opdrachtgevers;Totaal functies;2002 3e kwartaal;3307;920;2386;479;306;173;2828;614;2214
68;Totaal opdrachtgevers;Totaal functies;2002 4e kwartaal;3939;1254;2685;584;350;234;3355;904;2451
69;Totaal opdrachtgevers;Totaal functies;2002;12073;3377;8696;1858;1080;778;10215;2297;7918
70;Totaal opdrachtgevers;Totaal functies;2003 1e kwartaal;1660;419;1241;242;139;102;1418;280;1139
71;Totaal opdrachtgevers;Totaal functies;2003 2e kwartaal;2319;640;1680;496;211;285;1824;429;1394
72;Totaal opdrachtgevers;Totaal functies;2003 3e kwartaal;2679;849;1830;370;251;119;2309;598;1711
73;Totaal opdrachtgevers;Totaal functies;2003 4e kwartaal;3684;1267;2417;484;331;154;3200;936;2264
74;Totaal opdrachtgevers;Totaal functies;2003;10343;3175;7168;1592;932;660;8751;2243;6509
75;Totaal opdrachtgevers;Wegverkeer;1989 1e kwartaal;241;88;153;48;36;12;193;53;140
76;Totaal opdrachtgevers;Wegverkeer;1989 2e kwartaal;353;116;237;55;39;15;298;76;222
77;Totaal opdrachtgevers;Wegverkeer;1989 3e kwartaal;447;143;304;68;47;21;379;96;283
78;Totaal opdrachtgevers;Wegverkeer;1989 4e kwartaal;526;148;378;58;41;16;468;107;362
79;Totaal opdrachtgevers;Wegverkeer;1989;1567;495;1072;229;164;65;1338;331;1006
80;Totaal opdrachtgevers;Wegverkeer;1990 1e kwartaal;266;91;176;50;36;14;216;54;162
81;Totaal opdrachtgevers;Wegverkeer;1990 2e kwartaal;386;125;260;55;44;12;330;81;249
82;Totaal opdrachtgevers;Wegverkeer;1990 3e kwartaal;437;150;287;58;46;12;380;105;275
83;Totaal opdrachtgevers;Wegverkeer;1990 4e kwartaal;486;172;314;62;47;15;424;125;299
84;Totaal opdrachtgevers;Wegverkeer;1990;1576;539;1037;225;173;52;1350;366;985
85;Totaal opdrachtgevers;Wegverkeer;1991 1e kwartaal;255;96;159;50;36;14;205;60;145
86;Totaal opdrachtgevers;Wegverkeer;1991 2e kwartaal;358;138;220;54;43;11;304;95;209
87;Totaal opdrachtgevers;Wegverkeer;1991 3e kwartaal;435;173;262;62;47;15;373;127;246
88;Totaal opdrachtgevers;Wegverkeer;1991 4e kwartaal;515;205;310;62;44;18;452;161;292
89;Totaal opdrachtgevers;Wegverkeer;1991;1563;613;951;227;170;58;1336;443;893
90;Totaal opdrachtgevers;Wegverkeer;1992 1e kwartaal;265;106;159;47;37;10;219;69;149
91;Totaal opdrachtgevers;Wegverkeer;1992 2e kwartaal;382;134;248;57;43;15;325;91;234
92;Totaal opdrachtgevers;Wegverkeer;1992 3e kwartaal;442;167;275;59;45;14;383;121;262
93;Totaal opdrachtgevers;Wegverkeer;1992 4e kwartaal;576;241;335;62;48;14;515;193;321
94;Totaal opdrachtgevers;Wegverkeer;1992;1666;648;1018;225;172;53;1441;475;966
95;Totaal opdrachtgevers;Wegverkeer;1993 1e kwartaal;275;110;164;48;38;10;226;72;154
96;Totaal opdrachtgevers;Wegverkeer;1993 2e kwartaal;360;144;216;62;45;17;298;98;200
97;Totaal opdrachtgevers;Wegverkeer;1993 3e kwartaal;435;178;257;61;48;14;373;130;243
98;Totaal opdrachtgevers;Wegverkeer;1993 4e kwartaal;609;270;339;64;49;15;545;222;323
99;Totaal opdrachtgevers;Wegverkeer;1993;1679;702;977;236;180;56;1443;523;920
100;Totaal opdrachtgevers;Wegverkeer;1994 1e kwartaal;263;116;147;49;39;10;214;77;137
101;Totaal opdrachtgevers;Wegverkeer;1994 2e kwartaal;401;153;248;59;43;15;342;110;232
102;Totaal opdrachtgevers;Wegverkeer;1994 3e kwartaal;441;190;251;63;49;14;378;141;238
103;Totaal opdrachtgevers;Wegverkeer;1994 4e kwartaal;666;276;390;62;52;10;604;224;380
104;Totaal opdrachtgevers;Wegverkeer;1994;1771;735;1036;232;183;49;1539;552;987
105;Totaal opdrachtgevers;Wegverkeer;1995 1e kwartaal;283;120;163;53;42;11;230;77;152
106;Totaal opdrachtgevers;Wegverkeer;1995 2e kwartaal;405;156;249;64;47;17;341;109;232
107;Totaal opdrachtgevers;Wegverkeer;1995 3e kwartaal;465;179;286;63;47;15;403;132;271
108;Totaal opdrachtgevers;Wegverkeer;1995 4e kwartaal;733;271;462;80;49;30;653;221;432
109;Totaal opdrachtgevers;Wegverkeer;1995;1886;726;1161;259;186;73;1627;540;1088
110;Totaal opdrachtgevers;Wegverkeer;1996 1e kwartaal;277;109;168;48;34;14;230;75;154
111;Totaal opdrachtgevers;Wegverkeer;1996 2e kwartaal;499;164;335;61;43;18;438;121;317
112;Totaal opdrachtgevers;Wegverkeer;1996 3e kwartaal;543;202;340;70;49;22;472;153;319
113;Totaal opdrachtgevers;Wegverkeer;1996 4e kwartaal;750;279;471;72;47;25;678;232;447
114;Totaal opdrachtgevers;Wegverkeer;1996;2069;754;1316;251;172;79;1818;582;1237
115;Totaal opdrachtgevers;Wegverkeer;1997 1e kwartaal;291;110;181;42;29;14;249;82;167
116;Totaal opdrachtgevers;Wegverkeer;1997 2e kwartaal;509;160;349;64;37;27;445;123;322
117;Totaal opdrachtgevers;Wegverkeer;1997 3e kwartaal;540;182;358;63;39;25;477;143;334
118;Totaal opdrachtgevers;Wegverkeer;1997 4e kwartaal;652;225;427;69;39;29;583;186;398
119;Totaal opdrachtgevers;Wegverkeer;1997;1992;677;1315;237;143;94;1754;534;1220
120;Totaal opdrachtgevers;Wegverkeer;1998 1e kwartaal;319;112;208;32;23;10;287;88;198
121;Totaal opdrachtgevers;Wegverkeer;1998 2e kwartaal;473;155;318;43;29;14;430;126;304
122;Totaal opdrachtgevers;Wegverkeer;1998 3e kwartaal;565;184;381;49;34;15;516;149;367
123;Totaal opdrachtgevers;Wegverkeer;1998 4e kwartaal;671;231;440;63;37;26;608;194;414
124;Totaal opdrachtgevers;Wegverkeer;1998;2028;682;1347;188;124;64;1841;558;1283
125;Totaal opdrachtgevers;Wegverkeer;1999 1e kwartaal;364;133;231;34;24;10;330;109;221
126;Totaal opdrachtgevers;Wegverkeer;1999 2e kwartaal;580;169;412;46;29;17;534;139;395
127;Totaal opdrachtgevers;Wegverkeer;1999 3e kwartaal;649;192;458;56;35;21;594;156;437
128;Totaal opdrachtgevers;Wegverkeer;1999 4e kwartaal;803;228;575;74;37;37;729;191;538
129;Totaal opdrachtgevers;Wegverkeer;1999;2398;721;1676;211;126;85;2187;595;1591
130;Totaal opdrachtgevers;Wegverkeer;2000 1e kwartaal;363;132;231;47;31;16;317;101;216
131;Totaal opdrachtgevers;Wegverkeer;2000 2e kwartaal;577;163;414;62;36;25;515;127;389
132;Totaal opdrachtgevers;Wegverkeer;2000 3e kwartaal;836;237;599;49;29;19;788;207;580
133;Totaal opdrachtgevers;Wegverkeer;2000 4e kwartaal;1081;357;723;77;42;35;1004;315;688
134;Totaal opdrachtgevers;Wegverkeer;2000;2857;889;1968;234;139;95;2623;750;1873
135;Totaal opdrachtgevers;Wegverkeer;2001 1e kwartaal;450;145;305;69;33;36;381;111;269
136;Totaal opdrachtgevers;Wegverkeer;2001 2e kwartaal;695;229;466;68;57;11;627;171;455
137;Totaal opdrachtgevers;Wegverkeer;2001 3e kwartaal;1094;409;685;118;102;16;976;308;669
138;Totaal opdrachtgevers;Wegverkeer;2001 4e kwartaal;988;408;581;180;170;10;809;238;571
139;Totaal opdrachtgevers;Wegverkeer;2001;3227;1191;2037;435;362;73;2792;828;1964
140;Totaal opdrachtgevers;Wegverkeer;2002 1e kwartaal;465;145;321;44;33;12;421;112;309
141;Totaal opdrachtgevers;Wegverkeer;2002 2e kwartaal;781;232;549;94;85;9;687;147;540
142;Totaal opdrachtgevers;Wegverkeer;2002 3e kwartaal;939;378;561;158;148;10;781;230;551
143;Totaal opdrachtgevers;Wegverkeer;2002 4e kwartaal;1251;485;766;166;157;9;1084;328;756
144;Totaal opdrachtgevers;Wegverkeer;2002;3436;1239;2197;463;422;41;2973;816;2157
145;Totaal opdrachtgevers;Wegverkeer;2003 1e kwartaal;372;133;239;47;40;7;326;93;232
146;Totaal opdrachtgevers;Wegverkeer;2003 2e kwartaal;596;211;386;74;65;9;522;145;377
147;Totaal opdrachtgevers;Wegverkeer;2003 3e kwartaal;858;346;513;117;103;14;742;243;499
148;Totaal opdrachtgevers;Wegverkeer;2003 4e kwartaal;1212;468;743;153;136;17;1059;333;726
149;Totaal opdrachtgevers;Wegverkeer;2003;3039;1158;1881;391;344;47;2648;814;1834
150;Totaal opdrachtgevers;Waterverkeer/beheersing;1989 1e kwartaal;75;36;39;14;11;3;61;25;37
151;Totaal opdrachtgevers;Waterverkeer/beheersing;1989 2e kwartaal;118;51;67;18;15;4;100;36;64
152;Totaal opdrachtgevers;Waterverkeer/beheersing;1989 3e kwartaal;134;59;74;19;15;3;115;44;72
153;Totaal opdrachtgevers;Waterverkeer/beheersing;1989 4e kwartaal;204;89;115;16;14;2;188;75;113
154;Totaal opdrachtgevers;Waterverkeer/beheersing;1989;531;235;297;67;55;12;465;180;285
155;Totaal opdrachtgevers;Waterverkeer/beheersing;1990 1e kwartaal;101;41;60;15;13;3;85;29;57
156;Totaal opdrachtgevers;Waterverkeer/beheersing;1990 2e kwartaal;122;57;64;17;15;3;104;42;62
157;Totaal opdrachtgevers;Waterverkeer/beheersing;1990 3e kwartaal;137;63;74;19;15;4;119;49;70
158;Totaal opdrachtgevers;Waterverkeer/beheersing;1990 4e kwartaal;240;97;143;18;15;3;221;82;140
159;Totaal opdrachtgevers;Waterverkeer/beheersing;1990;599;258;342;70;57;13;530;201;329
160;Totaal opdrachtgevers;Waterverkeer/beheersing;1991 1e kwartaal;100;42;58;13;11;2;87;31;56
161;Totaal opdrachtgevers;Waterverkeer/beheersing;1991 2e kwartaal;130;57;74;16;13;3;114;43;71
162;Totaal opdrachtgevers;Waterverkeer/beheersing;1991 3e kwartaal;148;65;83;16;13;3;133;52;80
163;Totaal opdrachtgevers;Waterverkeer/beheersing;1991 4e kwartaal;230;96;133;17;14;3;212;82;130
164;Totaal opdrachtgevers;Waterverkeer/beheersing;1991;609;260;348;63;52;11;546;208;338
165;Totaal opdrachtgevers;Waterverkeer/beheersing;1992 1e kwartaal;107;34;73;15;13;2;92;21;71
166;Totaal opdrachtgevers;Waterverkeer/beheersing;1992 2e kwartaal;144;40;103;17;14;4;127;27;100
167;Totaal opdrachtgevers;Waterverkeer/beheersing;1992 3e kwartaal;164;46;118;17;15;3;147;32;115
168;Totaal opdrachtgevers;Waterverkeer/beheersing;1992 4e kwartaal;242;61;181;18;15;3;225;46;178
169;Totaal opdrachtgevers;Waterverkeer/beheersing;1992;657;182;475;67;56;11;589;126;464
170;Totaal opdrachtgevers;Waterverkeer/beheersing;1993 1e kwartaal;117;34;83;15;14;1;102;20;82
171;Totaal opdrachtgevers;Waterverkeer/beheersing;1993 2e kwartaal;149;46;103;20;17;3;130;29;100
172;Totaal opdrachtgevers;Waterverkeer/beheersing;1993 3e kwartaal;185;52;133;21;18;3;164;34;130
173;Totaal opdrachtgevers;Waterverkeer/beheersing;1993 4e kwartaal;317;69;248;21;18;3;296;51;245
174;Totaal opdrachtgevers;Waterverkeer/beheersing;1993;768;201;567;77;67;10;692;134;557
175;Totaal opdrachtgevers;Waterverkeer/beheersing;1994 1e kwartaal;115;38;77;22;20;2;93;19;74
176;Totaal opdrachtgevers;Waterverkeer/beheersing;1994 2e kwartaal;137;54;83;23;20;3;114;34;80
177;Totaal opdrachtgevers;Waterverkeer/beheersing;1994 3e kwartaal;165;63;102;25;22;3;139;40;99
178;Totaal opdrachtgevers;Waterverkeer/beheersing;1994 4e kwartaal;231;76;156;23;20;2;209;55;153
179;Totaal opdrachtgevers;Waterverkeer/beheersing;1994;648;230;418;92;81;11;556;149;407
180;Totaal opdrachtgevers;Waterverkeer/beheersing;1995 1e kwartaal;116;41;75;21;19;3;95;22;72
181;Totaal opdrachtgevers;Waterverkeer/beheersing;1995 2e kwartaal;152;54;97;25;21;4;127;34;93
182;Totaal opdrachtgevers;Waterverkeer/beheersing;1995 3e kwartaal;162;49;112;25;20;5;136;29;107
183;Totaal opdrachtgevers;Waterverkeer/beheersing;1995 4e kwartaal;293;70;223;25;20;4;269;49;219
184;Totaal opdrachtgevers;Waterverkeer/beheersing;1995;722;215;507;96;80;15;626;134;492
185;Totaal opdrachtgevers;Waterverkeer/beheersing;1996 1e kwartaal;147;38;109;20;17;3;127;21;106
186;Totaal opdrachtgevers;Waterverkeer/beheersing;1996 2e kwartaal;228;51;177;20;17;3;208;34;174
187;Totaal opdrachtgevers;Waterverkeer/beheersing;1996 3e kwartaal;224;54;170;22;18;4;201;36;166
188;Totaal opdrachtgevers;Waterverkeer/beheersing;1996 4e kwartaal;321;74;246;20;17;3;300;58;243
189;Totaal opdrachtgevers;Waterverkeer/beheersing;1996;919;218;701;82;69;13;836;148;688
190;Totaal opdrachtgevers;Waterverkeer/beheersing;1997 1e kwartaal;173;44;128;15;14;2;157;31;127
191;Totaal opdrachtgevers;Waterverkeer/beheersing;1997 2e kwartaal;197;48;149;16;13;3;181;35;146
192;Totaal opdrachtgevers;Waterverkeer/beheersing;1997 3e kwartaal;226;58;169;21;19;3;205;39;166
193;Totaal opdrachtgevers;Waterverkeer/beheersing;1997 4e kwartaal;240;61;179;18;15;2;222;45;177
194;Totaal opdrachtgevers;Waterverkeer/beheersing;1997;837;211;626;70;61;10;766;150;616
195;Totaal opdrachtgevers;Waterverkeer/beheersing;1998 1e kwartaal;168;39;128;15;12;3;153;27;126
196;Totaal opdrachtgevers;Waterverkeer/beheersing;1998 2e kwartaal;205;54;152;18;15;3;187;38;148
197;Totaal opdrachtgevers;Waterverkeer/beheersing;1998 3e kwartaal;233;64;168;20;17;2;213;48;166
198;Totaal opdrachtgevers;Waterverkeer/beheersing;1998 4e kwartaal;238;67;172;15;13;2;223;54;169
199;Totaal opdrachtgevers;Waterverkeer/beheersing;1998;844;224;619;68;58;11;776;167;609
200;Totaal opdrachtgevers;Waterverkeer/beheersing;1999 1e kwartaal;185;49;136;17;15;2;167;34;134
201;Totaal opdrachtgevers;Waterverkeer/beheersing;1999 2e kwartaal;218;59;159;18;15;3;201;44;157
202;Totaal opdrachtgevers;Waterverkeer/beheersing;1999 3e kwartaal;250;72;178;20;17;4;230;55;175
203;Totaal opdrachtgevers;Waterverkeer/beheersing;1999 4e kwartaal;276;75;201;19;15;5;257;61;196
204;Totaal opdrachtgevers;Waterverkeer/beheersing;1999;929;254;674;74;61;13;854;193;661
205;Totaal opdrachtgevers;Waterverkeer/beheersing;2000 1e kwartaal;162;39;123;16;11;5;147;28;118
206;Totaal opdrachtgevers;Waterverkeer/beheersing;2000 2e kwartaal;212;59;153;28;19;9;185;41;144
207;Totaal opdrachtgevers;Waterverkeer/beheersing;2000 3e kwartaal;363;89;275;29;15;14;335;74;260
208;Totaal opdrachtgevers;Waterverkeer/beheersing;2000 4e kwartaal;401;95;306;22;20;3;379;76;303
209;Totaal opdrachtgevers;Waterverkeer/beheersing;2000;1140;283;856;95;64;31;1045;219;825
210;Totaal opdrachtgevers;Waterverkeer/beheersing;2001 1e kwartaal;182;77;106;21;11;10;161;65;96
211;Totaal opdrachtgevers;Waterverkeer/beheersing;2001 2e kwartaal;243;116;127;16;14;2;227;102;125
212;Totaal opdrachtgevers;Waterverkeer/beheersing;2001 3e kwartaal;367;213;154;16;14;2;351;198;153
213;Totaal opdrachtgevers;Waterverkeer/beheersing;2001 4e kwartaal;352;185;167;29;27;3;323;158;165
214;Totaal opdrachtgevers;Waterverkeer/beheersing;2001;1144;590;554;82;66;16;1062;524;538
215;Totaal opdrachtgevers;Waterverkeer/beheersing;2002 1e kwartaal;179;85;93;13;10;3;166;75;91
216;Totaal opdrachtgevers;Waterverkeer/beheersing;2002 2e kwartaal;180;58;122;20;17;3;159;41;119
217;Totaal opdrachtgevers;Waterverkeer/beheersing;2002 3e kwartaal;277;164;113;18;16;2;259;148;111
218;Totaal opdrachtgevers;Waterverkeer/beheersing;2002 4e kwartaal;484;232;252;35;31;3;449;201;248
219;Totaal opdrachtgevers;Waterverkeer/beheersing;2002;1119;538;581;86;74;11;1034;464;570
220;Totaal opdrachtgevers;Waterverkeer/beheersing;2003 1e kwartaal;142;66;77;27;25;2;116;41;75
221;Totaal opdrachtgevers;Waterverkeer/beheersing;2003 2e kwartaal;190;79;111;20;18;2;170;61;109
222;Totaal opdrachtgevers;Waterverkeer/beheersing;2003 3e kwartaal;303;154;149;23;21;2;280;133;147
223;Totaal opdrachtgevers;Waterverkeer/beheersing;2003 4e kwartaal;450;241;210;34;28;6;417;213;204
224;Totaal opdrachtgevers;Waterverkeer/beheersing;2003;1086;539;546;103;92;12;982;448;534
225;Totaal opdrachtgevers;Luchtverkeer;1989 1e kwartaal;4;0;3;0;0;0;4;0;3
226;Totaal opdrachtgevers;Luchtverkeer;1989 2e kwartaal;5;0;5;0;0;0;5;0;5
227;Totaal opdrachtgevers;Luchtverkeer;1989 3e kwartaal;7;0;7;0;0;0;7;0;7
228;Totaal opdrachtgevers;Luchtverkeer;1989 4e kwartaal;12;0;11;0;0;0;12;0;11
229;Totaal opdrachtgevers;Luchtverkeer;1989;28;1;27;0;0;0;28;1;27
230;Totaal opdrachtgevers;Luchtverkeer;1990 1e kwartaal;6;0;6;0;0;0;6;0;6
231;Totaal opdrachtgevers;Luchtverkeer;1990 2e kwartaal;9;0;9;0;0;0;9;0;9
232;Totaal opdrachtgevers;Luchtverkeer;1990 3e kwartaal;14;0;13;0;0;0;14;0;13
233;Totaal opdrachtgevers;Luchtverkeer;1990 4e kwartaal;9;0;8;0;0;0;9;0;8
234;Totaal opdrachtgevers;Luchtverkeer;1990;38;1;37;0;0;0;37;0;36
235;Totaal opdrachtgevers;Luchtverkeer;1991 1e kwartaal;6;0;6;0;0;0;6;0;6
236;Totaal opdrachtgevers;Luchtverkeer;1991 2e kwartaal;21;0;21;0;0;0;21;0;21
237;Totaal opdrachtgevers;Luchtverkeer;1991 3e kwartaal;15;0;15;0;0;0;15;0;14
238;Totaal opdrachtgevers;Luchtverkeer;1991 4e kwartaal;10;0;10;0;0;0;10;0;10
239;Totaal opdrachtgevers;Luchtverkeer;1991;52;0;52;0;0;0;52;0;51
240;Totaal opdrachtgevers;Luchtverkeer;1992 1e kwartaal;17;0;17;0;0;0;17;0;17
241;Totaal opdrachtgevers;Luchtverkeer;1992 2e kwartaal;28;0;28;0;0;0;28;0;28
242;Totaal opdrachtgevers;Luchtverkeer;1992 3e kwartaal;11;0;11;0;0;0;11;0;11
243;Totaal opdrachtgevers;Luchtverkeer;1992 4e kwartaal;8;0;8;0;0;0;8;0;8
244;Totaal opdrachtgevers;Luchtverkeer;1992;64;0;63;0;0;0;63;0;63
245;Totaal opdrachtgevers;Luchtverkeer;1993 1e kwartaal;7;0;7;0;0;0;7;0;7
246;Totaal opdrachtgevers;Luchtverkeer;1993 2e kwartaal;6;0;6;0;0;0;6;0;6
247;Totaal opdrachtgevers;Luchtverkeer;1993 3e kwartaal;10;0;10;0;0;0;10;0;10
248;Totaal opdrachtgevers;Luchtverkeer;1993 4e kwartaal;12;0;12;0;0;0;12;0;12
249;Totaal opdrachtgevers;Luchtverkeer;1993;34;0;34;0;0;0;34;0;34
250;Totaal opdrachtgevers;Luchtverkeer;1994 1e kwartaal;9;0;8;0;0;0;9;0;8
251;Totaal opdrachtgevers;Luchtverkeer;1994 2e kwartaal;15;0;15;0;0;0;15;0;15
252;Totaal opdrachtgevers;Luchtverkeer;1994 3e kwartaal;9;0;9;0;0;0;9;0;9
253;Totaal opdrachtgevers;Luchtverkeer;1994 4e kwartaal;5;0;5;0;0;0;5;0;5
254;Totaal opdrachtgevers;Luchtverkeer;1994;37;0;37;0;0;0;37;0;37
255;Totaal opdrachtgevers;Luchtverkeer;1995 1e kwartaal;9;0;9;0;0;0;9;0;9
256;Totaal opdrachtgevers;Luchtverkeer;1995 2e kwartaal;15;0;15;0;0;0;15;0;15
