ID;Geslacht;Persoonskenmerken;Perioden;WerkzameBeroepsbevolking_1;TotaalWerkzaamOpWoonadres_2;Thuiswerkers_3;WerkzaamInEigenWoning_4;WerkzaamMetThuisAlsUitvalsbasis_5;WerkzaamInAparteRuimteOfGrondstuk_6;VastWerkadres_7;GeenVastWerkadres_8;LiggingWerkadresOnbekend_9;k_0Tot8Kilometer_10;k_8Tot18Kilometer_11;k_18Tot32Kilometer_12;k_32KilometerEnMeer_13;ReisafstandOnbekend_14;Auto_15;Fiets_16;BusTramMetro_17;Trein_18;TeVoet_19;OverigVervoermiddel_20;OnbekendVervoermiddel_21
11;Mannen en vrouwen;1;2006;7097.0;451.0;;;;;5601.0;770.0;275.0;2379.0;1368.0;907.0;761.0;1682.0;3186.0;1485.0;262.0;307.0;171.0;295.0;1392.0
12;Mannen en vrouwen;1;2007;7309.0;445.0;;;;;5808.0;767.0;290.0;2426.0;1404.0;961.0;806.0;1712.0;3266.0;1550.0;269.0;317.0;185.0;314.0;1407.0
13;Mannen en vrouwen;1;2008;7501.0;991.0;789.0;195.0;594.0;202.0;5839.0;668.0;3.0;2404.0;1375.0;932.0;699.0;2091.0;3148.0;1505.0;266.0;311.0;173.0;305.0;1793.0
14;Mannen en vrouwen;1;2009;7469.0;1002.0;801.0;188.0;613.0;201.0;5828.0;639.0;;2334.0;1363.0;921.0;736.0;2115.0;3099.0;1496.0;278.0;323.0;171.0;318.0;1785.0
15;Mannen en vrouwen;1;2010;7391.0;1027.0;829.0;214.0;616.0;198.0;5750.0;609.0;4.0;;;;;;;;;;;;
16;Mannen en vrouwen;1;2011;7392.0;1021.0;837.0;246.0;590.0;184.0;5785.0;579.0;8.0;;;;;;;;;;;;
17;Mannen en vrouwen;1;2012;7387.0;1037.0;866.0;258.0;607.0;171.0;5762.0;580.0;8.0;;;;;;;;;;;;
18;Mannen en vrouwen;1;2013;7283.0;1077.0;931.0;284.0;647.0;146.0;5612.0;587.0;7.0;;;;;;;;;;;;
19;Mannen en vrouwen;53050;1996;770.0;19.0;;;;;590.0;59.0;102.0;323.0;162.0;85.0;66.0;134.0;261.0;223.0;57.0;31.0;30.0;61.0;107.0
20;Mannen en vrouwen;53050;1997;797.0;14.0;;;;;617.0;63.0;103.0;328.0;166.0;90.0;79.0;134.0;268.0;232.0;60.0;37.0;30.0;65.0;106.0
21;Mannen en vrouwen;53050;1998;772.0;13.0;;;;;605.0;60.0;93.0;328.0;156.0;89.0;70.0;129.0;255.0;217.0;65.0;36.0;32.0;62.0;103.0
22;Mannen en vrouwen;53050;1999;824.0;12.0;;;;;646.0;67.0;99.0;361.0;167.0;86.0;75.0;134.0;275.0;234.0;71.0;36.0;37.0;63.0;108.0
23;Mannen en vrouwen;53050;2000;825.0;12.0;;;;;645.0;61.0;107.0;374.0;174.0;89.0;56.0;134.0;284.0;222.0;77.0;44.0;32.0;65.0;102.0
24;Mannen en vrouwen;53050;2001 voor revisie;852.0;13.0;;;;;677.0;69.0;93.0;396.0;165.0;90.0;57.0;144.0;288.0;235.0;80.0;38.0;41.0;63.0;109.0
25;Mannen en vrouwen;53050;2001 na revisie;851.0;14.0;;;;;675.0;68.0;93.0;399.0;165.0;89.0;57.0;142.0;289.0;237.0;76.0;38.0;40.0;62.0;109.0
26;Mannen en vrouwen;53050;2002;845.0;12.0;;;;;660.0;76.0;96.0;379.0;163.0;86.0;56.0;161.0;293.0;231.0;77.0;33.0;35.0;55.0;121.0
27;Mannen en vrouwen;53050;2003;809.0;12.0;;;;;648.0;59.0;89.0;376.0;155.0;86.0;54.0;138.0;285.0;224.0;70.0;36.0;35.0;55.0;103.0
28;Mannen en vrouwen;53050;2004;764.0;13.0;;;;;601.0;64.0;85.0;342.0;155.0;78.0;50.0;138.0;282.0;207.0;63.0;32.0;27.0;45.0;107.0
29;Mannen en vrouwen;53050;2005;747.0;14.0;;;;;583.0;55.0;96.0;324.0;148.0;83.0;53.0;141.0;278.0;210.0;56.0;36.0;27.0;39.0;101.0
30;Mannen en vrouwen;53050;2006;762.0;14.0;;;;;583.0;65.0;100.0;325.0;154.0;80.0;50.0;153.0;275.0;209.0;58.0;40.0;27.0;42.0;110.0
31;Mannen en vrouwen;53050;2007;804.0;15.0;;;;;622.0;60.0;107.0;338.0;156.0;86.0;59.0;165.0;278.0;230.0;66.0;41.0;29.0;47.0;114.0
32;Mannen en vrouwen;53050;2008;832.0;32.0;27.0;7.0;19.0;5.0;713.0;87.0;;351.0;149.0;83.0;50.0;199.0;266.0;238.0;59.0;42.0;31.0;46.0;151.0
33;Mannen en vrouwen;53050;2009;802.0;37.0;29.0;7.0;22.0;7.0;683.0;83.0;;340.0;136.0;79.0;50.0;198.0;258.0;218.0;65.0;37.0;29.0;49.0;146.0
34;Mannen en vrouwen;53050;2010;756.0;32.0;28.0;6.0;21.0;5.0;653.0;71.0;;;;;;;;;;;;;
35;Mannen en vrouwen;53050;2011;764.0;31.0;28.0;9.0;18.0;3.0;661.0;70.0;;;;;;;;;;;;;
36;Mannen en vrouwen;53050;2012;753.0;33.0;28.0;11.0;18.0;4.0;655.0;64.0;;;;;;;;;;;;;
37;Mannen en vrouwen;53050;2013;726.0;36.0;30.0;11.0;19.0;6.0;622.0;68.0;;;;;;;;;;;;;
38;Mannen en vrouwen;53500;1996;1965.0;80.0;;;;;1633.0;179.0;72.0;681.0;407.0;283.0;239.0;355.0;979.0;415.0;70.0;81.0;49.0;72.0;299.0
39;Mannen en vrouwen;53500;1997;1991.0;76.0;;;;;1650.0;194.0;72.0;674.0;405.0;294.0;250.0;368.0;963.0;425.0;78.0;87.0;44.0;84.0;309.0
40;Mannen en vrouwen;53500;1998;2042.0;71.0;;;;;1702.0;203.0;66.0;688.0;409.0;302.0;273.0;370.0;1009.0;403.0;82.0;96.0;47.0;89.0;316.0
41;Mannen en vrouwen;53500;1999;2029.0;72.0;;;;;1694.0;200.0;64.0;677.0;415.0;297.0;268.0;371.0;1013.0;384.0;87.0;92.0;46.0;87.0;319.0
42;Mannen en vrouwen;53500;2000;2000.0;71.0;;;;;1671.0;197.0;61.0;682.0;419.0;288.0;248.0;363.0;1009.0;368.0;88.0;95.0;49.0;86.0;305.0
43;Mannen en vrouwen;53500;2001 voor revisie;1946.0;69.0;;;;;1643.0;182.0;51.0;647.0;403.0;298.0;245.0;353.0;1006.0;337.0;84.0;98.0;45.0;82.0;294.0
44;Mannen en vrouwen;53500;2001 na revisie;1945.0;75.0;;;;;1626.0;188.0;55.0;653.0;401.0;293.0;234.0;363.0;991.0;339.0;83.0;98.0;47.0;82.0;306.0
45;Mannen en vrouwen;53500;2002;1887.0;79.0;;;;;1561.0;193.0;54.0;630.0;380.0;277.0;225.0;375.0;955.0;335.0;88.0;81.0;40.0;72.0;316.0
46;Mannen en vrouwen;53500;2003;1822.0;75.0;;;;;1517.0;183.0;47.0;619.0;368.0;260.0;216.0;359.0;903.0;354.0;66.0;84.0;48.0;67.0;300.0
47;Mannen en vrouwen;53500;2004;1776.0;75.0;;;;;1478.0;168.0;56.0;598.0;347.0;252.0;226.0;353.0;879.0;326.0;75.0;93.0;41.0;75.0;288.0
48;Mannen en vrouwen;53500;2005;1718.0;60.0;;;;;1423.0;177.0;59.0;538.0;340.0;263.0;225.0;353.0;859.0;309.0;73.0;85.0;40.0;65.0;286.0
49;Mannen en vrouwen;53500;2006;1702.0;61.0;;;;;1405.0;181.0;55.0;546.0;333.0;241.0;225.0;357.0;829.0;319.0;67.0;98.0;38.0;67.0;284.0
50;Mannen en vrouwen;53500;2007;1702.0;53.0;;;;;1418.0;172.0;58.0;527.0;329.0;254.0;234.0;358.0;830.0;329.0;67.0;101.0;35.0;66.0;274.0
51;Mannen en vrouwen;53500;2008;1702.0;167.0;149.0;30.0;119.0;17.0;1384.0;150.0;;521.0;315.0;244.0;199.0;423.0;779.0;305.0;72.0;94.0;37.0;64.0;349.0
52;Mannen en vrouwen;53500;2009;1667.0;165.0;152.0;27.0;125.0;13.0;1366.0;137.0;;491.0;306.0;240.0;207.0;423.0;757.0;297.0;72.0;102.0;37.0;66.0;336.0
53;Mannen en vrouwen;53500;2010;1653.0;170.0;152.0;31.0;120.0;18.0;1349.0;134.0;;;;;;;;;;;;;
54;Mannen en vrouwen;53500;2011;1633.0;177.0;164.0;44.0;120.0;13.0;1332.0;123.0;;;;;;;;;;;;;
55;Mannen en vrouwen;53500;2012;1634.0;178.0;166.0;45.0;121.0;12.0;1323.0;132.0;;;;;;;;;;;;;
56;Mannen en vrouwen;53500;2013;1607.0;200.0;190.0;45.0;145.0;10.0;1282.0;123.0;2.0;;;;;;;;;;;;
57;Mannen en vrouwen;53700;1996;1704.0;112.0;;;;;1370.0;177.0;46.0;589.0;345.0;234.0;177.0;360.0;771.0;379.0;61.0;69.0;41.0;63.0;319.0
58;Mannen en vrouwen;53700;1997;1751.0;110.0;;;;;1421.0;173.0;48.0;612.0;358.0;231.0;185.0;366.0;782.0;404.0;59.0;70.0;45.0;70.0;321.0
59;Mannen en vrouwen;53700;1998;1827.0;118.0;;;;;1473.0;185.0;51.0;635.0;367.0;255.0;188.0;383.0;831.0;410.0;66.0;68.0;37.0;75.0;340.0
60;Mannen en vrouwen;53700;1999;1880.0;124.0;;;;;1529.0;173.0;54.0;668.0;366.0;260.0;206.0;381.0;861.0;420.0;66.0;73.0;45.0;81.0;334.0
61;Mannen en vrouwen;53700;2000;1952.0;119.0;;;;;1584.0;191.0;59.0;691.0;405.0;263.0;201.0;392.0;904.0;413.0;74.0;84.0;51.0;79.0;348.0
62;Mannen en vrouwen;53700;2001 voor revisie;2001.0;116.0;;;;;1632.0;204.0;50.0;703.0;406.0;268.0;218.0;407.0;946.0;420.0;67.0;78.0;47.0;87.0;357.0
63;Mannen en vrouwen;53700;2001 na revisie;1997.0;124.0;;;;;1615.0;208.0;51.0;699.0;402.0;260.0;214.0;421.0;929.0;417.0;65.0;77.0;47.0;91.0;370.0
64;Mannen en vrouwen;53700;2002;2017.0;134.0;;;;;1616.0;215.0;51.0;696.0;395.0;264.0;206.0;456.0;950.0;409.0;71.0;67.0;39.0;92.0;388.0
65;Mannen en vrouwen;53700;2003;2002.0;133.0;;;;;1601.0;214.0;55.0;677.0;401.0;256.0;212.0;456.0;943.0;406.0;62.0;70.0;41.0;88.0;393.0
66;Mannen en vrouwen;53700;2004;2003.0;142.0;;;;;1600.0;214.0;47.0;665.0;388.0;270.0;212.0;468.0;944.0;405.0;60.0;65.0;39.0;90.0;400.0
67;Mannen en vrouwen;53700;2005;2034.0;144.0;;;;;1620.0;222.0;47.0;625.0;419.0;269.0;231.0;489.0;950.0;390.0;62.0;76.0;40.0;97.0;420.0
68;Mannen en vrouwen;53700;2006;2076.0;138.0;;;;;1650.0;232.0;56.0;637.0;408.0;284.0;242.0;505.0;998.0;393.0;62.0;76.0;40.0;86.0;420.0
69;Mannen en vrouwen;53700;2007;2100.0;136.0;;;;;1680.0;228.0;57.0;649.0;410.0;287.0;250.0;505.0;1015.0;395.0;59.0;81.0;42.0;86.0;423.0
70;Mannen en vrouwen;53700;2008;2121.0;306.0;254.0;58.0;196.0;53.0;1635.0;178.0;;635.0;390.0;276.0;213.0;608.0;969.0;364.0;56.0;81.0;41.0;86.0;524.0
71;Mannen en vrouwen;53700;2009;2072.0;319.0;263.0;61.0;203.0;55.0;1591.0;163.0;;584.0;380.0;286.0;211.0;611.0;927.0;362.0;56.0;78.0;37.0;85.0;529.0
72;Mannen en vrouwen;53700;2010;1998.0;315.0;265.0;69.0;196.0;50.0;1518.0;163.0;2.0;;;;;;;;;;;;
73;Mannen en vrouwen;53700;2011;1933.0;298.0;253.0;68.0;185.0;45.0;1486.0;146.0;3.0;;;;;;;;;;;;
74;Mannen en vrouwen;53700;2012;1882.0;297.0;257.0;77.0;180.0;40.0;1448.0;134.0;3.0;;;;;;;;;;;;
75;Mannen en vrouwen;53700;2013;1817.0;300.0;268.0;78.0;190.0;33.0;1387.0;128.0;2.0;;;;;;;;;;;;
76;Mannen en vrouwen;53800;1996;1360.0;124.0;;;;;1052.0;154.0;30.0;481.0;266.0;162.0;116.0;335.0;595.0;292.0;45.0;40.0;39.0;47.0;302.0
77;Mannen en vrouwen;53800;1997;1436.0;140.0;;;;;1099.0;162.0;36.0;506.0;274.0;163.0;131.0;362.0;606.0;314.0;44.0;47.0;44.0;51.0;329.0
78;Mannen en vrouwen;53800;1998;1508.0;125.0;;;;;1186.0;162.0;36.0;547.0;290.0;182.0;141.0;348.0;658.0;336.0;52.0;50.0;44.0;53.0;315.0
79;Mannen en vrouwen;53800;1999;1553.0;116.0;;;;;1248.0;153.0;36.0;573.0;311.0;193.0;140.0;337.0;693.0;342.0;63.0;54.0;46.0;57.0;297.0
80;Mannen en vrouwen;53800;2000;1605.0;146.0;;;;;1259.0;158.0;42.0;600.0;297.0;198.0;146.0;365.0;696.0;366.0;55.0;60.0;45.0;53.0;331.0
81;Mannen en vrouwen;53800;2001 voor revisie;1647.0;124.0;;;;;1302.0;179.0;42.0;604.0;318.0;203.0;150.0;371.0;718.0;373.0;56.0;58.0;49.0;61.0;331.0
82;Mannen en vrouwen;53800;2001 na revisie;1605.0;131.0;;;;;1257.0;176.0;40.0;591.0;304.0;193.0;143.0;374.0;688.0;363.0;54.0;55.0;48.0;62.0;335.0
83;Mannen en vrouwen;53800;2002;1631.0;129.0;;;;;1282.0;179.0;41.0;601.0;321.0;183.0;153.0;374.0;694.0;377.0;59.0;55.0;42.0;73.0;330.0
84;Mannen en vrouwen;53800;2003;1653.0;137.0;;;;;1287.0;185.0;44.0;601.0;319.0;200.0;136.0;398.0;685.0;392.0;56.0;54.0;48.0;67.0;353.0
85;Mannen en vrouwen;53800;2004;1659.0;132.0;;;;;1310.0;179.0;38.0;594.0;322.0;204.0;151.0;389.0;713.0;378.0;57.0;58.0;47.0;70.0;336.0
86;Mannen en vrouwen;53800;2005;1698.0;135.0;;;;;1340.0;181.0;42.0;586.0;332.0;211.0;167.0;402.0;733.0;392.0;48.0;64.0;46.0;71.0;344.0
87;Mannen en vrouwen;53800;2006;1741.0;140.0;;;;;1364.0;195.0;42.0;590.0;337.0;212.0;173.0;430.0;753.0;389.0;52.0;67.0;43.0;70.0;367.0
88;Mannen en vrouwen;53800;2007;1806.0;135.0;;;;;1432.0;195.0;44.0;612.0;353.0;236.0;182.0;422.0;790.0;407.0;52.0;66.0;49.0;81.0;362.0
89;Mannen en vrouwen;53800;2008;1879.0;292.0;225.0;55.0;169.0;67.0;1418.0;169.0;;595.0;349.0;225.0;162.0;547.0;767.0;402.0;53.0;59.0;42.0;72.0;483.0
90;Mannen en vrouwen;53800;2009;1906.0;295.0;225.0;53.0;173.0;69.0;1439.0;172.0;;587.0;355.0;213.0;186.0;564.0;768.0;398.0;52.0;72.0;40.0;83.0;492.0
91;Mannen en vrouwen;53800;2010;1935.0;319.0;248.0;64.0;184.0;71.0;1463.0;152.0;;;;;;;;;;;;;
92;Mannen en vrouwen;53800;2011;1960.0;321.0;259.0;74.0;185.0;62.0;1483.0;153.0;2.0;;;;;;;;;;;;
93;Mannen en vrouwen;53800;2012;1964.0;328.0;264.0;75.0;190.0;64.0;1479.0;156.0;2.0;;;;;;;;;;;;
94;Mannen en vrouwen;53800;2013;1950.0;324.0;269.0;81.0;189.0;55.0;1457.0;168.0;;;;;;;;;;;;;
95;Mannen en vrouwen;53900;1996;387.0;73.0;;;;;261.0;45.0;8.0;131.0;57.0;39.0;28.0;132.0;148.0;72.0;10.0;11.0;12.0;11.0;123.0
96;Mannen en vrouwen;53900;1997;408.0;71.0;;;;;283.0;44.0;10.0;137.0;65.0;42.0;32.0;133.0;159.0;78.0;12.0;12.0;13.0;12.0;123.0
97;Mannen en vrouwen;53900;1998;439.0;65.0;;;;;323.0;40.0;11.0;157.0;76.0;48.0;32.0;125.0;179.0;90.0;13.0;11.0;19.0;12.0;115.0
98;Mannen en vrouwen;53900;1999;482.0;63.0;;;;;353.0;49.0;16.0;169.0;83.0;49.0;41.0;139.0;208.0;91.0;11.0;15.0;15.0;16.0;125.0
99;Mannen en vrouwen;53900;2000;534.0;77.0;;;;;390.0;55.0;12.0;192.0;87.0;59.0;46.0;151.0;225.0;103.0;15.0;13.0;20.0;16.0;142.0
100;Mannen en vrouwen;53900;2001 voor revisie;575.0;75.0;;;;;424.0;62.0;15.0;196.0;106.0;63.0;51.0;159.0;244.0;112.0;19.0;16.0;19.0;18.0;146.0
101;Mannen en vrouwen;53900;2001 na revisie;538.0;77.0;;;;;385.0;61.0;15.0;181.0;98.0;57.0;44.0;158.0;222.0;103.0;17.0;15.0;17.0;17.0;147.0
102;Mannen en vrouwen;53900;2002;631.0;91.0;;;;;457.0;69.0;14.0;214.0;106.0;72.0;50.0;189.0;257.0;122.0;19.0;20.0;17.0;25.0;171.0
103;Mannen en vrouwen;53900;2003;681.0;89.0;;;;;496.0;73.0;22.0;241.0;117.0;74.0;55.0;195.0;287.0;134.0;22.0;20.0;22.0;20.0;177.0
104;Mannen en vrouwen;53900;2004;740.0;109.0;;;;;529.0;82.0;20.0;244.0;130.0;79.0;60.0;226.0;297.0;143.0;24.0;24.0;22.0;26.0;204.0
105;Mannen en vrouwen;53900;2005;776.0;104.0;;;;;564.0;90.0;19.0;259.0;136.0;84.0;66.0;232.0;308.0;159.0;23.0;24.0;23.0;30.0;209.0
106;Mannen en vrouwen;53900;2006;817.0;98.0;;;;;599.0;97.0;23.0;282.0;136.0;90.0;71.0;238.0;331.0;175.0;23.0;26.0;23.0;29.0;211.0
107;Mannen en vrouwen;53900;2007;898.0;106.0;;;;;656.0;112.0;24.0;300.0;156.0;99.0;81.0;261.0;354.0;189.0;26.0;29.0;30.0;35.0;235.0
108;Mannen en vrouwen;53900;2008;968.0;194.0;135.0;44.0;91.0;59.0;690.0;84.0;;302.0;171.0;105.0;75.0;314.0;367.0;196.0;26.0;34.0;21.0;36.0;286.0
109;Mannen en vrouwen;53900;2009;1021.0;188.0;131.0;40.0;91.0;57.0;749.0;85.0;;333.0;186.0;104.0;81.0;318.0;388.0;221.0;33.0;34.0;29.0;35.0;281.0
110;Mannen en vrouwen;53900;2010;1049.0;191.0;138.0;44.0;94.0;54.0;767.0;89.0;;;;;;;;;;;;;
111;Mannen en vrouwen;53900;2011;1102.0;194.0;133.0;51.0;82.0;61.0;822.0;85.0;;;;;;;;;;;;;
112;Mannen en vrouwen;53900;2012;1154.0;201.0;150.0;51.0;98.0;51.0;856.0;94.0;2.0;;;;;;;;;;;;
113;Mannen en vrouwen;53900;2013;1183.0;217.0;174.0;69.0;105.0;43.0;865.0;100.0;;;;;;;;;;;;;
114;Mannen en vrouwen;7;1996;1798.0;127.0;;;;;1357.0;206.0;108.0;724.0;351.0;177.0;119.0;426.0;720.0;412.0;81.0;34.0;59.0;125.0;366.0
115;Mannen en vrouwen;7;1997;1814.0;121.0;;;;;1363.0;213.0;117.0;722.0;353.0;186.0;122.0;431.0;692.0;438.0;82.0;37.0;56.0;139.0;370.0
116;Mannen en vrouwen;7;1998;1839.0;103.0;;;;;1416.0;207.0;114.0;763.0;345.0;203.0;122.0;406.0;730.0;435.0;88.0;34.0;60.0;147.0;345.0
117;Mannen en vrouwen;7;1999;1899.0;101.0;;;;;1475.0;198.0;124.0;785.0;380.0;195.0;128.0;412.0;769.0;426.0;112.0;34.0;64.0;150.0;344.0
118;Mannen en vrouwen;7;2000;1921.0;111.0;;;;;1477.0;210.0;122.0;810.0;382.0;194.0;103.0;431.0;789.0;426.0;99.0;37.0;63.0;146.0;362.0
119;Mannen en vrouwen;7;2001 voor revisie;1970.0;103.0;;;;;1514.0;231.0;122.0;849.0;363.0;194.0;113.0;450.0;776.0;443.0;105.0;43.0;69.0;160.0;374.0
120;Mannen en vrouwen;7;2001 na revisie;1996.0;113.0;;;;;1519.0;240.0;124.0;859.0;364.0;192.0;111.0;469.0;777.0;448.0;102.0;41.0;70.0;164.0;394.0
121;Mannen en vrouwen;7;2002;1924.0;113.0;;;;;1465.0;237.0;110.0;794.0;368.0;184.0;107.0;471.0;782.0;414.0;97.0;37.0;57.0;152.0;386.0
122;Mannen en vrouwen;7;2003;1830.0;107.0;;;;;1392.0;217.0;114.0;763.0;349.0;174.0;96.0;448.0;741.0;397.0;86.0;35.0;63.0;140.0;369.0
123;Mannen en vrouwen;7;2004;1733.0;102.0;;;;;1320.0;216.0;96.0;707.0;330.0;168.0;91.0;438.0;697.0;381.0;79.0;30.0;51.0;133.0;361.0
124;Mannen en vrouwen;7;2005;1679.0;101.0;;;;;1266.0;209.0;104.0;651.0;335.0;160.0;96.0;437.0;675.0;364.0;74.0;33.0;50.0;128.0;354.0
125;Mannen en vrouwen;7;2006;1688.0;95.0;;;;;1258.0;220.0;115.0;652.0;319.0;165.0;100.0;453.0;684.0;364.0;76.0;33.0;46.0;123.0;362.0
126;Mannen en vrouwen;7;2007;1671.0;87.0;;;;;1256.0;214.0;115.0;655.0;314.0;158.0;99.0;444.0;658.0;371.0;77.0;31.0;54.0;132.0;348.0
127;Mannen en vrouwen;7;2008;1815.0;159.0;108.0;29.0;79.0;51.0;1410.0;245.0;;686.0;339.0;166.0;93.0;531.0;685.0;390.0;82.0;36.0;52.0;136.0;435.0
128;Mannen en vrouwen;7;2009;1739.0;148.0;106.0;25.0;81.0;42.0;1361.0;229.0;;643.0;322.0;172.0;86.0;516.0;665.0;361.0;86.0;34.0;48.0;136.0;409.0
129;Mannen en vrouwen;7;2010;1638.0;153.0;110.0;29.0;81.0;43.0;1279.0;205.0;;;;;;;;;;;;;
130;Mannen en vrouwen;7;2011;1650.0;153.0;108.0;34.0;73.0;45.0;1293.0;201.0;2.0;;;;;;;;;;;;
131;Mannen en vrouwen;7;2012;1568.0;135.0;102.0;29.0;73.0;33.0;1228.0;202.0;3.0;;;;;;;;;;;;
132;Mannen en vrouwen;7;2013;1355.0;126.0;95.0;26.0;69.0;30.0;1041.0;186.0;2.0;;;;;;;;;;;;
133;Mannen en vrouwen;8;1996;2829.0;195.0;;;;;2253.0;276.0;104.0;989.0;601.0;388.0;254.0;598.0;1298.0;619.0;110.0;89.0;76.0;109.0;528.0
134;Mannen en vrouwen;8;1997;2941.0;200.0;;;;;2347.0;287.0;107.0;1031.0;613.0;393.0;286.0;618.0;1341.0;642.0;111.0;97.0;80.0;120.0;549.0
135;Mannen en vrouwen;8;1998;2971.0;190.0;;;;;2388.0;293.0;101.0;1045.0;625.0;414.0;281.0;605.0;1377.0;624.0;129.0;96.0;80.0;120.0;544.0
136;Mannen en vrouwen;8;1999;3029.0;191.0;;;;;2451.0;289.0;98.0;1092.0;628.0;414.0;288.0;607.0;1412.0;642.0;121.0;99.0;85.0;130.0;541.0
137;Mannen en vrouwen;8;2000;3074.0;194.0;;;;;2474.0;292.0;115.0;1128.0;644.0;416.0;275.0;610.0;1442.0;628.0;139.0;106.0;89.0;126.0;544.0
138;Mannen en vrouwen;8;2001 voor revisie;3141.0;186.0;;;;;2556.0;305.0;94.0;1127.0;676.0;426.0;289.0;623.0;1506.0;635.0;130.0;108.0;87.0;127.0;549.0
139;Mannen en vrouwen;8;2001 na revisie;3122.0;199.0;;;;;2521.0;306.0;96.0;1125.0;665.0;416.0;281.0;636.0;1480.0;630.0;125.0;107.0;87.0;128.0;565.0
140;Mannen en vrouwen;8;2002;3155.0;214.0;;;;;2504.0;330.0;108.0;1132.0;645.0;402.0;277.0;699.0;1463.0;644.0;140.0;87.0;75.0;133.0;612.0
141;Mannen en vrouwen;8;2003;3119.0;203.0;;;;;2491.0;328.0;97.0;1120.0;651.0;398.0;265.0;685.0;1443.0;648.0;120.0;96.0;82.0;126.0;604.0
142;Mannen en vrouwen;8;2004;2999.0;205.0;;;;;2388.0;308.0;98.0;1057.0;617.0;386.0;267.0;672.0;1404.0;591.0;121.0;91.0;79.0;137.0;576.0
143;Mannen en vrouwen;8;2005;3101.0;204.0;;;;;2464.0;326.0;107.0;1052.0;645.0;405.0;286.0;714.0;1438.0;616.0;120.0;98.0;82.0;137.0;610.0
144;Mannen en vrouwen;8;2006;3176.0;208.0;;;;;2503.0;350.0;115.0;1073.0;652.0;410.0;292.0;750.0;1476.0;628.0;118.0;107.0;77.0;137.0;634.0
145;Mannen en vrouwen;8;2007;3250.0;208.0;;;;;2575.0;344.0;123.0;1082.0;659.0;440.0;302.0;768.0;1519.0;642.0;117.0;103.0;82.0;145.0;643.0
146;Mannen en vrouwen;8;2008;3223.0;384.0;282.0;71.0;211.0;102.0;2544.0;294.0;;1065.0;620.0;417.0;268.0;853.0;1440.0;619.0;109.0;101.0;78.0;136.0;740.0
147;Mannen en vrouwen;8;2009;3211.0;411.0;304.0;68.0;236.0;107.0;2505.0;296.0;;1022.0;615.0;404.0;278.0;892.0;1401.0;616.0;112.0;103.0;71.0;142.0;765.0
148;Mannen en vrouwen;8;2010;3133.0;386.0;287.0;75.0;212.0;99.0;2470.0;275.0;2.0;;;;;;;;;;;;
