ID;RegioS;SamenstellingVanHetHuishouden;AantalHuishoudensMet52WekenInkomen_1;PercentageHuishMetEenLaagInkomen_2
160;Zuidwest-Gelderland (CR);Totaal particulier huishouden;85.4;7.2
161;Zuidwest-Gelderland (CR);Eenpersoonshuishouden;20.0;11.2
162;Zuidwest-Gelderland (CR);Paar zonder kinderen;26.0;4.4
163;Zuidwest-Gelderland (CR);Paar met kinderen;32.1;5.3
164;Zuidwest-Gelderland (CR);Eenoudergezin;3.5;25.1
165;Utrecht (CR);Totaal particulier huishouden;461.4;7.8
166;Utrecht (CR);Eenpersoonshuishouden;152.0;11.5
167;Utrecht (CR);Paar zonder kinderen;136.1;3.4
168;Utrecht (CR);Paar met kinderen;135.3;5.6
169;Utrecht (CR);Eenoudergezin;20.3;25.8
170;Kop van Noord-Holland (CR);Totaal particulier huishouden;143.3;7.6
171;Kop van Noord-Holland (CR);Eenpersoonshuishouden;39.7;11.9
172;Kop van Noord-Holland (CR);Paar zonder kinderen;46.9;3.5
173;Kop van Noord-Holland (CR);Paar met kinderen;45.7;5.0
174;Kop van Noord-Holland (CR);Eenoudergezin;6.2;30.7
175;Alkmaar en omgeving (CR);Totaal particulier huishouden;91.0;8.3
176;Alkmaar en omgeving (CR);Eenpersoonshuishouden;28.1;12.7
177;Alkmaar en omgeving (CR);Paar zonder kinderen;28.3;3.3
178;Alkmaar en omgeving (CR);Paar met kinderen;26.9;5.0
179;Alkmaar en omgeving (CR);Eenoudergezin;4.4;31.6
180;IJmond (CR);Totaal particulier huishouden;77.0;6.9
181;IJmond (CR);Eenpersoonshuishouden;23.3;10.2
182;IJmond (CR);Paar zonder kinderen;24.4;2.7
183;IJmond (CR);Paar met kinderen;23.2;4.1
184;IJmond (CR);Eenoudergezin;3.7;32.6
185;Agglomeratie Haarlem (CR);Totaal particulier huishouden;95.3;8.4
186;Agglomeratie Haarlem (CR);Eenpersoonshuishouden;37.4;11.7
187;Agglomeratie Haarlem (CR);Paar zonder kinderen;27.4;3.8
188;Agglomeratie Haarlem (CR);Paar met kinderen;22.3;5.4
189;Agglomeratie Haarlem (CR);Eenoudergezin;4.4;26.1
190;Zaanstreek (CR);Totaal particulier huishouden;64.3;8.0
191;Zaanstreek (CR);Eenpersoonshuishouden;19.6;11.8
192;Zaanstreek (CR);Paar zonder kinderen;20.5;3.2
193;Zaanstreek (CR);Paar met kinderen;18.2;5.0
194;Zaanstreek (CR);Eenoudergezin;3.4;31.1
195;Groot-Amsterdam (CR);Totaal particulier huishouden;533.0;13.3
196;Groot-Amsterdam (CR);Eenpersoonshuishouden;236.0;16.9
197;Groot-Amsterdam (CR);Paar zonder kinderen;128.0;5.0
198;Groot-Amsterdam (CR);Paar met kinderen;107.0;9.4
199;Groot-Amsterdam (CR);Eenoudergezin;38.6;32.3
200;Het Gooi en Vechtstreek (CR);Totaal particulier huishouden;102.8;7.5
201;Het Gooi en Vechtstreek (CR);Eenpersoonshuishouden;35.8;10.5
202;Het Gooi en Vechtstreek (CR);Paar zonder kinderen;31.2;3.5
203;Het Gooi en Vechtstreek (CR);Paar met kinderen;27.7;5.8
204;Het Gooi en Vechtstreek (CR);Eenoudergezin;4.8;21.9
205;Agglomeratie Leiden en Bollenstreek (CR);Totaal particulier huishouden;153.2;7.2
206;Agglomeratie Leiden en Bollenstreek (CR);Eenpersoonshuishouden;49.9;10.8
207;Agglomeratie Leiden en Bollenstreek (CR);Paar zonder kinderen;44.9;3.4
208;Agglomeratie Leiden en Bollenstreek (CR);Paar met kinderen;47.0;4.4
209;Agglomeratie Leiden en Bollenstreek (CR);Eenoudergezin;6.7;23.9
210;Agglomeratie 's-Gravenhage (CR);Totaal particulier huishouden;331.2;11.7
211;Agglomeratie 's-Gravenhage (CR);Eenpersoonshuishouden;134.2;14.1
212;Agglomeratie 's-Gravenhage (CR);Paar zonder kinderen;85.7;4.6
213;Agglomeratie 's-Gravenhage (CR);Paar met kinderen;73.7;8.8
214;Agglomeratie 's-Gravenhage (CR);Eenoudergezin;22.7;34.1
215;Delft en Westland (CR);Totaal particulier huishouden;82.1;8.4
216;Delft en Westland (CR);Eenpersoonshuishouden;26.2;12.8
217;Delft en Westland (CR);Paar zonder kinderen;24.7;3.5
218;Delft en Westland (CR);Paar met kinderen;24.8;5.8
219;Delft en Westland (CR);Eenoudergezin;3.8;27.0
220;Oost-Zuid-Holland (CR);Totaal particulier huishouden;123.8;6.4
221;Oost-Zuid-Holland (CR);Eenpersoonshuishouden;32.7;9.7
222;Oost-Zuid-Holland (CR);Paar zonder kinderen;39.1;3.1
223;Oost-Zuid-Holland (CR);Paar met kinderen;42.6;4.4
224;Oost-Zuid-Holland (CR);Eenoudergezin;5.0;27.5
225;Groot-Rijnmond (CR);Totaal particulier huishouden;573.0;11.8
226;Groot-Rijnmond (CR);Eenpersoonshuishouden;201.3;16.2
227;Groot-Rijnmond (CR);Paar zonder kinderen;164.9;4.6
228;Groot-Rijnmond (CR);Paar met kinderen;144.7;8.0
229;Groot-Rijnmond (CR);Eenoudergezin;37.8;35.4
230;Zuidoost-Zuid-Holland (CR);Totaal particulier huishouden;157.4;7.9
231;Zuidoost-Zuid-Holland (CR);Eenpersoonshuishouden;45.1;12.3
232;Zuidoost-Zuid-Holland (CR);Paar zonder kinderen;48.6;3.6
233;Zuidoost-Zuid-Holland (CR);Paar met kinderen;50.2;5.1
234;Zuidoost-Zuid-Holland (CR);Eenoudergezin;7.5;28.4
235;Zeeuwsch-Vlaanderen (CR);Totaal particulier huishouden;44.6;7.9
236;Zeeuwsch-Vlaanderen (CR);Eenpersoonshuishouden;12.9;12.6
237;Zeeuwsch-Vlaanderen (CR);Paar zonder kinderen;16.0;4.3
238;Zeeuwsch-Vlaanderen (CR);Paar met kinderen;12.3;5.1
239;Zeeuwsch-Vlaanderen (CR);Eenoudergezin;1.7;28.5
240;Overig Zeeland (CR);Totaal particulier huishouden;109.4;8.2
241;Overig Zeeland (CR);Eenpersoonshuishouden;32.8;13.1
242;Overig Zeeland (CR);Paar zonder kinderen;36.9;3.6
243;Overig Zeeland (CR);Paar met kinderen;32.3;5.4
244;Overig Zeeland (CR);Eenoudergezin;4.2;31.5
245;West-Noord-Brabant (CR);Totaal particulier huishouden;241.6;7.8
246;West-Noord-Brabant (CR);Eenpersoonshuishouden;66.4;12.3
247;West-Noord-Brabant (CR);Paar zonder kinderen;82.0;3.9
248;West-Noord-Brabant (CR);Paar met kinderen;73.7;5.5
249;West-Noord-Brabant (CR);Eenoudergezin;10.2;28.4
250;Midden-Noord-Brabant (CR);Totaal particulier huishouden;174.7;8.3
251;Midden-Noord-Brabant (CR);Eenpersoonshuishouden;48.5;12.6
252;Midden-Noord-Brabant (CR);Paar zonder kinderen;56.2;4.4
253;Midden-Noord-Brabant (CR);Paar met kinderen;55.8;5.1
254;Midden-Noord-Brabant (CR);Eenoudergezin;7.9;31.4
255;Noordoost-Noord-Brabant (CR);Totaal particulier huishouden;240.4;7.7
256;Noordoost-Noord-Brabant (CR);Eenpersoonshuishouden;62.5;12.2
257;Noordoost-Noord-Brabant (CR);Paar zonder kinderen;75.8;4.1
258;Noordoost-Noord-Brabant (CR);Paar met kinderen;82.1;5.5
259;Noordoost-Noord-Brabant (CR);Eenoudergezin;9.9;27.3
260;Zuidoost-Noord-Brabant (CR);Totaal particulier huishouden;288.0;8.4
261;Zuidoost-Noord-Brabant (CR);Eenpersoonshuishouden;82.0;13.2
262;Zuidoost-Noord-Brabant (CR);Paar zonder kinderen;94.4;4.4
263;Zuidoost-Noord-Brabant (CR);Paar met kinderen;88.7;5.6
264;Zuidoost-Noord-Brabant (CR);Eenoudergezin;12.2;28.8
265;Noord-Limburg (CR);Totaal particulier huishouden;107.2;8.2
266;Noord-Limburg (CR);Eenpersoonshuishouden;27.7;12.8
267;Noord-Limburg (CR);Paar zonder kinderen;34.8;4.7
268;Noord-Limburg (CR);Paar met kinderen;36.5;5.9
269;Noord-Limburg (CR);Eenoudergezin;4.3;27.6
270;Midden-Limburg (CR);Totaal particulier huishouden;92.6;8.3
271;Midden-Limburg (CR);Eenpersoonshuishouden;23.9;13.6
272;Midden-Limburg (CR);Paar zonder kinderen;31.0;4.5
273;Midden-Limburg (CR);Paar met kinderen;29.9;5.4
274;Midden-Limburg (CR);Eenoudergezin;4.1;27.6
275;Zuid-Limburg (CR);Totaal particulier huishouden;259.8;10.8
276;Zuid-Limburg (CR);Eenpersoonshuishouden;80.8;16.4
277;Zuid-Limburg (CR);Paar zonder kinderen;85.2;5.9
278;Zuid-Limburg (CR);Paar met kinderen;70.9;6.3
279;Zuid-Limburg (CR);Eenoudergezin;13.3;32.8
280;Flevoland (CR);Totaal particulier huishouden;131.5;9.5
281;Flevoland (CR);Eenpersoonshuishouden;33.0;14.1
282;Flevoland (CR);Paar zonder kinderen;38.3;3.8
283;Flevoland (CR);Paar met kinderen;46.6;7.0
284;Flevoland (CR);Eenoudergezin;7.7;32.7
285;Groningen (GA);Totaal particulier huishouden;83.4;13.6
286;Groningen (GA);Eenpersoonshuishouden;38.8;18.1
287;Groningen (GA);Paar zonder kinderen;23.8;4.6
288;Groningen (GA);Paar met kinderen;14.3;8.2
289;Groningen (GA);Eenoudergezin;4.0;41.2
290;Leeuwarden (GA);Totaal particulier huishouden;39.1;13.2
291;Leeuwarden (GA);Eenpersoonshuishouden;16.3;18.3
292;Leeuwarden (GA);Paar zonder kinderen;11.7;4.5
293;Leeuwarden (GA);Paar met kinderen;7.9;8.8
294;Leeuwarden (GA);Eenoudergezin;2.0;40.6
295;Zwolle (GA);Totaal particulier huishouden;45.7;9.2
296;Zwolle (GA);Eenpersoonshuishouden;16.3;13.6
297;Zwolle (GA);Paar zonder kinderen;14.0;3.7
298;Zwolle (GA);Paar met kinderen;12.0;5.5
299;Zwolle (GA);Eenoudergezin;2.0;33.5
300;Enschede (GA);Totaal particulier huishouden;61.1;14.0
301;Enschede (GA);Eenpersoonshuishouden;21.3;17.9
302;Enschede (GA);Paar zonder kinderen;18.9;8.0
303;Enschede (GA);Paar met kinderen;15.5;11.0
304;Enschede (GA);Eenoudergezin;2.9;43.5
305;Apeldoorn (GA);Totaal particulier huishouden;63.3;8.1
306;Apeldoorn (GA);Eenpersoonshuishouden;19.6;11.8
307;Apeldoorn (GA);Paar zonder kinderen;20.2;4.0
308;Apeldoorn (GA);Paar met kinderen;18.2;5.1
309;Apeldoorn (GA);Eenoudergezin;2.8;31.8
310;Arnhem (GA);Totaal particulier huishouden;58.7;9.7
311;Arnhem (GA);Eenpersoonshuishouden;23.3;12.9
312;Arnhem (GA);Paar zonder kinderen;17.6;4.8
313;Arnhem (GA);Paar met kinderen;12.6;7.1
314;Arnhem (GA);Eenoudergezin;2.6;28.8
315;Nijmegen (GA);Totaal particulier huishouden;66.6;13.7
316;Nijmegen (GA);Eenpersoonshuishouden;28.8;17.9
317;Nijmegen (GA);Paar zonder kinderen;18.0;6.3
318;Nijmegen (GA);Paar met kinderen;13.7;9.0
319;Nijmegen (GA);Eenoudergezin;3.8;36.7
320;Amersfoort (GA);Totaal particulier huishouden;64.8;7.7
321;Amersfoort (GA);Eenpersoonshuishouden;20.8;11.8
322;Amersfoort (GA);Paar zonder kinderen;19.2;3.3
323;Amersfoort (GA);Paar met kinderen;19.5;4.9
324;Amersfoort (GA);Eenoudergezin;2.9;26.9
325;Utrecht (GA);Totaal particulier huishouden;167.3;10.0
326;Utrecht (GA);Eenpersoonshuishouden;66.2;13.7
327;Utrecht (GA);Paar zonder kinderen;46.1;3.8
328;Utrecht (GA);Paar met kinderen;39.4;7.4
329;Utrecht (GA);Eenoudergezin;8.1;31.1
330;Amsterdam (GA);Totaal particulier huishouden;467.9;14.5
331;Amsterdam (GA);Eenpersoonshuishouden;220.8;17.4
332;Amsterdam (GA);Paar zonder kinderen;107.5;5.3
333;Amsterdam (GA);Paar met kinderen;81.9;11.3
334;Amsterdam (GA);Eenoudergezin;36.4;33.2
335;Haarlem (GA);Totaal particulier huishouden;83.4;8.5
336;Haarlem (GA);Eenpersoonshuishouden;33.1;11.9
337;Haarlem (GA);Paar zonder kinderen;23.6;3.7
338;Haarlem (GA);Paar met kinderen;19.3;5.5
339;Haarlem (GA);Eenoudergezin;3.9;26.7
340;Leiden (GA);Totaal particulier huishouden;101.6;7.9
341;Leiden (GA);Eenpersoonshuishouden;35.8;11.4
342;Leiden (GA);Paar zonder kinderen;28.9;3.6
343;Leiden (GA);Paar met kinderen;29.1;4.9
344;Leiden (GA);Eenoudergezin;4.7;26.1
345;'s-Gravenhage (GA);Totaal particulier huishouden;279.7;12.5
346;'s-Gravenhage (GA);Eenpersoonshuishouden;120.2;14.4
347;'s-Gravenhage (GA);Paar zonder kinderen;70.7;5.0
348;'s-Gravenhage (GA);Paar met kinderen;56.3;10.2
349;'s-Gravenhage (GA);Eenoudergezin;19.4;35.7
350;Rotterdam (GA);Totaal particulier huishouden;436.4;13.7
351;Rotterdam (GA);Eenpersoonshuishouden;168.7;17.4
352;Rotterdam (GA);Paar zonder kinderen;118.3;5.3
353;Rotterdam (GA);Paar met kinderen;96.9;10.0
354;Rotterdam (GA);Eenoudergezin;32.4;37.6
355;Dordrecht (GA);Totaal particulier huishouden;100.2;9.0
356;Dordrecht (GA);Eenpersoonshuishouden;30.7;13.5
357;Dordrecht (GA);Paar zonder kinderen;30.8;3.8
358;Dordrecht (GA);Paar met kinderen;29.7;5.6
359;Dordrecht (GA);Eenoudergezin;5.2;32.7
360;Breda (GA);Totaal particulier huishouden;68.6;9.3
361;Breda (GA);Eenpersoonshuishouden;23.4;13.3
362;Breda (GA);Paar zonder kinderen;22.0;3.9
363;Breda (GA);Paar met kinderen;17.4;6.4
364;Breda (GA);Eenoudergezin;3.3;34.4
365;Tilburg (GA);Totaal particulier huishouden;88.8;10.2
366;Tilburg (GA);Eenpersoonshuishouden;29.0;14.4
367;Tilburg (GA);Paar zonder kinderen;27.9;4.8
368;Tilburg (GA);Paar met kinderen;23.9;6.2
369;Tilburg (GA);Eenoudergezin;4.6;36.9
370;'s-Hertogenbosch (GA);Totaal particulier huishouden;65.4;9.5
371;'s-Hertogenbosch (GA);Eenpersoonshuishouden;22.0;14.0
372;'s-Hertogenbosch (GA);Paar zonder kinderen;19.6;4.6
373;'s-Hertogenbosch (GA);Paar met kinderen;17.9;5.8
374;'s-Hertogenbosch (GA);Eenoudergezin;3.1;33.1
375;Eindhoven (GA);Totaal particulier huishouden;130.1;9.6
376;Eindhoven (GA);Eenpersoonshuishouden;45.1;14.0
377;Eindhoven (GA);Paar zonder kinderen;42.0;4.3
378;Eindhoven (GA);Paar met kinderen;32.5;6.3
379;Eindhoven (GA);Eenoudergezin;5.8;32.3
380;Geleen/Sittard (GA);Totaal particulier huishouden;58.7;9.3
381;Geleen/Sittard (GA);Eenpersoonshuishouden;16.8;14.5
382;Geleen/Sittard (GA);Paar zonder kinderen;19.9;5.5
383;Geleen/Sittard (GA);Paar met kinderen;16.9;5.0
384;Geleen/Sittard (GA);Eenoudergezin;2.9;30.5
385;Heerlen (GA);Totaal particulier huishouden;91.5;13.1
386;Heerlen (GA);Eenpersoonshuishouden;30.9;18.8
387;Heerlen (GA);Paar zonder kinderen;29.5;7.0
388;Heerlen (GA);Paar met kinderen;22.8;8.1
389;Heerlen (GA);Eenoudergezin;5.1;37.8
390;Maastricht (GA);Totaal particulier huishouden;50.6;12.6
391;Maastricht (GA);Eenpersoonshuishouden;18.9;17.5
392;Maastricht (GA);Paar zonder kinderen;15.3;6.5
393;Maastricht (GA);Paar met kinderen;11.6;7.6
394;Maastricht (GA);Eenoudergezin;2.9;35.0
395;Groningen (SG);Totaal particulier huishouden;138.9;10.9
396;Groningen (SG);Eenpersoonshuishouden;52.6;16.0
397;Groningen (SG);Paar zonder kinderen;43.7;4.2
398;Groningen (SG);Paar met kinderen;32.8;7.0
399;Groningen (SG);Eenoudergezin;5.8;36.7
400;Leeuwarden (SG);Totaal particulier huishouden;65.1;10.6
401;Leeuwarden (SG);Eenpersoonshuishouden;22.7;16.0
402;Leeuwarden (SG);Paar zonder kinderen;20.9;4.1
403;Leeuwarden (SG);Paar met kinderen;16.9;7.1
404;Leeuwarden (SG);Eenoudergezin;2.7;36.3
405;Zwolle (SG);Totaal particulier huishouden;66.6;7.9
406;Zwolle (SG);Eenpersoonshuishouden;20.8;12.0
407;Zwolle (SG);Paar zonder kinderen;20.9;3.9
408;Zwolle (SG);Paar met kinderen;20.0;5.1
409;Zwolle (SG);Eenoudergezin;2.6;28.3
410;Enschede (SG);Totaal particulier huishouden;123.6;11.0
411;Enschede (SG);Eenpersoonshuishouden;39.4;15.2
412;Enschede (SG);Paar zonder kinderen;39.4;6.1
413;Enschede (SG);Paar met kinderen;34.6;8.2
414;Enschede (SG);Eenoudergezin;5.3;37.3
415;Apeldoorn (SG);Totaal particulier huishouden;84.7;7.8
416;Apeldoorn (SG);Eenpersoonshuishouden;24.8;11.4
417;Apeldoorn (SG);Paar zonder kinderen;27.2;4.0
418;Apeldoorn (SG);Paar met kinderen;25.5;5.4
419;Apeldoorn (SG);Eenoudergezin;3.6;29.3
420;Arnhem (SG);Totaal particulier huishouden;140.0;8.1
421;Arnhem (SG);Eenpersoonshuishouden;44.5;11.9
422;Arnhem (SG);Paar zonder kinderen;45.0;4.0
423;Arnhem (SG);Paar met kinderen;39.4;5.6
