ID;Financieringsbronnen;Perioden;TotaalUitgavenAanActiviteiten_1;Preventie_2;Opsporing_3;Vervolging_4;Berechting_5;Tenuitvoerlegging_6;OndersteuningVanSlachtoffers_7;OndersteuningVanVerdachtenEnDaders_8;RechtskundigeDienstverlening_9;Schadeloosstelling_10;OverigeActiviteiten_11;TotaalUitgavenAlleAanbieders_12;OpenbaarMinisterieEnRechtspraak_13;DienstJustitieleInrichtingen_14;Politie_15;OverigeAanbiedersMinisterieVanVenJ_16;Politie_17;OverigeMinisteriesVanBZK_18;BijzondereOpsporingsdiensten_19;Douane_20;OverigeAanbiedersOverigeMinisteries_21;Jeugdzorg_22;ProvinciesEnGemeenten_23;Verzekeraars_24;RechtskundigeDienstverleners_25;BeveiligingsEnOpsporingsbedrijven_26;VerkoopBeveiligingsmaterialen_27
12;Totaal financieringsbronnen;2014;12782.7;5932.6;2815.8;562.4;352.3;2351.2;59.0;709.3;;;0.0;12782.7;834.8;2192.5;4311.6;677.3;;193.3;170.5;328.7;181.6;62.2;577.8;;472.6;2004.1;775.6
13;Totaal financieringsbronnen;2015;12932.2;6137.8;2817.2;563.1;354.2;2288.5;64.1;707.2;;;0.0;12932.2;838.4;2121.2;4285.7;702.4;;207.7;170.5;328.7;189.0;60.1;548.7;;472.6;2156.4;850.8
14;1;2002;2152.1;0.6;123.0;501.6;184.9;1134.2;20.7;182.7;;;4.3;2152.1;609.5;1036.1;;407.0;;;;;;25.8;;;73.7;;
15;1;2003;2321.0;2.2;113.9;545.6;199.5;1239.7;22.5;194.4;;;3.2;2321.0;657.9;1132.7;;412.0;;;;;;28.8;;;89.5;;
16;1;2004;2544.6;2.7;59.0;598.8;213.7;1426.0;27.3;213.7;;;3.3;2544.6;731.0;1294.5;;382.9;;;;;;34.8;;;101.6;;
17;1;2005;2602.3;18.8;60.9;592.6;240.8;1432.5;29.6;223.9;;;3.3;2602.3;756.8;1296.0;;403.3;;;;;;37.7;;;108.5;;
18;1;2006;2762.1;33.4;64.5;588.8;253.5;1536.9;30.5;251.1;;;3.4;2762.1;773.7;1384.7;;440.1;;;;;;49.7;;;113.9;;
19;1;2007;3132.0;35.8;73.1;617.8;267.0;1831.0;36.2;267.5;;;3.6;3132.0;811.9;1674.3;;480.9;;;;;;47.6;;;117.3;;
20;1;2008;3459.6;48.7;93.2;668.0;281.5;2025.7;38.5;300.0;;;3.9;3459.6;852.4;1842.6;;588.2;;;;;;53.4;;;123.0;;
21;1;2009;3715.7;43.0;109.5;712.6;299.4;2181.8;39.7;325.7;;;4.0;3715.7;910.5;1979.4;;643.3;;;;;;57.9;;;124.5;;
22;1;2010;3792.4;48.1;113.2;713.2;306.0;2242.3;37.1;328.4;;;4.2;3792.4;921.6;2031.5;;655.6;;;;;;60.2;;;123.5;;
23;1;2011;8334.4;2043.3;2550.9;750.0;314.0;2279.5;41.3;348.4;;;7.0;8334.4;955.0;2093.7;4236.0;856.0;;;;;;62.9;;;130.7;;
24;1;2012;8555.4;2152.8;2658.8;748.8;311.8;2255.8;45.1;375.2;;;7.1;8555.4;948.8;2092.2;4445.4;862.1;;;;;;66.7;;;140.2;;
25;1;2013;8467.4;2055.3;2508.7;659.9;331.8;2482.6;47.9;377.0;;;4.2;8467.4;909.9;2319.0;4198.6;830.6;;;;;;65.1;;;144.2;;
26;1;2014;8319.4;2099.6;2572.4;560.4;342.0;2340.1;53.2;351.6;;;0.0;8319.4;824.5;2183.7;4306.2;821.3;;;;;;62.2;;;121.4;;
27;1;2015;8257.6;2106.0;2566.0;560.9;343.9;2273.0;58.8;288.9;;;0.0;8257.6;828.2;2108.3;4284.9;854.8;;;;;;;;;121.4;;
28;2;2002;3080.1;1347.9;1730.6;;;;;;;;1.6;3080.1;;;;0.0;3011.1;69.0;;;;;;;;;
29;2;2003;3290.4;1441.3;1847.6;;;;;;;;1.6;3290.4;;;;0.0;3209.6;80.8;;;;;;;;;
30;2;2004;3375.7;1497.3;1876.6;;;;;;;;1.8;3375.7;;;;0.0;3285.7;90.0;;;;;;;;;
31;2;2005;3426.5;1528.7;1895.9;;;;;;;;2.0;3426.5;;;;0.3;3316.2;110.0;;;;;;;;;
32;2;2006;3664.4;1638.3;2023.9;;;;;;;;2.2;3664.4;;;;0.3;3528.4;135.8;;;;;;;;;
33;2;2007;3829.0;1735.3;2091.1;;;;;;;;2.6;3829.0;;;;0.2;3651.6;177.2;;;;;;;;;
34;2;2008;4170.4;1863.9;2303.7;;;;;;;;2.9;4170.4;;;;0.2;3992.2;178.1;;;;;;;;;
35;2;2009;4511.5;2024.7;2484.0;;;;;;;;2.9;4511.5;;;;0.2;4318.8;192.6;;;;;;;;;
36;2;2010;4490.3;2020.1;2467.7;;;;;;;;2.5;4490.3;;;;0.2;4296.6;193.5;;;;;;;;;
37;2;2011;;;;;;;;;;;;;;;;;;200.0;;;;;;;;;
38;2;2012;;;;;;;;;;;;;;;;;;201.7;;;;;;;;;
39;2;2013;;;;;;;;;;;;;;;;;;195.2;;;;;;;;;
40;2;2014;;;;;;;;;;;;;;;;;;193.3;;;;;;;;;
41;2;2015;;;;;;;;;;;;;;;;;;207.7;;;;;;;;;
42;3;2002;988.7;617.3;239.3;0.3;;128.6;0.5;2.6;;;;988.7;;128.4;;3.6;157.9;;147.3;228.5;141.2;;12.9;;;168.8;
43;3;2003;1054.8;673.7;238.3;0.4;;139.0;0.5;2.9;;;;1054.8;;138.8;;3.9;142.8;;147.4;269.6;147.5;;14.7;;;190.1;
44;3;2004;1077.2;675.4;255.9;0.5;;141.2;0.5;3.6;;;;1077.2;;140.7;;6.5;163.8;;144.8;276.4;144.3;;18.7;;;181.8;
45;3;2005;1107.3;700.6;256.4;0.7;2.6;142.8;;4.2;;;;1107.3;2.6;142.0;;8.4;151.5;;145.2;297.5;142.5;;24.7;;;192.9;
46;3;2006;1171.0;727.4;281.2;0.7;5.5;151.7;;4.4;;;;1171.0;5.5;150.9;;8.5;153.1;;147.1;306.5;165.6;;27.8;;;205.9;
47;3;2007;1074.1;746.7;311.9;0.8;9.0;1.0;;4.7;;;;1074.1;9.0;;;8.9;162.8;;147.5;298.2;195.8;;27.7;;;224.3;
48;3;2008;1074.1;759.1;299.2;0.8;9.2;0.9;;5.0;;;;1074.1;9.2;;;11.4;151.9;;145.6;301.7;186.0;;26.2;;;242.1;
49;3;2009;1140.3;837.1;286.0;1.1;8.3;1.3;;6.5;;;;1140.3;8.3;;;13.0;145.7;;146.4;304.2;206.3;;60.7;;;255.6;
50;3;2010;1144.9;833.5;291.5;1.3;10.1;2.2;;6.2;;;;1144.9;10.1;;;14.0;150.4;;158.2;328.2;216.1;;17.0;;;250.8;
51;3;2011;1111.3;815.7;280.2;1.6;7.8;2.0;;4.0;;;;1111.3;7.8;;147.9;12.9;;;148.2;315.9;205.2;;16.3;;;257.0;
52;3;2012;1032.3;792.2;224.9;1.5;7.1;1.9;;4.6;;;;1032.3;7.1;;55.1;16.5;;;157.7;311.4;206.2;;15.6;;;262.7;
53;3;2013;997.3;771.3;203.5;1.9;11.9;2.5;0.2;5.9;;;;997.3;11.9;;18.8;19.3;;;163.4;327.4;179.7;;15.4;;;261.4;
54;3;2014;992.7;771.5;200.7;1.8;10.3;2.3;0.7;5.5;;;;992.7;10.3;;0.0;15.5;;;170.5;328.7;180.6;;15.7;;;271.3;
55;3;2015;1024.5;794.0;209.2;2.0;10.3;2.5;0.6;6.0;;;;1024.5;10.3;;0.0;19.1;;;170.5;328.7;189.0;;15.0;;;292.0;
56;4;2002;248.2;225.5;19.0;;;0.9;2.8;;;;;248.2;;;;3.7;33.2;;;;;;167.9;;;43.4;
57;4;2003;269.5;249.1;16.8;;;0.7;2.8;;;;;269.5;;;;3.6;29.4;;;;;;187.6;;;48.9;
58;4;2004;328.2;305.4;19.0;;;0.7;3.1;;;;;328.2;;;;3.9;33.3;;;;;;244.3;;;46.8;
59;4;2005;409.7;388.5;17.5;;;0.8;2.9;;;;;409.7;;;;3.8;30.6;;;;;;325.7;;;49.6;
60;4;2006;442.4;422.0;16.7;;;0.7;3.0;;;;;442.4;;;;3.7;29.3;;;;;;356.4;;;53.0;
61;4;2007;470.0;448.0;17.9;;;0.8;3.3;;;;;470.0;;;;4.2;31.3;;;;;;376.8;;;57.7;
62;4;2008;550.1;529.3;16.6;;;0.8;3.4;;;;;550.1;;;;4.3;29.0;;;;;;454.5;;;62.3;
63;4;2009;600.9;581.1;15.5;;;0.8;3.4;;;;;600.9;;;;10.8;27.2;;;;;;497.2;;;65.7;
64;4;2010;691.4;670.3;16.9;;;0.7;3.6;;;;;691.4;;;;10.0;29.6;;;;;;587.3;;;64.5;
65;4;2011;683.3;661.6;18.0;;;0.0;3.6;;;;;683.3;;;31.6;10.1;;;;;;;575.5;;;66.1;
66;4;2012;647.6;637.2;7.0;;;0.0;3.4;;;;;647.6;;;12.3;9.8;;;;;;;558.0;;;67.6;
67;4;2013;631.0;625.0;2.4;;;0.0;3.6;;;;;631.0;;;4.1;9.1;;;;;;;551.1;;;66.6;
68;4;2014;642.8;636.1;3.1;;;0.0;3.6;;;;;642.8;;;5.4;8.7;;;;;;;558.9;;;69.8;
69;4;2015;615.0;611.0;0.5;;;0.0;3.6;60.1;;;;615.0;;;0.8;8.4;;;;;;60.1;530.8;;;75.1;
70;5;2002;1372.2;1332.2;20.2;;;19.7;;;;;;1372.2;;19.7;;6.2;;;;;;;2.7;;;875.6;468.0
71;5;2003;1463.6;1422.4;22.8;;;18.4;;;;;;1463.6;;18.4;;5.8;;;;;;;3.1;;;985.8;450.6
72;5;2004;1456.4;1413.3;25.4;;;17.7;;;;;;1456.4;;17.7;;6.3;;;;;3.5;;4.0;;;943.0;481.9
73;5;2005;1514.4;1467.8;27.5;;;19.0;;;;;;1514.4;;19.0;;7.3;;;;;4.4;;5.3;;;1000.5;477.8
74;5;2006;1570.4;1526.0;24.7;;;19.8;;;;;;1570.4;;19.8;;8.3;;;;;;;4.2;;;1067.9;470.2
75;5;2007;1715.8;1668.5;27.0;;;20.3;;;;;;1715.8;;20.3;;8.8;;;;;;;8.2;;;1163.4;515.0
76;5;2008;1833.8;1785.0;29.2;;;19.5;;;;;;1833.8;;19.5;;9.0;;;;;;;2.4;;;1255.4;547.4
77;5;2009;1882.5;1836.1;30.9;;;15.5;;;;;;1882.5;;15.5;;8.3;;;;;;;3.3;;;1325.6;529.7
78;5;2010;1800.5;1755.5;30.3;;;14.7;;;;;;1800.5;;14.7;;7.9;;;;;;;3.3;;;1300.4;474.2
79;5;2011;1831.5;1786.7;31.0;;;13.8;;;;;;1831.5;;13.8;;4.5;;;;;;;3.2;;;1332.9;477.0
80;5;2012;1831.8;1785.7;31.7;;;14.4;;;;;;1831.8;;14.4;;1.4;;;;;;;3.1;;;1362.3;450.6
81;5;2013;1788.7;1742.8;31.7;;;14.2;;;;;;1788.7;;14.2;;2.2;;;;;;;3.1;;;1343.6;425.6
82;5;2014;1824.3;1781.7;33.8;;;8.8;;;;;;1824.3;;8.8;;2.2;;;;;1.0;;3.1;;;1407.1;402.0
83;5;2015;1981.6;1933.4;35.2;;;13.0;;;;;;1981.6;;13.0;;3.4;;;;;;;3.0;;;1514.1;448.2
84;6;2002;685.0;512.5;6.5;0.4;;0.1;2.0;163.5;;;;685.0;;;;5.9;5.5;;;;;;;;162.9;159.2;351.6
85;6;2003;710.2;532.3;6.5;0.4;;0.2;2.2;168.7;;;;710.2;;;;6.3;4.5;;;;;;;;168.2;179.2;351.9
86;6;2004;705.5;537.4;7.1;0.3;;0.2;1.1;159.4;;;;705.5;;;;5.2;6.1;;;;;;;;158.8;171.4;363.9
87;6;2005;758.0;574.0;9.8;0.3;;0.1;1.6;172.2;;;;758.0;;;;11.8;10.9;;;;;;;;171.5;181.9;381.9
88;6;2006;840.6;589.0;10.4;0.5;;0.2;2.2;238.2;;;;840.6;;;;14.5;11.5;;;;;;;;236.7;194.2;383.6
89;6;2007;898.9;627.8;13.9;0.6;;0.2;2.3;254.1;;;;898.9;;;;14.4;17.6;;;;;;;;252.4;211.5;403.0
90;6;2008;943.4;659.3;16.4;0.6;;0.1;2.2;264.8;;;;943.4;;;;16.6;21.6;;;;;;;;263.0;228.3;414.0
91;6;2009;976.8;644.1;11.9;0.5;;0.1;2.0;318.3;;;;976.8;;;;16.4;12.3;;;;;;;;316.8;241.0;390.2
92;6;2010;960.9;624.6;12.2;0.1;;0.0;2.7;321.3;;;;960.9;;;;18.3;13.3;;;;;;;;320.0;236.4;372.9
93;6;2011;994.5;654.4;14.4;0.1;;0.0;1.4;324.2;;;;994.5;;;17.2;17.5;;;;;;;;;323.0;242.4;394.4
94;6;2012;995.6;654.6;14.9;0.2;;0.0;1.6;324.2;;;;995.6;;;18.0;18.9;;;;;;;;;323.1;247.7;388.0
95;6;2013;966.3;633.8;5.7;0.2;;0.0;1.7;324.8;;;;966.3;;;;23.3;;;;;;;;;323.7;244.3;375.0
96;6;2014;1003.6;643.6;5.9;0.2;;0.0;1.5;352.3;;;;1003.6;;;;22.9;;;;;;;;;351.2;255.8;373.7
97;6;2015;1053.4;693.4;6.3;0.2;;0.0;1.2;352.3;;;;1053.4;;;;24.4;;;;;;;;;351.2;275.3;402.6
