ID;BedrijfstakkenBranches;Perioden;OprichtingenVanBedrijvenTotaal_1;AlsVanBedrijvenInBedrijfstak_2;AlsVanBedrijvenInNederland_3;OpheffingenVanBedrijvenTotaal_4;AlsVanBedrijvenInBedrijfstak_5;AlsVanBedrijvenInNederland_6;SomVanOprichtingenEnOpheffingen_7;AlsVanBedrijvenInBedrijfstak_8;AlsVanBedrijvenInNederland_9
35;Nijverheid;2004;12600;8.6;1.7;8900;6.1;1.2;21500;14.7;2.9
36;Handel;1987;14500;6.7;3.3;9600;4.4;2.2;24100;11.1;5.5
37;Handel;1988;15100;6.8;3.3;10200;4.6;2.3;25300;11.4;5.6
38;Handel;1989;15300;6.7;3.2;10000;4.4;2.1;25300;11.1;5.4
39;Handel;1990;15200;6.5;3.1;9800;4.2;2.0;25000;10.7;5.1
40;Handel;1991;16800;7.0;3.3;10300;4.3;2.0;27200;11.4;5.3
41;Handel;1992;18700;7.6;3.5;11900;4.8;2.2;30600;12.4;5.7
42;Handel;1993;20400;8.1;3.6;13200;5.2;2.4;33600;13.2;6.0
43;Handel;1994;20700;7.9;3.5;13800;5.3;2.4;34500;13.2;5.9
44;Handel;1995;21900;8.3;3.6;14400;5.4;2.4;36300;13.7;6.0
45;Handel;1996;20000;7.4;3.2;14100;5.3;2.3;34100;12.7;5.4
46;Handel;1997;19700;7.3;3.0;14900;5.5;2.3;34600;12.8;5.3
47;Handel;1998;18900;7.0;2.8;15000;5.5;2.3;33900;12.5;5.1
48;Handel;1999;18700;6.8;2.7;15500;5.7;2.3;34200;12.5;5.0
49;Handel;2000;19100;7.0;2.7;16100;5.9;2.2;35200;12.9;4.9
50;Handel;2001;17700;6.5;2.4;16500;6.1;2.2;34200;12.6;4.7
51;Handel;2002;17500;6.4;2.3;15300;5.6;2.1;32800;12.0;4.4
52;Handel;2003;18800;6.9;2.5;16900;6.2;2.3;35700;13.1;4.8
53;Handel;2004;21400;7.9;2.9;17800;6.5;2.4;39200;14.4;5.2
54;Transport en diensten;1987;12400;9.3;2.8;4500;3.4;1.0;16900;12.6;3.9
55;Transport en diensten;1988;13700;9.6;3.0;4900;3.4;1.1;18600;13.0;4.1
56;Transport en diensten;1989;15700;10.2;3.3;5100;3.3;1.1;20800;13.6;4.4
57;Transport en diensten;1990;16700;10.2;3.4;5900;3.6;1.2;22600;13.8;4.6
58;Transport en diensten;1991;18100;10.3;3.5;6300;3.6;1.2;24400;13.9;4.8
59;Transport en diensten;1992;20400;10.8;3.8;7500;3.9;1.4;27800;14.7;5.2
60;Transport en diensten;1993;21400;10.6;3.8;8500;4.2;1.5;29900;14.8;5.3
61;Transport en diensten;1994;21600;10.0;3.7;8800;4.1;1.5;30300;14.1;5.2
62;Transport en diensten;1995;24600;10.8;4.1;10000;4.4;1.6;34600;15.2;5.7
63;Transport en diensten;1996;26400;10.9;4.2;10100;4.2;1.6;36500;15.1;5.8
64;Transport en diensten;1997;28100;11.0;4.3;11400;4.5;1.8;39600;15.5;6.1
65;Transport en diensten;1998;29900;11.1;4.5;13300;5.0;2.0;43200;16.1;6.5
66;Transport en diensten;1999;34300;12.0;5.0;14900;5.2;2.2;49200;17.2;7.1
67;Transport en diensten;2000;40400;13.2;5.6;17000;5.5;2.4;57400;18.8;8.0
68;Transport en diensten;2001;35700;11.2;4.9;19800;6.2;2.7;55500;17.4;7.6
69;Transport en diensten;2002;31800;9.7;4.3;20400;6.3;2.7;52200;16.0;7.0
70;Transport en diensten;2003;29700;9.0;4.0;21900;6.6;2.9;51600;15.6;6.9
71;Transport en diensten;2004;33700;10.2;4.5;20700;6.3;2.8;54400;16.5;7.3
