ID;Omzetklassen;Perioden;Bedrijven_1;Bedrijfsopbrengsten_2;TotaalNettoOmzet_3;VerleendeDiensten_4;Handelsgoederen_5;OverigeOpbrengsten_6;TotaalBedrijfslasten_7;KostprijsVanDeOmzet_8;Personeelskosten_9;Afschrijvingen_10;OverigeBedrijfslasten_11;TotaalOverigeBedrijfslasten_12;Huisvestingskosten_13;InventarisEnMachinekosten_14;Autokosten_15;Verkoopkosten_16;AndereKosten_17;Bedrijfsresultaat_18;SaldoFinancieleResultaten_19;ResultaatVoorBelastingen_20;BrutoWinstmarge_21;OperationeleWinstmarge_22;WinstmargeVoorBelastingen_23;Investeringsquote_24;NettoOmzet_25;TotaalHandel_26;TotaalVerleendeDiensten_27;TotaalDranken_28;Gedistilleerd_29;BierAlcoholhoudend_30;BierAlcoholvrijArm_31;ZwakAlcoholischeDranken_32;KoffieEnThee_33;OverigeNietAlcoholischeDranken_34;Keuken_35;IJsEnSorbets_36;Logies_37;VerhuurZalenEnBanen_38;OverigeHorecaActiviteiten_39;OverigeDienstverlening_40;OntvangstenVoorUitleenEnSubsidie_41;TotaalPersoneelskosten_42;BrutoLonenEnSalarissen_43;SocialeLasten_44;Pensioenpremies_45;KostenUitzendkrachten_46;KostenIngeleendPersoneel_47;OverigePersoneelskosten_48;TotaalOverigeBedrijfslasten_49;TotaalHuisvestingskosten_50;BetaaldeHurenPachtenEDVanLeasing_51;OnroerendeZaakbelastingMilieuheffing_52;Energiekosten_53;ReparatieEnOnderhoudskosten_54;Verzekeringen_55;OverigeHuisvestingskosten_56;TotaalInventarisEnMachinekosten_57;BetaaldeHurenEnKostenVanOperLease_58;Onderhoudskosten_59;OverigeInventarisEnMachinekosten_60;TotaalAutokosten_61;BetaaldeHurenEnKostenVanOperLease_62;Brandstof_63;OverigeAutokosten_64;TotaalVerkoopkosten_65;ReclameEnAdvertentiekosten_66;ReisVerblijfsEnRepresentatiekosten_67;OverigeVerkoopkosten_68;TotaalAndereKosten_69;AccountantsEnAdviesdiensten_70;KantoorbenodigdhDrukwerkVakliteratuur_71;OverigeVerzekeringen_72;OverigeKostprijsverhogendeBelastingen_73;Communicatiekosten_74;Beheerskosten_75;OverigeAutomatiseringskosten_76;NogNietEerderGenoemdeBedrijfskosten_77;TotaalAantalWerkzamePersonen_78;WerknemersOpDeLoonlijst_79;WerknemersNietOpLoonlijst_80;OverigPersoneel_81;AantalVte_82;TotaalInvesteringen_83;TotaalMaterieleVasteActiva_84;Bedrijfsruimten_85;Vervoermiddelen_86;Computers_87;OverigeMachinesApparatenED_88;OverigeMaterieleVasteActiva_89;TotaalImmaterieleVasteActiva_90
10;500 000 tot 1 500 000 euro;1998;4.6;399;395;395;0;4;359;21.9;36.8;9.2;32.1;116;54;12;3;15;31;40;-15;25;80.1;6.5;6.3;5.9;395;0.0;100.0;18.0;2.9;4.1;0.3;3.7;3.6;3.4;34.6;0.1;42.7;1.6;2.5;0.3;1.3;132;77.9;11.3;2.1;3.5;2.3;4.3;116;54;;;;;;;12;;;;3;;;;15;;;;31;;;;;;;;;99;89.7;3.3;7.0;60;23;99.9;32.0;7.7;2.1;29.6;28.4;0.1
11;500 000 tot 1 500 000 euro;1999;5.0;427;423;423;0;4;379;21.9;36.7;9.3;32.1;122;56;11;3;16;35;47;-14;33;80.4;7.9;7.7;7.0;423;0.1;99.9;16.7;2.1;4.1;0.3;3.3;3.6;3.2;34.4;0.1;44.4;1.8;2.3;0.2;1.2;139;78.1;12.3;2.2;3.8;0.6;4.1;122;56;;;;;;;11;;;;3;;;;16;;;;35;;;;;;;;;102;91.4;3.0;5.6;61;30;99.9;41.8;11.8;2.1;22.4;21.8;0.1
12;1 500 000 tot 2 500 000 euro;1996;1.1;197;195;195;1;2;185;19.4;40.0;10.1;30.5;56;26;6;1;7;16;12;-11;1;81.6;0.5;0.6;4.2;195;0.3;99.7;15.6;1.5;2.8;0.3;4.0;3.9;3.1;34.5;0.2;41.7;2.9;4.5;0.2;1.3;74;80.2;8.8;2.6;3.9;1.9;3.9;56;26;34.4;4.9;21.9;16.8;4.0;18.0;6;14.9;45.2;40.0;1;31.4;16.9;51.7;7;40.7;11.2;48.1;16;13.8;10.2;4.6;0.8;9.6;18.2;1.6;41.2;47;94.6;0.1;5.2;32;8;99.5;39.4;4.0;3.8;21.0;31.3;0.5
13;1 500 000 tot 2 500 000 euro;1997;1.0;190;188;187;1;2;176;20.3;39.9;10.0;29.8;52;25;5;1;7;15;14;-10;4;81.1;1.9;2.1;4.6;188;0.4;99.6;16.0;1.5;2.9;0.3;4.2;3.9;3.3;36.1;0.2;40.0;3.0;3.7;0.4;1.5;70;79.9;8.7;2.4;4.2;1.2;5.0;52;25;32.5;4.8;22.7;18.7;3.6;17.9;5;17.1;40.5;42.4;1;26.4;21.8;51.8;7;42.1;10.2;47.6;15;13.0;8.8;4.8;1.3;8.7;18.0;1.6;43.9;45;94.1;0.0;5.8;29;9;97.6;40.0;3.9;2.4;12.1;39.1;2.4
14;1 500 000 tot 2 500 000 euro;1998;1.1;223;222;221;1;1;206;19.6;39.3;8.7;32.4;67;32;5;1;9;20;17;-8;9;81.8;3.8;3.9;5.1;222;0.4;99.6;15.0;1.4;2.7;0.2;3.9;3.6;3.1;33.9;0.1;43.5;2.9;3.4;0.7;1.3;81;75.3;11.6;2.2;6.2;1.3;4.7;67;32;;;;;;;5;;;;1;;;;9;;;;20;;;;;;;;;51;92.2;0.1;7.7;31;11;99.9;25.7;5.2;3.1;20.3;45.6;0.1
15;1 500 000 tot 2 500 000 euro;1999;1.0;201;200;199;1;1;185;20.3;38.5;9.2;31.9;59;30;5;1;7;16;16;-7;9;81.2;4.4;4.3;7.0;200;0.6;99.4;14.6;1.4;2.7;0.2;3.6;3.7;3.0;35.0;0.1;42.6;3.4;3.0;0.4;1.2;71;75.8;11.9;2.1;5.4;1.1;4.8;59;30;;;;;;;5;;;;1;;;;7;;;;16;;;;;;;;;43;93.1;0.5;6.3;26;14;99.5;32.8;4.1;4.1;19.0;39.5;0.5
16;2 500 000 euro en meer;1996;1.3;1059;1046;1037;9;13;946;17.1;40.3;9.3;33.3;315;140;28;5;55;87;113;-45;68;84.6;5.8;6.4;5.4;1046;0.9;99.1;12.5;1.5;2.0;0.1;3.0;3.6;2.4;30.4;0.0;45.2;3.5;6.1;1.3;0.9;382;79.7;7.6;2.3;5.2;1.2;5.0;315;140;42.8;5.5;18.2;13.0;1.7;18.7;28;15.0;40.9;44.1;5;35.7;15.4;48.8;55;26.8;8.7;64.5;87;7.0;7.9;3.7;1.5;9.5;24.4;1.5;44.5;213;94.9;0.1;5.0;149;57;99.7;37.1;1.8;3.9;19.0;38.0;0.3
17;2 500 000 euro en meer;1997;1.5;1171;1161;1151;9;10;1038;17.4;39.7;9.1;33.8;351;159;30;5;63;95;132;-12;120;84.5;6.9;10.3;5.7;1161;0.8;99.2;12.6;1.5;2.0;0.1;2.9;3.6;2.5;29.7;0.1;45.9;3.6;5.9;1.4;1.0;412;78.2;7.6;2.1;6.0;1.4;5.6;351;159;44.6;5.3;17.4;12.5;1.8;18.4;30;15.8;39.5;44.7;5;35.5;16.5;48.0;63;25.3;9.8;65.0;95;7.0;7.4;3.8;1.3;8.6;24.4;1.7;45.8;229;92.3;0.0;7.7;157;67;98.0;31.4;0.9;3.8;10.0;51.9;2.0
18;2 500 000 euro en meer;1998;1.7;1384;1371;1361;10;13;1205;16.8;40.2;8.2;34.8;420;197;33;5;73;112;178;-51;127;85.3;9.4;9.2;6.2;1371;0.7;99.3;12.3;1.3;2.0;0.1;2.9;3.3;2.6;28.8;0.1;47.5;3.9;5.4;1.2;1.1;485;73.2;11.2;2.2;7.5;1.1;5.9;420;197;;;;;;;33;;;;5;;;;73;;;;112;;;;;;;;;254;91.0;0.0;9.0;171;85;99.6;36.7;1.7;3.0;19.1;39.2;0.4
19;2 500 000 euro en meer;1999;1.9;1576;1562;1553;9;14;1363;16.4;39.9;8.7;35.1;478;221;33;6;83;135;213;-12;201;85.7;10.6;12.7;8.6;1562;0.6;99.4;12.0;1.3;1.9;0.1;2.8;3.4;2.5;27.7;0.1;49.0;4.4;5.1;1.2;1.2;544;72.9;10.9;2.3;8.2;1.1;5.7;478;221;;;;;;;33;;;;6;;;;83;;;;135;;;;;;;;;276;91.0;0.0;9.0;179;136;99.6;40.9;1.0;4.2;15.1;38.5;0.4
