ID;SectorBranchesSIC2008;Periods;CompensationOfEmployees_1;CompensationSeasonalAdjusted_2;WagesAndSalaries_3;WagesSeasonalAdjusted_4;EmployersSocialContributions_5;SocialContributionsSeasonalAdjusted_6;WageCosts_7;CompensationOfEmployees_8;WagesAndSalaries_9;WageCosts_10;CompensationPerFte_11;WagesPerFte_12;WageCostsPerFte_13;CompensationPerHourWorked_14;WagesPerHourWorked_15;WageCostsPerHourWorked_16;CompensationPerFte_17;WagesPerFte_18;WageCostsPerFte_19;CompensationPerHourWorked_20;WagesPerHourWorked_21;WageCostsPerHourWorked_22;FullTimeEquivalentFte_23;HoursWorked_24;FullTimeEquivalentFte_25;HoursWorked_26;Total_27;Male_28;Female_29;Total_30;Male_31;Female_32
10;A-U All economic activities;1997 1st quarter;42570;44353.0;35569;37427.0;7001;;42227;5.9;6.9;5.6;8.3;6.9;8.2;18.8;15.7;18.7;2.9;3.8;2.6;3.8;4.7;3.5;5146;2262;2.9;2.1;6514;3809;2705;2.8;2.7;3.0
11;A-U All economic activities;1997 2nd quarter;50524;45088.0;43407;38051.0;7117;;50125;5.3;6.2;5.1;9.6;8.2;9.5;22.8;19.6;22.6;2.2;3.0;2.0;-0.5;0.3;-0.8;5271;2213;3.1;5.9;6691;3905;2786;3.0;2.8;3.3
12;A-U All economic activities;1997 3rd quarter;42924;45686.0;36027;38713.0;6897;;42566;5.4;6.3;5.1;8.0;6.7;7.9;20.4;17.1;20.2;1.9;2.7;1.6;2.7;3.5;2.4;5356;2104;3.4;2.7;6809;3968;2841;3.4;3.2;3.7
13;A-U All economic activities;1997 4th quarter;45616;46639.0;38568;39529.0;7048;;45190;5.8;6.6;5.6;8.6;7.2;8.5;18.7;15.8;18.6;2.3;3.0;2.0;6.0;6.8;5.7;5334;2434;3.5;-0.2;6767;3943;2824;3.4;3.2;3.8
14;A-U All economic activities;1997;181634;;153571;;28063;;180108;5.6;6.5;5.3;34.4;29.1;34.1;20.2;17.0;20.0;2.3;3.1;2.0;3.0;3.9;2.8;5277;9013;3.2;2.5;6697;3907;2789;3.2;3.0;3.5
15;A-U All economic activities;1998 1st quarter;45764;47536.0;36160;37940.0;9604;;45280;7.5;1.7;7.2;8.6;6.8;8.5;19.3;15.2;19.0;3.6;-2.0;3.4;2.3;-3.3;2.0;5339;2377;3.8;5.1;6771;3929;2842;3.9;3.1;5.1
16;A-U All economic activities;1998 2nd quarter;53975;48173.0;43876;38413.0;10099;;53434;6.8;1.1;6.6;9.9;8.0;9.8;24.1;19.6;23.8;2.9;-2.7;2.6;5.5;-0.2;5.3;5474;2241;3.9;1.3;6961;4034;2927;4.0;3.3;5.1
17;A-U All economic activities;1998 3rd quarter;46153;49136.0;36324;39105.0;9829;;45648;7.5;0.8;7.2;8.3;6.5;8.2;21.3;16.7;21.0;3.8;-2.6;3.5;4.3;-2.2;4.0;5547;2170;3.6;3.1;7061;4088;2973;3.7;3.0;4.6
18;A-U All economic activities;1998 4th quarter;48774;50001.0;38710;39778.0;10064;;48209;6.9;0.4;6.7;8.8;7.0;8.7;19.4;15.4;19.2;3.3;-3.0;3.1;3.6;-2.7;3.4;5519;2511;3.5;3.2;7008;4058;2950;3.6;2.9;4.5
19;A-U All economic activities;1998;194666;;155070;;39596;;192571;7.2;1.0;6.9;35.6;28.3;35.2;20.9;16.7;20.7;3.4;-2.6;3.1;3.9;-2.1;3.6;5470;9299;3.7;3.2;6951;4028;2923;3.8;3.1;4.8
20;A-U All economic activities;1999 1st quarter;49295;51061.0;38821;40619.0;10474;;48788;7.7;7.4;7.7;8.9;7.0;8.8;20.3;16.0;20.1;4.2;3.9;4.3;5.3;4.9;5.3;5518;2432;3.4;2.3;7021;4044;2977;3.7;2.9;4.7
21;A-U All economic activities;1999 2nd quarter;58175;51930.0;47357;41414.0;10818;;57616;7.8;7.9;7.8;10.3;8.4;10.2;25.2;20.5;25.0;4.4;4.5;4.4;4.7;4.9;4.8;5654;2306;3.3;2.9;7209;4149;3060;3.6;2.8;4.5
22;A-U All economic activities;1999 3rd quarter;49666;52870.0;38990;42025.0;10676;;49113;7.6;7.3;7.6;8.7;6.8;8.6;22.4;17.6;22.1;4.4;4.2;4.4;5.2;5.0;5.2;5716;2219;3.1;2.3;7298;4195;3103;3.4;2.6;4.4
23;A-U All economic activities;1999 4th quarter;52510;53913.0;41622;42840.0;10888;;51988;7.7;7.5;7.8;9.2;7.3;9.1;19.8;15.7;19.6;4.5;4.4;4.7;1.8;1.7;2.0;5686;2655;3.0;5.7;7243;4164;3079;3.4;2.6;4.4
24;A-U All economic activities;1999;209646;;166790;;42856;;207505;7.7;7.5;7.7;37.1;29.6;36.8;21.8;17.4;21.6;4.4;4.2;4.4;4.2;4.0;4.2;5644;9613;3.2;3.4;7194;4139;3055;3.5;2.7;4.5
25;A-U All economic activities;2000 1st quarter;53769;55629.0;41999;43888.0;11770;;53243;9.1;8.2;9.1;9.5;7.4;9.4;20.9;16.3;20.7;6.7;5.8;6.8;2.9;2.1;3.0;5640;2577;2.2;6.0;7200;4122;3078;2.6;1.9;3.4
26;A-U All economic activities;2000 2nd quarter;62977;56211.0;50804;44403.0;12173;;62403;8.3;7.3;8.3;10.9;8.8;10.8;26.3;21.2;26.1;5.9;4.9;5.9;4.3;3.3;4.3;5781;2395;2.2;3.8;7395;4228;3167;2.6;1.9;3.5
27;A-U All economic activities;2000 3rd quarter;53725;57177.0;41701;44968.0;12024;;53161;8.2;7.0;8.2;9.2;7.1;9.1;24.3;18.9;24.1;5.8;4.6;5.8;8.6;7.4;8.7;5846;2209;2.3;-0.4;7488;4273;3215;2.6;1.9;3.6
28;A-U All economic activities;2000 4th quarter;56326;57853.0;44284;45562.0;12042;;55781;7.3;6.4;7.3;9.7;7.6;9.6;21.9;17.2;21.7;4.9;4.1;4.9;10.8;9.9;10.9;5813;2570;2.2;-3.2;7430;4237;3193;2.6;1.7;3.7
29;A-U All economic activities;2000;226797;;178788;;48009;;224588;8.2;7.2;8.2;39.3;31.0;38.9;23.3;18.3;23.0;5.8;4.9;5.9;6.6;5.7;6.7;5770;9751;2.2;1.4;7379;4215;3163;2.6;1.9;3.5
30;A-U All economic activities;2001 1st quarter;56774;58824.0;44912;47017.0;11862;;56202;5.6;6.9;5.6;9.8;7.7;9.7;21.9;17.3;21.6;2.5;3.8;2.5;4.8;6.1;4.7;5811;2598;3.0;0.8;7392;4202;3191;2.7;1.9;3.7
31;A-U All economic activities;2001 2nd quarter;66538;59301.0;54425;47521.0;12113;;65918;5.7;7.1;5.6;11.3;9.2;11.2;27.6;22.6;27.4;3.4;4.9;3.4;5.1;6.6;5.1;5904;2408;2.1;0.5;7563;4286;3277;2.3;1.4;3.5
32;A-U All economic activities;2001 3rd quarter;56729;60402.0;44931;48463.0;11798;;56121;5.6;7.7;5.6;9.5;7.6;9.4;24.9;19.7;24.6;3.8;5.9;3.8;2.2;4.3;2.2;5945;2282;1.7;3.3;7641;4318;3324;2.0;1.0;3.4
33;A-U All economic activities;2001 4th quarter;59153;60686.0;47275;48537.0;11878;;58577;5.0;6.8;5.0;10.0;8.0;9.9;22.1;17.7;21.9;3.5;5.3;3.5;1.0;2.7;1.0;5896;2672;1.4;4.0;7558;4263;3295;1.7;0.6;3.2
34;A-U All economic activities;2001;239194;;191543;;47651;;236818;5.5;7.1;5.4;40.6;32.5;40.2;24.0;19.2;23.8;3.3;5.0;3.3;3.3;4.9;3.2;5889;9960;2.1;2.1;7540;4268;3272;2.2;1.2;3.4
35;A-U All economic activities;2002 1st quarter;59895;62251.0;46806;49205.0;13089;;59274;5.5;4.2;5.5;10.2;8.0;10.1;23.2;18.2;23.0;4.8;3.5;4.8;6.3;5.0;6.3;5849;2578;0.7;-0.8;7493;4208;3285;1.4;0.2;2.9
36;A-U All economic activities;2002 2nd quarter;70279;62457.0;56764;49445.0;13515;;69607;5.6;4.3;5.6;11.9;9.6;11.8;29.3;23.7;29.1;5.5;4.2;5.5;6.2;4.9;6.2;5909;2395;0.1;-0.5;7626;4274;3352;0.8;-0.3;2.3
37;A-U All economic activities;2002 3rd quarter;59045;63001.0;46192;49912.0;12853;;58386;4.1;2.8;4.0;10.0;7.8;9.9;25.5;20.0;25.2;4.4;3.2;4.4;2.6;1.4;2.6;5925;2314;-0.3;1.4;7672;4290;3382;0.4;-0.7;1.8
38;A-U All economic activities;2002 4th quarter;61969;63392.0;49194;50318.0;12775;;61324;4.8;4.1;4.7;10.6;8.4;10.5;23.3;18.5;23.1;5.3;4.6;5.3;5.4;4.7;5.3;5864;2656;-0.5;-0.6;7574;4227;3347;0.2;-0.9;1.6
39;A-U All economic activities;2002;251188;;198956;;52232;;248591;5.0;3.9;5.0;42.7;33.8;42.2;25.3;20.0;25.0;5.1;3.9;5.0;5.2;4.0;5.1;5887;9943;0.0;-0.2;7592;4250;3342;0.7;-0.4;2.1
40;A-U All economic activities;2003 1st quarter;61043;63778.0;47600;50325.0;13443;;60518;1.9;1.7;2.1;10.5;8.2;10.4;23.7;18.5;23.5;2.8;2.5;2.9;2.0;1.8;2.2;5801;2575;-0.8;-0.1;7484;4166;3318;-0.1;-1.0;1.0
41;A-U All economic activities;2003 2nd quarter;72666;64327.0;58401;50685.0;14265;;72092;3.4;2.9;3.6;12.4;10.0;12.3;30.6;24.6;30.4;4.5;4.0;4.7;4.4;3.9;4.6;5847;2371;-1.0;-1.0;7593;4223;3371;-0.4;-1.2;0.6
42;A-U All economic activities;2003 3rd quarter;60448;64662.0;46932;50860.0;13516;;59892;2.4;1.6;2.6;10.4;8.0;10.3;26.3;20.4;26.1;4.0;3.2;4.2;3.1;2.3;3.3;5834;2298;-1.5;-0.7;7608;4226;3382;-0.8;-1.5;0.0
43;A-U All economic activities;2003 4th quarter;63824;65056.0;50213;51187.0;13611;;63275;3.0;2.1;3.2;11.1;8.7;11.0;24.5;19.3;24.3;4.7;3.8;4.9;5.0;4.0;5.1;5766;2606;-1.7;-1.9;7495;4156;3338;-1.0;-1.7;-0.3
44;A-U All economic activities;2003;257981;;203146;;54835;;255777;2.7;2.1;2.9;44.4;35.0;44.0;26.2;20.6;26.0;4.0;3.4;4.2;3.7;3.1;3.9;5812;9851;-1.3;-0.9;7545;4193;3352;-0.6;-1.3;0.3
45;A-U All economic activities;2004 1st quarter;61909;65030.0;48052;51032.0;13857;;61233;1.4;0.9;1.2;10.8;8.4;10.7;24.1;18.7;23.8;3.1;2.6;2.8;1.7;1.2;1.4;5707;2569;-1.6;-0.3;7382;4086;3295;-1.4;-1.9;-0.7
46;A-U All economic activities;2004 2nd quarter;74105;65370.0;59293;51273.0;14812;;73366;2.0;1.5;1.8;12.9;10.3;12.7;31.9;25.5;31.6;3.5;3.1;3.3;4.1;3.7;3.9;5761;2322;-1.5;-2.1;7495;4150;3345;-1.3;-1.7;-0.8
47;A-U All economic activities;2004 3rd quarter;60988;65469.0;47130;51286.0;13858;;60270;0.9;0.4;0.6;10.6;8.2;10.4;26.8;20.7;26.5;1.9;1.5;1.7;1.8;1.3;1.5;5774;2277;-1.0;-0.9;7543;4174;3369;-0.9;-1.2;-0.4
48;A-U All economic activities;2004 4th quarter;64724;65704.0;50708;51531.0;14016;;63993;1.4;1.0;1.1;11.3;8.9;11.2;24.4;19.1;24.1;2.2;1.8;2.0;-0.5;-0.9;-0.8;5719;2657;-0.8;1.9;7443;4113;3330;-0.7;-1.1;-0.2
49;A-U All economic activities;2004;261726;;205183;;56543;;258862;1.4;1.0;1.2;45.6;35.7;45.1;26.6;20.9;26.3;2.7;2.3;2.5;1.7;1.3;1.5;5740;9825;-1.2;-0.3;7466;4131;3335;-1.1;-1.5;-0.5
50;A-U All economic activities;2005 1st quarter;62371;65747.0;48509;51648.0;13862;;61859;0.7;1.0;1.0;11.0;8.5;10.9;24.8;19.3;24.6;1.3;1.5;1.5;2.8;3.0;3.1;5677;2517;-0.5;-2.0;7419;4080;3339;0.5;-0.2;1.3
51;A-U All economic activities;2005 2nd quarter;75433;66417.0;60489;52200.0;14944;;74871;1.8;2.0;2.1;13.1;10.5;13.0;32.1;25.8;31.9;2.0;2.2;2.2;0.7;0.9;1.0;5751;2347;-0.2;1.1;7538;4141;3397;0.6;-0.2;1.6
52;A-U All economic activities;2005 3rd quarter;62208;67022.0;48218;52672.0;13990;;61640;2.0;2.3;2.3;10.8;8.4;10.7;27.3;21.1;27.0;2.1;2.4;2.3;1.9;2.2;2.1;5771;2280;-0.1;0.1;7576;4160;3416;0.4;-0.3;1.4
53;A-U All economic activities;2005 4th quarter;65899;66630.0;51924;52590.0;13975;;65381;1.8;2.4;2.2;11.5;9.1;11.4;25.5;20.1;25.3;1.6;2.1;1.9;4.5;5.1;4.8;5733;2589;0.2;-2.6;7489;4107;3382;0.6;-0.1;1.6
54;A-U All economic activities;2005;265911;;209140;;56771;;263751;1.6;1.9;1.9;46.4;36.5;46.0;27.3;21.5;27.1;1.7;2.0;2.0;2.6;2.9;2.9;5734;9733;-0.1;-0.9;7506;4122;3384;0.5;-0.2;1.5
55;A-U All economic activities;2006 1st quarter;63548;67060.0;50033;53314.0;13515;;63136;1.9;3.1;2.1;11.1;8.7;11.0;24.3;19.1;24.1;0.7;1.9;0.9;-2.1;-0.9;-1.9;5744;2619;1.2;4.1;7510;4136;3374;1.2;1.4;1.0
56;A-U All economic activities;2006 2nd quarter;77626;68363.0;63082;54430.0;14544;;77116;2.9;4.3;3.0;13.3;10.8;13.2;33.3;27.0;33.0;1.6;2.9;1.7;3.5;4.9;3.6;5827;2334;1.3;-0.6;7637;4207;3429;1.3;1.6;0.9
57;A-U All economic activities;2006 3rd quarter;63799;68988.0;50145;54982.0;13654;;63304;2.6;4.0;2.7;10.9;8.5;10.8;27.9;21.9;27.7;0.8;2.2;0.9;2.2;3.6;2.3;5873;2288;1.8;0.3;7718;4249;3469;1.9;2.1;1.5
58;A-U All economic activities;2006 4th quarter;69779;70233.0;55559;56010.0;14220;;69193;5.9;7.0;5.8;11.8;9.4;11.7;26.7;21.2;26.4;3.0;4.1;3.0;4.8;5.9;4.7;5893;2617;2.8;1.1;7737;4251;3486;3.3;3.5;3.1
59;A-U All economic activities;2006;274752;;218819;;55933;;272749;3.3;4.6;3.4;47.1;37.5;46.7;27.9;22.2;27.7;1.5;2.8;1.6;2.0;3.3;2.1;5835;9857;1.8;1.3;7651;4211;3440;1.9;2.2;1.7
60;A-U All economic activities;2007 1st quarter;67249;70925.0;53111;56613.0;14138;;66770;5.8;6.2;5.8;11.5;9.1;11.4;25.4;20.0;25.2;3.8;4.1;3.7;4.5;4.8;4.5;5858;2652;2.0;1.2;7708;4233;3475;2.6;2.4;3.0
61;A-U All economic activities;2007 2nd quarter;81416;71816.0;66325;57306.0;15091;;80859;4.9;5.1;4.9;13.6;11.1;13.5;34.0;27.7;33.8;2.1;2.3;2.0;2.3;2.5;2.3;5989;2393;2.8;2.5;7878;4327;3551;3.2;2.8;3.6
62;A-U All economic activities;2007 3rd quarter;67339;73047.0;53065;58362.0;14274;;66804;5.5;5.8;5.5;11.2;8.8;11.1;28.6;22.5;28.4;2.7;3.0;2.7;2.5;2.8;2.5;6036;2356;2.8;3.0;7965;4372;3593;3.2;2.9;3.6
63;A-U All economic activities;2007 4th quarter;74618;74794.0;59589;59781.0;15029;;74098;6.9;7.3;7.1;12.4;9.9;12.3;27.5;22.0;27.3;4.6;4.9;4.8;3.3;3.6;3.4;6024;2709;2.2;3.5;7947;4353;3594;2.7;2.4;3.1
64;A-U All economic activities;2007;290622;;232090;;58532;;288531;5.8;6.1;5.8;48.6;38.8;48.3;28.7;23.0;28.5;3.3;3.5;3.3;3.1;3.4;3.1;5977;10110;2.4;2.6;7875;4322;3554;2.9;2.6;3.3
65;A-U All economic activities;2008 1st quarter;72190;76106.0;56326;60089.0;15864;;71700;7.3;6.1;7.4;12.0;9.3;11.9;26.8;20.9;26.6;4.2;3.0;4.3;5.8;4.5;5.8;6033;2691;3.0;1.5;7939;4337;3603;3.0;2.4;3.7
66;A-U All economic activities;2008 2nd quarter;86655;76596.0;69841;60466.0;16814;;86078;6.4;5.3;6.5;14.2;11.4;14.1;35.2;28.3;34.9;4.1;3.0;4.1;3.4;2.3;3.4;6123;2464;2.2;3.0;8042;4393;3650;2.1;1.5;2.8
67;A-U All economic activities;2008 3rd quarter;71042;77225.0;55298;60921.0;15744;;70489;5.5;4.2;5.5;11.6;9.0;11.5;29.3;22.8;29.1;4.1;2.8;4.1;2.6;1.3;2.6;6120;2424;1.4;2.9;8072;4404;3668;1.3;0.7;2.1
68;A-U All economic activities;2008 4th quarter;77921;77739.0;61435;61309.0;16486;;77382;4.4;3.1;4.4;12.8;10.1;12.7;28.5;22.5;28.3;3.5;2.2;3.5;3.5;2.2;3.6;6078;2732;0.9;0.8;8015;4358;3657;0.9;0.1;1.8
69;A-U All economic activities;2008;307808;;242900;;64908;;305649;5.9;4.7;5.9;50.6;39.9;50.2;29.9;23.6;29.6;4.0;2.7;4.0;3.8;2.6;3.9;6089;10311;1.9;2.0;8017;4373;3644;1.8;1.2;2.6
70;A-U All economic activities;2009 1st quarter;73831;77946.0;57530;61502.0;16301;;73137;2.3;2.1;2.0;12.3;9.5;12.1;27.6;21.5;27.4;2.4;2.3;2.2;3.0;2.8;2.7;6024;2673;-0.1;-0.7;7939;4291;3648;0.0;-1.1;1.3
71;A-U All economic activities;2009 2nd quarter;88482;78329.0;71258;61805.0;17224;;87539;2.1;2.0;1.7;14.6;11.8;14.5;37.1;29.9;36.7;3.4;3.3;3.0;5.5;5.4;5.1;6047;2384;-1.2;-3.2;7968;4302;3665;-0.9;-2.1;0.4
72;A-U All economic activities;2009 3rd quarter;71628;77947.0;55624;61334.0;16004;;70858;0.8;0.6;0.5;11.9;9.3;11.8;30.1;23.3;29.7;2.9;2.6;2.5;2.6;2.3;2.3;5999;2383;-2.0;-1.7;7946;4288;3659;-1.6;-2.6;-0.2
73;A-U All economic activities;2009 4th quarter;78379;77849.0;61798;61359.0;16581;;77629;0.6;0.6;0.3;13.2;10.4;13.0;29.0;22.9;28.7;2.7;2.7;2.4;1.7;1.7;1.4;5955;2702;-2.0;-1.1;7898;4248;3650;-1.5;-2.5;-0.2
74;A-U All economic activities;2009;312320;;246210;;66110;;309163;1.5;1.4;1.2;52.0;41.0;51.5;30.8;24.3;30.5;2.9;2.8;2.5;3.2;3.1;2.8;6006;10142;-1.4;-1.6;7937;4282;3655;-1.0;-2.1;0.3
75;A-U All economic activities;2010 1st quarter;72598;76824.0;56874;60947.0;15724;;71908;-1.7;-1.1;-1.7;12.4;9.7;12.2;28.4;22.2;28.1;0.9;1.4;0.9;2.7;3.2;2.7;5873;2560;-2.5;-4.2;7764;4122;3642;-2.2;-3.9;-0.2
76;A-U All economic activities;2010 2nd quarter;87612;77666.0;70696;61449.0;16916;;86788;-1.0;-0.8;-0.9;14.7;11.8;14.5;38.0;30.6;37.6;0.3;0.5;0.5;2.3;2.5;2.4;5967;2308;-1.3;-3.2;7914;4208;3706;-0.7;-2.2;1.1
77;A-U All economic activities;2010 3rd quarter;71764;78134.0;56182;61923.0;15582;;70993;0.2;1.0;0.2;12.0;9.4;11.9;29.6;23.2;29.3;0.4;1.2;0.4;-1.4;-0.6;-1.4;5989;2421;-0.2;1.6;7932;4216;3716;-0.2;-1.7;1.6
78;A-U All economic activities;2010 4th quarter;79926;79098.0;63506;62419.0;16420;;79221;2.0;2.8;2.1;13.4;10.6;13.3;29.1;23.2;28.9;1.8;2.6;1.8;0.5;1.2;0.5;5967;2743;0.2;1.5;7909;4194;3715;0.2;-1.3;1.8
79;A-U All economic activities;2010;311900;;247258;;64642;;308910;-0.1;0.4;-0.1;52.4;41.6;51.9;31.1;24.6;30.8;0.8;1.4;0.9;1.0;1.5;1.0;5949;10032;-0.9;-1.1;7880;4185;3695;-0.7;-2.3;1.1
80;A-U All economic activities;2011 1st quarter;74845;79292.0;58387;62744.0;16458;;74295;3.1;2.7;3.3;12.7;9.9;12.6;28.5;22.3;28.3;2.8;2.4;3.0;0.7;0.2;0.9;5889;2622;0.3;2.4;7871;4164;3707;1.4;1.0;1.8
81;A-U All economic activities;2011 2nd quarter;89768;79682.0;72155;63003.0;17613;;89068;2.5;2.1;2.6;15.0;12.1;14.9;37.9;30.4;37.6;2.3;1.9;2.4;-0.3;-0.6;-0.1;5979;2370;0.2;2.7;8005;4240;3765;1.2;0.8;1.6
82;A-U All economic activities;2011 3rd quarter;73542;80068.0;57322;63262.0;16220;;72930;2.5;2.0;2.7;12.3;9.6;12.2;30.1;23.5;29.9;2.5;2.1;2.8;1.6;1.1;1.8;5987;2443;0.0;0.9;7990;4233;3756;0.7;0.4;1.1
83;A-U All economic activities;2011 4th quarter;81732;80736.0;64786;63532.0;16946;;81184;2.3;2.0;2.5;13.7;10.9;13.6;30.6;24.3;30.4;2.5;2.2;2.7;5.1;4.8;5.3;5955;2669;-0.2;-2.7;7941;4196;3746;0.4;0.0;0.8
84;A-U All economic activities;2011;319887;;252650;;67237;;317477;2.6;2.2;2.8;53.7;42.4;53.3;31.7;25.0;31.4;2.5;2.1;2.7;1.8;1.4;2.0;5953;10104;0.1;0.7;7952;4209;3744;0.9;0.6;1.3
85;A-U All economic activities;2012 1st quarter;75943;80498.0;58962;63400.0;16981;;75551;1.5;1.0;1.7;13.0;10.1;12.9;28.6;22.2;28.5;1.9;1.4;2.1;0.3;-0.1;0.5;5863;2651;-0.4;1.1;7851;4135;3716;-0.3;-0.7;0.3
86;A-U All economic activities;2012 2nd quarter;91188;81059.0;72601;63536.0;18587;;90570;1.6;0.6;1.7;15.4;12.2;15.3;38.5;30.7;38.3;2.5;1.5;2.6;1.7;0.7;1.8;5927;2368;-0.9;-0.1;7956;4192;3764;-0.6;-1.1;0.0
87;A-U All economic activities;2012 3rd quarter;74598;81196.0;57779;63710.0;16819;;74101;1.4;0.8;1.6;12.6;9.7;12.5;31.5;24.4;31.3;2.5;1.8;2.6;4.6;3.9;4.8;5927;2369;-1.0;-3.0;7919;4171;3748;-0.9;-1.5;-0.2
88;A-U All economic activities;2012 4th quarter;82545;81390.0;64879;63502.0;17666;;81934;1.0;0.1;0.9;14.1;11.1;14.0;32.0;25.1;31.7;2.5;1.7;2.5;4.4;3.5;4.4;5866;2582;-1.5;-3.3;7862;4129;3734;-1.0;-1.6;-0.3
89;A-U All economic activities;2012;324274;;254221;;70053;;322156;1.4;0.6;1.5;55.0;43.1;54.6;32.5;25.5;32.3;2.3;1.6;2.5;2.7;2.0;2.8;5896;9970;-1.0;-1.3;7897;4157;3740;-0.7;-1.2;-0.1
90;A-U All economic activities;2013 1st quarter;76955;81592.0;59306;63782.0;17649;;76782;1.3;0.6;1.6;13.3;10.3;13.3;30.2;23.3;30.1;2.8;2.0;3.1;5.5;4.7;5.8;5780;2548;-1.4;-3.9;7727;4048;3679;-1.6;-2.1;-1.0
91;A-U All economic activities;2013 2nd quarter;91416;81398.0;72683;63711.0;18733;;91084;0.3;0.1;0.6;15.7;12.5;15.6;38.7;30.8;38.6;1.8;1.7;2.2;0.5;0.4;0.9;5835;2361;-1.6;-0.3;7811;4099;3712;-1.8;-2.2;-1.4
92;A-U All economic activities;2013 3rd quarter;74795;81364.0;57721;63604.0;17074;;74618;0.3;-0.1;0.7;12.9;9.9;12.8;31.7;24.5;31.6;2.3;1.9;2.8;0.6;0.3;1.1;5808;2360;-2.0;-0.4;7762;4079;3683;-2.0;-2.2;-1.7
93;A-U All economic activities;2013 4th quarter;81985;80754.0;65377;63948.0;16608;;81723;-0.7;0.8;-0.3;14.2;11.3;14.2;31.8;25.3;31.7;0.9;2.3;1.3;-0.6;0.9;-0.2;5775;2579;-1.5;-0.1;7726;4055;3671;-1.7;-1.8;-1.7
94;A-U All economic activities;2013;325151;;255087;;70064;;324207;0.3;0.3;0.6;56.1;44.0;55.9;33.0;25.9;32.9;1.9;2.0;2.3;1.5;1.6;1.9;5800;9847;-1.6;-1.2;7757;4070;3686;-1.8;-2.1;-1.4
95;A-U All economic activities;2014 1st quarter;76861;81486.0;58957;63401.0;17904;;76814;-0.1;-0.6;0.0;13.5;10.4;13.5;30.2;23.2;30.2;1.4;0.9;1.6;0.0;-0.5;0.1;5693;2545;-1.5;-0.1;7620;3992;3628;-1.4;-1.4;-1.4
96;A-U All economic activities;2014 2nd quarter;91712;81806.0;72259;63433.0;19453;;91548;0.3;-0.6;0.5;15.8;12.5;15.8;39.2;30.9;39.1;1.2;0.2;1.3;1.2;0.3;1.4;5787;2341;-0.8;-0.8;7751;4066;3685;-0.8;-0.8;-0.7
