ID;RegioS;Perioden;VerkeersintensiteitenRijkswegen_1
39;Nederland, Buitenland, Niet in te delen;2014 januari;
40;Nederland, Buitenland, Niet in te delen;2014 februari;
41;Nederland, Buitenland, Niet in te delen;2014 maart;
42;Nederland, Buitenland, Niet in te delen;2014 april;
43;Nederland, Buitenland, Niet in te delen;2014 mei;
44;Nederland, Buitenland, Niet in te delen;2014 juni;
45;Nederland, Buitenland, Niet in te delen;2014 juli;
46;Nederland, Buitenland, Niet in te delen;2014 augustus;
47;Nederland, Buitenland, Niet in te delen;2014 september;
48;Nederland, Buitenland, Niet in te delen;2014 oktober;
49;Nederland, Buitenland, Niet in te delen;2014 november;
50;Nederland, Buitenland, Niet in te delen;2014 december;
51;Nederland, Buitenland, Niet in te delen;2014;
52;Nederland, Buitenland, Niet in te delen;2015 januari;
53;Nederland, Buitenland, Niet in te delen;2015 februari;
54;Nederland, Buitenland, Niet in te delen;2015 maart;
55;Nederland, Buitenland, Niet in te delen;2015 april;
56;Nederland, Buitenland, Niet in te delen;2015 mei;
57;Nederland, Buitenland, Niet in te delen;2015 juni;
58;Nederland, Buitenland, Niet in te delen;2015 juli;
59;Nederland, Buitenland, Niet in te delen;2015 augustus;
60;Nederland, Buitenland, Niet in te delen;2015 september;
61;Nederland, Buitenland, Niet in te delen;2015 oktober;
62;Nederland, Buitenland, Niet in te delen;2015 november;
63;Nederland, Buitenland, Niet in te delen;2015 december;
64;Nederland, Buitenland, Niet in te delen;2015;
65;Nederland, Buitenland, Niet in te delen;2016 januari;
66;Nederland, Buitenland, Niet in te delen;2016 februari;
67;Nederland, Buitenland, Niet in te delen;2016 maart;
68;Nederland, Buitenland, Niet in te delen;2016 april;
69;Nederland, Buitenland, Niet in te delen;2016 mei;
70;Nederland, Buitenland, Niet in te delen;2016 juni;
71;Nederland, Buitenland, Niet in te delen;2016 juli;
72;Nederland, Buitenland, Niet in te delen;2016 augustus;
73;Nederland, Buitenland, Niet in te delen;2016 september;
74;Nederland, Buitenland, Niet in te delen;2016 oktober;
75;Nederland, Buitenland, Niet in te delen;2016 november;
76;Nederland, Buitenland, Niet in te delen;2016 december;
77;Nederland, Buitenland, Niet in te delen;2016;
78;Nederland, Buitenland, Niet in te delen;2017 januari;
79;Nederland, Buitenland, Niet in te delen;2017 februari;
80;Nederland, Buitenland, Niet in te delen;2017 maart;
81;Nederland, Buitenland, Niet in te delen;2017 april;
82;Nederland, Buitenland, Niet in te delen;2017 mei;
83;Nederland, Buitenland, Niet in te delen;2017 juni;
84;Nederland, Buitenland, Niet in te delen;2017 juli;
85;Nederland, Buitenland, Niet in te delen;2017 augustus;
86;Nederland, Buitenland, Niet in te delen;2017 september;
87;Nederland, Buitenland, Niet in te delen;2017 oktober;
88;Nederland, Buitenland, Niet in te delen;2017 november;
89;Nederland, Buitenland, Niet in te delen;2017 december;
90;Nederland, Buitenland, Niet in te delen;2017;
91;Nederland, Buitenland, Niet in te delen;2018 januari;
92;Nederland, Buitenland, Niet in te delen;2018 februari;
93;Nederland, Buitenland, Niet in te delen;2018 maart;
94;Nederland, Buitenland, Niet in te delen;2018 april;
95;Nederland, Buitenland, Niet in te delen;2018 mei;
96;Nederland, Buitenland, Niet in te delen;2018 juni;
97;Nederland, Buitenland, Niet in te delen;2018 juli;
98;Nederland, Buitenland, Niet in te delen;2018 augustus;
99;Nederland, Buitenland, Niet in te delen;2018 september;
100;Nederland, Buitenland, Niet in te delen;2018 oktober;
101;Nederland, Buitenland, Niet in te delen;2018 november;
102;Nederland, Buitenland, Niet in te delen;2018 december;
103;Nederland, Buitenland, Niet in te delen;2018;
104;Nederland;2011 januari;1885.0
105;Nederland;2011 februari;2060.0
106;Nederland;2011 maart;2140.0
107;Nederland;2011 april;2160.0
108;Nederland;2011 mei;2145.0
109;Nederland;2011 juni;2163.0
110;Nederland;2011 juli;2019.0
111;Nederland;2011 augustus;2013.0
112;Nederland;2011 september;2201.0
113;Nederland;2011 oktober;2171.0
114;Nederland;2011 november;2160.0
115;Nederland;2011 december;1964.0
116;Nederland;2011;2089.0
117;Nederland;2012 januari;1951.0
118;Nederland;2012 februari;1968.0
119;Nederland;2012 maart;2116.0
120;Nederland;2012 april;2098.0
121;Nederland;2012 mei;2162.0
122;Nederland;2012 juni;2148.0
123;Nederland;2012 juli;2076.0
124;Nederland;2012 augustus;2117.0
125;Nederland;2012 september;2191.0
126;Nederland;2012 oktober;2221.0
127;Nederland;2012 november;2165.0
128;Nederland;2012 december;1895.0
129;Nederland;2012;2092.0
130;Nederland;2013 januari;1908.0
131;Nederland;2013 februari;2036.0
132;Nederland;2013 maart;2108.0
133;Nederland;2013 april;2177.0
134;Nederland;2013 mei;2208.0
135;Nederland;2013 juni;2250.0
136;Nederland;2013 juli;2131.0
137;Nederland;2013 augustus;2150.0
138;Nederland;2013 september;2250.0
139;Nederland;2013 oktober;2278.0
140;Nederland;2013 november;2203.0
141;Nederland;2013 december;2030.0
142;Nederland;2013;2144.0
143;Nederland;2014 januari;2048.0
144;Nederland;2014 februari;2114.0
145;Nederland;2014 maart;2117.0
146;Nederland;2014 april;2218.0
147;Nederland;2014 mei;2238.0
148;Nederland;2014 juni;2273.0
149;Nederland;2014 juli;2165.0
150;Nederland;2014 augustus;2124.0
151;Nederland;2014 september;2304.0
152;Nederland;2014 oktober;2324.0
153;Nederland;2014 november;2218.0
154;Nederland;2014 december;2063.0
155;Nederland;2014;2184.0
156;Nederland;2015 januari;2055.0
157;Nederland;2015 februari;2148.0
158;Nederland;2015 maart;2253.0
159;Nederland;2015 april;2288.0
160;Nederland;2015 mei;2240.0
161;Nederland;2015 juni;2377.0
162;Nederland;2015 juli;2240.0
163;Nederland;2015 augustus;2182.0
164;Nederland;2015 september;2330.0
165;Nederland;2015 oktober;2333.0
166;Nederland;2015 november;2302.0
167;Nederland;2015 december;2154.0
168;Nederland;2015;2242.0
169;Nederland;2016 januari;2057.0
170;Nederland;2016 februari;2213.0
171;Nederland;2016 maart;2293.0
172;Nederland;2016 april;2268.0
173;Nederland;2016 mei;2281.0
174;Nederland;2016 juni;2358.0
175;Nederland;2016 juli;2252.0
176;Nederland;2016 augustus;2189.0
177;Nederland;2016 september;2362.0
178;Nederland;2016 oktober;2309.0
179;Nederland;2016 november;2281.0
180;Nederland;2016 december;2122.0
181;Nederland;2016;2249.0
182;Nederland;2017 januari;2053.0
183;Nederland;2017 februari;2175.0
184;Nederland;2017 maart;2301.0
185;Nederland;2017 april;2280.0
186;Nederland;2017 mei;2323.0
187;Nederland;2017 juni;2399.0
188;Nederland;2017 juli;2274.0
189;Nederland;2017 augustus;2228.0
190;Nederland;2017 september;2342.0
191;Nederland;2017 oktober;2379.0
192;Nederland;2017 november;2321.0
193;Nederland;2017 december;2052.0
194;Nederland;2017;2261.0
195;Nederland;2018 januari;2141.0
196;Nederland;2018 februari;2187.0
197;Nederland;2018 maart;2292.0
198;Nederland;2018 april;2314.0
199;Nederland;2018 mei;2328.0
200;Nederland;2018 juni;2379.0
201;Nederland;2018 juli;2288.0
202;Nederland;2018 augustus;2261.0
203;Nederland;2018 september;2336.0
204;Nederland;2018 oktober;2402.0
205;Nederland;2018 november;2357.0
206;Nederland;2018 december;2115.0
207;Nederland;2018;2283.0
208;Noord-Nederland (LD);2011 januari;1017.0
209;Noord-Nederland (LD);2011 februari;1100.0
210;Noord-Nederland (LD);2011 maart;1164.0
211;Noord-Nederland (LD);2011 april;1160.0
212;Noord-Nederland (LD);2011 mei;1111.0
213;Noord-Nederland (LD);2011 juni;1140.0
214;Noord-Nederland (LD);2011 juli;1101.0
215;Noord-Nederland (LD);2011 augustus;1018.0
216;Noord-Nederland (LD);2011 september;1136.0
217;Noord-Nederland (LD);2011 oktober;1134.0
218;Noord-Nederland (LD);2011 november;1143.0
219;Noord-Nederland (LD);2011 december;1041.0
220;Noord-Nederland (LD);2011;1105.0
221;Noord-Nederland (LD);2012 januari;1034.0
222;Noord-Nederland (LD);2012 februari;1049.0
223;Noord-Nederland (LD);2012 maart;1095.0
224;Noord-Nederland (LD);2012 april;1079.0
225;Noord-Nederland (LD);2012 mei;1113.0
226;Noord-Nederland (LD);2012 juni;1163.0
227;Noord-Nederland (LD);2012 juli;1108.0
228;Noord-Nederland (LD);2012 augustus;1027.0
229;Noord-Nederland (LD);2012 september;1130.0
230;Noord-Nederland (LD);2012 oktober;1090.0
231;Noord-Nederland (LD);2012 november;1133.0
232;Noord-Nederland (LD);2012 december;1029.0
233;Noord-Nederland (LD);2012;1087.0
234;Noord-Nederland (LD);2013 januari;1022.0
235;Noord-Nederland (LD);2013 februari;1078.0
236;Noord-Nederland (LD);2013 maart;1138.0
237;Noord-Nederland (LD);2013 april;1156.0
238;Noord-Nederland (LD);2013 mei;1179.0
239;Noord-Nederland (LD);2013 juni;1216.0
240;Noord-Nederland (LD);2013 juli;1107.0
241;Noord-Nederland (LD);2013 augustus;1152.0
242;Noord-Nederland (LD);2013 september;1214.0
243;Noord-Nederland (LD);2013 oktober;1280.0
244;Noord-Nederland (LD);2013 november;1200.0
245;Noord-Nederland (LD);2013 december;1219.0
246;Noord-Nederland (LD);2013;1164.0
247;Noord-Nederland (LD);2014 januari;1168.0
248;Noord-Nederland (LD);2014 februari;1255.0
249;Noord-Nederland (LD);2014 maart;1180.0
250;Noord-Nederland (LD);2014 april;1219.0
251;Noord-Nederland (LD);2014 mei;1201.0
252;Noord-Nederland (LD);2014 juni;1187.0
253;Noord-Nederland (LD);2014 juli;1083.0
254;Noord-Nederland (LD);2014 augustus;1156.0
255;Noord-Nederland (LD);2014 september;1206.0
256;Noord-Nederland (LD);2014 oktober;1238.0
257;Noord-Nederland (LD);2014 november;1164.0
258;Noord-Nederland (LD);2014 december;1203.0
259;Noord-Nederland (LD);2014;1188.0
260;Noord-Nederland (LD);2015 januari;1217.0
261;Noord-Nederland (LD);2015 februari;1159.0
262;Noord-Nederland (LD);2015 maart;1246.0
263;Noord-Nederland (LD);2015 april;1233.0
264;Noord-Nederland (LD);2015 mei;1227.0
265;Noord-Nederland (LD);2015 juni;1265.0
266;Noord-Nederland (LD);2015 juli;1155.0
267;Noord-Nederland (LD);2015 augustus;1165.0
268;Noord-Nederland (LD);2015 september;1208.0
269;Noord-Nederland (LD);2015 oktober;1179.0
270;Noord-Nederland (LD);2015 november;1321.0
271;Noord-Nederland (LD);2015 december;1258.0
272;Noord-Nederland (LD);2015;1219.0
273;Noord-Nederland (LD);2016 januari;1057.0
274;Noord-Nederland (LD);2016 februari;1246.0
275;Noord-Nederland (LD);2016 maart;1203.0
276;Noord-Nederland (LD);2016 april;1207.0
277;Noord-Nederland (LD);2016 mei;1188.0
278;Noord-Nederland (LD);2016 juni;1228.0
279;Noord-Nederland (LD);2016 juli;1168.0
280;Noord-Nederland (LD);2016 augustus;1108.0
281;Noord-Nederland (LD);2016 september;1242.0
282;Noord-Nederland (LD);2016 oktober;1190.0
283;Noord-Nederland (LD);2016 november;1216.0
284;Noord-Nederland (LD);2016 december;1139.0
285;Noord-Nederland (LD);2016;1183.0
286;Noord-Nederland (LD);2017 januari;1076.0
287;Noord-Nederland (LD);2017 februari;1159.0
288;Noord-Nederland (LD);2017 maart;1207.0
289;Noord-Nederland (LD);2017 april;1190.0
290;Noord-Nederland (LD);2017 mei;1200.0
291;Noord-Nederland (LD);2017 juni;1270.0
292;Noord-Nederland (LD);2017 juli;1151.0
293;Noord-Nederland (LD);2017 augustus;1060.0
294;Noord-Nederland (LD);2017 september;1158.0
295;Noord-Nederland (LD);2017 oktober;1183.0
296;Noord-Nederland (LD);2017 november;1125.0
297;Noord-Nederland (LD);2017 december;1040.0
298;Noord-Nederland (LD);2017;1151.0
299;Noord-Nederland (LD);2018 januari;1083.0
300;Noord-Nederland (LD);2018 februari;1048.0
301;Noord-Nederland (LD);2018 maart;1176.0
302;Noord-Nederland (LD);2018 april;1140.0
303;Noord-Nederland (LD);2018 mei;1142.0
304;Noord-Nederland (LD);2018 juni;1155.0
305;Noord-Nederland (LD);2018 juli;1187.0
306;Noord-Nederland (LD);2018 augustus;1110.0
307;Noord-Nederland (LD);2018 september;1179.0
308;Noord-Nederland (LD);2018 oktober;1230.0
309;Noord-Nederland (LD);2018 november;1240.0
310;Noord-Nederland (LD);2018 december;1143.0
311;Noord-Nederland (LD);2018;1153.0
312;Oost-Nederland (LD);2011 januari;1711.0
313;Oost-Nederland (LD);2011 februari;1871.0
314;Oost-Nederland (LD);2011 maart;1953.0
315;Oost-Nederland (LD);2011 april;1964.0
316;Oost-Nederland (LD);2011 mei;1930.0
317;Oost-Nederland (LD);2011 juni;2016.0
318;Oost-Nederland (LD);2011 juli;1877.0
319;Oost-Nederland (LD);2011 augustus;1863.0
320;Oost-Nederland (LD);2011 september;2068.0
321;Oost-Nederland (LD);2011 oktober;2045.0
322;Oost-Nederland (LD);2011 november;2036.0
323;Oost-Nederland (LD);2011 december;1844.0
324;Oost-Nederland (LD);2011;1931.0
325;Oost-Nederland (LD);2012 januari;1827.0
326;Oost-Nederland (LD);2012 februari;1876.0
327;Oost-Nederland (LD);2012 maart;1990.0
328;Oost-Nederland (LD);2012 april;1980.0
329;Oost-Nederland (LD);2012 mei;2045.0
330;Oost-Nederland (LD);2012 juni;2020.0
331;Oost-Nederland (LD);2012 juli;1966.0
332;Oost-Nederland (LD);2012 augustus;1954.0
333;Oost-Nederland (LD);2012 september;2047.0
334;Oost-Nederland (LD);2012 oktober;2079.0
335;Oost-Nederland (LD);2012 november;2014.0
336;Oost-Nederland (LD);2012 december;1769.0
337;Oost-Nederland (LD);2012;1964.0
338;Oost-Nederland (LD);2013 januari;1768.0
339;Oost-Nederland (LD);2013 februari;1896.0
340;Oost-Nederland (LD);2013 maart;1973.0
341;Oost-Nederland (LD);2013 april;2028.0
342;Oost-Nederland (LD);2013 mei;2077.0
343;Oost-Nederland (LD);2013 juni;2115.0
344;Oost-Nederland (LD);2013 juli;1990.0
345;Oost-Nederland (LD);2013 augustus;2002.0
346;Oost-Nederland (LD);2013 september;2124.0
347;Oost-Nederland (LD);2013 oktober;2155.0
348;Oost-Nederland (LD);2013 november;2075.0
349;Oost-Nederland (LD);2013 december;1927.0
350;Oost-Nederland (LD);2013;2011.0
351;Oost-Nederland (LD);2014 januari;1913.0
352;Oost-Nederland (LD);2014 februari;2024.0
353;Oost-Nederland (LD);2014 maart;2028.0
354;Oost-Nederland (LD);2014 april;2130.0
355;Oost-Nederland (LD);2014 mei;2130.0
356;Oost-Nederland (LD);2014 juni;2188.0
357;Oost-Nederland (LD);2014 juli;2045.0
358;Oost-Nederland (LD);2014 augustus;2018.0
359;Oost-Nederland (LD);2014 september;2203.0
360;Oost-Nederland (LD);2014 oktober;2225.0
361;Oost-Nederland (LD);2014 november;2107.0
362;Oost-Nederland (LD);2014 december;1964.0
363;Oost-Nederland (LD);2014;2081.0
364;Oost-Nederland (LD);2015 januari;1936.0
365;Oost-Nederland (LD);2015 februari;2047.0
366;Oost-Nederland (LD);2015 maart;2142.0
367;Oost-Nederland (LD);2015 april;2177.0
368;Oost-Nederland (LD);2015 mei;2138.0
369;Oost-Nederland (LD);2015 juni;2284.0
370;Oost-Nederland (LD);2015 juli;2129.0
371;Oost-Nederland (LD);2015 augustus;2081.0
372;Oost-Nederland (LD);2015 september;2219.0
373;Oost-Nederland (LD);2015 oktober;2224.0
374;Oost-Nederland (LD);2015 november;2183.0
375;Oost-Nederland (LD);2015 december;2037.0
376;Oost-Nederland (LD);2015;2133.0
377;Oost-Nederland (LD);2016 januari;1925.0
378;Oost-Nederland (LD);2016 februari;2093.0
379;Oost-Nederland (LD);2016 maart;2159.0
380;Oost-Nederland (LD);2016 april;2107.0
381;Oost-Nederland (LD);2016 mei;2143.0
382;Oost-Nederland (LD);2016 juni;2220.0
383;Oost-Nederland (LD);2016 juli;2111.0
384;Oost-Nederland (LD);2016 augustus;2049.0
385;Oost-Nederland (LD);2016 september;2214.0
386;Oost-Nederland (LD);2016 oktober;2160.0
387;Oost-Nederland (LD);2016 november;2111.0
388;Oost-Nederland (LD);2016 december;1952.0
389;Oost-Nederland (LD);2016;2104.0
390;Oost-Nederland (LD);2017 januari;1876.0
391;Oost-Nederland (LD);2017 februari;2008.0
392;Oost-Nederland (LD);2017 maart;2118.0
393;Oost-Nederland (LD);2017 april;2088.0
394;Oost-Nederland (LD);2017 mei;2163.0
395;Oost-Nederland (LD);2017 juni;2207.0
396;Oost-Nederland (LD);2017 juli;2098.0
397;Oost-Nederland (LD);2017 augustus;2044.0
398;Oost-Nederland (LD);2017 september;2163.0
399;Oost-Nederland (LD);2017 oktober;2200.0
400;Oost-Nederland (LD);2017 november;2139.0
401;Oost-Nederland (LD);2017 december;1875.0
402;Oost-Nederland (LD);2017;2078.0
403;Oost-Nederland (LD);2018 januari;1993.0
404;Oost-Nederland (LD);2018 februari;2047.0
405;Oost-Nederland (LD);2018 maart;2148.0
406;Oost-Nederland (LD);2018 april;2184.0
407;Oost-Nederland (LD);2018 mei;2160.0
408;Oost-Nederland (LD);2018 juni;2192.0
409;Oost-Nederland (LD);2018 juli;2100.0
410;Oost-Nederland (LD);2018 augustus;2051.0
411;Oost-Nederland (LD);2018 september;2152.0
412;Oost-Nederland (LD);2018 oktober;2215.0
413;Oost-Nederland (LD);2018 november;2168.0
414;Oost-Nederland (LD);2018 december;1974.0
415;Oost-Nederland (LD);2018;2115.0
416;West-Nederland (LD);2011 januari;2384.0
417;West-Nederland (LD);2011 februari;2613.0
418;West-Nederland (LD);2011 maart;2733.0
419;West-Nederland (LD);2011 april;2744.0
420;West-Nederland (LD);2011 mei;2742.0
421;West-Nederland (LD);2011 juni;2705.0
422;West-Nederland (LD);2011 juli;2468.0
423;West-Nederland (LD);2011 augustus;2500.0
424;West-Nederland (LD);2011 september;2739.0
425;West-Nederland (LD);2011 oktober;2700.0
426;West-Nederland (LD);2011 november;2679.0
427;West-Nederland (LD);2011 december;2446.0
428;West-Nederland (LD);2011;2620.0
429;West-Nederland (LD);2012 januari;2439.0
430;West-Nederland (LD);2012 februari;2464.0
431;West-Nederland (LD);2012 maart;2643.0
432;West-Nederland (LD);2012 april;2609.0
433;West-Nederland (LD);2012 mei;2670.0
434;West-Nederland (LD);2012 juni;2594.0
435;West-Nederland (LD);2012 juli;2584.0
436;West-Nederland (LD);2012 augustus;2633.0
437;West-Nederland (LD);2012 september;2737.0
438;West-Nederland (LD);2012 oktober;2805.0
439;West-Nederland (LD);2012 november;2714.0
440;West-Nederland (LD);2012 december;2357.0
441;West-Nederland (LD);2012;2604.0
442;West-Nederland (LD);2013 januari;2393.0
443;West-Nederland (LD);2013 februari;2583.0
444;West-Nederland (LD);2013 maart;2644.0
445;West-Nederland (LD);2013 april;2729.0
446;West-Nederland (LD);2013 mei;2742.0
447;West-Nederland (LD);2013 juni;2788.0
448;West-Nederland (LD);2013 juli;2693.0
449;West-Nederland (LD);2013 augustus;2630.0
450;West-Nederland (LD);2013 september;2786.0
451;West-Nederland (LD);2013 oktober;2800.0
452;West-Nederland (LD);2013 november;2729.0
453;West-Nederland (LD);2013 december;2459.0
454;West-Nederland (LD);2013;2664.0
455;West-Nederland (LD);2014 januari;2527.0
456;West-Nederland (LD);2014 februari;2560.0
457;West-Nederland (LD);2014 maart;2610.0
458;West-Nederland (LD);2014 april;2697.0
459;West-Nederland (LD);2014 mei;2749.0
460;West-Nederland (LD);2014 juni;2777.0
461;West-Nederland (LD);2014 juli;2663.0
462;West-Nederland (LD);2014 augustus;2567.0
463;West-Nederland (LD);2014 september;2833.0
464;West-Nederland (LD);2014 oktober;2842.0
465;West-Nederland (LD);2014 november;2744.0
466;West-Nederland (LD);2014 december;2512.0
467;West-Nederland (LD);2014;2673.0
468;West-Nederland (LD);2015 januari;2514.0
469;West-Nederland (LD);2015 februari;2666.0
470;West-Nederland (LD);2015 maart;2763.0
471;West-Nederland (LD);2015 april;2808.0
472;West-Nederland (LD);2015 mei;2725.0
473;West-Nederland (LD);2015 juni;2904.0
474;West-Nederland (LD);2015 juli;2703.0
475;West-Nederland (LD);2015 augustus;2694.0
476;West-Nederland (LD);2015 september;2870.0
477;West-Nederland (LD);2015 oktober;2872.0
478;West-Nederland (LD);2015 november;2799.0
479;West-Nederland (LD);2015 december;2613.0
480;West-Nederland (LD);2015;2744.0
481;West-Nederland (LD);2016 januari;2554.0
482;West-Nederland (LD);2016 februari;2727.0
483;West-Nederland (LD);2016 maart;2824.0
484;West-Nederland (LD);2016 april;2801.0
485;West-Nederland (LD);2016 mei;2810.0
486;West-Nederland (LD);2016 juni;2903.0
487;West-Nederland (LD);2016 juli;2728.0
488;West-Nederland (LD);2016 augustus;2717.0
489;West-Nederland (LD);2016 september;2921.0
490;West-Nederland (LD);2016 oktober;2855.0
491;West-Nederland (LD);2016 november;2821.0
492;West-Nederland (LD);2016 december;2621.0
493;West-Nederland (LD);2016;2774.0
494;West-Nederland (LD);2017 januari;2560.0
495;West-Nederland (LD);2017 februari;2714.0
496;West-Nederland (LD);2017 maart;2866.0
497;West-Nederland (LD);2017 april;2841.0
498;West-Nederland (LD);2017 mei;2900.0
499;West-Nederland (LD);2017 juni;2947.0
500;West-Nederland (LD);2017 juli;2776.0
501;West-Nederland (LD);2017 augustus;2769.0
502;West-Nederland (LD);2017 september;2912.0
503;West-Nederland (LD);2017 oktober;2955.0
504;West-Nederland (LD);2017 november;2897.0
505;West-Nederland (LD);2017 december;2544.0
506;West-Nederland (LD);2017;2807.0
507;West-Nederland (LD);2018 januari;2662.0
508;West-Nederland (LD);2018 februari;2766.0
509;West-Nederland (LD);2018 maart;2839.0
510;West-Nederland (LD);2018 april;2873.0
511;West-Nederland (LD);2018 mei;2903.0
512;West-Nederland (LD);2018 juni;2976.0
513;West-Nederland (LD);2018 juli;2854.0
514;West-Nederland (LD);2018 augustus;2804.0
515;West-Nederland (LD);2018 september;2912.0
516;West-Nederland (LD);2018 oktober;3002.0
517;West-Nederland (LD);2018 november;2955.0
518;West-Nederland (LD);2018 december;2621.0
519;West-Nederland (LD);2018;2847.0
520;Zuid-Nederland (LD);2011 januari;1956.0
521;Zuid-Nederland (LD);2011 februari;2128.0
522;Zuid-Nederland (LD);2011 maart;2162.0
523;Zuid-Nederland (LD);2011 april;2221.0
524;Zuid-Nederland (LD);2011 mei;2230.0
525;Zuid-Nederland (LD);2011 juni;2246.0
526;Zuid-Nederland (LD);2011 juli;2162.0
527;Zuid-Nederland (LD);2011 augustus;2162.0
528;Zuid-Nederland (LD);2011 september;2309.0
529;Zuid-Nederland (LD);2011 oktober;2260.0
530;Zuid-Nederland (LD);2011 november;2249.0
531;Zuid-Nederland (LD);2011 december;2037.0
532;Zuid-Nederland (LD);2011;2176.0
533;Zuid-Nederland (LD);2012 januari;2012.0
534;Zuid-Nederland (LD);2012 februari;1982.0
535;Zuid-Nederland (LD);2012 maart;2197.0
536;Zuid-Nederland (LD);2012 april;2190.0
537;Zuid-Nederland (LD);2012 mei;2279.0
538;Zuid-Nederland (LD);2012 juni;2321.0
539;Zuid-Nederland (LD);2012 juli;2127.0
540;Zuid-Nederland (LD);2012 augustus;2298.0
541;Zuid-Nederland (LD);2012 september;2288.0
542;Zuid-Nederland (LD);2012 oktober;2309.0
543;Zuid-Nederland (LD);2012 november;2244.0
544;Zuid-Nederland (LD);2012 december;1957.0
545;Zuid-Nederland (LD);2012;2184.0
546;Zuid-Nederland (LD);2013 januari;1976.0
547;Zuid-Nederland (LD);2013 februari;2064.0
548;Zuid-Nederland (LD);2013 maart;2155.0
549;Zuid-Nederland (LD);2013 april;2245.0
550;Zuid-Nederland (LD);2013 mei;2285.0
551;Zuid-Nederland (LD);2013 juni;2333.0
552;Zuid-Nederland (LD);2013 juli;2178.0
553;Zuid-Nederland (LD);2013 augustus;2304.0
554;Zuid-Nederland (LD);2013 september;2327.0
555;Zuid-Nederland (LD);2013 oktober;2344.0
556;Zuid-Nederland (LD);2013 november;2271.0
557;Zuid-Nederland (LD);2013 december;2078.0
558;Zuid-Nederland (LD);2013;2214.0
559;Zuid-Nederland (LD);2014 januari;2101.0
560;Zuid-Nederland (LD);2014 februari;2150.0
561;Zuid-Nederland (LD);2014 maart;2138.0
562;Zuid-Nederland (LD);2014 april;2305.0
563;Zuid-Nederland (LD);2014 mei;2323.0
564;Zuid-Nederland (LD);2014 juni;2381.0
565;Zuid-Nederland (LD);2014 juli;2312.0
566;Zuid-Nederland (LD);2014 augustus;2259.0
567;Zuid-Nederland (LD);2014 september;2399.0
568;Zuid-Nederland (LD);2014 oktober;2424.0
569;Zuid-Nederland (LD);2014 november;2295.0
570;Zuid-Nederland (LD);2014 december;2107.0
571;Zuid-Nederland (LD);2014;2266.0
572;Zuid-Nederland (LD);2015 januari;2090.0
573;Zuid-Nederland (LD);2015 februari;2182.0
574;Zuid-Nederland (LD);2015 maart;2321.0
575;Zuid-Nederland (LD);2015 april;2376.0
576;Zuid-Nederland (LD);2015 mei;2339.0
577;Zuid-Nederland (LD);2015 juni;2477.0
578;Zuid-Nederland (LD);2015 juli;2435.0
579;Zuid-Nederland (LD);2015 augustus;2245.0
580;Zuid-Nederland (LD);2015 september;2438.0
581;Zuid-Nederland (LD);2015 oktober;2455.0
582;Zuid-Nederland (LD);2015 november;2377.0
583;Zuid-Nederland (LD);2015 december;2223.0
584;Zuid-Nederland (LD);2015;2330.0
585;Zuid-Nederland (LD);2016 januari;2161.0
586;Zuid-Nederland (LD);2016 februari;2252.0
587;Zuid-Nederland (LD);2016 maart;2407.0
