ID;Kenmerken;Perioden;Totaal_1;ZonderMBLHandelwijze_2;TotaalMetMBLHandelwijze_3;MBLRekeningHoudendMetOverlijden_4;MBLOverlijdenUitdrukkelijkDoel_5
57;29;2001;;;32.0;;32.0
58;30;1995;137.0;48.0;89.0;27.0;62.0
59;30;2001;105.0;25.0;80.0;22.0;58.0
60;31;1995;201.0;79.0;122.0;35.0;88.0
61;31;2001;243.0;88.0;155.0;35.0;120.0
62;32;1995;122.0;16.0;106.0;23.0;82.0
63;32;2001;158.0;28.0;130.0;23.0;107.0
64;33;1995;171.0;75.0;96.0;33.0;63.0
65;33;2001;136.0;49.0;87.0;23.0;64.0
66;34;1995;46.0;36.0;10.0;6.0;4.0
67;34;2001;53.0;36.0;17.0;10.0;7.0
68;35;1995;;;160.0;46.0;114.0
69;35;2001;;;167.0;42.0;125.0
70;36;1995;;;39.0;7.0;32.0
71;36;2001;;;54.0;8.0;46.0
72;37;1995;;;12.0;9.0;3.0
73;37;2001;;;12.0;6.0;6.0
74;38;1995;;;63.0;28.0;35.0
75;38;2001;;;51.0;24.0;27.0
76;39;1995;;;62.0;15.0;47.0
77;39;2001;;;80.0;13.0;67.0
78;40;1995;;;47.0;9.0;38.0
79;40;2001;;;66.0;11.0;55.0
80;41;1995;;;27.0;3.0;24.0
81;41;2001;;;28.0;3.0;25.0
82;42;1995;;;9.0;6.0;3.0
83;42;2001;;;8.0;5.0;3.0
84;43;1995;;;187.0;47.0;140.0
85;43;2001;;;224.0;49.0;175.0
86;44;1995;;;19.0;10.0;9.0
87;44;2001;;;6.0;5.0;1.0
88;45;1995;;;5.0;5.0;0.0
89;45;2001;;;4.0;3.0;1.0
90;46;1995;;;38.0;5.0;33.0
91;46;2001;;;35.0;10.0;25.0
92;47;1995;;;166.0;41.0;125.0
93;47;2001;;;209.0;41.0;168.0
94;48;1995;;;13.0;4.0;9.0
95;48;2001;;;5.0;2.0;3.0
96;49;1995;;;10.0;8.0;2.0
97;49;2001;;;0.0;0.0;0.0
98;51;1995;;;182.0;43.0;139.0
99;51;2001;;;217.0;47.0;170.0
100;52;1995;;;2.0;1.0;1.0
101;52;2001;;;2.0;0.0;2.0
102;53;1995;;;0.0;0.0;0.0
103;53;2001;;;1.0;0.0;1.0
104;54;1995;;;3.0;3.0;0.0
105;54;2001;;;4.0;2.0;2.0
106;55;1995;;;175.0;40.0;136.0
107;55;2001;;;216.0;44.0;172.0
108;56;1995;;;6.0;3.0;3.0
109;56;2001;;;4.0;1.0;3.0
110;57;1995;;;0.0;0.0;0.0
111;57;2001;;;0.0;0.0;0.0
112;58;1995;;;5.0;4.0;1.0
113;58;2001;;;3.0;3.0;0.0
114;59;1995;;;57.0;8.0;49.0
115;59;2001;;;65.0;15.0;50.0
116;60;1995;;;129.0;38.0;91.0
117;60;2001;;;154.0;32.0;122.0
118;61;1995;;;1.0;1.0;0.0
119;61;2001;;;5.0;2.0;3.0
120;62;1995;;;;;
121;62;2001;196.0;126.0;70.0;47.0;23.0
122;63;1995;;;;;
123;63;2001;114.0;69.0;45.0;31.0;14.0
124;64;1995;;;;;
125;64;2001;82.0;57.0;25.0;16.0;9.0
126;65;1995;;;;;
127;65;2001;47.0;26.0;21.0;19.0;2.0
128;66;1995;;;;;
129;66;2001;87.0;64.0;23.0;12.0;11.0
130;67;1995;;;;;
131;67;2001;62.0;36.0;26.0;17.0;9.0
132;68;1995;;;;;
133;68;2001;0.0;0.0;0.0;0.0;0.0
134;69;1995;;;;;
135;69;2001;71.0;71.0;;;
136;70;1995;;;;;
137;70;2001;115.0;45.0;70.0;47.0;23.0
138;71;1995;;;;;
139;71;2001;10.0;10.0;;;
140;72;1995;;;;;
141;72;2001;;;44.0;;
142;73;1995;;;;;
143;73;2001;;;16.0;;
144;74;1995;;;;;
145;74;2001;;;10.0;;
146;75;1995;;;;;
147;75;2001;;;15.0;13.0;2.0
148;76;1995;;;;;
149;76;2001;;;42.0;23.0;19.0
150;77;1995;;;;;
151;77;2001;;;47.0;41.0;6.0
152;78;1995;;;;;
153;78;2001;;;5.0;;5.0
154;79;1995;;;;;
155;79;2001;68.0;43.0;25.0;25.0;0.0
156;80;1995;;;;;
157;80;2001;86.0;44.0;42.0;21.0;21.0
158;81;1995;;;;;
159;81;2001;0.0;0.0;0.0;0.0;0.0
160;82;1995;;;;;
161;82;2001;41.0;39.0;2.0;1.0;1.0
162;83;1995;;;;;
163;83;2001;95.0;50.0;45.0;22.0;23.0
164;84;1995;;;;;
165;84;2001;101.0;76.0;25.0;25.0;0.0
166;85;1995;;;;;
167;85;2001;;;18.0;15.0;3.0
168;86;1995;;;;;
169;86;2001;;;19.0;6.0;13.0
170;87;1995;;;;;
171;87;2001;;;19.0;15.0;4.0
172;88;1995;;;;;
173;88;2001;;;4.0;4.0;0.0
174;89;1995;;;;;
175;89;2001;;;10.0;7.0;3.0
176;90;1995;;;;;
177;90;2001;;;4.0;3.0;1.0
178;91;1995;;;;;
179;91;2001;;;7.0;6.0;1.0
180;92;1995;;;;;
181;92;2001;;;47.0;27.0;20.0
182;93;1995;;;;;
183;93;2001;;;11.0;11.0;0.0
184;94;1995;;;;;
185;94;2001;;;22.0;9.0;13.0
186;95;1995;;;;;
187;95;2001;;;2.0;1.0;1.0
188;96;1995;;;;;
189;96;2001;;;4.0;4.0;0.0
190;97;1995;;;;;
191;97;2001;;;28.0;16.0;12.0
192;98;1995;;;;;
193;98;2001;;;19.0;13.0;6.0
194;99;1995;;;;;
195;99;2001;;;38.0;19.0;19.0
196;1-16 jaar: geen overleg ouder(s)/familie;1995;;;;;
197;1-16 jaar: geen overleg ouder(s)/familie;2001;;;8.0;8.0;0.0
198;1-16 jaar: overleg ouders/fam. onbekend;1995;;;;;
199;1-16 jaar: overleg ouders/fam. onbekend;2001;;;12.0;11.0;1.0
200;1-16 jaar: uitdr. verzoek ouders/familie;1995;;;;;
201;1-16 jaar: uitdr. verzoek ouders/familie;2001;;;12.0;5.0;7.0
202;1-16 jaar: geen verzoek ouders/familie;1995;;;;;
203;1-16 jaar: geen verzoek ouders/familie;2001;;;25.0;14.0;11.0
204;1-16 jaar: verzoek ouders/fam. onbekend;1995;;;;;
205;1-16 jaar: verzoek ouders/fam. onbekend;2001;;;21.0;19.0;2.0
206;1-16 jaar: overleg met andere arts(en);1995;;;;;
207;1-16 jaar: overleg met andere arts(en);2001;;;36.0;17.0;19.0
208;1-16 jaar: overleg met verpl./zorgverl.;1995;;;;;
209;1-16 jaar: overleg met verpl./zorgverl.;2001;;;24.0;12.0;12.0
210;1-16 jaar: overleg met anderen;1995;;;;;
211;1-16 jaar: overleg met anderen;2001;;;7.0;3.0;4.0
212;1-16 jaar: geen overleg/overleg onbekend;1995;;;;;
213;1-16 jaar: geen overleg/overleg onbekend;2001;;;10.0;9.0;1.0
214;1-16 jaar: advies over eigen besluit;1995;;;;;
215;1-16 jaar: advies over eigen besluit;2001;;;22.0;14.0;8.0
216;1-16 jaar: samen besluit nemen;1995;;;;;
217;1-16 jaar: samen besluit nemen;2001;;;31.0;15.0;16.0
218;1-16 jaar: uitwisseling informatie;1995;;;;;
219;1-16 jaar: uitwisseling informatie;2001;;;17.0;8.0;9.0
220;1-16 jaar: consultat. over meldingsproc.;1995;;;;;
221;1-16 jaar: consultat. over meldingsproc.;2001;;;1.0;0.0;1.0
222;1-16 jaar: reden overleg onbekend;1995;;;;;
223;1-16 jaar: reden overleg onbekend;2001;;;2.0;1.0;1.0
