ID;Perioden;Waarde_1;VoortschrijdendeWaarde_2;Prijs_3;Volume_4;Waarde_5;CumulatieveWaarde_6;Prijs_7;Volume_8
69;1999 februari;74;81.0;81.0;91.0;1.0;0.3;-2.6;3.7
70;1999 maart;84;81.0;83.0;102.0;1.1;0.6;1.0;0.1
71;1999 1e kwartaal;79;81.0;82.0;96.0;0.6;0.6;-1.3;1.9
72;1999 april;87;82.0;85.0;102.0;5.0;1.7;2.3;2.7
73;1999 mei;91;82.0;85.0;107.0;6.5;2.8;2.9;3.5
74;1999 juni;90;83.0;85.0;106.0;8.3;3.7;3.6;4.5
75;1999 2e kwartaal;89;83.0;85.0;105.0;6.6;3.7;2.9;3.5
76;1999 juli;92;84.0;88.0;105.0;13.1;5.0;6.3;6.4
77;1999 augustus;90;85.0;90.0;100.0;15.3;6.3;9.6;5.2
78;1999 september;92;86.0;90.0;102.0;14.9;7.2;10.5;4.0
79;1999 3e kwartaal;91;86.0;89.0;102.0;14.4;7.2;8.8;5.2
80;1999 oktober;97;87.0;89.0;108.0;13.5;7.9;8.9;4.3
81;1999 november;93;87.0;92.0;101.0;11.9;8.3;13.1;-1.1
82;1999 december;98;89.0;93.0;106.0;21.9;9.4;15.9;5.2
83;1999 4e kwartaal;96;89.0;91.0;105.0;15.7;9.4;12.6;2.8
84;1999;89;89.0;87.0;102.0;9.4;9.4;5.7;3.5
85;2000 januari;90;90.0;93.0;97.0;15.9;15.9;13.3;2.3
86;2000 februari;92;91.0;96.0;95.0;23.8;19.8;18.6;4.4
87;2000 maart;99;93.0;98.0;100.0;16.8;18.7;19.0;-1.8
88;2000 1e kwartaal;93;93.0;96.0;97.0;18.7;18.7;17.0;1.5
89;2000 april;101;94.0;96.0;106.0;16.4;18.1;12.6;3.4
90;2000 mei;106;95.0;100.0;107.0;16.4;17.7;16.8;-0.4
91;2000 juni;103;96.0;102.0;101.0;14.1;17.1;19.9;-4.8
92;2000 2e kwartaal;103;96.0;99.0;104.0;15.6;17.1;16.4;-0.6
93;2000 juli;100;97.0;101.0;99.0;8.3;15.7;15.0;-5.8
94;2000 augustus;97;97.0;101.0;96.0;8.3;14.8;12.8;-3.9
95;2000 september;101;98.0;105.0;96.0;9.7;14.2;16.5;-5.9
96;2000 3e kwartaal;99;98.0;102.0;97.0;8.8;14.2;14.8;-5.2
97;2000 oktober;106;99.0;105.0;101.0;9.6;13.7;17.4;-6.7
98;2000 november;103;100.0;104.0;100.0;10.8;13.4;12.9;-1.8
99;2000 december;102;100.0;99.0;103.0;3.6;12.5;6.2;-2.5
100;2000 4e kwartaal;104;100.0;102.0;101.0;8.0;12.5;12.1;-3.7
101;2000;100;100.0;100.0;100.0;12.5;12.5;15.0;-2.2
102;2001 januari;95;100.0;99.0;95.0;5.3;5.3;6.9;-1.5
103;2001 februari;92;100.0;101.0;91.0;0.0;2.6;4.7;-4.5
104;2001 maart;102;101.0;99.0;103.0;3.7;3.0;0.8;2.9
105;2001 1e kwartaal;96;101.0;100.0;96.0;3.0;3.0;4.1;-1.0
106;2001 april;106;101.0;103.0;103.0;4.3;3.4;7.4;-2.8
107;2001 mei;111;101.0;105.0;106.0;4.5;3.6;5.5;-1.0
108;2001 juni;108;102.0;103.0;105.0;4.6;3.8;0.6;3.9
109;2001 2e kwartaal;108;102.0;104.0;104.0;4.5;3.8;4.4;0.0
110;2001 juli;104;102.0;100.0;104.0;4.1;3.8;-1.3;5.6
111;2001 augustus;100;102.0;100.0;100.0;3.0;3.7;-1.5;4.6
112;2001 september;102;103.0;101.0;101.0;1.0;3.4;-4.0;5.3
113;2001 3e kwartaal;102;103.0;100.0;102.0;2.7;3.4;-2.3;5.1
114;2001 oktober;106;103.0;98.0;109.0;0.4;3.1;-6.9;7.9
115;2001 november;101;102.0;95.0;107.0;-2.1;2.6;-8.5;7.0
116;2001 december;99;102.0;94.0;106.0;-2.7;2.2;-4.8;2.2
117;2001 4e kwartaal;102;102.0;96.0;107.0;-1.4;2.2;-6.8;5.7
118;2001;102;102.0;100.0;102.0;2.2;2.2;-0.2;2.4
119;2002 januari;95;102.0;96.0;99.0;0.7;0.7;-3.2;4.0
120;2002 februari;89;102.0;96.0;93.0;-2.7;-1.0;-4.7;2.2
121;2002 maart;103;102.0;99.0;105.0;1.0;-0.3;-0.6;1.5
122;2002 1e kwartaal;96;102.0;97.0;99.0;-0.3;-0.3;-2.8;2.5
123;2002 april;103;102.0;101.0;102.0;-2.0;-0.7;-1.2;-0.8
124;2002 mei;108;102.0;101.0;107.0;-3.1;-1.3;-4.5;1.5
125;2002 juni;105;101.0;99.0;106.0;-2.4;-1.5;-3.7;1.4
126;2002 2e kwartaal;105;101.0;100.0;105.0;-2.5;-1.5;-3.1;0.7
127;2002 juli;100;101.0;99.0;101.0;-3.7;-1.8;-0.4;-3.3
128;2002 augustus;98;101.0;100.0;98.0;-2.3;-1.8;0.4;-2.7
129;2002 september;100;101.0;102.0;99.0;-1.9;-1.9;0.7;-2.6
130;2002 3e kwartaal;99;101.0;100.0;99.0;-2.6;-1.9;0.2;-2.8
131;2002 oktober;105;101.0;101.0;104.0;-1.6;-1.8;3.3;-4.7
132;2002 november;102;101.0;98.0;104.0;0.4;-1.6;2.8;-2.3
133;2002 december;105;101.0;100.0;105.0;5.5;-1.1;5.8;-0.3
134;2002 4e kwartaal;104;101.0;99.0;104.0;1.4;-1.1;3.9;-2.5
135;2002;101;101.0;99.0;102.0;-1.1;-1.1;-0.5;-0.5
136;2003 januari;101;102.0;102.0;99.0;6.1;6.1;5.9;0.1
137;2003 februari;99;102.0;104.0;95.0;10.8;8.4;8.6;2.1
138;2003 maart;110;103.0;105.0;105.0;6.5;7.7;6.2;0.3
139;2003 1e kwartaal;103;103.0;104.0;100.0;7.7;7.7;6.9;0.8
140;2003 april;105;103.0;101.0;104.0;1.0;6.0;-1.0;2.0
141;2003 mei;105;103.0;98.0;107.0;-2.5;4.1;-2.7;0.2
142;2003 juni;105;103.0;98.0;107.0;0.1;3.4;-0.6;0.7
143;2003 2e kwartaal;105;103.0;99.0;106.0;-0.5;3.4;-1.4;1.0
144;2003 juli;100;103.0;100.0;100.0;0.0;3.0;0.4;-0.4
145;2003 augustus;100;103.0;101.0;99.0;2.7;2.9;1.2;1.5
146;2003 september;103;103.0;100.0;103.0;2.4;2.9;-1.7;4.1
147;2003 3e kwartaal;101;103.0;100.0;101.0;1.7;2.9;0.0;1.7
148;2003 oktober;106;103.0;100.0;105.0;1.0;2.7;-0.7;1.7
149;2003 november;101;103.0;100.0;101.0;-0.3;2.4;2.3;-2.5
150;2003 december;103;103.0;99.0;104.0;-2.0;2.0;-0.4;-1.5
151;2003 4e kwartaal;103;103.0;100.0;104.0;-0.4;2.0;0.4;-0.8
152;2003;103;103.0;101.0;102.0;2.0;2.0;1.4;0.6
153;2004 januari;98;103.0;103.0;95.0;-3.2;-3.2;0.6;-3.8
154;2004 februari;97;103.0;102.0;94.0;-2.5;-2.8;-2.0;-0.6
155;2004 maart;110;103.0;106.0;104.0;-0.2;-1.9;1.0;-1.2
156;2004 1e kwartaal;101;103.0;104.0;98.0;-1.9;-1.9;-0.1;-1.9
157;2004 april;108;103.0;108.0;100.0;3.3;-0.6;7.2;-3.7
158;2004 mei;112;103.0;111.0;101.0;6.5;0.8;13.5;-6.2
159;2004 juni;112;104.0;109.0;103.0;6.4;1.8;10.5;-3.7
160;2004 2e kwartaal;111;104.0;109.0;101.0;5.4;1.8;10.4;-4.5
161;2004 juli;109;105.0;110.0;98.0;8.6;2.7;10.8;-2.0
162;2004 augustus;108;105.0;112.0;96.0;7.3;3.3;10.5;-2.9
163;2004 september;113;106.0;112.0;100.0;9.4;3.9;12.3;-2.5
164;2004 3e kwartaal;110;106.0;111.0;98.0;8.4;3.9;11.2;-2.5
165;2004 oktober;115;107.0;115.0;100.0;8.9;4.5;14.9;-5.3
166;2004 november;114;108.0;112.0;102.0;12.4;5.2;12.0;0.4
167;2004 december;112;109.0;108.0;104.0;9.3;5.5;9.3;0.0
168;2004 4e kwartaal;114;109.0;112.0;102.0;10.2;5.5;12.1;-1.7
169;2004;109;109.0;109.0;100.0;5.5;5.5;8.3;-2.6
170;2005 januari;105;109.0;109.0;96.0;7.8;7.8;6.5;1.2
171;2005 februari;103;110.0;112.0;92.0;6.7;7.3;9.0;-2.0
172;2005 maart;117;111.0;115.0;102.0;6.9;7.1;8.3;-1.2
173;2005 1e kwartaal;109;111.0;112.0;97.0;7.1;7.1;7.9;-0.7
174;2005 april;120;112.0;117.0;102.0;11.1;8.2;8.7;2.3
175;2005 mei;122;112.0;115.0;106.0;8.9;8.3;3.6;5.1
176;2005 juni;128;114.0;119.0;107.0;13.9;9.3;9.7;3.9
177;2005 2e kwartaal;123;114.0;117.0;105.0;11.3;9.3;7.3;3.7
178;2005 juli;122;115.0;122.0;100.0;12.3;9.8;10.4;1.7
179;2005 augustus;120;116.0;124.0;97.0;11.8;10.0;11.0;0.7
180;2005 september;128;117.0;128.0;100.0;13.6;10.4;14.2;-0.6
181;2005 3e kwartaal;123;117.0;125.0;99.0;12.6;10.4;11.9;0.6
182;2005 oktober;130;118.0;125.0;104.0;13.0;10.7;8.9;3.8
183;2005 november;124;119.0;120.0;103.0;8.9;10.5;7.4;1.5
184;2005 december;123;120.0;120.0;102.0;9.6;10.5;10.8;-1.1
185;2005 4e kwartaal;126;120.0;122.0;103.0;10.6;10.5;9.0;1.4
186;2005;120;120.0;119.0;101.0;10.5;10.5;9.1;1.3
187;2006 januari;120;121.0;122.0;98.0;13.7;13.7;12.1;1.4
188;2006 februari;113;122.0;121.0;93.0;9.4;11.6;8.7;0.6
189;2006 maart;130;123.0;123.0;106.0;11.1;11.4;7.5;3.3
190;2006 1e kwartaal;121;123.0;122.0;99.0;11.4;11.4;9.4;1.8
191;2006 april;132;124.0;128.0;103.0;9.8;10.9;9.0;0.7
192;2006 mei;137;126.0;127.0;108.0;12.9;11.4;10.8;1.9
193;2006 juni;137;126.0;128.0;107.0;7.1;10.6;7.5;-0.3
194;2006 2e kwartaal;135;126.0;128.0;106.0;9.9;10.6;9.1;0.7
195;2006 juli;134;127.0;130.0;103.0;9.5;10.4;6.7;2.6
196;2006 augustus;130;128.0;129.0;101.0;7.9;10.1;3.7;4.0
197;2006 september;128;128.0;121.0;106.0;0.4;8.9;-5.2;5.9
198;2006 3e kwartaal;131;128.0;127.0;103.0;5.8;8.9;1.6;4.2
199;2006 oktober;129;128.0;119.0;108.0;-0.5;7.9;-4.8;4.5
200;2006 november;127;128.0;119.0;107.0;2.6;7.4;-1.2;3.8
201;2006 december;124;128.0;120.0;104.0;1.2;6.9;-0.3;1.5
202;2006 4e kwartaal;127;128.0;119.0;107.0;1.0;6.9;-2.1;3.3
203;2006;128;128.0;124.0;104.0;6.9;6.9;4.3;2.4
204;2007 januari;122;129.0;119.0;103.0;1.9;1.9;-3.1;5.2
205;2007 februari;116;129.0;120.0;96.0;2.6;2.2;-0.6;3.2
206;2007 maart;135;129.0;124.0;109.0;3.2;2.6;0.5;2.7
207;2007 1e kwartaal;124;129.0;121.0;103.0;2.6;2.6;-1.1;3.7
208;2007 april;134;129.0;127.0;105.0;1.6;2.3;-0.6;2.2
209;2007 mei;138;129.0;129.0;107.0;0.3;1.9;1.2;-0.9
210;2007 juni;138;130.0;129.0;107.0;1.1;1.8;0.7;0.4
211;2007 2e kwartaal;137;130.0;128.0;106.0;1.0;1.8;0.5;0.5
212;2007 juli;131;129.0;129.0;101.0;-2.3;1.1;-1.0;-1.3
213;2007 augustus;129;129.0;127.0;102.0;-0.5;0.9;-1.3;0.8
214;2007 september;132;130.0;129.0;103.0;3.2;1.2;6.1;-2.7
215;2007 3e kwartaal;131;130.0;128.0;102.0;0.1;1.2;1.2;-1.1
216;2007 oktober;138;130.0;129.0;107.0;6.6;1.7;8.2;-1.5
217;2007 november;140;131.0;135.0;104.0;9.7;2.5;13.3;-3.1
218;2007 december;133;132.0;133.0;100.0;7.0;2.8;11.0;-3.6
219;2007 4e kwartaal;137;132.0;132.0;104.0;7.8;2.8;10.8;-2.7
220;2007;132;132.0;127.0;104.0;2.8;2.8;2.8;0.0
221;2008 januari;133;133.0;133.0;100.0;9.0;9.0;12.4;-3.0
222;2008 februari;131;134.0;134.0;98.0;13.6;11.2;11.6;1.8
223;2008 maart;142;135.0;137.0;104.0;5.8;9.3;10.5;-4.3
224;2008 1e kwartaal;136;134.0;135.0;101.0;9.3;9.3;11.5;-2.0
225;2008 april;147;136.0;139.0;105.0;10.0;9.5;9.8;0.1
226;2008 mei;159;138.0;146.0;109.0;15.6;10.8;13.0;2.3
227;2008 juni;157;139.0;149.0;105.0;13.8;11.3;15.5;-1.4
228;2008 2e kwartaal;155;138.0;145.0;107.0;13.2;11.3;12.8;0.4
229;2008 juli;148;141.0;149.0;99.0;13.6;11.6;16.0;-2.0
230;2008 augustus;143;142.0;144.0;100.0;11.0;11.6;13.2;-2.0
231;2008 september;148;143.0;142.0;104.0;11.9;11.6;10.6;1.2
232;2008 3e kwartaal;147;142.0;145.0;101.0;12.2;11.6;13.3;-0.9
233;2008 oktober;146;144.0;133.0;110.0;5.8;11.0;2.7;3.1
234;2008 november;130;143.0;123.0;105.0;-7.2;9.2;-8.3;1.2
235;2008 december;123;142.0;116.0;106.0;-7.3;7.8;-12.7;6.1
236;2008 4e kwartaal;133;143.0;124.0;107.0;-2.9;7.8;-6.2;3.4
237;2008;142;142.0;137.0;104.0;7.8;7.8;7.7;0.2
