ID;Werkzaamheden;Opdrachtgever;Perioden;TotaleWaardeVerleendeBouwvergunningen_1;TotaalAantalVerleendeBouwvergunningen_2;WaardeBouwvergunningenWoningbouw_3;AantalBouwvergunningenWoningbouw_4;WaardeBouwvergunningenUtiliteitsbouw_5;AantalBouwvergunningenUtiliteitsbouw_6;WaardeBouwvergunnAgrarischeSector_7;AantalBouwvergunnAgrarischeSector_8;WaardeBwvergunnIndustrieNijverheid_9;AantalBwvergunnIndustrieNijverheid_10;WaardeBwvergunnHandelHoreca_11;AantalBwvergunnHandelHoreca_12;WaardeVergunnVervoerEnCommunicatie_13;AantalVergunningenVervoerCommnicatie_14;WaardeBwvergunZakelijkeDienstverl_15;AantalBwvergunZakelijkeDienstverl_16;WaardeBouwvergunningenOpenbaarBestuur_17;AantalBouwvergunningenOpenbaarBestuur_18;WaardeBouwvergunningenOnderwijs_19;AantalBouwvergunningenOnderwijs_20;WaardeBouwvergunningenGezondheidszorg_21;AantalBouwvergunningenGezondheidszorg_22;WaardeBouwvergunnOverigeDienstverl_23;AantalBouwvergunnOverigeDienstverl_24
15;Totaal werkzaamheden;Totaal opdrachtgevers;1990 4e kwartaal;3014;9050;1568;5328;1445;3722;109;946;310;746;248;796;76;141;338;323;94;117;51;162;99;207;121;284
16;Totaal werkzaamheden;Totaal opdrachtgevers;1990;11361;37845;5459;22007;5902;15838;514;4487;1225;3127;935;3184;533;602;1288;1275;293;384;280;717;407;785;426;1277
17;Totaal werkzaamheden;Totaal opdrachtgevers;1991 januari;924;2843;404;1564;520;1279;38;301;102;261;101;277;17;42;157;116;15;32;26;48;26;96;38;106
18;Totaal werkzaamheden;Totaal opdrachtgevers;1991 februari;773;2632;366;1504;406;1128;32;237;100;240;59;263;14;33;100;107;23;29;30;64;21;61;28;94
19;Totaal werkzaamheden;Totaal opdrachtgevers;1991 maart;786;2758;367;1537;419;1221;33;313;71;216;84;286;15;30;95;109;17;31;22;66;55;73;27;97
20;Totaal werkzaamheden;Totaal opdrachtgevers;1991 1e kwartaal;2483;8233;1137;4605;1345;3628;104;851;273;717;244;826;46;105;352;332;55;92;77;178;101;230;92;297
21;Totaal werkzaamheden;Totaal opdrachtgevers;1991 april;791;2894;362;1664;429;1230;34;303;97;249;70;271;24;34;88;126;11;29;20;47;40;62;45;109
22;Totaal werkzaamheden;Totaal opdrachtgevers;1991 mei;856;3127;363;1706;493;1421;45;419;101;264;98;284;32;55;62;96;57;38;23;80;42;69;33;116
23;Totaal werkzaamheden;Totaal opdrachtgevers;1991 juni;930;3169;428;1805;502;1364;42;379;106;249;85;273;37;45;62;95;19;44;25;76;98;88;28;115
24;Totaal werkzaamheden;Totaal opdrachtgevers;1991 2e kwartaal;2577;9190;1153;5175;1424;4015;121;1101;305;762;253;828;92;134;213;317;86;111;67;203;181;219;105;340
25;Totaal werkzaamheden;Totaal opdrachtgevers;1991 juli;1020;3484;517;2028;503;1456;64;478;91;265;62;267;19;48;113;117;25;31;24;58;37;91;68;101
26;Totaal werkzaamheden;Totaal opdrachtgevers;1991 augustus;912;2937;408;1625;504;1312;40;363;112;252;77;282;37;48;109;99;21;37;17;61;67;89;24;81
27;Totaal werkzaamheden;Totaal opdrachtgevers;1991 september;886;3175;461;1897;425;1278;44;366;68;235;71;244;51;63;60;104;29;34;22;64;34;82;46;86
28;Totaal werkzaamheden;Totaal opdrachtgevers;1991 3e kwartaal;2818;9596;1386;5550;1432;4046;149;1207;270;752;210;793;107;159;282;320;75;102;63;183;138;262;138;268
29;Totaal werkzaamheden;Totaal opdrachtgevers;1991 oktober;1132;3434;561;2080;571;1354;38;319;135;268;115;305;53;51;89;87;14;37;50;85;33;77;45;125
30;Totaal werkzaamheden;Totaal opdrachtgevers;1991 november;1082;3074;520;1782;563;1292;39;296;89;237;71;280;32;57;119;110;33;34;20;65;111;81;49;132
31;Totaal werkzaamheden;Totaal opdrachtgevers;1991 december;907;2886;517;1732;390;1154;37;312;92;218;54;238;18;52;77;98;27;20;36;76;14;57;36;83
32;Totaal werkzaamheden;Totaal opdrachtgevers;1991 4e kwartaal;3121;9394;1598;5594;1524;3800;113;927;317;723;240;823;103;160;284;295;74;91;106;226;158;215;129;340
33;Totaal werkzaamheden;Totaal opdrachtgevers;1991;10999;36413;5274;20924;5725;15489;487;4086;1165;2954;948;3270;348;558;1130;1264;291;396;313;790;578;926;465;1245
34;Totaal werkzaamheden;Totaal opdrachtgevers;1992 januari;788;2695;438;1584;349;1111;29;258;71;208;60;258;5;30;75;91;16;26;20;66;33;64;42;110
35;Totaal werkzaamheden;Totaal opdrachtgevers;1992 februari;1044;3112;520;1833;525;1279;44;335;129;226;93;278;64;54;76;113;10;28;28;69;45;67;35;109
36;Totaal werkzaamheden;Totaal opdrachtgevers;1992 maart;1043;3407;489;1981;554;1426;53;398;100;258;87;314;22;57;182;119;15;25;22;64;32;79;42;112
37;Totaal werkzaamheden;Totaal opdrachtgevers;1992 1e kwartaal;2875;9214;1447;5398;1428;3816;126;991;300;692;240;850;90;141;333;323;41;79;70;199;110;210;119;331
38;Totaal werkzaamheden;Totaal opdrachtgevers;1992 april;901;3037;444;1773;457;1264;45;340;81;254;107;258;25;48;74;92;10;22;39;70;29;64;47;116
39;Totaal werkzaamheden;Totaal opdrachtgevers;1992 mei;870;3007;432;1773;438;1234;49;370;114;248;88;229;29;62;83;88;16;28;9;45;23;60;26;104
40;Totaal werkzaamheden;Totaal opdrachtgevers;1992 juni;1058;3817;501;2233;556;1584;53;477;118;296;71;327;25;51;118;116;50;32;58;83;26;75;38;127
41;Totaal werkzaamheden;Totaal opdrachtgevers;1992 2e kwartaal;2828;9861;1377;5779;1451;4082;147;1187;313;798;265;814;79;161;276;296;76;82;106;198;78;199;111;347
42;Totaal werkzaamheden;Totaal opdrachtgevers;1992 juli;974;3434;502;1998;472;1436;52;432;87;236;108;309;31;57;61;102;25;29;21;61;48;91;39;119
43;Totaal werkzaamheden;Totaal opdrachtgevers;1992 augustus;916;2878;416;1681;500;1197;38;326;97;211;99;248;33;46;60;97;16;29;22;44;67;80;68;116
44;Totaal werkzaamheden;Totaal opdrachtgevers;1992 september;933;3199;482;1932;451;1267;44;361;94;223;81;271;16;46;97;91;14;22;17;60;42;95;45;98
45;Totaal werkzaamheden;Totaal opdrachtgevers;1992 3e kwartaal;2823;9511;1400;5611;1423;3900;134;1119;277;670;289;828;79;149;218;290;56;80;60;165;157;266;152;333
46;Totaal werkzaamheden;Totaal opdrachtgevers;1992 oktober;1017;3125;550;1956;466;1169;38;280;84;239;84;271;24;42;51;85;32;41;14;44;53;62;87;105
47;Totaal werkzaamheden;Totaal opdrachtgevers;1992 november;966;2814;512;1731;455;1083;32;248;103;228;84;210;23;48;66;89;32;36;33;63;55;65;27;96
48;Totaal werkzaamheden;Totaal opdrachtgevers;1992 december;927;2565;451;1621;476;944;24;196;158;165;70;236;14;36;44;76;22;28;69;28;38;76;36;103
49;Totaal werkzaamheden;Totaal opdrachtgevers;1992 4e kwartaal;2910;8504;1513;5308;1397;3196;94;724;344;632;238;717;62;126;161;250;86;105;117;135;145;203;150;304
50;Totaal werkzaamheden;Totaal opdrachtgevers;1992;11436;37090;5737;22096;5699;14994;500;4021;1235;2792;1033;3209;310;577;987;1159;258;346;352;697;490;878;533;1315
51;Totaal werkzaamheden;Totaal opdrachtgevers;1993 januari;817;2578;425;1574;392;1004;28;233;67;188;97;218;21;35;39;86;41;30;27;53;35;68;37;93
52;Totaal werkzaamheden;Totaal opdrachtgevers;1993 februari;806;2627;496;1677;310;950;27;202;56;185;56;234;47;41;47;70;5;17;14;49;28;66;29;86
53;Totaal werkzaamheden;Totaal opdrachtgevers;1993 maart;844;3049;430;1919;413;1130;42;283;90;215;61;248;19;45;49;86;21;18;18;43;59;75;55;117
54;Totaal werkzaamheden;Totaal opdrachtgevers;1993 1e kwartaal;2467;8254;1352;5170;1116;3084;98;718;213;588;214;700;87;121;135;242;68;65;58;145;122;209;120;296
55;Totaal werkzaamheden;Totaal opdrachtgevers;1993 april;877;2767;453;1735;424;1032;35;245;67;184;57;226;32;39;38;66;19;23;30;65;55;79;91;105
56;Totaal werkzaamheden;Totaal opdrachtgevers;1993 mei;836;2846;487;1860;349;986;27;218;88;193;73;217;16;31;35;86;12;23;24;60;43;66;31;92
57;Totaal werkzaamheden;Totaal opdrachtgevers;1993 juni;924;3375;495;2311;428;1064;29;234;79;157;57;237;43;36;64;87;47;21;22;75;36;85;52;132
58;Totaal werkzaamheden;Totaal opdrachtgevers;1993 2e kwartaal;2637;8988;1436;5906;1201;3082;91;697;234;534;187;680;91;106;138;239;78;67;76;200;133;230;173;329
59;Totaal werkzaamheden;Totaal opdrachtgevers;1993 juli;933;3332;519;2253;414;1079;38;257;64;174;73;250;19;38;107;100;22;28;41;70;27;69;22;93
60;Totaal werkzaamheden;Totaal opdrachtgevers;1993 augustus;870;2908;470;1922;400;986;28;242;56;154;49;210;15;38;81;82;25;33;32;56;79;70;34;101
61;Totaal werkzaamheden;Totaal opdrachtgevers;1993 september;1068;2969;533;1969;536;1000;27;213;79;150;58;235;12;35;86;83;39;40;39;60;35;82;160;102
62;Totaal werkzaamheden;Totaal opdrachtgevers;1993 3e kwartaal;2871;9209;1522;6144;1349;3065;93;712;200;478;180;695;46;111;275;265;86;101;112;186;141;221;216;296
63;Totaal werkzaamheden;Totaal opdrachtgevers;1993 oktober;912;3030;579;2029;332;1001;34;235;46;166;57;216;8;22;64;90;23;27;19;49;43;84;38;112
64;Totaal werkzaamheden;Totaal opdrachtgevers;1993 november;903;2997;524;2027;379;970;26;209;52;156;106;243;13;29;39;77;43;34;20;45;45;87;36;90
65;Totaal werkzaamheden;Totaal opdrachtgevers;1993 december;1055;3033;644;2042;412;991;20;164;70;175;71;230;14;31;71;103;55;29;19;54;56;92;35;113
66;Totaal werkzaamheden;Totaal opdrachtgevers;1993 4e kwartaal;2870;9060;1747;6098;1123;2962;80;608;168;497;234;689;35;82;174;270;121;90;58;148;144;263;109;315
67;Totaal werkzaamheden;Totaal opdrachtgevers;1993;10845;35511;6056;23318;4789;12193;361;2735;815;2097;815;2764;260;420;721;1016;353;323;305;679;541;923;618;1236
68;Totaal werkzaamheden;Totaal opdrachtgevers;1994 januari;893;2587;528;1754;365;833;15;134;38;132;54;221;28;44;128;86;12;20;38;47;26;58;26;91
69;Totaal werkzaamheden;Totaal opdrachtgevers;1994 februari;1031;2820;641;1967;390;853;25;154;70;150;55;236;13;27;82;75;37;25;19;32;27;53;64;101
70;Totaal werkzaamheden;Totaal opdrachtgevers;1994 maart;997;3053;541;2082;457;971;25;186;41;148;99;234;55;48;77;83;27;36;21;51;46;76;65;109
71;Totaal werkzaamheden;Totaal opdrachtgevers;1994 1e kwartaal;2921;8460;1709;5803;1212;2657;65;474;150;430;207;691;96;119;287;244;75;81;78;130;99;187;155;301
72;Totaal werkzaamheden;Totaal opdrachtgevers;1994 april;923;2960;543;2045;381;915;27;198;95;187;61;217;18;25;28;74;29;25;44;33;51;52;28;104
73;Totaal werkzaamheden;Totaal opdrachtgevers;1994 mei;937;3316;572;2268;364;1048;41;261;66;172;65;258;25;38;64;81;12;22;24;40;26;66;41;110
74;Totaal werkzaamheden;Totaal opdrachtgevers;1994 juni;1047;3616;621;2440;426;1176;41;297;54;203;70;277;60;42;29;87;71;25;7;38;58;93;36;114
75;Totaal werkzaamheden;Totaal opdrachtgevers;1994 2e kwartaal;2907;9892;1736;6753;1171;3139;109;756;215;562;196;752;104;105;120;242;112;72;75;111;135;211;105;328
76;Totaal werkzaamheden;Totaal opdrachtgevers;1994 juli;1054;3530;606;2399;447;1131;37;277;56;193;76;250;30;59;44;80;52;16;49;59;47;72;56;125
77;Totaal werkzaamheden;Totaal opdrachtgevers;1994 augustus;970;3057;636;1939;334;1118;31;247;65;208;87;271;27;41;30;84;21;27;16;54;24;73;33;113
78;Totaal werkzaamheden;Totaal opdrachtgevers;1994 september;1058;2959;632;1907;425;1052;33;237;48;168;104;266;31;43;58;103;41;30;12;29;63;79;36;97
79;Totaal werkzaamheden;Totaal opdrachtgevers;1994 3e kwartaal;3081;9546;1875;6245;1207;3301;101;761;169;569;266;787;87;143;132;267;114;73;77;142;134;224;126;335
80;Totaal werkzaamheden;Totaal opdrachtgevers;1994 oktober;1122;3156;686;2121;435;1035;28;213;60;182;55;236;42;48;62;97;49;30;31;43;64;69;44;117
81;Totaal werkzaamheden;Totaal opdrachtgevers;1994 november;980;2870;634;1921;346;949;22;163;82;212;64;236;32;39;36;82;16;23;19;36;55;59;20;99
82;Totaal werkzaamheden;Totaal opdrachtgevers;1994 december;1229;2853;700;1867;529;986;24;177;54;160;107;285;41;33;90;85;9;24;67;43;62;84;77;95
83;Totaal werkzaamheden;Totaal opdrachtgevers;1994 4e kwartaal;3331;8879;2020;5909;1310;2970;74;553;196;554;226;757;115;120;187;264;74;77;117;122;181;212;142;311
84;Totaal werkzaamheden;Totaal opdrachtgevers;1994;12240;36777;7340;24710;4900;12067;349;2544;729;2115;896;2987;402;487;726;1017;375;303;347;505;549;834;526;1275
85;Totaal werkzaamheden;Totaal opdrachtgevers;1995 januari;912;2728;552;1778;360;950;23;173;64;188;58;239;33;37;47;68;21;27;38;39;26;63;51;116
86;Totaal werkzaamheden;Totaal opdrachtgevers;1995 februari;849;2602;565;1715;284;887;26;178;40;169;46;218;10;27;18;61;33;24;22;41;40;66;49;103
87;Totaal werkzaamheden;Totaal opdrachtgevers;1995 maart;1035;2836;569;1804;466;1032;30;220;64;198;62;248;42;42;45;63;26;29;58;53;87;65;52;114
88;Totaal werkzaamheden;Totaal opdrachtgevers;1995 1e kwartaal;2796;8166;1685;5297;1111;2869;78;571;167;555;166;705;85;106;110;192;79;80;118;133;153;194;152;333
89;Totaal werkzaamheden;Totaal opdrachtgevers;1995 april;888;2665;464;1626;424;1039;29;223;55;206;52;246;38;40;62;73;30;17;82;53;29;59;48;122
90;Totaal werkzaamheden;Totaal opdrachtgevers;1995 mei;1088;3177;676;2006;412;1171;34;259;66;231;68;267;34;44;53;113;16;35;42;43;57;70;44;109
91;Totaal werkzaamheden;Totaal opdrachtgevers;1995 juni;1158;3312;637;2099;521;1213;36;258;76;222;97;292;30;53;101;112;55;35;26;66;51;64;48;111
92;Totaal werkzaamheden;Totaal opdrachtgevers;1995 2e kwartaal;3134;9154;1777;5731;1357;3423;99;740;197;659;218;805;101;137;216;298;100;87;150;162;137;193;140;342
93;Totaal werkzaamheden;Totaal opdrachtgevers;1995 juli;991;2805;512;1763;480;1042;27;215;88;197;78;249;36;46;42;72;28;30;52;63;43;61;86;109
94;Totaal werkzaamheden;Totaal opdrachtgevers;1995 augustus;1125;3084;580;1918;545;1166;34;242;63;209;97;264;36;50;121;113;48;27;62;71;55;79;30;111
95;Totaal werkzaamheden;Totaal opdrachtgevers;1995 september;930;2752;539;1720;392;1032;30;205;55;195;92;258;26;47;42;86;28;31;39;42;42;65;39;103
96;Totaal werkzaamheden;Totaal opdrachtgevers;1995 3e kwartaal;3047;8641;1631;5401;1417;3240;90;662;207;601;266;771;98;143;204;271;104;88;153;176;139;205;154;323
97;Totaal werkzaamheden;Totaal opdrachtgevers;1995 oktober;944;2842;582;1773;362;1069;21;183;70;211;81;290;34;42;38;82;21;31;15;47;41;64;41;119
98;Totaal werkzaamheden;Totaal opdrachtgevers;1995 november;1018;2953;585;1807;433;1146;26;215;94;235;95;292;31;48;45;93;36;33;25;57;46;70;35;103
99;Totaal werkzaamheden;Totaal opdrachtgevers;1995 december;1184;2802;755;1778;429;1024;31;186;62;200;81;240;18;48;79;95;46;30;17;43;59;82;37;100
100;Totaal werkzaamheden;Totaal opdrachtgevers;1995 4e kwartaal;3146;8597;1922;5358;1224;3239;78;584;226;646;257;822;83;138;162;270;104;94;58;147;146;216;112;322
101;Totaal werkzaamheden;Totaal opdrachtgevers;1995;12123;34558;7015;21787;5108;12771;345;2557;797;2461;907;3103;367;524;692;1031;386;349;479;618;575;808;558;1320
102;Totaal werkzaamheden;Totaal opdrachtgevers;1996 januari;926;2656;486;1644;440;1012;24;175;80;212;73;246;15;43;106;110;26;19;24;40;52;82;40;85
103;Totaal werkzaamheden;Totaal opdrachtgevers;1996 februari;1092;2752;669;1658;423;1094;23;166;78;213;83;287;32;50;81;131;16;25;26;55;49;85;35;82
104;Totaal werkzaamheden;Totaal opdrachtgevers;1996 maart;1022;2658;650;1655;372;1003;25;167;83;214;81;255;20;42;73;107;24;22;17;49;24;73;25;74
105;Totaal werkzaamheden;Totaal opdrachtgevers;1996 1e kwartaal;3041;8066;1805;4957;1236;3109;71;508;241;639;237;788;67;135;260;348;66;66;67;144;126;240;100;241
106;Totaal werkzaamheden;Totaal opdrachtgevers;1996 april;936;2750;520;1655;416;1095;32;222;85;224;78;259;16;47;44;104;12;24;24;51;68;69;58;95
107;Totaal werkzaamheden;Totaal opdrachtgevers;1996 mei;1144;2975;657;1872;487;1103;34;250;70;205;129;276;41;55;90;114;13;23;56;60;30;54;23;66
108;Totaal werkzaamheden;Totaal opdrachtgevers;1996 juni;1272;3526;701;2262;572;1264;42;280;79;229;77;310;47;49;187;137;32;28;36;67;45;71;27;93
109;Totaal werkzaamheden;Totaal opdrachtgevers;1996 2e kwartaal;3353;9251;1877;5789;1475;3462;108;752;234;658;285;845;103;151;321;355;57;75;116;178;143;194;108;254
110;Totaal werkzaamheden;Totaal opdrachtgevers;1996 juli;1075;3176;585;1927;490;1249;36;251;81;245;133;285;32;58;50;112;42;32;25;68;54;95;37;103
111;Totaal werkzaamheden;Totaal opdrachtgevers;1996 augustus;1077;3054;570;1939;507;1115;27;188;135;234;113;279;27;46;96;115;23;32;17;62;52;79;18;80
112;Totaal werkzaamheden;Totaal opdrachtgevers;1996 september;1063;3371;631;2124;432;1247;37;234;103;256;93;294;24;66;47;102;32;33;23;58;40;86;34;118
113;Totaal werkzaamheden;Totaal opdrachtgevers;1996 3e kwartaal;3215;9601;1786;5990;1429;3611;100;673;318;735;340;858;83;170;192;329;97;97;65;188;146;260;88;301
114;Totaal werkzaamheden;Totaal opdrachtgevers;1996 oktober;1282;3145;780;1881;502;1264;39;259;117;248;81;277;38;57;97;131;15;32;23;64;46;89;47;107
115;Totaal werkzaamheden;Totaal opdrachtgevers;1996 november;1288;3119;821;1939;467;1180;36;218;88;248;85;279;34;50;55;124;21;32;33;57;67;70;48;102
116;Totaal werkzaamheden;Totaal opdrachtgevers;1996 december;1191;2634;714;1655;477;979;32;175;77;167;81;267;51;50;97;126;32;29;23;34;46;63;38;68
117;Totaal werkzaamheden;Totaal opdrachtgevers;1996 4e kwartaal;3762;8898;2315;5475;1447;3423;108;652;282;663;247;823;123;157;249;381;68;93;78;155;158;222;133;277
118;Totaal werkzaamheden;Totaal opdrachtgevers;1996;13370;35816;7783;22211;5587;13605;387;2585;1075;2695;1108;3314;376;613;1022;1413;289;331;327;665;573;916;430;1073
119;Totaal werkzaamheden;Totaal opdrachtgevers;1997 januari;900;2474;502;1548;398;926;29;176;67;193;70;217;45;39;70;92;10;23;18;47;44;62;46;77
120;Totaal werkzaamheden;Totaal opdrachtgevers;1997 februari;836;2411;484;1496;352;915;25;167;60;192;71;217;28;37;70;104;13;17;20;51;35;60;29;70
121;Totaal werkzaamheden;Totaal opdrachtgevers;1997 maart;1099;2770;628;1699;471;1071;38;218;86;180;75;266;41;36;68;115;17;26;46;51;40;96;61;83
122;Totaal werkzaamheden;Totaal opdrachtgevers;1997 1e kwartaal;2835;7655;1614;4743;1221;2912;92;561;212;565;216;700;114;112;208;311;41;66;84;149;119;218;136;230
123;Totaal werkzaamheden;Totaal opdrachtgevers;1997 april;1181;3129;649;1911;532;1218;45;274;105;240;89;283;27;53;147;157;53;29;9;30;28;69;27;83
124;Totaal werkzaamheden;Totaal opdrachtgevers;1997 mei;1055;2835;572;1726;483;1109;54;291;121;196;72;250;23;40;116;118;12;17;31;63;31;66;24;68
125;Totaal werkzaamheden;Totaal opdrachtgevers;1997 juni;1368;3540;780;2152;589;1388;56;316;107;269;105;310;34;49;111;163;22;30;32;64;69;80;53;107
126;Totaal werkzaamheden;Totaal opdrachtgevers;1997 2e kwartaal;3604;9504;2000;5789;1604;3715;155;881;333;705;266;843;83;142;374;438;87;76;71;157;129;215;105;258
127;Totaal werkzaamheden;Totaal opdrachtgevers;1997 juli;1101;3092;589;1807;512;1285;64;358;82;247;137;276;26;38;83;137;23;27;37;63;36;59;26;80
128;Totaal werkzaamheden;Totaal opdrachtgevers;1997 augustus;981;2855;570;1658;411;1197;62;333;60;204;91;248;43;47;59;129;10;25;31;73;27;60;28;78
129;Totaal werkzaamheden;Totaal opdrachtgevers;1997 september;1543;3432;913;1986;630;1446;76;362;91;270;131;313;48;70;114;158;62;33;28;63;38;78;42;99
130;Totaal werkzaamheden;Totaal opdrachtgevers;1997 3e kwartaal;3625;9379;2072;5451;1554;3928;202;1053;232;721;360;837;116;155;256;424;95;85;97;199;101;197;95;257
131;Totaal werkzaamheden;Totaal opdrachtgevers;1997 oktober;1383;3478;841;2110;542;1368;52;315;80;256;81;292;20;40;93;161;40;30;48;60;66;100;62;114
132;Totaal werkzaamheden;Totaal opdrachtgevers;1997 november;1432;3086;756;1739;676;1347;53;269;112;254;131;324;139;70;125;161;23;32;27;73;24;68;44;96
133;Totaal werkzaamheden;Totaal opdrachtgevers;1997 december;1369;3172;792;1876;577;1296;59;287;65;223;86;298;82;55;108;152;40;44;37;59;52;77;48;101
134;Totaal werkzaamheden;Totaal opdrachtgevers;1997 4e kwartaal;4184;9736;2389;5725;1795;4011;164;871;257;733;298;914;242;165;325;474;102;106;111;192;142;245;154;311
135;Totaal werkzaamheden;Totaal opdrachtgevers;1997;14248;36274;8075;21708;6174;14566;612;3366;1035;2724;1140;3294;555;574;1163;1647;325;333;362;697;491;875;490;1056
136;Totaal werkzaamheden;Totaal opdrachtgevers;1998 januari;1025;2519;502;1452;523;1067;44;233;82;183;93;257;28;45;119;141;8;20;30;56;70;58;49;74
137;Totaal werkzaamheden;Totaal opdrachtgevers;1998 februari;1071;2649;569;1594;502;1055;45;214;108;219;91;255;40;41;92;115;14;20;49;52;24;54;38;85
138;Totaal werkzaamheden;Totaal opdrachtgevers;1998 maart;1376;3168;694;1865;682;1303;50;282;75;222;99;305;71;49;173;167;54;32;53;78;60;85;47;83
139;Totaal werkzaamheden;Totaal opdrachtgevers;1998 1e kwartaal;3472;8336;1765;4911;1707;3425;138;729;266;624;283;817;138;135;384;423;76;72;132;186;154;197;135;242
140;Totaal werkzaamheden;Totaal opdrachtgevers;1998 april;1107;2765;533;1607;574;1158;49;267;123;204;115;265;60;57;113;124;12;23;30;61;47;59;26;98
141;Totaal werkzaamheden;Totaal opdrachtgevers;1998 mei;1045;2812;518;1629;527;1183;61;335;76;212;115;269;40;32;126;128;15;19;35;57;39;63;21;68
142;Totaal werkzaamheden;Totaal opdrachtgevers;1998 juni;1236;3480;597;2011;639;1469;60;370;121;260;117;323;48;54;138;179;33;19;28;88;43;71;52;105
143;Totaal werkzaamheden;Totaal opdrachtgevers;1998 2e kwartaal;3387;9057;1647;5247;1740;3810;170;972;320;676;347;857;148;143;377;431;60;61;92;206;129;193;98;271
144;Totaal werkzaamheden;Totaal opdrachtgevers;1998 juli;1293;3293;599;1876;694;1417;59;331;120;241;89;307;64;65;130;148;29;24;64;115;46;81;94;105
145;Totaal werkzaamheden;Totaal opdrachtgevers;1998 augustus;1044;2758;465;1552;579;1206;58;296;87;219;89;269;38;50;91;137;33;18;46;72;58;70;80;75
146;Totaal werkzaamheden;Totaal opdrachtgevers;1998 september;1375;3698;684;2135;692;1563;66;380;121;288;120;345;51;56;145;168;41;34;47;98;53;87;49;107
147;Totaal werkzaamheden;Totaal opdrachtgevers;1998 3e kwartaal;3712;9749;1747;5563;1965;4186;183;1007;328;748;298;921;153;171;365;453;102;76;157;285;157;238;222;287
148;Totaal werkzaamheden;Totaal opdrachtgevers;1998 oktober;1376;2916;743;1653;634;1263;41;229;74;212;120;310;59;57;213;178;13;32;37;79;45;79;31;87
