ID;BedrijfstakkenBranchesSBI2008;Perioden;Indexcijfers_1;OntwikkelingTOVEenJaarEerder_2;Indexcijfers_3;OntwikkelingTOVEenKwartaalEerder_4;Indexcijfers_5;OntwikkelingTOVEenJaarEerder_6
193;45111 Import van nieuwe personenauto's;2005 4e kwartaal;103.9;0.1;;;103.7;-0.9
194;45111 Import van nieuwe personenauto's;2005;97.3;0.4;;;97.5;0.6
195;45111 Import van nieuwe personenauto's;2006 1e kwartaal;99.7;7.6;;;100.9;9.3
196;45111 Import van nieuwe personenauto's;2006 2e kwartaal;110.1;6.7;;;110.6;5.8
197;45111 Import van nieuwe personenauto's;2006 3e kwartaal;94.7;5.8;;;94.1;4.9
198;45111 Import van nieuwe personenauto's;2006 4e kwartaal;108.1;4.0;;;106.7;2.9
199;45111 Import van nieuwe personenauto's;2006;103.1;6.0;;;103.1;5.7
200;45111 Import van nieuwe personenauto's;2007 1e kwartaal;105.1;5.4;;;105.5;4.5
201;45111 Import van nieuwe personenauto's;2007 2e kwartaal;114.0;3.6;;;113.7;2.8
202;45111 Import van nieuwe personenauto's;2007 3e kwartaal;99.0;4.6;;;98.3;4.5
203;45111 Import van nieuwe personenauto's;2007 4e kwartaal;109.2;1.1;;;109.0;2.2
204;45111 Import van nieuwe personenauto's;2007;106.8;3.6;;;106.6;3.4
205;45111 Import van nieuwe personenauto's;2008 1e kwartaal;110.0;4.7;;;109.0;3.3
206;45111 Import van nieuwe personenauto's;2008 2e kwartaal;105.9;-7.1;;;106.3;-6.5
207;45111 Import van nieuwe personenauto's;2008 3e kwartaal;92.0;-7.1;;;92.4;-6.0
208;45111 Import van nieuwe personenauto's;2008 4e kwartaal;84.4;-22.7;;;84.3;-22.6
209;45111 Import van nieuwe personenauto's;2008;98.1;-8.2;;;98.0;-8.1
210;45111 Import van nieuwe personenauto's;2009 1e kwartaal;74.7;-32.1;;;74.5;-31.6
211;45111 Import van nieuwe personenauto's;2009 2e kwartaal;71.4;-32.6;;;71.2;-33.0
212;45111 Import van nieuwe personenauto's;2009 3e kwartaal;66.9;-27.3;;;67.1;-27.3
213;45111 Import van nieuwe personenauto's;2009 4e kwartaal;73.3;-13.2;;;73.8;-12.5
214;45111 Import van nieuwe personenauto's;2009;71.6;-27.0;;;71.7;-26.9
215;45111 Import van nieuwe personenauto's;2010 1e kwartaal;80.2;7.4;;;80.3;7.7
216;45111 Import van nieuwe personenauto's;2010 2e kwartaal;85.6;19.8;;;85.3;19.9
217;45111 Import van nieuwe personenauto's;2010 3e kwartaal;82.2;23.0;;;82.5;22.9
218;45111 Import van nieuwe personenauto's;2010 4e kwartaal;92.6;26.4;;;93.9;27.3
219;45111 Import van nieuwe personenauto's;2010;85.2;19.0;;;85.5;19.3
220;45111 Import van nieuwe personenauto's;2011 1e kwartaal;98.7;23.1;;;99.3;23.7
221;45111 Import van nieuwe personenauto's;2011 2e kwartaal;98.6;15.3;;;99.0;16.0
222;45111 Import van nieuwe personenauto's;2011 3e kwartaal;88.3;7.4;;;88.5;7.3
223;45111 Import van nieuwe personenauto's;2011 4e kwartaal;98.9;6.8;;;98.7;5.0
224;45111 Import van nieuwe personenauto's;2011;96.2;12.9;;;96.4;12.7
225;45111 Import van nieuwe personenauto's;2012 1e kwartaal;98.7;0.0;;;99.4;0.0
226;45111 Import van nieuwe personenauto's;2012 2e kwartaal;123.9;25.6;;;123.5;24.7
227;45111 Import van nieuwe personenauto's;2012 3e kwartaal;74.7;-15.5;;;74.1;-16.3
228;45111 Import van nieuwe personenauto's;2012 4e kwartaal;90.8;-8.2;;;90.4;-8.4
229;45111 Import van nieuwe personenauto's;2012;97.0;0.9;;;96.8;0.5
230;45111 Import van nieuwe personenauto's;2013 1e kwartaal;76.8;-22.3;80.7;-0.5;76.4;-23.1
231;45111 Import van nieuwe personenauto's;2013 2e kwartaal;85.1;-31.3;82.6;2.3;84.7;-31.4
232;45111 Import van nieuwe personenauto's;2013 3e kwartaal;75.3;0.9;85.0;2.9;75.5;1.9
233;45111 Import van nieuwe personenauto's;2013 4e kwartaal ;112.7;24.1;96.6;13.6;112.3;24.2
234;45111 Import van nieuwe personenauto's;2013;87.5;-9.8;86.2;-10.5;87.2;-9.9
235;45111 Import van nieuwe personenauto's;2014 1e kwartaal;77.5;1.0;84.1;-12.9;77.1;1.0
236;45111 Import van nieuwe personenauto's;2014 2e kwartaal;84.0;-1.3;82.3;-2.1;84.3;-0.5
237;45111 Import van nieuwe personenauto's;2014 3e kwartaal;74.3;-1.4;84.1;2.1;74.7;-1.1
238;45111 Import van nieuwe personenauto's;2014 4e kwartaal;101.1;-10.3;84.0;-0.1;101.0;-10.1
239;45111 Import van nieuwe personenauto's;2014;84.2;-3.7;83.6;-3.0;84.3;-3.4
240;45111 Import van nieuwe personenauto's;2015 1e kwartaal;75.5;-2.7;84.4;0.5;75.3;-2.4
241;45111 Import van nieuwe personenauto's;2015 2e kwartaal;91.6;9.1;89.6;6.2;91.4;8.5
242;45111 Import van nieuwe personenauto's;2015 3e kwartaal;91.0;22.5;102.5;14.4;91.5;22.5
243;45111 Import van nieuwe personenauto's;2015 4e kwartaal;140.8;39.3;116.6;13.7;141.9;40.5
244;45111 Import van nieuwe personenauto's;2015;99.7;18.4;98.3;17.6;100.0;18.7
245;45111 Import van nieuwe personenauto's;2016 1e kwartaal;82.2;8.9;93.0;-20.2;81.6;8.5
246;45111 Import van nieuwe personenauto's;2016 2e kwartaal;94.8;3.5;92.7;-0.4;95.4;4.3
247;45111 Import van nieuwe personenauto's;2016 3e kwartaal;82.6;-9.2;92.8;0.2;82.9;-9.4
248;45111 Import van nieuwe personenauto's;2016 4e kwartaal;119.1;-15.4;97.8;5.3;119.1;-16.1
249;45111 Import van nieuwe personenauto's;2016;94.7;-5.0;94.1;-4.3;94.7;-5.3
250;45111 Import van nieuwe personenauto's;2017 1e kwartaal;85.5;4.1;96.7;-1.1;86.6;6.1
251;45111 Import van nieuwe personenauto's;2017 2e kwartaal;105.3;11.0;102.2;5.7;105.2;10.3
252;45111 Import van nieuwe personenauto's;2017 3e kwartaal;89.1;7.9;100.6;-1.6;88.5;6.9
253;45111 Import van nieuwe personenauto's;2017 4e kwartaal;121.3;1.8;101.5;0.9;119.8;0.6
254;45111 Import van nieuwe personenauto's;2017;100.3;5.9;100.3;6.6;100.0;5.6
255;45111 Import van nieuwe personenauto's;2018 1e kwartaal;94.2;10.2;105.3;3.7;94.6;9.2
256;45111 Import van nieuwe personenauto's;2018 2e kwartaal;116.7;10.8;113.3;7.6;116.4;10.6
257;45111 Import van nieuwe personenauto's;2018 3e kwartaal;87.5;-1.9;99.9;-11.8;87.0;-1.8
258;45111 Import van nieuwe personenauto's;2018 4e kwartaal;111.0;-8.5;93.9;-6.0;110.4;-7.8
259;45111 Import van nieuwe personenauto's;2018;102.3;2.0;103.1;2.9;102.1;2.1
260;45111 Import van nieuwe personenauto's;2019 1e kwartaal;100.5;6.6;113.0;20.3;100.0;5.7
261;45111 Import van nieuwe personenauto's;2019 2e kwartaal;108.0;-7.4;104.9;-7.1;108.3;-6.9
262;45111 Import van nieuwe personenauto's;2019 3e kwartaal;92.9;6.2;104.7;-0.2;93.0;7.0
263;45111 Import van nieuwe personenauto's;2019 4e kwartaal;127.9;15.2;107.1;2.3;127.4;15.3
264;45111 Import van nieuwe personenauto's;2019;107.3;4.8;107.4;4.2;107.2;5.0
265;45111 Import van nieuwe personenauto's;2020 1e kwartaal;89.6;-10.8;101.1;-5.6;89.5;-10.5
266;45111 Import van nieuwe personenauto's;2020 2e kwartaal;64.5;-40.3;61.4;-39.3;64.3;-40.6
267;45111 Import van nieuwe personenauto's;2020 3e kwartaal;91.3;-1.7;102.7;67.3;91.7;-1.4
268;45111 Import van nieuwe personenauto's;2020 4e kwartaal;126.5;-1.1;106.4;3.6;127.5;0.1
269;45111 Import van nieuwe personenauto's;2020;93.0;-13.4;92.9;-13.5;93.2;-13.0
270;45111 Import van nieuwe personenauto's;2021 1e kwartaal;82.7;-7.7;91.8;-13.7;82.7;-7.6
271;45111 Import van nieuwe personenauto's;2021 2e kwartaal;97.7;51.4;96.0;4.5;97.4;51.4
272;45111 Import van nieuwe personenauto's;2021 3e kwartaal;84.4;-7.5;96.2;0.3;84.6;-7.7
273;45111 Import van nieuwe personenauto's;2021 4e kwartaal;115.2;-8.9;96.1;-0.1;117.4;-8.0
274;45111 Import van nieuwe personenauto's;2021;95.0;2.2;95.0;2.3;95.5;2.4
275;45111 Import van nieuwe personenauto's;2022 1e kwartaal;89.0;7.6;98.2;2.2;89.5;8.3
276;45111 Import van nieuwe personenauto's;2022 2e kwartaal;105.5;8.0;104.2;6.1;105.1;8.0
277;45111 Import van nieuwe personenauto's;2022 3e kwartaal;99.9;18.4;113.7;9.1;100.3;18.4
278;45111 Import van nieuwe personenauto's;2022 4e kwartaal;148.5;28.9;123.7;8.8;148.3;26.4
279;45111 Import van nieuwe personenauto's;2022;110.7;16.5;110.0;15.7;110.8;16.0
280;45111 Import van nieuwe personenauto's;2023 1e kwartaal;127.5;43.3;140.0;13.2;129.1;44.2
281;45111 Import van nieuwe personenauto's;2023 2e kwartaal;136.0;29.0;135.7;-3.1;135.8;29.2
