ID;DeelgebiedenGWW;Perioden;Inputprijsindex_1;OntwikkelingTOV1JaarEerder_2
28;42/43 Grond-, weg- en waterbouw (GWW);2015 januari;104.7;-2.6
29;42/43 Grond-, weg- en waterbouw (GWW);2015 april;105.7;-1.3
30;42/43 Grond-, weg- en waterbouw (GWW);2015 juli;106.1;-1.1
31;42/43 Grond-, weg- en waterbouw (GWW);2015 oktober;104.6;-2.5
32;42/43 Grond-, weg- en waterbouw (GWW);2016 januari;102.9;-1.7
33;42/43 Grond-, weg- en waterbouw (GWW);2016 april;103.3;-2.2
34;42/43 Grond-, weg- en waterbouw (GWW);2016 juli;105.5;-0.5
35;42/43 Grond-, weg- en waterbouw (GWW);2016 oktober;106.3;1.5
36;42/43 Grond-, weg- en waterbouw (GWW);2017 januari;108.2;5.2
37;42/43 Grond-, weg- en waterbouw (GWW);2017 april;108.0;4.5
38;42/43 Grond-, weg- en waterbouw (GWW);2017 juli;106.9;1.3
39;42/43 Grond-, weg- en waterbouw (GWW);2017 oktober;107.9;1.5
40;42/43 Grond-, weg- en waterbouw (GWW);2018 januari;110.3;1.9
41;42/43 Grond-, weg- en waterbouw (GWW);2018 april;109.8;1.7
42;42/43 Grond-, weg- en waterbouw (GWW);2018 juli;112.3;5.0
43;42/43 Grond-, weg- en waterbouw (GWW);2018 oktober;114.5;6.1
44;42/43 Grond-, weg- en waterbouw (GWW);2019 januari;113.2;2.7
45;42/43 Grond-, weg- en waterbouw (GWW);2019 april;114.4;4.2
46;42/43 Grond-, weg- en waterbouw (GWW);2019 juli;115.0;2.4
47;42/43 Grond-, weg- en waterbouw (GWW);2019 oktober;115.1;0.5
48;4211a Wegen met open verharding;2008 januari;94.7;
49;4211a Wegen met open verharding;2008 april;95.9;
50;4211a Wegen met open verharding;2008 juli;98.1;
51;4211a Wegen met open verharding;2008 oktober;97.6;
52;4211a Wegen met open verharding;2009 januari;97.7;3.2
53;4211a Wegen met open verharding;2009 april;97.7;1.9
54;4211a Wegen met open verharding;2009 juli;98.1;0.0
55;4211a Wegen met open verharding;2009 oktober;98.4;0.8
56;4211a Wegen met open verharding;2010 januari;99.4;1.8
57;4211a Wegen met open verharding;2010 april;100.0;2.3
58;4211a Wegen met open verharding;2010 juli;100.0;2.0
59;4211a Wegen met open verharding;2010 oktober;100.2;1.8
60;4211a Wegen met open verharding;2011 januari;101.4;2.1
61;4211a Wegen met open verharding;2011 april;102.3;2.3
62;4211a Wegen met open verharding;2011 juli;102.4;2.4
63;4211a Wegen met open verharding;2011 oktober;102.6;2.5
64;4211a Wegen met open verharding;2012 januari;103.8;2.3
65;4211a Wegen met open verharding;2012 april;104.5;2.1
66;4211a Wegen met open verharding;2012 juli;104.4;1.9
67;4211a Wegen met open verharding;2012 oktober;105.3;2.5
68;4211a Wegen met open verharding;2013 januari;104.9;1.1
69;4211a Wegen met open verharding;2013 april;104.8;0.3
70;4211a Wegen met open verharding;2013 juli;104.7;0.3
71;4211a Wegen met open verharding;2013 oktober;104.5;-0.7
72;4211a Wegen met open verharding;2014 januari;105.6;0.7
73;4211a Wegen met open verharding;2014 april;105.4;0.5
74;4211a Wegen met open verharding;2014 juli;105.4;0.6
75;4211a Wegen met open verharding;2014 oktober;105.6;1.0
76;4211a Wegen met open verharding;2015 januari;103.9;-1.6
77;4211a Wegen met open verharding;2015 april;104.4;-0.9
78;4211a Wegen met open verharding;2015 juli;105.1;-0.2
79;4211a Wegen met open verharding;2015 oktober;104.7;-0.8
80;4211a Wegen met open verharding;2016 januari;104.4;0.4
81;4211a Wegen met open verharding;2016 april;104.8;0.4
82;4211a Wegen met open verharding;2016 juli;106.2;1.0
83;4211a Wegen met open verharding;2016 oktober;106.5;1.7
84;4211a Wegen met open verharding;2017 januari;106.8;2.3
85;4211a Wegen met open verharding;2017 april;106.9;2.0
86;4211a Wegen met open verharding;2017 juli;106.6;0.3
87;4211a Wegen met open verharding;2017 oktober;107.4;0.8
88;4211a Wegen met open verharding;2018 januari;108.9;2.0
89;4211a Wegen met open verharding;2018 april;109.4;2.4
90;4211a Wegen met open verharding;2018 juli;110.7;3.9
91;4211a Wegen met open verharding;2018 oktober;112.5;4.7
92;4211a Wegen met open verharding;2019 januari;112.2;3.1
93;4211a Wegen met open verharding;2019 april;113.0;3.3
94;4211a Wegen met open verharding;2019 juli;114.1;3.1
95;4211a Wegen met open verharding;2019 oktober;114.5;1.8
96;4211b Wegen met gesloten verharding;2008 januari;97.9;
97;4211b Wegen met gesloten verharding;2008 april;99.3;
98;4211b Wegen met gesloten verharding;2008 juli;107.4;
99;4211b Wegen met gesloten verharding;2008 oktober;102.7;
100;4211b Wegen met gesloten verharding;2009 januari;94.2;-3.9
101;4211b Wegen met gesloten verharding;2009 april;93.6;-5.8
102;4211b Wegen met gesloten verharding;2009 juli;95.4;-11.2
103;4211b Wegen met gesloten verharding;2009 oktober;96.3;-6.3
104;4211b Wegen met gesloten verharding;2010 januari;97.4;3.4
105;4211b Wegen met gesloten verharding;2010 april;100.2;7.1
106;4211b Wegen met gesloten verharding;2010 juli;100.5;5.4
107;4211b Wegen met gesloten verharding;2010 oktober;100.6;4.4
108;4211b Wegen met gesloten verharding;2011 januari;102.8;5.6
109;4211b Wegen met gesloten verharding;2011 april;106.7;6.4
110;4211b Wegen met gesloten verharding;2011 juli;107.0;6.4
111;4211b Wegen met gesloten verharding;2011 oktober;107.4;6.7
112;4211b Wegen met gesloten verharding;2012 januari;109.4;6.4
113;4211b Wegen met gesloten verharding;2012 april;111.4;4.5
114;4211b Wegen met gesloten verharding;2012 juli;112.0;4.7
115;4211b Wegen met gesloten verharding;2012 oktober;112.7;5.0
116;4211b Wegen met gesloten verharding;2013 januari;112.5;2.9
117;4211b Wegen met gesloten verharding;2013 april;111.5;0.1
118;4211b Wegen met gesloten verharding;2013 juli;111.6;-0.3
119;4211b Wegen met gesloten verharding;2013 oktober;111.5;-1.1
120;4211b Wegen met gesloten verharding;2014 januari;111.5;-0.9
121;4211b Wegen met gesloten verharding;2014 april;111.2;-0.3
122;4211b Wegen met gesloten verharding;2014 juli;111.3;-0.3
123;4211b Wegen met gesloten verharding;2014 oktober;110.6;-0.8
124;4211b Wegen met gesloten verharding;2015 januari;103.9;-6.8
125;4211b Wegen met gesloten verharding;2015 april;105.1;-5.5
126;4211b Wegen met gesloten verharding;2015 juli;105.7;-5.0
127;4211b Wegen met gesloten verharding;2015 oktober;102.3;-7.5
128;4211b Wegen met gesloten verharding;2016 januari;98.1;-5.7
129;4211b Wegen met gesloten verharding;2016 april;99.0;-5.8
130;4211b Wegen met gesloten verharding;2016 juli;103.1;-2.4
131;4211b Wegen met gesloten verharding;2016 oktober;104.1;1.8
132;4211b Wegen met gesloten verharding;2017 januari;107.2;9.3
133;4211b Wegen met gesloten verharding;2017 april;106.4;7.5
134;4211b Wegen met gesloten verharding;2017 juli;104.4;1.2
135;4211b Wegen met gesloten verharding;2017 oktober;105.9;1.7
136;4211b Wegen met gesloten verharding;2018 januari;109.5;2.2
137;4211b Wegen met gesloten verharding;2018 april;106.6;0.2
138;4211b Wegen met gesloten verharding;2018 juli;112.6;7.9
139;4211b Wegen met gesloten verharding;2018 oktober;115.4;8.9
140;4211b Wegen met gesloten verharding;2019 januari;111.6;1.9
141;4211b Wegen met gesloten verharding;2019 april;114.1;7.0
142;4211b Wegen met gesloten verharding;2019 juli;114.8;2.0
143;4211b Wegen met gesloten verharding;2019 oktober;114.1;-1.1
144;4212  Boven- en ondergrondse spoorwegen;2008 januari;95.4;
145;4212  Boven- en ondergrondse spoorwegen;2008 april;96.8;
146;4212  Boven- en ondergrondse spoorwegen;2008 juli;98.9;
147;4212  Boven- en ondergrondse spoorwegen;2008 oktober;98.6;
148;4212  Boven- en ondergrondse spoorwegen;2009 januari;98.0;2.7
149;4212  Boven- en ondergrondse spoorwegen;2009 april;97.4;0.6
150;4212  Boven- en ondergrondse spoorwegen;2009 juli;97.6;-1.3
151;4212  Boven- en ondergrondse spoorwegen;2009 oktober;97.3;-1.3
152;4212  Boven- en ondergrondse spoorwegen;2010 januari;98.5;0.5
153;4212  Boven- en ondergrondse spoorwegen;2010 april;99.6;2.3
154;4212  Boven- en ondergrondse spoorwegen;2010 juli;100.4;2.9
155;4212  Boven- en ondergrondse spoorwegen;2010 oktober;100.5;3.3
156;4212  Boven- en ondergrondse spoorwegen;2011 januari;101.7;3.3
157;4212  Boven- en ondergrondse spoorwegen;2011 april;101.7;2.1
158;4212  Boven- en ondergrondse spoorwegen;2011 juli;101.8;1.4
159;4212  Boven- en ondergrondse spoorwegen;2011 oktober;101.4;0.8
160;4212  Boven- en ondergrondse spoorwegen;2012 januari;102.5;0.8
161;4212  Boven- en ondergrondse spoorwegen;2012 april;103.0;1.2
162;4212  Boven- en ondergrondse spoorwegen;2012 juli;104.0;2.1
163;4212  Boven- en ondergrondse spoorwegen;2012 oktober;104.0;2.6
164;4212  Boven- en ondergrondse spoorwegen;2013 januari;104.0;1.5
165;4212  Boven- en ondergrondse spoorwegen;2013 april;103.9;0.9
166;4212  Boven- en ondergrondse spoorwegen;2013 juli;103.3;-0.6
167;4212  Boven- en ondergrondse spoorwegen;2013 oktober;103.0;-0.9
168;4212  Boven- en ondergrondse spoorwegen;2014 januari;103.7;-0.3
169;4212  Boven- en ondergrondse spoorwegen;2014 april;103.2;-0.7
170;4212  Boven- en ondergrondse spoorwegen;2014 juli;103.4;0.1
171;4212  Boven- en ondergrondse spoorwegen;2014 oktober;104.3;1.3
172;4212  Boven- en ondergrondse spoorwegen;2015 januari;105.2;1.5
173;4212  Boven- en ondergrondse spoorwegen;2015 april;106.7;3.5
174;4212  Boven- en ondergrondse spoorwegen;2015 juli;107.1;3.5
175;4212  Boven- en ondergrondse spoorwegen;2015 oktober;106.6;2.2
176;4212  Boven- en ondergrondse spoorwegen;2016 januari;106.7;1.4
177;4212  Boven- en ondergrondse spoorwegen;2016 april;106.4;-0.3
178;4212  Boven- en ondergrondse spoorwegen;2016 juli;107.3;0.2
179;4212  Boven- en ondergrondse spoorwegen;2016 oktober;107.3;0.7
180;4212  Boven- en ondergrondse spoorwegen;2017 januari;109.3;2.5
181;4212  Boven- en ondergrondse spoorwegen;2017 april;109.2;2.6
182;4212  Boven- en ondergrondse spoorwegen;2017 juli;108.7;1.3
183;4212  Boven- en ondergrondse spoorwegen;2017 oktober;109.4;2.0
184;4212  Boven- en ondergrondse spoorwegen;2018 januari;110.3;0.9
185;4212  Boven- en ondergrondse spoorwegen;2018 april;110.4;1.0
186;4212  Boven- en ondergrondse spoorwegen;2018 juli;111.7;2.8
187;4212  Boven- en ondergrondse spoorwegen;2018 oktober;112.3;2.6
188;4212  Boven- en ondergrondse spoorwegen;2019 januari;112.4;1.9
189;4212  Boven- en ondergrondse spoorwegen;2019 april;112.8;2.2
190;4212  Boven- en ondergrondse spoorwegen;2019 juli;113.7;1.8
191;4212  Boven- en ondergrondse spoorwegen;2019 oktober;114.0;1.5
192;4213  Bruggen en tunnels;2008 januari;96.8;
193;4213  Bruggen en tunnels;2008 april;100.9;
194;4213  Bruggen en tunnels;2008 juli;106.4;
195;4213  Bruggen en tunnels;2008 oktober;101.0;
196;4213  Bruggen en tunnels;2009 januari;98.9;2.2
197;4213  Bruggen en tunnels;2009 april;97.0;-3.8
198;4213  Bruggen en tunnels;2009 juli;96.9;-8.9
199;4213  Bruggen en tunnels;2009 oktober;96.4;-4.5
200;4213  Bruggen en tunnels;2010 januari;97.1;-1.8
201;4213  Bruggen en tunnels;2010 april;100.7;3.8
202;4213  Bruggen en tunnels;2010 juli;100.1;3.3
203;4213  Bruggen en tunnels;2010 oktober;100.2;4.0
204;4213  Bruggen en tunnels;2011 januari;103.2;6.2
205;4213  Bruggen en tunnels;2011 april;102.5;1.7
206;4213  Bruggen en tunnels;2011 juli;103.0;2.9
207;4213  Bruggen en tunnels;2011 oktober;103.0;2.8
208;4213  Bruggen en tunnels;2012 januari;104.0;0.9
209;4213  Bruggen en tunnels;2012 april;104.4;1.8
210;4213  Bruggen en tunnels;2012 juli;104.7;1.6
211;4213  Bruggen en tunnels;2012 oktober;105.1;2.0
212;4213  Bruggen en tunnels;2013 januari;105.2;1.1
213;4213  Bruggen en tunnels;2013 april;104.9;0.5
214;4213  Bruggen en tunnels;2013 juli;104.3;-0.3
215;4213  Bruggen en tunnels;2013 oktober;104.7;-0.4
216;4213  Bruggen en tunnels;2014 januari;105.5;0.3
217;4213  Bruggen en tunnels;2014 april;104.9;0.0
218;4213  Bruggen en tunnels;2014 juli;104.7;0.3
219;4213  Bruggen en tunnels;2014 oktober;104.9;0.2
220;4213  Bruggen en tunnels;2015 januari;104.2;-1.3
221;4213  Bruggen en tunnels;2015 april;104.4;-0.5
222;4213  Bruggen en tunnels;2015 juli;104.8;0.1
223;4213  Bruggen en tunnels;2015 oktober;104.1;-0.7
224;4213  Bruggen en tunnels;2016 januari;103.7;-0.5
225;4213  Bruggen en tunnels;2016 april;104.5;0.0
226;4213  Bruggen en tunnels;2016 juli;106.0;1.1
227;4213  Bruggen en tunnels;2016 oktober;105.7;1.5
228;4213  Bruggen en tunnels;2017 januari;107.0;3.2
229;4213  Bruggen en tunnels;2017 april;107.7;3.1
230;4213  Bruggen en tunnels;2017 juli;108.0;1.9
231;4213  Bruggen en tunnels;2017 oktober;109.8;3.8
232;4213  Bruggen en tunnels;2018 januari;110.7;3.5
233;4213  Bruggen en tunnels;2018 april;110.8;2.9
234;4213  Bruggen en tunnels;2018 juli;111.9;3.6
235;4213  Bruggen en tunnels;2018 oktober;112.5;2.5
236;4213  Bruggen en tunnels;2019 januari;113.4;2.4
237;4213  Bruggen en tunnels;2019 april;112.9;1.9
238;4213  Bruggen en tunnels;2019 juli;114.2;2.1
239;4213  Bruggen en tunnels;2019 oktober;113.4;0.8
240;4221  Werken voor vloeistoffen;2008 januari;97.5;
241;4221  Werken voor vloeistoffen;2008 april;99.1;
242;4221  Werken voor vloeistoffen;2008 juli;102.4;
243;4221  Werken voor vloeistoffen;2008 oktober;101.8;
244;4221  Werken voor vloeistoffen;2009 januari;101.1;3.7
245;4221  Werken voor vloeistoffen;2009 april;100.4;1.3
246;4221  Werken voor vloeistoffen;2009 juli;99.9;-2.5
247;4221  Werken voor vloeistoffen;2009 oktober;99.3;-2.4
248;4221  Werken voor vloeistoffen;2010 januari;99.2;-1.9
249;4221  Werken voor vloeistoffen;2010 april;99.9;-0.5
250;4221  Werken voor vloeistoffen;2010 juli;100.3;0.4
251;4221  Werken voor vloeistoffen;2010 oktober;100.2;0.9
252;4221  Werken voor vloeistoffen;2011 januari;101.2;2.0
253;4221  Werken voor vloeistoffen;2011 april;102.4;2.5
254;4221  Werken voor vloeistoffen;2011 juli;102.7;2.4
255;4221  Werken voor vloeistoffen;2011 oktober;102.8;2.5
256;4221  Werken voor vloeistoffen;2012 januari;104.3;3.0
257;4221  Werken voor vloeistoffen;2012 april;104.8;2.4
258;4221  Werken voor vloeistoffen;2012 juli;105.1;2.3
259;4221  Werken voor vloeistoffen;2012 oktober;106.1;3.2
260;4221  Werken voor vloeistoffen;2013 januari;105.9;1.6
261;4221  Werken voor vloeistoffen;2013 april;105.7;0.9
262;4221  Werken voor vloeistoffen;2013 juli;106.2;1.1
263;4221  Werken voor vloeistoffen;2013 oktober;106.0;0.0
264;4221  Werken voor vloeistoffen;2014 januari;106.6;0.6
265;4221  Werken voor vloeistoffen;2014 april;106.0;0.3
266;4221  Werken voor vloeistoffen;2014 juli;106.3;0.1
267;4221  Werken voor vloeistoffen;2014 oktober;106.9;0.8
268;4221  Werken voor vloeistoffen;2015 januari;106.0;-0.5
269;4221  Werken voor vloeistoffen;2015 april;106.4;0.3
270;4221  Werken voor vloeistoffen;2015 juli;107.0;0.6
271;4221  Werken voor vloeistoffen;2015 oktober;106.5;-0.4
272;4221  Werken voor vloeistoffen;2016 januari;105.7;-0.3
273;4221  Werken voor vloeistoffen;2016 april;105.1;-1.2
274;4221  Werken voor vloeistoffen;2016 juli;106.7;-0.3
275;4221  Werken voor vloeistoffen;2016 oktober;108.3;1.7
276;4221  Werken voor vloeistoffen;2017 januari;108.1;2.3
277;4221  Werken voor vloeistoffen;2017 april;108.7;3.3
278;4221  Werken voor vloeistoffen;2017 juli;108.4;1.6
279;4221  Werken voor vloeistoffen;2017 oktober;108.4;0.2
280;4221  Werken voor vloeistoffen;2018 januari;110.5;2.3
281;4221  Werken voor vloeistoffen;2018 april;111.1;2.3
282;4221  Werken voor vloeistoffen;2018 juli;111.9;3.3
283;4221  Werken voor vloeistoffen;2018 oktober;114.2;5.3
284;4221  Werken voor vloeistoffen;2019 januari;113.9;3.1
285;4221  Werken voor vloeistoffen;2019 april;115.3;3.8
286;4221  Werken voor vloeistoffen;2019 juli;116.0;3.6
287;4221  Werken voor vloeistoffen;2019 oktober;116.1;1.7
288;4291  Waterbouwkundige werken;2008 januari;94.5;
289;4291  Waterbouwkundige werken;2008 april;97.3;
290;4291  Waterbouwkundige werken;2008 juli;102.6;
291;4291  Waterbouwkundige werken;2008 oktober;99.4;
292;4291  Waterbouwkundige werken;2009 januari;94.6;0.1
293;4291  Waterbouwkundige werken;2009 april;93.9;-3.6
294;4291  Waterbouwkundige werken;2009 juli;95.0;-7.4
295;4291  Waterbouwkundige werken;2009 oktober;95.7;-3.7
296;4291  Waterbouwkundige werken;2010 januari;97.4;3.0
297;4291  Waterbouwkundige werken;2010 april;100.1;6.7
298;4291  Waterbouwkundige werken;2010 juli;100.2;5.5
299;4291  Waterbouwkundige werken;2010 oktober;100.7;5.2
300;4291  Waterbouwkundige werken;2011 januari;103.6;6.3
301;4291  Waterbouwkundige werken;2011 april;106.7;6.6
302;4291  Waterbouwkundige werken;2011 juli;106.5;6.3
303;4291  Waterbouwkundige werken;2011 oktober;106.8;6.0
304;4291  Waterbouwkundige werken;2012 januari;108.6;4.9
305;4291  Waterbouwkundige werken;2012 april;110.0;3.1
306;4291  Waterbouwkundige werken;2012 juli;109.4;2.7
307;4291  Waterbouwkundige werken;2012 oktober;110.7;3.7
308;4291  Waterbouwkundige werken;2013 januari;110.5;1.8
309;4291  Waterbouwkundige werken;2013 april;109.7;-0.3
310;4291  Waterbouwkundige werken;2013 juli;110.5;1.0
311;4291  Waterbouwkundige werken;2013 oktober;110.1;-0.6
312;4291  Waterbouwkundige werken;2014 januari;110.9;0.3
313;4291  Waterbouwkundige werken;2014 april;110.5;0.8
314;4291  Waterbouwkundige werken;2014 juli;110.6;0.1
315;4291  Waterbouwkundige werken;2014 oktober;110.0;-0.1
316;4291  Waterbouwkundige werken;2015 januari;104.4;-5.9
317;4291  Waterbouwkundige werken;2015 april;105.7;-4.4
318;4291  Waterbouwkundige werken;2015 juli;106.1;-4.1
319;4291  Waterbouwkundige werken;2015 oktober;104.0;-5.4
320;4291  Waterbouwkundige werken;2016 januari;99.9;-4.2
321;4291  Waterbouwkundige werken;2016 april;101.5;-3.9
322;4291  Waterbouwkundige werken;2016 juli;105.1;-1.0
323;4291  Waterbouwkundige werken;2016 oktober;105.6;1.6
324;4291  Waterbouwkundige werken;2017 januari;108.4;8.5
325;4291  Waterbouwkundige werken;2017 april;107.7;6.1
326;4291  Waterbouwkundige werken;2017 juli;106.2;1.1
327;4291  Waterbouwkundige werken;2017 oktober;107.9;2.1
328;4291  Waterbouwkundige werken;2018 januari;110.7;2.1
329;4291  Waterbouwkundige werken;2018 april;110.5;2.6
330;4291  Waterbouwkundige werken;2018 juli;113.6;6.9
331;4291  Waterbouwkundige werken;2018 oktober;116.7;8.2
332;4291  Waterbouwkundige werken;2019 januari;113.8;2.8
333;4291  Waterbouwkundige werken;2019 april;114.8;3.8
334;4291  Waterbouwkundige werken;2019 juli;115.6;1.8
335;4291  Waterbouwkundige werken;2019 oktober;115.7;-0.8
336;4312  Bouwrijp maken van terreinen;2008 januari;93.6;
337;4312  Bouwrijp maken van terreinen;2008 april;95.3;
338;4312  Bouwrijp maken van terreinen;2008 juli;99.4;
339;4312  Bouwrijp maken van terreinen;2008 oktober;97.7;
340;4312  Bouwrijp maken van terreinen;2009 januari;95.5;2.0
341;4312  Bouwrijp maken van terreinen;2009 april;95.3;0.0
342;4312  Bouwrijp maken van terreinen;2009 juli;96.4;-3.0
343;4312  Bouwrijp maken van terreinen;2009 oktober;96.9;-0.7
344;4312  Bouwrijp maken van terreinen;2010 januari;98.3;3.0
345;4312  Bouwrijp maken van terreinen;2010 april;100.1;5.1
346;4312  Bouwrijp maken van terreinen;2010 juli;99.9;3.6
347;4312  Bouwrijp maken van terreinen;2010 oktober;100.4;3.5
348;4312  Bouwrijp maken van terreinen;2011 januari;102.9;4.6
349;4312  Bouwrijp maken van terreinen;2011 april;105.1;5.0
350;4312  Bouwrijp maken van terreinen;2011 juli;105.0;5.1
351;4312  Bouwrijp maken van terreinen;2011 oktober;105.4;5.0
352;4312  Bouwrijp maken van terreinen;2012 januari;106.7;3.7
353;4312  Bouwrijp maken van terreinen;2012 april;107.3;2.1
354;4312  Bouwrijp maken van terreinen;2012 juli;106.9;1.8
355;4312  Bouwrijp maken van terreinen;2012 oktober;107.5;2.0
356;4312  Bouwrijp maken van terreinen;2013 januari;108.0;1.2
357;4312  Bouwrijp maken van terreinen;2013 april;106.9;-0.3
358;4312  Bouwrijp maken van terreinen;2013 juli;107.8;0.9
359;4312  Bouwrijp maken van terreinen;2013 oktober;107.4;-0.1
360;4312  Bouwrijp maken van terreinen;2014 januari;107.8;-0.2
361;4312  Bouwrijp maken van terreinen;2014 april;107.5;0.5
362;4312  Bouwrijp maken van terreinen;2014 juli;108.2;0.4
363;4312  Bouwrijp maken van terreinen;2014 oktober;107.5;0.1
364;4312  Bouwrijp maken van terreinen;2015 januari;103.6;-3.9
365;4312  Bouwrijp maken van terreinen;2015 april;104.4;-2.9
366;4312  Bouwrijp maken van terreinen;2015 juli;104.7;-3.2
367;4312  Bouwrijp maken van terreinen;2015 oktober;103.3;-3.9
368;4312  Bouwrijp maken van terreinen;2016 januari;101.0;-2.5
369;4312  Bouwrijp maken van terreinen;2016 april;102.1;-2.2
370;4312  Bouwrijp maken van terreinen;2016 juli;104.3;-0.4
371;4312  Bouwrijp maken van terreinen;2016 oktober;104.9;1.5
372;4312  Bouwrijp maken van terreinen;2017 januari;107.1;6.0
373;4312  Bouwrijp maken van terreinen;2017 april;105.5;3.3
374;4312  Bouwrijp maken van terreinen;2017 juli;103.7;-0.6
375;4312  Bouwrijp maken van terreinen;2017 oktober;104.4;-0.5
376;4312  Bouwrijp maken van terreinen;2018 januari;109.4;2.2
377;4312  Bouwrijp maken van terreinen;2018 april;107.7;2.1
378;4312  Bouwrijp maken van terreinen;2018 juli;110.8;6.8
379;4312  Bouwrijp maken van terreinen;2018 oktober;114.7;9.9
380;4312  Bouwrijp maken van terreinen;2019 januari;114.0;4.1
381;4312  Bouwrijp maken van terreinen;2019 april;115.2;6.9
382;4312  Bouwrijp maken van terreinen;2019 juli;113.7;2.6
383;4312  Bouwrijp maken van terreinen;2019 oktober;116.1;1.2
384;4321  Elektrische installatie;2008 januari;95.9;
385;4321  Elektrische installatie;2008 april;97.0;
386;4321  Elektrische installatie;2008 juli;98.9;
387;4321  Elektrische installatie;2008 oktober;100.3;
388;4321  Elektrische installatie;2009 januari;98.2;2.4
389;4321  Elektrische installatie;2009 april;97.9;0.9
390;4321  Elektrische installatie;2009 juli;97.7;-1.2
391;4321  Elektrische installatie;2009 oktober;97.8;-2.5
392;4321  Elektrische installatie;2010 januari;98.7;0.5
393;4321  Elektrische installatie;2010 april;99.8;2.0
394;4321  Elektrische installatie;2010 juli;100.1;2.5
395;4321  Elektrische installatie;2010 oktober;100.0;2.3
396;4321  Elektrische installatie;2011 januari;101.9;3.3
397;4321  Elektrische installatie;2011 april;101.9;2.2
398;4321  Elektrische installatie;2011 juli;102.3;2.2
399;4321  Elektrische installatie;2011 oktober;101.8;1.9
400;4321  Elektrische installatie;2012 januari;103.0;1.0
401;4321  Elektrische installatie;2012 april;103.2;1.3
402;4321  Elektrische installatie;2012 juli;103.8;1.5
403;4321  Elektrische installatie;2012 oktober;103.6;1.7
404;4321  Elektrische installatie;2013 januari;103.7;0.7
405;4321  Elektrische installatie;2013 april;103.2;0.0
406;4321  Elektrische installatie;2013 juli;102.7;-1.1
407;4321  Elektrische installatie;2013 oktober;102.3;-1.3
408;4321  Elektrische installatie;2014 januari;102.8;-0.9
409;4321  Elektrische installatie;2014 april;102.4;-0.8
410;4321  Elektrische installatie;2014 juli;102.6;-0.1
411;4321  Elektrische installatie;2014 oktober;103.8;1.5
412;4321  Elektrische installatie;2015 januari;105.0;2.2
413;4321  Elektrische installatie;2015 april;107.1;4.6
414;4321  Elektrische installatie;2015 juli;106.8;4.1
415;4321  Elektrische installatie;2015 oktober;106.2;2.3
416;4321  Elektrische installatie;2016 januari;107.4;2.3
417;4321  Elektrische installatie;2016 april;106.8;-0.2
418;4321  Elektrische installatie;2016 juli;107.3;0.4
419;4321  Elektrische installatie;2016 oktober;107.6;1.3
420;4321  Elektrische installatie;2017 januari;111.2;3.6
421;4321  Elektrische installatie;2017 april;110.9;3.8
422;4321  Elektrische installatie;2017 juli;110.0;2.5
423;4321  Elektrische installatie;2017 oktober;110.5;2.7
424;4321  Elektrische installatie;2018 januari;111.2;0.0
425;4321  Elektrische installatie;2018 april;112.0;1.0
426;4321  Elektrische installatie;2018 juli;113.3;3.0
427;4321  Elektrische installatie;2018 oktober;114.0;3.2
