ID;BestemmingVoorInvoer;Perioden;InvoerVanGoederenEnDiensten_1;InvoerVanGoederen_2;InvoerVanDiensten_3;InvoerVanGoederenEnDiensten_4;InvoerVanGoederen_5;InvoerVanDiensten_6;InvoerVanGoederenEnDiensten_7;InvoerVanGoederen_8;InvoerVanDiensten_9;InvoerVanGoederenEnDiensten_10;InvoerVanGoederen_11;InvoerVanDiensten_12
19;B Delfstoffenwinning;2022;1147;337;810;969.0;235.0;734.0;-4.1;3.1;-6.1;118.4;143.4;110.4
20;B Delfstoffenwinning;2023;911;281;630;761.0;206.0;548.0;-21.4;-12.2;-25.3;119.7;136.1;114.9
21;06 Winning van aardolie en aardgas;2021;540;86;454;540.0;86.0;454.0;;;;100.0;100.0;100.0
22;06 Winning van aardolie en aardgas;2022;481;140;341;411.0;97.0;314.0;-23.9;12.8;-30.8;117.0;144.3;108.6
23;06 Winning van aardolie en aardgas;2023;289;86;203;246.0;67.0;177.0;-40.1;-31.4;-43.7;117.4;129.3;114.8
24;08 Delfstoffenwinning (geen olie en gas);2021;185;121;64;185.0;121.0;64.0;;;;100.0;100.0;100.0
25;08 Delfstoffenwinning (geen olie en gas);2022;231;158;73;171.0;105.0;66.0;-7.6;-13.2;3.1;135.1;150.5;110.6
26;08 Delfstoffenwinning (geen olie en gas);2023;226;159;67;170.0;110.0;59.0;-0.4;4.4;-11.0;132.7;145.0;114.0
27;09 Dienstverlening delfstoffenwinning;2021;285;21;264;285.0;21.0;264.0;;;;100.0;100.0;100.0
28;09 Dienstverlening delfstoffenwinning;2022;435;39;396;387.0;33.0;354.0;35.8;57.1;34.1;112.4;118.2;111.9
29;09 Dienstverlening delfstoffenwinning;2023;396;36;360;341.0;30.0;311.0;-12.0;-10.3;-12.1;116.2;121.6;115.7
30;C Industrie;2021;154272;137672;16600;154272.0;137672.0;16600.0;;;;100.0;100.0;100.0
31;C Industrie;2022;197809;179459;18350;154144.0;136304.0;17840.0;-0.1;-1.0;7.5;128.3;131.7;102.9
32;C Industrie;2023;178624;160155;18469;149559.0;132365.0;17161.0;-3.0;-2.9;-3.8;119.4;121.0;107.6
33;10-12 Voedings-, genotmiddelenindustrie;2021;33667;30644;3023;33667.0;30644.0;3023.0;;;;100.0;100.0;100.0
34;10-12 Voedings-, genotmiddelenindustrie;2022;44156;40540;3616;34648.0;31098.0;3550.0;2.9;1.5;17.4;127.4;130.4;101.9
35;10-12 Voedings-, genotmiddelenindustrie;2023;42144;38518;3626;33114.0;29821.0;3265.0;-4.4;-4.1;-8.0;127.3;129.2;111.0
36;10 Voedingsmiddelenindustrie;2021;30103;27573;2530;30103.0;27573.0;2530.0;;;;100.0;100.0;100.0
37;10 Voedingsmiddelenindustrie;2022;40054;36932;3122;31399.0;28323.0;3076.0;4.3;2.7;21.6;127.6;130.4;101.5
38;10 Voedingsmiddelenindustrie;2023;38166;35013;3153;30016.0;27157.0;2836.0;-4.4;-4.1;-7.8;127.2;128.9;111.2
39;11 Drankenindustrie;2021;3225;2871;354;3225.0;2871.0;354.0;;;;100.0;100.0;100.0
40;11 Drankenindustrie;2022;3972;3490;482;3138.0;2675.0;463.0;-2.7;-6.8;30.8;126.6;130.5;104.1
41;11 Drankenindustrie;2023;3864;3403;461;2989.0;2566.0;419.0;-4.7;-4.1;-9.5;129.3;132.6;110.1
42;12 Tabaksindustrie;2021;339;200;139;339.0;200.0;139.0;;;;100.0;100.0;100.0
43;12 Tabaksindustrie;2022;130;118;12;111.0;100.0;11.0;-67.3;-50.0;-92.1;117.1;118.0;109.1
44;12 Tabaksindustrie;2023;114;102;12;108.0;97.0;11.0;-2.3;-2.5;0.0;105.1;104.7;109.1
45;13-15 Textiel-, kleding-, lederindustrie;2021;1488;1337;151;1488.0;1337.0;151.0;;;;100.0;100.0;100.0
46;13-15 Textiel-, kleding-, lederindustrie;2022;1450;1285;165;1235.0;1078.0;157.0;-17.0;-19.4;4.0;117.4;119.2;105.1
47;13-15 Textiel-, kleding-, lederindustrie;2023;1351;1194;157;1147.0;1007.0;140.0;-7.1;-6.6;-10.9;117.8;118.6;112.2
48;16-18 Hout-, papier-, grafische industr.;2021;6227;5317;910;6227.0;5317.0;910.0;;;;100.0;100.0;100.0
49;16-18 Hout-, papier-, grafische industr.;2022;6942;5869;1073;5669.0;4630.0;1039.0;-9.0;-12.9;14.2;122.5;126.8;103.3
50;16-18 Hout-, papier-, grafische industr.;2023;6095;4984;1111;5414.0;4389.0;1032.0;-4.5;-5.2;-0.7;112.6;113.5;107.6
51;16 Houtindustrie;2021;1649;1548;101;1649.0;1548.0;101.0;;;;100.0;100.0;100.0
52;16 Houtindustrie;2022;1648;1537;111;1371.0;1261.0;110.0;-16.9;-18.5;8.9;120.2;121.9;100.9
53;16 Houtindustrie;2023;1539;1426;113;1428.0;1321.0;106.0;4.2;4.7;-3.6;107.7;108.0;106.6
54;17 Papierindustrie;2021;3758;3160;598;3758.0;3160.0;598.0;;;;100.0;100.0;100.0
55;17 Papierindustrie;2022;4305;3586;719;3500.0;2805.0;695.0;-6.9;-11.2;16.2;123.0;127.8;103.5
56;17 Papierindustrie;2023;3634;2907;727;3202.0;2534.0;677.0;-8.5;-9.7;-2.6;113.5;114.7;107.4
57;18 Grafische industrie;2021;820;609;211;820.0;609.0;211.0;;;;100.0;100.0;100.0
58;18 Grafische industrie;2022;989;746;243;798.0;564.0;234.0;-2.7;-7.4;10.9;123.9;132.3;103.8
59;18 Grafische industrie;2023;922;651;271;786.0;541.0;249.0;-1.5;-4.2;6.6;117.3;120.4;108.7
60;19 Aardolie-industrie;2021;26669;26429;240;26669.0;26429.0;240.0;;;;100.0;100.0;100.0
61;19 Aardolie-industrie;2022;42209;41967;242;26075.0;25822.0;253.0;-2.2;-2.3;5.4;161.9;162.5;95.7
62;19 Aardolie-industrie;2023;37028;36762;266;27193.0;26931.0;260.0;4.3;4.3;2.9;136.2;136.5;102.2
63;20-21 Chemie en farmaceutische industrie;2021;31933;25833;6100;31933.0;25833.0;6100.0;;;;100.0;100.0;100.0
64;20-21 Chemie en farmaceutische industrie;2022;40832;34016;6816;31325.0;24750.0;6575.0;-1.9;-4.2;7.8;130.3;137.4;103.7
65;20-21 Chemie en farmaceutische industrie;2023;31612;24918;6694;27337.0;21148.0;6337.0;-12.7;-14.6;-3.6;115.6;117.8;105.6
66;20 Chemische industrie;2021;27419;22710;4709;27419.0;22710.0;4709.0;;;;100.0;100.0;100.0
67;20 Chemische industrie;2022;35741;31059;4682;26691.0;22164.0;4527.0;-2.7;-2.4;-3.9;133.9;140.1;103.4
68;20 Chemische industrie;2023;26946;22364;4582;23079.0;18801.0;4407.0;-13.5;-15.2;-2.6;116.8;119.0;104.0
69;21 Farmaceutische industrie;2021;4514;3123;1391;4514.0;3123.0;1391.0;;;;100.0;100.0;100.0
70;21 Farmaceutische industrie;2022;5091;2957;2134;4634.0;2586.0;2048.0;2.7;-17.2;47.2;109.9;114.3;104.2
71;21 Farmaceutische industrie;2023;4666;2554;2112;4305.0;2378.0;1930.0;-7.1;-8.0;-5.8;108.4;107.4;109.4
72;22-23 Kunststof- en bouwmateriaalindustr;2021;5067;4556;511;5067.0;4556.0;511.0;;;;100.0;100.0;100.0
73;22-23 Kunststof- en bouwmateriaalindustr;2022;5712;5209;503;4804.0;4309.0;495.0;-5.2;-5.4;-3.1;118.9;120.9;101.6
74;22-23 Kunststof- en bouwmateriaalindustr;2023;4890;4436;454;4151.0;3728.0;422.0;-13.6;-13.5;-14.7;117.8;119.0;107.5
75;22 Rubber- en kunststofproductindustrie;2021;3444;3146;298;3444.0;3146.0;298.0;;;;100.0;100.0;100.0
76;22 Rubber- en kunststofproductindustrie;2022;3728;3445;283;3140.0;2861.0;279.0;-8.8;-9.1;-6.4;118.7;120.4;101.4
77;22 Rubber- en kunststofproductindustrie;2023;3068;2807;261;2674.0;2432.0;244.0;-14.8;-15.0;-12.7;114.7;115.4;107.2
78;23 Bouwmaterialenindustrie;2021;1623;1410;213;1623.0;1410.0;213.0;;;;100.0;100.0;100.0
79;23 Bouwmaterialenindustrie;2022;1984;1764;220;1664.0;1448.0;216.0;2.5;2.7;1.4;119.2;121.8;101.9
80;23 Bouwmaterialenindustrie;2023;1822;1629;193;1477.0;1296.0;179.0;-11.2;-10.5;-17.3;123.4;125.7;108.0
81;24-25 Basismetaal, metaalprod.-industrie;2021;10772;9688;1084;10772.0;9688.0;1084.0;;;;100.0;100.0;100.0
82;24-25 Basismetaal, metaalprod.-industrie;2022;13257;12107;1150;10716.0;9622.0;1094.0;-0.5;-0.7;0.9;123.7;125.8;105.1
83;24-25 Basismetaal, metaalprod.-industrie;2023;11312;10192;1120;10406.0;9370.0;1030.0;-2.9;-2.6;-5.8;108.7;108.8;108.7
84;24 Basismetaalindustrie;2021;5009;4575;434;5009.0;4575.0;434.0;;;;100.0;100.0;100.0
85;24 Basismetaalindustrie;2022;6241;5799;442;4981.0;4563.0;418.0;-0.6;-0.3;-3.7;125.3;127.1;105.7
86;24 Basismetaalindustrie;2023;5205;4804;401;4710.0;4333.0;374.0;-5.4;-5.0;-10.6;110.5;110.9;107.3
87;25 Metaalproductenindustrie;2021;5763;5113;650;5763.0;5113.0;650.0;;;;100.0;100.0;100.0
88;25 Metaalproductenindustrie;2022;7016;6308;708;5735.0;5059.0;676.0;-0.5;-1.1;4.0;122.3;124.7;104.7
89;25 Metaalproductenindustrie;2023;6107;5388;719;5698.0;5039.0;657.0;-0.6;-0.4;-2.8;107.2;106.9;109.5
90;26-27 Elektrische en elektron. Industrie;2021;13646;11167;2479;13646.0;11167.0;2479.0;;;;100.0;100.0;100.0
91;26-27 Elektrische en elektron. Industrie;2022;13627;11178;2449;12457.0;10074.0;2383.0;-8.7;-9.8;-3.9;109.4;111.0;102.8
92;26-27 Elektrische en elektron. Industrie;2023;12867;10364;2503;12007.0;9699.0;2309.0;-3.6;-3.7;-3.1;107.2;106.9;108.4
93;26 Elektrotechnische industrie;2021;9064;7034;2030;9064.0;7034.0;2030.0;;;;100.0;100.0;100.0
94;26 Elektrotechnische industrie;2022;8666;6738;1928;8042.0;6158.0;1884.0;-11.3;-12.5;-7.2;107.8;109.4;102.3
95;26 Elektrotechnische industrie;2023;8150;6154;1996;7830.0;5980.0;1852.0;-2.6;-2.9;-1.7;104.1;102.9;107.8
96;27 Elektrische apparatenindustrie;2021;4582;4133;449;4582.0;4133.0;449.0;;;;100.0;100.0;100.0
97;27 Elektrische apparatenindustrie;2022;4961;4440;521;4415.0;3916.0;499.0;-3.6;-5.3;11.1;112.4;113.4;104.4
98;27 Elektrische apparatenindustrie;2023;4717;4210;507;4180.0;3721.0;458.0;-5.3;-5.0;-8.3;112.8;113.1;110.7
99;28 Machine-industrie;2021;10827;10052;775;10827.0;10052.0;775.0;;;;100.0;100.0;100.0
100;28 Machine-industrie;2022;13465;12578;887;12182.0;11303.0;879.0;12.5;12.4;13.4;110.5;111.3;100.9
101;28 Machine-industrie;2023;15104;14075;1029;13578.0;12606.0;971.0;11.5;11.5;10.5;111.2;111.7;106.0
102;29-30 Transportmiddelenindustrie;2021;9877;9213;664;9877.0;9213.0;664.0;;;;100.0;100.0;100.0
103;29-30 Transportmiddelenindustrie;2022;11300;10553;747;10730.0;10001.0;729.0;8.6;8.6;9.8;105.3;105.5;102.5
104;29-30 Transportmiddelenindustrie;2023;11467;10693;774;10727.0;10012.0;714.0;0.0;0.1;-2.0;106.9;106.8;108.3
105;29 Auto- en aanhangwagenindustrie;2021;7076;6687;389;7076.0;6687.0;389.0;;;;100.0;100.0;100.0
106;29 Auto- en aanhangwagenindustrie;2022;8155;7725;430;7877.0;7452.0;425.0;11.3;11.4;9.3;103.5;103.7;101.2
107;29 Auto- en aanhangwagenindustrie;2023;8670;8201;469;8228.0;7792.0;436.0;4.5;4.6;2.6;105.4;105.3;107.6
108;30 Overige transportmiddelenindustrie;2021;2801;2526;275;2801.0;2526.0;275.0;;;;100.0;100.0;100.0
109;30 Overige transportmiddelenindustrie;2022;3145;2828;317;2853.0;2549.0;304.0;1.9;0.9;10.5;110.2;110.9;104.3
110;30 Overige transportmiddelenindustrie;2023;2797;2492;305;2521.0;2243.0;279.0;-11.6;-12.0;-8.2;110.9;111.1;109.3
111;31-33 Overige industrie en reparatie;2021;4099;3436;663;4099.0;3436.0;663.0;;;;100.0;100.0;100.0
112;31-33 Overige industrie en reparatie;2022;4859;4157;702;4303.0;3617.0;686.0;5.0;5.3;3.5;112.9;114.9;102.3
113;31-33 Overige industrie en reparatie;2023;4754;4019;735;4291.0;3609.0;682.0;-0.3;-0.2;-0.6;110.8;111.4;107.8
114;31-32 Meubel- en overige industrie;2021;2087;1740;347;2087.0;1740.0;347.0;;;;100.0;100.0;100.0
115;31-32 Meubel- en overige industrie;2022;2512;2141;371;2122.0;1760.0;362.0;1.7;1.1;4.3;118.4;121.6;102.5
116;31-32 Meubel- en overige industrie;2023;2259;1893;366;1988.0;1651.0;336.0;-6.3;-6.2;-7.3;113.6;114.6;109.0
117;31 Meubelindustrie;2021;1396;1190;206;1396.0;1190.0;206.0;;;;100.0;100.0;100.0
118;31 Meubelindustrie;2022;1595;1373;222;1374.0;1155.0;219.0;-1.6;-2.9;6.3;116.1;118.9;101.4
119;31 Meubelindustrie;2023;1346;1139;207;1193.0;1004.0;189.0;-13.2;-13.1;-13.5;112.8;113.5;109.3
120;32 Overige industrie;2021;691;550;141;691.0;550.0;141.0;;;;100.0;100.0;100.0
121;32 Overige industrie;2022;917;768;149;748.0;605.0;143.0;8.2;10.0;1.4;122.6;126.9;104.2
122;32 Overige industrie;2023;913;754;159;790.0;643.0;146.0;5.6;6.3;2.0;115.6;117.3;109.0
123;33 Reparatie en installatie van machines;2021;2012;1696;316;2012.0;1696.0;316.0;;;;100.0;100.0;100.0
124;33 Reparatie en installatie van machines;2022;2347;2016;331;2181.0;1857.0;324.0;8.4;9.5;2.5;107.6;108.6;102.2
125;33 Reparatie en installatie van machines;2023;2495;2126;369;2317.0;1970.0;347.0;6.2;6.1;6.9;107.7;107.9;106.5
126;D Energievoorziening;2021;4261;3867;394;4261.0;3867.0;394.0;;;;100.0;100.0;100.0
127;D Energievoorziening;2022;10038;9507;531;4092.0;3572.0;520.0;-4.0;-7.6;32.0;245.3;266.2;102.1
128;D Energievoorziening;2023;7031;6508;523;3679.0;3205.0;487.0;-10.1;-10.3;-6.4;191.1;203.1;107.5
129;35 Energiebedrijven;2021;4261;3867;394;4261.0;3867.0;394.0;;;;100.0;100.0;100.0
130;35 Energiebedrijven;2022;10038;9507;531;4092.0;3572.0;520.0;-4.0;-7.6;32.0;245.3;266.2;102.1
131;35 Energiebedrijven;2023;7031;6508;523;3679.0;3205.0;487.0;-10.1;-10.3;-6.4;191.1;203.1;107.5
132;E Waterbedrijven en afvalbeheer;2021;2007;1355;652;2007.0;1355.0;652.0;;;;100.0;100.0;100.0
133;E Waterbedrijven en afvalbeheer;2022;2273;1601;672;1815.0;1153.0;662.0;-9.6;-14.9;1.5;125.2;138.9;101.5
134;E Waterbedrijven en afvalbeheer;2023;1994;1298;696;1654.0;1006.0;664.0;-8.9;-12.7;0.3;120.6;129.0;104.8
135;36 Waterleidingbedrijven;2021;106;44;62;106.0;44.0;62.0;;;;100.0;100.0;100.0
136;36 Waterleidingbedrijven;2022;94;45;49;81.0;34.0;47.0;-23.6;-22.7;-24.2;116.0;132.4;104.3
137;36 Waterleidingbedrijven;2023;91;43;48;78.0;33.0;45.0;-3.2;-2.2;-4.1;116.0;129.3;106.5
138;37-39 Riolering, afvalbeheer en sanering;2021;1901;1311;590;1901.0;1311.0;590.0;;;;100.0;100.0;100.0
139;37-39 Riolering, afvalbeheer en sanering;2022;2179;1556;623;1734.0;1119.0;615.0;-8.8;-14.6;4.2;125.7;139.1;101.3
140;37-39 Riolering, afvalbeheer en sanering;2023;1903;1255;648;1576.0;973.0;619.0;-9.1;-13.0;0.6;120.8;129.0;104.7
141;F Bouwnijverheid;2021;17770;13896;3874;17770.0;13896.0;3874.0;;;;100.0;100.0;100.0
142;F Bouwnijverheid;2022;21243;16698;4545;18295.0;14000.0;4295.0;3.0;0.7;10.9;116.1;119.3;105.8
143;F Bouwnijverheid;2023;21662;16770;4892;18730.0;14335.0;4395.0;2.4;2.4;2.3;115.7;117.0;111.3
144;41 Algemene bouw en projectontwikkeling;2021;6095;4876;1219;6095.0;4876.0;1219.0;;;;100.0;100.0;100.0
145;41 Algemene bouw en projectontwikkeling;2022;7175;5793;1382;6182.0;4837.0;1345.0;1.4;-0.8;10.3;116.1;119.8;102.8
146;41 Algemene bouw en projectontwikkeling;2023;6999;5522;1477;6014.0;4665.0;1356.0;-2.7;-3.6;0.8;116.4;118.4;108.9
147;42 Grond-, water-  en wegenbouw;2021;3067;1575;1492;3067.0;1575.0;1492.0;;;;100.0;100.0;100.0
148;42 Grond-, water-  en wegenbouw;2022;3524;1760;1764;2967.0;1365.0;1602.0;-3.3;-13.3;7.4;118.8;128.9;110.1
149;42 Grond-, water-  en wegenbouw;2023;3664;1749;1915;3103.0;1436.0;1666.0;4.6;5.2;4.0;118.1;121.8;115.0
150;43 Gespecialiseerde bouw;2021;8608;7445;1163;8608.0;7445.0;1163.0;;;;100.0;100.0;100.0
151;43 Gespecialiseerde bouw;2022;10544;9145;1399;9146.0;7798.0;1348.0;6.3;4.7;15.9;115.3;117.3;103.8
152;43 Gespecialiseerde bouw;2023;10999;9499;1500;9613.0;8235.0;1372.0;5.1;5.6;1.8;114.4;115.3;109.3
153;G-I Handel, vervoer en horeca;2021;51528;12948;38580;51528.0;12948.0;38580.0;;;;100.0;100.0;100.0
154;G-I Handel, vervoer en horeca;2022;62763;18786;43977;53806.0;13707.0;40099.0;4.4;5.9;3.9;116.6;137.1;109.7
155;G-I Handel, vervoer en horeca;2023;60802;17854;42948;52239.0;14256.0;37746.0;-2.9;4.0;-5.9;116.4;125.2;113.8
156;G Handel;2021;29118;7095;22023;29118.0;7095.0;22023.0;;;;100.0;100.0;100.0
157;G Handel;2022;31929;7920;24009;28524.0;6344.0;22180.0;-2.0;-10.6;0.7;111.9;124.8;108.2
158;G Handel;2023;31643;7489;24154;27838.0;6410.0;21395.0;-2.4;1.0;-3.5;113.7;116.8;112.9
159;45 Autohandel en -reparatie;2021;3798;3114;684;3798.0;3114.0;684.0;;;;100.0;100.0;100.0
160;45 Autohandel en -reparatie;2022;3676;2887;789;3379.0;2617.0;762.0;-11.0;-16.0;11.4;108.8;110.3;103.5
161;45 Autohandel en -reparatie;2023;3831;2964;867;3472.0;2676.0;797.0;2.7;2.3;4.6;110.3;110.8;108.8
162;46 Groothandel en handelsbemiddeling;2021;21667;3112;18555;21667.0;3112.0;18555.0;;;;100.0;100.0;100.0
163;46 Groothandel en handelsbemiddeling;2022;23846;3761;20085;21257.0;2870.0;18387.0;-1.9;-7.8;-0.9;112.2;131.0;109.2
164;46 Groothandel en handelsbemiddeling;2023;23513;3404;20109;20550.0;2861.0;17672.0;-3.3;-0.3;-3.9;114.4;119.0;113.8
165;47 Detailhandel (niet in auto's);2021;3653;869;2784;3653.0;869.0;2784.0;;;;100.0;100.0;100.0
166;47 Detailhandel (niet in auto's);2022;4407;1272;3135;3888.0;857.0;3031.0;6.4;-1.4;8.9;113.3;148.4;103.4
167;47 Detailhandel (niet in auto's);2023;4299;1121;3178;3821.0;877.0;2929.0;-1.7;2.3;-3.3;112.5;127.9;108.5
168;H Vervoer en opslag;2021;19157;3358;15799;19157.0;3358.0;15799.0;;;;100.0;100.0;100.0
169;H Vervoer en opslag;2022;25887;6857;19030;21254.0;4249.0;17005.0;10.9;26.5;7.6;121.8;161.4;111.9
170;H Vervoer en opslag;2023;23979;6184;17795;20275.0;4593.0;15444.0;-4.6;8.1;-9.2;118.3;134.6;115.2
171;49 Vervoer over land;2021;6367;1476;4891;6367.0;1476.0;4891.0;;;;100.0;100.0;100.0
172;49 Vervoer over land;2022;8547;2717;5830;6918.0;1623.0;5295.0;8.7;10.0;8.3;123.5;167.4;110.1
173;49 Vervoer over land;2023;8196;2360;5836;6802.0;1734.0;4997.0;-1.7;6.8;-5.6;120.5;136.1;116.8
174;50 Vervoer over water;2021;4323;479;3844;4323.0;479.0;3844.0;;;;100.0;100.0;100.0
175;50 Vervoer over water;2022;6109;898;5211;4923.0;517.0;4406.0;13.9;7.9;14.6;124.1;173.7;118.3
176;50 Vervoer over water;2023;5315;736;4579;4419.0;506.0;3893.0;-10.2;-2.1;-11.6;120.3;145.4;117.6
177;51 Vervoer door de lucht;2021;3048;1128;1920;3048.0;1128.0;1920.0;;;;100.0;100.0;100.0
178;51 Vervoer door de lucht;2022;5321;2659;2662;4137.0;1719.0;2418.0;35.7;52.4;25.9;128.6;154.7;110.1
179;51 Vervoer door de lucht;2023;5533;2609;2924;4670.0;1992.0;2656.0;12.9;15.9;9.8;118.5;130.9;110.1
180;52 Opslag, dienstverlening voor vervoer;2021;3329;238;3091;3329.0;238.0;3091.0;;;;100.0;100.0;100.0
181;52 Opslag, dienstverlening voor vervoer;2022;4044;541;3503;3482.0;357.0;3125.0;4.6;50.0;1.1;116.1;151.5;112.1
182;52 Opslag, dienstverlening voor vervoer;2023;3573;440;3133;3008.0;335.0;2664.0;-13.6;-6.3;-14.8;118.8;131.5;117.6
183;53 Post en koeriers;2021;2090;37;2053;2090.0;37.0;2053.0;;;;100.0;100.0;100.0
184;53 Post en koeriers;2022;1866;42;1824;1794.0;33.0;1761.0;-14.2;-10.8;-14.2;104.0;127.3;103.6
185;53 Post en koeriers;2023;1362;39;1323;1258.0;33.0;1223.0;-29.8;0.0;-30.5;108.2;118.2;108.2
186;I Horeca;2021;3253;2495;758;3253.0;2495.0;758.0;;;;100.0;100.0;100.0
187;I Horeca;2022;4947;4009;938;4028.0;3114.0;914.0;23.8;24.8;20.6;122.8;128.7;102.6
188;I Horeca;2023;5180;4181;999;4135.0;3204.0;930.0;2.7;2.9;1.7;125.3;130.5;107.5
189;55 Logiesverstrekking;2021;686;472;214;686.0;472.0;214.0;;;;100.0;100.0;100.0
190;55 Logiesverstrekking;2022;1207;915;292;938.0;653.0;285.0;36.7;38.3;33.2;128.7;140.1;102.5
191;55 Logiesverstrekking;2023;1289;969;320;1020.0;719.0;298.0;8.7;10.1;4.5;126.4;134.8;107.5
192;56 Eet- en drinkgelegenheden;2021;2567;2023;544;2567.0;2023.0;544.0;;;;100.0;100.0;100.0
193;56 Eet- en drinkgelegenheden;2022;3740;3094;646;3090.0;2461.0;629.0;20.4;21.7;15.6;121.0;125.7;102.7
194;56 Eet- en drinkgelegenheden;2023;3891;3212;679;3112.0;2480.0;632.0;0.7;0.8;0.5;125.0;129.5;107.5
195;J Informatie en communicatie;2021;18632;2796;15836;18632.0;2796.0;15836.0;;;;100.0;100.0;100.0
196;J Informatie en communicatie;2022;18960;3147;15813;18052.0;2729.0;15323.0;-3.1;-2.4;-3.2;105.0;115.3;103.2
197;J Informatie en communicatie;2023;19161;2774;16387;17678.0;2494.0;15205.0;-2.1;-8.6;-0.8;108.4;111.2;107.8
198;58-60 Uitgeverijen, film,radio en t.v.;2021;6089;405;5684;6089.0;405.0;5684.0;;;;100.0;100.0;100.0
199;58-60 Uitgeverijen, film,radio en t.v.;2022;4428;472;3956;4061.0;325.0;3736.0;-33.3;-19.8;-34.3;109.0;145.2;105.9
200;58-60 Uitgeverijen, film,radio en t.v.;2023;4609;239;4370;4017.0;167.0;3907.0;-1.1;-48.5;4.6;114.7;142.8;111.9
201;58 Uitgeverijen;2021;694;307;387;694.0;307.0;387.0;;;;100.0;100.0;100.0
202;58 Uitgeverijen;2022;885;389;496;727.0;255.0;472.0;4.8;-16.9;22.0;121.7;152.5;105.1
203;58 Uitgeverijen;2023;691;160;531;550.0;106.0;483.0;-24.3;-58.4;2.4;125.5;150.7;109.8
204;59-60 Film, TV en radio;2021;5395;98;5297;5395.0;98.0;5297.0;;;;100.0;100.0;100.0
205;59-60 Film, TV en radio;2022;3543;83;3460;3334.0;70.0;3264.0;-38.2;-28.6;-38.4;106.3;118.6;106.0
206;59-60 Film, TV en radio;2023;3918;79;3839;3491.0;68.0;3423.0;4.7;-2.4;4.9;112.2;115.6;112.1
207;"59 Film- en tv-productie; geluidsopname";2021;5207;71;5136;5207.0;71.0;5136.0;;;;100.0;100.0;100.0
208;"59 Film- en tv-productie; geluidsopname";2022;3351;60;3291;3159.0;51.0;3108.0;-39.3;-28.2;-39.5;106.1;117.6;105.9
209;"59 Film- en tv-productie; geluidsopname";2023;3728;58;3670;3329.0;50.0;3279.0;5.4;-1.7;5.5;112.0;115.7;111.9
210;60 Radio- en televisieomroepen;2021;188;27;161;188.0;27.0;161.0;;;;100.0;100.0;100.0
211;60 Radio- en televisieomroepen;2022;192;23;169;175.0;19.0;156.0;-6.9;-29.6;-3.1;109.7;121.1;108.3
212;60 Radio- en televisieomroepen;2023;190;21;169;163.0;18.0;145.0;-6.8;-4.3;-7.1;116.5;115.6;116.6
