ID;DiverseKenmerken;Perioden;Geschillen_1;VerlorenArbeidsdagen_2;BetrokkenWerknemers_3
34;Werkstakingen 1e Kwartaal;2008;6.0;26.8;19.9
35;Werkstakingen 1e Kwartaal;2009;9.0;0.7;0.7
36;Werkstakingen 1e Kwartaal;2010;7.0;7.1;2.4
37;Werkstakingen 1e Kwartaal;2011;7.0;4.8;12.5
38;Werkstakingen 1e Kwartaal;2012;6.0;189.4;84.2
39;Werkstakingen 1e Kwartaal;2013;10.0;6.3;1.9
40;Werkstakingen 1e Kwartaal;2014;12.0;10.9;5.7
41;Werkstakingen 1e Kwartaal;2015;6.0;0.2;0.5
42;Werkstakingen 1e Kwartaal;2016;6.0;9.2;3.0
43;Werkstakingen 1e Kwartaal;2017;11.0;3.6;0.8
44;Werkstakingen 1e Kwartaal;2018;7.0;75.5;12.4
45;Werkstakingen 1e Kwartaal;2019;9.0;117.0;70.7
46;Werkstakingen 1e Kwartaal;2020;6.0;209.7;104.3
47;Werkstakingen 1e Kwartaal;2021;6.0;23.2;4.6
48;Werkstakingen 1e Kwartaal;2022;10.0;16.0;8.3
49;Werkstakingen 1e Kwartaal;2023;21.0;88.4;9.0
50;Werkstakingen 2e Kwartaal;1999;6.0;21.7;11.6
51;Werkstakingen 2e Kwartaal;2000;6.0;0.7;1.5
52;Werkstakingen 2e Kwartaal;2001;5.0;9.9;4.1
53;Werkstakingen 2e Kwartaal;2002;5.0;218.5;25.2
54;Werkstakingen 2e Kwartaal;2003;;;
55;Werkstakingen 2e Kwartaal;2004;4.0;1.6;3.3
56;Werkstakingen 2e Kwartaal;2005;9.0;25.4;22.5
57;Werkstakingen 2e Kwartaal;2006;13.0;6.4;2.3
58;Werkstakingen 2e Kwartaal;2007;5.0;4.0;3.6
59;Werkstakingen 2e Kwartaal;2008;7.0;81.9;24.2
60;Werkstakingen 2e Kwartaal;2009;10.0;1.7;0.9
61;Werkstakingen 2e Kwartaal;2010;7.0;14.6;4.0
62;Werkstakingen 2e Kwartaal;2011;9.0;10.2;18.9
63;Werkstakingen 2e Kwartaal;2012;8.0;27.9;8.3
64;Werkstakingen 2e Kwartaal;2013;3.0;1.6;0.3
65;Werkstakingen 2e Kwartaal;2014;13.0;35.2;6.7
66;Werkstakingen 2e Kwartaal;2015;16.0;11.0;12.0
67;Werkstakingen 2e Kwartaal;2016;11.0;4.4;2.9
68;Werkstakingen 2e Kwartaal;2017;10.0;16.0;4.5
69;Werkstakingen 2e Kwartaal;2018;12.0;82.8;14.2
70;Werkstakingen 2e Kwartaal;2019;9.0;42.5;31.0
71;Werkstakingen 2e Kwartaal;2020;;;
72;Werkstakingen 2e Kwartaal;2021;9.0;24.3;4.8
73;Werkstakingen 2e Kwartaal;2022;13.0;4.6;2.0
74;Werkstakingen 2e Kwartaal;2023;18.0;35.6;5.1
75;Werkstakingen 3e Kwartaal;1999;8.0;6.2;4.1
76;Werkstakingen 3e Kwartaal;2000;6.0;1.0;1.1
77;Werkstakingen 3e Kwartaal;2001;;;
78;Werkstakingen 3e Kwartaal;2002;;;
79;Werkstakingen 3e Kwartaal;2003;5.0;4.3;4.2
80;Werkstakingen 3e Kwartaal;2004;6.0;36.5;81.3
81;Werkstakingen 3e Kwartaal;2005;4.0;5.0;3.0
82;Werkstakingen 3e Kwartaal;2006;6.0;2.7;1.9
83;Werkstakingen 3e Kwartaal;2007;4.0;2.1;2.0
84;Werkstakingen 3e Kwartaal;2008;3.0;1.3;0.4
85;Werkstakingen 3e Kwartaal;2009;4.0;0.9;0.7
86;Werkstakingen 3e Kwartaal;2010;0.0;0.0;0.0
87;Werkstakingen 3e Kwartaal;2011;1.0;2.5;10.0
88;Werkstakingen 3e Kwartaal;2012;4.0;0.5;0.3
89;Werkstakingen 3e Kwartaal;2013;5.0;5.3;1.7
90;Werkstakingen 3e Kwartaal;2014;0.0;0.0;0.0
91;Werkstakingen 3e Kwartaal;2015;15.0;22.4;22.0
92;Werkstakingen 3e Kwartaal;2016;8.0;2.4;3.1
93;Werkstakingen 3e Kwartaal;2017;4.0;0.3;0.2
94;Werkstakingen 3e Kwartaal;2018;11.0;55.1;6.6
95;Werkstakingen 3e Kwartaal;2019;10.0;65.6;85.1
96;Werkstakingen 3e Kwartaal;2020;;;
97;Werkstakingen 3e Kwartaal;2021;6.0;4.6;4.9
98;Werkstakingen 3e Kwartaal;2022;4.0;9.7;1.7
99;Werkstakingen 3e Kwartaal;2023;6.0;2.9;0.9
100;Werkstakingen 4e Kwartaal;1999;5.0;3.4;0.9
101;Werkstakingen 4e Kwartaal;2000;6.0;2.0;2.3
102;Werkstakingen 4e Kwartaal;2001;;;
103;Werkstakingen 4e Kwartaal;2002;;;
104;Werkstakingen 4e Kwartaal;2003;3.0;2.0;5.4
105;Werkstakingen 4e Kwartaal;2004;4.0;24.0;22.3
106;Werkstakingen 4e Kwartaal;2005;14.0;6.3;3.9
107;Werkstakingen 4e Kwartaal;2006;7.0;5.3;6.2
108;Werkstakingen 4e Kwartaal;2007;5.0;4.5;1.7
109;Werkstakingen 4e Kwartaal;2008;6.0;10.6;7.8
110;Werkstakingen 4e Kwartaal;2009;6.0;1.4;1.9
111;Werkstakingen 4e Kwartaal;2010;9.0;37.5;8.4
112;Werkstakingen 4e Kwartaal;2011;7.0;4.5;9.3
113;Werkstakingen 4e Kwartaal;2012;5.0;1.5;0.9
114;Werkstakingen 4e Kwartaal;2013;9.0;6.2;2.5
115;Werkstakingen 4e Kwartaal;2014;5.0;0.8;1.5
116;Werkstakingen 4e Kwartaal;2015;12.0;14.1;7.8
117;Werkstakingen 4e Kwartaal;2016;10.0;3.2;2.1
118;Werkstakingen 4e Kwartaal;2017;13.0;286.4;141.4
119;Werkstakingen 4e Kwartaal;2018;8.0;25.8;0.5
120;Werkstakingen 4e Kwartaal;2019;7.0;165.9;131.9
121;Werkstakingen 4e Kwartaal;2020;0.0;0.0;0.0
122;Werkstakingen 4e Kwartaal;2021;8.0;7.2;13.9
123;Werkstakingen 4e Kwartaal;2022;11.0;12.5;4.5
124;Werkstakingen 4e Kwartaal;2023;11.0;5.2;1.8
125;Werkstakingen periode onbekend;1999;0.0;0.0;0.0
126;Werkstakingen periode onbekend;2000;0.0;0.0;0.0
127;Werkstakingen periode onbekend;2001;7.0;18.9;9.7
128;Werkstakingen periode onbekend;2002;3.0;0.2;0.7
129;Werkstakingen periode onbekend;2003;7.0;8.6;5.4
130;Werkstakingen periode onbekend;2004;0.0;0.0;0.0
131;Werkstakingen periode onbekend;2005;0.0;0.0;0.0
132;Werkstakingen periode onbekend;2006;0.0;0.0;0.0
133;Werkstakingen periode onbekend;2007;0.0;0.0;0.0
134;Werkstakingen periode onbekend;2008;0.0;0.0;0.0
135;Werkstakingen periode onbekend;2009;0.0;0.0;0.0
136;Werkstakingen periode onbekend;2010;0.0;0.0;0.0
137;Werkstakingen periode onbekend;2011;0.0;0.0;0.0
138;Werkstakingen periode onbekend;2012;0.0;0.0;0.0
139;Werkstakingen periode onbekend;2013;0.0;0.0;0.0
140;Werkstakingen periode onbekend;2014;0.0;0.0;0.0
141;Werkstakingen periode onbekend;2015;0.0;0.0;0.0
142;Werkstakingen periode onbekend;2016;0.0;0.0;0.0
143;Werkstakingen periode onbekend;2017;0.0;0.0;0.0
144;Werkstakingen periode onbekend;2018;0.0;0.0;0.0
145;Werkstakingen periode onbekend;2019;0.0;0.0;0.0
146;Werkstakingen periode onbekend;2020;3.0;1.4;1.0
147;Werkstakingen periode onbekend;2021;0.0;0.0;0.0
148;Werkstakingen periode onbekend;2022;0.0;0.0;0.0
149;Werkstakingen periode onbekend;2023;0.0;0.0;0.0
150;Geschil: Totale cao;1999;6.0;69.2;54.9
151;Geschil: Totale cao;2000;5.0;4.9;5.6
152;Geschil: Totale cao;2001;8.0;34.9;30.6
153;Geschil: Totale cao;2002;6.0;244.8;27.4
154;Geschil: Totale cao;2003;;;
155;Geschil: Totale cao;2004;5.0;8.9;8.8
156;Geschil: Totale cao;2005;9.0;27.9;24.1
157;Geschil: Totale cao;2006;10.0;4.6;4.0
158;Geschil: Totale cao;2007;9.0;20.5;18.8
159;Geschil: Totale cao;2008;12.0;117.6;47.9
160;Geschil: Totale cao;2009;8.0;3.2;2.2
161;Geschil: Totale cao;2010;11.0;22.6;5.1
162;Geschil: Totale cao;2011;7.0;2.8;2.7
163;Geschil: Totale cao;2012;6.0;147.0;7.0
164;Geschil: Totale cao;2013;11.0;16.3;3.2
165;Geschil: Totale cao;2014;9.0;29.8;4.9
166;Geschil: Totale cao;2015;9.0;37.6;17.0
167;Geschil: Totale cao;2016;6.0;8.8;2.8
168;Geschil: Totale cao;2017;10.0;19.1;5.1
169;Geschil: Totale cao;2018;17.0;98.2;4.9
170;Geschil: Totale cao;2019;18.0;128.2;140.7
171;Geschil: Totale cao;2020;3.0;1.7;0.2
172;Geschil: Totale cao;2021;7.0;53.9;24.3
173;Geschil: Totale cao;2022;20.0;35.7;14.2
174;Geschil: Totale cao;2023;28.0;98.6;8.9
175;Geschil: Kwestie m.b.t. werktijd;1999;3.0;0.3;0.4
176;Geschil: Kwestie m.b.t. werktijd;2000;0.0;0.0;0.0
177;Geschil: Kwestie m.b.t. werktijd;2001;0.0;0.0;0.0
178;Geschil: Kwestie m.b.t. werktijd;2002;0.0;0.0;0.0
179;Geschil: Kwestie m.b.t. werktijd;2003;0.0;0.0;0.0
180;Geschil: Kwestie m.b.t. werktijd;2004;0.0;0.0;0.0
181;Geschil: Kwestie m.b.t. werktijd;2005;;;
182;Geschil: Kwestie m.b.t. werktijd;2006;4.0;1.0;0.5
183;Geschil: Kwestie m.b.t. werktijd;2007;;;
184;Geschil: Kwestie m.b.t. werktijd;2008;;;
185;Geschil: Kwestie m.b.t. werktijd;2009;0.0;0.0;0.0
186;Geschil: Kwestie m.b.t. werktijd;2010;0.0;0.0;0.0
187;Geschil: Kwestie m.b.t. werktijd;2011;;;
188;Geschil: Kwestie m.b.t. werktijd;2012;;;
189;Geschil: Kwestie m.b.t. werktijd;2013;0.0;0.0;0.0
190;Geschil: Kwestie m.b.t. werktijd;2014;;;
191;Geschil: Kwestie m.b.t. werktijd;2015;0.0;0.0;0.0
192;Geschil: Kwestie m.b.t. werktijd;2016;;;
193;Geschil: Kwestie m.b.t. werktijd;2017;;;
194;Geschil: Kwestie m.b.t. werktijd;2018;0.0;0.0;0.0
195;Geschil: Kwestie m.b.t. werktijd;2019;0.0;0.0;0.0
196;Geschil: Kwestie m.b.t. werktijd;2020;0.0;0.0;0.0
197;Geschil: Kwestie m.b.t. werktijd;2021;;;
198;Geschil: Kwestie m.b.t. werktijd;2022;;;
199;Geschil: Kwestie m.b.t. werktijd;2023;0.0;0.0;0.0
200;Geschil: Loonsverhoging/loonkwesties;1999;;;
201;Geschil: Loonsverhoging/loonkwesties;2000;;;
202;Geschil: Loonsverhoging/loonkwesties;2001;;;
203;Geschil: Loonsverhoging/loonkwesties;2002;;;
204;Geschil: Loonsverhoging/loonkwesties;2003;0.0;0.0;0.0
205;Geschil: Loonsverhoging/loonkwesties;2004;0.0;0.0;0.0
206;Geschil: Loonsverhoging/loonkwesties;2005;;;
207;Geschil: Loonsverhoging/loonkwesties;2006;0.0;0.0;0.0
208;Geschil: Loonsverhoging/loonkwesties;2007;0.0;0.0;0.0
209;Geschil: Loonsverhoging/loonkwesties;2008;0.0;0.0;0.0
210;Geschil: Loonsverhoging/loonkwesties;2009;6.0;0.9;0.5
211;Geschil: Loonsverhoging/loonkwesties;2010;0.0;0.0;0.0
212;Geschil: Loonsverhoging/loonkwesties;2011;;;
213;Geschil: Loonsverhoging/loonkwesties;2012;;;
214;Geschil: Loonsverhoging/loonkwesties;2013;;;
215;Geschil: Loonsverhoging/loonkwesties;2014;;;
216;Geschil: Loonsverhoging/loonkwesties;2015;4.0;3.2;12.7
217;Geschil: Loonsverhoging/loonkwesties;2016;;;
218;Geschil: Loonsverhoging/loonkwesties;2017;6.0;280.6;140.4
219;Geschil: Loonsverhoging/loonkwesties;2018;4.0;140.5;28.2
220;Geschil: Loonsverhoging/loonkwesties;2019;4.0;218.9;140.3
221;Geschil: Loonsverhoging/loonkwesties;2020;;;
222;Geschil: Loonsverhoging/loonkwesties;2021;8.0;1.0;1.2
223;Geschil: Loonsverhoging/loonkwesties;2022;8.0;3.4;1.8
224;Geschil: Loonsverhoging/loonkwesties;2023;21.0;22.9;6.2
225;Geschil: Arbeidsvoorwaarden niet in cao;1999;;;
226;Geschil: Arbeidsvoorwaarden niet in cao;2000;0.0;0.0;0.0
227;Geschil: Arbeidsvoorwaarden niet in cao;2001;0.0;0.0;0.0
228;Geschil: Arbeidsvoorwaarden niet in cao;2002;;;
229;Geschil: Arbeidsvoorwaarden niet in cao;2003;;;
230;Geschil: Arbeidsvoorwaarden niet in cao;2004;0.0;0.0;0.0
231;Geschil: Arbeidsvoorwaarden niet in cao;2005;4.0;3.4;1.1
232;Geschil: Arbeidsvoorwaarden niet in cao;2006;0.0;0.0;0.0
233;Geschil: Arbeidsvoorwaarden niet in cao;2007;;;
234;Geschil: Arbeidsvoorwaarden niet in cao;2008;;;
235;Geschil: Arbeidsvoorwaarden niet in cao;2009;0.0;0.0;0.0
236;Geschil: Arbeidsvoorwaarden niet in cao;2010;0.0;0.0;0.0
237;Geschil: Arbeidsvoorwaarden niet in cao;2011;0.0;0.0;0.0
238;Geschil: Arbeidsvoorwaarden niet in cao;2012;0.0;0.0;0.0
239;Geschil: Arbeidsvoorwaarden niet in cao;2013;;;
240;Geschil: Arbeidsvoorwaarden niet in cao;2014;;;
241;Geschil: Arbeidsvoorwaarden niet in cao;2015;0.0;0.0;0.0
242;Geschil: Arbeidsvoorwaarden niet in cao;2016;0.0;0.0;0.0
243;Geschil: Arbeidsvoorwaarden niet in cao;2017;;;
244;Geschil: Arbeidsvoorwaarden niet in cao;2018;;;
245;Geschil: Arbeidsvoorwaarden niet in cao;2019;;;
246;Geschil: Arbeidsvoorwaarden niet in cao;2020;0.0;0.0;0.0
247;Geschil: Arbeidsvoorwaarden niet in cao;2021;;;
248;Geschil: Arbeidsvoorwaarden niet in cao;2022;0.0;0.0;0.0
249;Geschil: Arbeidsvoorwaarden niet in cao;2023;0.0;0.0;0.0
250;Geschil: Conflicten bij reorganisatie;1999;;;
251;Geschil: Conflicten bij reorganisatie;2000;;;
252;Geschil: Conflicten bij reorganisatie;2001;;;
253;Geschil: Conflicten bij reorganisatie;2002;;;
254;Geschil: Conflicten bij reorganisatie;2003;;;
255;Geschil: Conflicten bij reorganisatie;2004;;;
256;Geschil: Conflicten bij reorganisatie;2005;;;
257;Geschil: Conflicten bij reorganisatie;2006;;;
258;Geschil: Conflicten bij reorganisatie;2007;;;
259;Geschil: Conflicten bij reorganisatie;2008;;;
260;Geschil: Conflicten bij reorganisatie;2009;;;
261;Geschil: Conflicten bij reorganisatie;2010;;;
262;Geschil: Conflicten bij reorganisatie;2011;;;
263;Geschil: Conflicten bij reorganisatie;2012;;;
264;Geschil: Conflicten bij reorganisatie;2013;;;
265;Geschil: Conflicten bij reorganisatie;2014;;;
266;Geschil: Conflicten bij reorganisatie;2015;;;
267;Geschil: Conflicten bij reorganisatie;2016;;;
268;Geschil: Conflicten bij reorganisatie;2017;;;
269;Geschil: Conflicten bij reorganisatie;2018;;;
270;Geschil: Conflicten bij reorganisatie;2019;0.0;0.0;0.0
271;Geschil: Conflicten bij reorganisatie;2020;3.0;1.2;0.9
272;Geschil: Conflicten bij reorganisatie;2021;;;
273;Geschil: Conflicten bij reorganisatie;2022;0.0;0.0;0.0
274;Geschil: Conflicten bij reorganisatie;2023;;;
275;Geschil: Bedrijfssluiting;1999;;;
276;Geschil: Bedrijfssluiting;2000;;;
277;Geschil: Bedrijfssluiting;2001;;;
278;Geschil: Bedrijfssluiting;2002;;;
279;Geschil: Bedrijfssluiting;2003;;;
280;Geschil: Bedrijfssluiting;2004;;;
281;Geschil: Bedrijfssluiting;2005;;;
282;Geschil: Bedrijfssluiting;2006;;;
283;Geschil: Bedrijfssluiting;2007;;;
284;Geschil: Bedrijfssluiting;2008;;;
285;Geschil: Bedrijfssluiting;2009;;;
286;Geschil: Bedrijfssluiting;2010;;;
287;Geschil: Bedrijfssluiting;2011;;;
288;Geschil: Bedrijfssluiting;2012;;;
289;Geschil: Bedrijfssluiting;2013;;;
290;Geschil: Bedrijfssluiting;2014;;;
291;Geschil: Bedrijfssluiting;2015;;;
292;Geschil: Bedrijfssluiting;2016;;;
293;Geschil: Bedrijfssluiting;2017;;;
294;Geschil: Bedrijfssluiting;2018;;;
295;Geschil: Bedrijfssluiting;2019;;;
296;Geschil: Bedrijfssluiting;2020;;;
297;Geschil: Bedrijfssluiting;2021;;;
298;Geschil: Bedrijfssluiting;2022;;;
299;Geschil: Bedrijfssluiting;2023;;;
300;Geschil: Overige geschilpunten;1999;11.0;5.6;3.2
301;Geschil: Overige geschilpunten;2000;;;
302;Geschil: Overige geschilpunten;2001;;;
303;Geschil: Overige geschilpunten;2002;7.0;0.5;1.0
304;Geschil: Overige geschilpunten;2003;11.0;10.4;9.4
305;Geschil: Overige geschilpunten;2004;7.0;53.3;95.4
306;Geschil: Overige geschilpunten;2005;13.0;10.3;3.6
307;Geschil: Overige geschilpunten;2006;17.0;10.2;6.8
308;Geschil: Overige geschilpunten;2007;7.0;4.5;1.3
309;Geschil: Overige geschilpunten;2008;6.0;2.8;3.1
310;Geschil: Overige geschilpunten;2009;11.0;0.6;0.8
311;Geschil: Overige geschilpunten;2010;10.0;36.7;9.0
312;Geschil: Overige geschilpunten;2011;7.0;18.1;44.2
313;Geschil: Overige geschilpunten;2012;10.0;56.8;62.5
314;Geschil: Overige geschilpunten;2013;9.0;1.5;0.9
315;Geschil: Overige geschilpunten;2014;11.0;7.1;3.4
316;Geschil: Overige geschilpunten;2015;14.0;6.8;12.8
317;Geschil: Overige geschilpunten;2016;15.0;9.3;7.3
318;Geschil: Overige geschilpunten;2017;9.0;4.5;1.0
319;Geschil: Overige geschilpunten;2018;3.0;0.2;0.5
320;Geschil: Overige geschilpunten;2019;;;
321;Geschil: Overige geschilpunten;2020;0.0;0.0;0.0
322;Geschil: Overige geschilpunten;2021;;;
323;Geschil: Overige geschilpunten;2022;;;
324;Geschil: Overige geschilpunten;2023;;;
325;Geschil: Geschilpunten onbekend;1999;4.0;0.6;0.4
326;Geschil: Geschilpunten onbekend;2000;18.0;4.5;4.7
327;Geschil: Geschilpunten onbekend;2001;8.0;10.2;6.8
328;Geschil: Geschilpunten onbekend;2002;3.0;0.2;0.3
329;Geschil: Geschilpunten onbekend;2003;3.0;4.6;1.3
330;Geschil: Geschilpunten onbekend;2004;0.0;0.0;0.0
331;Geschil: Geschilpunten onbekend;2005;2.0;0.1;0.2
332;Geschil: Geschilpunten onbekend;2006;0.0;0.0;0.0
333;Geschil: Geschilpunten onbekend;2007;4.0;1.4;0.7
334;Geschil: Geschilpunten onbekend;2008;3.0;0.3;0.9
335;Geschil: Geschilpunten onbekend;2009;6.0;0.9;0.5
336;Geschil: Geschilpunten onbekend;2010;0.0;0.0;0.0
337;Geschil: Geschilpunten onbekend;2011;3.0;1.0;0.3
338;Geschil: Geschilpunten onbekend;2012;2.0;15.6;20.1
339;Geschil: Geschilpunten onbekend;2013;0.0;0.0;0.0
340;Geschil: Geschilpunten onbekend;2014;0.0;0.0;0.0
341;Geschil: Geschilpunten onbekend;2015;0.0;0.0;0.0
342;Geschil: Geschilpunten onbekend;2016;4.0;1.0;1.1
343;Geschil: Geschilpunten onbekend;2017;7.0;2.0;0.4
344;Geschil: Geschilpunten onbekend;2018;4.0;0.3;0.2
345;Geschil: Geschilpunten onbekend;2019;4.0;43.9;37.7
346;Geschil: Geschilpunten onbekend;2020;3.0;208.2;104.2
347;Geschil: Geschilpunten onbekend;2021;7.0;4.5;2.7
348;Geschil: Geschilpunten onbekend;2022;5.0;0.4;0.4
349;Geschil: Geschilpunten onbekend;2023;3.0;20.6;2.4
350;Uitgeroepen door (vak)verenigingen;1999;10.0;69.9;55.3
351;Uitgeroepen door (vak)verenigingen;2000;9.0;5.5;7.1
352;Uitgeroepen door (vak)verenigingen;2001;9.0;42.3;33.5
353;Uitgeroepen door (vak)verenigingen;2002;8.0;245.0;27.6
354;Uitgeroepen door (vak)verenigingen;2003;6.0;14.6;10.3
355;Uitgeroepen door (vak)verenigingen;2004;9.0;61.3;103.6
356;Uitgeroepen door (vak)verenigingen;2005;17.0;37.4;27.6
357;Uitgeroepen door (vak)verenigingen;2006;23.0;12.0;9.1
358;Uitgeroepen door (vak)verenigingen;2007;19.0;26.2;20.6
359;Uitgeroepen door (vak)verenigingen;2008;18.0;120.3;51.0
360;Uitgeroepen door (vak)verenigingen;2009;17.0;4.2;2.8
361;Uitgeroepen door (vak)verenigingen;2010;18.0;58.7;13.8
362;Uitgeroepen door (vak)verenigingen;2011;14.0;21.7;46.8
363;Uitgeroepen door (vak)verenigingen;2012;16.0;219.0;89.4
364;Uitgeroepen door (vak)verenigingen;2013;20.0;18.6;3.7
365;Uitgeroepen door (vak)verenigingen;2014;22.0;40.8;10.0
366;Uitgeroepen door (vak)verenigingen;2015;22.0;47.1;40.9
367;Uitgeroepen door (vak)verenigingen;2016;;;
368;Uitgeroepen door (vak)verenigingen;2017;25.0;306.1;146.6
369;Uitgeroepen door (vak)verenigingen;2018;28.0;239.1;33.7
370;Uitgeroepen door (vak)verenigingen;2019;;;
371;Uitgeroepen door (vak)verenigingen;2020;9.0;211.0;105.3
372;Uitgeroepen door (vak)verenigingen;2021;;;
373;Uitgeroepen door (vak)verenigingen;2022;28.0;39.3;15.9
374;Uitgeroepen door (vak)verenigingen;2023;;;
375;Niet uitgeroepen door (vak)verenigingen;1999;14.0;5.9;3.5
376;Niet uitgeroepen door (vak)verenigingen;2000;14.0;4.0;3.1
377;Niet uitgeroepen door (vak)verenigingen;2001;7.0;2.8;3.9
378;Niet uitgeroepen door (vak)verenigingen;2002;8.0;0.4;1.1
379;Niet uitgeroepen door (vak)verenigingen;2003;8.0;0.5;0.5
380;Niet uitgeroepen door (vak)verenigingen;2004;3.0;0.9;0.6
381;Niet uitgeroepen door (vak)verenigingen;2005;11.0;4.3;1.4
382;Niet uitgeroepen door (vak)verenigingen;2006;8.0;3.8;2.2
383;Niet uitgeroepen door (vak)verenigingen;2007;;;
384;Niet uitgeroepen door (vak)verenigingen;2008;3.0;0.2;0.9
385;Niet uitgeroepen door (vak)verenigingen;2009;8.0;0.5;0.9
386;Niet uitgeroepen door (vak)verenigingen;2010;3.0;0.5;0.3
387;Niet uitgeroepen door (vak)verenigingen;2011;3.0;0.3;0.3
388;Niet uitgeroepen door (vak)verenigingen;2012;2.0;0.3;0.3
389;Niet uitgeroepen door (vak)verenigingen;2013;4.0;0.8;0.8
390;Niet uitgeroepen door (vak)verenigingen;2014;3.0;0.1;0.2
391;Niet uitgeroepen door (vak)verenigingen;2015;5.0;0.5;1.5
392;Niet uitgeroepen door (vak)verenigingen;2016;;;
393;Niet uitgeroepen door (vak)verenigingen;2017;7.0;0.2;0.3
394;Niet uitgeroepen door (vak)verenigingen;2018;0.0;0.0;0.0
395;Niet uitgeroepen door (vak)verenigingen;2019;;;
396;Niet uitgeroepen door (vak)verenigingen;2020;0.0;0.0;0.0
397;Niet uitgeroepen door (vak)verenigingen;2021;;;
398;Niet uitgeroepen door (vak)verenigingen;2022;5.0;0.2;0.6
399;Niet uitgeroepen door (vak)verenigingen;2023;;;
400;Wijze van uitroepen onbekend;1999;0.0;0.0;0.0
401;Wijze van uitroepen onbekend;2000;0.0;0.0;0.0
402;Wijze van uitroepen onbekend;2001;0.0;0.0;0.0
403;Wijze van uitroepen onbekend;2002;0.0;0.0;0.0
404;Wijze van uitroepen onbekend;2003;0.0;0.0;0.0
405;Wijze van uitroepen onbekend;2004;0.0;0.0;0.0
406;Wijze van uitroepen onbekend;2005;0.0;0.0;0.0
407;Wijze van uitroepen onbekend;2006;0.0;0.0;0.0
408;Wijze van uitroepen onbekend;2007;0.0;0.0;0.0
409;Wijze van uitroepen onbekend;2008;0.0;0.0;0.0
410;Wijze van uitroepen onbekend;2009;0.0;0.0;0.0
411;Wijze van uitroepen onbekend;2010;0.0;0.0;0.0
412;Wijze van uitroepen onbekend;2011;0.0;0.0;0.0
413;Wijze van uitroepen onbekend;2012;0.0;0.0;0.0
414;Wijze van uitroepen onbekend;2013;;;
415;Wijze van uitroepen onbekend;2014;0.0;0.0;0.0
416;Wijze van uitroepen onbekend;2015;0.0;0.0;0.0
417;Wijze van uitroepen onbekend;2016;25.0;19.2;11.1
418;Wijze van uitroepen onbekend;2017;0.0;0.0;0.0
419;Wijze van uitroepen onbekend;2018;0.0;0.0;0.0
420;Wijze van uitroepen onbekend;2019;26.0;391.0;318.7
421;Wijze van uitroepen onbekend;2020;0.0;0.0;0.0
422;Wijze van uitroepen onbekend;2021;22.0;59.3;28.9
423;Wijze van uitroepen onbekend;2022;0.0;0.0;0.0
424;Wijze van uitroepen onbekend;2023;52.0;142.1;17.4
425;Beëindiging: Door onderhandeling;1999;13.0;72.7;55.5
426;Beëindiging: Door onderhandeling;2000;15.0;6.5;7.7
427;Beëindiging: Door onderhandeling;2001;9.0;42.2;33.1
428;Beëindiging: Door onderhandeling;2002;10.0;245.0;28.0
429;Beëindiging: Door onderhandeling;2003;8.0;14.6;10.3
430;Beëindiging: Door onderhandeling;2004;;;
431;Beëindiging: Door onderhandeling;2005;22.0;41.4;28.4
432;Beëindiging: Door onderhandeling;2006;25.0;15.1;10.7
433;Beëindiging: Door onderhandeling;2007;10.0;24.5;17.5
