ID;Geslacht;Leeftijd31December;RegioS;Perioden;BinnenGemeentenVerhuisdePersonen_1;GevestigdInDeGemeente_2;VertrokkenUitDeGemeente_3
58;Totaal mannen en vrouwen;Totaal;Nederland;2014 juli;78908;60778;60778
59;Totaal mannen en vrouwen;Totaal;Nederland;2014 augustus;74080;69209;69209
60;Totaal mannen en vrouwen;Totaal;Nederland;2014 september;77351;66008;66008
61;Totaal mannen en vrouwen;Totaal;Nederland;2014 oktober;78330;56501;56501
62;Totaal mannen en vrouwen;Totaal;Nederland;2014 november;71053;49556;49556
63;Totaal mannen en vrouwen;Totaal;Nederland;2014 december;87538;57406;57406
64;Totaal mannen en vrouwen;Totaal;Nederland;2014;908871;654467;654467
65;Totaal mannen en vrouwen;Totaal;Nederland;2015 januari;81921;57673;57673
66;Totaal mannen en vrouwen;Totaal;Nederland;2015 februari;77002;54148;54148
67;Totaal mannen en vrouwen;Totaal;Nederland;2015 maart;82315;55280;55280
68;Totaal mannen en vrouwen;Totaal;Nederland;2015 april;74890;49110;49110
69;Totaal mannen en vrouwen;Totaal;Nederland;2015 mei;72541;47409;47409
70;Totaal mannen en vrouwen;Totaal;Nederland;2015 juni;80370;52496;52496
71;Totaal mannen en vrouwen;Totaal;Nederland;2015 juli;92120;67016;67016
72;Totaal mannen en vrouwen;Totaal;Nederland;2015 augustus;83164;72853;72853
73;Totaal mannen en vrouwen;Totaal;Nederland;2015 september;86505;67173;67173
74;Totaal mannen en vrouwen;Totaal;Nederland;2015 oktober;85265;59837;59837
75;Totaal mannen en vrouwen;Totaal;Nederland;2015 november;77872;54647;54647
76;Totaal mannen en vrouwen;Totaal;Nederland;2015 december;88062;59963;59963
77;Totaal mannen en vrouwen;Totaal;Nederland;2015;982027;697605;697605
78;Totaal mannen en vrouwen;Totaal;Nederland;2016 januari;78907;59002;59002
79;Totaal mannen en vrouwen;Totaal;Nederland;2016 februari;81097;60805;60805
80;Totaal mannen en vrouwen;Totaal;Nederland;2016 maart;84012;58899;58899
81;Totaal mannen en vrouwen;Totaal;Nederland;2016 april;80162;56971;56971
82;Totaal mannen en vrouwen;Totaal;Nederland;2016 mei;78062;54968;54968
83;Totaal mannen en vrouwen;Totaal;Nederland;2016 juni;82928;58532;58532
84;Totaal mannen en vrouwen;Totaal;Nederland;2016 juli;89527;71360;71360
85;Totaal mannen en vrouwen;Totaal;Nederland;2016 augustus;91330;80102;80102
86;Totaal mannen en vrouwen;Totaal;Nederland;2016 september;89001;73608;73608
87;Totaal mannen en vrouwen;Totaal;Nederland;2016 oktober;85466;64283;64283
88;Totaal mannen en vrouwen;Totaal;Nederland;2016 november;86908;62658;62658
89;Totaal mannen en vrouwen;Totaal;Nederland;2016 december;96562;66300;66300
90;Totaal mannen en vrouwen;Totaal;Nederland;2016;1023962;767488;767488
91;Totaal mannen en vrouwen;Totaal;Nederland;2017 januari;90713;67736;67736
92;Totaal mannen en vrouwen;Totaal;Nederland;2017 februari;85965;64304;64304
93;Totaal mannen en vrouwen;Totaal;Nederland;2017 maart;96392;67554;67554
94;Totaal mannen en vrouwen;Totaal;Nederland;2017 april;81709;56033;56033
95;Totaal mannen en vrouwen;Totaal;Nederland;2017 mei;89640;60782;60782
96;Totaal mannen en vrouwen;Totaal;Nederland;2017 juni;90123;60830;60830
97;Totaal mannen en vrouwen;Totaal;Nederland;2017 juli;94239;73384;73384
98;Totaal mannen en vrouwen;Totaal;Nederland;2017 augustus;91680;80584;80584
99;Totaal mannen en vrouwen;Totaal;Nederland;2017 september;90270;73911;73911
100;Totaal mannen en vrouwen;Totaal;Nederland;2017 oktober;89584;66414;66414
101;Totaal mannen en vrouwen;Totaal;Nederland;2017 november;87388;62131;62131
102;Totaal mannen en vrouwen;Totaal;Nederland;2017 december;92797;62946;62946
103;Totaal mannen en vrouwen;Totaal;Nederland;2017;1080500;796609;796609
104;Totaal mannen en vrouwen;Totaal;Nederland;2018 januari;89081;65655;65655
105;Totaal mannen en vrouwen;Totaal;Nederland;2018 februari;82559;59766;59766
106;Totaal mannen en vrouwen;Totaal;Nederland;2018 maart;91696;63698;63698
107;Totaal mannen en vrouwen;Totaal;Nederland;2018 april;80407;55363;55363
108;Totaal mannen en vrouwen;Totaal;Nederland;2018 mei;83383;56689;56689
109;Totaal mannen en vrouwen;Totaal;Nederland;2018 juni;84221;58362;58362
110;Totaal mannen en vrouwen;Totaal;Nederland;2018 juli;89439;68881;68881
111;Totaal mannen en vrouwen;Totaal;Nederland;2018 augustus;88234;77928;77928
112;Totaal mannen en vrouwen;Totaal;Nederland;2018 september;80330;66604;66604
113;Totaal mannen en vrouwen;Totaal;Nederland;2018 oktober;88226;65829;65829
114;Totaal mannen en vrouwen;Totaal;Nederland;2018 november;85257;61009;61009
115;Totaal mannen en vrouwen;Totaal;Nederland;2018 december;83936;58501;58501
116;Totaal mannen en vrouwen;Totaal;Nederland;2018;1026769;758285;758285
117;Totaal mannen en vrouwen;Totaal;Nederland;2019 januari;87516;64581;64581
118;Totaal mannen en vrouwen;Totaal;Nederland;2019 februari;81573;59088;59088
119;Totaal mannen en vrouwen;Totaal;Nederland;2019 maart;85687;60215;60215
120;Totaal mannen en vrouwen;Totaal;Nederland;2019 april;84756;58982;58982
121;Totaal mannen en vrouwen;Totaal;Nederland;2019 mei;85926;59234;59234
122;Totaal mannen en vrouwen;Totaal;Nederland;2019 juni;76623;53692;53692
123;Totaal mannen en vrouwen;Totaal;Nederland;2019 juli;93395;72418;72418
124;Totaal mannen en vrouwen;Totaal;Nederland;2019 augustus;87818;75260;75260
125;Totaal mannen en vrouwen;Totaal;Nederland;2019 september;83613;67964;67964
126;Totaal mannen en vrouwen;Totaal;Nederland;2019 oktober;86655;64355;64355
127;Totaal mannen en vrouwen;Totaal;Nederland;2019 november;84401;60689;60689
128;Totaal mannen en vrouwen;Totaal;Nederland;2019 december;85784;61044;61044
129;Totaal mannen en vrouwen;Totaal;Nederland;2019;1023747;757522;757522
130;Totaal mannen en vrouwen;Totaal;Nederland;2020 januari;87936;67318;67318
131;Totaal mannen en vrouwen;Totaal;Nederland;2020 februari;82265;61828;61828
132;Totaal mannen en vrouwen;Totaal;Nederland;2020 maart;84865;61504;61504
133;Totaal mannen en vrouwen;Totaal;Nederland;2020 april;81486;56415;56415
134;Totaal mannen en vrouwen;Totaal;Nederland;2020 mei;83223;59184;59184
135;Totaal mannen en vrouwen;Totaal;Nederland;2020 juni;83944;61497;61497
136;Totaal mannen en vrouwen;Totaal;Nederland;2020 juli;96655;75226;75226
137;Totaal mannen en vrouwen;Totaal;Nederland;2020 augustus;89182;77267;77267
138;Totaal mannen en vrouwen;Totaal;Nederland;2020 september;89617;71794;71794
139;Totaal mannen en vrouwen;Totaal;Nederland;2020 oktober;93014;71947;71947
140;Totaal mannen en vrouwen;Totaal;Nederland;2020 november;85835;63662;63662
141;Totaal mannen en vrouwen;Totaal;Nederland;2020 december;88507;65751;65751
142;Totaal mannen en vrouwen;Totaal;Nederland;2020;1046529;793393;793393
143;Totaal mannen en vrouwen;Totaal;Nederland;2021 januari;94058;72449;72449
144;Totaal mannen en vrouwen;Totaal;Nederland;2021 februari;85171;64516;64516
145;Totaal mannen en vrouwen;Totaal;Nederland;2021 maart;98485;73083;73083
146;Totaal mannen en vrouwen;Totaal;Nederland;2021 april;87477;66243;66243
147;Totaal mannen en vrouwen;Totaal;Nederland;2021 mei;79747;60940;60940
148;Totaal mannen en vrouwen;Totaal;Nederland;2021 juni;79218;61638;61638
149;Totaal mannen en vrouwen;Totaal;Nederland;2021 juli;86019;72004;72004
150;Totaal mannen en vrouwen;Totaal;Nederland;2021 augustus;79205;74859;74859
151;Totaal mannen en vrouwen;Totaal;Nederland;2021 september;74926;67186;67186
152;Totaal mannen en vrouwen;Totaal;Nederland;2021 oktober;74264;63866;63866
153;Totaal mannen en vrouwen;Totaal;Nederland;2021 november;73641;61434;61434
154;Totaal mannen en vrouwen;Totaal;Nederland;2021 december;77538;64292;64292
155;Totaal mannen en vrouwen;Totaal;Nederland;2021;989749;802510;802510
156;Totaal mannen en vrouwen;Totaal;Nederland;2022 januari;74529;63484;63484
157;Totaal mannen en vrouwen;Totaal;Nederland;2022 februari;70205;58874;58874
158;Totaal mannen en vrouwen;Totaal;Nederland;2022 maart;76173;62635;62635
159;Totaal mannen en vrouwen;Totaal;Nederland;2022 april;76126;61890;61890
160;Totaal mannen en vrouwen;Totaal;Nederland;2022 mei;74131;60770;60770
161;Totaal mannen en vrouwen;Totaal;Nederland;2022 juni;73310;60679;60679
162;Totaal mannen en vrouwen;Totaal;Nederland;2022 juli;79555;70346;70346
163;Totaal mannen en vrouwen;Totaal;Nederland;2022 augustus;79367;76093;76093
164;Totaal mannen en vrouwen;Totaal;Nederland;2022 september;80060;73034;73034
165;Totaal mannen en vrouwen;Totaal;Nederland;2022 oktober;77017;67403;67403
166;Totaal mannen en vrouwen;Totaal;Nederland;2022 november;76910;64715;64715
167;Totaal mannen en vrouwen;Totaal;Nederland;2022 december;81599;66964;66964
168;Totaal mannen en vrouwen;Totaal;Nederland;2022;918982;786887;786887
169;Totaal mannen en vrouwen;Totaal;Nederland;2023 januari;79961;69119;69119
170;Totaal mannen en vrouwen;Totaal;Nederland;2023 februari;73361;61993;61993
171;Totaal mannen en vrouwen;Totaal;Nederland;2023 maart;81841;67488;67488
172;Totaal mannen en vrouwen;Totaal;Nederland;2023 april;70585;59113;59113
173;Totaal mannen en vrouwen;Totaal;Nederland;2023 mei;74300;61826;61826
174;Totaal mannen en vrouwen;Totaal;Nederland;2023 juni;74781;67047;67047
175;Totaal mannen en vrouwen;Totaal;Nederland;2023 juli;79396;77210;77210
176;Totaal mannen en vrouwen;Totaal;Nederland;2023 augustus;77817;82550;82550
177;Totaal mannen en vrouwen;Totaal;Nederland;2023 september;75722;74486;74486
178;Totaal mannen en vrouwen;Totaal;Nederland;2023 oktober;75589;68263;68263
179;Totaal mannen en vrouwen;Totaal;Nederland;2023 november;74213;64364;64364
180;Totaal mannen en vrouwen;Totaal;Nederland;2023 december;76457;65024;65024
181;Totaal mannen en vrouwen;Totaal;Nederland;2023;914023;818483;818483
182;Totaal mannen en vrouwen;Totaal;Nederland;2024 januari;77972;68204;68204
183;Totaal mannen en vrouwen;Totaal;Nederland;2024 februari;73179;63507;63507
184;Totaal mannen en vrouwen;Totaal;Nederland;2024 maart;77151;64889;64889
185;Totaal mannen en vrouwen;Totaal;Nederland;2024 april;73522;61388;61388
186;Totaal mannen en vrouwen;Totaal;Nederland;2024 mei;74030;61408;61408
187;Totaal mannen en vrouwen;Totaal;Nederland;2024 juni;72525;59758;59758
188;Totaal mannen en vrouwen;Totaal;Nederland;2024 juli;80042;73609;73609
189;Totaal mannen en vrouwen;Totaal;Nederland;2024 augustus;74618;76758;76758
190;Totaal mannen en vrouwen;Totaal;Nederland;2024 september;72623;70986;70986
191;Totaal mannen en vrouwen;Totaal;Nederland;2024 oktober;77124;69417;69417
192;Totaal mannen en vrouwen;Totaal;Nederland;2024 november;74593;65324;65324
193;Totaal mannen en vrouwen;Totaal;Nederland;2024 december;78178;66916;66916
194;Totaal mannen en vrouwen;Totaal;Nederland;2024;905557;802164;802164
195;Totaal mannen en vrouwen;Totaal;Nederland;2025 januari;78808;72846;72846
196;Totaal mannen en vrouwen;Totaal;Nederland;2025 februari;73565;66619;66619
197;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2010 januari;7374;5243;5400
198;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2010 februari;7483;5064;5293
199;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2010 maart;8278;5331;5577
200;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2010 april;6944;4507;4669
201;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2010 mei;6674;4367;4443
202;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2010 juni;7595;4812;5022
203;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2010 juli;7722;6335;6555
204;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2010 augustus;7484;7314;7219
205;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2010 september;7453;6856;7008
206;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2010 oktober;6988;5218;5468
207;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2010 november;7599;5087;5309
208;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2010 december;7639;5078;5261
209;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2010;89233;65212;67224
210;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2011 januari;7941;5351;5614
211;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2011 februari;7256;5348;5634
212;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2011 maart;7947;5280;5543
213;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2011 april;7100;4573;4719
214;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2011 mei;7283;4629;4792
215;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2011 juni;7246;4646;4884
216;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2011 juli;7848;6044;6177
217;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2011 augustus;8113;7686;7676
218;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2011 september;7499;7237;7249
219;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2011 oktober;7262;5332;5536
220;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2011 november;7178;5185;5487
221;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2011 december;7437;4937;5207
222;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2011;90110;66248;68518
223;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2012 januari;8145;5684;5945
224;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2012 februari;7386;5376;5762
225;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2012 maart;7931;5084;5495
226;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2012 april;6869;4481;4753
227;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2012 mei;7557;4709;4920
228;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2012 juni;7951;5477;5573
229;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2012 juli;7977;6431;6468
230;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2012 augustus;7749;7964;7815
231;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2012 september;6837;6969;6956
232;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2012 oktober;7240;5554;5869
233;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2012 november;6986;4992;5245
234;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2012 december;7565;4829;4997
235;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2012;90193;67550;69798
236;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2013 januari;7876;5744;6012
237;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2013 februari;7358;5339;5727
238;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2013 maart;7456;4997;5316
239;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2013 april;6795;4619;4923
240;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2013 mei;6820;4813;4909
241;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2013 juni;6551;4482;4769
242;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2013 juli;7993;6564;6793
243;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2013 augustus;7800;8324;8232
244;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2013 september;7560;7280;7480
245;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2013 oktober;7771;5662;5869
246;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2013 november;7385;5194;5418
247;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2013 december;7521;5109;5399
248;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2013;88886;68127;70847
249;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2014 januari;8470;5789;6083
250;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2014 februari;7767;5465;5868
251;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2014 maart;7809;5176;5401
252;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2014 april;7370;4795;5122
253;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2014 mei;7403;4704;4935
254;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2014 juni;7135;4974;5361
255;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2014 juli;8400;6978;7259
256;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2014 augustus;7675;8498;8444
257;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2014 september;8141;7455;7739
258;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2014 oktober;8022;5926;6455
259;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2014 november;7272;5118;5766
260;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2014 december;9027;5954;6400
261;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2014;94491;70832;74833
262;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2015 januari;8704;6164;6823
263;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2015 februari;8346;6015;6677
264;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2015 maart;8679;5717;6408
265;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2015 april;7748;5108;5754
266;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2015 mei;7437;4967;5439
267;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2015 juni;8077;5366;5880
268;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2015 juli;9498;7290;7944
269;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2015 augustus;8789;8582;9055
270;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2015 september;8999;7366;8129
271;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2015 oktober;8642;6273;7040
272;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2015 november;7763;5406;6387
273;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2015 december;9193;6163;7155
274;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2015;101875;74417;82691
275;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2016 januari;7767;6143;7023
276;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2016 februari;8662;6481;7535
277;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2016 maart;8520;5949;6929
278;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2016 april;8397;6187;6694
279;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2016 mei;8017;5827;6527
280;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2016 juni;8764;6301;7047
281;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2016 juli;9697;7998;8899
282;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2016 augustus;9689;9251;10104
283;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2016 september;9654;8833;9393
284;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2016 oktober;8955;6851;8088
285;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2016 november;8839;6612;8561
286;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2016 december;9834;7073;9271
287;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2016;106795;83506;96071
288;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2017 januari;9208;7107;9071
289;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2017 februari;9171;7083;9235
290;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2017 maart;9697;7159;9721
291;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2017 april;8291;5809;7778
292;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2017 mei;9335;6606;8530
293;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2017 juni;9941;6319;7902
294;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2017 juli;9996;7897;9387
295;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2017 augustus;10083;9144;10402
296;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2017 september;10223;8819;9606
297;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2017 oktober;9568;7161;8500
298;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2017 november;9062;6584;7799
299;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2017 december;10194;6804;7769
300;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2017;114769;86492;105700
301;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2018 januari;9776;6724;7754
302;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2018 februari;9135;6368;7322
303;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2018 maart;9964;6614;7690
304;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2018 april;8484;5593;6491
305;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2018 mei;8811;5867;6742
306;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2018 juni;9176;6064;7181
307;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2018 juli;9934;7435;8476
308;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2018 augustus;10242;9017;9563
309;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2018 september;8952;7854;8184
310;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2018 oktober;9851;7030;7434
311;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2018 november;9121;6411;7021
312;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2018 december;8697;6000;6419
313;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2018;112143;80977;90277
314;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2019 januari;9230;6539;7185
315;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2019 februari;9008;6115;6613
316;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2019 maart;9452;6203;6621
317;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2019 april;9347;5733;6255
318;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2019 mei;9394;5837;6347
