ID;UtiliteitsbouwDienstensector;Oppervlakteklasse;Bouwjaarklasse;GemiddeldAardgasverbruik_1;GemiddeldElektriciteitsverbruik_2
77;Autobedrijf: showroom en garage;2 500 tot 5 000 m²;1922 tot 1976;9.2;39.9
78;Autobedrijf: showroom en garage;2 500 tot 5 000 m²;1977 tot 1993;9.4;54.7
79;Autobedrijf: showroom en garage;2 500 tot 5 000 m²;Vanaf 1994;7.1;54.9
80;Autobedrijf: autoschadeherstelbedrijven;0 tot 250 m²;Tot 1921;18.6;49.3
81;Autobedrijf: autoschadeherstelbedrijven;0 tot 250 m²;1922 tot 1976;20.4;68.3
82;Autobedrijf: autoschadeherstelbedrijven;0 tot 250 m²;1977 tot 1993;16.5;70.2
83;Autobedrijf: autoschadeherstelbedrijven;0 tot 250 m²;Vanaf 1994;11.8;54.1
84;Autobedrijf: autoschadeherstelbedrijven;250 tot 500 m²;Tot 1921;12.7;37.9
85;Autobedrijf: autoschadeherstelbedrijven;250 tot 500 m²;1922 tot 1976;13.6;50.4
86;Autobedrijf: autoschadeherstelbedrijven;250 tot 500 m²;1977 tot 1993;12.1;56.4
87;Autobedrijf: autoschadeherstelbedrijven;250 tot 500 m²;Vanaf 1994;10.8;53.3
88;Autobedrijf: autoschadeherstelbedrijven;500 tot 1 000 m²;Tot 1921;;
89;Autobedrijf: autoschadeherstelbedrijven;500 tot 1 000 m²;1922 tot 1976;12.2;47.4
90;Autobedrijf: autoschadeherstelbedrijven;500 tot 1 000 m²;1977 tot 1993;13.2;56.8
91;Autobedrijf: autoschadeherstelbedrijven;500 tot 1 000 m²;Vanaf 1994;11.1;54.4
92;Autobedrijf: autoschadeherstelbedrijven;1 000 tot 2 500 m²;Tot 1921;;
93;Autobedrijf: autoschadeherstelbedrijven;1 000 tot 2 500 m²;1922 tot 1976;11.5;46.9
94;Autobedrijf: autoschadeherstelbedrijven;1 000 tot 2 500 m²;1977 tot 1993;13.2;58.8
95;Autobedrijf: autoschadeherstelbedrijven;1 000 tot 2 500 m²;Vanaf 1994;12.4;59.3
96;Autobedrijf: autoschadeherstelbedrijven;2 500 tot 5 000 m²;Tot 1921;;
97;Autobedrijf: autoschadeherstelbedrijven;2 500 tot 5 000 m²;1922 tot 1976;;
98;Autobedrijf: autoschadeherstelbedrijven;2 500 tot 5 000 m²;1977 tot 1993;;
99;Autobedrijf: autoschadeherstelbedrijven;2 500 tot 5 000 m²;Vanaf 1994;9.0;55.2
100;Horeca: café;0 tot 250 m²;Tot 1921;23.1;167.4
101;Horeca: café;0 tot 250 m²;1922 tot 1976;23.5;137.5
102;Horeca: café;0 tot 250 m²;1977 tot 1993;18.9;124.0
103;Horeca: café;0 tot 250 m²;Vanaf 1994;17.6;102.6
104;Horeca: café;250 tot 500 m²;Tot 1921;17.0;120.5
105;Horeca: café;250 tot 500 m²;1922 tot 1976;17.6;109.9
106;Horeca: café;250 tot 500 m²;1977 tot 1993;16.8;125.8
107;Horeca: café;250 tot 500 m²;Vanaf 1994;20.4;135.7
108;Horeca: café;500 tot 1 000 m²;Tot 1921;14.7;93.9
109;Horeca: café;500 tot 1 000 m²;1922 tot 1976;14.8;85.4
110;Horeca: café;500 tot 1 000 m²;1977 tot 1993;13.6;104.8
111;Horeca: café;500 tot 1 000 m²;Vanaf 1994;12.7;90.1
112;Horeca: café;1 000 tot 2 500 m²;Tot 1921;11.8;75.9
113;Horeca: café;1 000 tot 2 500 m²;1922 tot 1976;10.6;63.6
114;Horeca: café;1 000 tot 2 500 m²;1977 tot 1993;;
115;Horeca: café;1 000 tot 2 500 m²;Vanaf 1994;;
116;Horeca: café;2 500 tot 5 000 m²;Tot 1921;;
117;Horeca: café;2 500 tot 5 000 m²;1922 tot 1976;;
118;Horeca: café;2 500 tot 5 000 m²;1977 tot 1993;;
119;Horeca: café;2 500 tot 5 000 m²;Vanaf 1994;;
120;Horeca: restaurant;0 tot 250 m²;Tot 1921;40.5;260.4
121;Horeca: restaurant;0 tot 250 m²;1922 tot 1976;39.5;217.7
122;Horeca: restaurant;0 tot 250 m²;1977 tot 1993;33.4;214.5
123;Horeca: restaurant;0 tot 250 m²;Vanaf 1994;26.1;177.4
124;Horeca: restaurant;250 tot 500 m²;Tot 1921;31.1;185.1
125;Horeca: restaurant;250 tot 500 m²;1922 tot 1976;34.5;169.0
126;Horeca: restaurant;250 tot 500 m²;1977 tot 1993;35.9;205.8
127;Horeca: restaurant;250 tot 500 m²;Vanaf 1994;33.0;217.5
128;Horeca: restaurant;500 tot 1 000 m²;Tot 1921;24.3;135.7
129;Horeca: restaurant;500 tot 1 000 m²;1922 tot 1976;26.5;138.9
130;Horeca: restaurant;500 tot 1 000 m²;1977 tot 1993;29.1;169.3
131;Horeca: restaurant;500 tot 1 000 m²;Vanaf 1994;31.0;199.5
132;Horeca: restaurant;1 000 tot 2 500 m²;Tot 1921;17.9;94.7
133;Horeca: restaurant;1 000 tot 2 500 m²;1922 tot 1976;20.4;123.2
134;Horeca: restaurant;1 000 tot 2 500 m²;1977 tot 1993;;
135;Horeca: restaurant;1 000 tot 2 500 m²;Vanaf 1994;38.2;159.2
136;Horeca: restaurant;2 500 tot 5 000 m²;Tot 1921;;
137;Horeca: restaurant;2 500 tot 5 000 m²;1922 tot 1976;;
138;Horeca: restaurant;2 500 tot 5 000 m²;1977 tot 1993;;
139;Horeca: restaurant;2 500 tot 5 000 m²;Vanaf 1994;;
140;Horeca: cafetaria;0 tot 250 m²;Tot 1921;40.3;264.9
141;Horeca: cafetaria;0 tot 250 m²;1922 tot 1976;36.6;258.8
142;Horeca: cafetaria;0 tot 250 m²;1977 tot 1993;31.3;295.2
143;Horeca: cafetaria;0 tot 250 m²;Vanaf 1994;25.3;256.3
144;Horeca: cafetaria;250 tot 500 m²;Tot 1921;25.8;161.2
145;Horeca: cafetaria;250 tot 500 m²;1922 tot 1976;36.1;153.5
146;Horeca: cafetaria;250 tot 500 m²;1977 tot 1993;36.5;211.4
147;Horeca: cafetaria;250 tot 500 m²;Vanaf 1994;22.1;218.8
148;Horeca: cafetaria;500 tot 1 000 m²;Tot 1921;19.0;158.2
149;Horeca: cafetaria;500 tot 1 000 m²;1922 tot 1976;28.5;150.5
150;Horeca: cafetaria;500 tot 1 000 m²;1977 tot 1993;;
151;Horeca: cafetaria;500 tot 1 000 m²;Vanaf 1994;27.0;
152;Horeca: cafetaria;1 000 tot 2 500 m²;Tot 1921;;
153;Horeca: cafetaria;1 000 tot 2 500 m²;1922 tot 1976;;
154;Horeca: cafetaria;1 000 tot 2 500 m²;1977 tot 1993;;
155;Horeca: cafetaria;1 000 tot 2 500 m²;Vanaf 1994;;
156;Horeca: cafetaria;2 500 tot 5 000 m²;Tot 1921;;
157;Horeca: cafetaria;2 500 tot 5 000 m²;1922 tot 1976;;
158;Horeca: cafetaria;2 500 tot 5 000 m²;1977 tot 1993;;
159;Horeca: cafetaria;2 500 tot 5 000 m²;Vanaf 1994;;
160;Horeca: hotels, motels;0 tot 250 m²;Tot 1921;25.1;93.2
161;Horeca: hotels, motels;0 tot 250 m²;1922 tot 1976;17.4;62.7
162;Horeca: hotels, motels;0 tot 250 m²;1977 tot 1993;16.3;42.7
163;Horeca: hotels, motels;0 tot 250 m²;Vanaf 1994;22.6;45.5
164;Horeca: hotels, motels;250 tot 500 m²;Tot 1921;23.5;68.5
165;Horeca: hotels, motels;250 tot 500 m²;1922 tot 1976;21.5;75.5
166;Horeca: hotels, motels;250 tot 500 m²;1977 tot 1993;;
167;Horeca: hotels, motels;250 tot 500 m²;Vanaf 1994;;73.9
168;Horeca: hotels, motels;500 tot 1 000 m²;Tot 1921;21.4;82.9
169;Horeca: hotels, motels;500 tot 1 000 m²;1922 tot 1976;26.3;80.4
170;Horeca: hotels, motels;500 tot 1 000 m²;1977 tot 1993;22.1;100.7
171;Horeca: hotels, motels;500 tot 1 000 m²;Vanaf 1994;21.0;103.3
172;Horeca: hotels, motels;1 000 tot 2 500 m²;Tot 1921;21.8;94.0
173;Horeca: hotels, motels;1 000 tot 2 500 m²;1922 tot 1976;22.1;94.9
174;Horeca: hotels, motels;1 000 tot 2 500 m²;1977 tot 1993;19.7;119.4
175;Horeca: hotels, motels;1 000 tot 2 500 m²;Vanaf 1994;21.1;93.1
176;Horeca: hotels, motels;2 500 tot 5 000 m²;Tot 1921;;101.5
177;Horeca: hotels, motels;2 500 tot 5 000 m²;1922 tot 1976;22.9;97.5
178;Horeca: hotels, motels;2 500 tot 5 000 m²;1977 tot 1993;;110.8
179;Horeca: hotels, motels;2 500 tot 5 000 m²;Vanaf 1994;;124.2
180;Kantoor: overheid;0 tot 250 m²;Tot 1921;22.4;56.1
181;Kantoor: overheid;0 tot 250 m²;1922 tot 1976;17.7;58.9
182;Kantoor: overheid;0 tot 250 m²;1977 tot 1993;16.3;55.1
183;Kantoor: overheid;0 tot 250 m²;Vanaf 1994;17.8;73.6
184;Kantoor: overheid;250 tot 500 m²;Tot 1921;19.3;51.3
185;Kantoor: overheid;250 tot 500 m²;1922 tot 1976;17.5;46.1
186;Kantoor: overheid;250 tot 500 m²;1977 tot 1993;17.6;47.3
187;Kantoor: overheid;250 tot 500 m²;Vanaf 1994;17.1;56.9
188;Kantoor: overheid;500 tot 1 000 m²;Tot 1921;17.3;42.7
189;Kantoor: overheid;500 tot 1 000 m²;1922 tot 1976;15.0;47.7
190;Kantoor: overheid;500 tot 1 000 m²;1977 tot 1993;14.7;50.4
191;Kantoor: overheid;500 tot 1 000 m²;Vanaf 1994;13.7;65.6
192;Kantoor: overheid;1 000 tot 2 500 m²;Tot 1921;13.8;53.9
193;Kantoor: overheid;1 000 tot 2 500 m²;1922 tot 1976;13.2;48.1
194;Kantoor: overheid;1 000 tot 2 500 m²;1977 tot 1993;12.4;64.7
195;Kantoor: overheid;1 000 tot 2 500 m²;Vanaf 1994;10.7;62.3
196;Kantoor: overheid;2 500 tot 5 000 m²;Tot 1921;;
197;Kantoor: overheid;2 500 tot 5 000 m²;1922 tot 1976;11.0;81.9
198;Kantoor: overheid;2 500 tot 5 000 m²;1977 tot 1993;11.3;80.9
199;Kantoor: overheid;2 500 tot 5 000 m²;Vanaf 1994;14.5;89.9
200;Kantoor: overig;0 tot 250 m²;Tot 1921;19.9;58.1
201;Kantoor: overig;0 tot 250 m²;1922 tot 1976;20.0;57.2
202;Kantoor: overig;0 tot 250 m²;1977 tot 1993;16.1;58.7
203;Kantoor: overig;0 tot 250 m²;Vanaf 1994;12.0;55.9
204;Kantoor: overig;250 tot 500 m²;Tot 1921;16.5;44.6
205;Kantoor: overig;250 tot 500 m²;1922 tot 1976;16.5;49.9
206;Kantoor: overig;250 tot 500 m²;1977 tot 1993;14.3;57.0
207;Kantoor: overig;250 tot 500 m²;Vanaf 1994;11.4;53.8
208;Kantoor: overig;500 tot 1 000 m²;Tot 1921;14.2;45.7
209;Kantoor: overig;500 tot 1 000 m²;1922 tot 1976;14.0;51.8
210;Kantoor: overig;500 tot 1 000 m²;1977 tot 1993;12.1;59.3
211;Kantoor: overig;500 tot 1 000 m²;Vanaf 1994;11.1;60.8
212;Kantoor: overig;1 000 tot 2 500 m²;Tot 1921;12.3;55.0
213;Kantoor: overig;1 000 tot 2 500 m²;1922 tot 1976;11.9;58.3
214;Kantoor: overig;1 000 tot 2 500 m²;1977 tot 1993;11.0;66.0
215;Kantoor: overig;1 000 tot 2 500 m²;Vanaf 1994;10.3;71.4
216;Kantoor: overig;2 500 tot 5 000 m²;Tot 1921;;
217;Kantoor: overig;2 500 tot 5 000 m²;1922 tot 1976;13.0;65.9
218;Kantoor: overig;2 500 tot 5 000 m²;1977 tot 1993;11.1;73.9
219;Kantoor: overig;2 500 tot 5 000 m²;Vanaf 1994;9.7;81.2
220;Onderwijs: primair;0 tot 250 m²;Tot 1921;;
221;Onderwijs: primair;0 tot 250 m²;1922 tot 1976;;
222;Onderwijs: primair;0 tot 250 m²;1977 tot 1993;;
223;Onderwijs: primair;0 tot 250 m²;Vanaf 1994;19.8;40.2
224;Onderwijs: primair;250 tot 500 m²;Tot 1921;;
225;Onderwijs: primair;250 tot 500 m²;1922 tot 1976;15.9;32.3
226;Onderwijs: primair;250 tot 500 m²;1977 tot 1993;17.1;34.3
227;Onderwijs: primair;250 tot 500 m²;Vanaf 1994;16.3;40.5
228;Onderwijs: primair;500 tot 1 000 m²;Tot 1921;16.1;35.6
229;Onderwijs: primair;500 tot 1 000 m²;1922 tot 1976;14.0;28.1
230;Onderwijs: primair;500 tot 1 000 m²;1977 tot 1993;13.0;29.8
231;Onderwijs: primair;500 tot 1 000 m²;Vanaf 1994;13.8;34.7
232;Onderwijs: primair;1 000 tot 2 500 m²;Tot 1921;12.9;24.8
233;Onderwijs: primair;1 000 tot 2 500 m²;1922 tot 1976;11.7;25.1
234;Onderwijs: primair;1 000 tot 2 500 m²;1977 tot 1993;9.7;27.3
235;Onderwijs: primair;1 000 tot 2 500 m²;Vanaf 1994;8.6;34.3
236;Onderwijs: primair;2 500 tot 5 000 m²;Tot 1921;;
237;Onderwijs: primair;2 500 tot 5 000 m²;1922 tot 1976;8.1;18.6
238;Onderwijs: primair;2 500 tot 5 000 m²;1977 tot 1993;6.8;21.1
239;Onderwijs: primair;2 500 tot 5 000 m²;Vanaf 1994;19.6;37.0
240;Gezondheidszorg: bijeenkomst;0 tot 250 m²;Tot 1921;19.6;46.7
241;Gezondheidszorg: bijeenkomst;0 tot 250 m²;1922 tot 1976;15.9;43.4
242;Gezondheidszorg: bijeenkomst;0 tot 250 m²;1977 tot 1993;14.4;41.2
243;Gezondheidszorg: bijeenkomst;0 tot 250 m²;Vanaf 1994;16.4;44.9
244;Gezondheidszorg: bijeenkomst;250 tot 500 m²;Tot 1921;17.2;38.6
245;Gezondheidszorg: bijeenkomst;250 tot 500 m²;1922 tot 1976;15.5;36.4
246;Gezondheidszorg: bijeenkomst;250 tot 500 m²;1977 tot 1993;13.1;42.9
247;Gezondheidszorg: bijeenkomst;250 tot 500 m²;Vanaf 1994;15.8;47.7
248;Gezondheidszorg: bijeenkomst;500 tot 1 000 m²;Tot 1921;15.7;41.8
249;Gezondheidszorg: bijeenkomst;500 tot 1 000 m²;1922 tot 1976;13.6;37.7
250;Gezondheidszorg: bijeenkomst;500 tot 1 000 m²;1977 tot 1993;11.6;43.5
251;Gezondheidszorg: bijeenkomst;500 tot 1 000 m²;Vanaf 1994;13.6;42.7
252;Gezondheidszorg: bijeenkomst;1 000 tot 2 500 m²;Tot 1921;12.8;34.0
253;Gezondheidszorg: bijeenkomst;1 000 tot 2 500 m²;1922 tot 1976;12.7;31.8
254;Gezondheidszorg: bijeenkomst;1 000 tot 2 500 m²;1977 tot 1993;10.4;39.5
255;Gezondheidszorg: bijeenkomst;1 000 tot 2 500 m²;Vanaf 1994;19.6;44.2
256;Gezondheidszorg: bijeenkomst;2 500 tot 5 000 m²;Tot 1921;;
257;Gezondheidszorg: bijeenkomst;2 500 tot 5 000 m²;1922 tot 1976;;
258;Gezondheidszorg: bijeenkomst;2 500 tot 5 000 m²;1977 tot 1993;;
259;Gezondheidszorg: bijeenkomst;2 500 tot 5 000 m²;Vanaf 1994;;
260;Gezondheidszorg: praktijk;0 tot 250 m²;Tot 1921;19.4;60.9
261;Gezondheidszorg: praktijk;0 tot 250 m²;1922 tot 1976;16.0;57.2
262;Gezondheidszorg: praktijk;0 tot 250 m²;1977 tot 1993;12.9;62.2
263;Gezondheidszorg: praktijk;0 tot 250 m²;Vanaf 1994;16.7;61.7
264;Gezondheidszorg: praktijk;250 tot 500 m²;Tot 1921;16.0;42.6
265;Gezondheidszorg: praktijk;250 tot 500 m²;1922 tot 1976;13.8;49.4
266;Gezondheidszorg: praktijk;250 tot 500 m²;1977 tot 1993;11.5;56.2
267;Gezondheidszorg: praktijk;250 tot 500 m²;Vanaf 1994;12.7;60.5
268;Gezondheidszorg: praktijk;500 tot 1 000 m²;Tot 1921;14.7;34.7
269;Gezondheidszorg: praktijk;500 tot 1 000 m²;1922 tot 1976;13.3;48.4
270;Gezondheidszorg: praktijk;500 tot 1 000 m²;1977 tot 1993;11.5;57.6
271;Gezondheidszorg: praktijk;500 tot 1 000 m²;Vanaf 1994;13.6;64.2
272;Gezondheidszorg: praktijk;1 000 tot 2 500 m²;Tot 1921;;
273;Gezondheidszorg: praktijk;1 000 tot 2 500 m²;1922 tot 1976;12.2;52.1
274;Gezondheidszorg: praktijk;1 000 tot 2 500 m²;1977 tot 1993;11.1;55.6
275;Gezondheidszorg: praktijk;1 000 tot 2 500 m²;Vanaf 1994;24.0;67.2
276;Gezondheidszorg: praktijk;2 500 tot 5 000 m²;Tot 1921;;
277;Gezondheidszorg: praktijk;2 500 tot 5 000 m²;1922 tot 1976;;
278;Gezondheidszorg: praktijk;2 500 tot 5 000 m²;1977 tot 1993;;
279;Gezondheidszorg: praktijk;2 500 tot 5 000 m²;Vanaf 1994;;
280;Gezondheidszorg: tehuis;0 tot 250 m²;Tot 1921;21.9;65.5
281;Gezondheidszorg: tehuis;0 tot 250 m²;1922 tot 1976;18.9;46.8
282;Gezondheidszorg: tehuis;0 tot 250 m²;1977 tot 1993;16.2;49.5
283;Gezondheidszorg: tehuis;0 tot 250 m²;Vanaf 1994;21.3;49.9
284;Gezondheidszorg: tehuis;250 tot 500 m²;Tot 1921;19.3;58.8
285;Gezondheidszorg: tehuis;250 tot 500 m²;1922 tot 1976;18.9;46.9
286;Gezondheidszorg: tehuis;250 tot 500 m²;1977 tot 1993;18.6;51.9
287;Gezondheidszorg: tehuis;250 tot 500 m²;Vanaf 1994;19.6;62.9
288;Gezondheidszorg: tehuis;500 tot 1 000 m²;Tot 1921;19.8;54.2
289;Gezondheidszorg: tehuis;500 tot 1 000 m²;1922 tot 1976;17.5;46.5
290;Gezondheidszorg: tehuis;500 tot 1 000 m²;1977 tot 1993;15.2;54.3
291;Gezondheidszorg: tehuis;500 tot 1 000 m²;Vanaf 1994;16.7;59.3
292;Gezondheidszorg: tehuis;1 000 tot 2 500 m²;Tot 1921;18.9;48.2
293;Gezondheidszorg: tehuis;1 000 tot 2 500 m²;1922 tot 1976;16.6;53.9
294;Gezondheidszorg: tehuis;1 000 tot 2 500 m²;1977 tot 1993;13.6;56.8
295;Gezondheidszorg: tehuis;1 000 tot 2 500 m²;Vanaf 1994;21.7;61.4
296;Gezondheidszorg: tehuis;2 500 tot 5 000 m²;Tot 1921;;
297;Gezondheidszorg: tehuis;2 500 tot 5 000 m²;1922 tot 1976;18.1;60.8
298;Gezondheidszorg: tehuis;2 500 tot 5 000 m²;1977 tot 1993;15.5;65.4
299;Gezondheidszorg: tehuis;2 500 tot 5 000 m²;Vanaf 1994;19.2;71.5
300;Recreatie: binnensport;0 tot 250 m²;Tot 1921;19.7;54.2
301;Recreatie: binnensport;0 tot 250 m²;1922 tot 1976;15.7;56.0
302;Recreatie: binnensport;0 tot 250 m²;1977 tot 1993;14.3;54.2
303;Recreatie: binnensport;0 tot 250 m²;Vanaf 1994;16.4;54.3
304;Recreatie: binnensport;250 tot 500 m²;Tot 1921;18.1;55.3
305;Recreatie: binnensport;250 tot 500 m²;1922 tot 1976;16.6;37.9
306;Recreatie: binnensport;250 tot 500 m²;1977 tot 1993;13.0;42.0
307;Recreatie: binnensport;250 tot 500 m²;Vanaf 1994;11.6;52.4
308;Recreatie: binnensport;500 tot 1 000 m²;Tot 1921;14.6;53.4
309;Recreatie: binnensport;500 tot 1 000 m²;1922 tot 1976;14.5;48.8
310;Recreatie: binnensport;500 tot 1 000 m²;1977 tot 1993;10.4;51.4
311;Recreatie: binnensport;500 tot 1 000 m²;Vanaf 1994;12.2;58.6
312;Recreatie: binnensport;1 000 tot 2 500 m²;Tot 1921;;
313;Recreatie: binnensport;1 000 tot 2 500 m²;1922 tot 1976;12.4;50.6
314;Recreatie: binnensport;1 000 tot 2 500 m²;1977 tot 1993;9.5;57.9
315;Recreatie: binnensport;1 000 tot 2 500 m²;Vanaf 1994;10.5;68.1
316;Recreatie: binnensport;2 500 tot 5 000 m²;Tot 1921;;
317;Recreatie: binnensport;2 500 tot 5 000 m²;1922 tot 1976;9.2;48.9
318;Recreatie: binnensport;2 500 tot 5 000 m²;1977 tot 1993;9.2;52.1
319;Recreatie: binnensport;2 500 tot 5 000 m²;Vanaf 1994;21.4;66.6
320;Recreatie: buitensport;0 tot 250 m²;Tot 1921;18.6;97.0
321;Recreatie: buitensport;0 tot 250 m²;1922 tot 1976;16.5;88.0
322;Recreatie: buitensport;0 tot 250 m²;1977 tot 1993;14.2;93.3
323;Recreatie: buitensport;0 tot 250 m²;Vanaf 1994;14.8;77.6
324;Recreatie: buitensport;250 tot 500 m²;Tot 1921;17.3;67.6
325;Recreatie: buitensport;250 tot 500 m²;1922 tot 1976;15.7;76.5
326;Recreatie: buitensport;250 tot 500 m²;1977 tot 1993;14.4;82.9
327;Recreatie: buitensport;250 tot 500 m²;Vanaf 1994;15.5;84.2
328;Recreatie: buitensport;500 tot 1 000 m²;Tot 1921;;
329;Recreatie: buitensport;500 tot 1 000 m²;1922 tot 1976;13.9;61.6
