ID;Populatie;Gemeenten;Schoolsoorten;Herkomstgroepering;Perioden;TotaalAantalLeerlingen_1;AantalVertraagdeLeerlingen_2;VertragingIn_3
38;Woongemeente;Nederland totaal;Leerjaar 3 totaal;Overig niet-westerse allochtonen;2003/'04;8920.0;620.0;7.0
39;Woongemeente;Nederland totaal;Leerjaar 3 totaal;Herkomst onbekend;2003/'04;280.0;30.0;9.0
40;Woongemeente;Nederland totaal;Leerjaar 4 totaal;Totaal herkomstgroeperingen;2003/'04;189480.0;13770.0;7.0
41;Woongemeente;Nederland totaal;Leerjaar 4 totaal;Autochtonen;2003/'04;149730.0;10530.0;7.0
42;Woongemeente;Nederland totaal;Leerjaar 4 totaal;Niet-westerse allochtonen;2003/'04;26630.0;2080.0;8.0
43;Woongemeente;Nederland totaal;Leerjaar 4 totaal;Westerse allochtonen;2003/'04;12840.0;1140.0;9.0
44;Woongemeente;Nederland totaal;Leerjaar 4 totaal;Turken;2003/'04;5750.0;510.0;9.0
45;Woongemeente;Nederland totaal;Leerjaar 4 totaal;Marokkanen;2003/'04;5040.0;280.0;6.0
46;Woongemeente;Nederland totaal;Leerjaar 4 totaal;Surinamers;2003/'04;5800.0;490.0;9.0
47;Woongemeente;Nederland totaal;Leerjaar 4 totaal;Antillianen en Arubanen;2003/'04;1990.0;140.0;7.0
48;Woongemeente;Nederland totaal;Leerjaar 4 totaal;Overig niet-westerse allochtonen;2003/'04;8050.0;660.0;8.0
49;Woongemeente;Nederland totaal;Leerjaar 4 totaal;Herkomst onbekend;2003/'04;280.0;20.0;8.0
50;Woongemeente;Nederland totaal;Leerjaar 5 totaal;Totaal herkomstgroeperingen;2003/'04;74620.0;4690.0;6.0
51;Woongemeente;Nederland totaal;Leerjaar 5 totaal;Autochtonen;2003/'04;62080.0;3610.0;6.0
52;Woongemeente;Nederland totaal;Leerjaar 5 totaal;Niet-westerse allochtonen;2003/'04;6750.0;660.0;10.0
53;Woongemeente;Nederland totaal;Leerjaar 5 totaal;Westerse allochtonen;2003/'04;5650.0;410.0;7.0
54;Woongemeente;Nederland totaal;Leerjaar 5 totaal;Turken;2003/'04;970.0;130.0;13.0
55;Woongemeente;Nederland totaal;Leerjaar 5 totaal;Marokkanen;2003/'04;850.0;80.0;9.0
56;Woongemeente;Nederland totaal;Leerjaar 5 totaal;Surinamers;2003/'04;1480.0;150.0;10.0
57;Woongemeente;Nederland totaal;Leerjaar 5 totaal;Antillianen en Arubanen;2003/'04;530.0;50.0;9.0
58;Woongemeente;Nederland totaal;Leerjaar 5 totaal;Overig niet-westerse allochtonen;2003/'04;2910.0;250.0;8.0
59;Woongemeente;Nederland totaal;Leerjaar 5 totaal;Herkomst onbekend;2003/'04;140.0;;
60;Woongemeente;Nederland totaal;Leerjaren 1-2 totaal;Totaal herkomstgroeperingen;2003/'04;381130.0;12460.0;3.0
61;Woongemeente;Nederland totaal;Leerjaren 1-2 totaal;Autochtonen;2003/'04;294170.0;7940.0;3.0
62;Woongemeente;Nederland totaal;Leerjaren 1-2 totaal;Niet-westerse allochtonen;2003/'04;60870.0;3370.0;6.0
63;Woongemeente;Nederland totaal;Leerjaren 1-2 totaal;Westerse allochtonen;2003/'04;24990.0;1070.0;4.0
64;Woongemeente;Nederland totaal;Leerjaren 1-2 totaal;Turken;2003/'04;13720.0;700.0;5.0
65;Woongemeente;Nederland totaal;Leerjaren 1-2 totaal;Marokkanen;2003/'04;11960.0;690.0;6.0
66;Woongemeente;Nederland totaal;Leerjaren 1-2 totaal;Surinamers;2003/'04;10730.0;420.0;4.0
67;Woongemeente;Nederland totaal;Leerjaren 1-2 totaal;Antillianen en Arubanen;2003/'04;4350.0;200.0;5.0
68;Woongemeente;Nederland totaal;Leerjaren 1-2 totaal;Overig niet-westerse allochtonen;2003/'04;20110.0;1370.0;7.0
69;Woongemeente;Nederland totaal;Leerjaren 1-2 totaal;Herkomst onbekend;2003/'04;1110.0;80.0;7.0
70;Woongemeente;Nederland totaal;Vmbo leerjaar 3-4 totaal;Totaal herkomstgroeperingen;2003/'04;210390.0;9560.0;5.0
71;Woongemeente;Nederland totaal;Vmbo leerjaar 3-4 totaal;Autochtonen;2003/'04;158550.0;6640.0;4.0
72;Woongemeente;Nederland totaal;Vmbo leerjaar 3-4 totaal;Niet-westerse allochtonen;2003/'04;38690.0;2210.0;6.0
73;Woongemeente;Nederland totaal;Vmbo leerjaar 3-4 totaal;Westerse allochtonen;2003/'04;12860.0;690.0;5.0
74;Woongemeente;Nederland totaal;Vmbo leerjaar 3-4 totaal;Turken;2003/'04;9370.0;580.0;6.0
75;Woongemeente;Nederland totaal;Vmbo leerjaar 3-4 totaal;Marokkanen;2003/'04;8530.0;420.0;5.0
76;Woongemeente;Nederland totaal;Vmbo leerjaar 3-4 totaal;Surinamers;2003/'04;7860.0;490.0;6.0
77;Woongemeente;Nederland totaal;Vmbo leerjaar 3-4 totaal;Antillianen en Arubanen;2003/'04;2910.0;150.0;5.0
78;Woongemeente;Nederland totaal;Vmbo leerjaar 3-4 totaal;Overig niet-westerse allochtonen;2003/'04;10010.0;570.0;6.0
79;Woongemeente;Nederland totaal;Vmbo leerjaar 3-4 totaal;Herkomst onbekend;2003/'04;290.0;20.0;7.0
80;Woongemeente;Nederland totaal;Havo leerjaar 3-5 totaal;Totaal herkomstgroeperingen;2003/'04;134720.0;13400.0;10.0
81;Woongemeente;Nederland totaal;Havo leerjaar 3-5 totaal;Autochtonen;2003/'04;110580.0;10430.0;9.0
82;Woongemeente;Nederland totaal;Havo leerjaar 3-5 totaal;Niet-westerse allochtonen;2003/'04;14340.0;1840.0;13.0
83;Woongemeente;Nederland totaal;Havo leerjaar 3-5 totaal;Westerse allochtonen;2003/'04;9540.0;1100.0;12.0
84;Woongemeente;Nederland totaal;Havo leerjaar 3-5 totaal;Turken;2003/'04;2580.0;400.0;15.0
85;Woongemeente;Nederland totaal;Havo leerjaar 3-5 totaal;Marokkanen;2003/'04;2140.0;270.0;12.0
86;Woongemeente;Nederland totaal;Havo leerjaar 3-5 totaal;Surinamers;2003/'04;3140.0;440.0;14.0
87;Woongemeente;Nederland totaal;Havo leerjaar 3-5 totaal;Antillianen en Arubanen;2003/'04;980.0;140.0;14.0
88;Woongemeente;Nederland totaal;Havo leerjaar 3-5 totaal;Overig niet-westerse allochtonen;2003/'04;5500.0;600.0;11.0
89;Woongemeente;Nederland totaal;Havo leerjaar 3-5 totaal;Herkomst onbekend;2003/'04;260.0;20.0;9.0
90;Woongemeente;Nederland totaal;Vwo leerjaar 3-6 totaal;Totaal herkomstgroeperingen;2003/'04;136300.0;8340.0;6.0
91;Woongemeente;Nederland totaal;Vwo leerjaar 3-6 totaal;Autochtonen;2003/'04;113480.0;6580.0;6.0
92;Woongemeente;Nederland totaal;Vwo leerjaar 3-6 totaal;Niet-westerse allochtonen;2003/'04;11500.0;960.0;8.0
93;Woongemeente;Nederland totaal;Vwo leerjaar 3-6 totaal;Westerse allochtonen;2003/'04;11120.0;780.0;7.0
94;Woongemeente;Nederland totaal;Vwo leerjaar 3-6 totaal;Turken;2003/'04;1450.0;150.0;10.0
95;Woongemeente;Nederland totaal;Vwo leerjaar 3-6 totaal;Marokkanen;2003/'04;1230.0;100.0;8.0
96;Woongemeente;Nederland totaal;Vwo leerjaar 3-6 totaal;Surinamers;2003/'04;2350.0;220.0;9.0
97;Woongemeente;Nederland totaal;Vwo leerjaar 3-6 totaal;Antillianen en Arubanen;2003/'04;940.0;60.0;6.0
98;Woongemeente;Nederland totaal;Vwo leerjaar 3-6 totaal;Overig niet-westerse allochtonen;2003/'04;5530.0;430.0;8.0
99;Woongemeente;Nederland totaal;Vwo leerjaar 3-6 totaal;Herkomst onbekend;2003/'04;200.0;10.0;6.0
100;Woongemeente;Nederland totaal;Vmbo-1;Totaal herkomstgroeperingen;2003/'04;39710.0;1890.0;5.0
101;Woongemeente;Nederland totaal;Vmbo-1;Autochtonen;2003/'04;26580.0;1010.0;4.0
102;Woongemeente;Nederland totaal;Vmbo-1;Niet-westerse allochtonen;2003/'04;10410.0;690.0;7.0
103;Woongemeente;Nederland totaal;Vmbo-1;Westerse allochtonen;2003/'04;2390.0;160.0;7.0
104;Woongemeente;Nederland totaal;Vmbo-1;Turken;2003/'04;2460.0;120.0;5.0
105;Woongemeente;Nederland totaal;Vmbo-1;Marokkanen;2003/'04;2270.0;130.0;6.0
106;Woongemeente;Nederland totaal;Vmbo-1;Surinamers;2003/'04;1510.0;60.0;4.0
107;Woongemeente;Nederland totaal;Vmbo-1;Antillianen en Arubanen;2003/'04;770.0;40.0;5.0
108;Woongemeente;Nederland totaal;Vmbo-1;Overig niet-westerse allochtonen;2003/'04;3410.0;350.0;10.0
109;Woongemeente;Nederland totaal;Vmbo-1;Herkomst onbekend;2003/'04;330.0;20.0;6.0
110;Woongemeente;Nederland totaal;Vmbo/havo/vwo-1;Totaal herkomstgroeperingen;2003/'04;56640.0;1390.0;2.0
111;Woongemeente;Nederland totaal;Vmbo/havo/vwo-1;Autochtonen;2003/'04;43060.0;490.0;1.0
112;Woongemeente;Nederland totaal;Vmbo/havo/vwo-1;Niet-westerse allochtonen;2003/'04;10090.0;730.0;7.0
113;Woongemeente;Nederland totaal;Vmbo/havo/vwo-1;Westerse allochtonen;2003/'04;3300.0;150.0;4.0
114;Woongemeente;Nederland totaal;Vmbo/havo/vwo-1;Turken;2003/'04;2360.0;150.0;6.0
115;Woongemeente;Nederland totaal;Vmbo/havo/vwo-1;Marokkanen;2003/'04;2010.0;190.0;9.0
116;Woongemeente;Nederland totaal;Vmbo/havo/vwo-1;Surinamers;2003/'04;1590.0;30.0;2.0
117;Woongemeente;Nederland totaal;Vmbo/havo/vwo-1;Antillianen en Arubanen;2003/'04;680.0;20.0;2.0
118;Woongemeente;Nederland totaal;Vmbo/havo/vwo-1;Overig niet-westerse allochtonen;2003/'04;3460.0;350.0;10.0
119;Woongemeente;Nederland totaal;Vmbo/havo/vwo-1;Herkomst onbekend;2003/'04;190.0;20.0;10.0
120;Woongemeente;Nederland totaal;Vmbo-t/havo/vwo-1;Totaal herkomstgroeperingen;2003/'04;96660.0;1470.0;2.0
121;Woongemeente;Nederland totaal;Vmbo-t/havo/vwo-1;Autochtonen;2003/'04;78050.0;930.0;1.0
122;Woongemeente;Nederland totaal;Vmbo-t/havo/vwo-1;Niet-westerse allochtonen;2003/'04;11450.0;370.0;3.0
123;Woongemeente;Nederland totaal;Vmbo-t/havo/vwo-1;Westerse allochtonen;2003/'04;6970.0;150.0;2.0
124;Woongemeente;Nederland totaal;Vmbo-t/havo/vwo-1;Turken;2003/'04;2310.0;70.0;3.0
125;Woongemeente;Nederland totaal;Vmbo-t/havo/vwo-1;Marokkanen;2003/'04;1950.0;60.0;3.0
126;Woongemeente;Nederland totaal;Vmbo-t/havo/vwo-1;Surinamers;2003/'04;2170.0;50.0;2.0
127;Woongemeente;Nederland totaal;Vmbo-t/havo/vwo-1;Antillianen en Arubanen;2003/'04;760.0;20.0;3.0
128;Woongemeente;Nederland totaal;Vmbo-t/havo/vwo-1;Overig niet-westerse allochtonen;2003/'04;4270.0;180.0;4.0
129;Woongemeente;Nederland totaal;Vmbo-t/havo/vwo-1;Herkomst onbekend;2003/'04;200.0;10.0;7.0
130;Woongemeente;Nederland totaal;Vmbo-2;Totaal herkomstgroeperingen;2003/'04;52780.0;2910.0;6.0
131;Woongemeente;Nederland totaal;Vmbo-2;Autochtonen;2003/'04;37770.0;1980.0;5.0
132;Woongemeente;Nederland totaal;Vmbo-2;Niet-westerse allochtonen;2003/'04;11580.0;710.0;6.0
133;Woongemeente;Nederland totaal;Vmbo-2;Westerse allochtonen;2003/'04;3280.0;210.0;7.0
134;Woongemeente;Nederland totaal;Vmbo-2;Turken;2003/'04;2950.0;170.0;6.0
135;Woongemeente;Nederland totaal;Vmbo-2;Marokkanen;2003/'04;2750.0;150.0;5.0
136;Woongemeente;Nederland totaal;Vmbo-2;Surinamers;2003/'04;1860.0;120.0;7.0
137;Woongemeente;Nederland totaal;Vmbo-2;Antillianen en Arubanen;2003/'04;840.0;50.0;6.0
138;Woongemeente;Nederland totaal;Vmbo-2;Overig niet-westerse allochtonen;2003/'04;3180.0;210.0;7.0
139;Woongemeente;Nederland totaal;Vmbo-2;Herkomst onbekend;2003/'04;150.0;10.0;8.0
140;Woongemeente;Nederland totaal;Vmbo/havo/vwo-2;Totaal herkomstgroeperingen;2003/'04;50020.0;1660.0;3.0
141;Woongemeente;Nederland totaal;Vmbo/havo/vwo-2;Autochtonen;2003/'04;38830.0;1140.0;3.0
142;Woongemeente;Nederland totaal;Vmbo/havo/vwo-2;Niet-westerse allochtonen;2003/'04;8190.0;390.0;5.0
143;Woongemeente;Nederland totaal;Vmbo/havo/vwo-2;Westerse allochtonen;2003/'04;2900.0;130.0;4.0
144;Woongemeente;Nederland totaal;Vmbo/havo/vwo-2;Turken;2003/'04;1980.0;110.0;5.0
145;Woongemeente;Nederland totaal;Vmbo/havo/vwo-2;Marokkanen;2003/'04;1630.0;90.0;5.0
146;Woongemeente;Nederland totaal;Vmbo/havo/vwo-2;Surinamers;2003/'04;1640.0;40.0;2.0
147;Woongemeente;Nederland totaal;Vmbo/havo/vwo-2;Antillianen en Arubanen;2003/'04;570.0;30.0;5.0
148;Woongemeente;Nederland totaal;Vmbo/havo/vwo-2;Overig niet-westerse allochtonen;2003/'04;2370.0;130.0;6.0
149;Woongemeente;Nederland totaal;Vmbo/havo/vwo-2;Herkomst onbekend;2003/'04;90.0;;
150;Woongemeente;Nederland totaal;Vmbo-t/havo/vwo-2;Totaal herkomstgroeperingen;2003/'04;85330.0;3140.0;4.0
151;Woongemeente;Nederland totaal;Vmbo-t/havo/vwo-2;Autochtonen;2003/'04;69880.0;2380.0;3.0
152;Woongemeente;Nederland totaal;Vmbo-t/havo/vwo-2;Niet-westerse allochtonen;2003/'04;9150.0;480.0;5.0
153;Woongemeente;Nederland totaal;Vmbo-t/havo/vwo-2;Westerse allochtonen;2003/'04;6150.0;270.0;4.0
154;Woongemeente;Nederland totaal;Vmbo-t/havo/vwo-2;Turken;2003/'04;1670.0;90.0;5.0
155;Woongemeente;Nederland totaal;Vmbo-t/havo/vwo-2;Marokkanen;2003/'04;1360.0;80.0;6.0
156;Woongemeente;Nederland totaal;Vmbo-t/havo/vwo-2;Surinamers;2003/'04;1970.0;120.0;6.0
157;Woongemeente;Nederland totaal;Vmbo-t/havo/vwo-2;Antillianen en Arubanen;2003/'04;730.0;40.0;6.0
158;Woongemeente;Nederland totaal;Vmbo-t/havo/vwo-2;Overig niet-westerse allochtonen;2003/'04;3430.0;150.0;4.0
159;Woongemeente;Nederland totaal;Vmbo-t/havo/vwo-2;Herkomst onbekend;2003/'04;150.0;10.0;7.0
160;Woongemeente;Nederland totaal;Havo/vwo-3 totaal;Totaal herkomstgroeperingen;2003/'04;80870.0;5500.0;7.0
161;Woongemeente;Nederland totaal;Havo/vwo-3 totaal;Autochtonen;2003/'04;66670.0;4320.0;6.0
162;Woongemeente;Nederland totaal;Havo/vwo-3 totaal;Niet-westerse allochtonen;2003/'04;8030.0;700.0;9.0
163;Woongemeente;Nederland totaal;Havo/vwo-3 totaal;Westerse allochtonen;2003/'04;6040.0;480.0;8.0
164;Woongemeente;Nederland totaal;Havo/vwo-3 totaal;Turken;2003/'04;1340.0;120.0;9.0
165;Woongemeente;Nederland totaal;Havo/vwo-3 totaal;Marokkanen;2003/'04;1090.0;120.0;11.0
166;Woongemeente;Nederland totaal;Havo/vwo-3 totaal;Surinamers;2003/'04;1670.0;160.0;10.0
167;Woongemeente;Nederland totaal;Havo/vwo-3 totaal;Antillianen en Arubanen;2003/'04;580.0;50.0;9.0
168;Woongemeente;Nederland totaal;Havo/vwo-3 totaal;Overig niet-westerse allochtonen;2003/'04;3350.0;240.0;7.0
169;Woongemeente;Nederland totaal;Havo/vwo-3 totaal;Herkomst onbekend;2003/'04;130.0;10.0;10.0
170;Woongemeente;Nederland totaal;Havo/vwo-4 totaal;Totaal herkomstgroeperingen;2003/'04;85760.0;10710.0;12.0
171;Woongemeente;Nederland totaal;Havo/vwo-4 totaal;Autochtonen;2003/'04;70430.0;8490.0;12.0
172;Woongemeente;Nederland totaal;Havo/vwo-4 totaal;Niet-westerse allochtonen;2003/'04;8670.0;1300.0;15.0
173;Woongemeente;Nederland totaal;Havo/vwo-4 totaal;Westerse allochtonen;2003/'04;6520.0;910.0;14.0
174;Woongemeente;Nederland totaal;Havo/vwo-4 totaal;Turken;2003/'04;1470.0;270.0;18.0
175;Woongemeente;Nederland totaal;Havo/vwo-4 totaal;Marokkanen;2003/'04;1170.0;150.0;13.0
176;Woongemeente;Nederland totaal;Havo/vwo-4 totaal;Surinamers;2003/'04;1810.0;310.0;17.0
177;Woongemeente;Nederland totaal;Havo/vwo-4 totaal;Antillianen en Arubanen;2003/'04;610.0;90.0;15.0
178;Woongemeente;Nederland totaal;Havo/vwo-4 totaal;Overig niet-westerse allochtonen;2003/'04;3610.0;480.0;13.0
179;Woongemeente;Nederland totaal;Havo/vwo-4 totaal;Herkomst onbekend;2003/'04;140.0;20.0;11.0
180;Woongemeente;Nederland totaal;Algemeen leerjaar 3;Totaal herkomstgroeperingen;2003/'04;6170.0;760.0;12.0
181;Woongemeente;Nederland totaal;Algemeen leerjaar 3;Autochtonen;2003/'04;4960.0;580.0;12.0
182;Woongemeente;Nederland totaal;Algemeen leerjaar 3;Niet-westerse allochtonen;2003/'04;670.0;90.0;14.0
183;Woongemeente;Nederland totaal;Algemeen leerjaar 3;Westerse allochtonen;2003/'04;540.0;90.0;16.0
184;Woongemeente;Nederland totaal;Algemeen leerjaar 3;Turken;2003/'04;70.0;10.0;15.0
185;Woongemeente;Nederland totaal;Algemeen leerjaar 3;Marokkanen;2003/'04;90.0;20.0;22.0
186;Woongemeente;Nederland totaal;Algemeen leerjaar 3;Surinamers;2003/'04;160.0;20.0;11.0
187;Woongemeente;Nederland totaal;Algemeen leerjaar 3;Antillianen en Arubanen;2003/'04;60.0;;
188;Woongemeente;Nederland totaal;Algemeen leerjaar 3;Overig niet-westerse allochtonen;2003/'04;290.0;40.0;13.0
189;Woongemeente;Nederland totaal;Algemeen leerjaar 3;Herkomst onbekend;2003/'04;;;
190;Woongemeente;Nederland totaal;Vwo-3;Totaal herkomstgroeperingen;2003/'04;37450.0;1320.0;4.0
191;Woongemeente;Nederland totaal;Vwo-3;Autochtonen;2003/'04;31210.0;1040.0;3.0
192;Woongemeente;Nederland totaal;Vwo-3;Niet-westerse allochtonen;2003/'04;3280.0;140.0;4.0
193;Woongemeente;Nederland totaal;Vwo-3;Westerse allochtonen;2003/'04;2930.0;140.0;5.0
194;Woongemeente;Nederland totaal;Vwo-3;Turken;2003/'04;460.0;10.0;2.0
195;Woongemeente;Nederland totaal;Vwo-3;Marokkanen;2003/'04;370.0;20.0;6.0
196;Woongemeente;Nederland totaal;Vwo-3;Surinamers;2003/'04;650.0;30.0;5.0
197;Woongemeente;Nederland totaal;Vwo-3;Antillianen en Arubanen;2003/'04;260.0;;
198;Woongemeente;Nederland totaal;Vwo-3;Overig niet-westerse allochtonen;2003/'04;1550.0;70.0;4.0
199;Woongemeente;Nederland totaal;Vwo-3;Herkomst onbekend;2003/'04;30.0;;
200;Woongemeente;Nederland totaal;Vwo-4;Totaal herkomstgroeperingen;2003/'04;35610.0;3630.0;10.0
201;Woongemeente;Nederland totaal;Vwo-4;Autochtonen;2003/'04;29560.0;2900.0;10.0
202;Woongemeente;Nederland totaal;Vwo-4;Niet-westerse allochtonen;2003/'04;3110.0;410.0;13.0
203;Woongemeente;Nederland totaal;Vwo-4;Westerse allochtonen;2003/'04;2900.0;320.0;11.0
204;Woongemeente;Nederland totaal;Vwo-4;Turken;2003/'04;410.0;70.0;17.0
205;Woongemeente;Nederland totaal;Vwo-4;Marokkanen;2003/'04;350.0;50.0;14.0
206;Woongemeente;Nederland totaal;Vwo-4;Surinamers;2003/'04;630.0;100.0;16.0
207;Woongemeente;Nederland totaal;Vwo-4;Antillianen en Arubanen;2003/'04;250.0;20.0;9.0
208;Woongemeente;Nederland totaal;Vwo-4;Overig niet-westerse allochtonen;2003/'04;1470.0;160.0;11.0
209;Woongemeente;Nederland totaal;Vwo-4;Herkomst onbekend;2003/'04;40.0;;
210;Woongemeente;Nederland totaal;Vwo-5;Totaal herkomstgroeperingen;2003/'04;33470.0;2560.0;8.0
211;Woongemeente;Nederland totaal;Vwo-5;Autochtonen;2003/'04;27840.0;2040.0;7.0
212;Woongemeente;Nederland totaal;Vwo-5;Niet-westerse allochtonen;2003/'04;2710.0;270.0;10.0
213;Woongemeente;Nederland totaal;Vwo-5;Westerse allochtonen;2003/'04;2840.0;240.0;9.0
214;Woongemeente;Nederland totaal;Vwo-5;Turken;2003/'04;320.0;40.0;13.0
215;Woongemeente;Nederland totaal;Vwo-5;Marokkanen;2003/'04;260.0;20.0;7.0
216;Woongemeente;Nederland totaal;Vwo-5;Surinamers;2003/'04;540.0;50.0;10.0
217;Woongemeente;Nederland totaal;Vwo-5;Antillianen en Arubanen;2003/'04;240.0;20.0;8.0
218;Woongemeente;Nederland totaal;Vwo-5;Overig niet-westerse allochtonen;2003/'04;1350.0;140.0;10.0
219;Woongemeente;Nederland totaal;Vwo-5;Herkomst onbekend;2003/'04;80.0;;
220;Woongemeente;Nederland totaal;Vwo-6;Totaal herkomstgroeperingen;2003/'04;29770.0;820.0;3.0
221;Woongemeente;Nederland totaal;Vwo-6;Autochtonen;2003/'04;24870.0;590.0;2.0
222;Woongemeente;Nederland totaal;Vwo-6;Niet-westerse allochtonen;2003/'04;2390.0;150.0;6.0
223;Woongemeente;Nederland totaal;Vwo-6;Westerse allochtonen;2003/'04;2450.0;80.0;3.0
224;Woongemeente;Nederland totaal;Vwo-6;Turken;2003/'04;260.0;20.0;9.0
225;Woongemeente;Nederland totaal;Vwo-6;Marokkanen;2003/'04;250.0;10.0;6.0
226;Woongemeente;Nederland totaal;Vwo-6;Surinamers;2003/'04;530.0;40.0;7.0
227;Woongemeente;Nederland totaal;Vwo-6;Antillianen en Arubanen;2003/'04;200.0;;
228;Woongemeente;Nederland totaal;Vwo-6;Overig niet-westerse allochtonen;2003/'04;1160.0;70.0;6.0
229;Woongemeente;Nederland totaal;Vwo-6;Herkomst onbekend;2003/'04;50.0;;
230;Woongemeente;Nederland totaal;Havo-3;Totaal herkomstgroeperingen;2003/'04;37250.0;3420.0;9.0
231;Woongemeente;Nederland totaal;Havo-3;Autochtonen;2003/'04;30500.0;2700.0;9.0
232;Woongemeente;Nederland totaal;Havo-3;Niet-westerse allochtonen;2003/'04;4080.0;470.0;11.0
233;Woongemeente;Nederland totaal;Havo-3;Westerse allochtonen;2003/'04;2570.0;250.0;10.0
234;Woongemeente;Nederland totaal;Havo-3;Turken;2003/'04;810.0;100.0;12.0
235;Woongemeente;Nederland totaal;Havo-3;Marokkanen;2003/'04;630.0;80.0;13.0
236;Woongemeente;Nederland totaal;Havo-3;Surinamers;2003/'04;860.0;110.0;13.0
237;Woongemeente;Nederland totaal;Havo-3;Antillianen en Arubanen;2003/'04;270.0;40.0;14.0
238;Woongemeente;Nederland totaal;Havo-3;Overig niet-westerse allochtonen;2003/'04;1510.0;140.0;9.0
