ID;Perioden;TotaalBeroepOpAandelenmarkt_1;TotaalOpenbareEmissieAandelen_2;DoorFinancieleInstellingen_3;DoorBeleggingsfondsen_4;DoorVastgoedfondsen_5;DoorOverigeOndernemingen_6;TotaalOnderhandsePlaatsing_7;DoorFinancieleInstellingen_8;DoorBeleggingsfondsen_9;DoorVastgoedfondsen_10;DoorOverigeOndernemingen_11;TotaalBeroepOpDeObligatiemarkt_12;TotaalUitgifteObligaties_13;DoorOverheid_14;TotaalDoorFinancieleInstellingen_15;ViaConverteerbareObligaties_16;TotaalDoorOverigeOndernemingen_17;ViaConverteerbareObligaties_18;DoorSectorBuitenland_19;UitgiftePandBankEnSpaarbrieven_20
17;2000 juni;1610;1212;0;332;0;880;397;0;0;0;397;12418;11882;1704;3431;0;6745;690;0;536
18;2000 juli;1090;818;0;719;45;53;272;68;0;29;174;1539;1469;0;969;0;0;0;500;69
19;2000 augustus;1917;1865;0;1858;7;0;51;42;0;0;9;3517;3065;0;2070;0;995;0;0;451
20;2000 september;2238;1985;0;1331;42;612;253;0;0;40;212;5221;5221;2431;1789;0;1000;0;0;0
21;2000 oktober;3239;3237;0;2661;47;527;2;0;0;0;2;7740;7740;0;2680;0;5060;0;0;0
22;2000 november;5151;5139;0;849;3;4286;11;1;0;0;9;6600;6268;2234;2331;249;1702;1500;0;331
23;2000 december;986;947;0;233;277;436;39;0;0;0;39;1959;1959;0;1959;0;0;0;0;0
24;2001 januari;446;428;0;413;14;0;17;0;0;0;17;2688;2688;2086;529;0;71;0;0;0
25;2001 februari;637;637;0;631;5;0;0;0;0;0;0;5794;5475;0;5475;0;0;0;0;319
26;2001 maart;2023;1808;0;1040;58;708;215;34;0;16;164;4938;4402;2523;1879;0;0;0;0;535
27;2001 april;2232;1597;0;1589;7;0;634;15;526;0;93;5586;5511;2537;2974;0;0;0;0;75
28;2001 mei;2894;1418;0;716;0;701;1475;4;0;0;1471;11699;11492;1837;6033;0;3622;1149;0;206
29;2001 juni;3446;1731;0;1730;1;0;1716;1705;0;0;11;9751;9715;1993;5627;0;2096;0;0;35
30;2001 juli;2590;2452;0;2446;6;0;138;9;0;3;126;7255;7255;2360;2895;0;2000;0;0;0
31;2001 augustus;593;550;0;549;1;0;43;0;0;0;43;1204;1107;0;1107;0;0;0;0;98
32;2001 september;3738;1082;0;970;112;0;2656;0;0;19;2637;5850;5850;2170;2563;0;1116;0;0;0
33;2001 oktober;592;567;0;433;0;134;25;0;0;5;21;7588;7566;2184;5381;0;0;0;0;22
34;2001 november;2343;2331;0;2259;72;0;11;0;0;8;4;6978;6846;2119;4002;0;725;700;0;132
35;2001 december;6155;6139;0;1074;0;5065;15;0;0;0;15;20488;20488;0;18377;0;2111;0;0;0
36;2002 januari;440;290;0;287;3;0;151;1;114;0;35;7142;7012;2192;4821;0;0;0;0;130
37;2002 februari;322;171;0;167;5;0;150;133;0;6;12;3314;3267;2505;763;0;0;0;0;47
38;2002 maart;1380;54;0;41;14;0;1326;0;0;3;1323;5383;5383;2411;2743;51;229;0;0;0
39;2002 april;513;422;0;420;1;0;91;6;0;25;61;6029;5806;2463;3129;0;214;144;0;223
40;2002 mei;968;831;0;435;131;265;137;2;0;77;58;7605;7605;2448;2083;0;3074;0;0;0
41;2002 juni;192;191;0;41;0;150;1;0;0;0;1;4172;4172;0;4172;51;0;0;0;0
42;2002 juli;3533;3243;0;2888;219;136;290;0;0;0;290;6815;6775;2473;4210;0;93;0;0;40
43;2002 augustus;382;138;0;136;2;0;244;0;0;0;244;936;532;0;232;0;300;0;0;403
44;2002 september;876;872;0;871;1;0;3;0;0;0;3;6677;6677;2856;2821;0;1000;0;0;0
45;2002 oktober;981;434;0;431;4;0;546;0;0;532;14;6065;5992;2722;3188;0;82;0;0;73
46;2002 november;53;46;0;46;0;0;7;0;0;0;7;4631;4617;2545;2072;0;0;0;0;13
47;2002 december;561;526;0;278;1;247;35;0;0;0;35;11366;11366;0;10601;0;764;0;0;0
48;2003 januari;1188;1181;0;895;286;0;7;0;0;0;7;8410;8391;3412;4852;0;127;0;0;19
49;2003 februari;1655;1653;0;1653;0;1;2;0;0;0;2;7570;7540;3144;4246;0;150;0;0;30
50;2003 maart;525;518;0;518;0;0;7;0;0;0;7;5012;5012;3063;1898;0;50;0;0;0
51;2003 april;348;336;0;322;13;0;12;0;0;0;12;9307;9299;3437;5565;0;298;0;0;8
52;2003 mei;366;347;0;347;0;0;20;0;0;0;20;8209;8112;3081;4700;0;331;0;0;98
53;2003 juni;1591;1092;0;1089;2;0;500;485;0;0;15;12678;12678;3520;7333;0;1826;0;0;0
54;2003 juli;907;894;0;872;22;0;13;0;0;0;13;12008;12004;7536;3782;0;685;345;0;4
55;2003 augustus;420;412;0;410;1;0;8;0;0;0;8;370;326;0;326;0;0;0;0;45
56;2003 september;284;65;0;65;0;0;219;0;0;0;219;11171;11171;2875;8246;0;50;0;0;0
57;2003 oktober;1169;1162;0;1156;3;4;7;0;0;0;7;9106;8973;1914;7060;0;0;0;0;133
58;2003 november;481;480;0;467;13;0;0;0;0;0;0;7652;7652;2254;4601;0;797;100;0;0
59;2003 december;3289;3269;0;251;1;3017;21;0;0;1;20;8969;8969;0;8854;0;115;115;0;0
60;2004 januari;959;900;0;888;12;0;59;51;0;0;9;8806;8777;3449;5329;0;0;0;0;28
61;2004 februari;1012;941;0;231;10;700;72;0;0;0;72;9602;9602;1709;7743;0;150;150;0;0
62;2004 maart;483;377;0;377;0;0;106;1;0;102;3;10237;10237;7354;2883;0;0;0;0;0
63;2004 april;1255;1015;0;806;20;190;239;0;0;0;239;5476;5377;1494;3883;0;0;0;0;99
64;2004 mei;248;226;0;226;0;0;22;14;0;0;8;2810;2806;1641;1165;0;0;0;0;4
65;2004 juni;126;30;0;18;0;13;96;56;0;0;40;11174;11174;1655;9518;0;0;0;0;0
66;2004 juli;430;394;0;237;7;150;37;0;0;0;37;6538;6538;2263;4275;0;0;0;0;0
67;2004 augustus;521;510;0;510;0;0;11;0;0;0;11;458;455;0;455;0;0;0;0;3
68;2004 september;266;210;0;177;34;0;56;0;0;0;56;9839;9745;3003;6717;0;25;0;0;94
69;2004 oktober;74;58;0;42;16;0;16;0;0;0;16;13063;13063;7988;4923;0;152;125;0;0
70;2004 november;6065;1893;148;1483;62;200;4172;0;0;8;4164;8262;8260;1739;6504;0;18;0;0;2
71;2004 december;186;63;0;22;1;39;123;37;0;0;86;6814;6749;0;6616;0;133;111;0;65
72;2005 januari;297;284;0;266;19;0;13;0;0;0;13;7896;7896;2635;5251;0;11;0;0;0
73;2005 februari;335;327;0;288;39;0;8;0;0;0;8;9434;9416;3357;6032;0;27;0;0;18
74;2005 maart;639;572;0;318;16;239;67;0;0;0;67;7873;7873;2293;5567;0;13;0;0;0
75;2005 april;4448;504;0;93;6;404;3944;2518;0;81;1346;13694;13694;7448;6121;0;125;125;0;0
76;2005 mei;810;735;0;701;34;0;75;0;0;0;75;13172;13172;2248;10923;0;0;0;0;0
77;2005 juni;930;372;0;369;4;0;558;201;0;0;357;20236;20236;7794;11049;0;1393;0;0;0
78;2005 juli;527;469;0;461;8;0;58;3;0;0;55;3462;3462;1528;1934;0;0;0;0;0
79;2005 augustus;131;121;0;121;0;0;11;0;0;0;11;2572;2572;0;2572;0;0;0;0;0
80;2005 september;800;559;0;559;0;0;241;0;0;0;241;10819;10819;2014;7957;0;848;100;0;0
81;2005 oktober;692;680;0;671;8;0;12;0;0;0;12;6951;6951;1515;5435;0;0;0;0;0
82;2005 november;2443;1686;0;1462;90;134;757;0;0;39;718;6805;6805;2057;4449;0;298;0;0;0
83;2005 december;844;795;0;742;44;9;50;0;0;0;50;3960;3960;0;3960;0;0;0;0;0
84;2006 januari;1309;1293;0;1209;83;0;16;15;0;0;1;10284;10284;1925;8109;0;250;0;0;0
85;2006 februari;705;301;0;288;13;0;404;0;0;0;404;12971;12971;2285;10686;0;0;0;0;0
86;2006 maart;491;416;0;394;23;0;74;0;0;0;74;7694;7694;1914;4537;0;1244;0;0;0
87;2006 april;542;538;0;520;18;0;4;3;0;0;2;7322;7322;1965;5357;0;0;0;0;0
88;2006 mei;1044;821;416;386;18;0;223;0;0;0;223;6708;6708;1734;4974;0;0;0;0;0
89;2006 juni;277;235;0;221;15;0;42;0;0;0;42;8397;8397;0;7400;0;997;0;0;0
90;2006 juli;1148;1137;0;1083;54;0;11;4;0;0;7;6033;6033;5062;971;0;0;0;0;0
91;2006 augustus;360;319;0;285;34;0;41;0;0;0;41;4084;4084;0;4084;0;0;0;0;0
92;2006 september;439;409;0;313;96;0;30;2;0;0;28;14018;14018;2214;11804;0;0;0;0;0
93;2006 oktober;755;680;0;483;27;170;75;0;0;0;75;9724;9724;2801;6923;0;0;0;0;0
94;2006 november;851;701;0;665;30;6;150;0;0;0;150;15576;15576;1590;12989;0;998;0;0;0
95;2006 december;985;922;0;886;36;0;63;59;0;0;4;5971;5971;0;5971;0;0;0;0;0
96;2007 januari;617;428;0;384;44;0;189;7;0;0;181;8808;8808;1418;7390;0;0;0;0;0
97;2007 februari;1035;867;0;736;131;0;168;0;0;50;118;10712;10712;0;10712;0;0;0;0;0
98;2007 maart;1004;866;0;589;22;255;138;77;0;0;61;14229;14229;2883;11346;0;0;0;0;0
99;2007 april;1152;901;0;800;101;0;251;145;0;0;106;6177;6177;0;6177;0;0;0;0;0
100;2007 mei;400;357;0;344;13;0;43;7;0;0;36;8117;8117;2576;3789;0;1752;0;0;0
101;2007 juni;2397;999;350;482;47;120;1398;42;0;0;1355;16105;15955;1978;13926;0;50;0;0;151
102;2007 juli;1601;1477;115;944;59;358;124;0;0;0;124;7643;7643;6018;1625;0;0;0;0;0
103;2007 augustus;342;287;0;286;1;0;54;0;0;0;54;5457;5457;0;5457;0;0;0;0;0
104;2007 september;143;125;0;121;4;0;18;6;0;0;12;11007;11007;3597;7410;0;0;0;0;0
105;2007 oktober;14192;13767;13443;312;12;0;425;396;0;0;29;9761;9761;0;8949;0;812;0;0;0
106;2007 november;832;825;24;792;8;0;7;0;0;0;7;8881;8881;2620;3627;0;2634;0;0;0
107;2007 december;1289;695;385;288;22;0;594;0;0;7;586;43958;43958;0;43958;0;0;0;0;0
108;2008 januari;829;260;0;102;158;0;569;468;0;0;101;8455;8455;3223;5232;0;0;0;0;0
109;2008 februari;714;604;0;544;60;0;110;0;0;0;110;9222;9222;6465;2757;0;0;0;0;0
110;2008 maart;228;225;0;209;16;0;3;0;0;0;3;3263;3263;0;3263;0;0;0;0;0
111;2008 april;605;469;0;430;39;0;136;110;0;3;23;8571;8571;3187;4536;0;849;0;0;0
112;2008 mei;721;707;0;694;13;0;14;5;0;0;10;10739;10739;0;9990;0;749;0;0;0
113;2008 juni;1945;401;0;395;6;0;1544;1537;0;0;7;13588;13588;1885;11626;0;77;0;0;0
114;2008 juli;19;7;0;7;0;0;12;0;0;0;12;3014;3014;2003;1011;0;0;0;0;0
115;2008 augustus;311;267;0;245;21;0;45;0;0;0;45;4844;4844;0;4281;0;563;0;0;0
116;2008 september;1079;1067;0;1049;12;6;12;0;0;0;12;5324;5324;2048;2247;0;1029;0;0;0
117;2008 oktober;517;502;0;499;3;0;15;0;0;0;15;1945;1945;0;948;0;997;0;0;0
118;2008 november;302;300;0;296;4;0;2;0;0;0;2;10064;10064;7301;2065;0;697;0;0;0
119;2008 december;465;303;0;253;50;0;162;0;0;0;162;37472;37472;2892;34062;0;518;0;0;0
120;2009 januari;264;256;0;232;24;0;9;0;0;0;9;16480;16480;6166;10315;0;0;0;0;0
121;2009 februari;120;111;0;101;10;0;9;7;0;0;1;19169;19169;7533;10149;0;1487;0;0;0
122;2009 maart;135;129;0;122;7;0;6;0;0;0;6;20977;20977;4574;15162;0;1241;0;0;0
123;2009 april;464;322;0;299;24;0;142;0;0;0;142;15049;15049;3756;11292;0;0;0;0;0
124;2009 mei;435;406;0;393;13;0;29;0;0;0;29;35685;35685;4586;31099;0;0;0;0;0
125;2009 juni;542;255;0;240;15;0;287;1;0;265;21;10142;10142;4037;5786;0;319;0;0;0
126;2009 juli;1211;1057;0;362;8;688;154;0;0;0;154;9776;9776;7489;2287;0;0;0;0;0
127;2009 augustus;1456;973;829;132;13;0;483;0;0;0;483;1980;1980;0;1980;0;0;0;0;0
128;2009 september;673;557;135;395;27;0;116;0;0;76;40;8849;8849;3526;3678;0;1645;0;0;0
129;2009 oktober;638;214;0;205;9;0;424;0;0;0;424;10497;10497;3148;7148;0;200;0;0;0
130;2009 november;725;619;0;418;20;181;106;0;0;100;6;10740;10740;4164;6576;0;0;0;0;0
131;2009 december;8029;7883;7498;200;30;155;146;2;0;0;144;5736;5736;0;5736;0;0;0;0;0
132;2010 januari;127;122;0;108;14;0;5;0;0;0;5;19000;19000;6024;12976;0;0;0;0;0
133;2010 februari;313;304;0;301;2;0;10;0;0;0;10;18398;18339;10349;6495;0;1495;0;0;59
134;2010 maart;1104;1100;0;390;605;104;4;0;0;0;4;20478;20478;4527;15951;0;0;0;0;0
135;2010 april;585;585;0;521;13;51;0;0;0;0;0;13185;13185;4907;8278;0;0;0;0;0
136;2010 mei;295;284;0;284;1;0;11;0;0;0;11;10137;10137;9141;997;0;0;0;0;0
137;2010 juni;4073;896;0;364;59;472;3177;0;0;0;3177;10756;10756;5516;5040;0;200;0;0;0
138;2010 juli;408;393;0;393;0;0;15;0;0;0;15;10577;10577;3695;6883;0;0;0;0;0
139;2010 augustus;224;186;0;186;0;0;38;27;0;0;11;5890;5890;0;5890;0;0;0;0;0
140;2010 september;484;462;0;461;1;0;21;1;0;0;21;23363;23363;2857;19512;0;993;0;0;0
141;2010 oktober;373;338;0;331;7;0;35;0;0;0;34;15931;15931;3229;12701;0;0;0;0;0
142;2010 november;390;388;0;388;0;0;2;0;0;0;2;58384;58384;3442;54942;0;0;0;0;0
143;2010 december;289;256;0;176;0;79;34;0;0;0;34;2556;2556;0;2556;0;0;0;0;0
144;2011 januari;312;306;0;304;3;0;6;0;0;0;6;23845;23845;6167;17678;0;0;0;0;0
145;2011 februari;571;293;0;260;33;0;279;0;0;0;279;16987;16987;1773;14218;0;996;0;0;0
146;2011 maart;1336;1221;903;311;8;0;115;0;0;0;115;17469;17469;9509;7960;0;0;0;0;0
147;2011 april;586;462;0;444;0;18;125;0;0;0;125;19996;19996;4452;15106;0;438;0;0;0
148;2011 mei;2279;1719;0;1713;6;0;560;0;0;0;560;19505;19505;3168;16337;0;0;0;0;0
149;2011 juni;239;219;0;217;2;0;19;0;0;0;19;12015;12015;8588;3428;0;0;0;0;0
150;2011 juli;198;74;0;73;0;0;124;73;0;0;51;17695;17695;5373;12322;0;0;0;0;0
151;2011 augustus;320;316;0;316;0;0;4;0;0;0;4;3788;3788;0;3788;0;0;0;0;0
152;2011 september;374;298;0;298;0;0;76;0;0;0;76;6837;6837;5217;1123;0;497;0;0;0
153;2011 oktober;405;347;0;346;1;0;59;0;0;0;59;26553;26553;5120;21430;0;0;0;0;0
154;2011 november;521;457;0;457;0;0;64;0;0;0;64;7827;7827;4538;3289;0;0;0;0;0
155;2011 december;495;400;0;364;35;0;95;5;0;0;90;4651;4651;0;4650;0;0;0;0;0
156;2012 januari;112;102;2;99;1;0;9;0;0;0;9;23018;23018;5936;16784;0;297;0;0;0
157;2012 februari;89;87;0;87;0;0;2;0;0;0;2;18126;18126;12614;5512;0;0;0;0;0
158;2012 maart;407;305;0;302;2;0;102;19;0;0;83;13801;13801;6837;6216;0;748;0;0;0
159;2012 april;434;337;0;336;0;0;97;0;0;25;72;15219;15219;6273;8946;0;0;0;0;0
160;2012 mei;268;260;0;178;2;80;8;1;0;0;7;9241;9241;6209;3030;0;3;0;0;0
161;2012 juni;354;354;0;151;3;200;0;0;0;0;0;24567;24567;3912;20655;0;0;0;0;0
162;2012 juli;150;142;0;141;0;0;8;0;0;0;8;20447;20447;11163;8786;0;497;0;0;0
163;2012 augustus;273;71;0;71;0;0;202;0;0;0;202;5083;5083;0;4336;0;747;0;0;0
164;2012 september;230;229;0;229;0;0;1;0;0;0;1;28753;28753;6811;21942;0;0;0;0;0
165;2012 oktober;342;314;0;313;1;0;27;0;0;0;27;7769;7769;2900;4368;0;501;0;0;0
166;2012 november;4089;226;0;226;0;0;3864;0;0;0;3864;7458;7458;4682;2280;0;496;0;0;0
167;2012 december;459;158;0;158;0;0;301;0;0;0;301;2492;2492;0;2492;0;0;0;0;0
168;2013 januari;728;549;0;369;1;162;179;2;0;0;177;10516;10516;5677;4839;0;0;0;0;0
169;2013 februari;226;224;0;224;0;0;1;0;0;0;1;9102;9102;2732;6370;0;0;0;0;0
170;2013 maart;310;293;0;293;0;0;17;0;0;0;17;15927;15927;10424;3485;0;2018;0;0;0
171;2013 april;554;525;0;333;2;190;29;0;0;0;29;7605;7605;4684;2921;0;0;0;0;0
172;2013 mei;5725;3269;0;259;0;3009;2457;23;0;0;2434;17483;17483;4077;13405;0;0;0;0;0
173;2013 juni;303;277;0;227;50;0;26;21;0;0;5;12679;12679;9067;3612;0;0;0;0;0
174;2013 juli;360;246;0;206;40;499;114;92;0;0;22;11078;11078;4467;6611;0;0;0;0;0
175;2013 augustus;129;127;0;121;6;12;2;0;0;0;2;3242;3242;0;2495;0;747;0;0;0
176;2013 september;285;275;63;131;34;47;10;6;0;0;4;13192;13192;4492;8700;0;0;0;0;0
177;2013 oktober;314;271;0;253;18;0;43;6;0;0;37;7081;7081;2017;5025;0;40;0;0;0
178;2013 november;668;662;0;272;303;88;6;0;0;0;5;10145;10145;4562;5283;0;300;0;0;0
179;2013 december;212;193;0;192;1;0;19;5;0;0;14;4320;4320;0;4290;0;30;0;0;0
180;2014 januari;2466;2423;0;2417;6;0;43;2;0;0;41;13418;13418;5260;8158;0;0;0;0;0
181;2014 februari;1042;1040;0;78;100;862;1;0;0;0;1;10892;10892;6399;4493;0;0;0;0;0
182;2014 maart;456;451;0;416;15;21;5;2;0;0;3;17578;17578;9903;7177;0;498;0;0;0
183;2014 april;335;223;0;208;15;0;111;111;0;0;1;19380;19380;5087;14293;0;0;0;0;0
184;2014 mei;866;843;0;834;10;0;22;0;0;0;22;11842;11842;5149;6693;0;0;0;0;0
185;2014 juni;1417;1329;0;147;1;1181;88;5;0;0;82;9266;9266;4725;4541;0;0;0;0;0
186;2014 juli;994;174;0;116;9;49;819;1;0;0;818;4396;4396;2556;1840;0;0;0;0;0
187;2014 augustus;201;175;0;171;4;0;26;0;0;0;26;715;715;0;715;0;0;0;0;0
188;2014 september;89;79;0;77;1;0;10;2;0;0;8;9304;9304;6784;2520;0;0;0;0;0
189;2014 oktober;880;835;0;224;10;601;45;2;0;0;43;5799;5799;2655;3144;0;0;0;0;0
190;2014 november;515;515;0;259;7;249;0;0;0;0;0;6028;6028;3798;2229;0;0;0;0;0
191;2014 december;1222;1219;0;665;555;0;3;2;0;0;1;438;438;300;138;0;0;0;0;0
192;2015 januari;224;199;0;151;48;0;25;1;0;0;24;12288;12288;4920;7369;0;0;0;0;0
193;2015 februari;640;582;0;452;3;128;58;0;0;0;57;6088;6088;2896;2449;0;742;0;0;0
194;2015 maart;1043;1032;339;593;0;100;11;3;0;0;9;21304;21304;9716;11588;0;0;0;0;0
195;2015 april;293;265;0;260;5;0;28;3;0;0;25;9181;9181;4502;4182;0;497;0;0;0
196;2015 mei;2659;2611;0;2334;170;106;48;41;0;0;7;6505;6505;4975;1530;0;0;0;0;0
197;2015 juni;436;335;0;76;259;0;102;59;0;0;42;12421;12421;5496;4684;0;2240;0;0;0
198;2015 juli;261;211;0;205;7;0;50;0;0;0;50;10595;10595;3995;6600;0;0;0;0;0
199;2015 augustus;485;484;0;477;5;2;1;0;0;0;1;283;283;283;0;0;0;0;0;0
200;2015 september;264;261;0;251;1;10;3;2;0;0;1;9973;9973;4149;5325;0;499;0;0;0
201;2015 oktober;2522;2516;465;399;39;1612;7;3;0;0;3;8663;8663;4149;3420;0;1095;0;0;0
202;2015 november;290;289;0;239;5;44;1;0;0;0;1;6396;6396;4333;2063;0;0;0;0;0
203;2015 december;336;303;0;280;2;21;34;0;0;0;34;3341;3341;202;3139;0;0;0;0;0
204;2016 januari;610;598;0;597;1;0;12;0;0;0;12;6074;6074;1612;4462;0;0;0;0;0
205;2016 februari;31127;202;0;198;4;0;30925;0;0;0;30925;1715;1715;0;1715;0;0;0;0;0
206;2016 maart;192;185;0;166;19;0;7;0;0;0;7;16873;16873;5752;11121;0;0;0;0;0
207;2016 april;2613;2595;649;1798;149;0;19;5;0;0;13;8650;8650;1475;6681;0;494;0;0;0
208;2016 mei;432;218;0;193;25;0;214;45;0;0;169;5341;5341;2898;1793;0;649;0;0;0
209;2016 juni;532;532;122;9;0;400;0;0;0;0;0;19907;19907;4876;15031;0;0;0;0;0
210;2016 juli;337;282;0;281;1;0;55;7;0;0;48;2782;2782;2499;133;0;150;0;0;0
211;2016 augustus;86;78;0;77;1;0;8;0;0;0;8;0;0;0;0;0;0;0;0;0
