ID;Perioden;AantalWWUitkeringen_1;Mannen_2;Vrouwen_3
65;1997 juni;354740;205370;149380
66;1997 juli;355000;204720;150280
67;1997 augustus;349440;201230;148210
68;1997 september;343770;197450;146320
69;1997 oktober;338700;194090;144610
70;1997 november;333970;189940;144040
71;1997 december;332120;187490;144630
72;1998 januari;329620;184390;145230
73;1998 februari;327240;182310;144920
74;1998 maart;326280;182730;143550
75;1998 april;315370;174950;140420
76;1998 mei;308590;169800;138800
77;1998 juni;302570;166030;136550
78;1998 juli;295570;161520;134060
79;1998 augustus;291470;159070;132400
80;1998 september;288080;156570;131510
81;1998 oktober;281100;152830;128260
82;1998 november;282400;156750;125650
83;1998 december;284850;159170;125670
84;1999 januari;274230;152750;121480
85;1999 februari;265680;146500;119190
86;1999 maart;259690;142530;117150
87;1999 april;253700;138750;114950
88;1999 mei;249490;136900;112590
89;1999 juni;244550;134860;109690
90;1999 juli;242990;134000;109000
91;1999 augustus;239150;131550;107600
92;1999 september;235730;129690;106040
93;1999 oktober;231090;126850;104230
94;1999 november;226740;124460;102280
95;1999 december;221690;121970;99720
96;2000 januari;219420;121560;97860
97;2000 februari;214170;117720;96450
98;2000 maart;211660;116150;95510
99;2000 april;207710;114180;93530
100;2000 mei;204740;113150;91580
101;2000 juni;201150;112120;89030
102;2000 juli;199930;111740;88180
103;2000 augustus;197770;110820;86960
104;2000 september;195200;109710;85490
105;2000 oktober;194330;109070;85260
106;2000 november;192780;108180;84590
107;2000 december;188540;106090;82450
108;2001 januari;183210;103090;80120
109;2001 februari;181440;101370;80070
110;2001 maart;180470;101370;79110
111;2001 april;180170;101670;78510
112;2001 mei;179230;101650;77590
113;2001 juni;177060;99350;77710
114;2001 juli;174180;97710;76470
115;2001 augustus;172070;96560;75510
116;2001 september;171080;96190;74880
117;2001 oktober;169780;95600;74180
118;2001 november;169540;95790;73750
119;2001 december;165500;92940;72560
120;2002 januari;167150;93970;73180
121;2002 februari;167640;94150;73490
122;2002 maart;171760;97660;74100
123;2002 april;175860;100660;75200
124;2002 mei;180010;103390;76620
125;2002 juni;184850;107010;77850
126;2002 juli;184570;107120;77450
127;2002 augustus;187610;109020;78590
128;2002 september;191490;111470;80020
129;2002 oktober;195480;114040;81430
130;2002 november;201550;117420;84130
131;2002 december;203510;118660;84850
132;2003 januari;209070;121820;87250
133;2003 februari;217090;126730;90370
134;2003 maart;227610;134050;93560
135;2003 april;237200;140330;96870
136;2003 mei;245600;145400;100200
137;2003 juni;253180;150200;102980
138;2003 juli;260450;154350;106100
139;2003 augustus;266100;157630;108480
140;2003 september;272960;161290;111670
141;2003 oktober;280780;165420;115370
142;2003 november;284390;166950;117450
143;2003 december;288540;168450;120080
144;2004 januari;284760;165530;119220
145;2004 februari;288870;167560;121310
146;2004 maart;299560;175070;124500
147;2004 april;307800;179340;128470
148;2004 mei;311420;181310;130110
149;2004 juni;321950;187260;134690
150;2004 juli;317780;184950;132830
151;2004 augustus;319130;185440;133690
152;2004 september;322290;186180;136110
153;2004 oktober;323100;185470;137630
154;2004 november;322750;184190;138570
155;2004 december;325030;184830;140200
156;2005 januari;323160;182730;140430
157;2005 februari;318800;176670;142130
158;2005 maart;328200;185340;142860
159;2005 april;329170;185390;143780
160;2005 mei;326450;183540;142920
161;2005 juni;330120;185890;144220
162;2005 juli;323820;181120;142700
163;2005 augustus;321800;179820;141990
164;2005 september;319580;177530;142050
165;2005 oktober;315510;174490;141030
166;2005 november;310650;171010;139640
167;2005 december;306510;167550;138960
168;2006 januari;295100;161560;133540
169;2006 februari;288030;155100;132930
170;2006 maart;293880;161150;132730
171;2006 april;289340;158450;130890
172;2006 mei;287410;157390;130030
173;2006 juni;282550;153840;128710
174;2006 juli;276930;150400;126530
175;2006 augustus;272750;148050;124700
176;2006 september;267910;145060;122850
177;2006 oktober;262760;142030;120730
178;2006 november;256630;138150;118480
179;2006 december;250660;134580;116080
180;2007 januari;243240;129250;113990
181;2007 februari;235130;123650;111480
182;2007 maart;229610;121150;108460
183;2007 april;222920;117650;105270
184;2007 mei;217620;114960;102660
185;2007 juni;214080;113150;100930
186;2007 juli;210770;111350;99420
187;2007 augustus;207980;110050;97930
188;2007 september;202620;106600;96020
189;2007 oktober;198990;104400;94600
190;2007 november;195470;102300;93170
191;2007 december;192060;100130;91930
192;2008 januari;189350;99460;89900
193;2008 februari;182390;94560;87830
194;2008 maart;179240;93200;86040
195;2008 april;176510;91880;84630
196;2008 mei;173960;90820;83140
197;2008 juni;171670;89750;81930
198;2008 juli;169820;88970;80840
199;2008 augustus;168270;88030;80250
200;2008 september;166360;86770;79590
201;2008 oktober;165930;86740;79190
202;2008 november;166440;87350;79100
203;2008 december;170610;90610;80010
204;2009 januari;177610;96030;81580
205;2009 februari;183430;100010;83420
206;2009 maart;191900;106050;85850
207;2009 april;201650;112510;89150
208;2009 mei;210580;118560;92020
209;2009 juni;221550;125550;96000
210;2009 juli;232240;132320;99910
211;2009 augustus;240440;137830;102610
212;2009 september;248380;142910;105470
213;2009 oktober;258470;149220;109260
214;2009 november;264990;153470;111520
215;2009 december;271710;157790;113920
216;2010 januari;273900;159560;114340
217;2010 februari;277840;162310;115530
218;2010 maart;273430;158260;115160
219;2010 april;270920;155880;115030
220;2010 mei;268350;154080;114270
221;2010 juni;264740;151250;113490
222;2010 juli;264060;150420;113640
223;2010 augustus;264450;150000;114450
224;2010 september;262180;148630;113550
225;2010 oktober;258560;145770;112790
226;2010 november;259410;146780;112630
227;2010 december;262720;150080;112640
228;2011 januari;264950;149780;115170
229;2011 februari;260460;146810;113650
230;2011 maart;256450;142500;113950
231;2011 april;254710;140850;113860
232;2011 mei;254790;140160;114630
233;2011 juni;255320;140260;115060
234;2011 juli;256810;140720;116080
235;2011 augustus;258700;141490;117200
236;2011 september;259820;141800;118020
237;2011 oktober;261700;142910;118780
238;2011 november;264680;144800;119890
239;2011 december;269130;147760;121370
240;2012 januari;278960;153810;125150
241;2012 februari;283400;156990;126410
242;2012 maart;285500;157170;128330
243;2012 april;288220;158430;129790
244;2012 mei;292080;160400;131680
245;2012 juni;295630;162360;133270
246;2012 juli;302430;165620;136820
247;2012 augustus;308480;168690;139780
248;2012 september;314140;171840;142300
249;2012 oktober;319780;174790;144990
250;2012 november;329670;181340;148330
251;2012 december;339740;188010;151740
252;2013 januari      ;353890;196520;157370
253;2013 februari        ;360040;199720;160320
254;2013 maart     ;368470;203890;164580
255;2013 april                     ;375790;207350;168430
256;2013 mei              ;380490;209080;171410
257;2013 juni;387860;212490;175370
258;2013 juli;399880;218780;181100
259;2013 augustus;404500;219310;185190
260;2013 september;410990;221990;189000
261;2013 oktober;419010;225640;193370
262;2013 november;426240;229640;196600
263;2013 december;436220;236380;199840
264;2014 januari;445790;240640;205150
265;2014 februari;442170;236820;205350
266;2014 maart;441670;234960;206710
267;2014 april;439290;233280;206010
268;2014 mei;438370;232230;206140
269;2014 juni;437300;231480;205820
270;2014 juli;440360;232220;208140
271;2014 augustus;436440;228650;207800
272;2014 september;431690;225840;205850
273;2014 oktober;432150;225430;206720
274;2014 november;433520;225930;207590
275;2014 december;437670;229130;208540
276;2015 januari;442530;229700;212830
277;2015 februari;436640;224450;212190
278;2015 maart;430460;219340;211130
279;2015 april;422870;213780;209100
280;2015 mei;420190;211820;208380
281;2015 juni;418220;209910;208310
282;2015 juli;424400;211890;212510
283;2015 augustus;426860;214460;212400
284;2015 september;428940;215540;213400
285;2015 oktober;434090;218180;215910
286;2015 november;434900;217870;217030
287;2015 december;439750;222300;217450
