ID;Opdrachtgever;Eigendomsvorm;RegioS;Perioden;NieuwTeBouwenWoningen_1
40;Totaal opdrachtgevers;Totaal;Nederland;1997 juni;9777
41;Totaal opdrachtgevers;Totaal;Nederland;1997 2e kwartaal;24786
42;Totaal opdrachtgevers;Totaal;Nederland;1997 juli;7394
43;Totaal opdrachtgevers;Totaal;Nederland;1997 augustus;7028
44;Totaal opdrachtgevers;Totaal;Nederland;1997 september;11908
45;Totaal opdrachtgevers;Totaal;Nederland;1997 3e kwartaal;26330
46;Totaal opdrachtgevers;Totaal;Nederland;1997 oktober;10573
47;Totaal opdrachtgevers;Totaal;Nederland;1997 november;10077
48;Totaal opdrachtgevers;Totaal;Nederland;1997 december;9675
49;Totaal opdrachtgevers;Totaal;Nederland;1997 4e kwartaal;30325
50;Totaal opdrachtgevers;Totaal;Nederland;1997;101501
51;Totaal opdrachtgevers;Totaal;Nederland;1998 januari;5951
52;Totaal opdrachtgevers;Totaal;Nederland;1998 februari;6986
53;Totaal opdrachtgevers;Totaal;Nederland;1998 maart;8305
54;Totaal opdrachtgevers;Totaal;Nederland;1998 1e kwartaal;21242
55;Totaal opdrachtgevers;Totaal;Nederland;1998 april;5838
56;Totaal opdrachtgevers;Totaal;Nederland;1998 mei;6380
57;Totaal opdrachtgevers;Totaal;Nederland;1998 juni;6980
58;Totaal opdrachtgevers;Totaal;Nederland;1998 2e kwartaal;19198
59;Totaal opdrachtgevers;Totaal;Nederland;1998 juli;6743
60;Totaal opdrachtgevers;Totaal;Nederland;1998 augustus;5357
61;Totaal opdrachtgevers;Totaal;Nederland;1998 september;7335
62;Totaal opdrachtgevers;Totaal;Nederland;1998 3e kwartaal;19435
63;Totaal opdrachtgevers;Totaal;Nederland;1998 oktober;8320
64;Totaal opdrachtgevers;Totaal;Nederland;1998 november;8824
65;Totaal opdrachtgevers;Totaal;Nederland;1998 december;10654
66;Totaal opdrachtgevers;Totaal;Nederland;1998 4e kwartaal;27798
67;Totaal opdrachtgevers;Totaal;Nederland;1998;87673
68;Totaal opdrachtgevers;Totaal;Nederland;1999 januari;5564
69;Totaal opdrachtgevers;Totaal;Nederland;1999 februari;5182
70;Totaal opdrachtgevers;Totaal;Nederland;1999 maart;6317
71;Totaal opdrachtgevers;Totaal;Nederland;1999 1e kwartaal;17063
72;Totaal opdrachtgevers;Totaal;Nederland;1999 april;6880
73;Totaal opdrachtgevers;Totaal;Nederland;1999 mei;7795
74;Totaal opdrachtgevers;Totaal;Nederland;1999 juni;6859
75;Totaal opdrachtgevers;Totaal;Nederland;1999 2e kwartaal;21534
76;Totaal opdrachtgevers;Totaal;Nederland;1999 juli;8933
77;Totaal opdrachtgevers;Totaal;Nederland;1999 augustus;6380
78;Totaal opdrachtgevers;Totaal;Nederland;1999 september;7200
79;Totaal opdrachtgevers;Totaal;Nederland;1999 3e kwartaal;22513
80;Totaal opdrachtgevers;Totaal;Nederland;1999 oktober;6565
81;Totaal opdrachtgevers;Totaal;Nederland;1999 november;8226
82;Totaal opdrachtgevers;Totaal;Nederland;1999 december;8300
83;Totaal opdrachtgevers;Totaal;Nederland;1999 4e kwartaal;23091
84;Totaal opdrachtgevers;Totaal;Nederland;1999;84201
85;Totaal opdrachtgevers;Totaal;Nederland;2000 januari;5051
86;Totaal opdrachtgevers;Totaal;Nederland;2000 februari;7541
87;Totaal opdrachtgevers;Totaal;Nederland;2000 maart;7917
88;Totaal opdrachtgevers;Totaal;Nederland;2000 1e kwartaal;20509
89;Totaal opdrachtgevers;Totaal;Nederland;2000 april;6576
90;Totaal opdrachtgevers;Totaal;Nederland;2000 mei;8043
91;Totaal opdrachtgevers;Totaal;Nederland;2000 juni;6222
92;Totaal opdrachtgevers;Totaal;Nederland;2000 2e kwartaal;20841
93;Totaal opdrachtgevers;Totaal;Nederland;2000 juli;5952
94;Totaal opdrachtgevers;Totaal;Nederland;2000 augustus;5965
95;Totaal opdrachtgevers;Totaal;Nederland;2000 september;6386
96;Totaal opdrachtgevers;Totaal;Nederland;2000 3e kwartaal;18303
97;Totaal opdrachtgevers;Totaal;Nederland;2000 oktober;5635
98;Totaal opdrachtgevers;Totaal;Nederland;2000 november;6271
99;Totaal opdrachtgevers;Totaal;Nederland;2000 december;7004
100;Totaal opdrachtgevers;Totaal;Nederland;2000 4e kwartaal;18910
101;Totaal opdrachtgevers;Totaal;Nederland;2000;78563
102;Totaal opdrachtgevers;Totaal;Nederland;2001 januari;5045
103;Totaal opdrachtgevers;Totaal;Nederland;2001 februari;5029
104;Totaal opdrachtgevers;Totaal;Nederland;2001 maart;5045
105;Totaal opdrachtgevers;Totaal;Nederland;2001 1e kwartaal;15119
106;Totaal opdrachtgevers;Totaal;Nederland;2001 april;3111
107;Totaal opdrachtgevers;Totaal;Nederland;2001 mei;4954
108;Totaal opdrachtgevers;Totaal;Nederland;2001 juni;5386
109;Totaal opdrachtgevers;Totaal;Nederland;2001 2e kwartaal;13451
110;Totaal opdrachtgevers;Totaal;Nederland;2001 juli;5885
111;Totaal opdrachtgevers;Totaal;Nederland;2001 augustus;4802
112;Totaal opdrachtgevers;Totaal;Nederland;2001 september;6862
113;Totaal opdrachtgevers;Totaal;Nederland;2001 3e kwartaal;17549
114;Totaal opdrachtgevers;Totaal;Nederland;2001 oktober;7264
115;Totaal opdrachtgevers;Totaal;Nederland;2001 november;4450
116;Totaal opdrachtgevers;Totaal;Nederland;2001 december;4493
117;Totaal opdrachtgevers;Totaal;Nederland;2001 4e kwartaal;16207
118;Totaal opdrachtgevers;Totaal;Nederland;2001;62326
119;Totaal opdrachtgevers;Totaal;Nederland;2002 januari;3771
120;Totaal opdrachtgevers;Totaal;Nederland;2002 februari;4306
121;Totaal opdrachtgevers;Totaal;Nederland;2002 maart;4204
122;Totaal opdrachtgevers;Totaal;Nederland;2002 1e kwartaal;12281
123;Totaal opdrachtgevers;Totaal;Nederland;2002 april;4282
124;Totaal opdrachtgevers;Totaal;Nederland;2002 mei;4323
125;Totaal opdrachtgevers;Totaal;Nederland;2002 juni;6200
126;Totaal opdrachtgevers;Totaal;Nederland;2002 2e kwartaal;14805
127;Totaal opdrachtgevers;Totaal;Nederland;2002 juli;5165
128;Totaal opdrachtgevers;Totaal;Nederland;2002 augustus;5308
129;Totaal opdrachtgevers;Totaal;Nederland;2002 september;4818
130;Totaal opdrachtgevers;Totaal;Nederland;2002 3e kwartaal;15291
131;Totaal opdrachtgevers;Totaal;Nederland;2002 oktober;8188
132;Totaal opdrachtgevers;Totaal;Nederland;2002 november;7146
133;Totaal opdrachtgevers;Totaal;Nederland;2002 december;9472
134;Totaal opdrachtgevers;Totaal;Nederland;2002 4e kwartaal;24806
135;Totaal opdrachtgevers;Totaal;Nederland;2002;67183
136;Totaal opdrachtgevers;Totaal;Nederland;2003 januari;3824
137;Totaal opdrachtgevers;Totaal;Nederland;2003 februari;4500
138;Totaal opdrachtgevers;Totaal;Nederland;2003 maart;8782
139;Totaal opdrachtgevers;Totaal;Nederland;2003 1e kwartaal;17106
140;Totaal opdrachtgevers;Totaal;Nederland;2003 april;5097
141;Totaal opdrachtgevers;Totaal;Nederland;2003 mei;5236
142;Totaal opdrachtgevers;Totaal;Nederland;2003 juni;6130
143;Totaal opdrachtgevers;Totaal;Nederland;2003 2e kwartaal;16463
144;Totaal opdrachtgevers;Totaal;Nederland;2003 juli;4910
145;Totaal opdrachtgevers;Totaal;Nederland;2003 augustus;4939
146;Totaal opdrachtgevers;Totaal;Nederland;2003 september;5737
147;Totaal opdrachtgevers;Totaal;Nederland;2003 3e kwartaal;15586
148;Totaal opdrachtgevers;Totaal;Nederland;2003 oktober;6616
149;Totaal opdrachtgevers;Totaal;Nederland;2003 november;6315
150;Totaal opdrachtgevers;Totaal;Nederland;2003 december;10368
151;Totaal opdrachtgevers;Totaal;Nederland;2003 4e kwartaal;23299
152;Totaal opdrachtgevers;Totaal;Nederland;2003;72454
153;Totaal opdrachtgevers;Totaal;Nederland;2004 januari;4556
154;Totaal opdrachtgevers;Totaal;Nederland;2004 februari;3777
155;Totaal opdrachtgevers;Totaal;Nederland;2004 maart;5752
156;Totaal opdrachtgevers;Totaal;Nederland;2004 1e kwartaal;14085
157;Totaal opdrachtgevers;Totaal;Nederland;2004 april;5770
158;Totaal opdrachtgevers;Totaal;Nederland;2004 mei;5225
159;Totaal opdrachtgevers;Totaal;Nederland;2004 juni;5584
160;Totaal opdrachtgevers;Totaal;Nederland;2004 2e kwartaal;16579
161;Totaal opdrachtgevers;Totaal;Nederland;2004 juli;4963
162;Totaal opdrachtgevers;Totaal;Nederland;2004 augustus;5004
163;Totaal opdrachtgevers;Totaal;Nederland;2004 september;4623
164;Totaal opdrachtgevers;Totaal;Nederland;2004 3e kwartaal;14590
165;Totaal opdrachtgevers;Totaal;Nederland;2004 oktober;7520
166;Totaal opdrachtgevers;Totaal;Nederland;2004 november;9027
167;Totaal opdrachtgevers;Totaal;Nederland;2004 december;14379
168;Totaal opdrachtgevers;Totaal;Nederland;2004 4e kwartaal;30926
169;Totaal opdrachtgevers;Totaal;Nederland;2004;76180
170;Totaal opdrachtgevers;Totaal;Nederland;2005 januari;4776
171;Totaal opdrachtgevers;Totaal;Nederland;2005 februari;6186
172;Totaal opdrachtgevers;Totaal;Nederland;2005 maart;6177
173;Totaal opdrachtgevers;Totaal;Nederland;2005 1e kwartaal;17139
174;Totaal opdrachtgevers;Totaal;Nederland;2005 april;6200
175;Totaal opdrachtgevers;Totaal;Nederland;2005 mei;5371
176;Totaal opdrachtgevers;Totaal;Nederland;2005 juni;7877
177;Totaal opdrachtgevers;Totaal;Nederland;2005 2e kwartaal;19448
178;Totaal opdrachtgevers;Totaal;Nederland;2005 juli;5584
179;Totaal opdrachtgevers;Totaal;Nederland;2005 augustus;6113
180;Totaal opdrachtgevers;Totaal;Nederland;2005 september;6202
181;Totaal opdrachtgevers;Totaal;Nederland;2005 3e kwartaal;17899
182;Totaal opdrachtgevers;Totaal;Nederland;2005 oktober;7848
183;Totaal opdrachtgevers;Totaal;Nederland;2005 november;10667
184;Totaal opdrachtgevers;Totaal;Nederland;2005 december;10272
185;Totaal opdrachtgevers;Totaal;Nederland;2005 4e kwartaal;28787
186;Totaal opdrachtgevers;Totaal;Nederland;2005;83273
187;Totaal opdrachtgevers;Totaal;Nederland;2006 januari;6848
188;Totaal opdrachtgevers;Totaal;Nederland;2006 februari;8120
189;Totaal opdrachtgevers;Totaal;Nederland;2006 maart;8653
190;Totaal opdrachtgevers;Totaal;Nederland;2006 1e kwartaal;23621
191;Totaal opdrachtgevers;Totaal;Nederland;2006 april;9167
192;Totaal opdrachtgevers;Totaal;Nederland;2006 mei;7950
193;Totaal opdrachtgevers;Totaal;Nederland;2006 juni;8419
194;Totaal opdrachtgevers;Totaal;Nederland;2006 2e kwartaal;25536
195;Totaal opdrachtgevers;Totaal;Nederland;2006 juli;6432
196;Totaal opdrachtgevers;Totaal;Nederland;2006 augustus;6350
197;Totaal opdrachtgevers;Totaal;Nederland;2006 september;8920
198;Totaal opdrachtgevers;Totaal;Nederland;2006 3e kwartaal;21702
199;Totaal opdrachtgevers;Totaal;Nederland;2006 oktober;6984
200;Totaal opdrachtgevers;Totaal;Nederland;2006 november;8735
201;Totaal opdrachtgevers;Totaal;Nederland;2006 december;9869
202;Totaal opdrachtgevers;Totaal;Nederland;2006 4e kwartaal;25588
203;Totaal opdrachtgevers;Totaal;Nederland;2006;96447
204;Totaal opdrachtgevers;Totaal;Nederland;2007 januari;5422
205;Totaal opdrachtgevers;Totaal;Nederland;2007 februari;5520
206;Totaal opdrachtgevers;Totaal;Nederland;2007 maart;7309
207;Totaal opdrachtgevers;Totaal;Nederland;2007 1e kwartaal;18251
208;Totaal opdrachtgevers;Totaal;Nederland;2007 april;6476
209;Totaal opdrachtgevers;Totaal;Nederland;2007 mei;5094
210;Totaal opdrachtgevers;Totaal;Nederland;2007 juni;7583
211;Totaal opdrachtgevers;Totaal;Nederland;2007 2e kwartaal;19153
212;Totaal opdrachtgevers;Totaal;Nederland;2007 juli;7165
213;Totaal opdrachtgevers;Totaal;Nederland;2007 augustus;6419
214;Totaal opdrachtgevers;Totaal;Nederland;2007 september;8821
215;Totaal opdrachtgevers;Totaal;Nederland;2007 3e kwartaal;22405
216;Totaal opdrachtgevers;Totaal;Nederland;2007 oktober;6502
217;Totaal opdrachtgevers;Totaal;Nederland;2007 november;10524
218;Totaal opdrachtgevers;Totaal;Nederland;2007 december;11083
219;Totaal opdrachtgevers;Totaal;Nederland;2007 4e kwartaal;28109
220;Totaal opdrachtgevers;Totaal;Nederland;2007;87918
221;Totaal opdrachtgevers;Totaal;Nederland;2008 januari;6076
222;Totaal opdrachtgevers;Totaal;Nederland;2008 februari;4501
223;Totaal opdrachtgevers;Totaal;Nederland;2008 maart;6189
224;Totaal opdrachtgevers;Totaal;Nederland;2008 1e kwartaal;16766
225;Totaal opdrachtgevers;Totaal;Nederland;2008 april;6039
226;Totaal opdrachtgevers;Totaal;Nederland;2008 mei;6268
227;Totaal opdrachtgevers;Totaal;Nederland;2008 juni;6501
228;Totaal opdrachtgevers;Totaal;Nederland;2008 2e kwartaal;18808
229;Totaal opdrachtgevers;Totaal;Nederland;2008 juli;6939
230;Totaal opdrachtgevers;Totaal;Nederland;2008 augustus;7379
231;Totaal opdrachtgevers;Totaal;Nederland;2008 september;8107
232;Totaal opdrachtgevers;Totaal;Nederland;2008 3e kwartaal;22425
233;Totaal opdrachtgevers;Totaal;Nederland;2008 oktober;7345
234;Totaal opdrachtgevers;Totaal;Nederland;2008 november;9429
235;Totaal opdrachtgevers;Totaal;Nederland;2008 december;12425
236;Totaal opdrachtgevers;Totaal;Nederland;2008 4e kwartaal;29199
237;Totaal opdrachtgevers;Totaal;Nederland;2008;87198
238;Totaal opdrachtgevers;Totaal;Nederland;2009 januari;5017
239;Totaal opdrachtgevers;Totaal;Nederland;2009 februari;4833
240;Totaal opdrachtgevers;Totaal;Nederland;2009 maart;6007
241;Totaal opdrachtgevers;Totaal;Nederland;2009 1e kwartaal;15857
242;Totaal opdrachtgevers;Totaal;Nederland;2009 april;5855
243;Totaal opdrachtgevers;Totaal;Nederland;2009 mei;4471
244;Totaal opdrachtgevers;Totaal;Nederland;2009 juni;5927
245;Totaal opdrachtgevers;Totaal;Nederland;2009 2e kwartaal;16253
246;Totaal opdrachtgevers;Totaal;Nederland;2009 juli;6210
247;Totaal opdrachtgevers;Totaal;Nederland;2009 augustus;3306
248;Totaal opdrachtgevers;Totaal;Nederland;2009 september;5693
249;Totaal opdrachtgevers;Totaal;Nederland;2009 3e kwartaal;15209
250;Totaal opdrachtgevers;Totaal;Nederland;2009 oktober;7145
251;Totaal opdrachtgevers;Totaal;Nederland;2009 november;5607
252;Totaal opdrachtgevers;Totaal;Nederland;2009 december;12575
253;Totaal opdrachtgevers;Totaal;Nederland;2009 4e kwartaal;25327
254;Totaal opdrachtgevers;Totaal;Nederland;2009;72646
255;Totaal opdrachtgevers;Totaal;Nederland;2010 januari;3129
256;Totaal opdrachtgevers;Totaal;Nederland;2010 februari;3449
257;Totaal opdrachtgevers;Totaal;Nederland;2010 maart;4265
258;Totaal opdrachtgevers;Totaal;Nederland;2010 1e kwartaal;10843
259;Totaal opdrachtgevers;Totaal;Nederland;2010 april;3705
260;Totaal opdrachtgevers;Totaal;Nederland;2010 mei;5319
261;Totaal opdrachtgevers;Totaal;Nederland;2010 juni;5375
262;Totaal opdrachtgevers;Totaal;Nederland;2010 2e kwartaal;14399
263;Totaal opdrachtgevers;Totaal;Nederland;2010 juli;5857
264;Totaal opdrachtgevers;Totaal;Nederland;2010 augustus;4078
265;Totaal opdrachtgevers;Totaal;Nederland;2010 september;5252
266;Totaal opdrachtgevers;Totaal;Nederland;2010 3e kwartaal;15187
267;Totaal opdrachtgevers;Totaal;Nederland;2010 oktober;5202
268;Totaal opdrachtgevers;Totaal;Nederland;2010 november;7734
269;Totaal opdrachtgevers;Totaal;Nederland;2010 december;7663
270;Totaal opdrachtgevers;Totaal;Nederland;2010 4e kwartaal;20599
271;Totaal opdrachtgevers;Totaal;Nederland;2010;61028
272;Totaal opdrachtgevers;Totaal;Nederland;2011 januari;3786
273;Totaal opdrachtgevers;Totaal;Nederland;2011 februari;4354
274;Totaal opdrachtgevers;Totaal;Nederland;2011 maart;6092
275;Totaal opdrachtgevers;Totaal;Nederland;2011 1e kwartaal;14232
276;Totaal opdrachtgevers;Totaal;Nederland;2011 april;4282
277;Totaal opdrachtgevers;Totaal;Nederland;2011 mei;5014
278;Totaal opdrachtgevers;Totaal;Nederland;2011 juni;3240
279;Totaal opdrachtgevers;Totaal;Nederland;2011 2e kwartaal;12536
280;Totaal opdrachtgevers;Totaal;Nederland;2011 juli;4632
281;Totaal opdrachtgevers;Totaal;Nederland;2011 augustus;2913
282;Totaal opdrachtgevers;Totaal;Nederland;2011 september;5504
283;Totaal opdrachtgevers;Totaal;Nederland;2011 3e kwartaal;13049
284;Totaal opdrachtgevers;Totaal;Nederland;2011 oktober;5827
285;Totaal opdrachtgevers;Totaal;Nederland;2011 november;5201
286;Totaal opdrachtgevers;Totaal;Nederland;2011 december;4959
287;Totaal opdrachtgevers;Totaal;Nederland;2011 4e kwartaal;15987
288;Totaal opdrachtgevers;Totaal;Nederland;2011;55804
289;Totaal opdrachtgevers;Totaal;Nederland;2012 januari;2317
290;Totaal opdrachtgevers;Totaal;Nederland;2012 februari;2752
291;Totaal opdrachtgevers;Totaal;Nederland;2012 maart;2914
292;Totaal opdrachtgevers;Totaal;Nederland;2012 1e kwartaal;7983
293;Totaal opdrachtgevers;Totaal;Nederland;2012 april;2277
294;Totaal opdrachtgevers;Totaal;Nederland;2012 mei;2567
295;Totaal opdrachtgevers;Totaal;Nederland;2012 juni;4079
296;Totaal opdrachtgevers;Totaal;Nederland;2012 2e kwartaal;8923
297;Totaal opdrachtgevers;Totaal;Nederland;2012 juli;4077
298;Totaal opdrachtgevers;Totaal;Nederland;2012 augustus;2080
299;Totaal opdrachtgevers;Totaal;Nederland;2012 september;4104
300;Totaal opdrachtgevers;Totaal;Nederland;2012 3e kwartaal;10261
301;Totaal opdrachtgevers;Totaal;Nederland;2012 oktober;3571
302;Totaal opdrachtgevers;Totaal;Nederland;2012 november;3160
303;Totaal opdrachtgevers;Totaal;Nederland;2012 december;3472
304;Totaal opdrachtgevers;Totaal;Nederland;2012 4e kwartaal;10203
305;Totaal opdrachtgevers;Totaal;Nederland;2012;37370
306;Totaal opdrachtgevers;Totaal;Nederland;2013 januari;1878
307;Totaal opdrachtgevers;Totaal;Nederland;2013 februari;1877
308;Totaal opdrachtgevers;Totaal;Nederland;2013 maart;1775
309;Totaal opdrachtgevers;Totaal;Nederland;2013 1e kwartaal;5530
310;Totaal opdrachtgevers;Totaal;Nederland;2013 april;2013
311;Totaal opdrachtgevers;Totaal;Nederland;2013 mei;2600
312;Totaal opdrachtgevers;Totaal;Nederland;2013 juni;1827
313;Totaal opdrachtgevers;Totaal;Nederland;2013 2e kwartaal;6440
314;Totaal opdrachtgevers;Totaal;Nederland;2013 juli;2339
315;Totaal opdrachtgevers;Totaal;Nederland;2013 augustus;1261
316;Totaal opdrachtgevers;Totaal;Nederland;2013 september;2395
317;Totaal opdrachtgevers;Totaal;Nederland;2013 3e kwartaal;5995
318;Totaal opdrachtgevers;Totaal;Nederland;2013 oktober;2574
319;Totaal opdrachtgevers;Totaal;Nederland;2013 november;2814
320;Totaal opdrachtgevers;Totaal;Nederland;2013 december;2831
321;Totaal opdrachtgevers;Totaal;Nederland;2013 4e kwartaal;8219
322;Totaal opdrachtgevers;Totaal;Nederland;2013;26184
323;Totaal opdrachtgevers;Totaal;Nederland;2014 januari;2399
324;Totaal opdrachtgevers;Totaal;Nederland;2014 februari;2395
325;Totaal opdrachtgevers;Totaal;Nederland;2014 maart;2752
326;Totaal opdrachtgevers;Totaal;Nederland;2014 1e kwartaal;7546
327;Totaal opdrachtgevers;Totaal;Nederland;2014 april;2776
328;Totaal opdrachtgevers;Totaal;Nederland;2014 mei;2764
329;Totaal opdrachtgevers;Totaal;Nederland;2014 juni;2171
330;Totaal opdrachtgevers;Totaal;Nederland;2014 2e kwartaal;7711
331;Totaal opdrachtgevers;Totaal;Nederland;2014 juli;3824
332;Totaal opdrachtgevers;Totaal;Nederland;2014 augustus;2513
333;Totaal opdrachtgevers;Totaal;Nederland;2014 september;4163
334;Totaal opdrachtgevers;Totaal;Nederland;2014 3e kwartaal;10500
335;Totaal opdrachtgevers;Totaal;Nederland;2014 oktober;4088
336;Totaal opdrachtgevers;Totaal;Nederland;2014 november;3904
337;Totaal opdrachtgevers;Totaal;Nederland;2014 december;5616
338;Totaal opdrachtgevers;Totaal;Nederland;2014 4e kwartaal;13608
339;Totaal opdrachtgevers;Totaal;Nederland;2014;39365
340;Totaal opdrachtgevers;Totaal;Nederland;2015 januari;3521
341;Totaal opdrachtgevers;Totaal;Nederland;2015 februari;6617
342;Totaal opdrachtgevers;Totaal;Nederland;2015 maart;5341
343;Totaal opdrachtgevers;Totaal;Nederland;2015 1e kwartaal;15479
344;Totaal opdrachtgevers;Totaal;Nederland;2015 april;7381
345;Totaal opdrachtgevers;Totaal;Nederland;2015 mei;4292
346;Totaal opdrachtgevers;Totaal;Nederland;2015 juni;3670
347;Totaal opdrachtgevers;Totaal;Nederland;2015 2e kwartaal;15343
348;Totaal opdrachtgevers;Totaal;Nederland;2015 juli;3047
349;Totaal opdrachtgevers;Totaal;Nederland;2015 augustus;3436
350;Totaal opdrachtgevers;Totaal;Nederland;2015 september;3926
351;Totaal opdrachtgevers;Totaal;Nederland;2015 3e kwartaal;10409
352;Totaal opdrachtgevers;Totaal;Nederland;2015 oktober;3446
353;Totaal opdrachtgevers;Totaal;Nederland;2015 november;4503
354;Totaal opdrachtgevers;Totaal;Nederland;2015 december;4353
355;Totaal opdrachtgevers;Totaal;Nederland;2015 4e kwartaal;12302
356;Totaal opdrachtgevers;Totaal;Nederland;2015;53533
357;Totaal opdrachtgevers;Totaal;Nederland;2016 januari;2817
358;Totaal opdrachtgevers;Totaal;Nederland;2016 februari;3475
359;Totaal opdrachtgevers;Totaal;Nederland;2016 maart;3463
360;Totaal opdrachtgevers;Totaal;Nederland;2016 1e kwartaal;9755
361;Totaal opdrachtgevers;Totaal;Nederland;2016 april;3465
362;Totaal opdrachtgevers;Totaal;Nederland;2016 mei;3294
363;Totaal opdrachtgevers;Totaal;Nederland;2016 juni;4613
364;Totaal opdrachtgevers;Totaal;Nederland;2016 2e kwartaal;11372
365;Totaal opdrachtgevers;Totaal;Nederland;2016 juli;4035
366;Totaal opdrachtgevers;Totaal;Nederland;2016 augustus;3561
367;Totaal opdrachtgevers;Totaal;Nederland;2016 september;6086
368;Totaal opdrachtgevers;Totaal;Nederland;2016 3e kwartaal;13682
369;Totaal opdrachtgevers;Totaal;Nederland;2016 oktober;5381
370;Totaal opdrachtgevers;Totaal;Nederland;2016 november;4725
371;Totaal opdrachtgevers;Totaal;Nederland;2016 december;6082
372;Totaal opdrachtgevers;Totaal;Nederland;2016 4e kwartaal;16188
373;Totaal opdrachtgevers;Totaal;Nederland;2016;50997
374;Totaal opdrachtgevers;Totaal;Noord-Nederland (LD);1995 januari;850
375;Totaal opdrachtgevers;Totaal;Noord-Nederland (LD);1995 februari;1091
376;Totaal opdrachtgevers;Totaal;Noord-Nederland (LD);1995 maart;725
377;Totaal opdrachtgevers;Totaal;Noord-Nederland (LD);1995 1e kwartaal;2666
378;Totaal opdrachtgevers;Totaal;Noord-Nederland (LD);1995 april;728
379;Totaal opdrachtgevers;Totaal;Noord-Nederland (LD);1995 mei;777
380;Totaal opdrachtgevers;Totaal;Noord-Nederland (LD);1995 juni;691
381;Totaal opdrachtgevers;Totaal;Noord-Nederland (LD);1995 2e kwartaal;2196
382;Totaal opdrachtgevers;Totaal;Noord-Nederland (LD);1995 juli;973
383;Totaal opdrachtgevers;Totaal;Noord-Nederland (LD);1995 augustus;1048
384;Totaal opdrachtgevers;Totaal;Noord-Nederland (LD);1995 september;881
385;Totaal opdrachtgevers;Totaal;Noord-Nederland (LD);1995 3e kwartaal;2902
386;Totaal opdrachtgevers;Totaal;Noord-Nederland (LD);1995 oktober;778
387;Totaal opdrachtgevers;Totaal;Noord-Nederland (LD);1995 november;796
388;Totaal opdrachtgevers;Totaal;Noord-Nederland (LD);1995 december;835
389;Totaal opdrachtgevers;Totaal;Noord-Nederland (LD);1995 4e kwartaal;2409
390;Totaal opdrachtgevers;Totaal;Noord-Nederland (LD);1995;10173
391;Totaal opdrachtgevers;Totaal;Noord-Nederland (LD);1996 januari;916
392;Totaal opdrachtgevers;Totaal;Noord-Nederland (LD);1996 februari;718
393;Totaal opdrachtgevers;Totaal;Noord-Nederland (LD);1996 maart;908
