ID;SBI93EnOESOSectoren;Perioden;TotaalVanDeArbeidsjaren_1;FundamenteelOnderzoek_2;DelfstoffenProductieWinning_3;EnergieTechnologie_4;MaterialenLaagMoleculair_5;MaterialenHoogMoleculair_6;OppervlakteTechnologie_7;LevensmiddelenTechnologie_8;Biotechnologie_9;MedischeFarmaceutischeTechnologie_10;Procestechnologie_11;Elektronica_12;Transportmiddelen_13;OverigeProductenOnderzoek_14;FabricageTechnologie_15;InformatieTechnologieICT_16;LogistiekeSystemen_17;BouwCivieleTechnologie_18;MilieuEnVeiligheid_19;Defensie_20;Ruimteonderzoek_21;OverigOnderzoek_22
28;23 Aardolie-industrie;1995;29.0;2.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;2.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
29;23 Aardolie-industrie;1997;247.0;6.0;0.0;11.0;2.0;;2.0;0.0;0.0;0.0;;0.0;0.0;0.0;;0.0;4.0;0.0;8.0;0.0;0.0;0.0
30;23 Aardolie-industrie;1999;166.0;5.0;0.0;9.0;;;;0.0;0.0;0.0;128.0;0.0;0.0;5.0;0.0;;;;7.0;0.0;0.0;
31;23 Aardolie-industrie;2001;159.0;;0.0;;;;;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;;;;0.0;0.0;0.0;
32;24.1+24.7  Chemische basisproductenind.;1995;3084.0;202.0;0.0;;441.0;741.0;90.0;22.0;24.0;345.0;866.0;;;45.0;94.0;;0.0;;175.0;0.0;0.0;8.0
33;24.1+24.7  Chemische basisproductenind.;1997;2311.0;70.0;0.0;3.0;288.0;944.0;121.0;8.0;;245.0;294.0;7.0;0.0;140.0;121.0;5.0;;0.0;52.0;0.0;0.0;
34;24.1+24.7  Chemische basisproductenind.;1999;2073.0;89.0;;16.0;288.0;523.0;25.0;;;;633.0;0.0;0.0;48.0;119.0;8.0;;;53.0;0.0;0.0;44.0
35;24.1+24.7  Chemische basisproductenind.;2001;2265.0;291.0;0.0;11.0;360.0;705.0;48.0;118.0;72.0;380.0;226.0;1.0;0.0;32.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;18.0
36;24.4 Farmaceutische industrie;1995;2253.0;5.0;0.0;0.0;;;0.0;;89.0;;;0.0;;0.0;;0.0;0.0;0.0;;0.0;0.0;0.0
37;24.4 Farmaceutische industrie;1997;2966.0;49.0;0.0;0.0;;;;;;1479.0;350.0;0.0;0.0;0.0;0.0;;0.0;0.0;2.0;0.0;0.0;
38;24.4 Farmaceutische industrie;1999;3401.0;;0.0;0.0;;;;0.0;;1677.0;;;0.0;0.0;;0.0;0.0;0.0;;0.0;0.0;0.0
39;24.4 Farmaceutische industrie;2001;3077.0;90.0;0.0;1.0;364.0;540.0;0.0;5.0;44.0;1975.0;54.0;3.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0
40;24.2,24.3,24.5,24.6 ov. chemische ind.;1995;3300.0;391.0;0.0;;617.0;760.0;166.0;11.0;48.0;353.0;393.0;;;78.0;165.0;;2.0;0.0;94.0;0.0;0.0;15.0
41;24.2,24.3,24.5,24.6 ov. chemische ind.;1997;2659.0;218.0;4.0;1.0;486.0;808.0;125.0;24.0;27.0;;265.0;;;80.0;;5.0;;;223.0;0.0;0.0;58.0
42;24.2,24.3,24.5,24.6 ov. chemische ind.;1999;2691.0;240.0;0.0;;535.0;569.0;99.0;;85.0;;366.0;;;93.0;122.0;;;0.0;179.0;0.0;0.0;50.0
43;24.2,24.3,24.5,24.6 ov. chemische ind.;2001;2018.0;137.0;0.0;4.0;236.0;587.0;138.0;44.0;0.0;145.0;296.0;8.0;0.0;379.0;0.0;3.0;1.0;0.0;3.0;0.0;0.0;35.0
44;24.2-24.6 Totaal chemische eindprod.ind.;1995;5553.0;396.0;0.0;;;;166.0;;137.0;;;;;78.0;;;2.0;0.0;;0.0;0.0;15.0
45;24.2-24.6 Totaal chemische eindprod.ind.;1997;5625.0;267.0;4.0;1.0;;;;;;;615.0;;;80.0;;;;;225.0;0.0;0.0;
46;24.2-24.6 Totaal chemische eindprod.ind.;1999;6092.0;;0.0;;;;;;;;;;;93.0;;;;0.0;;0.0;0.0;50.0
47;24.2-24.6 Totaal chemische eindprod.ind.;2001;5095.0;227.0;0.0;5.0;600.0;1127.0;138.0;49.0;44.0;2120.0;350.0;11.0;0.0;379.0;0.0;5.0;1.0;0.0;3.0;0.0;0.0;35.0
48;25 Rubber- en kunstofindustrie;1995;469.0;29.0;1.0;4.0;;61.0;8.0;0.0;2.0;1.0;76.0;;;107.0;115.0;;27.0;;23.0;0.0;0.0;0.0
49;25 Rubber- en kunstofindustrie;1997;657.0;25.0;;7.0;2.0;111.0;6.0;0.0;;;127.0;7.0;9.0;160.0;117.0;6.0;8.0;9.0;;0.0;0.0;
50;25 Rubber- en kunstofindustrie;1999;693.0;19.0;0.0;5.0;11.0;80.0;16.0;0.0;;;124.0;6.0;23.0;159.0;176.0;4.0;4.0;4.0;13.0;0.0;0.0;44.0
51;25 Rubber- en kunstofindustrie;2001;526.0;80.0;0.0;;;154.0;11.0;1.0;0.0;0.0;97.0;8.0;0.0;51.0;0.0;3.0;64.0;26.0;0.0;0.0;0.0;19.0
52;27 Basismetaalindustrie;1995;498.0;15.0;0.0;20.0;;31.0;119.0;0.0;1.0;;152.0;20.0;11.0;7.0;13.0;9.0;0.0;4.0;15.0;0.0;0.0;0.0
53;27 Basismetaalindustrie;1997;534.0;14.0;;10.0;145.0;;93.0;0.0;0.0;;151.0;;;8.0;14.0;12.0;;4.0;13.0;0.0;0.0;0.0
54;27 Basismetaalindustrie;1999;637.0;12.0;0.0;8.0;161.0;40.0;80.0;0.0;0.0;0.0;166.0;21.0;14.0;26.0;69.0;22.0;0.0;6.0;12.0;0.0;0.0;1.0
55;27 Basismetaalindustrie;2001;696.0;63.0;0.0;30.0;437.0;8.0;100.0;0.0;0.0;0.0;;1.0;0.0;3.0;0.0;;1.0;2.0;1.0;0.0;0.0;41.0
56;28 Metaalproductenindustrie;1995;791.0;22.0;10.0;45.0;;4.0;56.0;4.0;0.0;;109.0;29.0;23.0;187.0;190.0;10.0;12.0;7.0;14.0;0.0;0.0;4.0
57;28 Metaalproductenindustrie;1997;847.0;44.0;;43.0;36.0;15.0;50.0;0.0;0.0;0.0;67.0;33.0;20.0;325.0;127.0;25.0;6.0;;14.0;0.0;0.0;38.0
58;28 Metaalproductenindustrie;1999;997.0;49.0;;9.0;37.0;5.0;30.0;;;0.0;86.0;14.0;44.0;351.0;246.0;12.0;20.0;35.0;24.0;0.0;0.0;29.0
59;28 Metaalproductenindustrie;2001;1030.0;153.0;0.0;32.0;139.0;35.0;73.0;4.0;1.0;0.0;211.0;12.0;0.0;112.0;0.0;11.0;16.0;136.0;17.0;0.0;0.0;77.0
60;29 Machine-industrie;1995;2399.0;166.0;5.0;67.0;64.0;42.0;40.0;14.0;4.0;12.0;292.0;367.0;274.0;330.0;432.0;127.0;51.0;3.0;68.0;0.0;0.0;41.0
61;29 Machine-industrie;1997;3027.0;181.0;;54.0;132.0;35.0;106.0;55.0;6.0;;181.0;329.0;270.0;887.0;310.0;297.0;80.0;0.0;51.0;0.0;0.0;49.0
62;29 Machine-industrie;1999;3739.0;242.0;29.0;83.0;96.0;20.0;107.0;34.0;9.0;;477.0;496.0;398.0;818.0;299.0;441.0;79.0;;32.0;0.0;0.0;76.0
63;29 Machine-industrie;2001;4785.0;459.0;53.0;186.0;169.0;104.0;195.0;238.0;12.0;5.0;1222.0;452.0;24.0;387.0;0.0;408.0;434.0;103.0;0.0;0.0;0.0;334.0
64;30-33 Elektrotechnische industrie;1995;11729.0;585.0;6.0;53.0;;;173.0;;12.0;;;6268.0;;272.0;;1580.0;19.0;0.0;;0.0;0.0;22.0
65;30-33 Elektrotechnische industrie;1997;11362.0;552.0;;67.0;398.0;288.0;201.0;4.0;;622.0;484.0;5561.0;13.0;197.0;1108.0;1653.0;21.0;;154.0;0.0;0.0;26.0
66;30-33 Elektrotechnische industrie;1999;12156.0;;;;;;102.0;5.0;;948.0;;3054.0;27.0;584.0;;2987.0;10.0;0.0;158.0;0.0;0.0;
67;30-33 Elektrotechnische industrie;2001;12816.0;1008.0;0.0;110.0;330.0;420.0;118.0;24.0;48.0;901.0;1491.0;4724.0;0.0;599.0;0.0;2974.0;32.0;0.0;1.0;0.0;0.0;36.0
68;34+35 Transportmiddelen industrie;1995;2257.0;130.0;0.0;;;23.0;19.0;0.0;0.0;0.0;98.0;24.0;1492.0;132.0;185.0;7.0;19.0;7.0;17.0;0.0;0.0;6.0
69;34+35 Transportmiddelen industrie;1997;1936.0;69.0;23.0;44.0;37.0;43.0;39.0;0.0;0.0;0.0;46.0;38.0;1138.0;225.0;129.0;69.0;7.0;0.0;10.0;0.0;0.0;17.0
70;34+35 Transportmiddelen industrie;1999;1891.0;104.0;17.0;;4.0;14.0;12.0;0.0;0.0;0.0;70.0;17.0;1297.0;155.0;143.0;25.0;7.0;;;0.0;0.0;
71;34+35 Transportmiddelen industrie;2001;1742.0;159.0;0.0;13.0;151.0;11.0;33.0;0.0;0.0;0.0;64.0;21.0;526.0;125.0;0.0;9.0;501.0;39.0;1.0;0.0;0.0;88.0
72;20+26+36+37 Overige industrie;1995;508.0;13.0;6.0;4.0;31.0;25.0;15.0;0.0;0.0;0.0;63.0;7.0;9.0;200.0;86.0;3.0;3.0;10.0;28.0;0.0;0.0;3.0
73;20+26+36+37 Overige industrie;1997;564.0;34.0;8.0;9.0;32.0;44.0;28.0;;0.0;;64.0;16.0;7.0;144.0;90.0;16.0;10.0;6.0;43.0;0.0;0.0;11.0
74;20+26+36+37 Overige industrie;1999;472.0;10.0;;5.0;26.0;48.0;36.0;0.0;0.0;0.0;90.0;;9.0;132.0;54.0;7.0;16.0;4.0;24.0;0.0;0.0;5.0
75;20+26+36+37 Overige industrie;2001;896.0;123.0;0.0;10.0;74.0;149.0;52.0;3.0;0.0;0.0;140.0;15.0;26.0;156.0;0.0;5.0;7.0;29.0;17.0;0.0;0.0;89.0
76;50-99 Totaal diensten;1995;5206.0;237.0;11.0;733.0;7.0;25.0;25.0;;418.0;281.0;226.0;;209.0;372.0;77.0;1113.0;296.0;104.0;146.0;0.0;0.0;331.0
77;50-99 Totaal diensten;1997;9802.0;554.0;148.0;464.0;9.0;23.0;48.0;261.0;553.0;186.0;412.0;893.0;260.0;458.0;476.0;3368.0;468.0;185.0;352.0;0.0;0.0;674.0
78;50-99 Totaal diensten;1999;9826.0;713.0;157.0;223.0;56.0;;;200.0;587.0;256.0;313.0;420.0;354.0;730.0;157.0;3440.0;916.0;231.0;288.0;0.0;0.0;724.0
79;50-99 Totaal diensten;2001;12602.0;1500.0;0.0;240.0;168.0;140.0;92.0;936.0;490.0;596.0;38.0;652.0;122.0;190.0;0.0;5359.0;509.0;695.0;78.0;0.0;0.0;798.0
80;51+52 Totaal handel en reparatie;1995;1537.0;26.0;0.0;2.0;3.0;3.0;0.0;108.0;408.0;277.0;22.0;265.0;5.0;140.0;32.0;152.0;67.0;0.0;25.0;0.0;0.0;11.0
81;51+52 Totaal handel en reparatie;1997;2619.0;;0.0;;5.0;19.0;;104.0;;;;;28.0;305.0;186.0;669.0;87.0;;101.0;0.0;0.0;42.0
82;51+52 Totaal handel en reparatie;1999;2856.0;182.0;;15.0;28.0;33.0;;62.0;564.0;243.0;200.0;128.0;27.0;206.0;133.0;496.0;429.0;4.0;58.0;0.0;0.0;44.0
83;51+52 Totaal handel en reparatie;2001;2758.0;341.0;0.0;9.0;51.0;47.0;11.0;426.0;422.0;263.0;8.0;220.0;0.0;68.0;0.0;510.0;178.0;80.0;4.0;0.0;0.0;119.0
84;51 Groothandel;1995;1495.0;26.0;0.0;2.0;3.0;3.0;0.0;108.0;408.0;277.0;22.0;265.0;4.0;104.0;31.0;150.0;65.0;0.0;25.0;0.0;0.0;11.0
85;51 Groothandel;1997;2535.0;85.0;0.0;12.0;5.0;19.0;;94.0;527.0;;97.0;147.0;28.0;305.0;186.0;641.0;51.0;;99.0;0.0;0.0;42.0
86;51 Groothandel;1999;2290.0;178.0;;15.0;21.0;26.0;;49.0;564.0;236.0;200.0;128.0;17.0;206.0;129.0;201.0;243.0;4.0;41.0;0.0;0.0;31.0
87;51 Groothandel;2001;2363.0;333.0;0.0;9.0;37.0;40.0;4.0;415.0;422.0;248.0;8.0;202.0;0.0;68.0;0.0;301.0;74.0;80.0;4.0;0.0;0.0;118.0
88;52 Detailhandel en reparatie;1995;42.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;36.0;1.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0
89;52 Detailhandel en reparatie;1997;84.0;;0.0;;0.0;0.0;0.0;10.0;;0.0;;;0.0;0.0;0.0;28.0;36.0;;2.0;0.0;0.0;0.0
90;52 Detailhandel en reparatie;1999;566.0;4.0;0.0;0.0;7.0;7.0;4.0;13.0;0.0;7.0;0.0;0.0;10.0;0.0;4.0;295.0;186.0;0.0;17.0;0.0;0.0;13.0
91;52 Detailhandel en reparatie;2001;395.0;8.0;0.0;0.0;14.0;7.0;7.0;11.0;0.0;15.0;0.0;18.0;0.0;0.0;0.0;209.0;104.0;0.0;0.0;0.0;0.0;1.0
92;60-64 Vervoer en communicatie;1995;1119.0;3.0;0.0;64.0;0.0;0.0;10.0;2.0;0.0;0.0;0.0;;34.0;4.0;0.0;444.0;174.0;;11.0;0.0;0.0;
93;60-64 Vervoer en communicatie;1997;1033.0;7.0;0.0;;;;;;0.0;0.0;11.0;1.0;67.0;5.0;0.0;408.0;142.0;;35.0;0.0;0.0;
94;60-64 Vervoer en communicatie;1999;912.0;11.0;0.0;;0.0;0.0;;;0.0;0.0;8.0;10.0;153.0;;0.0;370.0;76.0;;14.0;0.0;0.0;264.0
95;60-64 Vervoer en communicatie;2001;1158.0;106.0;0.0;7.0;1.0;1.0;1.0;2.0;0.0;0.0;0.0;11.0;107.0;5.0;0.0;433.0;151.0;86.0;12.0;0.0;0.0;236.0
96;65-67 Financiele instellingen;1995;133.0;3.0;0.0;0.0;0.0;0.0;0.0;26.0;0.0;0.0;0.0;1.0;0.0;12.0;0.0;84.0;;0.0;0.0;0.0;0.0;
97;65-67 Financiele instellingen;1997;1135.0;36.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.0;;;0.0;687.0;101.0;0.0;8.0;0.0;0.0;241.0
98;65-67 Financiele instellingen;1999;1028.0;115.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;11.0;0.0;816.0;37.0;;;0.0;0.0;31.0
99;65-67 Financiele instellingen;2001;472.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;391.0;31.0;2.0;0.0;0.0;0.0;45.0
100;73 Research-ondernemingen;1995;340.0;116.0;0.0;45.0;1.0;0.0;2.0;103.0;0.0;4.0;0.0;0.0;0.0;33.0;0.0;1.0;6.0;15.0;13.0;0.0;0.0;0.0
101;73 Research-ondernemingen;1997;372.0;114.0;0.0;47.0;2.0;0.0;2.0;98.0;0.0;5.0;1.0;0.0;0.0;36.0;0.0;2.0;5.0;30.0;15.0;0.0;0.0;5.0
102;73 Research-ondernemingen;1999;355.0;120.0;0.0;39.0;2.0;1.0;2.0;105.0;5.0;0.0;2.0;0.0;0.0;20.0;;;0.0;34.0;17.0;0.0;0.0;5.0
103;73 Research-ondernemingen;2001;2184.0;706.0;0.0;60.0;101.0;67.0;31.0;472.0;56.0;275.0;0.0;56.0;;0.0;0.0;10.0;;255.0;18.0;0.0;0.0;55.0
104;70+71+72+74 Verhuur en overige;1995;2075.0;90.0;11.0;621.0;4.0;23.0;13.0;;9.0;0.0;203.0;15.0;172.0;183.0;46.0;433.0;;;97.0;0.0;0.0;24.0
105;70+71+72+74 Verhuur en overige;1997;4553.0;;149.0;354.0;;;24.0;;;;;;;;;1602.0;;145.0;;0.0;0.0;
106;70+71+72+74 Verhuur en overige;1999;4563.0;;;;25.0;;;;18.0;13.0;;;;;;1756.0;;179.0;;0.0;0.0;378.0
107;70+71+72+74 Verhuur en overige;2001;5932.0;341.0;0.0;151.0;15.0;25.0;48.0;36.0;11.0;57.0;23.0;363.0;;118.0;0.0;4010.0;;252.0;9.0;0.0;0.0;337.0
108;72 Computerservicebureaus;1995;519.0;55.0;0.0;2.0;0.0;2.0;0.0;;0.0;0.0;6.0;0.0;4.0;108.0;2.0;319.0;14.0;;3.0;0.0;0.0;0.0
109;72 Computerservicebureaus;1997;1282.0;88.0;121.0;0.0;0.0;;0.0;0.0;0.0;0.0;;;0.0;0.0;;1014.0;43.0;0.0;;0.0;0.0;
110;72 Computerservicebureaus;1999;1985.0;28.0;;4.0;0.0;0.0;0.0;;0.0;0.0;21.0;34.0;;37.0;0.0;1434.0;331.0;0.0;;0.0;0.0;48.0
111;72 Computerservicebureaus;2001;4144.0;226.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;225.0;0.0;0.0;0.0;3620.0;64.0;0.0;0.0;0.0;0.0;6.0
112;74.1 Juridische en econ. adviesdiensten;1995;90.0;3.0;0.0;2.0;3.0;0.0;0.0;;9.0;0.0;9.0;2.0;2.0;17.0;8.0;23.0;;;4.0;0.0;0.0;0.0
113;74.1 Juridische en econ. adviesdiensten;1997;294.0;28.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;190.0;;32.0;;0.0;0.0;
114;74.1 Juridische en econ. adviesdiensten;1999;234.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;18.0;0.0;136.0;;0.0;0.0;0.0;0.0;56.0
115;74.1 Juridische en econ. adviesdiensten;2001;272.0;22.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.0;0.0;13.0;0.0;130.0;1.0;0.0;0.0;0.0;0.0;36.0
116;74.2 Architecten en ingenieursbureaus;1995;769.0;21.0;11.0;78.0;1.0;10.0;13.0;0.0;0.0;0.0;148.0;13.0;157.0;41.0;36.0;74.0;;;83.0;0.0;0.0;2.0
117;74.2 Architecten en ingenieursbureaus;1997;2321.0;173.0;28.0;41.0;;;24.0;57.0;13.0;0.0;219.0;724.0;145.0;41.0;269.0;333.0;58.0;105.0;86.0;0.0;0.0;6.0
118;74.2 Architecten en ingenieursbureaus;1999;1883.0;50.0;113.0;67.0;4.0;4.0;4.0;30.0;18.0;13.0;70.0;;173.0;;22.0;151.0;36.0;143.0;87.0;0.0;0.0;250.0
119;74.2 Architecten en ingenieursbureaus;2001;1306.0;50.0;0.0;129.0;15.0;23.0;48.0;33.0;11.0;0.0;23.0;61.0;;105.0;0.0;220.0;;240.0;9.0;0.0;0.0;275.0
120;74.3-74.8 Overige zakelijke dienstverl.;1995;697.0;11.0;0.0;539.0;0.0;11.0;0.0;0.0;0.0;0.0;40.0;0.0;9.0;17.0;0.0;17.0;;;7.0;0.0;0.0;22.0
121;74.3-74.8 Overige zakelijke dienstverl.;1997;656.0;;0.0;313.0;0.0;0.0;0.0;;;;;1.0;;24.0;;65.0;29.0;8.0;21.0;0.0;0.0;71.0
122;74.3-74.8 Overige zakelijke dienstverl.;1999;461.0;187.0;0.0;;21.0;;;0.0;0.0;0.0;;;;;;35.0;7.0;36.0;;0.0;0.0;24.0
123;74.3-74.8 Overige zakelijke dienstverl.;2001;210.0;43.0;0.0;22.0;0.0;2.0;0.0;3.0;0.0;54.0;0.0;7.0;0.0;0.0;0.0;40.0;6.0;12.0;0.0;0.0;0.0;20.0
124;90 Milieu dienstverlening;1995;;;;;;;;;;;;;;;;;;;;;;
125;90 Milieu dienstverlening;1997;92.0;8.0;0.0;5.0;;0.0;0.0;0.0;0.0;0.0;18.0;0.0;0.0;2.0;;0.0;;0.0;52.0;0.0;0.0;0.0
126;90 Milieu dienstverlening;1999;111.0;;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;;;0.0;;;8.0;84.0;0.0;0.0;0.0
127;90 Milieu dienstverlening;2001;101.0;3.0;0.0;12.0;0.0;0.0;1.0;0.0;0.0;0.0;6.0;2.0;0.0;0.0;0.0;6.0;8.0;19.0;36.0;0.0;0.0;8.0
128;01-14, 40, 41+45 Totaal overig;1995;1957.0;56.0;700.0;125.0;2.0;1.0;1.0;;259.0;0.0;38.0;;49.0;60.0;60.0;37.0;21.0;162.0;48.0;0.0;0.0;10.0
129;01-14, 40, 41+45 Totaal overig;1997;2358.0;50.0;940.0;341.0;2.0;12.0;20.0;189.0;359.0;0.0;58.0;52.0;25.0;25.0;39.0;50.0;38.0;79.0;39.0;0.0;0.0;39.0
130;01-14, 40, 41+45 Totaal overig;1999;2669.0;104.0;300.0;200.0;7.0;;;262.0;646.0;0.0;126.0;26.0;11.0;56.0;32.0;637.0;22.0;76.0;80.0;0.0;0.0;67.0
