ID;Bestemming;Marges;Perioden;TotaalNederlanders_1;PercentageNederlanders_2;TotaalVakanties_3;GemiddeldPerDeelnemer_4;TotaalVakantiedagen_5;GemiddeldPerDeelnemer_6;GemiddeldPerVakantie_7;TotaalOvernachtingen_8;GemiddeldPerDeelnemer_9;GemiddeldPerVakantie_10;TotaalVakantieUitgaven_11;GemiddeldPerDeelnemer_12;GemiddeldPerPersoonPerVakantie_13;GemiddeldPerPersoonPerVakantiedag_14
14;Afrika totaal;Ondergrens 95%-interval;2023;438.0;3.0;487.0;1.1;6.6;13.5;;6.1;12.4;;732.0;1463.0;;
15;Afrika totaal;Bovengrens 95%-interval;2021;238.0;1.7;241.0;1.0;3.8;17.7;;3.6;16.7;;445.0;2086.0;;
16;Afrika totaal;Bovengrens 95%-interval;2022;557.0;3.8;611.0;1.1;9.4;18.1;;8.8;17.0;;985.0;1911.0;;
17;Afrika totaal;Bovengrens 95%-interval;2023;626.0;4.3;690.0;1.1;9.9;17.6;;9.3;16.4;;1111.0;2000.0;;
18;Noord-Afrika;Waarde;2021;153.0;1.1;155.0;1.0;2.2;14.2;14.0;2.0;13.2;13.0;221.0;1445.0;1424.0;102.0
19;Noord-Afrika;Waarde;2022;351.0;2.4;373.0;1.1;4.8;13.7;12.9;4.4;12.7;11.9;466.0;1328.0;1248.0;97.0
20;Noord-Afrika;Waarde;2023;374.0;2.5;398.0;1.1;4.8;12.7;11.9;4.4;11.7;10.9;452.0;1210.0;1136.0;95.0
21;Noord-Afrika;Ondergrens 95%-interval;2021;115.0;0.8;117.0;1.0;1.4;11.3;;1.3;10.3;;156.0;1211.0;;
22;Noord-Afrika;Ondergrens 95%-interval;2022;297.0;2.1;316.0;1.0;3.9;12.2;;3.6;11.1;;384.0;1182.0;;
23;Noord-Afrika;Ondergrens 95%-interval;2023;291.0;2.0;311.0;1.0;3.6;11.0;;3.3;9.9;;355.0;1068.0;;
24;Noord-Afrika;Bovengrens 95%-interval;2021;192.0;1.4;194.0;1.0;2.9;17.1;;2.7;16.1;;287.0;1679.0;;
25;Noord-Afrika;Bovengrens 95%-interval;2022;405.0;2.8;431.0;1.1;5.8;15.3;;5.3;14.2;;549.0;1474.0;;
26;Noord-Afrika;Bovengrens 95%-interval;2023;457.0;3.1;486.0;1.1;5.9;14.5;;5.4;13.4;;550.0;1353.0;;
27;West-Afrika;Waarde;2021;;;;;;;;;;;;;;
28;West-Afrika;Waarde;2022;50.0;0.3;53.0;1.1;1.1;22.2;20.8;1.1;21.1;19.8;86.0;1734.0;1623.0;78.0
29;West-Afrika;Waarde;2023;;;;;;;;;;;;;;
30;West-Afrika;Ondergrens 95%-interval;2021;;;;;;;;;;;;;;
31;West-Afrika;Ondergrens 95%-interval;2022;30.0;0.2;33.0;1.0;0.4;13.6;;0.4;12.5;;49.0;1363.0;;
32;West-Afrika;Ondergrens 95%-interval;2023;;;;;;;;;;;;;;
33;West-Afrika;Bovengrens 95%-interval;2021;;;;;;;;;;;;;;
34;West-Afrika;Bovengrens 95%-interval;2022;70.0;0.5;74.0;1.1;1.8;30.8;;1.7;29.7;;124.0;2106.0;;
35;West-Afrika;Bovengrens 95%-interval;2023;;;;;;;;;;;;;;
36;Overig Afrika;Waarde;2021;;;;;;;;;;;;;;
37;Overig Afrika;Waarde;2022;106.0;0.7;113.0;1.1;2.2;20.6;19.1;2.1;19.5;18.1;303.0;2873.0;2673.0;140.0
38;Overig Afrika;Waarde;2023;117.0;0.8;120.0;1.0;2.6;22.3;21.7;2.5;21.3;20.7;388.0;3306.0;3218.0;148.0
39;Overig Afrika;Ondergrens 95%-interval;2021;;;;;;;;;;;;;;
40;Overig Afrika;Ondergrens 95%-interval;2022;77.0;0.6;82.0;1.0;1.6;17.7;;1.5;16.6;;214.0;2277.0;;
41;Overig Afrika;Ondergrens 95%-interval;2023;82.0;0.6;83.0;1.0;1.6;17.3;;1.5;16.3;;236.0;2571.0;;
42;Overig Afrika;Bovengrens 95%-interval;2021;;;;;;;;;;;;;;
43;Overig Afrika;Bovengrens 95%-interval;2022;134.0;0.9;145.0;1.1;2.7;23.4;;2.6;22.3;;393.0;3469.0;;
44;Overig Afrika;Bovengrens 95%-interval;2023;153.0;1.1;158.0;1.1;3.6;27.4;;3.5;26.3;;540.0;4040.0;;
45;Azië totaal;Waarde;2021;153.0;1.1;169.0;1.1;3.1;20.3;18.4;2.9;19.2;17.4;241.0;1574.0;1424.0;78.0
46;Azië totaal;Waarde;2022;611.0;4.2;709.0;1.2;11.6;18.9;16.3;10.8;17.7;15.3;1111.0;1817.0;1567.0;96.0
47;Azië totaal;Waarde;2023;903.0;6.1;970.0;1.1;16.9;18.8;17.5;16.0;17.7;16.5;1922.0;2130.0;1982.0;114.0
48;Azië totaal;Ondergrens 95%-interval;2021;111.0;0.8;120.0;1.0;2.0;16.4;;1.9;15.3;;164.0;1296.0;;
49;Azië totaal;Ondergrens 95%-interval;2022;533.0;3.7;608.0;1.1;9.5;16.7;;8.9;15.6;;950.0;1658.0;;
50;Azië totaal;Ondergrens 95%-interval;2023;765.0;5.2;822.0;1.0;14.0;17.1;;13.1;16.1;;1574.0;1873.0;;
51;Azië totaal;Bovengrens 95%-interval;2021;195.0;1.4;218.0;1.2;4.2;24.2;;4.0;23.1;;318.0;1853.0;;
52;Azië totaal;Bovengrens 95%-interval;2022;689.0;4.7;810.0;1.2;13.6;21.1;;12.8;19.9;;1271.0;1976.0;;
53;Azië totaal;Bovengrens 95%-interval;2023;1040.0;7.0;1118.0;1.1;19.9;20.4;;18.8;19.3;;2271.0;2387.0;;
54;West-Azië;Waarde;2021;131.0;0.9;144.0;1.1;2.3;17.6;16.0;2.2;16.5;15.0;204.0;1555.0;1418.0;88.0
55;West-Azië;Waarde;2022;413.0;2.8;478.0;1.2;6.3;15.2;13.1;5.8;14.0;12.1;595.0;1441.0;1243.0;95.0
56;West-Azië;Waarde;2023;397.0;2.7;419.0;1.1;5.3;13.3;12.6;4.9;12.3;11.6;601.0;1514.0;1434.0;114.0
57;West-Azië;Ondergrens 95%-interval;2021;94.0;0.7;101.0;1.0;1.5;14.1;;1.4;13.0;;136.0;1257.0;;
58;West-Azië;Ondergrens 95%-interval;2022;348.0;2.4;392.0;1.1;4.7;12.3;;4.3;11.2;;485.0;1274.0;;
59;West-Azië;Ondergrens 95%-interval;2023;310.0;2.2;327.0;1.0;3.9;11.2;;3.5;10.2;;418.0;1157.0;;
60;West-Azië;Bovengrens 95%-interval;2021;169.0;1.2;188.0;1.2;3.2;21.1;;3.0;20.0;;273.0;1853.0;;
61;West-Azië;Bovengrens 95%-interval;2022;477.0;3.3;565.0;1.3;7.9;18.0;;7.3;16.8;;704.0;1608.0;;
62;West-Azië;Bovengrens 95%-interval;2023;483.0;3.3;511.0;1.1;6.7;15.4;;6.2;14.3;;783.0;1872.0;;
63;Zuidoost-Azië;Waarde;2021;;;;;;;;;;;;;;
64;Zuidoost-Azië;Waarde;2022;151.0;1.0;161.0;1.1;3.8;25.1;23.4;3.6;24.0;22.4;368.0;2442.0;2283.0;98.0
65;Zuidoost-Azië;Waarde;2023;362.0;2.4;387.0;1.1;8.8;24.3;22.7;8.4;23.2;21.7;881.0;2434.0;2276.0;100.0
66;Zuidoost-Azië;Ondergrens 95%-interval;2021;;;;;;;;;;;;;;
67;Zuidoost-Azië;Ondergrens 95%-interval;2022;114.0;0.8;121.0;1.0;2.8;22.4;;2.7;21.3;;273.0;2114.0;;
68;Zuidoost-Azië;Ondergrens 95%-interval;2023;270.0;1.9;288.0;1.0;6.4;21.8;;6.1;20.8;;647.0;2078.0;;
69;Zuidoost-Azië;Bovengrens 95%-interval;2021;;;;;;;;;;;;;;
70;Zuidoost-Azië;Bovengrens 95%-interval;2022;188.0;1.3;201.0;1.1;4.8;27.7;;4.6;26.6;;464.0;2771.0;;
71;Zuidoost-Azië;Bovengrens 95%-interval;2023;454.0;3.1;486.0;1.1;11.2;26.7;;10.7;25.6;;1115.0;2790.0;;
72;Overig Azië;Waarde;2021;;;;;;;;;;;;;;
73;Overig Azië;Waarde;2022;;;;;;;;;;;;;;
74;Overig Azië;Waarde;2023;163.0;1.1;164.0;1.0;2.9;17.5;17.4;2.7;16.5;16.4;440.0;2698.0;2686.0;154.0
75;Overig Azië;Ondergrens 95%-interval;2021;;;;;;;;;;;;;;
76;Overig Azië;Ondergrens 95%-interval;2022;;;;;;;;;;;;;;
77;Overig Azië;Ondergrens 95%-interval;2023;106.0;0.8;106.0;1.0;1.8;15.4;;1.7;14.4;;270.0;2105.0;;
78;Overig Azië;Bovengrens 95%-interval;2021;;;;;;;;;;;;;;
79;Overig Azië;Bovengrens 95%-interval;2022;;;;;;;;;;;;;;
80;Overig Azië;Bovengrens 95%-interval;2023;221.0;1.6;222.0;1.0;3.9;19.7;;3.7;18.7;;610.0;3290.0;;
81;Europa totaal;Waarde;2021;6178.0;42.5;9562.0;1.5;105.0;17.0;11.0;95.4;15.4;10.0;7234.0;1171.0;756.0;69.0
82;Europa totaal;Waarde;2022;8610.0;58.8;17233.0;2.0;175.2;20.4;10.2;158.0;18.4;9.2;12224.0;1420.0;709.0;70.0
83;Europa totaal;Waarde;2023;8971.0;60.5;18503.0;2.1;186.1;20.7;10.1;167.6;18.7;9.1;13434.0;1497.0;726.0;72.0
84;Europa totaal;Ondergrens 95%-interval;2021;5981.0;41.3;9171.0;1.5;100.6;16.5;;91.3;15.0;;6922.0;1136.0;;
85;Europa totaal;Ondergrens 95%-interval;2022;8394.0;57.7;16661.0;2.0;169.5;19.9;;152.7;17.9;;11822.0;1384.0;;
86;Europa totaal;Ondergrens 95%-interval;2023;8635.0;58.9;17457.0;2.0;169.8;19.2;;152.2;17.2;;12729.0;1439.0;;
87;Europa totaal;Bovengrens 95%-interval;2021;6375.0;43.7;9954.0;1.6;109.4;17.5;;99.5;15.9;;7545.0;1206.0;;
88;Europa totaal;Bovengrens 95%-interval;2022;8826.0;59.9;17805.0;2.0;180.9;20.8;;163.3;18.8;;12627.0;1455.0;;
89;Europa totaal;Bovengrens 95%-interval;2023;9307.0;62.0;19548.0;2.1;202.3;22.3;;183.0;20.2;;14138.0;1556.0;;
90;Noord-Europa;Waarde;2021;512.0;3.5;590.0;1.2;6.5;12.8;11.1;6.0;11.6;10.1;500.0;976.0;847.0;76.0
91;Noord-Europa;Waarde;2022;1548.0;10.6;1793.0;1.2;18.6;12.0;10.4;16.9;10.9;9.4;1597.0;1032.0;891.0;86.0
92;Noord-Europa;Waarde;2023;1848.0;12.5;2282.0;1.2;24.5;13.3;10.7;22.2;12.0;9.7;2042.0;1105.0;895.0;83.0
93;Noord-Europa;Ondergrens 95%-interval;2021;444.0;3.1;506.0;1.1;5.6;11.6;;5.1;10.5;;423.0;888.0;;
94;Noord-Europa;Ondergrens 95%-interval;2022;1437.0;9.9;1654.0;1.1;17.0;11.3;;15.3;10.2;;1456.0;967.0;;
95;Noord-Europa;Ondergrens 95%-interval;2023;1656.0;11.3;1934.0;1.1;17.9;10.3;;15.9;9.1;;1796.0;1020.0;;
96;Noord-Europa;Bovengrens 95%-interval;2021;580.0;4.0;674.0;1.2;7.5;13.9;;6.8;12.7;;576.0;1063.0;;
97;Noord-Europa;Bovengrens 95%-interval;2022;1658.0;11.3;1932.0;1.2;20.3;12.8;;18.4;11.6;;1738.0;1097.0;;
98;Noord-Europa;Bovengrens 95%-interval;2023;2040.0;13.7;2631.0;1.3;31.2;16.3;;28.6;15.0;;2288.0;1190.0;;
99;Oost-Europa;Waarde;2021;277.0;1.9;334.0;1.2;4.6;16.6;13.7;4.3;15.3;12.7;214.0;771.0;640.0;47.0
100;Oost-Europa;Waarde;2022;421.0;2.9;473.0;1.1;4.9;11.7;10.4;4.4;10.5;9.4;266.0;632.0;562.0;54.0
101;Oost-Europa;Waarde;2023;483.0;3.3;515.0;1.1;4.7;9.8;9.2;4.2;8.7;8.2;308.0;638.0;598.0;65.0
102;Oost-Europa;Ondergrens 95%-interval;2021;225.0;1.6;258.0;1.1;3.2;13.0;;3.0;11.9;;160.0;643.0;;
103;Oost-Europa;Ondergrens 95%-interval;2022;356.0;2.5;396.0;1.1;3.8;9.7;;3.4;8.6;;215.0;548.0;;
104;Oost-Europa;Ondergrens 95%-interval;2023;381.0;2.6;397.0;1.0;3.5;8.1;;3.1;7.0;;226.0;516.0;;
105;Oost-Europa;Bovengrens 95%-interval;2021;330.0;2.3;411.0;1.4;5.9;20.1;;5.5;18.8;;268.0;900.0;;
106;Oost-Europa;Bovengrens 95%-interval;2022;485.0;3.3;550.0;1.2;6.0;13.6;;5.5;12.5;;317.0;715.0;;
107;Oost-Europa;Bovengrens 95%-interval;2023;585.0;4.0;634.0;1.1;5.9;11.5;;5.3;10.4;;391.0;761.0;;
108;Zuid-Europa;Waarde;2021;2536.0;17.5;3144.0;1.2;40.6;16.0;12.9;37.5;14.8;11.9;3530.0;1392.0;1123.0;87.0
109;Zuid-Europa;Waarde;2022;4014.0;27.4;5407.0;1.3;68.5;17.1;12.7;63.1;15.7;11.7;5444.0;1356.0;1007.0;80.0
110;Zuid-Europa;Waarde;2023;3944.0;26.6;5332.0;1.4;66.6;16.9;12.5;61.3;15.5;11.5;5614.0;1424.0;1053.0;84.0
111;Zuid-Europa;Ondergrens 95%-interval;2021;2396.0;16.6;2948.0;1.2;38.0;15.4;;35.0;14.2;;3298.0;1338.0;;
112;Zuid-Europa;Ondergrens 95%-interval;2022;3849.0;26.4;5140.0;1.3;65.0;16.5;;59.8;15.1;;5176.0;1309.0;;
113;Zuid-Europa;Ondergrens 95%-interval;2023;3695.0;25.1;4926.0;1.3;60.8;15.9;;55.8;14.6;;5219.0;1354.0;;
114;Zuid-Europa;Bovengrens 95%-interval;2021;2677.0;18.4;3340.0;1.3;43.3;16.7;;40.0;15.4;;3763.0;1445.0;;
115;Zuid-Europa;Bovengrens 95%-interval;2022;4179.0;28.5;5673.0;1.4;72.0;17.6;;66.3;16.3;;5713.0;1403.0;;
116;Zuid-Europa;Bovengrens 95%-interval;2023;4193.0;28.1;5739.0;1.4;72.5;17.9;;66.8;16.5;;6010.0;1493.0;;
117;West-Europa;Waarde;2021;3958.0;27.2;5495.0;1.4;53.2;13.4;9.7;47.7;12.1;8.7;2990.0;755.0;544.0;56.0
118;West-Europa;Waarde;2022;6004.0;41.0;9560.0;1.6;83.2;13.9;8.7;73.7;12.3;7.7;4917.0;819.0;514.0;59.0
119;West-Europa;Waarde;2023;6322.0;42.6;10372.0;1.6;90.2;14.3;8.7;79.8;12.6;7.7;5469.0;865.0;527.0;61.0
120;West-Europa;Ondergrens 95%-interval;2021;3792.0;26.2;5205.0;1.3;50.2;12.9;;44.9;11.5;;2822.0;725.0;;
121;West-Europa;Ondergrens 95%-interval;2022;5813.0;39.9;9191.0;1.6;79.8;13.4;;70.5;11.9;;4716.0;794.0;;
122;West-Europa;Ondergrens 95%-interval;2023;6027.0;41.0;9751.0;1.6;83.3;13.4;;73.3;11.8;;5115.0;824.0;;
123;West-Europa;Bovengrens 95%-interval;2021;4124.0;28.3;5784.0;1.4;56.3;14.0;;50.6;12.6;;3158.0;786.0;;
124;West-Europa;Bovengrens 95%-interval;2022;6195.0;42.1;9929.0;1.6;86.7;14.3;;76.8;12.7;;5119.0;844.0;;
125;West-Europa;Bovengrens 95%-interval;2023;6617.0;44.2;10994.0;1.7;97.1;15.1;;86.3;13.4;;5822.0;906.0;;
126;Noord-Amerika;Waarde;2021;;;;;;;;;;;;;;
127;Noord-Amerika;Waarde;2022;343.0;2.3;394.0;1.1;6.7;19.7;17.1;6.4;18.5;16.1;1055.0;3074.0;2676.0;156.0
128;Noord-Amerika;Waarde;2023;336.0;2.3;353.0;1.1;5.4;16.2;15.4;5.1;15.2;14.4;936.0;2788.0;2650.0;172.0
129;Noord-Amerika;Ondergrens 95%-interval;2021;;;;;;;;;;;;;;
130;Noord-Amerika;Ondergrens 95%-interval;2022;287.0;2.0;317.0;1.0;5.5;17.6;;5.2;16.5;;845.0;2692.0;;
131;Noord-Amerika;Ondergrens 95%-interval;2023;270.0;1.9;278.0;1.0;4.2;14.6;;3.9;13.6;;717.0;2451.0;;
132;Noord-Amerika;Bovengrens 95%-interval;2021;;;;;;;;;;;;;;
133;Noord-Amerika;Bovengrens 95%-interval;2022;399.0;2.8;471.0;1.3;8.0;21.7;;7.5;20.5;;1265.0;3456.0;;
134;Noord-Amerika;Bovengrens 95%-interval;2023;402.0;2.7;429.0;1.1;6.7;17.8;;6.2;16.8;;1156.0;3125.0;;
135;Midden-Amerika totaal;Waarde;2021;186.0;1.3;203.0;1.1;3.4;18.2;16.7;3.2;17.1;15.7;470.0;2530.0;2314.0;139.0
136;Midden-Amerika totaal;Waarde;2022;373.0;2.5;403.0;1.1;6.6;17.8;16.5;6.2;16.7;15.5;849.0;2275.0;2108.0;128.0
137;Midden-Amerika totaal;Waarde;2023;242.0;1.6;246.0;1.0;4.1;17.1;16.8;3.9;16.0;15.8;632.0;2613.0;2572.0;153.0
138;Midden-Amerika totaal;Ondergrens 95%-interval;2021;145.0;1.0;155.0;1.0;2.4;15.1;;2.3;14.0;;347.0;2196.0;;
139;Midden-Amerika totaal;Ondergrens 95%-interval;2022;319.0;2.2;342.0;1.0;5.5;16.0;;5.1;15.0;;710.0;2035.0;;
140;Midden-Amerika totaal;Ondergrens 95%-interval;2023;187.0;1.3;191.0;1.0;3.0;14.8;;2.8;13.8;;465.0;2213.0;;
141;Midden-Amerika totaal;Bovengrens 95%-interval;2021;227.0;1.6;251.0;1.2;4.3;21.3;;4.1;20.2;;593.0;2865.0;;
142;Midden-Amerika totaal;Bovengrens 95%-interval;2022;428.0;2.9;464.0;1.1;7.8;19.6;;7.3;18.5;;989.0;2515.0;;
143;Midden-Amerika totaal;Bovengrens 95%-interval;2023;297.0;2.0;301.0;1.0;5.2;19.3;;4.9;18.3;;800.0;3013.0;;
144;Centraal-Amerika;Waarde;2021;;;;;;;;;;;;;;
145;Centraal-Amerika;Waarde;2022;90.0;0.6;101.0;1.1;2.0;21.7;19.4;1.9;20.5;18.4;224.0;2481.0;2218.0;115.0
146;Centraal-Amerika;Waarde;2023;;;;;;;;;;;;;;
147;Centraal-Amerika;Ondergrens 95%-interval;2021;;;;;;;;;;;;;;
148;Centraal-Amerika;Ondergrens 95%-interval;2022;62.0;0.5;67.0;1.0;1.3;16.9;;1.2;15.9;;149.0;1963.0;;
149;Centraal-Amerika;Ondergrens 95%-interval;2023;;;;;;;;;;;;;;
150;Centraal-Amerika;Bovengrens 95%-interval;2021;;;;;;;;;;;;;;
151;Centraal-Amerika;Bovengrens 95%-interval;2022;119.0;0.8;135.0;1.3;2.6;26.4;;2.5;25.1;;299.0;2999.0;;
152;Centraal-Amerika;Bovengrens 95%-interval;2023;;;;;;;;;;;;;;
153;Caribisch gebied;Waarde;2021;162.0;1.1;171.0;1.1;2.8;17.1;16.3;2.6;16.1;15.3;398.0;2450.0;2331.0;143.0
154;Caribisch gebied;Waarde;2022;286.0;2.0;302.0;1.1;4.7;16.4;15.5;4.4;15.3;14.5;625.0;2187.0;2070.0;133.0
155;Caribisch gebied;Waarde;2023;173.0;1.2;176.0;1.0;2.8;16.1;15.9;2.6;15.1;14.9;425.0;2452.0;2412.0;152.0
156;Caribisch gebied;Ondergrens 95%-interval;2021;124.0;0.9;130.0;1.0;1.9;13.7;;1.8;12.7;;290.0;2111.0;;
157;Caribisch gebied;Ondergrens 95%-interval;2022;239.0;1.7;252.0;1.0;3.8;14.6;;3.5;13.6;;508.0;1921.0;;
158;Caribisch gebied;Ondergrens 95%-interval;2023;126.0;0.9;129.0;1.0;1.9;13.2;;1.7;12.2;;288.0;2004.0;;
159;Caribisch gebied;Bovengrens 95%-interval;2021;201.0;1.4;211.0;1.1;3.6;20.5;;3.4;19.5;;505.0;2790.0;;
160;Caribisch gebied;Bovengrens 95%-interval;2022;332.0;2.3;352.0;1.1;5.6;18.2;;5.3;17.1;;742.0;2453.0;;
161;Caribisch gebied;Bovengrens 95%-interval;2023;221.0;1.5;224.0;1.0;3.7;19.0;;3.5;18.0;;562.0;2899.0;;
162;Zuid-Amerika;Waarde;2021;;;;;;;;;;;;;;
163;Zuid-Amerika;Waarde;2022;88.0;0.6;106.0;1.2;2.1;23.8;19.7;2.0;22.6;18.7;219.0;2473.0;2055.0;104.0
164;Zuid-Amerika;Waarde;2023;;;;;;;;;;;;;;
165;Zuid-Amerika;Ondergrens 95%-interval;2021;;;;;;;;;;;;;;
166;Zuid-Amerika;Ondergrens 95%-interval;2022;59.0;0.4;66.0;1.0;1.3;19.1;;1.2;18.0;;138.0;1924.0;;
167;Zuid-Amerika;Ondergrens 95%-interval;2023;;;;;;;;;;;;;;
168;Zuid-Amerika;Bovengrens 95%-interval;2021;;;;;;;;;;;;;;
169;Zuid-Amerika;Bovengrens 95%-interval;2022;118.0;0.8;147.0;1.4;2.9;28.4;;2.8;27.1;;299.0;3023.0;;
170;Zuid-Amerika;Bovengrens 95%-interval;2023;;;;;;;;;;;;;;
171;Oceanië, Antarctica                 ;Waarde;2021;;;;;;;;;;;;;;
172;Oceanië, Antarctica                 ;Waarde;2022;;;;;;;;;;;;;;
173;Oceanië, Antarctica                 ;Waarde;2023;;;;;;;;;;;;;;
174;Oceanië, Antarctica                 ;Ondergrens 95%-interval;2021;;;;;;;;;;;;;;
175;Oceanië, Antarctica                 ;Ondergrens 95%-interval;2022;;;;;;;;;;;;;;
176;Oceanië, Antarctica                 ;Ondergrens 95%-interval;2023;;;;;;;;;;;;;;
177;Oceanië, Antarctica                 ;Bovengrens 95%-interval;2021;;;;;;;;;;;;;;
178;Oceanië, Antarctica                 ;Bovengrens 95%-interval;2022;;;;;;;;;;;;;;
179;Oceanië, Antarctica                 ;Bovengrens 95%-interval;2023;;;;;;;;;;;;;;
180;België (BE);Waarde;2021;869.0;6.0;1082.0;1.2;5.3;6.1;4.9;4.2;4.8;3.9;314.0;361.0;290.0;60.0
181;België (BE);Waarde;2022;1638.0;11.2;1956.0;1.2;9.5;5.8;4.9;7.6;4.6;3.9;552.0;337.0;282.0;58.0
182;België (BE);Waarde;2023;1763.0;11.9;2021.0;1.1;10.1;5.7;5.0;8.0;4.6;4.0;643.0;365.0;318.0;64.0
183;België (BE);Ondergrens 95%-interval;2021;780.0;5.4;932.0;1.1;4.4;5.3;;3.5;4.2;;272.0;329.0;;
184;België (BE);Ondergrens 95%-interval;2022;1523.0;10.5;1808.0;1.2;8.5;5.3;;6.6;4.1;;507.0;319.0;;
185;België (BE);Ondergrens 95%-interval;2023;1598.0;10.9;1820.0;1.1;8.7;5.1;;6.8;4.0;;557.0;330.0;;
186;België (BE);Bovengrens 95%-interval;2021;959.0;6.6;1232.0;1.4;6.1;6.8;;4.9;5.5;;356.0;394.0;;
187;België (BE);Bovengrens 95%-interval;2022;1752.0;12.0;2104.0;1.2;10.5;6.3;;8.5;5.1;;598.0;355.0;;
188;België (BE);Bovengrens 95%-interval;2023;1928.0;13.0;2222.0;1.2;11.4;6.3;;9.3;5.1;;729.0;400.0;;
189;Canada (CA);Waarde;2021;;;;;;;;;;;;;;
190;Canada (CA);Waarde;2022;66.0;0.4;68.0;1.0;1.4;21.9;21.2;1.4;20.9;20.2;200.0;3045.0;2941.0;139.0
191;Canada (CA);Waarde;2023;;;;;;;;;;;;;;
192;Canada (CA);Ondergrens 95%-interval;2021;;;;;;;;;;;;;;
193;Canada (CA);Ondergrens 95%-interval;2022;42.0;0.3;43.0;1.0;0.9;19.3;;0.9;18.3;;126.0;2432.0;;
194;Canada (CA);Ondergrens 95%-interval;2023;;;;;;;;;;;;;;
195;Canada (CA);Bovengrens 95%-interval;2021;;;;;;;;;;;;;;
196;Canada (CA);Bovengrens 95%-interval;2022;89.0;0.6;93.0;1.1;2.0;24.5;;1.9;23.4;;275.0;3658.0;;
197;Canada (CA);Bovengrens 95%-interval;2023;;;;;;;;;;;;;;
198;Caribisch Nederland (BQ);Waarde;2021;;;;;;;;;;;;;;
199;Caribisch Nederland (BQ);Waarde;2022;62.0;0.4;68.0;1.1;1.0;16.2;14.8;0.9;15.1;13.8;150.0;2403.0;2198.0;148.0
200;Caribisch Nederland (BQ);Waarde;2023;;;;;;;;;;;;;;
201;Caribisch Nederland (BQ);Ondergrens 95%-interval;2021;;;;;;;;;;;;;;
202;Caribisch Nederland (BQ);Ondergrens 95%-interval;2022;43.0;0.3;46.0;1.0;0.6;12.6;;0.6;11.5;;98.0;1896.0;;
203;Caribisch Nederland (BQ);Ondergrens 95%-interval;2023;;;;;;;;;;;;;;
204;Caribisch Nederland (BQ);Bovengrens 95%-interval;2021;;;;;;;;;;;;;;
205;Caribisch Nederland (BQ);Bovengrens 95%-interval;2022;82.0;0.6;90.0;1.2;1.4;19.8;;1.3;18.7;;201.0;2909.0;;
206;Caribisch Nederland (BQ);Bovengrens 95%-interval;2023;;;;;;;;;;;;;;
207;Curaçao (CW);Waarde;2021;105.0;0.7;107.0;1.0;1.5;14.7;14.5;1.4;13.7;13.5;245.0;2340.0;2299.0;159.0
208;Curaçao (CW);Waarde;2022;140.0;1.0;140.0;1.0;2.0;14.2;14.1;1.8;13.2;13.1;265.0;1899.0;1893.0;134.0
