ID;Periods;GrossDomesticProduct_1;ConsumptionOfFixedCapital_2;GrossOperatingSurplusAndMixedIncome_3;GrossNationalIncome_4;GrossDisposableNationalIncome_5;GrossNationalSaving_6;GrossFixedCapitalFormation_7;NetLendingOrNetBorrowing_8;NetLendingToPrivateSector_9;LendingToPrivateSectorEndOfPeriod_10;LabourInputOfEmployedPersons_11;GrossValueAdded_12;GrossOperatingSurplus_13;GrossProfitsBeforeTaxes_14;ProfitsFromForeignSubsidiaries_15;ProfitRatio_16;CapitalFormationRatio_17;LabourInputOfEmployees_18;GrossValueAdded_19;GrossProfitsBeforeTaxes_20;ProfitsFromForeignSubsidiaries_21;FinancialNetWorth_22;PropertyIncomeReceived_23;PropertyIncomePaid_24;LiquidityRatioMonFinInstitutions_25;FinancialAssetsOfPensionFunds_26;LabourInputOfEmployees_27;TotalRevenue_28;TaxesAndSocialSecurityContributions_29;TotalExpenditure_30;GovernmentDebtEMU_31;BalanceGeneralGovernmentSectorEMU_32;LabourInputOfEmployees_33;GrossOperatingSurplusAndMixedIncome_34;MixedIncome_35;GrossDisposableIncome_36;RealDisposableIncome_37;AdjustedDisposableIncome_38;FinalConsumptionExpenditure_39;FreeIndividualSavings_40;SavingsRatio_41;HouseholdsCapitalFormationRatio_42;SavingsDepositsAndOtherDeposits_43;InsurancePensionAndGuaranteeSchemes_44;PensionEntitlementsAndClaims_45;HomeMortgagesClosingBalance_46;HomeMortgagesNetLending_47;LabourInputOfEmployees_48;LabourInputOfSelfEmployedPersons_49;NetExportsShare_50;NetExports_51;NetPrimaryIncomeAbroad_52;NetCurrentTransfersAbroad_53;NetCapitalTransfersAbroad_54;SurplusOnCurrentTransactions_55;NetExternalAssets_56;NetExternalAssetsMarketValue_57
10;2000 2nd quarter;113124;17281;38473;113187;111024;29669;25316;4068;19.2;207.2;;63548;18936;21049;-1196;29.8;19.1;;7147;8914;3400;-26972;3.6;2.6;18.5;469111;;43.6;36.6;42.9;56.6;0.7;;12967;9599;66330;;80824;56982;9348;19.2;11.8;146038;533001;424656;328299;10745;;;5.7;6459;63;-2169;-284;4353;-423804;
11;2000 3rd quarter;110955;17303;46712;112147;109936;30587;24004;6234;18.2;209.4;;64055;25305;24993;3269;39.5;20.5;;7193;9700;2965;-53570;3.6;2.6;19.7;478707;;43.4;36.3;42.5;55.6;0.8;;13975;10493;57205;;70615;57369;-164;6.6;12.1;147677;544278;436445;339142;10257;;;6.9;7612;1192;-2221;-348;6583;-431559;
12;2000 4th quarter;118774;17336;50049;116912;114540;32428;27678;4656;20.0;211.9;;67549;28696;28542;251;42.5;18.1;;7040;7435;2141;-75960;3.8;2.7;18.7;464607;;43.6;36.5;42.4;52.2;1.2;;14352;10983;57141;2.5;71277;57477;-336;5.7;11.4;149317;561081;448234;346733;9793;;;7.6;8992;-1862;-2380;-93;4750;-421982;
13;2000;452007;69130;180596;449304;440266;119827;102019;17009;20.0;211.9;6703.0;258391;97849;97850;3318;37.9;18.9;4192.0;28621;32054;10689;-75960;3.8;2.7;18.7;464607;244.0;43.6;36.5;42.4;52.2;1.2;960.0;54670;41165;236558;2.5;292853;227496;9062;9.9;12.2;149317;561081;448234;346733;38938;365.0;941.0;6.5;29582;-2703;-9071;-795;17808;-421982;
14;2001 1st quarter;118182;18589;49670;114809;112672;30420;27280;3222;16.5;208.4;;69797;29410;26487;306;42.1;17.8;;7695;6797;2043;-87535;3.7;2.7;22.6;450168;;43.4;36.3;42.3;51.5;1.1;;12631;10732;59931;1.9;75356;58332;1599;6.3;13.2;159794;569346;453503;354223;7184;;;7.3;8657;-3373;-2144;77;3140;-424607;
15;2001 2nd quarter;121417;18665;42239;119070;117066;30376;27234;3116;15.7;209.0;;69602;22544;24165;-2937;32.4;18.1;;7915;9815;2395;-78296;3.7;2.7;19.9;458629;;43.1;35.7;42.4;52.6;0.6;;12286;10373;73212;3.4;89188;60196;13016;20.3;11.8;163290;568555;459240;363373;8844;;;6.2;7496;-2347;-2007;-32;3142;-419216;
16;2001 3rd quarter;117448;18693;48881;115370;113170;28910;26461;2388;13.6;209.1;;68249;27300;26294;3598;40.0;16.7;;7681;8508;1744;-100942;3.7;2.8;21.0;415142;;43.0;35.6;42.8;51.2;0.3;;13555;11406;63589;4.7;78229;60281;3308;9.1;10.7;167579;578038;465106;371814;8136;;;5.7;6735;-2078;-2208;-66;2449;-388784;
17;2001 4th quarter;124834;18723;52048;120250;118058;30431;28500;2006;12.2;211.5;;71036;30392;29508;1515;42.8;19.0;;7931;6954;1621;-64550;3.5;2.7;21.0;450863;;42.7;35.2;43.1;49.5;-0.4;;13685;11793;62864;6.3;78457;60835;2029;6.6;13.3;166804;582134;470782;379862;7743;;;7.0;8714;-4584;-2199;69;1931;-379831;
18;2001;481881;74670;192838;469499;460966;120137;109475;10732;12.2;211.5;6809.0;278684;109646;106454;2482;39.3;17.9;4281.0;31222;32074;7803;-64550;3.5;2.7;21.0;450863;245.0;42.7;35.2;43.1;49.5;-0.4;982.0;52157;44304;259596;6.3;321230;239644;19952;11.0;12.2;166804;582134;470782;379862;31907;374.0;927.0;6.6;31602;-12382;-8558;48;10662;-379831;
19;2002 1st quarter;122569;19801;50237;120048;117965;30434;26608;3910;13.1;211.3;;71261;29062;27607;1319;40.8;17.0;;8560;5944;1382;-55740;3.4;2.6;20.4;466112;;42.7;35.3;43.3;50.0;-0.6;;13079;10799;61496;5.0;78321;61286;210;5.7;13.8;174971;589275;480533;386213;7235;;;6.9;8442;-2521;-2095;84;3826;-387446;
