ID;Regions;Periods;TotalFixedCapitalFormation_1;DwellingStock_2;IndustrialBuildings_3;CivilEngineering_4;Transport_5;MachineryAndEquipment_6;CultivatedBiologicalResources_7;TransferCostsOfGround_8;ComputersSoftwareAndDatabases_9;ResearchAndDevelopment_10;OtherFixedAssets_11
20;The Netherlands;2015;163953;24578;17507;17643;14026;17274;440;1392;22764;36168;12161
21;The Netherlands;2016;141854;30573;18358;17439;14784;16678;441;1937;18271;11793;11580
22;The Netherlands;2017;151124;34596;19498;16903;17141;17507;172;1956;18567;12530;12254
23;The Netherlands;2018;161602;39548;21111;17818;16331;18436;105;2090;18997;13804;13362
24;The Netherlands;2019;177365;43041;24098;18493;20380;19555;190;2400;19749;14636;14823
25;The Netherlands;2020;177592;45220;25145;18647;14501;19505;324;2819;19869;15358;16204
26;The Netherlands;2021;189188;50510;26369;19108;15150;20247;302;3044;20361;16776;17321
27;The Netherlands;2022;208818;54753;29807;20105;16195;23853;349;2717;22352;17574;21113
28;Noord-Nederland (LD);1995;6880;1597;1306;835;444;1289;42;68;299;430;570
29;Noord-Nederland (LD);1996;7274;1731;1175;965;466;1353;38;88;359;445;654
30;Noord-Nederland (LD);1997;7929;1887;1284;790;426;1797;90;83;404;481;687
31;Noord-Nederland (LD);1998;8268;1980;1437;849;515;1567;31;95;556;487;751
32;Noord-Nederland (LD);1999;8796;2141;1478;830;530;1703;42;103;648;536;785
33;Noord-Nederland (LD);2000;9469;2318;1834;1126;484;1515;29;141;706;561;755
34;Noord-Nederland (LD);2001;10101;2554;1836;1319;494;1478;33;123;759;608;897
35;Noord-Nederland (LD);2002;10092;2559;1825;1257;464;1573;32;108;742;614;918
36;Noord-Nederland (LD);2003;9966;2569;1806;1137;517;1530;25;76;748;628;930
37;Noord-Nederland (LD);2004;10078;2773;1832;1036;524;1394;33;92;826;647;921
38;Noord-Nederland (LD);2005;10595;3008;1688;1308;532;1423;29;97;922;668;920
39;Noord-Nederland (LD);2006;11680;3309;1861;1428;605;1655;25;101;1040;678;978
40;Noord-Nederland (LD);2007;12526;3548;2054;1569;696;1688;39;96;1149;665;1022
41;Noord-Nederland (LD);2008;13447;3676;2146;1832;763;1974;32;87;1218;677;1042
42;Noord-Nederland (LD);2009;11752;2924;2166;1210;623;1898;30;80;1187;651;983
43;Noord-Nederland (LD);2010;10271;2179;1659;1519;553;1436;26;80;1189;646;984
44;Noord-Nederland (LD);2011;9625;2093;1434;1072;534;1560;20;82;1141;728;961
45;Noord-Nederland (LD);2012;9915;2004;1439;1235;589;1743;25;85;1155;717;923
46;Noord-Nederland (LD);2013;10662;1484;1244;1846;1137;1915;32;71;1130;728;1075
47;Noord-Nederland (LD);2014;10572;1541;1462;1178;1145;2043;101;88;1181;760;1073
48;Noord-Nederland (LD);2015;12663;2443;1654;1232;785;3057;108;109;1307;797;1171
49;Noord-Nederland (LD);2016;12306;2864;1900;1690;703;1722;102;150;1359;843;973
50;Noord-Nederland (LD);2017;11515;2954;1536;1244;795;1580;15;145;1340;876;1030
51;Noord-Nederland (LD);2018;13071;3300;1756;1232;753;2384;16;155;1373;958;1144
52;Noord-Nederland (LD);2019;13949;3343;2553;1181;820;2350;42;167;1404;1021;1068
53;Noord-Nederland (LD);2020;14826;3793;2310;1535;700;2144;33;196;1397;1106;1612
54;Noord-Nederland (LD);2021;15589;4106;2543;1480;878;2058;93;224;1435;1222;1550
55;Noord-Nederland (LD);2022;15414;3607;2143;1596;913;2411;104;203;1580;1323;1534
56;Oost-Nederland (LD);1995;13299;3752;2057;1292;971;2132;121;126;714;1053;1081
57;Oost-Nederland (LD);1996;14543;4066;2061;1500;1033;2418;110;159;852;1108;1236
58;Oost-Nederland (LD);1997;15367;4432;2161;1265;1056;2568;258;156;900;1190;1381
59;Oost-Nederland (LD);1998;16401;4653;2399;1341;1197;2610;90;169;1244;1199;1499
60;Oost-Nederland (LD);1999;18164;5031;2684;1475;1328;2880;122;195;1446;1339;1664
61;Oost-Nederland (LD);2000;19387;5445;3047;1906;1277;2731;84;236;1573;1402;1686
62;Oost-Nederland (LD);2001;20481;6000;3295;1897;1349;2470;94;211;1662;1526;1977
63;Oost-Nederland (LD);2002;20590;6019;3560;2037;1259;2353;91;190;1661;1516;1904
64;Oost-Nederland (LD);2003;20483;6042;3471;2108;1339;2186;72;150;1663;1542;1910
65;Oost-Nederland (LD);2004;21145;6520;3368;2008;1447;2200;95;182;1847;1572;1906
66;Oost-Nederland (LD);2005;22184;7074;3352;2155;1471;2240;82;206;2056;1619;1929
67;Oost-Nederland (LD);2006;24102;7773;3595;2455;1606;2419;73;215;2319;1648;1999
68;Oost-Nederland (LD);2007;26628;8335;4202;2761;1782;2808;111;209;2568;1596;2256
69;Oost-Nederland (LD);2008;27909;8635;4649;2779;1835;3167;92;193;2730;1618;2211
70;Oost-Nederland (LD);2009;26159;7707;4691;2585;1753;2765;96;169;2710;1606;2077
71;Oost-Nederland (LD);2010;25381;6467;4078;3080;2339;2889;85;182;2752;1605;1904
72;Oost-Nederland (LD);2011;27204;6392;4966;3374;2835;2734;65;187;2675;1772;2204
73;Oost-Nederland (LD);2012;25396;5299;4215;3233;3304;2582;83;192;2727;1787;1974
74;Oost-Nederland (LD);2013;23627;4686;3285;3203;2134;3355;104;161;2713;1875;2111
75;Oost-Nederland (LD);2014;24015;4950;3204;3211;2030;3421;102;200;2811;1939;2147
76;Oost-Nederland (LD);2015;24355;4007;3701;3409;3353;2624;84;251;2942;1868;2116
77;Oost-Nederland (LD);2016;24768;4473;3592;3255;2836;3129;87;352;3049;2006;1989
78;Oost-Nederland (LD);2017;25664;4733;3413;3367;3329;3128;17;336;3107;2135;2099
79;Oost-Nederland (LD);2018;29990;6816;4182;3927;3413;3359;28;355;3164;2355;2391
80;Oost-Nederland (LD);2019;31220;6642;4767;3861;4060;3342;62;387;3253;2519;2327
81;Oost-Nederland (LD);2020;32045;7428;4830;4059;2591;3412;60;460;3276;2723;3206
82;Oost-Nederland (LD);2021;35408;8838;5489;4510;2701;3935;44;527;3366;2947;3051
83;Oost-Nederland (LD);2022;39523;10151;6334;4439;2621;4280;64;469;3649;3103;4413
84;West-Nederland (LD);1995;33973;8143;4836;3444;4010;5123;102;398;2082;2621;3214
85;West-Nederland (LD);1996;36592;8821;4843;3767;3978;5760;92;509;2451;2667;3704
86;West-Nederland (LD);1997;39795;9613;5144;3873;3972;6723;217;492;2648;2891;4222
87;West-Nederland (LD);1998;43467;10092;5756;4086;4671;6988;76;555;3677;2893;4673
88;West-Nederland (LD);1999;49162;10913;6641;4762;4960;8565;102;609;4229;3220;5161
89;West-Nederland (LD);2000;52259;11810;7583;5073;5445;8234;71;802;4650;3351;5240
90;West-Nederland (LD);2001;54589;13015;8253;5718;5381;7110;80;698;4828;3605;5901
91;West-Nederland (LD);2002;53531;13049;8489;5988;4927;6380;76;620;4776;3633;5593
92;West-Nederland (LD);2003;54049;13098;8347;6089;6055;5808;61;451;4743;3728;5669
93;West-Nederland (LD);2004;54725;14135;7910;5628;5678;5804;80;552;5266;3976;5696
94;West-Nederland (LD);2005;57693;15335;8187;6137;5776;5832;69;597;5868;4027;5865
95;West-Nederland (LD);2006;62940;16866;8690;6659;6671;6479;61;625;6577;4211;6101
96;West-Nederland (LD);2007;78219;18091;10128;7127;6772;7101;94;590;9208;12282;6826
97;West-Nederland (LD);2008;73084;18740;11408;7626;7387;8021;77;544;7810;4289;7182
98;West-Nederland (LD);2009;70020;16643;11266;8804;5480;7769;73;508;7585;5403;6489
99;West-Nederland (LD);2010;66774;14677;10222;8488;5292;7423;84;642;8740;4736;6470
100;West-Nederland (LD);2011;68232;13287;9938;9209;6229;8568;65;649;8523;5041;6723
101;West-Nederland (LD);2012;62018;11044;9061;7634;5836;7385;81;670;8522;5183;6602
102;West-Nederland (LD);2013;64427;9380;8624;8320;5017;6745;103;565;10559;9116;5998
103;West-Nederland (LD);2014;62162;9956;8782;8906;4614;7429;73;709;8999;6516;6178
104;West-Nederland (LD);2015;100568;12847;8320;9779;7608;8178;143;747;15066;31119;6761
105;West-Nederland (LD);2016;76987;17162;8535;9595;9031;8298;196;1038;10283;6380;6469
106;West-Nederland (LD);2017;83016;20061;9337;9171;10334;8844;121;1094;10461;6760;6833
107;West-Nederland (LD);2018;85082;22047;8961;8913;9581;8724;46;1178;10770;7481;7381
108;West-Nederland (LD);2019;97666;24801;10972;10663;12752;9074;61;1400;11277;7879;8787
109;West-Nederland (LD);2020;97118;25895;12748;10204;8942;9536;164;1638;11366;8141;8484
110;West-Nederland (LD);2021;101057;27880;12368;10214;9340;9576;106;1703;11641;8875;9354
111;West-Nederland (LD);2022;113865;30651;14597;10894;10310;11925;128;1529;12770;9229;11832
112;Zuid-Nederland (LD);1995;14997;3911;2014;1322;1004;3060;66;144;826;1428;1222
113;Zuid-Nederland (LD);1996;16016;4237;2093;1496;1072;3057;59;181;949;1521;1351
114;Zuid-Nederland (LD);1997;17000;4618;2206;1374;1082;3219;139;175;987;1634;1566
115;Zuid-Nederland (LD);1998;18430;4848;2347;1461;1246;3445;49;194;1371;1663;1806
116;Zuid-Nederland (LD);1999;20443;5242;2792;1648;1365;3704;66;221;1589;1846;1970
117;Zuid-Nederland (LD);2000;21245;5673;2893;1977;1298;3438;46;278;1746;1946;1950
118;Zuid-Nederland (LD);2001;22371;6251;3154;2027;1373;3167;51;245;1836;2113;2154
119;Zuid-Nederland (LD);2002;22384;6264;3415;2082;1279;3172;49;211;1827;2045;2040
120;Zuid-Nederland (LD);2003;22418;6288;3501;2056;1378;3042;39;159;1826;2090;2039
121;Zuid-Nederland (LD);2004;22798;6786;3258;1978;1476;2829;51;193;2015;2166;2046
122;Zuid-Nederland (LD);2005;24212;7362;3382;2165;1489;2992;45;211;2238;2212;2116
123;Zuid-Nederland (LD);2006;26198;8101;3575;2407;1624;3248;39;221;2515;2295;2173
124;Zuid-Nederland (LD);2007;28648;8688;4050;2711;1802;3709;60;215;2799;2252;2362
125;Zuid-Nederland (LD);2008;30207;9000;4555;2700;1849;4224;50;196;2980;2258;2395
126;Zuid-Nederland (LD);2009;27339;7893;4151;2724;1387;3508;66;181;2891;2281;2257
127;Zuid-Nederland (LD);2010;24763;6551;3810;2439;1022;3117;64;190;3047;2483;2040
128;Zuid-Nederland (LD);2011;26885;5887;3830;2595;1971;4482;50;203;2983;2703;2181
129;Zuid-Nederland (LD);2012;25735;5074;3579;3013;1718;4289;62;205;2993;2656;2146
130;Zuid-Nederland (LD);2013;25538;4729;4296;2885;2207;3239;77;168;3056;2729;2152
131;Zuid-Nederland (LD);2014;24618;4605;3899;2433;2153;3160;56;213;3127;2852;2120
132;Zuid-Nederland (LD);2015;26019;5281;3831;3081;2278;3295;105;284;3415;2383;2066
133;Zuid-Nederland (LD);2016;27716;6074;4331;2899;2212;3523;55;396;3548;2563;2115
134;Zuid-Nederland (LD);2017;30862;6847;5212;3122;2682;3949;19;381;3633;2759;2258
135;Zuid-Nederland (LD);2018;33353;7385;6211;3746;2583;3926;15;403;3667;3009;2408
136;Zuid-Nederland (LD);2019;34448;8255;5801;2784;2747;4781;24;446;3792;3216;2602
137;Zuid-Nederland (LD);2020;33508;8103;5258;2838;2268;4399;67;525;3807;3386;2857
138;Zuid-Nederland (LD);2021;37018;9686;5969;2901;2231;4641;59;589;3896;3730;3316
139;Zuid-Nederland (LD);2022;39891;10345;6732;3176;2318;5224;53;516;4331;3918;3278
140;Extra-Regio (LD);1995;581;0;3;230;6;221;0;1;10;1;109
141;Extra-Regio (LD);1996;627;0;3;267;6;159;0;2;17;1;172
142;Extra-Regio (LD);1997;852;0;10;217;5;414;0;2;30;1;173
143;Extra-Regio (LD);1998;721;0;7;233;4;253;0;2;35;1;186
144;Extra-Regio (LD);1999;628;0;5;177;3;253;0;3;39;1;147
145;Extra-Regio (LD);2000;609;0;0;273;5;172;0;4;41;2;112
146;Extra-Regio (LD);2001;864;0;3;412;3;244;0;4;46;2;150
147;Extra-Regio (LD);2002;886;0;3;334;3;284;0;4;39;2;217
148;Extra-Regio (LD);2003;856;0;5;280;3;305;0;3;42;3;215
149;Extra-Regio (LD);2004;712;0;15;213;3;233;0;2;46;3;197
150;Extra-Regio (LD);2005;880;0;0;392;3;240;0;3;55;3;184
151;Extra-Regio (LD);2006;1025;0;7;385;3;358;0;2;63;3;204
152;Extra-Regio (LD);2007;926;0;1;409;4;260;0;2;69;3;178
153;Extra-Regio (LD);2008;1225;0;15;603;6;340;0;3;71;3;184
154;Extra-Regio (LD);2009;1017;0;1;469;3;309;0;3;61;2;169
155;Extra-Regio (LD);2010;1031;0;2;463;3;239;0;3;52;5;264
156;Extra-Regio (LD);2011;2085;0;24;1146;4;468;0;2;65;5;371
157;Extra-Regio (LD);2012;2185;0;3;883;4;627;0;2;84;3;579
158;Extra-Regio (LD);2013;1841;0;3;706;3;525;0;1;80;3;520
159;Extra-Regio (LD);2014;2065;0;2;739;3;780;0;1;74;3;463
160;Extra-Regio (LD);2015;346;0;1;142;1;120;0;0;34;0;48
161;Extra-Regio (LD);2016;75;0;0;0;2;7;0;0;32;1;33
162;Extra-Regio (LD);2017;67;0;0;0;1;5;0;0;25;1;35
163;Extra-Regio (LD);2018;106;0;0;0;1;43;0;0;24;1;37
164;Extra-Regio (LD);2019;80;0;4;4;1;7;0;0;24;1;39
165;Extra-Regio (LD);2020;94;0;0;11;1;14;0;0;22;1;45
166;Extra-Regio (LD);2021;114;0;0;2;1;37;0;0;23;1;50
167;Extra-Regio (LD);2022;124;0;0;0;32;13;0;0;22;2;55
168;Groningen (PV);1995;2400;536;403;273;171;494;9;19;101;152;242
169;Groningen (PV);1996;2555;581;364;308;188;533;8;24;122;155;272
170;Groningen (PV);1997;2682;634;378;233;157;659;19;24;141;169;268
171;Groningen (PV);1998;2795;665;413;252;203;571;7;26;192;170;296
172;Groningen (PV);1999;2948;719;429;243;196;612;9;29;225;186;300
173;Groningen (PV);2000;3121;778;527;328;173;555;6;36;250;194;274
174;Groningen (PV);2001;3284;857;534;387;169;496;7;32;270;211;321
175;Groningen (PV);2002;3375;859;536;403;160;563;7;28;267;216;336
176;Groningen (PV);2003;3290;863;517;330;184;537;5;21;270;222;341
177;Groningen (PV);2004;3363;931;538;310;175;513;7;25;299;231;334
178;Groningen (PV);2005;3499;1010;497;350;183;519;6;28;333;237;336
179;Groningen (PV);2006;3866;1111;547;387;223;571;5;30;377;242;373
180;Groningen (PV);2007;4173;1191;625;423;267;596;8;29;415;241;378
181;Groningen (PV);2008;4496;1234;659;499;311;684;7;26;440;247;389
182;Groningen (PV);2009;4698;938;772;532;280;1107;6;25;445;243;350
183;Groningen (PV);2010;3785;702;655;391;183;772;6;26;458;233;359
184;Groningen (PV);2011;3498;725;608;425;148;530;4;27;436;261;334
185;Groningen (PV);2012;3482;680;440;422;238;628;6;27;443;261;337
186;Groningen (PV);2013;3245;422;449;414;316;554;7;23;418;268;374
187;Groningen (PV);2014;3607;529;547;461;291;630;23;31;459;283;353
188;Groningen (PV);2015;5648;781;677;542;311;1781;40;35;555;300;626
189;Groningen (PV);2016;5235;1254;716;872;263;680;20;49;585;317;479
190;Groningen (PV);2017;4640;1091;612;629;249;639;10;47;569;327;467
191;Groningen (PV);2018;5465;1297;624;591;221;1176;7;50;584;360;555
192;Groningen (PV);2019;6098;1142;1394;495;372;1219;5;53;579;376;463
193;Groningen (PV);2020;6493;1323;1202;806;359;920;13;62;565;395;848
194;Groningen (PV);2021;6068;934;1304;666;452;856;5;73;587;454;737
195;Groningen (PV);2022;4928;472;528;694;389;943;9;68;639;494;692
196;Fryslân (PV);1995;2328;632;590;170;153;303;25;32;109;145;169
197;Fryslân (PV);1996;2435;685;523;199;151;341;23;42;133;151;187
198;Fryslân (PV);1997;2650;747;583;192;140;377;53;38;149;164;207
199;Fryslân (PV);1998;2885;784;682;204;166;385;19;45;209;167;224
200;Fryslân (PV);1999;3141;848;677;244;174;447;25;48;243;185;250
201;Fryslân (PV);2000;3474;917;891;287;157;422;17;69;262;194;258
202;Fryslân (PV);2001;3612;1011;874;292;159;399;20;59;279;211;308
203;Fryslân (PV);2002;3479;1013;836;273;148;361;19;51;271;213;294
204;Fryslân (PV);2003;3435;1017;817;267;165;333;15;33;271;217;300
205;Fryslân (PV);2004;3579;1097;822;266;169;341;20;42;299;221;302
206;Fryslân (PV);2005;3673;1190;749;298;167;344;17;42;333;229;304
207;Fryslân (PV);2006;4000;1310;820;348;183;366;15;44;374;228;312
208;Fryslân (PV);2007;4391;1405;914;391;210;440;23;41;415;221;331
209;Fryslân (PV);2008;4529;1455;915;383;226;487;19;37;441;223;343
210;Fryslân (PV);2009;4151;1170;975;333;198;452;18;32;424;217;332
211;Fryslân (PV);2010;3804;855;713;657;205;374;14;31;418;231;306
212;Fryslân (PV);2011;3627;831;558;318;216;640;11;32;405;274;342
213;Fryslân (PV);2012;3718;823;606;429;223;597;14;34;411;267;314
214;Fryslân (PV);2013;4565;693;495;854;524;905;17;28;400;258;391
215;Fryslân (PV);2014;4313;585;649;314;554;1043;57;33;412;272;394
216;Fryslân (PV);2015;4160;1030;670;292;310;714;52;42;432;292;326
217;Fryslân (PV);2016;4066;1122;722;352;278;469;27;58;447;310;281
218;Fryslân (PV);2017;4241;1292;616;356;327;498;3;57;447;323;322
219;Fryslân (PV);2018;4516;1288;755;400;300;576;5;60;455;354;323
220;Fryslân (PV);2019;4753;1405;764;357;258;657;9;66;478;385;374
221;Fryslân (PV);2020;4998;1628;649;389;212;684;13;77;485;428;433
222;Fryslân (PV);2021;5583;1876;799;438;248;667;49;87;492;461;466
223;Fryslân (PV);2022;6167;1839;1081;487;307;786;15;78;550;499;525
224;Drenthe (PV);1995;2152;429;313;392;120;492;8;17;89;133;159
225;Drenthe (PV);1996;2282;464;289;457;128;478;7;22;103;139;195
226;Drenthe (PV);1997;2598;506;324;366;128;762;17;21;114;148;212
227;Drenthe (PV);1998;2588;531;342;394;146;611;6;24;154;149;231
228;Drenthe (PV);1999;2710;575;373;343;160;645;8;27;179;166;234
229;Drenthe (PV);2000;2873;622;416;511;154;538;6;36;194;173;223
230;Drenthe (PV);2001;3205;685;428;640;166;584;6;32;210;186;268
231;Drenthe (PV);2002;3236;687;453;580;156;648;6;29;204;185;288
232;Drenthe (PV);2003;3241;690;472;540;168;661;5;21;207;189;288
233;Drenthe (PV);2004;3137;745;471;460;181;540;6;25;229;195;285
234;Drenthe (PV);2005;3422;808;442;659;183;560;5;26;256;202;281
235;Drenthe (PV);2006;3814;888;494;693;198;718;5;27;290;208;293
236;Drenthe (PV);2007;3960;952;515;755;218;652;7;26;319;203;313
237;Drenthe (PV);2008;4421;986;572;951;226;802;6;24;337;207;310
238;Drenthe (PV);2009;2906;817;419;345;146;339;6;23;318;192;301
239;Drenthe (PV);2010;2681;622;292;471;165;290;6;22;313;181;319
240;Drenthe (PV);2011;2499;536;268;329;170;390;5;23;300;193;285
241;Drenthe (PV);2012;2715;501;393;384;127;518;6;24;301;190;271
242;Drenthe (PV);2013;2849;368;299;578;297;456;8;20;311;202;310
243;Drenthe (PV);2014;2655;427;267;403;301;370;21;24;311;205;326
244;Drenthe (PV);2015;2856;631;307;399;164;563;16;32;320;206;218
245;Drenthe (PV);2016;3006;487;463;466;162;572;56;43;327;216;214
246;Drenthe (PV);2017;2632;572;308;259;218;442;2;41;324;225;241
247;Drenthe (PV);2018;3091;715;377;241;231;632;5;45;334;245;266
248;Drenthe (PV);2019;3096;796;396;329;190;474;27;47;347;260;230
249;Drenthe (PV);2020;3335;842;459;339;129;540;7;57;347;284;331
250;Drenthe (PV);2021;3938;1296;439;376;178;535;40;64;356;307;347
251;Drenthe (PV);2022;4319;1296;535;415;216;682;80;56;392;329;318
252;Overijssel (PV);1995;4182;1122;545;446;293;774;27;39;230;350;356
253;Overijssel (PV);1996;4538;1216;562;499;308;834;24;49;266;372;408
254;Overijssel (PV);1997;4825;1325;584;439;316;915;58;49;284;393;462
255;Overijssel (PV);1998;5084;1391;621;467;358;887;20;51;394;396;499
256;Overijssel (PV);1999;5643;1504;743;512;395;971;27;59;458;437;537
257;Overijssel (PV);2000;5895;1628;770;635;375;908;19;66;500;455;539
258;Overijssel (PV);2001;6259;1794;851;654;393;823;21;60;526;497;640
259;Overijssel (PV);2002;6369;1799;971;715;365;816;20;55;524;489;615
260;Overijssel (PV);2003;6399;1806;964;749;393;772;16;46;526;499;628
261;Overijssel (PV);2004;6541;1949;912;692;422;764;21;58;584;515;624
262;Overijssel (PV);2005;6889;2115;931;742;424;780;18;68;649;530;632
263;Overijssel (PV);2006;7479;2324;1004;838;462;843;16;72;733;539;648
264;Overijssel (PV);2007;8227;2492;1166;903;517;978;25;70;814;523;739
265;Overijssel (PV);2008;8704;2581;1328;938;541;1110;21;63;866;527;729
266;Overijssel (PV);2009;7710;2025;1158;966;364;1037;24;48;878;548;662
267;Overijssel (PV);2010;7002;1686;1146;1050;337;706;14;54;873;533;603
268;Overijssel (PV);2011;8100;1881;1376;1061;527;1066;11;57;847;584;690
269;Overijssel (PV);2012;7216;1384;1208;967;570;932;14;57;866;589;629
270;Overijssel (PV);2013;6915;1264;933;965;633;939;17;49;851;626;638
271;Overijssel (PV);2014;7145;1426;1018;858;606;924;46;60;892;646;669
272;Overijssel (PV);2015;7537;1307;1579;1086;481;820;25;76;925;610;628
273;Overijssel (PV);2016;7823;1302;1415;1168;605;884;35;107;971;659;677
274;Overijssel (PV);2017;7678;1632;902;1111;664;924;6;102;978;694;665
275;Overijssel (PV);2018;8875;2426;1021;1044;605;1080;8;108;1000;770;813
276;Overijssel (PV);2019;9186;2385;1322;1056;619;1077;21;119;1031;827;729
277;Overijssel (PV);2020;9378;2156;1407;1275;582;1047;11;141;1023;882;854
278;Overijssel (PV);2021;10951;2787;1549;1232;610;1623;10;162;1068;968;942
279;Overijssel (PV);2022;11815;3320;1905;1155;647;1418;26;146;1172;1037;989
280;Flevoland (PV);1995;1438;403;244;70;156;283;16;9;73;88;96
281;Flevoland (PV);1996;1562;436;263;80;172;294;15;11;90;93;108
282;Flevoland (PV);1997;1691;476;276;75;182;326;35;11;86;101;123
283;Flevoland (PV);1998;1775;499;306;77;204;306;12;11;121;103;136
284;Flevoland (PV);1999;2006;540;356;87;239;341;16;15;142;115;155
285;Flevoland (PV);2000;2066;585;398;96;250;280;11;16;155;121;154
286;Flevoland (PV);2001;2251;644;456;107;271;264;13;15;166;132;183
287;Flevoland (PV);2002;2308;646;519;119;261;266;12;13;165;134;173
288;Flevoland (PV);2003;2322;649;520;124;266;268;10;12;164;134;175
289;Flevoland (PV);2004;2404;700;475;119;297;294;13;14;182;137;173
290;Flevoland (PV);2005;2540;759;500;128;308;299;11;16;201;142;176
291;Flevoland (PV);2006;2756;834;538;140;346;320;10;16;224;146;182
292;Flevoland (PV);2007;3085;894;641;153;374;386;15;17;246;142;217
293;Flevoland (PV);2008;3278;927;722;172;370;449;12;16;262;145;203
294;Flevoland (PV);2009;3462;954;598;187;732;336;12;15;276;150;202
295;Flevoland (PV);2010;5022;930;611;319;1441;1030;12;17;283;160;219
296;Flevoland (PV);2011;4091;733;446;235;1584;381;9;17;260;179;247
297;Flevoland (PV);2012;4586;534;538;567;1923;317;12;17;281;174;223
298;Flevoland (PV);2013;3197;460;376;669;266;696;14;14;282;184;236
299;Flevoland (PV);2014;2892;435;425;413;244;642;6;17;287;187;236
300;Flevoland (PV);2015;3590;178;299;144;2008;239;12;25;296;169;220
301;Flevoland (PV);2016;3238;228;374;211;1336;374;10;34;305;183;183
302;Flevoland (PV);2017;3734;333;554;229;1608;281;0;32;311;201;185
303;Flevoland (PV);2018;4026;307;645;216;1787;294;10;34;314;223;196
304;Flevoland (PV);2019;4713;355;636;210;2246;445;3;38;313;230;237
305;Flevoland (PV);2020;3958;581;724;229;1059;347;4;45;316;247;406
306;Flevoland (PV);2021;4662;904;864;576;957;362;3;55;321;268;352
307;Flevoland (PV);2022;4184;681;923;241;821;456;5;49;358;293;357
308;Gelderland (PV);1995;7680;2228;1269;776;523;1074;78;77;411;615;629
309;Gelderland (PV);1996;8443;2414;1236;922;554;1289;70;99;496;643;720
310;Gelderland (PV);1997;8853;2632;1301;751;558;1327;166;96;530;696;796
311;Gelderland (PV);1998;9541;2762;1471;797;635;1417;58;106;729;701;865
312;Gelderland (PV);1999;10516;2987;1585;877;694;1568;78;121;847;787;972
313;Gelderland (PV);2000;11427;3233;1879;1176;652;1542;54;154;918;826;993
314;Gelderland (PV);2001;11973;3562;1988;1136;685;1383;61;136;970;898;1154
315;Gelderland (PV);2002;11912;3574;2070;1203;634;1271;58;122;971;893;1116
316;Gelderland (PV);2003;11762;3587;1987;1235;680;1145;46;92;974;908;1108
317;Gelderland (PV);2004;12201;3871;1981;1197;728;1142;61;111;1081;920;1109
318;Gelderland (PV);2005;12754;4200;1921;1285;739;1161;53;122;1205;947;1121
319;Gelderland (PV);2006;13866;4615;2053;1478;798;1255;47;127;1362;963;1168
320;Gelderland (PV);2007;15318;4949;2395;1705;891;1444;72;123;1508;931;1300
321;Gelderland (PV);2008;15927;5127;2599;1670;924;1608;59;113;1602;946;1279
322;Gelderland (PV);2009;14989;4728;2935;1433;657;1392;61;106;1556;908;1213
323;Gelderland (PV);2010;13354;3850;2321;1711;562;1152;58;111;1596;911;1082
324;Gelderland (PV);2011;15013;3778;3143;2078;724;1287;45;113;1568;1010;1267
325;Gelderland (PV);2012;13594;3381;2469;1699;812;1332;57;117;1580;1025;1122
326;Gelderland (PV);2013;13511;2961;1975;1569;1235;1719;72;98;1580;1065;1237
327;Gelderland (PV);2014;13977;3089;1761;1940;1180;1855;51;122;1631;1106;1242
