ID;Perioden;GrossDomesticProduct_1;ConsumptionOfFixedCapital_2;GrossOperatingSurplusAndMixedIncome_3;GrossNationalIncome_4;GrossDisposableNationalIncome_5;GrossNationalSaving_6;GrossFixedCapitalFormation_7;NetLendingOrNetBorrowing_8;NetLendingToPrivateSector_9;LendingToPrivateSectorEndOfPeriod_10;NetExternalAssets_11;LabourInputOfEmployedPersons_12;GrossValueAdded_13;GrossOperatingSurplus_14;GrossProfitsBeforeTaxes_15;ProfitsFromForeignSubsidiaries_16;ProfitRatio_17;CapitalFormationRatio_18;LabourInputOfEmployees_19;GrossValueAdded_20;GrossProfitsBeforeTaxes_21;ProfitsFromForeignSubsidiaries_22;FinancialNetWorth_23;PropertyIncomeReceived_24;PropertyIncomePaid_25;LiquidityRatioMonFinInstitutions_26;FinancialAssetsOfPensionFunds_27;LabourInputOfEmployees_28;TotalRevenue_29;TaxesAndSocialSecurityContributions_30;TotalExpenditure_31;GovernmentDebtEMU_32;BalanceGeneralGovernmentSectorEMU_33;LabourInputOfEmployees_34;GrossOperatingSurplusAndMixedIncome_35;MixedIncome_36;GrossDisposableIncome_37;RealDisposableIncome_38;AdjustedDisposableIncome_39;FinalConsumptionExpenditure_40;FreeIndividualSavings_41;SavingsRatio_42;HouseholdsCapitalFormationRatio_43;SavingsDepositsAndOtherDeposits_44;InsurancePensionAndGuaranteeSchemes_45;PensionEntitlementsAndClaims_46;HomeMortgagesClosingBalance_47;HomeMortgagesNetLending_48;LabourInputOfEmployees_49;LabourInputOfSelfEmployedPersons_50;NetExportsShare_51;NetExports_52;NetPrimaryIncomeAbroad_53;NetCurrentTransfersAbroad_54;NetCapitalTransfersAbroad_55
42;2006 4th quarter;150941;23129;64689;158690;155394;52377;35502;17125;13.5;215.3;-159619;;88973;40787;48195;8457;45.8;17.7;;7752;9008;2539;117697;3.0;2.4;23.0;742460;;43.2;36.1;43.0;44.7;0.2;;16188;12707;69274;1.3;92025;67286;1988;5.5;15.9;237774;756952;592821;548141;10686;;;8.2;12441;7749;-3296;-38
43;2006;579212;92292;242797;588210;577680;173494;124602;47659;13.5;215.3;-159619;6860.0;340013;149562;171368;25756;44.0;16.1;4185.0;31773;39834;15684;117697;3.0;2.4;23.0;742460;245.0;43.2;36.1;43.0;44.7;0.2;1025.0;62189;50163;283912;1.3;373469;268541;15371;10.1;14.4;237774;756952;592821;548141;37700;383.0;1022.0;8.7;50577;8998;-10530;-326
44;2007 1st quarter;150593;24025;67122;153006;149821;47534;32899;14652;17.2;217.3;-84722;;90037;43314;49410;7627;48.1;15.5;;7658;8999;4473;155005;3.0;2.4;24.8;758229;;43.3;36.0;42.9;45.0;0.4;;16468;13087;67040;2.0;89615;68287;-1247;3.1;17.4;243209;764699;594270;559185;11119;;;10.3;15445;2413;-3185;6
45;2007 2nd quarter;153456;24107;56227;147068;145068;37922;33417;4434;15.9;216.6;-118412;;89913;33673;39820;6144;37.5;16.6;;7346;10076;2315;148587;3.1;2.6;24.9;766717;;42.8;35.8;42.8;45.3;0.0;;16155;12286;85358;2.1;109653;69908;15450;22.6;14.0;253006;759116;585492;567032;8033;;;8.4;12948;-6388;-2000;-86
46;2007 3rd quarter;149297;24139;67148;150096;147745;43085;33250;9827;13.3;216.0;-144365;;88970;41959;49204;7587;47.2;16.0;;7650;10869;4075;133840;3.2;2.7;24.5;773668;;42.3;35.5;42.6;44.2;-0.3;;17132;12851;70287;2.6;92479;70620;-333;4.7;14.5;254072;756803;584167;577981;10886;;;7.7;11428;799;-2351;-20
47;2007 4th quarter;159934;24169;66793;168576;165357;56615;36919;9434;12.9;214.9;-172105;;94862;41900;50467;10123;44.2;18.4;;7641;8846;3073;127940;3.3;2.8;24.3;760572;;42.7;35.7;42.5;42.7;0.2;;17764;13183;72648;1.6;97008;71106;1542;6.4;15.8;257085;748159;580845;584967;7035;;;8.9;14303;8642;-3219;-351
48;2007;613280;96440;257290;618746;607991;185156;136485;38347;12.9;214.9;-172105;7051.0;363782;160846;188901;31481;44.2;16.6;4317.0;30295;38790;13936;127940;3.3;2.8;24.3;760572;247.0;42.7;35.7;42.5;42.7;0.2;1026.0;67519;51407;295333;1.6;388755;279921;15412;9.9;15.3;257085;748159;580845;584967;37073;391.0;1070.0;8.8;54124;5466;-10755;-451
49;2008 1st quarter;158716;25179;71171;155801;152895;45256;34750;10682;11.7;215.8;-139471;;95096;45404;47342;5848;47.7;15.2;;8220;5271;-821;76572;3.4;2.9;24.0;745837;;43.0;35.8;42.7;43.5;0.3;;17876;13938;68705;1.1;92634;71209;-2504;3.0;17.7;263084;778042;613276;590553;5496;;;10.4;16433;-2915;-2906;-174
50;2008 2nd quarter;160919;25265;57420;157046;155362;42626;35420;7538;13.1;217.0;-141344;;94445;33645;41184;8140;35.6;17.6;;7963;6764;-1417;87901;3.5;2.9;23.5;714965;;43.3;35.9;43.0;43.5;0.3;;16767;12334;88731;1.0;114694;72910;15821;23.7;13.3;272016;756370;594672;599252;8964;;;8.0;12915;-3873;-1684;-180
51;2008 3rd quarter;155835;25298;68916;155639;153892;44559;34521;9998;12.2;217.1;-123513;;92904;42806;50284;7844;46.1;17.8;;8102;7626;273;32390;3.5;2.8;22.9;677714;;43.6;36.1;43.1;44.0;0.5;;17514;13113;72339;0.9;96107;72879;-540;5.2;14.5;272555;793361;631757;606290;6905;;;7.8;12080;-196;-1747;-187
52;2008 4th quarter;163693;25330;68216;158789;155618;43701;38168;4726;9.7;216.3;-68323;;97832;43881;45318;4334;44.9;17.7;;7323;-1298;-5973;-28216;3.5;2.7;19.8;727634;;43.8;36.1;43.6;54.7;0.2;;17034;13044;74032;0.5;100225;71518;2514;9.1;14.8;276560;885008;708941;615125;6821;;;8.4;13710;-4904;-3171;-212
53;2008;639163;101072;265723;627275;617767;176142;142859;32944;9.7;216.3;-68323;7181.0;380277;165736;184128;26166;43.6;17.1;4413.0;31608;18363;-7938;-28216;3.5;2.7;19.8;727634;244.0;43.8;36.1;43.6;54.7;0.2;1043.0;69191;52429;303807;0.5;403660;288516;15291;11.1;14.9;276560;885008;708941;615125;28186;395.0;1086.0;8.6;55138;-11888;-9508;-753
54;2009 1st quarter;155134;26017;67215;151304;148186;39184;34080;4848;7.9;220.0;-81743;;93137;42743;44736;3525;45.9;15.8;;9560;337;-2571;-39730;3.2;2.5;18.9;699667;;43.7;36.1;44.6;57.6;-0.9;;14739;13206;67812;0.0;93708;69975;-2163;4.4;15.8;288309;871893;710184;621002;5776;;;7.9;12212;-3830;-3118;-296
55;2009 2nd quarter;154360;26106;51455;157520;158511;46096;32365;13541;6.5;224.6;-38238;;89400;28493;34669;4880;31.9;17.6;;9953;2977;1130;30069;2.8;2.1;18.0;703651;;43.4;35.7;45.5;56.7;-2.1;;13744;12452;90062;0.7;117856;69665;20397;28.8;11.6;296927;842420;683427;627948;7054;;;6.4;9811;3160;991;-219
56;2009 3rd quarter;149552;26140;64076;148466;146741;37569;30082;7460;6.2;228.2;-12010;;88108;38295;42266;3801;43.5;16.5;;10767;3481;-1337;69695;2.4;1.7;17.9;739916;;43.3;35.5;47.0;57.2;-3.7;;14290;13194;70817;0.3;96472;70103;714;8.0;11.7;298972;861532;699523;633764;5723;;;7.0;10460;-1086;-1725;-98
57;2009 4th quarter;158494;26172;64337;160802;158067;45031;32823;12113;8.6;228.8;-18859;;91639;38336;43185;5617;41.8;16.4;;11191;8580;1067;34640;2.1;1.5;17.9;752290;;42.7;35.1;48.2;56.8;-5.4;;14610;13240;75127;0.6;103019;69836;5291;12.4;12.1;294841;898295;730350;638045;4675;;;8.1;12773;2308;-2735;-229
58;2009;617540;104435;247083;618092;611505;167880;129350;37962;8.6;228.8;-18859;7099.0;362284;147867;164856;17823;40.8;16.5;4325.0;41471;15375;-1711;34640;2.1;1.5;17.9;752290;241.0;42.7;35.1;48.2;56.8;-5.4;1060.0;57383;52092;303818;0.6;411055;279579;24239;14.5;12.7;294841;898295;730350;638045;23228;387.0;1086.0;7.3;45256;552;-6587;-842
59;2010 1st quarter;154188;26652;67107;152709;149815;40644;31012;9782;7.1;230.3;-1125;;90693;41045;44628;5110;45.3;16.3;;11867;6424;1530;26686;1.9;1.4;18.4;796511;;42.8;35.1;48.4;57.6;-5.6;;13709;13038;71015;2.2;97593;69347;1668;7.5;11.2;301404;934061;766702;642391;4251;;;9.1;14077;-1479;-2894;-391
60;2010 2nd quarter;158901;26743;56248;162957;161306;47366;34598;12457;5.6;230.7;-12122;;91815;31774;43134;10060;34.6;18.2;;11852;5576;1772;-22732;1.8;1.2;17.8;798303;;43.2;35.6;48.8;59.3;-5.6;;13129;12439;86687;-0.4;115517;70291;16396;23.9;9.7;307728;989068;827988;646853;4411;;;6.6;10469;4056;-1651;-385
61;2010 3rd quarter;154199;26778;68547;155779;153643;42428;30294;11925;3.9;228.2;22838;;90808;41649;50512;8082;45.9;15.8;;11884;6548;2049;-54701;1.8;1.2;17.3;840024;;42.9;35.5;48.5;59.1;-5.6;;14074;13383;73469;0.5;100090;71280;2189;8.7;10.0;306999;1055504;889941;651678;4848;;;8.3;12778;1580;-2136;-364
62;2010 4th quarter;164224;26809;67103;165181;162606;46849;33053;12979;1.7;225.8;20715;;95419;40640;49655;9195;42.6;16.0;;12111;8341;1782;230;1.8;1.2;16.6;808573;;43.2;35.8;48.2;59.3;-5.0;;13886;12877;74022;-0.7;102847;71592;2430;8.3;10.4;305781;986513;821121;655085;3601;;;9.4;15489;957;-2575;-750
63;2010;631512;106982;259005;636626;627370;177287;128957;47143;1.7;225.8;20715;7056.0;368735;155108;187929;32447;42.1;16.6;4262.0;47714;26889;7133;230;1.8;1.2;16.6;808573;233.0;43.2;35.8;48.2;59.3;-5.0;1078.0;54798;51737;305193;-0.7;416047;282510;22683;12.7;10.3;305781;986513;821121;655085;17111;382.0;1101.0;8.4;52813;5114;-9256;-1890
64;2011 1st quarter;159422;26673;69909;166002;163512;52221;33601;17922;1.4;224.0;45172;;94586;43066;55949;14617;45.5;18.7;;11877;5302;541;40880;1.8;1.2;17.0;806114;;43.3;35.9;47.7;59.4;-4.4;;14506;13517;72461;-1.5;99211;71361;1100;6.3;10.7;311012;938978;782125;657843;3051;;;9.1;14586;6580;-2490;-281
65;2011 2nd quarter;161778;26764;57949;161497;159703;43553;33603;9586;1.6;224.2;44584;;93826;32460;41680;8591;34.6;19.2;;11193;7115;1299;25076;1.9;1.3;17.5;812009;;42.9;35.5;47.4;60.3;-4.5;;14718;13248;91533;1.2;120580;72508;19025;26.1;8.7;317110;948282;793485;661543;3762;;;7.5;12138;-281;-1794;57
