ID;BedrijvenEnInstellingen;SoortVacatures;RegioS;Perioden;TotaalAantalVacatures_1;ABLandbouwBosbouwEnVisserij_2;CDelfstoffenwinning_3;DIndustrie_4;EOpenbareVoorzieningsbedrijven_5;FBouwnijverheid_6;GReparatieConsumentenartikelenHandel_7;HHoreca_8;IVervoerEnCommunicatie_9;JFinancieleInstellingen_10;KOnroerendGoedZakelijkeDienstv_11;LOpenbaarBestuurSocVerzekeringen_12;MOnderwijs_13;NGezondheidsEnWelzijnszorg_14;OCultuurRecreatieEnOvDienstverl_15;Bedrijfsgrootte10Werknemers_16;Bedrijfsgrootte1099Werknemers_17;Bedrijfsgrotte100Werknemers_18;k_2PrimairOnderwijs_19;k_3VoortgezetOnderwijsLagereTrap_20;k_4VoortgezetOnderwijsHogereTrap_21;k_5HogerOnderwijs1eTrap_22;k_67HogerOnderwijs2e3eTrap_23;k_9OpleidingOnbekend_24;k_1ElementaireBeroepen_25;k_2LagereBeroepen_26;k_4MiddelbareBeroepen_27;k_6HogereBeroepen_28;k_8WetenschappelijkeBeroepen_29;k_9BeroepOnbekend_30
2767;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Haaglanden (RPA);2002;0.7;0.0;;0.0;;0.0;0.1;0.0;;0.0;0.1;0.0;0.1;0.0;0.2;0.0;0.2;0.4;0.0;0.4;0.1;0.1;0.0;;0.0;0.4;0.2;0.1;0.0;
2768;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Haaglanden (RPA);2003;0.5;0.0;;0.0;;0.0;0.1;0.0;0.0;0.0;0.1;0.0;0.0;0.1;0.0;0.1;0.1;0.3;0.0;0.1;0.2;0.2;0.0;;0.0;0.1;0.2;0.2;0.0;
2769;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Haaglanden (RPA);2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2770;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Haaglanden (RPA);2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2771;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Haaglanden (RPA);2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2772;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Rijnmond (RPA);2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2773;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Rijnmond (RPA);2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2774;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Rijnmond (RPA);2002;1.2;0.0;;0.0;;0.0;0.3;0.0;;0.0;0.2;0.1;0.1;0.3;0.0;0.4;0.3;0.5;0.0;0.3;0.6;0.2;0.0;;0.1;0.3;0.6;0.1;0.1;
2775;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Rijnmond (RPA);2003;1.0;0.0;;0.1;;0.2;0.3;0.0;0.0;0.0;0.2;0.0;0.0;0.2;0.0;0.2;0.2;0.6;0.0;0.3;0.5;0.2;0.0;;0.2;0.1;0.6;0.2;0.0;
2776;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Rijnmond (RPA);2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2777;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Rijnmond (RPA);2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2778;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Rijnmond (RPA);2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2779;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Zeeland (RPA);2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2780;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Zeeland (RPA);2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2781;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Zeeland (RPA);2002;0.2;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.1;;0.0;0.0;0.1;0.0;0.0;0.1;0.0;0.1;;0.0;0.0;0.1;0.1;0.0;
2782;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Zeeland (RPA);2003;0.3;0.0;0.0;0.1;;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;0.1;0.0;0.2;0.0;0.0;0.3;0.0;0.0;;0.0;0.2;0.1;0.0;0.0;
2783;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Zeeland (RPA);2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2784;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Zeeland (RPA);2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2785;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Zeeland (RPA);2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2786;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;West Brabant (RPA);2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2787;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;West Brabant (RPA);2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2788;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;West Brabant (RPA);2002;0.4;0.0;0.0;0.1;;;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.1;0.1;0.0;0.1;0.3;0.0;0.1;0.2;0.1;0.0;;0.0;0.1;0.2;0.0;0.0;
2789;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;West Brabant (RPA);2003;0.3;0.0;0.0;0.0;;;0.1;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.1;0.1;0.1;0.0;0.0;0.1;0.1;0.0;;0.0;0.0;0.1;0.1;0.0;
2790;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;West Brabant (RPA);2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2791;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;West Brabant (RPA);2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2792;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;West Brabant (RPA);2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2793;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Midden Brabant (RPA);2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2794;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Midden Brabant (RPA);2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2795;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Midden Brabant (RPA);2002;0.4;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.1;0.4;0.0;0.1;0.2;0.1;0.0;;0.0;0.1;0.2;0.1;0.0;
2796;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Midden Brabant (RPA);2003;0.2;0.0;0.0;0.0;;;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.1;0.0;0.0;0.2;0.0;0.0;;0.0;0.0;0.2;0.0;0.0;
2797;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Midden Brabant (RPA);2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2798;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Midden Brabant (RPA);2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2799;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Midden Brabant (RPA);2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2800;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Noordoost Brabant (RPA);2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2801;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Noordoost Brabant (RPA);2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2802;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Noordoost Brabant (RPA);2002;0.5;0.0;0.0;0.0;;;0.1;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.2;0.2;0.2;0.1;0.0;0.0;0.4;0.1;0.0;;0.0;0.1;0.3;0.1;0.0;
2803;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Noordoost Brabant (RPA);2003;0.4;0.0;0.0;0.0;;;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.1;0.1;0.2;0.0;0.0;0.2;0.1;0.0;;0.0;0.0;0.2;0.1;0.0;
2804;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Noordoost Brabant (RPA);2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2805;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Noordoost Brabant (RPA);2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2806;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Noordoost Brabant (RPA);2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2807;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Zuidoost Brabant (RPA);2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2808;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Zuidoost Brabant (RPA);2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2809;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Zuidoost Brabant (RPA);2002;0.8;0.0;0.0;0.1;;;0.2;0.0;0.0;0.0;0.2;0.0;0.1;0.1;0.0;0.3;0.2;0.3;0.0;0.3;0.2;0.2;0.0;;0.1;0.2;0.3;0.2;0.0;
2810;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Zuidoost Brabant (RPA);2003;0.7;0.0;0.0;0.1;;;0.2;0.0;0.0;0.0;0.1;0.0;0.1;0.2;0.0;0.3;0.1;0.3;0.0;0.2;0.3;0.1;0.1;;0.1;0.1;0.3;0.2;0.1;
2811;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Zuidoost Brabant (RPA);2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2812;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Zuidoost Brabant (RPA);2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2813;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Zuidoost Brabant (RPA);2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2814;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Noord Limburg (RPA);2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2815;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Noord Limburg (RPA);2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2816;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Noord Limburg (RPA);2002;0.2;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;0.0;;0.1;0.0;0.1;0.1;0.0;0.0;0.0;0.2;0.0;0.0;;0.0;0.0;0.1;0.0;0.0;
2817;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Noord Limburg (RPA);2003;0.2;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;0.0;;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.1;0.1;0.0;;0.0;0.0;0.1;0.1;0.0;
2818;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Noord Limburg (RPA);2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2819;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Noord Limburg (RPA);2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2820;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Noord Limburg (RPA);2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2821;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Weert (RPA);2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2822;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Weert (RPA);2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2823;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Weert (RPA);2002;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;
2824;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Weert (RPA);2003;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;
2825;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Weert (RPA);2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2826;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Weert (RPA);2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2827;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Weert (RPA);2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2828;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Roermond (RPA);2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2829;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Roermond (RPA);2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2830;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Roermond (RPA);2002;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;
2831;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Roermond (RPA);2003;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;
2832;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Roermond (RPA);2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2833;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Roermond (RPA);2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2834;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Roermond (RPA);2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2835;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Westelijke Mijnstreek (RPA);2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2836;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Westelijke Mijnstreek (RPA);2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2837;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Westelijke Mijnstreek (RPA);2002;0.1;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;
2838;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Westelijke Mijnstreek (RPA);2003;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;
2839;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Westelijke Mijnstreek (RPA);2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2840;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Westelijke Mijnstreek (RPA);2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2841;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Westelijke Mijnstreek (RPA);2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2842;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Parkstad Limburg (RPA);2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2843;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Parkstad Limburg (RPA);2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2844;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Parkstad Limburg (RPA);2002;0.1;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;0.0;;0.1;0.0;0.0;0.1;0.1;0.0;0.0;0.1;0.0;0.0;;0.0;0.0;0.1;0.0;0.0;
2845;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Parkstad Limburg (RPA);2003;0.1;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;
2846;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Parkstad Limburg (RPA);2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2847;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Parkstad Limburg (RPA);2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2848;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Parkstad Limburg (RPA);2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2849;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Maastricht Mergelland (RPA);2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2850;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Maastricht Mergelland (RPA);2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2851;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Maastricht Mergelland (RPA);2002;0.2;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;0.0;;0.0;0.0;0.0;0.1;0.1;0.0;0.0;0.1;0.1;0.0;;0.0;0.0;0.1;0.1;0.0;
2852;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Maastricht Mergelland (RPA);2003;0.3;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;;0.1;0.0;;0.1;0.0;0.1;0.1;0.1;0.0;0.0;0.1;0.1;0.0;;0.0;0.0;0.1;0.1;0.0;
2853;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Maastricht Mergelland (RPA);2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2854;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Maastricht Mergelland (RPA);2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2855;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Maastricht Mergelland (RPA);2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2856;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Oost-Groningen (COR);2000;0.1;;;0.0;;;0.0;;;;0.0;0.0;0.0;0.1;0.0;0.0;0.1;0.1;0.0;0.0;0.1;0.1;0.0;0.0;0.0;0.0;0.1;0.1;0.0;0.0
2857;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Oost-Groningen (COR);2001;0.2;;;0.0;;;0.0;;;;0.0;0.0;0.0;0.1;0.0;0.0;0.1;0.1;0.0;0.0;0.1;0.0;0.0;0.0;0.1;0.0;0.1;0.0;0.0;0.0
2858;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Oost-Groningen (COR);2002;0.1;;;0.0;;;0.0;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;
2859;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Oost-Groningen (COR);2003;0.1;;;0.0;;;0.0;;;;0.0;0.0;0.0;0.0;0.1;0.1;0.0;0.0;0.0;0.0;0.1;0.1;0.0;;0.0;0.0;0.1;0.1;0.0;
2860;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Oost-Groningen (COR);2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2861;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Oost-Groningen (COR);2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2862;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Oost-Groningen (COR);2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2863;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Delfzijl en omgeving (COR);2000;0.1;;;0.0;;;0.0;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2864;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Delfzijl en omgeving (COR);2001;0.0;;;0.0;;;0.0;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2865;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Delfzijl en omgeving (COR);2002;0.0;;;0.0;;;0.0;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;
2866;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Delfzijl en omgeving (COR);2003;0.0;;;0.0;;;0.0;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;
2867;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Delfzijl en omgeving (COR);2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2868;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Delfzijl en omgeving (COR);2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2869;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Delfzijl en omgeving (COR);2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2870;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Overig Groningen (COR);2000;0.8;;;0.0;;;0.0;;;;0.0;0.0;0.0;0.2;0.0;0.1;0.4;0.3;0.0;0.4;0.2;0.1;0.1;0.0;0.0;0.4;0.2;0.1;0.1;0.0
2871;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Overig Groningen (COR);2001;0.4;;;0.0;;;0.1;;;;0.0;0.0;0.0;0.1;0.0;0.1;0.1;0.2;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.1;0.2;0.1;0.0;0.0
2872;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Overig Groningen (COR);2002;0.2;;;0.0;;;0.0;;;;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.2;0.0;0.0;0.1;0.0;0.0;;0.0;0.0;0.1;0.1;0.0;
2873;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Overig Groningen (COR);2003;0.4;;;0.0;;;0.1;;;;0.1;0.1;0.0;0.1;0.0;0.0;0.0;0.4;0.0;0.1;0.2;0.1;0.0;;0.0;0.1;0.2;0.0;0.0;
2874;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Overig Groningen (COR);2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2875;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Overig Groningen (COR);2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2876;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Overig Groningen (COR);2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2877;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Noord-Friesland (COR);2000;0.3;;0.0;0.0;;;0.0;;0.0;;0.0;0.0;0.0;0.1;0.0;0.1;0.1;0.1;0.0;0.1;0.1;0.1;0.0;0.0;0.0;0.1;0.1;0.1;0.0;0.0
2878;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Noord-Friesland (COR);2001;0.3;;0.0;0.1;;;0.1;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.1;0.0;0.1;0.2;0.1;0.0;0.0;0.0;0.1;0.2;0.1;0.0;0.0
2879;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Noord-Friesland (COR);2002;0.3;;0.0;0.1;;;0.1;;0.0;;0.0;0.0;0.0;0.1;0.0;0.1;0.1;0.1;0.0;0.2;0.1;0.1;0.0;;0.0;0.1;0.1;0.1;0.0;
2880;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Noord-Friesland (COR);2003;0.1;;0.0;0.0;;;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;
2881;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Noord-Friesland (COR);2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2882;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Noord-Friesland (COR);2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2883;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Noord-Friesland (COR);2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2884;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Zuidwest-Friesland (COR);2000;0.1;;0.0;0.0;;;0.0;;0.0;;0.0;0.0;0.0;0.1;0.0;0.1;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0
2885;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Zuidwest-Friesland (COR);2001;0.1;;0.0;0.0;;;0.1;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0
2886;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Zuidwest-Friesland (COR);2002;0.1;;0.0;0.0;;;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;
2887;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Zuidwest-Friesland (COR);2003;0.0;;0.0;0.0;;;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;
2888;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Zuidwest-Friesland (COR);2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2889;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Zuidwest-Friesland (COR);2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2890;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Zuidwest-Friesland (COR);2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2891;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Zuidoost-Friesland (COR);2000;0.1;;0.0;0.0;;;0.1;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.1;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0
2892;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Zuidoost-Friesland (COR);2001;0.5;;0.0;0.2;;;0.1;;0.0;;0.1;0.0;0.0;0.0;0.0;0.1;0.1;0.3;0.2;0.0;0.2;0.0;0.1;0.0;0.0;0.3;0.1;0.0;0.1;0.0
2893;Totaal bedrijven en instellingen;Met bezette arbeidsplaats;Zuidoost-Friesland (COR);2002;0.2;;0.0;0.0;;;0.1;;0.0;;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.1;0.0;0.0;0.2;0.0;0.0;;0.0;0.1;0.0;0.0;0.0;
