ID;Bedrijfsklassen;BewerkingsEnVerwerkingsmethoden;Perioden;TotaalBedrijfsafvalstoffen_1;TotaalNietChemischAfval_2;Metaalafval_3;TotaalNietMetaalafval_4;Glas_5;PapierKarton_6;KunststoffenRubber_7;Hout_8;TextielLeder_9;DierlijkPlantaardigAfval_10;GemengdAfval_11;Slib_12;MineralenSteenachtigAfval_13;OverigNietChemischAfval_14;ChemischAfval_15;TotaalHergebruikEnEindverwerking_16;TotaalHergebruik_17;InzetAlsBrandstof_18;OverigHergebruik_19;TotaalEindverwerking_20;Verbranden_21;Storten_22;ScheidenAchteraf_23;k_1OfMeerWerknemers_24;k_1Tot10Werknemers_25;k_10Tot20Werknemers_26;k_20Tot50Werknemers_27;k_50Tot100Werknemers_28;k_100Tot200Werknemers_29;k_200Tot500Werknemers_30;k_500OfMeerWerknemers_31
105;155 Vervaardiging van zuivelproducten;Eindverwerking;2005;11;11;0;0;0;0;0;0;0;0;10;0;0;0;0;11;0;0;0;11;9;1;1;11;;;;;;;
106;155 Vervaardiging van zuivelproducten;Eindverwerking;2006;12;12;0;0;0;0;0;0;0;1;10;1;0;0;0;12;0;0;0;12;10;1;1;12;1.0;0.0;1.0;1.0;1.0;1.0;7.0
107;155 Vervaardiging van zuivelproducten;Eindverwerking;2007;12;12;0;0;0;0;0;0;0;1;10;1;0;0;0;12;0;0;0;12;10;1;1;12;;;;;;;
108;1560b  Meel-, diervoeder- en overige ..;Totaal hergebruik en eindverwerking;2004;2677;2561;4;45;1;30;3;10;0;1467;103;93;849;0;117;2677;2479;34;2445;198;61;80;57;2677;33.0;23.0;160.0;26.0;45.0;118.0;2273.0
109;1560b  Meel-, diervoeder- en overige ..;Totaal hergebruik en eindverwerking;2005;2308;2192;4;46;1;31;3;10;0;1282;104;94;663;0;116;2308;2108;36;2072;200;62;80;57;2308;;;;;;;
110;1560b  Meel-, diervoeder- en overige ..;Totaal hergebruik en eindverwerking;2006;2200;2141;5;46;1;34;6;5;0;1330;74;101;586;0;58;2200;2009;58;1951;191;72;109;10;2200;18.0;13.0;77.0;71.0;73.0;631.0;1316.0
111;1560b  Meel-, diervoeder- en overige ..;Totaal hergebruik en eindverwerking;2007;2235;2163;6;48;1;36;6;5;0;1337;78;106;588;0;72;2235;2046;61;1985;189;76;103;10;2235;;;;;;;
112;1560b  Meel-, diervoeder- en overige ..;Hergebruik;2004;2479;2364;4;44;1;30;3;10;0;1442;8;79;787;0;116;2479;2479;34;2445;0;0;0;0;2479;7.0;5.0;150.0;10.0;27.0;83.0;2198.0
113;1560b  Meel-, diervoeder- en overige ..;Hergebruik;2005;2108;1993;4;44;1;30;3;10;0;1256;8;80;601;0;115;2108;2108;36;2072;0;0;0;0;2108;;;;;;;
114;1560b  Meel-, diervoeder- en overige ..;Hergebruik;2006;2009;1951;5;46;1;34;6;5;0;1284;13;82;520;0;58;2009;2009;58;1951;0;0;0;0;2009;6.0;5.0;70.0;66.0;58.0;563.0;1241.0
