ID;SoortRijksmonumenten;RegioS2019;Perioden;Rijksmonumenten_1
88;Rijksmonumenten totaal;Noord-Nederland (LD);1998;6681
89;Rijksmonumenten totaal;Noord-Nederland (LD);1999;7083
90;Rijksmonumenten totaal;Noord-Nederland (LD);2000;7312
91;Rijksmonumenten totaal;Noord-Nederland (LD);2001;7984
92;Rijksmonumenten totaal;Noord-Nederland (LD);2002;8068
93;Rijksmonumenten totaal;Noord-Nederland (LD);2003;8196
94;Rijksmonumenten totaal;Noord-Nederland (LD);2004;8286
95;Rijksmonumenten totaal;Noord-Nederland (LD);2005;8400
96;Rijksmonumenten totaal;Noord-Nederland (LD);2006;8427
97;Rijksmonumenten totaal;Noord-Nederland (LD);2007;8439
98;Rijksmonumenten totaal;Noord-Nederland (LD);2008;8439
99;Rijksmonumenten totaal;Noord-Nederland (LD);2009;8440
100;Rijksmonumenten totaal;Noord-Nederland (LD);2010;8448
101;Rijksmonumenten totaal;Noord-Nederland (LD);2011;8457
102;Rijksmonumenten totaal;Noord-Nederland (LD);2012;8458
103;Rijksmonumenten totaal;Noord-Nederland (LD);2013;8458
104;Rijksmonumenten totaal;Noord-Nederland (LD);2014;8465
105;Rijksmonumenten totaal;Noord-Nederland (LD);2015;8468
106;Rijksmonumenten totaal;Noord-Nederland (LD);2016;8470
107;Rijksmonumenten totaal;Noord-Nederland (LD);2017;8472
108;Rijksmonumenten totaal;Noord-Nederland (LD);2018;8473
109;Rijksmonumenten totaal;Noord-Nederland (LD);2019;8474
110;Rijksmonumenten totaal;Oost-Nederland (LD);1965;424
111;Rijksmonumenten totaal;Oost-Nederland (LD);1966;1283
112;Rijksmonumenten totaal;Oost-Nederland (LD);1967;1835
113;Rijksmonumenten totaal;Oost-Nederland (LD);1968;2390
114;Rijksmonumenten totaal;Oost-Nederland (LD);1969;2439
115;Rijksmonumenten totaal;Oost-Nederland (LD);1970;2746
116;Rijksmonumenten totaal;Oost-Nederland (LD);1971;3947
117;Rijksmonumenten totaal;Oost-Nederland (LD);1972;4516
118;Rijksmonumenten totaal;Oost-Nederland (LD);1973;5091
119;Rijksmonumenten totaal;Oost-Nederland (LD);1974;5182
120;Rijksmonumenten totaal;Oost-Nederland (LD);1975;5311
121;Rijksmonumenten totaal;Oost-Nederland (LD);1976;5445
122;Rijksmonumenten totaal;Oost-Nederland (LD);1977;5547
123;Rijksmonumenten totaal;Oost-Nederland (LD);1978;5680
124;Rijksmonumenten totaal;Oost-Nederland (LD);1979;5713
125;Rijksmonumenten totaal;Oost-Nederland (LD);1980;5799
126;Rijksmonumenten totaal;Oost-Nederland (LD);1981;5845
127;Rijksmonumenten totaal;Oost-Nederland (LD);1982;5877
128;Rijksmonumenten totaal;Oost-Nederland (LD);1983;5898
129;Rijksmonumenten totaal;Oost-Nederland (LD);1984;5914
130;Rijksmonumenten totaal;Oost-Nederland (LD);1985;5943
131;Rijksmonumenten totaal;Oost-Nederland (LD);1986;5980
132;Rijksmonumenten totaal;Oost-Nederland (LD);1987;6005
133;Rijksmonumenten totaal;Oost-Nederland (LD);1988;6015
134;Rijksmonumenten totaal;Oost-Nederland (LD);1989;6020
135;Rijksmonumenten totaal;Oost-Nederland (LD);1990;6038
136;Rijksmonumenten totaal;Oost-Nederland (LD);1991;6085
137;Rijksmonumenten totaal;Oost-Nederland (LD);1992;6133
138;Rijksmonumenten totaal;Oost-Nederland (LD);1993;6180
139;Rijksmonumenten totaal;Oost-Nederland (LD);1994;6265
140;Rijksmonumenten totaal;Oost-Nederland (LD);1995;6291
141;Rijksmonumenten totaal;Oost-Nederland (LD);1996;6294
142;Rijksmonumenten totaal;Oost-Nederland (LD);1997;6476
143;Rijksmonumenten totaal;Oost-Nederland (LD);1998;6603
144;Rijksmonumenten totaal;Oost-Nederland (LD);1999;7089
145;Rijksmonumenten totaal;Oost-Nederland (LD);2000;7587
146;Rijksmonumenten totaal;Oost-Nederland (LD);2001;7985
147;Rijksmonumenten totaal;Oost-Nederland (LD);2002;8763
148;Rijksmonumenten totaal;Oost-Nederland (LD);2003;8845
149;Rijksmonumenten totaal;Oost-Nederland (LD);2004;9114
150;Rijksmonumenten totaal;Oost-Nederland (LD);2005;9583
151;Rijksmonumenten totaal;Oost-Nederland (LD);2006;9922
152;Rijksmonumenten totaal;Oost-Nederland (LD);2007;10054
153;Rijksmonumenten totaal;Oost-Nederland (LD);2008;10106
154;Rijksmonumenten totaal;Oost-Nederland (LD);2009;10119
155;Rijksmonumenten totaal;Oost-Nederland (LD);2010;10268
156;Rijksmonumenten totaal;Oost-Nederland (LD);2011;10307
157;Rijksmonumenten totaal;Oost-Nederland (LD);2012;10438
158;Rijksmonumenten totaal;Oost-Nederland (LD);2013;10445
159;Rijksmonumenten totaal;Oost-Nederland (LD);2014;10525
160;Rijksmonumenten totaal;Oost-Nederland (LD);2015;10579
161;Rijksmonumenten totaal;Oost-Nederland (LD);2016;10591
162;Rijksmonumenten totaal;Oost-Nederland (LD);2017;10606
163;Rijksmonumenten totaal;Oost-Nederland (LD);2018;10609
164;Rijksmonumenten totaal;Oost-Nederland (LD);2019;10608
165;Rijksmonumenten totaal;West-Nederland (LD);1965;485
166;Rijksmonumenten totaal;West-Nederland (LD);1966;3124
167;Rijksmonumenten totaal;West-Nederland (LD);1967;5901
168;Rijksmonumenten totaal;West-Nederland (LD);1968;7522
169;Rijksmonumenten totaal;West-Nederland (LD);1969;9141
170;Rijksmonumenten totaal;West-Nederland (LD);1970;15800
171;Rijksmonumenten totaal;West-Nederland (LD);1971;16404
172;Rijksmonumenten totaal;West-Nederland (LD);1972;17028
173;Rijksmonumenten totaal;West-Nederland (LD);1973;18293
174;Rijksmonumenten totaal;West-Nederland (LD);1974;18806
175;Rijksmonumenten totaal;West-Nederland (LD);1975;19147
176;Rijksmonumenten totaal;West-Nederland (LD);1976;19634
177;Rijksmonumenten totaal;West-Nederland (LD);1977;19828
178;Rijksmonumenten totaal;West-Nederland (LD);1978;19999
179;Rijksmonumenten totaal;West-Nederland (LD);1979;20078
180;Rijksmonumenten totaal;West-Nederland (LD);1980;20181
181;Rijksmonumenten totaal;West-Nederland (LD);1981;20252
182;Rijksmonumenten totaal;West-Nederland (LD);1982;20320
183;Rijksmonumenten totaal;West-Nederland (LD);1983;20367
184;Rijksmonumenten totaal;West-Nederland (LD);1984;20434
185;Rijksmonumenten totaal;West-Nederland (LD);1985;20572
186;Rijksmonumenten totaal;West-Nederland (LD);1986;20613
187;Rijksmonumenten totaal;West-Nederland (LD);1987;20651
188;Rijksmonumenten totaal;West-Nederland (LD);1988;20687
189;Rijksmonumenten totaal;West-Nederland (LD);1989;20737
190;Rijksmonumenten totaal;West-Nederland (LD);1990;20867
191;Rijksmonumenten totaal;West-Nederland (LD);1991;21007
192;Rijksmonumenten totaal;West-Nederland (LD);1992;21262
193;Rijksmonumenten totaal;West-Nederland (LD);1993;21592
194;Rijksmonumenten totaal;West-Nederland (LD);1994;21785
195;Rijksmonumenten totaal;West-Nederland (LD);1995;21836
196;Rijksmonumenten totaal;West-Nederland (LD);1996;22096
197;Rijksmonumenten totaal;West-Nederland (LD);1997;22318
198;Rijksmonumenten totaal;West-Nederland (LD);1998;22940
199;Rijksmonumenten totaal;West-Nederland (LD);1999;23606
200;Rijksmonumenten totaal;West-Nederland (LD);2000;24233
201;Rijksmonumenten totaal;West-Nederland (LD);2001;25568
202;Rijksmonumenten totaal;West-Nederland (LD);2002;26740
203;Rijksmonumenten totaal;West-Nederland (LD);2003;27023
204;Rijksmonumenten totaal;West-Nederland (LD);2004;27420
205;Rijksmonumenten totaal;West-Nederland (LD);2005;27653
206;Rijksmonumenten totaal;West-Nederland (LD);2006;27911
207;Rijksmonumenten totaal;West-Nederland (LD);2007;28015
208;Rijksmonumenten totaal;West-Nederland (LD);2008;28116
209;Rijksmonumenten totaal;West-Nederland (LD);2009;28185
210;Rijksmonumenten totaal;West-Nederland (LD);2010;28318
211;Rijksmonumenten totaal;West-Nederland (LD);2011;28485
212;Rijksmonumenten totaal;West-Nederland (LD);2012;28626
213;Rijksmonumenten totaal;West-Nederland (LD);2013;28727
214;Rijksmonumenten totaal;West-Nederland (LD);2014;28889
215;Rijksmonumenten totaal;West-Nederland (LD);2015;28937
216;Rijksmonumenten totaal;West-Nederland (LD);2016;29110
217;Rijksmonumenten totaal;West-Nederland (LD);2017;29118
218;Rijksmonumenten totaal;West-Nederland (LD);2018;29120
219;Rijksmonumenten totaal;West-Nederland (LD);2019;29118
220;Rijksmonumenten totaal;Zuid-Nederland (LD);1965;484
221;Rijksmonumenten totaal;Zuid-Nederland (LD);1966;4121
222;Rijksmonumenten totaal;Zuid-Nederland (LD);1967;6354
223;Rijksmonumenten totaal;Zuid-Nederland (LD);1968;6721
224;Rijksmonumenten totaal;Zuid-Nederland (LD);1969;6823
225;Rijksmonumenten totaal;Zuid-Nederland (LD);1970;7106
226;Rijksmonumenten totaal;Zuid-Nederland (LD);1971;7481
227;Rijksmonumenten totaal;Zuid-Nederland (LD);1972;7688
228;Rijksmonumenten totaal;Zuid-Nederland (LD);1973;8153
229;Rijksmonumenten totaal;Zuid-Nederland (LD);1974;8463
230;Rijksmonumenten totaal;Zuid-Nederland (LD);1975;8592
231;Rijksmonumenten totaal;Zuid-Nederland (LD);1976;8800
232;Rijksmonumenten totaal;Zuid-Nederland (LD);1977;8860
233;Rijksmonumenten totaal;Zuid-Nederland (LD);1978;8936
234;Rijksmonumenten totaal;Zuid-Nederland (LD);1979;9064
235;Rijksmonumenten totaal;Zuid-Nederland (LD);1980;9204
236;Rijksmonumenten totaal;Zuid-Nederland (LD);1981;9239
237;Rijksmonumenten totaal;Zuid-Nederland (LD);1982;9278
238;Rijksmonumenten totaal;Zuid-Nederland (LD);1983;9329
239;Rijksmonumenten totaal;Zuid-Nederland (LD);1984;9604
240;Rijksmonumenten totaal;Zuid-Nederland (LD);1985;9637
241;Rijksmonumenten totaal;Zuid-Nederland (LD);1986;9686
242;Rijksmonumenten totaal;Zuid-Nederland (LD);1987;9700
243;Rijksmonumenten totaal;Zuid-Nederland (LD);1988;9710
244;Rijksmonumenten totaal;Zuid-Nederland (LD);1989;9747
245;Rijksmonumenten totaal;Zuid-Nederland (LD);1990;9760
246;Rijksmonumenten totaal;Zuid-Nederland (LD);1991;9778
247;Rijksmonumenten totaal;Zuid-Nederland (LD);1992;9821
248;Rijksmonumenten totaal;Zuid-Nederland (LD);1993;9878
249;Rijksmonumenten totaal;Zuid-Nederland (LD);1994;9907
250;Rijksmonumenten totaal;Zuid-Nederland (LD);1995;9960
251;Rijksmonumenten totaal;Zuid-Nederland (LD);1996;10054
252;Rijksmonumenten totaal;Zuid-Nederland (LD);1997;10577
253;Rijksmonumenten totaal;Zuid-Nederland (LD);1998;10771
254;Rijksmonumenten totaal;Zuid-Nederland (LD);1999;10940
255;Rijksmonumenten totaal;Zuid-Nederland (LD);2000;11386
256;Rijksmonumenten totaal;Zuid-Nederland (LD);2001;12302
257;Rijksmonumenten totaal;Zuid-Nederland (LD);2002;14135
258;Rijksmonumenten totaal;Zuid-Nederland (LD);2003;14351
259;Rijksmonumenten totaal;Zuid-Nederland (LD);2004;14637
260;Rijksmonumenten totaal;Zuid-Nederland (LD);2005;14699
261;Rijksmonumenten totaal;Zuid-Nederland (LD);2006;14853
262;Rijksmonumenten totaal;Zuid-Nederland (LD);2007;14906
263;Rijksmonumenten totaal;Zuid-Nederland (LD);2008;14906
264;Rijksmonumenten totaal;Zuid-Nederland (LD);2009;14922
265;Rijksmonumenten totaal;Zuid-Nederland (LD);2010;14948
266;Rijksmonumenten totaal;Zuid-Nederland (LD);2011;14979
267;Rijksmonumenten totaal;Zuid-Nederland (LD);2012;14981
268;Rijksmonumenten totaal;Zuid-Nederland (LD);2013;15059
269;Rijksmonumenten totaal;Zuid-Nederland (LD);2014;15065
270;Rijksmonumenten totaal;Zuid-Nederland (LD);2015;15104
271;Rijksmonumenten totaal;Zuid-Nederland (LD);2016;15115
272;Rijksmonumenten totaal;Zuid-Nederland (LD);2017;15119
273;Rijksmonumenten totaal;Zuid-Nederland (LD);2018;15123
274;Rijksmonumenten totaal;Zuid-Nederland (LD);2019;15121
275;Rijksmonumenten totaal;Groningen (PV);1965;0
276;Rijksmonumenten totaal;Groningen (PV);1966;0
277;Rijksmonumenten totaal;Groningen (PV);1967;0
278;Rijksmonumenten totaal;Groningen (PV);1968;81
279;Rijksmonumenten totaal;Groningen (PV);1969;81
280;Rijksmonumenten totaal;Groningen (PV);1970;103
281;Rijksmonumenten totaal;Groningen (PV);1971;489
282;Rijksmonumenten totaal;Groningen (PV);1972;620
283;Rijksmonumenten totaal;Groningen (PV);1973;1018
284;Rijksmonumenten totaal;Groningen (PV);1974;1026
285;Rijksmonumenten totaal;Groningen (PV);1975;1114
286;Rijksmonumenten totaal;Groningen (PV);1976;1226
287;Rijksmonumenten totaal;Groningen (PV);1977;1257
288;Rijksmonumenten totaal;Groningen (PV);1978;1305
289;Rijksmonumenten totaal;Groningen (PV);1979;1316
290;Rijksmonumenten totaal;Groningen (PV);1980;1340
291;Rijksmonumenten totaal;Groningen (PV);1981;1367
292;Rijksmonumenten totaal;Groningen (PV);1982;1385
293;Rijksmonumenten totaal;Groningen (PV);1983;1396
294;Rijksmonumenten totaal;Groningen (PV);1984;1409
295;Rijksmonumenten totaal;Groningen (PV);1985;1416
296;Rijksmonumenten totaal;Groningen (PV);1986;1423
297;Rijksmonumenten totaal;Groningen (PV);1987;1424
298;Rijksmonumenten totaal;Groningen (PV);1988;1425
299;Rijksmonumenten totaal;Groningen (PV);1989;1451
300;Rijksmonumenten totaal;Groningen (PV);1990;1457
301;Rijksmonumenten totaal;Groningen (PV);1991;1461
302;Rijksmonumenten totaal;Groningen (PV);1992;1464
303;Rijksmonumenten totaal;Groningen (PV);1993;1470
304;Rijksmonumenten totaal;Groningen (PV);1994;1471
305;Rijksmonumenten totaal;Groningen (PV);1995;1760
306;Rijksmonumenten totaal;Groningen (PV);1996;1761
307;Rijksmonumenten totaal;Groningen (PV);1997;1769
308;Rijksmonumenten totaal;Groningen (PV);1998;1873
309;Rijksmonumenten totaal;Groningen (PV);1999;2058
310;Rijksmonumenten totaal;Groningen (PV);2000;2154
311;Rijksmonumenten totaal;Groningen (PV);2001;2577
312;Rijksmonumenten totaal;Groningen (PV);2002;2607
313;Rijksmonumenten totaal;Groningen (PV);2003;2649
314;Rijksmonumenten totaal;Groningen (PV);2004;2681
315;Rijksmonumenten totaal;Groningen (PV);2005;2737
316;Rijksmonumenten totaal;Groningen (PV);2006;2745
317;Rijksmonumenten totaal;Groningen (PV);2007;2746
318;Rijksmonumenten totaal;Groningen (PV);2008;2746
319;Rijksmonumenten totaal;Groningen (PV);2009;2746
320;Rijksmonumenten totaal;Groningen (PV);2010;2753
321;Rijksmonumenten totaal;Groningen (PV);2011;2761
322;Rijksmonumenten totaal;Groningen (PV);2012;2761
323;Rijksmonumenten totaal;Groningen (PV);2013;2761
324;Rijksmonumenten totaal;Groningen (PV);2014;2764
325;Rijksmonumenten totaal;Groningen (PV);2015;2765
326;Rijksmonumenten totaal;Groningen (PV);2016;2766
327;Rijksmonumenten totaal;Groningen (PV);2017;2767
328;Rijksmonumenten totaal;Groningen (PV);2018;2767
329;Rijksmonumenten totaal;Groningen (PV);2019;2767
330;Rijksmonumenten totaal;Friesland (PV);1965;84
331;Rijksmonumenten totaal;Friesland (PV);1966;587
332;Rijksmonumenten totaal;Friesland (PV);1967;1325
333;Rijksmonumenten totaal;Friesland (PV);1968;1923
334;Rijksmonumenten totaal;Friesland (PV);1969;1925
335;Rijksmonumenten totaal;Friesland (PV);1970;2198
336;Rijksmonumenten totaal;Friesland (PV);1971;2647
337;Rijksmonumenten totaal;Friesland (PV);1972;2720
338;Rijksmonumenten totaal;Friesland (PV);1973;2787
339;Rijksmonumenten totaal;Friesland (PV);1974;2836
340;Rijksmonumenten totaal;Friesland (PV);1975;3028
341;Rijksmonumenten totaal;Friesland (PV);1976;3084
342;Rijksmonumenten totaal;Friesland (PV);1977;3104
343;Rijksmonumenten totaal;Friesland (PV);1978;3123
344;Rijksmonumenten totaal;Friesland (PV);1979;3165
345;Rijksmonumenten totaal;Friesland (PV);1980;3176
346;Rijksmonumenten totaal;Friesland (PV);1981;3178
347;Rijksmonumenten totaal;Friesland (PV);1982;3187
348;Rijksmonumenten totaal;Friesland (PV);1983;3234
349;Rijksmonumenten totaal;Friesland (PV);1984;3244
350;Rijksmonumenten totaal;Friesland (PV);1985;3254
351;Rijksmonumenten totaal;Friesland (PV);1986;3260
352;Rijksmonumenten totaal;Friesland (PV);1987;3263
353;Rijksmonumenten totaal;Friesland (PV);1988;3264
354;Rijksmonumenten totaal;Friesland (PV);1989;3270
355;Rijksmonumenten totaal;Friesland (PV);1990;3281
356;Rijksmonumenten totaal;Friesland (PV);1991;3327
357;Rijksmonumenten totaal;Friesland (PV);1992;3340
358;Rijksmonumenten totaal;Friesland (PV);1993;3345
359;Rijksmonumenten totaal;Friesland (PV);1994;3379
360;Rijksmonumenten totaal;Friesland (PV);1995;3380
361;Rijksmonumenten totaal;Friesland (PV);1996;3433
362;Rijksmonumenten totaal;Friesland (PV);1997;3504
363;Rijksmonumenten totaal;Friesland (PV);1998;3562
364;Rijksmonumenten totaal;Friesland (PV);1999;3772
365;Rijksmonumenten totaal;Friesland (PV);2000;3901
366;Rijksmonumenten totaal;Friesland (PV);2001;4131
367;Rijksmonumenten totaal;Friesland (PV);2002;4182
368;Rijksmonumenten totaal;Friesland (PV);2003;4247
369;Rijksmonumenten totaal;Friesland (PV);2004;4269
370;Rijksmonumenten totaal;Friesland (PV);2005;4312
371;Rijksmonumenten totaal;Friesland (PV);2006;4330
372;Rijksmonumenten totaal;Friesland (PV);2007;4334
373;Rijksmonumenten totaal;Friesland (PV);2008;4334
374;Rijksmonumenten totaal;Friesland (PV);2009;4334
375;Rijksmonumenten totaal;Friesland (PV);2010;4335
376;Rijksmonumenten totaal;Friesland (PV);2011;4336
377;Rijksmonumenten totaal;Friesland (PV);2012;4336
378;Rijksmonumenten totaal;Friesland (PV);2013;4336
379;Rijksmonumenten totaal;Friesland (PV);2014;4331
380;Rijksmonumenten totaal;Friesland (PV);2015;4333
381;Rijksmonumenten totaal;Friesland (PV);2016;4334
382;Rijksmonumenten totaal;Friesland (PV);2017;4334
383;Rijksmonumenten totaal;Friesland (PV);2018;4335
384;Rijksmonumenten totaal;Friesland (PV);2019;4336
385;Rijksmonumenten totaal;Drenthe (PV);1965;306
386;Rijksmonumenten totaal;Drenthe (PV);1966;312
387;Rijksmonumenten totaal;Drenthe (PV);1967;314
388;Rijksmonumenten totaal;Drenthe (PV);1968;327
389;Rijksmonumenten totaal;Drenthe (PV);1969;333
390;Rijksmonumenten totaal;Drenthe (PV);1970;338
391;Rijksmonumenten totaal;Drenthe (PV);1971;352
392;Rijksmonumenten totaal;Drenthe (PV);1972;355
393;Rijksmonumenten totaal;Drenthe (PV);1973;368
394;Rijksmonumenten totaal;Drenthe (PV);1974;369
395;Rijksmonumenten totaal;Drenthe (PV);1975;385
396;Rijksmonumenten totaal;Drenthe (PV);1976;386
397;Rijksmonumenten totaal;Drenthe (PV);1977;392
398;Rijksmonumenten totaal;Drenthe (PV);1978;419
399;Rijksmonumenten totaal;Drenthe (PV);1979;438
400;Rijksmonumenten totaal;Drenthe (PV);1980;447
401;Rijksmonumenten totaal;Drenthe (PV);1981;454
402;Rijksmonumenten totaal;Drenthe (PV);1982;486
403;Rijksmonumenten totaal;Drenthe (PV);1983;511
404;Rijksmonumenten totaal;Drenthe (PV);1984;522
405;Rijksmonumenten totaal;Drenthe (PV);1985;580
406;Rijksmonumenten totaal;Drenthe (PV);1986;588
407;Rijksmonumenten totaal;Drenthe (PV);1987;591
408;Rijksmonumenten totaal;Drenthe (PV);1988;595
409;Rijksmonumenten totaal;Drenthe (PV);1989;597
410;Rijksmonumenten totaal;Drenthe (PV);1990;614
411;Rijksmonumenten totaal;Drenthe (PV);1991;626
412;Rijksmonumenten totaal;Drenthe (PV);1992;637
413;Rijksmonumenten totaal;Drenthe (PV);1993;648
414;Rijksmonumenten totaal;Drenthe (PV);1994;947
415;Rijksmonumenten totaal;Drenthe (PV);1995;1022
416;Rijksmonumenten totaal;Drenthe (PV);1996;1025
417;Rijksmonumenten totaal;Drenthe (PV);1997;1127
418;Rijksmonumenten totaal;Drenthe (PV);1998;1246
419;Rijksmonumenten totaal;Drenthe (PV);1999;1253
420;Rijksmonumenten totaal;Drenthe (PV);2000;1257
421;Rijksmonumenten totaal;Drenthe (PV);2001;1276
422;Rijksmonumenten totaal;Drenthe (PV);2002;1279
423;Rijksmonumenten totaal;Drenthe (PV);2003;1300
424;Rijksmonumenten totaal;Drenthe (PV);2004;1336
425;Rijksmonumenten totaal;Drenthe (PV);2005;1351
426;Rijksmonumenten totaal;Drenthe (PV);2006;1352
427;Rijksmonumenten totaal;Drenthe (PV);2007;1359
428;Rijksmonumenten totaal;Drenthe (PV);2008;1359
429;Rijksmonumenten totaal;Drenthe (PV);2009;1360
430;Rijksmonumenten totaal;Drenthe (PV);2010;1360
431;Rijksmonumenten totaal;Drenthe (PV);2011;1360
432;Rijksmonumenten totaal;Drenthe (PV);2012;1361
433;Rijksmonumenten totaal;Drenthe (PV);2013;1361
434;Rijksmonumenten totaal;Drenthe (PV);2014;1370
435;Rijksmonumenten totaal;Drenthe (PV);2015;1370
436;Rijksmonumenten totaal;Drenthe (PV);2016;1370
437;Rijksmonumenten totaal;Drenthe (PV);2017;1371
438;Rijksmonumenten totaal;Drenthe (PV);2018;1371
439;Rijksmonumenten totaal;Drenthe (PV);2019;1371
440;Rijksmonumenten totaal;Overijssel (PV);1965;113
441;Rijksmonumenten totaal;Overijssel (PV);1966;270
442;Rijksmonumenten totaal;Overijssel (PV);1967;589
443;Rijksmonumenten totaal;Overijssel (PV);1968;1037
444;Rijksmonumenten totaal;Overijssel (PV);1969;1045
445;Rijksmonumenten totaal;Overijssel (PV);1970;1051
446;Rijksmonumenten totaal;Overijssel (PV);1971;1309
447;Rijksmonumenten totaal;Overijssel (PV);1972;1856
448;Rijksmonumenten totaal;Overijssel (PV);1973;2256
449;Rijksmonumenten totaal;Overijssel (PV);1974;2260
450;Rijksmonumenten totaal;Overijssel (PV);1975;2327
451;Rijksmonumenten totaal;Overijssel (PV);1976;2360
452;Rijksmonumenten totaal;Overijssel (PV);1977;2406
453;Rijksmonumenten totaal;Overijssel (PV);1978;2483
454;Rijksmonumenten totaal;Overijssel (PV);1979;2500
455;Rijksmonumenten totaal;Overijssel (PV);1980;2540
