ID;Geslacht;CaribischNederland;Perioden;TotaalPo_1;k_4JaarOfJonger_2;k_5Jaar_3;k_6Jaar_4;k_7Jaar_5;k_8Jaar_6;k_9Jaar_7;k_10Jaar_8;k_11Jaar_9;k_12JaarOfOuder_10;TotaalVo_11;PraktijkOnderwijs_12;Leerjaren1En2_13;VmboLeerjaren34_14;HavoVwoLeerjaren36_15
25;Totaal mannen en vrouwen;Sint Eustatius;2014/'15;337;44;44;36;43;36;46;43;37;8;236.0;26.0;112.0;72.0;26.0
26;Totaal mannen en vrouwen;Sint Eustatius;2015/'16;331;29;52;46;33;44;37;44;43;3;233.0;26.0;121.0;63.0;23.0
27;Totaal mannen en vrouwen;Sint Eustatius;2016/'17;325;32;34;51;42;34;42;36;42;12;244.0;31.0;87.0;102.0;24.0
28;Totaal mannen en vrouwen;Sint Eustatius;2017/'18;364;46;32;44;58;46;41;50;39;8;256.0;28.0;94.0;101.0;33.0
29;Totaal mannen en vrouwen;Sint Eustatius;2018/'19;338;41;42;34;37;55;42;34;45;8;216.0;27.0;78.0;66.0;45.0
30;Totaal mannen en vrouwen;Saba;2009/'10;160;24;19;22;21;15;21;15;17;6;105.0;;;;
31;Totaal mannen en vrouwen;Saba;2010/'11;155;22;25;15;23;17;16;20;15;2;99.0;;;;
32;Totaal mannen en vrouwen;Saba;2011/'12;146;16;23;20;16;17;17;16;17;4;94.0;;;;
33;Totaal mannen en vrouwen;Saba;2012/'13;154;20;16;22;22;17;15;17;15;10;89.0;;;;
34;Totaal mannen en vrouwen;Saba;2013/'14;150;20;20;18;21;23;17;13;14;4;75.0;;;;
35;Totaal mannen en vrouwen;Saba;2014/'15;158;16;19;20;18;24;25;17;14;5;71.0;11.0;39.0;0.0;21.0
36;Totaal mannen en vrouwen;Saba;2015/'16;165;12;17;21;21;19;25;25;17;8;77.0;7.0;29.0;9.0;32.0
37;Totaal mannen en vrouwen;Saba;2016/'17;166;22;13;16;21;23;15;24;23;9;92.0;14.0;30.0;9.0;39.0
38;Totaal mannen en vrouwen;Saba;2017/'18;167;12;21;17;17;24;22;18;24;12;101.0;9.0;39.0;3.0;50.0
39;Totaal mannen en vrouwen;Saba;2018/'19;149;20;14;20;15;14;23;23;14;6;100.0;7.0;49.0;17.0;27.0
40;Mannen;Caribisch Nederland;2009/'10;1145;119;132;132;157;138;130;112;111;114;;;;;
41;Mannen;Caribisch Nederland;2010/'11;1071;115;118;134;131;153;138;127;104;51;;;;;
42;Mannen;Caribisch Nederland;2011/'12;1106;108;122;115;142;137;144;153;128;57;;;;;
43;Mannen;Caribisch Nederland;2012/'13;1134;121;127;130;130;132;135;151;148;60;;;;;
44;Mannen;Caribisch Nederland;2013/'14;1142;136;131;122;141;132;130;140;149;61;;;;;
45;Mannen;Caribisch Nederland;2014/'15;1165;146;149;133;133;137;138;135;143;51;736.0;98.0;327.0;200.0;111.0
46;Mannen;Caribisch Nederland;2015/'16;1191;138;158;153;139;132;135;138;133;65;735.0;125.0;295.0;205.0;110.0
47;Mannen;Caribisch Nederland;2016/'17;1209;129;151;163;158;144;133;136;137;58;769.0;153.0;264.0;232.0;120.0
48;Mannen;Caribisch Nederland;2017/'18;1259;154;129;163;168;162;159;141;133;50;772.0;145.0;278.0;216.0;133.0
49;Mannen;Caribisch Nederland;2018/'19;1242;133;156;131;163;171;159;157;136;36;753.0;174.0;289.0;170.0;120.0
50;Mannen;Bonaire;2009/'10;873;89;94;104;112;109;96;85;85;99;;;;;
51;Mannen;Bonaire;2010/'11;810;82;89;95;103;111;110;93;78;49;;;;;
52;Mannen;Bonaire;2011/'12;839;88;86;88;98;107;107;117;97;51;;;;;
53;Mannen;Bonaire;2012/'13;845;89;96;93;95;92;107;111;113;49;;;;;
54;Mannen;Bonaire;2013/'14;873;110;99;92;106;96;96;110;115;49;;;;;
55;Mannen;Bonaire;2014/'15;899;115;120;100;99;103;100;103;114;45;578.0;74.0;242.0;167.0;95.0
56;Mannen;Bonaire;2015/'16;925;119;120;123;107;98;100;101;99;58;573.0;103.0;214.0;166.0;90.0
57;Mannen;Bonaire;2016/'17;944;102;129;126;131;108;103;102;99;44;592.0;120.0;205.0;176.0;91.0
58;Mannen;Bonaire;2017/'18;975;128;100;131;129;130;119;104;97;37;589.0;115.0;217.0;167.0;90.0
59;Mannen;Bonaire;2018/'19;995;110;125;103;141;135;132;120;102;27;581.0;147.0;219.0;131.0;84.0
60;Mannen;Sint Eustatius;2009/'10;191;16;31;17;32;19;26;19;19;12;;;;;
61;Mannen;Sint Eustatius;2010/'11;179;21;15;33;17;31;18;26;18;0;;;;;
62;Mannen;Sint Eustatius;2011/'12;190;12;24;17;37;20;27;26;24;3;;;;;
63;Mannen;Sint Eustatius;2012/'13;204;19;23;27;23;33;20;29;25;5;;;;;
64;Mannen;Sint Eustatius;2013/'14;184;13;19;21;25;23;27;22;25;9;;;;;
65;Mannen;Sint Eustatius;2014/'15;180;25;16;19;25;23;24;24;21;3;121.0;16.0;61.0;33.0;11.0
66;Mannen;Sint Eustatius;2015/'16;177;16;31;15;17;24;23;23;26;2;121.0;17.0;63.0;32.0;9.0
67;Mannen;Sint Eustatius;2016/'17;173;13;19;31;13;18;24;23;24;8;129.0;24.0;46.0;50.0;9.0
68;Mannen;Sint Eustatius;2017/'18;192;21;15;26;34;16;24;28;24;4;135.0;25.0;45.0;47.0;18.0
69;Mannen;Sint Eustatius;2018/'19;173;18;25;15;18;31;14;20;28;4;121.0;24.0;44.0;31.0;22.0
70;Mannen;Saba;2009/'10;81;14;7;11;13;10;8;8;7;3;;;;;
71;Mannen;Saba;2010/'11;82;12;14;6;11;11;10;8;8;2;;;;;
72;Mannen;Saba;2011/'12;77;8;12;10;7;10;10;10;7;3;;;;;
73;Mannen;Saba;2012/'13;85;13;8;10;12;7;8;11;10;6;;;;;
74;Mannen;Saba;2013/'14;85;13;13;9;10;13;7;8;9;3;;;;;
75;Mannen;Saba;2014/'15;86;6;13;14;9;11;14;8;8;3;37.0;8.0;24.0;0.0;5.0
76;Mannen;Saba;2015/'16;89;3;7;15;15;10;12;14;8;5;41.0;5.0;18.0;7.0;11.0
77;Mannen;Saba;2016/'17;92;14;3;6;14;18;6;11;14;6;48.0;9.0;13.0;6.0;20.0
78;Mannen;Saba;2017/'18;92;5;14;6;5;16;16;9;12;9;48.0;5.0;16.0;2.0;25.0
79;Mannen;Saba;2018/'19;74;5;6;13;4;5;13;17;6;5;51.0;3.0;26.0;8.0;14.0
80;Vrouwen;Caribisch Nederland;2009/'10;1070;124;120;117;113;140;130;139;114;73;;;;;
81;Vrouwen;Caribisch Nederland;2010/'11;1026;126;121;118;114;105;152;129;130;31;;;;;
82;Vrouwen;Caribisch Nederland;2011/'12;1030;102;129;120;122;115;116;149;120;57;;;;;
83;Vrouwen;Caribisch Nederland;2012/'13;1010;119;119;119;130;127;115;106;136;39;;;;;
84;Vrouwen;Caribisch Nederland;2013/'14;1023;122;128;126;125;133;120;110;117;42;;;;;
85;Vrouwen;Caribisch Nederland;2014/'15;1057;123;135;143;125;132;136;123;99;41;718.0;38.0;300.0;232.0;148.0
86;Vrouwen;Caribisch Nederland;2015/'16;1083;116;134;142;142;129;137;138;115;30;699.0;46.0;290.0;206.0;157.0
87;Vrouwen;Caribisch Nederland;2016/'17;1125;140;128;143;141;141;132;136;126;38;692.0;45.0;273.0;224.0;150.0
88;Vrouwen;Caribisch Nederland;2017/'18;1165;142;138;130;157;140;144;140;126;48;693.0;51.0;277.0;214.0;151.0
89;Vrouwen;Caribisch Nederland;2018/'19;1147;142;133;138;129;152;144;137;126;46;686.0;62.0;274.0;209.0;141.0
90;Vrouwen;Bonaire;2009/'10;805;94;87;87;79;109;96;108;79;66;;;;;
91;Vrouwen;Bonaire;2010/'11;787;104;90;87;82;83;118;96;101;26;;;;;
92;Vrouwen;Bonaire;2011/'12;801;82;107;87;90;86;91;114;92;52;;;;;
93;Vrouwen;Bonaire;2012/'13;782;98;93;95;98;95;89;83;102;29;;;;;
94;Vrouwen;Bonaire;2013/'14;806;91;105;99;102;101;89;87;95;37;;;;;
95;Vrouwen;Bonaire;2014/'15;828;94;101;120;98;106;103;95;77;34;569.0;25.0;234.0;193.0;117.0
96;Vrouwen;Bonaire;2015/'16;853;94;103;105;120;100;110;106;89;26;551.0;35.0;221.0;173.0;122.0
97;Vrouwen;Bonaire;2016/'17;899;113;103;113;105;120;105;110;99;31;533.0;33.0;215.0;169.0;116.0
98;Vrouwen;Bonaire;2017/'18;918;110;114;101;121;102;121;109;99;41;519.0;44.0;205.0;159.0;111.0
99;Vrouwen;Bonaire;2018/'19;907;104;108;112;99;119;106;117;101;41;542.0;55.0;217.0;165.0;105.0
100;Vrouwen;Sint Eustatius;2009/'10;186;20;21;19;26;26;21;24;25;4;;;;;
101;Vrouwen;Sint Eustatius;2010/'11;166;12;20;22;20;16;28;21;22;5;;;;;
102;Vrouwen;Sint Eustatius;2011/'12;160;12;11;23;23;22;18;29;18;4;;;;;
103;Vrouwen;Sint Eustatius;2012/'13;159;14;18;12;22;22;19;17;29;6;;;;;
104;Vrouwen;Sint Eustatius;2013/'14;152;24;16;18;12;22;21;18;17;4;;;;;
105;Vrouwen;Sint Eustatius;2014/'15;157;19;28;17;18;13;22;19;16;5;115.0;10.0;51.0;39.0;15.0
106;Vrouwen;Sint Eustatius;2015/'16;154;13;21;31;16;20;14;21;17;1;112.0;9.0;58.0;31.0;14.0
107;Vrouwen;Sint Eustatius;2016/'17;152;19;15;20;29;16;18;13;18;4;115.0;7.0;41.0;52.0;15.0
108;Vrouwen;Sint Eustatius;2017/'18;172;25;17;18;24;30;17;22;15;4;121.0;3.0;49.0;54.0;15.0
109;Vrouwen;Sint Eustatius;2018/'19;165;23;17;19;19;24;28;14;17;4;95.0;3.0;34.0;35.0;23.0
110;Vrouwen;Saba;2009/'10;79;10;12;11;8;5;13;7;10;3;;;;;
111;Vrouwen;Saba;2010/'11;73;10;11;9;12;6;6;12;7;0;;;;;
112;Vrouwen;Saba;2011/'12;69;8;11;10;9;7;7;6;10;1;;;;;
113;Vrouwen;Saba;2012/'13;69;7;8;12;10;10;7;6;5;4;;;;;
114;Vrouwen;Saba;2013/'14;65;7;7;9;11;10;10;5;5;1;;;;;
115;Vrouwen;Saba;2014/'15;72;10;6;6;9;13;11;9;6;2;34.0;3.0;15.0;0.0;16.0
116;Vrouwen;Saba;2015/'16;76;9;10;6;6;9;13;11;9;3;36.0;2.0;11.0;2.0;21.0
117;Vrouwen;Saba;2016/'17;74;8;10;10;7;5;9;13;9;3;44.0;5.0;17.0;3.0;19.0
118;Vrouwen;Saba;2017/'18;75;7;7;11;12;8;6;9;12;3;53.0;4.0;23.0;1.0;25.0
119;Vrouwen;Saba;2018/'19;75;15;8;7;11;9;10;6;8;1;49.0;4.0;23.0;9.0;13.0
