ID;Melkvee;GrootveeEenheid;RegioS;Perioden;BedrijvenZonderBeweiding_1;BedrijvenMetBeweiding_2;MelkveeZonderBeweiding_3;Totaal_4;MinderDan720UrenPerJaar_5;k_720Tot1440UrenPerJaar_6;k_1440Tot2160UrenPerJaar_7;k_2160Tot2880UrenPerJaar_8;k_2880OfMeerUrenPerJaar_9;UrenBijDagEnNachtWeiden_10;UrenBijBeperktWeiden_11;DagEnNachtWeiden_12;OverdagWeiden_13
25;Totaal rundvee melkveehouderij;Totaal;Fryslân (PV);2013;;;;;;;;;;;;;
26;Totaal rundvee melkveehouderij;Totaal;Fryslân (PV);2014;;;;;;;;;;;;;
27;Totaal rundvee melkveehouderij;Totaal;Fryslân (PV);2015;;;;;;;;;;;;;
28;Totaal rundvee melkveehouderij;Totaal;Fryslân (PV);2016;20.0;80.0;43.0;57.0;;;;;;;;;
29;Totaal rundvee melkveehouderij;Totaal;Fryslân (PV);2017;18.0;82.0;40.0;60.0;;;;;;;;;
30;Totaal rundvee melkveehouderij;Totaal;Fryslân (PV);2018;16.0;84.0;38.0;62.0;;;;;;;;;
31;Totaal rundvee melkveehouderij;Totaal;Fryslân (PV);2019;15.0;85.0;37.0;63.0;;;;;;;;;
32;Totaal rundvee melkveehouderij;Totaal;Fryslân (PV);2020;15.0;85.0;36.0;64.0;;;;;;;;;
33;Totaal rundvee melkveehouderij;Totaal;Drenthe (PV);2010;;;;;;;;;;;;;
34;Totaal rundvee melkveehouderij;Totaal;Drenthe (PV);2011;16.0;84.0;33.0;67.0;;;;;;;;;
35;Totaal rundvee melkveehouderij;Totaal;Drenthe (PV);2012;16.0;84.0;34.0;66.0;;;;;;;;;
36;Totaal rundvee melkveehouderij;Totaal;Drenthe (PV);2013;;;;;;;;;;;;;
37;Totaal rundvee melkveehouderij;Totaal;Drenthe (PV);2014;;;;;;;;;;;;;
38;Totaal rundvee melkveehouderij;Totaal;Drenthe (PV);2015;;;;;;;;;;;;;
39;Totaal rundvee melkveehouderij;Totaal;Drenthe (PV);2016;20.0;80.0;40.0;60.0;;;;;;;;;
40;Totaal rundvee melkveehouderij;Totaal;Drenthe (PV);2017;20.0;80.0;39.0;61.0;;;;;;;;;
41;Totaal rundvee melkveehouderij;Totaal;Drenthe (PV);2018;18.0;82.0;37.0;63.0;;;;;;;;;
42;Totaal rundvee melkveehouderij;Totaal;Drenthe (PV);2019;18.0;82.0;37.0;63.0;;;;;;;;;
43;Totaal rundvee melkveehouderij;Totaal;Drenthe (PV);2020;17.0;83.0;37.0;63.0;;;;;;;;;
44;Totaal rundvee melkveehouderij;Totaal;Overijssel (PV);2010;;;;;;;;;;;;;
45;Totaal rundvee melkveehouderij;Totaal;Overijssel (PV);2011;13.0;88.0;29.0;71.0;;;;;;;;;
46;Totaal rundvee melkveehouderij;Totaal;Overijssel (PV);2012;13.0;87.0;30.0;70.0;;;;;;;;;
47;Totaal rundvee melkveehouderij;Totaal;Overijssel (PV);2013;;;;;;;;;;;;;
48;Totaal rundvee melkveehouderij;Totaal;Overijssel (PV);2014;;;;;;;;;;;;;
49;Totaal rundvee melkveehouderij;Totaal;Overijssel (PV);2015;;;;;;;;;;;;;
50;Totaal rundvee melkveehouderij;Totaal;Overijssel (PV);2016;16.0;84.0;35.0;65.0;;;;;;;;;
51;Totaal rundvee melkveehouderij;Totaal;Overijssel (PV);2017;15.0;85.0;32.0;68.0;;;;;;;;;
52;Totaal rundvee melkveehouderij;Totaal;Overijssel (PV);2018;14.0;86.0;32.0;68.0;;;;;;;;;
53;Totaal rundvee melkveehouderij;Totaal;Overijssel (PV);2019;13.0;87.0;29.0;71.0;;;;;;;;;
54;Totaal rundvee melkveehouderij;Totaal;Overijssel (PV);2020;13.0;87.0;30.0;70.0;;;;;;;;;
55;Totaal rundvee melkveehouderij;Totaal;Flevoland (PV);2010;;;;;;;;;;;;;
56;Totaal rundvee melkveehouderij;Totaal;Flevoland (PV);2011;56.0;44.0;74.0;26.0;;;;;;;;;
57;Totaal rundvee melkveehouderij;Totaal;Flevoland (PV);2012;58.0;42.0;75.0;25.0;;;;;;;;;
58;Totaal rundvee melkveehouderij;Totaal;Flevoland (PV);2013;;;;;;;;;;;;;
59;Totaal rundvee melkveehouderij;Totaal;Flevoland (PV);2014;;;;;;;;;;;;;
60;Totaal rundvee melkveehouderij;Totaal;Flevoland (PV);2015;;;;;;;;;;;;;
61;Totaal rundvee melkveehouderij;Totaal;Flevoland (PV);2016;55.0;45.0;75.0;25.0;;;;;;;;;
62;Totaal rundvee melkveehouderij;Totaal;Flevoland (PV);2017;53.0;47.0;71.0;29.0;;;;;;;;;
63;Totaal rundvee melkveehouderij;Totaal;Flevoland (PV);2018;52.0;48.0;70.0;30.0;;;;;;;;;
64;Totaal rundvee melkveehouderij;Totaal;Flevoland (PV);2019;50.0;50.0;67.0;33.0;;;;;;;;;
65;Totaal rundvee melkveehouderij;Totaal;Flevoland (PV);2020;52.0;48.0;67.0;33.0;;;;;;;;;
66;Totaal rundvee melkveehouderij;Totaal;Gelderland (PV);2010;;;;;;;;;;;;;
67;Totaal rundvee melkveehouderij;Totaal;Gelderland (PV);2011;13.0;87.0;32.0;68.0;;;;;;;;;
68;Totaal rundvee melkveehouderij;Totaal;Gelderland (PV);2012;14.0;86.0;33.0;67.0;;;;;;;;;
69;Totaal rundvee melkveehouderij;Totaal;Gelderland (PV);2013;;;;;;;;;;;;;
70;Totaal rundvee melkveehouderij;Totaal;Gelderland (PV);2014;;;;;;;;;;;;;
71;Totaal rundvee melkveehouderij;Totaal;Gelderland (PV);2015;;;;;;;;;;;;;
72;Totaal rundvee melkveehouderij;Totaal;Gelderland (PV);2016;17.0;83.0;39.0;61.0;;;;;;;;;
73;Totaal rundvee melkveehouderij;Totaal;Gelderland (PV);2017;17.0;83.0;38.0;62.0;;;;;;;;;
74;Totaal rundvee melkveehouderij;Totaal;Gelderland (PV);2018;16.0;84.0;37.0;63.0;;;;;;;;;
75;Totaal rundvee melkveehouderij;Totaal;Gelderland (PV);2019;15.0;85.0;36.0;64.0;;;;;;;;;
76;Totaal rundvee melkveehouderij;Totaal;Gelderland (PV);2020;15.0;85.0;36.0;64.0;;;;;;;;;
77;Totaal rundvee melkveehouderij;Totaal;Utrecht (PV);2010;;;;;;;;;;;;;
78;Totaal rundvee melkveehouderij;Totaal;Utrecht (PV);2011;6.0;94.0;19.0;81.0;;;;;;;;;
79;Totaal rundvee melkveehouderij;Totaal;Utrecht (PV);2012;7.0;93.0;20.0;80.0;;;;;;;;;
80;Totaal rundvee melkveehouderij;Totaal;Utrecht (PV);2013;;;;;;;;;;;;;
81;Totaal rundvee melkveehouderij;Totaal;Utrecht (PV);2014;;;;;;;;;;;;;
82;Totaal rundvee melkveehouderij;Totaal;Utrecht (PV);2015;;;;;;;;;;;;;
83;Totaal rundvee melkveehouderij;Totaal;Utrecht (PV);2016;8.0;92.0;23.0;77.0;;;;;;;;;
84;Totaal rundvee melkveehouderij;Totaal;Utrecht (PV);2017;9.0;91.0;22.0;78.0;;;;;;;;;
85;Totaal rundvee melkveehouderij;Totaal;Utrecht (PV);2018;7.0;93.0;20.0;80.0;;;;;;;;;
86;Totaal rundvee melkveehouderij;Totaal;Utrecht (PV);2019;7.0;93.0;19.0;81.0;;;;;;;;;
87;Totaal rundvee melkveehouderij;Totaal;Utrecht (PV);2020;7.0;93.0;19.0;81.0;;;;;;;;;
88;Totaal rundvee melkveehouderij;Totaal;Noord-Holland (PV);2010;;;;;;;;;;;;;
89;Totaal rundvee melkveehouderij;Totaal;Noord-Holland (PV);2011;4.0;96.0;14.0;86.0;;;;;;;;;
90;Totaal rundvee melkveehouderij;Totaal;Noord-Holland (PV);2012;4.0;96.0;14.0;86.0;;;;;;;;;
91;Totaal rundvee melkveehouderij;Totaal;Noord-Holland (PV);2013;;;;;;;;;;;;;
92;Totaal rundvee melkveehouderij;Totaal;Noord-Holland (PV);2014;;;;;;;;;;;;;
93;Totaal rundvee melkveehouderij;Totaal;Noord-Holland (PV);2015;;;;;;;;;;;;;
94;Totaal rundvee melkveehouderij;Totaal;Noord-Holland (PV);2016;5.0;95.0;17.0;83.0;;;;;;;;;
95;Totaal rundvee melkveehouderij;Totaal;Noord-Holland (PV);2017;5.0;95.0;15.0;85.0;;;;;;;;;
96;Totaal rundvee melkveehouderij;Totaal;Noord-Holland (PV);2018;4.0;96.0;15.0;85.0;;;;;;;;;
97;Totaal rundvee melkveehouderij;Totaal;Noord-Holland (PV);2019;4.0;96.0;14.0;86.0;;;;;;;;;
98;Totaal rundvee melkveehouderij;Totaal;Noord-Holland (PV);2020;3.0;97.0;14.0;86.0;;;;;;;;;
99;Totaal rundvee melkveehouderij;Totaal;Zuid-Holland (PV);2010;;;;;;;;;;;;;
100;Totaal rundvee melkveehouderij;Totaal;Zuid-Holland (PV);2011;4.0;96.0;14.0;86.0;;;;;;;;;
101;Totaal rundvee melkveehouderij;Totaal;Zuid-Holland (PV);2012;4.0;96.0;15.0;85.0;;;;;;;;;
102;Totaal rundvee melkveehouderij;Totaal;Zuid-Holland (PV);2013;;;;;;;;;;;;;
103;Totaal rundvee melkveehouderij;Totaal;Zuid-Holland (PV);2014;;;;;;;;;;;;;
104;Totaal rundvee melkveehouderij;Totaal;Zuid-Holland (PV);2015;;;;;;;;;;;;;
105;Totaal rundvee melkveehouderij;Totaal;Zuid-Holland (PV);2016;5.0;95.0;19.0;81.0;;;;;;;;;
106;Totaal rundvee melkveehouderij;Totaal;Zuid-Holland (PV);2017;5.0;95.0;16.0;84.0;;;;;;;;;
107;Totaal rundvee melkveehouderij;Totaal;Zuid-Holland (PV);2018;4.0;96.0;16.0;84.0;;;;;;;;;
108;Totaal rundvee melkveehouderij;Totaal;Zuid-Holland (PV);2019;4.0;96.0;16.0;84.0;;;;;;;;;
109;Totaal rundvee melkveehouderij;Totaal;Zuid-Holland (PV);2020;4.0;96.0;16.0;84.0;;;;;;;;;
110;Totaal rundvee melkveehouderij;Totaal;Zeeland (PV);2010;;;;;;;;;;;;;
111;Totaal rundvee melkveehouderij;Totaal;Zeeland (PV);2011;19.0;81.0;42.0;58.0;;;;;;;;;
112;Totaal rundvee melkveehouderij;Totaal;Zeeland (PV);2012;20.0;80.0;41.0;59.0;;;;;;;;;
113;Totaal rundvee melkveehouderij;Totaal;Zeeland (PV);2013;;;;;;;;;;;;;
114;Totaal rundvee melkveehouderij;Totaal;Zeeland (PV);2014;;;;;;;;;;;;;
115;Totaal rundvee melkveehouderij;Totaal;Zeeland (PV);2015;;;;;;;;;;;;;
116;Totaal rundvee melkveehouderij;Totaal;Zeeland (PV);2016;19.0;81.0;50.0;50.0;;;;;;;;;
117;Totaal rundvee melkveehouderij;Totaal;Zeeland (PV);2017;19.0;81.0;49.0;51.0;;;;;;;;;
118;Totaal rundvee melkveehouderij;Totaal;Zeeland (PV);2018;19.0;81.0;45.0;55.0;;;;;;;;;
119;Totaal rundvee melkveehouderij;Totaal;Zeeland (PV);2019;18.0;82.0;45.0;55.0;;;;;;;;;
120;Totaal rundvee melkveehouderij;Totaal;Zeeland (PV);2020;20.0;80.0;45.0;55.0;;;;;;;;;
121;Totaal rundvee melkveehouderij;Totaal;Noord-Brabant (PV);2010;;;;;;;;;;;;;
122;Totaal rundvee melkveehouderij;Totaal;Noord-Brabant (PV);2011;27.0;73.0;51.0;49.0;;;;;;;;;
123;Totaal rundvee melkveehouderij;Totaal;Noord-Brabant (PV);2012;29.0;71.0;53.0;47.0;;;;;;;;;
124;Totaal rundvee melkveehouderij;Totaal;Noord-Brabant (PV);2013;;;;;;;;;;;;;
125;Totaal rundvee melkveehouderij;Totaal;Noord-Brabant (PV);2014;;;;;;;;;;;;;
126;Totaal rundvee melkveehouderij;Totaal;Noord-Brabant (PV);2015;;;;;;;;;;;;;
127;Totaal rundvee melkveehouderij;Totaal;Noord-Brabant (PV);2016;34.0;66.0;60.0;40.0;;;;;;;;;
128;Totaal rundvee melkveehouderij;Totaal;Noord-Brabant (PV);2017;33.0;67.0;58.0;42.0;;;;;;;;;
129;Totaal rundvee melkveehouderij;Totaal;Noord-Brabant (PV);2018;31.0;69.0;55.0;45.0;;;;;;;;;
130;Totaal rundvee melkveehouderij;Totaal;Noord-Brabant (PV);2019;30.0;70.0;53.0;47.0;;;;;;;;;
131;Totaal rundvee melkveehouderij;Totaal;Noord-Brabant (PV);2020;29.0;71.0;53.0;47.0;;;;;;;;;
132;Totaal rundvee melkveehouderij;Totaal;Limburg (PV);2010;;;;;;;;;;;;;
133;Totaal rundvee melkveehouderij;Totaal;Limburg (PV);2011;15.0;85.0;39.0;61.0;;;;;;;;;
134;Totaal rundvee melkveehouderij;Totaal;Limburg (PV);2012;15.0;85.0;41.0;59.0;;;;;;;;;
135;Totaal rundvee melkveehouderij;Totaal;Limburg (PV);2013;;;;;;;;;;;;;
136;Totaal rundvee melkveehouderij;Totaal;Limburg (PV);2014;;;;;;;;;;;;;
137;Totaal rundvee melkveehouderij;Totaal;Limburg (PV);2015;;;;;;;;;;;;;
138;Totaal rundvee melkveehouderij;Totaal;Limburg (PV);2016;21.0;79.0;50.0;50.0;;;;;;;;;
139;Totaal rundvee melkveehouderij;Totaal;Limburg (PV);2017;21.0;79.0;51.0;49.0;;;;;;;;;
140;Totaal rundvee melkveehouderij;Totaal;Limburg (PV);2018;19.0;81.0;50.0;50.0;;;;;;;;;
141;Totaal rundvee melkveehouderij;Totaal;Limburg (PV);2019;19.0;81.0;50.0;50.0;;;;;;;;;
142;Totaal rundvee melkveehouderij;Totaal;Limburg (PV);2020;19.0;81.0;50.0;50.0;;;;;;;;;
143;Totaal rundvee melkveehouderij;0 tot 50 GVE;Nederland;2010;;;;;;;;;;;;;
144;Totaal rundvee melkveehouderij;0 tot 50 GVE;Nederland;2011;12.0;88.0;19.0;81.0;;;;;;;;;
145;Totaal rundvee melkveehouderij;0 tot 50 GVE;Nederland;2012;12.0;88.0;20.0;80.0;;;;;;;;;
146;Totaal rundvee melkveehouderij;0 tot 50 GVE;Nederland;2013;;;;;;;;;;;;;
147;Totaal rundvee melkveehouderij;0 tot 50 GVE;Nederland;2014;;;;;;;;;;;;;
148;Totaal rundvee melkveehouderij;0 tot 50 GVE;Nederland;2015;;;;;;;;;;;;;
149;Totaal rundvee melkveehouderij;0 tot 50 GVE;Nederland;2016;15.0;85.0;25.0;75.0;;;;;;;;;
150;Totaal rundvee melkveehouderij;0 tot 50 GVE;Nederland;2017;18.0;82.0;27.0;73.0;;;;;;;;;
151;Totaal rundvee melkveehouderij;0 tot 50 GVE;Nederland;2018;16.0;84.0;24.0;76.0;;;;;;;;;
152;Totaal rundvee melkveehouderij;0 tot 50 GVE;Nederland;2019;16.0;84.0;25.0;75.0;;;;;;;;;
153;Totaal rundvee melkveehouderij;0 tot 50 GVE;Nederland;2020;17.0;83.0;26.0;74.0;;;;;;;;;
154;Totaal rundvee melkveehouderij;0 tot 50 GVE;Groningen (PV);2010;;;;;;;;;;;;;
155;Totaal rundvee melkveehouderij;0 tot 50 GVE;Groningen (PV);2011;11.0;89.0;15.0;85.0;;;;;;;;;
156;Totaal rundvee melkveehouderij;0 tot 50 GVE;Groningen (PV);2012;11.0;89.0;19.0;81.0;;;;;;;;;
157;Totaal rundvee melkveehouderij;0 tot 50 GVE;Groningen (PV);2013;;;;;;;;;;;;;
158;Totaal rundvee melkveehouderij;0 tot 50 GVE;Groningen (PV);2014;;;;;;;;;;;;;
159;Totaal rundvee melkveehouderij;0 tot 50 GVE;Groningen (PV);2015;;;;;;;;;;;;;
160;Totaal rundvee melkveehouderij;0 tot 50 GVE;Groningen (PV);2016;10.0;90.0;19.0;81.0;;;;;;;;;
161;Totaal rundvee melkveehouderij;0 tot 50 GVE;Groningen (PV);2017;14.0;86.0;21.0;79.0;;;;;;;;;
162;Totaal rundvee melkveehouderij;0 tot 50 GVE;Groningen (PV);2018;15.0;85.0;22.0;78.0;;;;;;;;;
163;Totaal rundvee melkveehouderij;0 tot 50 GVE;Groningen (PV);2019;13.0;87.0;18.0;82.0;;;;;;;;;
164;Totaal rundvee melkveehouderij;0 tot 50 GVE;Groningen (PV);2020;15.0;85.0;19.0;81.0;;;;;;;;;
165;Totaal rundvee melkveehouderij;0 tot 50 GVE;Fryslân (PV);2010;;;;;;;;;;;;;
166;Totaal rundvee melkveehouderij;0 tot 50 GVE;Fryslân (PV);2011;13.0;87.0;21.0;79.0;;;;;;;;;
167;Totaal rundvee melkveehouderij;0 tot 50 GVE;Fryslân (PV);2012;15.0;85.0;23.0;77.0;;;;;;;;;
168;Totaal rundvee melkveehouderij;0 tot 50 GVE;Fryslân (PV);2013;;;;;;;;;;;;;
169;Totaal rundvee melkveehouderij;0 tot 50 GVE;Fryslân (PV);2014;;;;;;;;;;;;;
170;Totaal rundvee melkveehouderij;0 tot 50 GVE;Fryslân (PV);2015;;;;;;;;;;;;;
171;Totaal rundvee melkveehouderij;0 tot 50 GVE;Fryslân (PV);2016;20.0;80.0;33.0;67.0;;;;;;;;;
172;Totaal rundvee melkveehouderij;0 tot 50 GVE;Fryslân (PV);2017;22.0;78.0;35.0;65.0;;;;;;;;;
173;Totaal rundvee melkveehouderij;0 tot 50 GVE;Fryslân (PV);2018;20.0;80.0;30.0;70.0;;;;;;;;;
174;Totaal rundvee melkveehouderij;0 tot 50 GVE;Fryslân (PV);2019;21.0;79.0;34.0;66.0;;;;;;;;;
175;Totaal rundvee melkveehouderij;0 tot 50 GVE;Fryslân (PV);2020;22.0;78.0;31.0;69.0;;;;;;;;;
176;Totaal rundvee melkveehouderij;0 tot 50 GVE;Drenthe (PV);2010;;;;;;;;;;;;;
177;Totaal rundvee melkveehouderij;0 tot 50 GVE;Drenthe (PV);2011;14.0;86.0;20.0;80.0;;;;;;;;;
178;Totaal rundvee melkveehouderij;0 tot 50 GVE;Drenthe (PV);2012;13.0;87.0;15.0;85.0;;;;;;;;;
179;Totaal rundvee melkveehouderij;0 tot 50 GVE;Drenthe (PV);2013;;;;;;;;;;;;;
180;Totaal rundvee melkveehouderij;0 tot 50 GVE;Drenthe (PV);2014;;;;;;;;;;;;;
181;Totaal rundvee melkveehouderij;0 tot 50 GVE;Drenthe (PV);2015;;;;;;;;;;;;;
182;Totaal rundvee melkveehouderij;0 tot 50 GVE;Drenthe (PV);2016;17.0;83.0;25.0;75.0;;;;;;;;;
183;Totaal rundvee melkveehouderij;0 tot 50 GVE;Drenthe (PV);2017;20.0;80.0;31.0;69.0;;;;;;;;;
184;Totaal rundvee melkveehouderij;0 tot 50 GVE;Drenthe (PV);2018;21.0;79.0;27.0;73.0;;;;;;;;;
185;Totaal rundvee melkveehouderij;0 tot 50 GVE;Drenthe (PV);2019;18.0;82.0;25.0;75.0;;;;;;;;;
186;Totaal rundvee melkveehouderij;0 tot 50 GVE;Drenthe (PV);2020;15.0;85.0;21.0;79.0;;;;;;;;;
187;Totaal rundvee melkveehouderij;0 tot 50 GVE;Overijssel (PV);2010;;;;;;;;;;;;;
188;Totaal rundvee melkveehouderij;0 tot 50 GVE;Overijssel (PV);2011;11.0;89.0;18.0;82.0;;;;;;;;;
189;Totaal rundvee melkveehouderij;0 tot 50 GVE;Overijssel (PV);2012;12.0;88.0;19.0;81.0;;;;;;;;;
190;Totaal rundvee melkveehouderij;0 tot 50 GVE;Overijssel (PV);2013;;;;;;;;;;;;;
191;Totaal rundvee melkveehouderij;0 tot 50 GVE;Overijssel (PV);2014;;;;;;;;;;;;;
192;Totaal rundvee melkveehouderij;0 tot 50 GVE;Overijssel (PV);2015;;;;;;;;;;;;;
193;Totaal rundvee melkveehouderij;0 tot 50 GVE;Overijssel (PV);2016;15.0;85.0;21.0;79.0;;;;;;;;;
194;Totaal rundvee melkveehouderij;0 tot 50 GVE;Overijssel (PV);2017;17.0;83.0;23.0;77.0;;;;;;;;;
195;Totaal rundvee melkveehouderij;0 tot 50 GVE;Overijssel (PV);2018;14.0;86.0;21.0;79.0;;;;;;;;;
196;Totaal rundvee melkveehouderij;0 tot 50 GVE;Overijssel (PV);2019;14.0;86.0;21.0;79.0;;;;;;;;;
197;Totaal rundvee melkveehouderij;0 tot 50 GVE;Overijssel (PV);2020;15.0;85.0;23.0;77.0;;;;;;;;;
198;Totaal rundvee melkveehouderij;0 tot 50 GVE;Flevoland (PV);2010;;;;;;;;;;;;;
199;Totaal rundvee melkveehouderij;0 tot 50 GVE;Flevoland (PV);2011;44.0;56.0;54.0;46.0;;;;;;;;;
200;Totaal rundvee melkveehouderij;0 tot 50 GVE;Flevoland (PV);2012;48.0;52.0;54.0;46.0;;;;;;;;;
201;Totaal rundvee melkveehouderij;0 tot 50 GVE;Flevoland (PV);2013;;;;;;;;;;;;;
202;Totaal rundvee melkveehouderij;0 tot 50 GVE;Flevoland (PV);2014;;;;;;;;;;;;;
203;Totaal rundvee melkveehouderij;0 tot 50 GVE;Flevoland (PV);2015;;;;;;;;;;;;;
204;Totaal rundvee melkveehouderij;0 tot 50 GVE;Flevoland (PV);2016;47.0;53.0;63.0;37.0;;;;;;;;;
205;Totaal rundvee melkveehouderij;0 tot 50 GVE;Flevoland (PV);2017;64.0;36.0;66.0;34.0;;;;;;;;;
206;Totaal rundvee melkveehouderij;0 tot 50 GVE;Flevoland (PV);2018;65.0;35.0;71.0;29.0;;;;;;;;;
207;Totaal rundvee melkveehouderij;0 tot 50 GVE;Flevoland (PV);2019;71.0;29.0;80.0;20.0;;;;;;;;;
208;Totaal rundvee melkveehouderij;0 tot 50 GVE;Flevoland (PV);2020;75.0;25.0;85.0;15.0;;;;;;;;;
209;Totaal rundvee melkveehouderij;0 tot 50 GVE;Gelderland (PV);2010;;;;;;;;;;;;;
210;Totaal rundvee melkveehouderij;0 tot 50 GVE;Gelderland (PV);2011;11.0;89.0;18.0;82.0;;;;;;;;;
211;Totaal rundvee melkveehouderij;0 tot 50 GVE;Gelderland (PV);2012;11.0;89.0;19.0;81.0;;;;;;;;;
212;Totaal rundvee melkveehouderij;0 tot 50 GVE;Gelderland (PV);2013;;;;;;;;;;;;;
213;Totaal rundvee melkveehouderij;0 tot 50 GVE;Gelderland (PV);2014;;;;;;;;;;;;;
214;Totaal rundvee melkveehouderij;0 tot 50 GVE;Gelderland (PV);2015;;;;;;;;;;;;;
215;Totaal rundvee melkveehouderij;0 tot 50 GVE;Gelderland (PV);2016;12.0;88.0;22.0;78.0;;;;;;;;;
216;Totaal rundvee melkveehouderij;0 tot 50 GVE;Gelderland (PV);2017;15.0;85.0;24.0;76.0;;;;;;;;;
217;Totaal rundvee melkveehouderij;0 tot 50 GVE;Gelderland (PV);2018;14.0;86.0;24.0;76.0;;;;;;;;;
218;Totaal rundvee melkveehouderij;0 tot 50 GVE;Gelderland (PV);2019;14.0;86.0;26.0;74.0;;;;;;;;;
219;Totaal rundvee melkveehouderij;0 tot 50 GVE;Gelderland (PV);2020;15.0;85.0;26.0;74.0;;;;;;;;;
220;Totaal rundvee melkveehouderij;0 tot 50 GVE;Utrecht (PV);2010;;;;;;;;;;;;;
221;Totaal rundvee melkveehouderij;0 tot 50 GVE;Utrecht (PV);2011;5.0;95.0;9.0;91.0;;;;;;;;;
222;Totaal rundvee melkveehouderij;0 tot 50 GVE;Utrecht (PV);2012;6.0;94.0;9.0;91.0;;;;;;;;;
223;Totaal rundvee melkveehouderij;0 tot 50 GVE;Utrecht (PV);2013;;;;;;;;;;;;;
224;Totaal rundvee melkveehouderij;0 tot 50 GVE;Utrecht (PV);2014;;;;;;;;;;;;;
225;Totaal rundvee melkveehouderij;0 tot 50 GVE;Utrecht (PV);2015;;;;;;;;;;;;;
226;Totaal rundvee melkveehouderij;0 tot 50 GVE;Utrecht (PV);2016;8.0;92.0;15.0;85.0;;;;;;;;;
227;Totaal rundvee melkveehouderij;0 tot 50 GVE;Utrecht (PV);2017;10.0;90.0;16.0;84.0;;;;;;;;;
228;Totaal rundvee melkveehouderij;0 tot 50 GVE;Utrecht (PV);2018;7.0;93.0;13.0;87.0;;;;;;;;;
229;Totaal rundvee melkveehouderij;0 tot 50 GVE;Utrecht (PV);2019;8.0;92.0;15.0;85.0;;;;;;;;;
230;Totaal rundvee melkveehouderij;0 tot 50 GVE;Utrecht (PV);2020;8.0;92.0;16.0;84.0;;;;;;;;;
231;Totaal rundvee melkveehouderij;0 tot 50 GVE;Noord-Holland (PV);2010;;;;;;;;;;;;;
232;Totaal rundvee melkveehouderij;0 tot 50 GVE;Noord-Holland (PV);2011;4.0;96.0;9.0;91.0;;;;;;;;;
