ID;ProvincieOpdrachtgever;Periode;TotaleBouwsom_1;TotaalNieuwbouw_2;Woningen_3;Bedrijfsgebouwen_4;AgrarischeGebouwen_5;IndustrieEnBouwnijverheid_6;HandelEnHoreca_7;VervoerEnCommunicatie_8;ZakelijkeDienstverlening_9;OpenbaarBestuur_10;Onderwijs_11;GezondheidsEnWelzijnszorg_12;OverigeDienstverlening_13;BouwsomOverig_14
82;Totaal Nederland;1999 December;1539;1295;785;511;51;63;80;39;177;15;17;42;27;244
83;Totaal Nederland;1999 4e kwartaal;4408;3605;2102;1504;132;169;260;150;510;39;59;101;84;803
84;Totaal Nederland;1999;16037;13067;7351;5715;548;707;874;566;1890;261;177;367;325;2970
85;Totaal Nederland;2000 Januari;1147;946;484;461;40;73;48;23;210;2;3;52;10;201
86;Totaal Nederland;2000 Februari;1511;1231;647;582;39;65;85;29;272;2;30;27;33;280
87;Totaal Nederland;2000 Maart;1450;1176;720;456;42;63;82;31;113;37;12;51;25;274
88;Totaal Nederland;2000 1e kwartaal;4108;3353;1851;1502;121;201;215;84;596;41;45;130;69;755
89;Totaal Nederland;2000 April;1257;1061;626;437;51;81;70;34;143;3;12;16;27;196
90;Totaal Nederland;2000 Mei;1543;1221;698;522;35;76;107;70;158;6;13;32;25;322
91;Totaal Nederland;2000 Juni;1435;1154;575;579;43;84;77;18;270;5;17;42;23;281
92;Totaal Nederland;2000 2e kwartaal;4235;3436;1899;1538;128;241;254;122;571;15;42;90;75;799
93;Totaal Nederland;2000 Juli;1206;905;516;389;47;48;61;18;85;60;20;36;14;301
94;Totaal Nederland;2000 Augustus;1458;1144;553;591;33;61;124;35;235;10;33;36;24;314
95;Totaal Nederland;2000 September;1256;968;556;413;39;49;79;49;106;10;43;28;10;288
96;Totaal Nederland;2000 3e kwartaal;3920;3016;1625;1392;119;158;263;102;426;80;96;100;48;904
97;Totaal Nederland;2000 Januari-september;12265;9807;5377;4432;369;600;732;308;1593;136;182;320;192;2458
98;Totaal Nederland;2000 Oktober;1383;1106;587;520;41;81;66;39;205;10;19;17;42;277
99;Totaal Nederland;2000 Januari-oktober;13649;10915;5964;4952;410;681;799;347;1798;146;201;337;233;2734
100;Totaal Nederland;2000 Januari-november;15025;12047;6502;5545;451;733;892;398;2000;148;274;372;277;2978
101;Totaal Nederland;2000 November;1377;1133;539;594;41;52;93;51;202;3;74;35;43;244
102;Totaal Nederland;2000 December;1354;1118;668;451;34;87;63;29;151;24;20;16;27;236
103;Totaal Nederland;2000 4e kwartaal;4114;3358;1793;1563;116;220;222;119;557;36;113;68;112;756
104;Totaal Nederland;2000;16379;13165;7170;5995;485;820;955;427;2150;172;295;388;303;3214
105;Totaal Nederland;2001 Januari;1427;1123;543;578;37;76;63;53;165;14;16;56;98;304
106;Totaal Nederland;2001 Februari;1369;1047;508;539;50;90;74;73;161;22;33;22;14;322
107;Totaal Nederland;2001 Maart;1391;1074;575;500;49;83;74;27;155;14;28;47;23;317
108;Totaal Nederland;2001 1e kwartaal;4187;3244;1626;1617;136;249;212;153;481;50;77;124;135;943
109;Totaal Nederland;2001 April;1065;772;344;429;42;79;36;41;151;6;15;31;28;293
110;Totaal Nederland;2001 Mei;1554;1242;547;693;51;77;83;194;108;32;18;102;28;312
111;Totaal Nederland;2001 Juni;1474;1158;552;605;35;62;149;33;204;25;12;55;30;316
112;Totaal Nederland;2001 2e kwartaal;4093;3172;1443;1729;128;218;268;269;463;63;46;187;87;921
113;Totaal Nederland;2001 Juli;1588;1244;607;639;46;61;105;32;316;11;24;28;16;344
114;Totaal Nederland;2001 Augustus;1182;901;472;428;31;50;51;92;134;16;12;17;25;281
115;Totaal Nederland;2001 September;1465;1183;693;490;37;81;61;23;195;22;14;45;12;282
116;Totaal Nederland;2001 3e kwartaal;4235;3328;1771;1557;115;192;217;147;645;48;50;90;53;907
117;Totaal Nederland;2001 Oktober;1656;1311;754;557;43;80;92;38;204;29;24;20;27;345
118;Totaal Nederland;2001 November;1233;973;529;444;32;66;110;25;105;38;33;12;23;260
119;Totaal Nederland;2001 December;1133;926;517;410;31;61;54;12;121;10;16;73;32;207
120;Totaal Nederland;2001 4e kwartaal;4021;3210;1801;1409;106;207;255;75;430;78;72;105;81;811
121;Totaal Nederland;2001 Januari-februari;2797;2170;1052;1118;87;166;138;125;326;36;49;78;113;627
122;Totaal Nederland;2001 Januari-maart;4187;3244;1626;1617;136;249;212;153;481;50;77;124;135;943
123;Totaal Nederland;2001 Januari-april;5253;4017;1970;2046;178;328;248;194;632;56;92;155;163;1236
124;Totaal Nederland;2001 Januari-mei;6807;5259;2518;2741;229;405;331;389;740;87;111;257;192;1548
125;Totaal Nederland;2001 Januari-juni;8281;6417;3070;3347;264;468;481;422;944;112;123;311;222;1864
126;Totaal Nederland;2001 Januari-juli;9869;7660;3676;3984;310;528;585;454;1261;123;147;339;237;2209
127;Totaal Nederland;2001 Januari-augustus;11051;8562;4148;4414;341;579;637;546;1394;139;159;356;263;2489
128;Totaal Nederland;2001 Januari-september;12516;9745;4841;4905;379;660;698;569;1589;160;173;402;275;2771
129;Totaal Nederland;2001 Januari-oktober;14171;11055;5595;5460;422;740;789;607;1793;189;196;422;302;3116
130;Totaal Nederland;2001 Januari-november;15404;12029;6124;5904;455;806;899;632;1897;228;229;433;325;3375
131;Totaal Nederland;2001;16537;12955;6641;6313;485;867;953;644;2019;238;245;506;356;3582
132;Overheid en woningbouwcorporaties;1995 Januari;208;175;125;52;0;1;0;13;0;14;9;5;10;33
133;Overheid en woningbouwcorporaties;1995 Februari;154;123;113;10;0;0;0;0;0;5;3;1;1;31
134;Overheid en woningbouwcorporaties;1995 Maart;271;214;169;47;0;2;0;0;5;17;2;10;11;57
135;Overheid en woningbouwcorporaties;1995 1e kwartaal;634;513;407;107;0;3;0;13;5;35;14;15;22;121
136;Overheid en woningbouwcorporaties;1995 April;199;164;106;56;0;0;0;3;0;15;30;1;7;35
137;Overheid en woningbouwcorporaties;1995 Mei;266;210;182;28;0;0;0;0;1;9;1;13;4;56
138;Overheid en woningbouwcorporaties;1995 juni;273;219;180;38;0;1;0;1;0;25;3;3;5;54
139;Overheid en woningbouwcorporaties;1995 2e kwartaal;738;592;468;125;0;2;0;5;1;49;34;18;16;146
140;Overheid en woningbouwcorporaties;1995 Juli;207;148;116;32;0;0;0;0;0;4;13;0;15;59
141;Overheid en woningbouwcorporaties;1995 Augustus;190;154;131;23;0;0;0;1;2;5;4;3;8;36
142;Overheid en woningbouwcorporaties;1995 September;224;179;144;32;0;1;0;0;1;22;7;1;0;45
143;Overheid en woningbouwcorporaties;1995 3e kwartaal;621;481;390;92;0;2;0;2;3;32;25;5;23;140
144;Overheid en woningbouwcorporaties;1995 Oktober;202;166;149;17;0;2;0;0;3;9;1;0;2;36
145;Overheid en woningbouwcorporaties;1995 November;232;197;162;34;0;2;0;0;0;25;2;5;0;35
146;Overheid en woningbouwcorporaties;1995 December;289;253;180;71;1;0;0;0;2;38;1;21;8;36
147;Overheid en woningbouwcorporaties;1995 4e kwartaal;723;616;492;123;1;4;0;0;5;71;5;27;10;107
148;Overheid en woningbouwcorporaties;1995;2716;2202;1757;445;1;10;0;20;15;187;77;64;71;514
149;Overheid en woningbouwcorporaties;1996 Januari;140;103;59;45;0;0;0;0;2;19;4;2;18;37
150;Overheid en woningbouwcorporaties;1996 Februari;188;146;116;30;0;0;0;2;5;8;2;8;5;42
151;Overheid en woningbouwcorporaties;1996 Maart;197;162;137;24;0;1;0;0;3;16;1;1;2;35
152;Overheid en woningbouwcorporaties;1996 1e kwartaal;525;411;312;99;0;2;0;2;9;43;6;12;25;114
153;Overheid en woningbouwcorporaties;1996 April;141;106;67;40;0;2;2;0;1;5;2;0;28;35
154;Overheid en woningbouwcorporaties;1996 Mei;231;123;84;37;0;0;0;0;20;9;5;2;1;108
155;Overheid en woningbouwcorporaties;1996 Juni;194;156;115;40;0;0;0;0;0;29;5;3;3;38
156;Overheid en woningbouwcorporaties;1996 2e kwartaal;566;385;267;119;0;2;3;0;22;44;12;5;31;181
157;Overheid en woningbouwcorporaties;1996 Juli;173;125;84;39;0;0;0;3;0;28;1;2;5;48
158;Overheid en woningbouwcorporaties;1996 Augustus;132;88;68;18;0;0;0;0;2;12;1;1;2;44
159;Overheid en woningbouwcorporaties;1996 September;173;137;103;34;0;1;0;0;0;24;5;3;1;36
160;Overheid en woningbouwcorporaties;1996 3e kwartaal;478;349;255;93;0;1;0;3;2;64;8;6;9;129
161;Overheid en woningbouwcorporaties;1996 Oktober;197;172;137;36;0;0;0;2;2;6;3;14;9;25
162;Overheid en woningbouwcorporaties;1996 November;196;157;125;31;0;1;0;0;0;13;5;1;11;39
163;Overheid en woningbouwcorporaties;1996 December;196;157;115;42;0;3;0;7;1;17;0;5;9;39
164;Overheid en woningbouwcorporaties;1996 4e kwartaal;590;487;376;110;0;4;0;9;3;36;9;20;29;103
165;Overheid en woningbouwcorporaties;1996;2160;1634;1211;422;0;9;3;14;37;187;35;43;94;526
166;Overheid en woningbouwcorporaties;1997 Januari;121;85;73;11;0;0;0;0;0;2;5;4;0;36
167;Overheid en woningbouwcorporaties;1997 Februari;117;72;48;24;0;1;0;0;3;10;3;3;4;45
168;Overheid en woningbouwcorporaties;1997 Maart;179;145;126;18;0;0;0;0;2;10;6;0;0;34
169;Overheid en woningbouwcorporaties;1997 1e kwartaal;416;301;247;54;0;2;0;0;5;22;13;8;4;115
170;Overheid en woningbouwcorporaties;1997 April;172;127;75;52;0;0;0;0;1;45;2;3;1;45
171;Overheid en woningbouwcorporaties;1997 Mei;166;145;113;30;0;0;0;0;0;6;17;1;6;21
172;Overheid en woningbouwcorporaties;1997 Juni;196;139;109;30;0;0;0;0;0;4;8;1;17;57
173;Overheid en woningbouwcorporaties;1997 2e kwartaal;534;410;297;112;0;0;0;0;1;55;26;5;25;124
174;Overheid en woningbouwcorporaties;1997 Juli;118;83;58;25;0;0;0;0;1;11;8;2;3;35
175;Overheid en woningbouwcorporaties;1997 Augustus;132;113;81;32;0;0;0;0;2;7;8;10;5;19
176;Overheid en woningbouwcorporaties;1997 September;279;229;151;78;0;1;0;8;0;48;9;4;8;50
177;Overheid en woningbouwcorporaties;1997 3e kwartaal;529;425;290;135;0;1;0;8;3;67;24;16;16;104
178;Overheid en woningbouwcorporaties;1997 Oktober;255;223;166;57;0;0;0;6;1;37;3;4;6;32
179;Overheid en woningbouwcorporaties;1997 November;181;153;119;33;0;0;0;1;2;20;5;5;0;28
180;Overheid en woningbouwcorporaties;1997 December;208;159;109;49;0;0;3;0;0;23;3;19;1;49
181;Overheid en woningbouwcorporaties;1997 4e kwartaal;644;535;394;142;0;1;3;7;3;80;11;28;9;109
182;Overheid en woningbouwcorporaties;1997;2123;1671;1228;442;0;4;4;15;12;223;74;56;54;452
183;Overheid en woningbouwcorporaties;1998 Januari;139;113;92;20;0;0;0;1;0;5;8;3;3;26
184;Overheid en woningbouwcorporaties;1998 Februari;153;130;111;19;0;0;0;0;1;8;5;3;2;23
185;Overheid en woningbouwcorporaties;1998 Maart;211;142;104;38;0;2;0;0;2;16;10;4;4;69
186;Overheid en woningbouwcorporaties;1998 1e kwartaal;502;384;307;76;0;2;0;1;2;29;23;10;9;118
187;Overheid en woningbouwcorporaties;1998 April;146;93;72;21;0;0;0;0;0;10;2;8;1;53
188;Overheid en woningbouwcorporaties;1998 Mei;168;146;83;64;0;0;0;26;0;5;26;6;1;22
189;Overheid en woningbouwcorporaties;1998 Juni;160;124;72;51;0;0;0;10;1;26;12;1;1;36
190;Overheid en woningbouwcorporaties;1998 2e kwartaal;474;363;227;137;0;1;0;36;1;41;40;15;3;111
191;Overheid en woningbouwcorporaties;1998 Juli;169;133;78;55;0;0;0;22;0;20;3;8;2;36
192;Overheid en woningbouwcorporaties;1998 Augustus;160;137;69;68;0;0;0;0;0;20;13;5;30;23
193;Overheid en woningbouwcorporaties;1998 September;154;114;64;50;0;0;0;0;0;25;6;6;13;40
194;Overheid en woningbouwcorporaties;1998 3e kwartaal;483;384;211;172;0;0;0;22;0;64;22;20;44;99
195;Overheid en woningbouwcorporaties;1998 Oktober;143;111;88;22;0;0;0;0;0;7;5;5;5;32
196;Overheid en woningbouwcorporaties;1998 November;149;121;66;55;0;0;0;0;0;39;7;7;2;28
197;Overheid en woningbouwcorporaties;1998 December;239;211;157;53;0;0;0;0;1;29;7;4;12;28
198;Overheid en woningbouwcorporaties;1998 4e kwartaal;531;443;311;131;0;0;0;0;1;75;19;16;20;88
199;Overheid en woningbouwcorporaties;1998;1990;1574;1055;518;0;4;0;60;5;209;104;60;76;416
200;Overheid en woningbouwcorporaties;1999 Januari;88;67;28;39;0;0;0;0;1;24;5;4;5;21
201;Overheid en woningbouwcorporaties;1999 Februari;103;86;58;26;0;0;0;5;0;5;6;0;10;17
202;Overheid en woningbouwcorporaties;1999 Maart;180;145;71;74;0;0;0;5;5;13;1;6;44;35
203;Overheid en woningbouwcorporaties;1999 1e kwartaal;371;298;157;140;0;1;0;11;7;42;11;10;58;73
204;Overheid en woningbouwcorporaties;1999 April;187;151;100;50;0;0;0;0;3;38;7;0;2;36
205;Overheid en woningbouwcorporaties;1999 Mei;154;125;97;29;0;1;0;0;0;12;6;8;2;29
206;Overheid en woningbouwcorporaties;1999 Juni;175;141;76;65;0;0;0;1;2;52;3;6;1;34
207;Overheid en woningbouwcorporaties;1999 2e kwartaal;515;417;273;145;0;1;0;1;5;102;16;15;5;98
208;Overheid en woningbouwcorporaties;1999 Juli;162;128;108;20;0;0;0;0;0;10;6;4;0;34
209;Overheid en woningbouwcorporaties;1999 Augustus;181;132;59;74;0;0;0;1;0;51;5;5;12;49
210;Overheid en woningbouwcorporaties;1999 September;172;133;100;34;0;0;0;0;0;19;13;0;2;39
211;Overheid en woningbouwcorporaties;1999 3e kwartaal;516;395;267;127;0;0;0;1;0;79;24;9;14;121
212;Overheid en woningbouwcorporaties;1999 Oktober;148;75;46;28;0;0;0;3;0;6;8;9;2;73
213;Overheid en woningbouwcorporaties;1999 November;188;141;105;34;0;0;0;0;0;17;12;2;3;47
214;Overheid en woningbouwcorporaties;1999 December;152;123;96;26;0;0;0;5;0;15;4;1;1;29
215;Overheid en woningbouwcorporaties;1999 4e kwartaal;488;340;247;92;0;0;0;9;0;39;24;13;7;148
216;Overheid en woningbouwcorporaties;1999;1890;1449;944;504;0;3;0;22;13;261;76;46;83;441
217;Overheid en woningbouwcorporaties;2000 Januari;119;86;73;12;0;0;1;2;0;2;1;5;1;33
218;Overheid en woningbouwcorporaties;2000 Februari;177;128;97;32;0;0;5;0;3;2;1;12;9;49
219;Overheid en woningbouwcorporaties;2000 Maart;200;151;93;58;0;0;0;0;0;37;6;10;5;49
220;Overheid en woningbouwcorporaties;2000 1e kwartaal;496;366;262;104;0;0;6;2;3;41;9;28;15;130
221;Overheid en woningbouwcorporaties;2000 April;115;93;68;24;0;0;0;12;0;3;5;1;3;22
222;Overheid en woningbouwcorporaties;2000 Mei;187;133;99;31;0;0;0;0;1;6;2;12;10;54
223;Overheid en woningbouwcorporaties;2000 Juni;89;70;59;11;0;0;0;0;0;5;1;4;1;19
224;Overheid en woningbouwcorporaties;2000 2e kwartaal;390;295;226;70;0;0;0;12;2;15;10;17;14;95
225;Overheid en woningbouwcorporaties;2000 Juli;164;130;54;77;0;0;0;0;0;60;10;3;4;34
226;Overheid en woningbouwcorporaties;2000 Augustus;99;74;38;36;0;0;0;0;0;10;15;3;8;25
227;Overheid en woningbouwcorporaties;2000 September;192;157;124;33;0;0;0;0;0;10;11;10;2;35
228;Overheid en woningbouwcorporaties;2000 3e kwartaal;456;361;216;145;0;0;0;0;0;80;36;15;14;95
229;Overheid en woningbouwcorporaties;2000 Januari-september;1344;1024;708;317;0;0;6;14;5;136;54;60;42;320
230;Overheid en woningbouwcorporaties;2000 Oktober;152;102;50;52;0;0;2;9;7;10;11;8;5;50
231;Overheid en woningbouwcorporaties;2000 Januari-oktober;1496;1126;758;368;0;0;8;22;12;146;65;68;47;370
232;Overheid en woningbouwcorporaties;2000 Januari-november;1658;1258;843;415;0;0;8;23;12;148;104;68;52;400
233;Overheid en woningbouwcorporaties;2000 November;162;132;84;47;0;0;0;0;0;3;39;0;5;30
234;Overheid en woningbouwcorporaties;2000 December;149;126;89;38;0;0;0;2;0;24;1;1;10;23
235;Overheid en woningbouwcorporaties;2000 4e kwartaal;463;360;225;135;0;0;2;10;7;36;51;10;19;103
236;Overheid en woningbouwcorporaties;2000;1807;1384;932;452;0;0;8;25;12;172;105;69;61;423
237;Overheid en woningbouwcorporaties;2001 Januari;112;89;44;46;0;0;0;0;0;14;8;15;9;23
238;Overheid en woningbouwcorporaties;2001 Februari;123;86;42;44;0;0;0;0;0;22;8;12;2;37
239;Overheid en woningbouwcorporaties;2001 Maart;138;106;74;32;0;0;0;0;0;14;3;4;11;32
240;Overheid en woningbouwcorporaties;2001 1e kwartaal;373;281;160;121;0;0;0;0;0;50;19;30;22;92
241;Overheid en woningbouwcorporaties;2001 April;153;95;49;47;0;0;0;0;0;6;11;28;2;58
242;Overheid en woningbouwcorporaties;2001 Mei;152;119;69;51;0;0;0;0;0;32;10;1;8;33
243;Overheid en woningbouwcorporaties;2001 Juni;131;76;35;40;0;0;0;0;1;25;6;3;5;55
244;Overheid en woningbouwcorporaties;2001 2e kwartaal;437;291;153;139;0;0;0;0;1;63;27;32;16;146
245;Overheid en woningbouwcorporaties;2001 Juli;170;80;54;26;0;0;0;0;0;11;7;5;3;90
246;Overheid en woningbouwcorporaties;2001 Augustus;140;105;68;37;0;0;0;0;0;16;8;1;12;35
247;Overheid en woningbouwcorporaties;2001 September;180;136;91;46;0;0;0;1;10;15;7;11;2;44
248;Overheid en woningbouwcorporaties;2001 3e kwartaal;490;321;213;109;0;0;0;1;10;41;22;17;18;169
249;Overheid en woningbouwcorporaties;2001 Oktober;248;195;135;59;0;0;22;0;1;18;1;11;6;53
250;Overheid en woningbouwcorporaties;2001 November;167;140;55;83;0;0;32;0;0;38;7;0;6;27
251;Overheid en woningbouwcorporaties;2001 December;159;137;60;77;0;0;0;1;0;10;4;58;4;22
252;Overheid en woningbouwcorporaties;2001 4e kwartaal;574;472;250;222;0;0;54;1;1;67;12;70;17;102
253;Overheid en woningbouwcorporaties;2001 Januari-februari;235;175;86;89;0;0;0;0;0;36;16;26;11;60
254;Overheid en woningbouwcorporaties;2001 Januari-maart;373;281;160;121;0;0;0;0;0;50;19;30;22;92
255;Overheid en woningbouwcorporaties;2001 Januari-april;526;376;209;168;0;0;0;0;0;56;30;58;24;150
256;Overheid en woningbouwcorporaties;2001 Januari-mei;678;495;277;218;0;0;0;0;0;87;40;59;32;183
257;Overheid en woningbouwcorporaties;2001 Januari-juni;809;571;313;258;0;0;0;0;1;112;46;62;37;238
258;Overheid en woningbouwcorporaties;2001 Januari-juli;979;651;367;284;0;0;0;0;1;123;53;67;40;328
259;Overheid en woningbouwcorporaties;2001 Januari-augustus;1119;756;435;321;0;0;0;0;1;139;61;67;53;363
260;Overheid en woningbouwcorporaties;2001 Januari-september;1300;893;526;367;0;0;0;1;11;154;68;78;55;407
261;Overheid en woningbouwcorporaties;2001 Januari-oktober;1548;1088;661;427;0;0;22;1;12;172;69;90;61;460
262;Overheid en woningbouwcorporaties;2001 Januari-november;1715;1228;716;510;0;0;54;1;12;210;76;90;67;487
263;Overheid en woningbouwcorporaties;2001;1874;1365;776;589;0;0;54;2;12;221;80;148;72;509
