ID;SIC2008;Periods;Indices_1;Change_2;AggregatedChange_3
143;4621 Wholesale of grain, seeds etc.;2009 4th quarter;206.7;5.0;-16.6
144;4621 Wholesale of grain, seeds etc.;2009;216.4;-16.6;-16.6
145;4621 Wholesale of grain, seeds etc.;2010 1st quarter;221.1;-2.2;-2.2
146;4621 Wholesale of grain, seeds etc.;2010 2nd quarter;257.4;14.9;6.3
147;4621 Wholesale of grain, seeds etc.;2010 3rd quarter;255.9;22.4;11.4
148;4621 Wholesale of grain, seeds etc.;2010 4th quarter;279.8;35.4;17.2
149;4621 Wholesale of grain, seeds etc.;2010;253.6;17.2;17.2
150;4621 Wholesale of grain, seeds etc.;2011 1st quarter;306.5;38.7;38.7
151;4621 Wholesale of grain, seeds etc.;2011 2nd quarter;317.2;23.3;30.4
152;4621 Wholesale of grain, seeds etc.;2011 3rd quarter;285.4;11.5;23.8
153;4621 Wholesale of grain, seeds etc.;2011 4th quarter;280.7;0.3;17.3
154;4621 Wholesale of grain, seeds etc.;2011;297.5;17.3;17.3
155;4621 Wholesale of grain, seeds etc.;2012 1st quarter;320.9;4.7;4.7
156;4621 Wholesale of grain, seeds etc.;2012 2nd quarter;389.6;22.8;13.9
157;4621 Wholesale of grain, seeds etc.;2012 3rd quarter;369.1;29.3;18.7
158;4621 Wholesale of grain, seeds etc.;2012 4th quarter;316.1;12.6;17.3
159;4621 Wholesale of grain, seeds etc.;2012;348.9;17.3;17.3
160;4622 Wholesale of flowers and plants;2005 1st quarter;;;
161;4622 Wholesale of flowers and plants;2005 2nd quarter;;;
162;4622 Wholesale of flowers and plants;2005 3rd quarter;;;
163;4622 Wholesale of flowers and plants;2005 4th quarter;;;
164;4622 Wholesale of flowers and plants;2005;;;
165;4622 Wholesale of flowers and plants;2006 1st quarter;;;
166;4622 Wholesale of flowers and plants;2006 2nd quarter;;;
167;4622 Wholesale of flowers and plants;2006 3rd quarter;;;
168;4622 Wholesale of flowers and plants;2006 4th quarter;;;
169;4622 Wholesale of flowers and plants;2006;;;
170;4622 Wholesale of flowers and plants;2007 1st quarter;121.1;;
171;4622 Wholesale of flowers and plants;2007 2nd quarter;113.4;;
172;4622 Wholesale of flowers and plants;2007 3rd quarter;103.3;;
173;4622 Wholesale of flowers and plants;2007 4th quarter;117.0;;
174;4622 Wholesale of flowers and plants;2007;113.7;;
175;4622 Wholesale of flowers and plants;2008 1st quarter;143.0;18.0;18.0
176;4622 Wholesale of flowers and plants;2008 2nd quarter;125.2;10.4;14.3
177;4622 Wholesale of flowers and plants;2008 3rd quarter;105.3;1.9;10.5
178;4622 Wholesale of flowers and plants;2008 4th quarter;119.8;2.4;8.5
179;4622 Wholesale of flowers and plants;2008;123.3;8.5;8.5
180;4622 Wholesale of flowers and plants;2009 1st quarter;135.3;-5.4;-5.4
181;4622 Wholesale of flowers and plants;2009 2nd quarter;131.6;5.1;-0.5
182;4622 Wholesale of flowers and plants;2009 3rd quarter;101.0;-4.1;-1.5
183;4622 Wholesale of flowers and plants;2009 4th quarter;113.6;-5.2;-2.4
184;4622 Wholesale of flowers and plants;2009;120.4;-2.4;-2.4
185;4622 Wholesale of flowers and plants;2010 1st quarter;132.2;-2.2;-2.2
186;4622 Wholesale of flowers and plants;2010 2nd quarter;128.7;-2.2;-2.2
187;4622 Wholesale of flowers and plants;2010 3rd quarter;101.6;0.6;-1.5
188;4622 Wholesale of flowers and plants;2010 4th quarter;105.7;-6.9;-2.7
189;4622 Wholesale of flowers and plants;2010;117.1;-2.7;-2.7
190;4622 Wholesale of flowers and plants;2011 1st quarter;129.1;-2.4;-2.4
191;4622 Wholesale of flowers and plants;2011 2nd quarter;129.1;0.3;-1.0
192;4622 Wholesale of flowers and plants;2011 3rd quarter;108.4;6.7;1.1
193;4622 Wholesale of flowers and plants;2011 4th quarter;113.0;6.9;2.4
194;4622 Wholesale of flowers and plants;2011;119.9;2.4;2.4
195;4622 Wholesale of flowers and plants;2012 1st quarter;134.4;4.1;4.1
196;4622 Wholesale of flowers and plants;2012 2nd quarter;130.2;0.9;2.5
197;4622 Wholesale of flowers and plants;2012 3rd quarter;107.2;-1.2;1.4
198;4622 Wholesale of flowers and plants;2012 4th quarter;111.2;-1.6;0.7
199;4622 Wholesale of flowers and plants;2012;120.7;0.7;0.7
200;463 Wholesale of food and beverages;2005 1st quarter;92.9;;
201;463 Wholesale of food and beverages;2005 2nd quarter;102.8;;
202;463 Wholesale of food and beverages;2005 3rd quarter;98.2;;
203;463 Wholesale of food and beverages;2005 4th quarter;106.2;;
204;463 Wholesale of food and beverages;2005;100.0;;
205;463 Wholesale of food and beverages;2006 1st quarter;98.6;6.2;6.2
206;463 Wholesale of food and beverages;2006 2nd quarter;109.5;6.5;6.4
207;463 Wholesale of food and beverages;2006 3rd quarter;100.3;2.2;5.0
208;463 Wholesale of food and beverages;2006 4th quarter;107.8;1.5;4.1
209;463 Wholesale of food and beverages;2006;104.1;4.1;4.1
210;463 Wholesale of food and beverages;2007 1st quarter;101.5;2.9;2.9
211;463 Wholesale of food and beverages;2007 2nd quarter;114.7;4.7;3.8
212;463 Wholesale of food and beverages;2007 3rd quarter;110.0;9.6;5.7
213;463 Wholesale of food and beverages;2007 4th quarter;117.6;9.1;6.6
214;463 Wholesale of food and beverages;2007;111.0;6.6;6.6
215;463 Wholesale of food and beverages;2008 1st quarter;110.0;8.4;8.4
216;463 Wholesale of food and beverages;2008 2nd quarter;121.8;6.2;7.3
217;463 Wholesale of food and beverages;2008 3rd quarter;115.0;4.5;6.3
218;463 Wholesale of food and beverages;2008 4th quarter;121.5;3.3;5.5
219;463 Wholesale of food and beverages;2008;117.1;5.5;5.5
220;463 Wholesale of food and beverages;2009 1st quarter;109.7;-0.3;-0.3
221;463 Wholesale of food and beverages;2009 2nd quarter;119.9;-1.6;-1.0
222;463 Wholesale of food and beverages;2009 3rd quarter;113.8;-1.1;-1.0
223;463 Wholesale of food and beverages;2009 4th quarter;122.1;0.5;-0.6
224;463 Wholesale of food and beverages;2009;116.4;-0.6;-0.6
225;463 Wholesale of food and beverages;2010 1st quarter;113.6;3.5;3.5
226;463 Wholesale of food and beverages;2010 2nd quarter;128.4;7.0;5.3
227;463 Wholesale of food and beverages;2010 3rd quarter;120.2;5.7;5.5
228;463 Wholesale of food and beverages;2010 4th quarter;126.2;3.4;4.9
229;463 Wholesale of food and beverages;2010;122.1;4.9;4.9
230;463 Wholesale of food and beverages;2011 1st quarter;118.7;4.6;4.6
231;463 Wholesale of food and beverages;2011 2nd quarter;130.5;1.7;3.0
232;463 Wholesale of food and beverages;2011 3rd quarter;122.0;1.5;2.5
233;463 Wholesale of food and beverages;2011 4th quarter;123.8;-1.9;1.4
234;463 Wholesale of food and beverages;2011;123.8;1.4;1.4
235;463 Wholesale of food and beverages;2012 1st quarter;124.3;4.7;4.7
236;463 Wholesale of food and beverages;2012 2nd quarter;134.6;3.1;3.9
237;463 Wholesale of food and beverages;2012 3rd quarter;128.2;5.1;4.3
238;463 Wholesale of food and beverages;2012 4th quarter;131.8;6.5;4.8
239;463 Wholesale of food and beverages;2012;129.7;4.8;4.8
240;4631 Wholesale of vegetables, potatoes;2005 1st quarter;;;
241;4631 Wholesale of vegetables, potatoes;2005 2nd quarter;;;
242;4631 Wholesale of vegetables, potatoes;2005 3rd quarter;;;
243;4631 Wholesale of vegetables, potatoes;2005 4th quarter;;;
244;4631 Wholesale of vegetables, potatoes;2005;;;
245;4631 Wholesale of vegetables, potatoes;2006 1st quarter;;;
246;4631 Wholesale of vegetables, potatoes;2006 2nd quarter;;;
247;4631 Wholesale of vegetables, potatoes;2006 3rd quarter;;;
248;4631 Wholesale of vegetables, potatoes;2006 4th quarter;;;
249;4631 Wholesale of vegetables, potatoes;2006;;;
250;4631 Wholesale of vegetables, potatoes;2007 1st quarter;110.3;;
251;4631 Wholesale of vegetables, potatoes;2007 2nd quarter;135.8;;
252;4631 Wholesale of vegetables, potatoes;2007 3rd quarter;114.7;;
253;4631 Wholesale of vegetables, potatoes;2007 4th quarter;110.5;;
254;4631 Wholesale of vegetables, potatoes;2007;117.8;;
255;4631 Wholesale of vegetables, potatoes;2008 1st quarter;117.6;6.6;6.6
256;4631 Wholesale of vegetables, potatoes;2008 2nd quarter;145.1;6.8;6.7
257;4631 Wholesale of vegetables, potatoes;2008 3rd quarter;121.3;5.7;6.4
258;4631 Wholesale of vegetables, potatoes;2008 4th quarter;112.4;1.7;5.3
259;4631 Wholesale of vegetables, potatoes;2008;124.1;5.3;5.3
260;4631 Wholesale of vegetables, potatoes;2009 1st quarter;117.3;-0.3;-0.3
261;4631 Wholesale of vegetables, potatoes;2009 2nd quarter;140.9;-2.9;-1.7
262;4631 Wholesale of vegetables, potatoes;2009 3rd quarter;113.2;-6.7;-3.3
263;4631 Wholesale of vegetables, potatoes;2009 4th quarter;105.7;-5.9;-3.9
264;4631 Wholesale of vegetables, potatoes;2009;119.3;-3.9;-3.9
265;4631 Wholesale of vegetables, potatoes;2010 1st quarter;115.2;-1.8;-1.8
266;4631 Wholesale of vegetables, potatoes;2010 2nd quarter;153.4;8.9;4.1
267;4631 Wholesale of vegetables, potatoes;2010 3rd quarter;129.4;14.4;7.2
268;4631 Wholesale of vegetables, potatoes;2010 4th quarter;122.3;15.7;9.1
269;4631 Wholesale of vegetables, potatoes;2010;130.1;9.1;9.1
270;4631 Wholesale of vegetables, potatoes;2011 1st quarter;114.0;-1.0;-1.0
271;4631 Wholesale of vegetables, potatoes;2011 2nd quarter;135.2;-11.9;-7.2
272;4631 Wholesale of vegetables, potatoes;2011 3rd quarter;116.9;-9.7;-8.0
273;4631 Wholesale of vegetables, potatoes;2011 4th quarter;104.1;-14.9;-9.6
274;4631 Wholesale of vegetables, potatoes;2011;117.5;-9.6;-9.6
275;4631 Wholesale of vegetables, potatoes;2012 1st quarter;109.7;-3.8;-3.8
276;4631 Wholesale of vegetables, potatoes;2012 2nd quarter;139.8;3.4;0.1
277;4631 Wholesale of vegetables, potatoes;2012 3rd quarter;134.0;14.7;4.8
278;4631 Wholesale of vegetables, potatoes;2012 4th quarter;122.2;17.4;7.6
279;4631 Wholesale of vegetables, potatoes;2012;126.5;7.6;7.6
280;4634 Wholesale of beverages;2005 1st quarter;;;
281;4634 Wholesale of beverages;2005 2nd quarter;;;
282;4634 Wholesale of beverages;2005 3rd quarter;;;
283;4634 Wholesale of beverages;2005 4th quarter;;;
284;4634 Wholesale of beverages;2005;;;
285;4634 Wholesale of beverages;2006 1st quarter;;;
286;4634 Wholesale of beverages;2006 2nd quarter;;;
287;4634 Wholesale of beverages;2006 3rd quarter;;;
288;4634 Wholesale of beverages;2006 4th quarter;;;
289;4634 Wholesale of beverages;2006;;;
290;4634 Wholesale of beverages;2007 1st quarter;91.7;;
291;4634 Wholesale of beverages;2007 2nd quarter;112.1;;
292;4634 Wholesale of beverages;2007 3rd quarter;112.2;;
293;4634 Wholesale of beverages;2007 4th quarter;135.7;;
294;4634 Wholesale of beverages;2007;112.9;;
295;4634 Wholesale of beverages;2008 1st quarter;92.6;1.0;1.0
296;4634 Wholesale of beverages;2008 2nd quarter;106.9;-4.6;-2.1
297;4634 Wholesale of beverages;2008 3rd quarter;120.3;7.2;1.2
298;4634 Wholesale of beverages;2008 4th quarter;127.9;-5.8;-0.9
299;4634 Wholesale of beverages;2008;111.9;-0.9;-0.9
300;4634 Wholesale of beverages;2009 1st quarter;81.9;-11.5;-11.5
301;4634 Wholesale of beverages;2009 2nd quarter;106.2;-0.7;-5.7
302;4634 Wholesale of beverages;2009 3rd quarter;103.9;-13.6;-8.7
303;4634 Wholesale of beverages;2009 4th quarter;121.6;-4.9;-7.6
304;4634 Wholesale of beverages;2009;103.4;-7.6;-7.6
305;4634 Wholesale of beverages;2010 1st quarter;84.7;3.4;3.4
306;4634 Wholesale of beverages;2010 2nd quarter;109.5;3.1;3.2
307;4634 Wholesale of beverages;2010 3rd quarter;101.0;-2.8;1.1
308;4634 Wholesale of beverages;2010 4th quarter;120.5;-0.9;0.5
309;4634 Wholesale of beverages;2010;103.9;0.5;0.5
310;4634 Wholesale of beverages;2011 1st quarter;87.9;3.8;3.8
311;4634 Wholesale of beverages;2011 2nd quarter;108.9;-0.5;1.3
312;4634 Wholesale of beverages;2011 3rd quarter;112.4;11.2;4.7
313;4634 Wholesale of beverages;2011 4th quarter;125.4;4.1;4.5
314;4634 Wholesale of beverages;2011;108.6;4.5;4.5
315;4634 Wholesale of beverages;2012 1st quarter;92.7;5.4;5.4
316;4634 Wholesale of beverages;2012 2nd quarter;118.6;8.9;7.3
317;4634 Wholesale of beverages;2012 3rd quarter;115.2;2.5;5.6
318;4634 Wholesale of beverages;2012 4th quarter;128.7;2.6;4.7
319;4634 Wholesale of beverages;2012;113.8;4.7;4.7
320;4639 Non-specialised wholesale of food;2005 1st quarter;;;
321;4639 Non-specialised wholesale of food;2005 2nd quarter;;;
322;4639 Non-specialised wholesale of food;2005 3rd quarter;;;
323;4639 Non-specialised wholesale of food;2005 4th quarter;;;
324;4639 Non-specialised wholesale of food;2005;;;
325;4639 Non-specialised wholesale of food;2006 1st quarter;;;
326;4639 Non-specialised wholesale of food;2006 2nd quarter;;;
327;4639 Non-specialised wholesale of food;2006 3rd quarter;;;
328;4639 Non-specialised wholesale of food;2006 4th quarter;;;
329;4639 Non-specialised wholesale of food;2006;;;
330;4639 Non-specialised wholesale of food;2007 1st quarter;114.6;;
331;4639 Non-specialised wholesale of food;2007 2nd quarter;115.1;;
332;4639 Non-specialised wholesale of food;2007 3rd quarter;109.1;;
333;4639 Non-specialised wholesale of food;2007 4th quarter;124.0;;
334;4639 Non-specialised wholesale of food;2007;115.7;;
335;4639 Non-specialised wholesale of food;2008 1st quarter;122.5;7.0;7.0
336;4639 Non-specialised wholesale of food;2008 2nd quarter;118.6;3.1;5.0
337;4639 Non-specialised wholesale of food;2008 3rd quarter;111.5;2.2;4.1
338;4639 Non-specialised wholesale of food;2008 4th quarter;121.6;-2.0;2.5
339;4639 Non-specialised wholesale of food;2008;118.6;2.5;2.5
340;4639 Non-specialised wholesale of food;2009 1st quarter;109.0;-11.1;-11.1
341;4639 Non-specialised wholesale of food;2009 2nd quarter;102.6;-13.5;-12.2
342;4639 Non-specialised wholesale of food;2009 3rd quarter;101.7;-8.8;-11.2
343;4639 Non-specialised wholesale of food;2009 4th quarter;123.3;1.5;-7.9
344;4639 Non-specialised wholesale of food;2009;109.2;-7.9;-7.9
345;4639 Non-specialised wholesale of food;2010 1st quarter;112.0;2.7;2.7
346;4639 Non-specialised wholesale of food;2010 2nd quarter;112.0;9.1;5.8
347;4639 Non-specialised wholesale of food;2010 3rd quarter;107.1;5.4;5.7
348;4639 Non-specialised wholesale of food;2010 4th quarter;120.5;-2.3;3.4
349;4639 Non-specialised wholesale of food;2010;112.9;3.4;3.4
350;4639 Non-specialised wholesale of food;2011 1st quarter;117.9;5.3;5.3
351;4639 Non-specialised wholesale of food;2011 2nd quarter;109.6;-2.2;1.6
352;4639 Non-specialised wholesale of food;2011 3rd quarter;113.6;6.0;3.0
353;4639 Non-specialised wholesale of food;2011 4th quarter;118.7;-1.5;1.8
354;4639 Non-specialised wholesale of food;2011;114.9;1.8;1.8
355;4639 Non-specialised wholesale of food;2012 1st quarter;119.1;1.1;1.1
356;4639 Non-specialised wholesale of food;2012 2nd quarter;110.2;0.5;0.8
357;4639 Non-specialised wholesale of food;2012 3rd quarter;109.5;-3.6;-0.7
358;4639 Non-specialised wholesale of food;2012 4th quarter;118.1;-0.5;-0.6
359;4639 Non-specialised wholesale of food;2012;114.2;-0.6;-0.6
360;464 Wholesale of consumer goods;2005 1st quarter;104.6;;
361;464 Wholesale of consumer goods;2005 2nd quarter;94.1;;
362;464 Wholesale of consumer goods;2005 3rd quarter;101.3;;
363;464 Wholesale of consumer goods;2005 4th quarter;100.0;;
364;464 Wholesale of consumer goods;2005;100.0;;
365;464 Wholesale of consumer goods;2006 1st quarter;104.5;-0.1;-0.1
366;464 Wholesale of consumer goods;2006 2nd quarter;99.2;5.5;2.5
367;464 Wholesale of consumer goods;2006 3rd quarter;104.4;3.0;2.7
368;464 Wholesale of consumer goods;2006 4th quarter;103.2;3.3;2.8
369;464 Wholesale of consumer goods;2006;102.8;2.8;2.8
370;464 Wholesale of consumer goods;2007 1st quarter;112.1;7.3;7.3
371;464 Wholesale of consumer goods;2007 2nd quarter;108.1;8.9;8.1
372;464 Wholesale of consumer goods;2007 3rd quarter;113.9;9.1;8.4
373;464 Wholesale of consumer goods;2007 4th quarter;116.6;13.0;9.6
374;464 Wholesale of consumer goods;2007;112.7;9.6;9.6
375;464 Wholesale of consumer goods;2008 1st quarter;121.6;8.5;8.5
376;464 Wholesale of consumer goods;2008 2nd quarter;113.0;4.5;6.5
377;464 Wholesale of consumer goods;2008 3rd quarter;119.9;5.3;6.1
378;464 Wholesale of consumer goods;2008 4th quarter;120.0;2.9;5.3
379;464 Wholesale of consumer goods;2008;118.6;5.3;5.3
380;464 Wholesale of consumer goods;2009 1st quarter;116.9;-3.8;-3.8
381;464 Wholesale of consumer goods;2009 2nd quarter;109.2;-3.4;-3.6
382;464 Wholesale of consumer goods;2009 3rd quarter;118.0;-1.6;-2.9
383;464 Wholesale of consumer goods;2009 4th quarter;116.5;-2.9;-2.9
384;464 Wholesale of consumer goods;2009;115.2;-2.9;-2.9
385;464 Wholesale of consumer goods;2010 1st quarter;117.4;0.4;0.4
