ID;Perioden;TotaalPersonenInHuishoudens_1;TotaalPersonenInParticuliereHuish_2;ThuiswonendKind_3;Alleenstaand_4;Samenwonend_5;OuderInEenouderhuishouden_6;OverigLidHuishouden_7;PersonenInInstitutioneleHuishoudens_8;TotaalParticuliereHuishoudens_9;Eenpersoonshuishouden_10;TotaalMeerpersoonshuishoudens_11;Paar_12;Eenouderhuishouden_13;OverigHuishouden_14;TotaalParticuliereHuishoudens_15;Eenpersoonshuishouden_16;TotaalMeerpersoonshuishoudens_17;k_2Personen_18;k_3Personen_19;k_4Personen_20;k_5OfMeerPersonen_21;GemiddeldeHuishoudensgrootte_22;TotaalHuishoudensMetKinderen_23;k_1Kind_24;k_2Kinderen_25;k_3OfMeerKinderen_26;TotaalParenMetKinderen_27;k_1Kind_28;k_2Kinderen_29;k_3OfMeerKinderen_30;TotaalEenouderhuishoudens_31;k_1Kind_32;k_2Kinderen_33;k_3OfMeerKinderen_34;TotaalHuishoudensMetKinderen_35;JongsteKind0Tot3Jaar_36;JongsteKind3Tot6Jaar_37;JongsteKind6Tot12Jaar_38;JongsteKind12Tot18Jaar_39;JongsteKind18JaarOfOuder_40
11;2033;18738178;18404398;4823808;3561721;9079390;652429;287050;333780;8798248;3561728;5236520;4539696;652425;44399;8798248;3561728;5236520;2840097;938498;991792;466133;2.09;2738119;1140185;1120728;477205;2085694;741690;932245;411759;652425;398495;188483;65446;2738122;600244;334601;477718;476818;848741
12;2034;18817370;18478124;4847826;3589558;9095130;657009;288601;339246;8838601;3589557;5249044;4547565;657025;44454;8838601;3589557;5249044;2837368;927918;1002590;481168;2.09;2754501;1128255;1132775;493472;2097476;728966;942267;426243;657025;399289;190508;67229;2754500;605446;341727;492972;475365;838990
13;2035;18892767;18548151;4872571;3615889;9107786;661747;290158;344616;8876043;3615889;5260154;4553893;661751;44510;8876043;3615889;5260154;2833031;916656;1013996;496471;2.09;2770936;1115273;1145633;510033;2109185;715356;952880;440949;661751;399917;192753;69084;2770938;609160;347672;506980;479388;827738
14;2036;18964675;18614726;4897678;3640664;9118060;666642;291682;349949;8910903;3640656;5270247;4559031;666645;44571;8910903;3640656;5270247;2827484;904658;1026782;511323;2.09;2787278;1100848;1160299;526130;2120633;700573;964902;455158;666645;400275;195397;70972;2787284;611349;352826;520004;488028;815077
15;2037;19032641;18677483;4922790;3664036;9126090;671396;293171;355158;8943074;3664032;5279042;4563042;671386;44614;8943074;3664032;5279042;2820933;892126;1040961;525022;2.09;2802709;1084846;1176889;540974;2131323;684784;978395;468144;671386;400062;198494;72830;2802708;611780;356914;532067;500362;801585
16;2038;19096287;18736129;4947388;3685575;9132089;676566;294511;360158;8972837;3685583;5287254;4566041;676570;44643;8972837;3685583;5287254;2813599;880962;1055803;536891;2.09;2818577;1070157;1194617;553803;2142007;670034;992674;479299;676570;400123;201943;74504;2818579;610976;359958;541752;520315;785578
17;2039;19155905;18790934;4971457;3705411;9136262;682057;295747;364971;9000253;3705413;5294840;4568133;682069;44638;9000253;3705413;5294840;2805204;870514;1071498;547624;2.09;2834780;1055631;1213764;565383;2152711;655517;1007891;489303;682069;400114;205873;76080;2834781;610151;361810;551220;530261;781339
18;2040;19211944;18842456;4994736;3723968;9139002;687830;296920;369488;9025927;3723960;5301967;4569505;687824;44638;9025927;3723960;5301967;2796599;863383;1086049;555935;2.09;2851312;1045223;1231803;574287;2163488;644501;1022079;496908;687824;400722;209724;77379;2851309;609047;361888;558810;546508;775056
19;2041;19264561;18890790;5016882;3741546;9140602;693688;298072;373771;9050193;3741552;5308641;4570301;693683;44657;9050193;3741552;5308641;2788878;858898;1098775;562090;2.09;2867079;1038435;1247830;580816;2173396;636444;1034539;502413;693683;401991;213291;78403;2867081;607568;360783;564380;561196;773154
20;2042;19313954;18936126;5037634;3758398;9141377;699523;299194;377828;9073281;3758412;5314869;4570689;699523;44657;9073281;3758412;5314869;2782435;857231;1109221;565982;2.09;2881758;1035663;1261258;584837;2182235;631676;1044818;505741;699523;403987;216440;79096;2881761;605428;359194;567814;574425;774900
21;2043;19360524;18978850;5056622;3774986;9141753;705183;300306;381674;9095761;3775002;5320759;4570877;705186;44696;9095761;3775002;5320759;2777352;857942;1117220;568245;2.09;2895282;1036450;1271760;587070;2190096;629840;1052706;507550;705186;406610;219054;79520;2895282;602961;357525;568956;586331;779509
22;2044;19404599;19019172;5073642;3791387;9142060;710591;301492;385427;9117774;3791396;5326378;4571028;710594;44756;9117774;3791396;5326378;2771490;861451;1123816;569621;2.09;2909604;1040835;1280489;588278;2199010;631263;1059222;508525;710594;409572;221267;79753;2909603;600936;355944;568840;595763;788120
23;2045;19446389;19057269;5088389;3807919;9142569;715702;302690;389120;9139714;3807905;5331809;4571284;715701;44824;9139714;3807905;5331809;2767357;866101;1128219;570132;2.09;2922112;1046920;1286596;588595;2206411;634239;1063510;508662;715701;412681;223086;79933;2922115;598956;353923;567262;604481;797493
24;2046;19486099;19093353;5100648;3824699;9143695;720373;303938;392746;9161838;3824688;5337150;4571850;720361;44939;9161838;3824688;5337150;2764983;871590;1130732;569846;2.08;2932842;1054422;1290351;588068;2212481;638506;1065915;508060;720361;415916;224436;80008;2932844;597187;351791;564520;611329;808017
25;2047;19524042;19127677;5110300;3841834;9145689;724597;305257;396365;9184352;3841843;5342509;4572849;724597;45063;9184352;3841843;5342509;2764266;877485;1131820;568938;2.08;2941956;1062814;1292292;586853;2217359;643572;1066906;506881;724597;419242;225386;79972;2941958;595738;349799;561001;616204;819216
26;2048;19560466;19160503;5117334;3859361;9148910;728220;306678;399963;9207274;3859361;5347913;4574456;728215;45242;9207274;3859361;5347913;2765061;883422;1131769;567661;2.08;2949292;1071278;1292752;585261;2221077;648963;1066747;505367;728215;422315;226005;79894;2949292;594785;347977;557099;619002;830429
27;2049;19595613;19192102;5121896;3877020;9153702;731310;308174;403511;9230609;3877012;5353597;4576855;731296;45446;9230609;3877012;5353597;2767194;889316;1130864;566224;2.08;2955303;1079697;1292139;583464;2224007;654532;1065758;503717;731296;425165;226381;79747;2955304;594537;346407;553367;619525;841468
28;2050;19629749;19222793;5124238;3894708;9160294;733808;309745;406956;9254327;3894698;5359629;4580148;733805;45676;9254327;3894698;5359629;2772488;893972;1128767;564402;2.08;2958006;1086539;1290165;581302;2224201;658949;1063559;501693;733805;427590;226606;79609;2958005;594651;344820;549426;617957;851151
29;2051;19663221;19252989;5124729;3912194;9169073;735661;311332;410232;9278327;3912195;5366132;4584536;735657;45939;9278327;3912195;5366132;2778606;898821;1126257;562449;2.08;2960034;1093510;1287553;578971;2224377;663827;1060984;499566;735657;429683;226569;79405;2960034;595641;343591;545604;615186;860012
30;2052;19696284;19283000;5123800;3929213;9180120;736965;312902;413284;9302445;3929210;5373235;4590058;736971;46206;9302445;3929210;5373235;2783538;904442;1124446;560809;2.07;2963527;1101104;1285458;576963;2226556;669694;1059105;497757;736971;431410;226353;79206;2963530;597929;343013;542420;611818;868350
31;2053;19729367;19313309;5121974;3945717;9193272;737851;314495;416058;9326700;3945718;5380982;4596637;737850;46495;9326700;3945718;5380982;2789571;909758;1122511;559141;2.07;2966145;1108000;1283191;574956;2228295;675277;1057089;495929;737850;432723;226102;79027;2966146;601032;342790;539529;607636;875159
32;2054;19762976;19344458;5119822;3961631;9208584;738338;316083;418518;9351038;3961630;5389408;4604290;738335;46783;9351038;3961630;5389408;2796535;914898;1120498;557477;2.07;2968212;1114485;1280788;572935;2229877;680747;1055015;494115;738335;433738;225773;78820;2968212;604928;342951;537003;603138;880192
33;2055;19797610;19377005;5117918;3976808;9226100;738539;317640;420605;9375483;3976800;5398683;4613050;738561;47072;9375483;3976800;5398683;2804332;919681;1118703;555967;2.07;2970057;1120370;1278591;571096;2231496;685872;1053162;492462;738561;434498;225429;78634;2970058;609528;343543;534900;598862;883225
34;2056;19833698;19411411;5116812;3991220;9245751;738467;319161;422287;9399931;3991229;5408702;4622875;738477;47350;9399931;3991229;5408702;2812837;924317;1117049;554499;2.07;2971789;1126054;1276453;569284;2233312;690974;1051475;490863;738477;435080;224978;78421;2971786;614662;344609;533204;594765;884546
35;2057;19871683;19448144;5116975;4004819;9267497;738222;320631;423539;9424425;4004816;5419609;4633748;738229;47632;9424425;4004816;5419609;2821869;928571;1115888;553281;2.06;2973674;1131092;1274806;567771;2235445;695664;1050264;489517;738229;435428;224542;78254;2973676;620157;346210;532070;590662;884577
36;2058;19911931;19487591;5118814;4017628;9291242;737873;322034;424340;9449005;4017625;5431380;4645621;737878;47881;9449005;4017625;5431380;2831215;932306;1115399;552461;2.06;2975867;1135234;1273927;566700;2237989;699721;1049712;488556;737878;435513;224215;78144;2975867;625803;348315;531550;586778;883421
37;2059;19954733;19530013;5122625;4029681;9316837;737503;323367;424720;9473713;4029666;5444047;4658417;737502;48128;9473713;4029666;5444047;2840886;935645;1115462;552054;2.06;2978567;1138836;1273642;566092;2241065;703342;1049712;488011;737502;435494;223930;78081;2978564;631409;350881;531748;583291;881235
38;2060;20000277;19575594;5128604;4041120;9344105;737136;324629;424683;9498655;4041115;5457540;4672052;737133;48355;9498655;4041115;5457540;2850809;938514;1116157;552061;2.06;2981827;1141883;1274023;565920;2244694;706459;1050351;487884;737133;435424;223672;78036;2981827;636197;354069;532800;580404;878357
39;2061;20048774;19624513;5136829;4052077;9372928;736863;325816;424261;9523976;4052076;5471900;4686462;736871;48567;9523976;4052076;5471900;2907429;943781;1113191;507499;2.06;2985794;1144881;1274951;565964;2248923;709447;1051513;487963;736871;435434;223438;78001;2985792;639338;358256;534818;578233;875147
40;2062;20100240;19676720;5147279;4062697;9403068;736730;326946;423520;9549709;4062695;5487014;4701536;736734;48744;9549709;4062695;5487014;2917900;946406;1114873;507835;2.06;2990454;1147712;1276425;566315;2253720;712219;1053167;488334;736734;435493;223258;77981;2990452;640385;363688;537808;576770;871801
41;2063;20154641;19732155;5159832;4073184;9434359;736774;328006;422486;9576019;4073166;5502853;4717178;736783;48892;9576019;4073166;5502853;2928384;948809;1117104;508556;2.06;2995819;1150178;1278545;567095;2259036;714638;1055327;489071;736783;435540;223218;78024;2995819;640451;368923;541879;576099;868467
42;2064;20211867;19790629;5174310;4083709;9466566;737022;329022;421238;9603039;4083713;5519326;4733281;737010;49035;9603039;4083713;5519326;2938939;950909;1119878;509601;2.06;3001815;1152328;1281260;568223;2264805;716682;1058008;490115;737010;435646;223252;78108;3001818;640657;372415;547193;576303;865250
43;2065;20271808;19851943;5190459;4094471;9499496;737504;330013;419865;9630864;4094469;5536395;4749748;737497;49150;9630864;4094469;5536395;2949619;952739;1123073;510964;2.06;3008448;1154299;1284472;569677;2270951;718381;1061104;491466;737497;435918;223368;78211;3008449;640999;373756;553908;577452;862334
44;2066;20334199;19915732;5208005;4105602;9532904;738244;330977;418467;9659535;4105594;5553941;4766452;738238;49251;9659535;4105594;5553941;2960340;954486;1126638;512477;2.06;3015644;1156199;1288145;571299;2277406;719893;1064554;492959;738238;436306;223591;78340;3015645;641413;373997;560974;579531;859730
45;2067;20398788;19981606;5226667;4117216;9566538;739258;331927;417182;9689081;4117217;5571864;4783267;739259;49338;9689081;4117217;5571864;2971105;956306;1130341;514113;2.06;3023331;1158228;1292044;573059;2284072;721377;1068128;494567;739259;436851;223916;78492;3023331;641819;374231;567318;582484;857479
46;2068;20465199;20049098;5246143;4129345;9600256;740529;332825;416101;9719413;4129335;5590078;4800130;740529;49419;9719413;4129335;5590078;2981852;958073;1134245;515908;2.06;3031405;1160141;1296267;574996;2290876;722669;1071884;496323;740529;437472;224383;78673;3031405;642197;374451;572771;586341;855645
47;2069;20533091;20117766;5266137;4142031;9633844;742051;333703;415325;9750508;4142042;5608466;4816925;742055;49486;9750508;4142042;5608466;2992554;959756;1138309;517847;2.06;3039816;1161990;1300718;577110;2297761;723781;1075770;498210;742055;438209;224948;78900;3039818;642539;374649;577082;591241;854307
48;2070;20602155;20187201;5286372;4155315;9667084;743823;334607;414954;9782218;4155306;5626912;4833539;743817;49556;9782218;4155306;5626912;3003323;961682;1142219;519688;2.06;3048487;1164339;1305062;579088;2304670;725125;1079540;500005;743817;439214;225522;79083;3048490;642812;374809;579931;597401;853537
