ID;Geslacht;Kenmerken;Perioden;TotaalBaanvinders_1;k_1JaarGeledenGewerkt_2;VoorhScholierStudentSchoolverlater_3;VoorheenWerkzaam_4;VoorheenArbeidsongeschikt_5;Herintreder_6;OverigeBaanvinders_7;Baanwisselaars_8;TotaalOnbenutArbeidsaanbod_9;k_1JaarGeledenGewerkt_10;VoorhScholierStudentSchoolverlater_11;VoorheenWerkzaam_12;VoorheenArbeidsongeschikt_13;Herintreder_14;OverigOnbenutArbeidsaanbod_15
44;Mannen en vrouwen;Eenpersoonshuishouden;2002;169.0;91.0;34.0;22.0;3.0;7.0;11.0;86.0;146.0;30.0;30.0;24.0;22.0;18.0;22.0
45;Mannen en vrouwen;Eenpersoonshuishouden;2003;142.0;68.0;33.0;20.0;2.0;5.0;14.0;61.0;180.0;45.0;27.0;42.0;35.0;10.0;22.0
46;Mannen en vrouwen;Eenpersoonshuishouden;2004;131.0;56.0;32.0;26.0;3.0;3.0;11.0;52.0;202.0;44.0;34.0;53.0;31.0;15.0;25.0
47;Mannen en vrouwen;Eenpersoonshuishouden;2005;134.0;59.0;32.0;26.0;2.0;5.0;10.0;55.0;228.0;40.0;36.0;66.0;40.0;20.0;27.0
48;Mannen en vrouwen;Eenpersoonshuishouden;2006;162.0;76.0;36.0;27.0;3.0;4.0;16.0;130.0;197.0;28.0;28.0;60.0;37.0;16.0;27.0
49;Mannen en vrouwen;Alleenstaande ouder;2000;26.0;10.0;2.0;4.0;;7.0;2.0;10.0;49.0;5.0;5.0;7.0;4.0;22.0;6.0
50;Mannen en vrouwen;Alleenstaande ouder;2001;32.0;13.0;3.0;4.0;;8.0;2.0;11.0;47.0;5.0;5.0;6.0;6.0;19.0;6.0
51;Mannen en vrouwen;Alleenstaande ouder;2002;29.0;13.0;2.0;4.0;;8.0;2.0;13.0;48.0;6.0;5.0;9.0;6.0;18.0;4.0
52;Mannen en vrouwen;Alleenstaande ouder;2003;29.0;13.0;3.0;4.0;;5.0;3.0;12.0;60.0;7.0;4.0;11.0;10.0;21.0;7.0
53;Mannen en vrouwen;Alleenstaande ouder;2004;22.0;10.0;;4.0;;5.0;2.0;9.0;70.0;7.0;5.0;16.0;10.0;23.0;9.0
54;Mannen en vrouwen;Alleenstaande ouder;2005;24.0;9.0;;6.0;;4.0;3.0;8.0;76.0;12.0;5.0;15.0;11.0;26.0;8.0
55;Mannen en vrouwen;Alleenstaande ouder;2006;30.0;11.0;2.0;6.0;;5.0;5.0;53.0;77.0;9.0;4.0;13.0;13.0;29.0;9.0
56;Mannen en vrouwen;Lid van ouderpaar;2000;318.0;185.0;18.0;43.0;5.0;48.0;20.0;179.0;273.0;31.0;20.0;40.0;27.0;117.0;38.0
57;Mannen en vrouwen;Lid van ouderpaar;2001;333.0;194.0;17.0;51.0;5.0;50.0;17.0;192.0;248.0;36.0;15.0;41.0;27.0;99.0;30.0
58;Mannen en vrouwen;Lid van ouderpaar;2002;299.0;184.0;12.0;41.0;5.0;38.0;18.0;182.0;255.0;49.0;15.0;42.0;25.0;95.0;29.0
59;Mannen en vrouwen;Lid van ouderpaar;2003;257.0;155.0;11.0;40.0;6.0;27.0;17.0;151.0;297.0;63.0;17.0;51.0;32.0;98.0;36.0
60;Mannen en vrouwen;Lid van ouderpaar;2004;216.0;128.0;10.0;40.0;4.0;22.0;13.0;122.0;351.0;63.0;19.0;71.0;38.0;120.0;40.0
61;Mannen en vrouwen;Lid van ouderpaar;2005;215.0;125.0;9.0;47.0;4.0;18.0;13.0;117.0;352.0;60.0;20.0;74.0;37.0;119.0;42.0
62;Mannen en vrouwen;Lid van ouderpaar;2006;268.0;148.0;13.0;54.0;5.0;27.0;20.0;80.0;324.0;49.0;16.0;74.0;36.0;110.0;39.0
63;Mannen en vrouwen;Ouderpaar, jongste kind 0 tot 6 jaar;2000;163.0;103.0;15.0;22.0;2.0;13.0;8.0;101.0;105.0;15.0;15.0;20.0;8.0;33.0;14.0
64;Mannen en vrouwen;Ouderpaar, jongste kind 0 tot 6 jaar;2001;176.0;109.0;14.0;28.0;;15.0;8.0;109.0;97.0;17.0;13.0;17.0;10.0;27.0;14.0
65;Mannen en vrouwen;Ouderpaar, jongste kind 0 tot 6 jaar;2002;149.0;97.0;9.0;22.0;;12.0;8.0;97.0;109.0;24.0;12.0;18.0;10.0;32.0;12.0
66;Mannen en vrouwen;Ouderpaar, jongste kind 0 tot 6 jaar;2003;131.0;83.0;9.0;20.0;2.0;9.0;8.0;83.0;122.0;27.0;14.0;25.0;9.0;33.0;14.0
67;Mannen en vrouwen;Ouderpaar, jongste kind 0 tot 6 jaar;2004;117.0;69.0;8.0;23.0;;10.0;6.0;65.0;146.0;31.0;16.0;31.0;14.0;36.0;18.0
68;Mannen en vrouwen;Ouderpaar, jongste kind 0 tot 6 jaar;2005;110.0;63.0;8.0;25.0;2.0;7.0;6.0;59.0;145.0;30.0;17.0;33.0;14.0;34.0;17.0
69;Mannen en vrouwen;Ouderpaar, jongste kind 0 tot 6 jaar;2006;147.0;85.0;11.0;28.0;2.0;11.0;9.0;28.0;121.0;23.0;13.0;27.0;11.0;32.0;15.0
70;Mannen en vrouwen;Ouderpaar, jongste kind 6 tot 12 jaar;2000;78.0;40.0;2.0;9.0;;18.0;6.0;40.0;73.0;6.0;4.0;7.0;7.0;38.0;10.0
71;Mannen en vrouwen;Ouderpaar, jongste kind 6 tot 12 jaar;2001;75.0;41.0;2.0;9.0;;16.0;6.0;41.0;66.0;7.0;2.0;12.0;7.0;32.0;7.0
72;Mannen en vrouwen;Ouderpaar, jongste kind 6 tot 12 jaar;2002;74.0;43.0;2.0;9.0;2.0;14.0;4.0;42.0;65.0;10.0;2.0;11.0;5.0;29.0;8.0
73;Mannen en vrouwen;Ouderpaar, jongste kind 6 tot 12 jaar;2003;60.0;35.0;2.0;8.0;;9.0;4.0;33.0;81.0;16.0;3.0;12.0;11.0;28.0;12.0
74;Mannen en vrouwen;Ouderpaar, jongste kind 6 tot 12 jaar;2004;46.0;25.0;2.0;9.0;2.0;6.0;3.0;24.0;81.0;12.0;2.0;15.0;7.0;35.0;8.0
75;Mannen en vrouwen;Ouderpaar, jongste kind 6 tot 12 jaar;2005;51.0;30.0;;10.0;;6.0;3.0;28.0;84.0;12.0;3.0;15.0;8.0;37.0;10.0
76;Mannen en vrouwen;Ouderpaar, jongste kind 6 tot 12 jaar;2006;58.0;29.0;2.0;11.0;2.0;8.0;5.0;20.0;87.0;12.0;2.0;16.0;10.0;36.0;10.0
77;Mannen en vrouwen;Ouderpaar, jongste kind 12 tot 18 jaar;2000;49.0;26.0;;6.0;;13.0;3.0;24.0;55.0;6.0;;7.0;5.0;28.0;9.0
78;Mannen en vrouwen;Ouderpaar, jongste kind 12 tot 18 jaar;2001;53.0;27.0;;9.0;2.0;12.0;2.0;26.0;47.0;7.0;;7.0;5.0;23.0;5.0
79;Mannen en vrouwen;Ouderpaar, jongste kind 12 tot 18 jaar;2002;51.0;30.0;;6.0;2.0;9.0;3.0;30.0;45.0;8.0;;7.0;6.0;19.0;5.0
80;Mannen en vrouwen;Ouderpaar, jongste kind 12 tot 18 jaar;2003;45.0;25.0;;8.0;2.0;6.0;4.0;24.0;55.0;11.0;;7.0;7.0;23.0;7.0
81;Mannen en vrouwen;Ouderpaar, jongste kind 12 tot 18 jaar;2004;34.0;21.0;;5.0;;4.0;3.0;20.0;71.0;11.0;;13.0;9.0;30.0;8.0
82;Mannen en vrouwen;Ouderpaar, jongste kind 12 tot 18 jaar;2005;33.0;19.0;;7.0;;4.0;2.0;18.0;70.0;12.0;;13.0;8.0;28.0;9.0
83;Mannen en vrouwen;Ouderpaar, jongste kind 12 tot 18 jaar;2006;42.0;22.0;;10.0;;5.0;3.0;11.0;67.0;8.0;;15.0;8.0;26.0;10.0
84;Mannen en vrouwen;Ouderpaar met jongste kind >=18 jaar;2000;28.0;16.0;;5.0;;4.0;2.0;15.0;40.0;4.0;;7.0;6.0;18.0;5.0
85;Mannen en vrouwen;Ouderpaar met jongste kind >=18 jaar;2001;29.0;16.0;;5.0;;6.0;;16.0;38.0;6.0;;6.0;6.0;17.0;4.0
86;Mannen en vrouwen;Ouderpaar met jongste kind >=18 jaar;2002;24.0;14.0;;4.0;;4.0;2.0;14.0;37.0;7.0;;6.0;5.0;15.0;4.0
87;Mannen en vrouwen;Ouderpaar met jongste kind >=18 jaar;2003;21.0;12.0;;4.0;;2.0;;11.0;39.0;9.0;;7.0;6.0;14.0;3.0
88;Mannen en vrouwen;Ouderpaar met jongste kind >=18 jaar;2004;20.0;14.0;;3.0;;2.0;;13.0;53.0;9.0;;12.0;8.0;19.0;5.0
89;Mannen en vrouwen;Ouderpaar met jongste kind >=18 jaar;2005;21.0;13.0;;5.0;;;2.0;12.0;53.0;6.0;;13.0;8.0;20.0;6.0
90;Mannen en vrouwen;Ouderpaar met jongste kind >=18 jaar;2006;22.0;12.0;;5.0;;2.0;2.0;10.0;49.0;6.0;;15.0;8.0;15.0;5.0
91;Mannen en vrouwen;Lid van een paar (geen ouder);2000;313.0;191.0;63.0;33.0;3.0;6.0;17.0;180.0;140.0;27.0;14.0;33.0;24.0;19.0;24.0
92;Mannen en vrouwen;Lid van een paar (geen ouder);2001;301.0;182.0;52.0;38.0;3.0;8.0;17.0;176.0;124.0;30.0;12.0;28.0;20.0;19.0;15.0
93;Mannen en vrouwen;Lid van een paar (geen ouder);2002;279.0;166.0;49.0;39.0;2.0;7.0;16.0;158.0;128.0;32.0;14.0;28.0;18.0;17.0;19.0
94;Mannen en vrouwen;Lid van een paar (geen ouder);2003;228.0;128.0;40.0;37.0;3.0;5.0;15.0;123.0;162.0;49.0;16.0;36.0;19.0;15.0;25.0
95;Mannen en vrouwen;Lid van een paar (geen ouder);2004;205.0;117.0;36.0;32.0;3.0;4.0;13.0;112.0;186.0;51.0;21.0;49.0;21.0;17.0;26.0
96;Mannen en vrouwen;Lid van een paar (geen ouder);2005;207.0;112.0;37.0;39.0;2.0;4.0;13.0;107.0;193.0;47.0;21.0;57.0;20.0;16.0;32.0
97;Mannen en vrouwen;Lid van een paar (geen ouder);2006;248.0;137.0;43.0;43.0;;5.0;19.0;138.0;182.0;34.0;20.0;55.0;23.0;19.0;32.0
98;Mannen en vrouwen;Minderjarig kind;2000;47.0;;47.0;;;;;;33.0;;33.0;;;;
99;Mannen en vrouwen;Minderjarig kind;2001;52.0;;52.0;;;;;;34.0;;34.0;;;;
100;Mannen en vrouwen;Minderjarig kind;2002;50.0;;50.0;;;;;;38.0;;38.0;;;;
101;Mannen en vrouwen;Minderjarig kind;2003;43.0;;43.0;;;;;;41.0;;41.0;;;;
102;Mannen en vrouwen;Minderjarig kind;2004;38.0;;38.0;;;;;;42.0;;42.0;;;;
103;Mannen en vrouwen;Minderjarig kind;2005;38.0;;38.0;;;;;;47.0;;47.0;;;;
104;Mannen en vrouwen;Minderjarig kind;2006;38.0;;38.0;;;;;8.0;48.0;;48.0;;;;
105;Mannen en vrouwen;Meerderjarig kind;2000;217.0;62.0;113.0;12.0;;;29.0;59.0;67.0;8.0;39.0;5.0;;;14.0
106;Mannen en vrouwen;Meerderjarig kind;2001;220.0;72.0;128.0;14.0;;;5.0;71.0;65.0;11.0;43.0;5.0;3.0;;2.0
107;Mannen en vrouwen;Meerderjarig kind;2002;209.0;72.0;117.0;13.0;;;7.0;68.0;82.0;19.0;52.0;5.0;2.0;;3.0
108;Mannen en vrouwen;Meerderjarig kind;2003;187.0;61.0;106.0;14.0;;;5.0;54.0;100.0;24.0;59.0;10.0;2.0;;4.0
109;Mannen en vrouwen;Meerderjarig kind;2004;174.0;54.0;101.0;13.0;;;5.0;50.0;127.0;26.0;76.0;15.0;3.0;2.0;6.0
110;Mannen en vrouwen;Meerderjarig kind;2005;173.0;51.0;96.0;18.0;;;7.0;45.0;124.0;20.0;80.0;14.0;3.0;;6.0
111;Mannen en vrouwen;Meerderjarig kind;2006;201.0;58.0;115.0;21.0;;;7.0;;117.0;15.0;79.0;11.0;3.0;;8.0
112;Mannen en vrouwen;Overig lid van een huishouden;2000;28.0;9.0;14.0;2.0;;;2.0;9.0;14.0;2.0;7.0;;2.0;;
113;Mannen en vrouwen;Overig lid van een huishouden;2001;23.0;8.0;8.0;3.0;;;2.0;8.0;14.0;3.0;6.0;2.0;;;2.0
114;Mannen en vrouwen;Overig lid van een huishouden;2002;26.0;9.0;12.0;3.0;;;;10.0;17.0;2.0;8.0;3.0;;;2.0
115;Mannen en vrouwen;Overig lid van een huishouden;2003;23.0;7.0;10.0;4.0;;;2.0;5.0;23.0;5.0;11.0;2.0;;;2.0
116;Mannen en vrouwen;Overig lid van een huishouden;2004;20.0;6.0;9.0;2.0;;;2.0;6.0;25.0;3.0;12.0;6.0;2.0;;2.0
117;Mannen en vrouwen;Overig lid van een huishouden;2005;29.0;12.0;9.0;4.0;;;2.0;10.0;27.0;6.0;11.0;4.0;2.0;2.0;2.0
118;Mannen en vrouwen;Overig lid van een huishouden;2006;25.0;8.0;10.0;3.0;;;2.0;9.0;25.0;3.0;10.0;5.0;2.0;2.0;3.0
119;Mannen en vrouwen;CWI ingeschreven;2000;43.0;14.0;10.0;6.0;;6.0;6.0;10.0;191.0;37.0;24.0;46.0;21.0;30.0;33.0
120;Mannen en vrouwen;CWI ingeschreven;2001;33.0;10.0;7.0;6.0;;4.0;5.0;8.0;173.0;42.0;20.0;39.0;22.0;25.0;25.0
121;Mannen en vrouwen;CWI ingeschreven;2002;34.0;14.0;7.0;6.0;2.0;3.0;2.0;10.0;195.0;63.0;22.0;45.0;23.0;21.0;22.0
122;Mannen en vrouwen;CWI ingeschreven;2003;36.0;11.0;8.0;6.0;2.0;5.0;5.0;8.0;282.0;100.0;30.0;71.0;29.0;24.0;28.0
123;Mannen en vrouwen;CWI ingeschreven;2004;42.0;12.0;9.0;9.0;3.0;4.0;5.0;9.0;353.0;107.0;34.0;107.0;41.0;32.0;33.0
124;Mannen en vrouwen;CWI ingeschreven;2005;45.0;13.0;7.0;14.0;2.0;4.0;5.0;9.0;348.0;95.0;33.0;114.0;41.0;30.0;35.0
125;Mannen en vrouwen;CWI ingeschreven;2006;52.0;15.0;8.0;15.0;3.0;5.0;7.0;385.0;283.0;64.0;18.0;105.0;36.0;32.0;28.0
126;Mannen en vrouwen;Onderwijsniveau: lager;2000;352.0;135.0;107.0;38.0;6.0;32.0;34.0;126.0;338.0;31.0;75.0;55.0;47.0;87.0;43.0
127;Mannen en vrouwen;Onderwijsniveau: lager;2001;356.0;140.0;127.0;39.0;6.0;31.0;15.0;136.0;322.0;39.0;84.0;48.0;44.0;80.0;28.0
128;Mannen en vrouwen;Onderwijsniveau: lager;2002;329.0;139.0;109.0;36.0;6.0;24.0;15.0;132.0;325.0;47.0;91.0;45.0;37.0;72.0;32.0
129;Mannen en vrouwen;Onderwijsniveau: lager;2003;268.0;103.0;94.0;33.0;6.0;17.0;15.0;95.0;381.0;69.0;96.0;63.0;48.0;72.0;32.0
130;Mannen en vrouwen;Onderwijsniveau: lager;2004;230.0;81.0;89.0;32.0;5.0;12.0;10.0;75.0;397.0;60.0;103.0;78.0;45.0;81.0;30.0
131;Mannen en vrouwen;Onderwijsniveau: lager;2005;223.0;77.0;81.0;38.0;3.0;11.0;13.0;67.0;414.0;52.0;113.0;82.0;49.0;81.0;36.0
132;Mannen en vrouwen;Onderwijsniveau: lager;2006;265.0;88.0;95.0;42.0;5.0;16.0;19.0;80.0;385.0;42.0;107.0;77.0;49.0;73.0;38.0
133;Mannen en vrouwen;Onderwijsniveau: middelbaar;2000;505.0;252.0;136.0;53.0;4.0;24.0;35.0;239.0;262.0;37.0;49.0;41.0;32.0;66.0;37.0
134;Mannen en vrouwen;Onderwijsniveau: middelbaar;2001;500.0;263.0;114.0;62.0;5.0;29.0;27.0;254.0;245.0;47.0;48.0;40.0;28.0;53.0;29.0
135;Mannen en vrouwen;Onderwijsniveau: middelbaar;2002;450.0;233.0;108.0;52.0;5.0;27.0;26.0;221.0;266.0;60.0;51.0;44.0;27.0;57.0;26.0
136;Mannen en vrouwen;Onderwijsniveau: middelbaar;2003;389.0;195.0;95.0;55.0;5.0;17.0;23.0;182.0;324.0;75.0;60.0;58.0;37.0;56.0;37.0
137;Mannen en vrouwen;Onderwijsniveau: middelbaar;2004;328.0;156.0;82.0;49.0;4.0;14.0;22.0;146.0;400.0;84.0;74.0;86.0;41.0;68.0;47.0
138;Mannen en vrouwen;Onderwijsniveau: middelbaar;2005;342.0;160.0;79.0;60.0;4.0;15.0;23.0;146.0;439.0;83.0;80.0;102.0;45.0;77.0;53.0
139;Mannen en vrouwen;Onderwijsniveau: middelbaar;2006;403.0;186.0;97.0;68.0;4.0;18.0;30.0;173.0;403.0;64.0;70.0;96.0;46.0;77.0;50.0
140;Mannen en vrouwen;Onderwijsniveau: hoger;2000;286.0;150.0;76.0;28.0;;13.0;18.0;147.0;115.0;25.0;19.0;21.0;9.0;17.0;24.0
141;Mannen en vrouwen;Onderwijsniveau: hoger;2001;287.0;158.0;64.0;32.0;2.0;13.0;18.0;156.0;105.0;26.0;14.0;20.0;10.0;19.0;17.0
142;Mannen en vrouwen;Onderwijsniveau: hoger;2002;277.0;161.0;56.0;34.0;;10.0;15.0;161.0;120.0;32.0;19.0;21.0;10.0;19.0;20.0
143;Mannen en vrouwen;Onderwijsniveau: hoger;2003;248.0;131.0;56.0;32.0;2.0;9.0;18.0;127.0;155.0;48.0;20.0;31.0;14.0;17.0;26.0
144;Mannen en vrouwen;Onderwijsniveau: hoger;2004;244.0;132.0;54.0;35.0;2.0;7.0;14.0;127.0;194.0;45.0;31.0;44.0;18.0;27.0;29.0
145;Mannen en vrouwen;Onderwijsniveau: hoger;2005;252.0;131.0;62.0;40.0;;6.0;12.0;127.0;184.0;47.0;26.0;44.0;17.0;23.0;27.0
146;Mannen en vrouwen;Onderwijsniveau: hoger;2006;297.0;160.0;64.0;44.0;2.0;8.0;19.0;151.0;171.0;31.0;26.0;42.0;17.0;26.0;29.0
147;Mannen en vrouwen;Onderwijsniveau: onbekend;2000;4.0;2.0;;;;;;2.0;2.0;;;;;;
148;Mannen en vrouwen;Onderwijsniveau: onbekend;2001;6.0;3.0;2.0;;;;;2.0;4.0;;;;;;
149;Mannen en vrouwen;Onderwijsniveau: onbekend;2002;4.0;2.0;;;;;;2.0;2.0;;;;;;
150;Mannen en vrouwen;Onderwijsniveau: onbekend;2003;4.0;3.0;;;;;;3.0;4.0;;;;;;
151;Mannen en vrouwen;Onderwijsniveau: onbekend;2004;5.0;3.0;2.0;;;;;2.0;13.0;4.0;;3.0;2.0;;
152;Mannen en vrouwen;Onderwijsniveau: onbekend;2005;3.0;;;;;;;;10.0;2.0;;2.0;2.0;2.0;
153;Mannen en vrouwen;Onderwijsniveau: onbekend;2006;7.0;3.0;2.0;;;;;3.0;11.0;;2.0;2.0;2.0;2.0;
154;Mannen en vrouwen;Autochtonen;2000;909.0;444.0;243.0;94.0;9.0;53.0;67.0;427.0;490.0;68.0;91.0;81.0;65.0;124.0;60.0
155;Mannen en vrouwen;Autochtonen;2001;903.0;465.0;237.0;97.0;10.0;52.0;41.0;454.0;462.0;75.0;95.0;77.0;59.0;119.0;36.0
156;Mannen en vrouwen;Autochtonen;2002;839.0;441.0;210.0;94.0;9.0;41.0;43.0;428.0;485.0;97.0;107.0;74.0;55.0;109.0;44.0
157;Mannen en vrouwen;Autochtonen;2003;714.0;358.0;188.0;89.0;10.0;31.0;39.0;339.0;561.0;128.0;105.0;100.0;73.0;106.0;49.0
158;Mannen en vrouwen;Autochtonen;2004;626.0;303.0;171.0;87.0;8.0;24.0;33.0;287.0;651.0;133.0;130.0;134.0;75.0;123.0;56.0
159;Mannen en vrouwen;Autochtonen;2005;644.0;307.0;167.0;105.0;7.0;20.0;37.0;287.0;682.0;126.0;133.0;149.0;78.0;130.0;66.0
