ID;TypeZelfstandigOndernemer;Marges;Perioden;ErgSnelWerken_1;HeelVeelWerkDoen_2;ExtraHardWerken_3;ZelfBeslissen_4;VolgordeWerkzaamhedenBepalen_5;WerktempoBepalen_6;OplossingenBedenken_7;VerlofNemen_8;EmotioneelMoeilijkeWerksituatie_9;EmotioneelVeeleisendWerk_10;EmotioneelBetrokkenBijWerk_11;OngewensteSeksueleAandacht_12;Intimidatie_13;LichamelijkGeweld_14;Pesten_15;PsychischeVermoeidheidDoorHetWerk_16;EmotioneelUitgeput_17;LeegVoelen_18;SOchtendsMoeVoelen_19;VergtVeelOmMetMensenTeWerken_20;UitgeputDoorWerk_21
53;Zelfstandig ondernemer z.p.-producten;Ondergrens 95%-interval;2021;19.8;36.8;23.9;90.2;90.2;87.0;85.4;57.4;;;;1.0;6.2;0.8;2.5;5.3;5.0;12.5;7.2;5.3;4.5
54;Zelfstandig ondernemer z.p.-producten;Ondergrens 95%-interval;2023;18.2;32.9;21.0;86.8;86.2;85.9;83.8;57.9;;;;2.1;9.6;1.5;3.9;8.9;9.2;16.4;10.2;7.1;7.2
55;Zelfstandig ondernemer z.p.-producten;Bovengrens 95%-interval;2015;22.7;39.4;26.0;94.5;93.6;92.2;89.4;58.8;3.8;7.9;19.2;2.9;11.5;2.8;6.5;8.0;7.0;17.8;11.6;8.0;7.6
56;Zelfstandig ondernemer z.p.-producten;Bovengrens 95%-interval;2017;22.7;40.2;26.5;94.2;93.1;89.8;88.6;58.6;;;;5.3;10.2;3.1;5.1;11.1;10.4;20.4;13.7;9.1;10.0
57;Zelfstandig ondernemer z.p.-producten;Bovengrens 95%-interval;2019;25.0;39.9;28.6;94.8;94.8;91.6;90.5;62.6;;;;2.7;10.7;3.8;5.6;9.6;8.9;20.0;12.0;8.6;8.9
58;Zelfstandig ondernemer z.p.-producten;Bovengrens 95%-interval;2021;24.4;42.3;28.9;93.3;93.4;90.6;89.1;62.9;;;;2.5;9.1;2.2;4.7;8.1;7.7;16.5;10.4;8.1;7.1
59;Zelfstandig ondernemer z.p.-producten;Bovengrens 95%-interval;2023;23.4;38.9;26.4;91.0;90.3;90.1;88.2;64.0;;;;4.3;13.6;3.3;6.8;13.1;13.4;21.4;14.7;10.9;11.0
60;Zelfstandig ondernemer met personeel;Waarde;2015;38.1;52.3;38.7;92.0;89.0;79.9;89.0;43.8;6.2;10.7;20.7;4.9;17.4;3.4;5.1;9.3;9.2;21.6;12.6;8.9;7.7
61;Zelfstandig ondernemer met personeel;Waarde;2017;38.1;55.3;41.9;89.5;89.3;80.4;88.9;42.7;;;;3.6;15.1;2.8;4.7;11.0;9.2;22.7;14.3;11.5;8.6
62;Zelfstandig ondernemer met personeel;Waarde;2019;37.3;55.9;40.7;90.9;89.3;82.6;88.1;45.3;;;;4.0;13.8;3.1;4.5;13.4;12.9;23.7;15.1;12.2;10.7
63;Zelfstandig ondernemer met personeel;Waarde;2021;37.6;55.5;42.4;90.4;90.0;83.8;87.2;45.1;;;;3.7;13.6;2.8;5.2;12.6;11.6;22.7;13.6;14.1;8.6
64;Zelfstandig ondernemer met personeel;Waarde;2023;39.3;55.5;42.9;88.1;88.4;80.2;86.4;44.9;;;;5.0;17.5;3.0;3.9;14.8;15.1;26.6;17.4;14.6;10.7
65;Zelfstandig ondernemer met personeel;Ondergrens 95%-interval;2015;35.0;49.0;35.6;90.0;86.8;77.2;86.8;40.6;4.8;8.9;18.2;3.6;15.1;2.4;3.8;7.6;7.5;19.1;10.6;7.3;6.2
66;Zelfstandig ondernemer met personeel;Ondergrens 95%-interval;2017;35.3;52.3;39.0;87.5;87.2;78.0;86.8;39.8;;;;2.7;13.2;2.0;3.6;9.3;7.6;20.3;12.3;9.8;7.0
67;Zelfstandig ondernemer met personeel;Ondergrens 95%-interval;2019;34.4;52.9;37.7;89.0;87.2;80.1;86.0;42.2;;;;3.0;11.9;2.2;3.3;11.4;11.0;21.1;13.0;10.3;8.9
68;Zelfstandig ondernemer met personeel;Ondergrens 95%-interval;2021;35.0;52.8;39.7;88.6;88.2;81.6;85.2;42.4;;;;2.8;11.8;2.1;4.1;10.8;9.9;20.4;11.7;12.3;7.1
69;Zelfstandig ondernemer met personeel;Ondergrens 95%-interval;2023;36.3;52.3;39.8;85.8;86.3;77.6;84.1;41.7;;;;3.9;15.3;2.0;2.8;12.7;13.0;23.9;15.1;12.5;8.9
70;Zelfstandig ondernemer met personeel;Bovengrens 95%-interval;2015;41.3;55.5;42.0;93.6;90.8;82.4;90.9;47.0;7.9;12.7;23.5;6.5;20.0;4.9;6.8;11.3;11.1;24.4;15.0;10.9;9.5
71;Zelfstandig ondernemer met personeel;Bovengrens 95%-interval;2017;41.1;58.2;44.8;91.3;91.0;82.7;90.6;45.6;;;;4.9;17.3;3.8;6.1;12.9;11.0;25.2;16.6;13.5;10.4
72;Zelfstandig ondernemer met personeel;Bovengrens 95%-interval;2019;40.4;59.0;43.8;92.6;91.1;84.8;90.0;48.4;;;;5.3;15.9;4.3;6.0;15.6;15.2;26.4;17.4;14.4;12.9
73;Zelfstandig ondernemer met personeel;Bovengrens 95%-interval;2021;40.4;58.3;45.2;91.9;91.5;85.7;89.0;47.8;;;;4.9;15.5;3.9;6.7;14.6;13.5;25.0;15.6;16.2;10.3
74;Zelfstandig ondernemer met personeel;Bovengrens 95%-interval;2023;42.5;58.7;46.1;90.0;90.3;82.6;88.5;48.0;;;;6.5;19.9;4.3;5.3;17.2;17.6;29.5;20.0;17.0;12.9
