ID;BedrijfstakkenBranchesSBI2008;Marges;Seizoencorrectie;Perioden;Ondernemersvertrouwen_1;OntwikkelingEconomischKlimaat_2;VerwachtingEconomischKlimaat_3;OnzekerheidsindicatorEconomischKlimaat_4
86;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2019 maart;;;;
87;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2019 april;2.1;2.2;2.0;
88;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2019 mei;;;;
89;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2019 juni;;;;
90;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2019 juli;1.2;0.4;2.0;
91;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2019 augustus;;;;
92;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2019 september;;;;
93;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2019 oktober;-3.7;-4.1;-3.4;
94;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2019 november;;;;
95;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2019 december;;;;
96;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2020 januari;-0.6;-1.9;0.6;
97;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2020 februari;;;;
98;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2020 maart;;;;
99;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2020 april;-51.1;-33.7;-68.6;
100;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2020 mei;;;;
101;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2020 juni;;;;
102;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2020 juli;-22.2;-41.0;-3.4;
103;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2020 augustus;;;;
104;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2020 september;;;;
105;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2020 oktober;-15.2;-11.9;-18.5;
106;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2020 november;;;;
107;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2020 december;;;;
108;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2021 januari;-11.1;-14.7;-7.6;
109;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2021 februari;;;;
110;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2021 maart;;;;
111;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2021 april;0.2;-5.6;6.0;
112;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2021 mei;;;;
113;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2021 juni;;;;
114;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2021 juli;13.3;13.1;13.5;
115;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2021 augustus;;;;
116;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2021 september;;;;
117;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2021 oktober;14.0;15.1;12.9;
118;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2021 november;;;;
119;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2021 december;;;;
120;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2022 januari;-0.5;-2.0;0.9;
121;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2022 februari;;;;
122;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2022 maart;;;;
123;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2022 april;-7.3;-6.6;-8.1;
124;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2022 mei;;;;
125;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2022 juni;;;;
126;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2022 juli;-10.5;-11.2;-9.8;
127;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2022 augustus;;;;
128;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2022 september;;;;
129;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2022 oktober;-20.8;-19.4;-22.1;
130;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2022 november;;;;
131;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2022 december;;;;
132;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2023 januari;-12.2;-13.3;-11.1;
133;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2023 februari;;;;
134;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2023 maart;;;;
135;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2023 april;-6.5;-7.9;-5.0;
136;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2023 mei;;;;
137;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2023 juni;;;;
138;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2023 juli;-7.0;-8.0;-6.0;
139;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2023 augustus;;;;
140;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2023 september;;;;
141;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2023 oktober;-9.2;-11.1;-7.3;
142;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2023 november;;;;
143;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2023 december;;;;
144;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2024 januari;-7.1;-10.0;-4.2;
145;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2024 februari;;;;
146;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2024 maart;;;;
147;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2024 april;-5.8;-9.2;-2.4;
148;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2024 mei;;;;
149;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2024 juni;;;;
150;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2024 juli;-3.4;-5.6;-1.2;
151;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2024 augustus;;;;
152;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2024 september;;;;
153;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2024 oktober;-3.2;-6.3;-0.2;
154;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2024 november;;;;
155;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2024 december;;;;
156;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2025 januari;-5.4;-8.4;-2.4;
157;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2025 februari;;;;
158;Totaal (ex. financieel of nutsbedrijven);Waarde;Seizoengecorrigeerde cijfers;2025 maart;;;;
159;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2012 januari;;;;
160;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2012 februari;;;;
161;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2012 maart;;;;
162;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2012 april;;;;
163;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2012 mei;;;;
164;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2012 juni;;;;
165;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2012 juli;;;;
166;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2012 augustus;;;;
167;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2012 september;;;;
168;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2012 oktober;;;;
169;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2012 november;;;;
170;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2012 december;;;;
171;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2013 januari;;;;
172;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2013 februari;;;;
173;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2013 maart;;;;
174;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2013 april;;;;
175;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2013 mei;;;;
176;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2013 juni;;;;
177;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2013 juli;;;;
178;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2013 augustus;;;;
179;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2013 september;;;;
180;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2013 oktober;;;;
181;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2013 november;;;;
182;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2013 december;;;;
183;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2014 januari;-3.6;-8.0;0.5;
184;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2014 februari;;;;
185;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2014 maart;;;;
186;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2014 april;0.6;-2.0;3.1;
187;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2014 mei;;;;
188;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2014 juni;;;;
189;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2014 juli;-0.6;-3.9;2.5;
190;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2014 augustus;;;;
191;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2014 september;;;;
192;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2014 oktober;-1.1;-4.1;1.4;
193;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2014 november;;;;
194;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2014 december;;;;
195;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2015 januari;0.8;-1.5;2.5;
196;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2015 februari;;;;
197;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2015 maart;;;;
198;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2015 april;3.6;3.2;3.7;
199;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2015 mei;;;;
200;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2015 juni;;;;
201;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2015 juli;6.1;5.9;6.1;
202;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2015 augustus;;;;
203;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2015 september;;;;
204;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2015 oktober;6.5;5.5;7.1;
205;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2015 november;;;;
206;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2015 december;;;;
207;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2016 januari;7.6;7.0;7.9;
208;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2016 februari;;;;
209;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2016 maart;;;;
210;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2016 april;4.5;4.8;3.9;
211;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2016 mei;;;;
212;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2016 juni;;;;
213;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2016 juli;4.6;4.2;4.6;
214;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2016 augustus;;;;
215;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2016 september;;;;
216;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2016 oktober;8.4;7.8;8.5;
217;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2016 november;;;;
218;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2016 december;;;;
219;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2017 januari;13.1;13.6;12.4;
220;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2017 februari;;;;
221;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2017 maart;;;;
222;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2017 april;12.2;13.6;10.6;
223;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2017 mei;;;;
224;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2017 juni;;;;
225;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2017 juli;11.4;12.7;9.8;
226;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2017 augustus;;;;
227;Totaal (ex. financieel of nutsbedrijven);Ondergrens 95%-interval;Seizoengecorrigeerde cijfers;2017 september;;;;
