ID;Perioden;Bibliotheekorganisaties_1;Bibliotheekvestigingen_2;Leden_3;Totaal_4;Boeken_5;Totaal_6;Boeken_7;OverheidsuitgavenVoorBibliotheken_8
66;1966;;658.0;912.0;8438.0;8389.0;34238.0;34039.0;22.3
67;1967;;689.0;1015.0;9177.0;9161.0;38229.0;38162.0;25.3
68;1968;;674.0;1154.0;10077.0;10076.0;45164.0;45160.0;27.9
69;1969;;684.0;1293.0;10995.0;10995.0;51024.0;51024.0;35.2
70;1970;;716.0;1497.0;12476.0;12475.0;58681.0;58676.0;38.6
71;1971;;745.0;1803.0;14415.0;14414.0;65642.0;65637.0;45.6
72;1972;;761.0;1973.0;15390.0;15389.0;77273.0;77267.0;54.5
73;1973;;788.0;2134.0;17053.0;16586.0;84717.0;83463.0;69.5
74;1974;;825.0;2329.0;18558.0;18050.0;96307.0;93972.0;84.2
75;1975;;846.0;2887.0;20367.0;19585.0;113496.0;110745.0;110.8
76;1976;;875.0;3371.0;22894.0;22015.0;129778.0;126632.0;136.2
77;1977;;895.0;3609.0;25021.0;24087.0;139446.0;136066.0;163.4
78;1978;;931.0;3697.0;27368.0;26346.0;143803.0;140317.0;186.0
79;1979;;970.0;3875.0;29870.0;28400.0;151852.0;148171.0;218.5
80;1980;517.0;1007.0;4008.0;32319.0;30728.0;161911.0;157986.0;235.6
81;1981;537.0;1044.0;4117.0;34812.0;33098.0;170352.0;165503.0;249.2
82;1982;535.0;1066.0;4270.0;36773.0;34791.0;177983.0;172473.0;267.4
83;1983;549.0;1095.0;4160.0;38169.0;36112.0;179735.0;174367.0;284.1
84;1984;561.0;1122.0;4093.0;39663.0;37276.0;173726.0;166356.0;280.4
85;1985;577.0;1141.0;4161.0;41235.0;38753.0;172089.0;164320.0;274.0
86;1986;582.0;1162.0;4182.0;42098.0;39572.0;175617.0;168064.0;285.0
87;1987;582.0;1169.0;4220.0;43675.0;40921.0;179882.0;169367.0;306.1
88;1988;597.0;1170.0;4246.0;43780.0;40776.0;185443.0;174182.0;307.0
89;1989;605.0;1188.0;4261.0;43940.0;40916.0;184946.0;173944.0;296.0
90;1990;606.0;1165.0;4346.0;44525.0;41515.0;185724.0;173009.0;295.7
91;1991;602.0;1167.0;4378.0;44526.0;41498.0;183500.0;169927.0;312.1
92;1992;603.0;1190.0;4512.0;44807.0;41781.0;185145.0;171705.0;
93;1993;607.0;1161.0;4555.0;44593.0;41478.0;184937.0;171329.0;
94;1994;602.0;1145.0;4587.0;44487.0;41253.0;182716.0;168980.0;328.0
95;1995;605.0;1151.0;4549.0;44229.0;41025.0;179566.0;166242.0;299.3
96;1996;580.0;;4366.0;44615.0;41411.0;165138.0;152885.0;
97;1997;579.0;;4443.0;44693.0;41489.0;170973.0;158286.0;
98;1998;551.0;;4484.0;44198.0;40994.0;167384.0;154964.0;315.4
99;1999;544.0;;4328.0;43277.0;38661.0;158167.0;144697.0;377.0
100;2000;542.0;;4312.0;42859.0;38096.0;155146.0;141444.0;393.0
101;2001;508.0;;4328.0;42760.0;37992.0;152022.0;137871.0;440.0
102;2002;483.0;;4290.0;41472.0;36671.0;146509.0;132753.0;456.0
103;2003;473.0;;4206.0;40109.0;35371.0;142983.0;129012.0;479.0
104;2004;467.0;;4150.0;38701.0;34111.0;138663.0;124748.0;493.0
105;2005;351.0;;4069.0;37464.0;33068.0;134624.0;121786.0;496.0
106;2006;238.0;;4001.0;33883.0;31158.0;126591.0;120520.0;534.0
107;2007;202.0;;4011.0;33921.0;31211.0;124680.0;118673.0;559.0
108;2008;194.0;;3969.0;33711.0;31047.0;112592.0;106789.0;564.0
109;2009;171.0;;4027.0;32088.0;29299.0;104851.0;98342.0;595.0
110;2010;166.0;;3996.0;31323.0;28532.0;100102.0;93398.0;596.0
111;2011;163.0;;4009.0;30667.0;27922.0;100025.0;93028.0;605.0
112;2012;162.0;;3970.0;29120.0;26487.0;92332.0;85193.0;610.0
113;2013;160.0;;3858.0;27411.0;24837.0;84397.0;77701.0;
114;2014;157.0;;3784.0;26561.0;24243.0;80396.0;73374.0;
115;2015;156.0;;3784.0;25254.0;23129.0;78069.0;72728.0;
116;2016;154.0;;3716.0;24859.0;22924.0;73468.0;68811.0;
117;2017;149.0;;3704.0;25201.0;23342.0;71490.0;67380.0;
118;2018;146.0;;3655.0;24471.0;22717.0;66608.0;63307.0;
119;2019;145.0;;3620.0;24378.0;22798.0;63844.0;61099.0;
120;2020;140.0;;3492.0;24818.0;23382.0;44958.0;43428.0;
121;2021;139.0;;3330.0;23817.0;22607.0;40772.0;39794.0;
122;2022;137.0;;3433.0;23786.0;22698.0;53684.0;52647.0;
123;2023;133.0;;3605.0;23783.0;22217.0;56790.0;53592.0;
