ID;StandenEnBeroepOpDeKapitaalmarkt;Perioden;Totaal_1;TotaalBeleggingsfondsen_2;TotaalAandelenfondsen_3;TotaalRegiofondsen_4;Nederland_5;Europa_6;NoordAmerika_7;Azie_8;Wereldwijd_9;Overig_10;Sectorfondsen_11;TotaalObligatiefondsen_12;EuroGebied_13;Wereldwijd_14;Overige_15;Depositofondsen_16;Mixfondsen_17;Trackers_18;OverigeFondsen_19;TotaalVastgoedfondsen_20;DirecteVastgoedfondsen_21;IndirecteVastgoedfondsen_22
41;5;2010 juni;1232;1111;156;136;62;4;4;0;62;4;20;161;97;61;4;3;26;745;21;120;118;2
42;5;2010 juli;1139;1137;101;80;12;7;3;2;56;1;20;141;107;34;1;0;139;745;11;2;2;0
43;5;2010 augustus;1024;1024;118;111;10;16;2;0;83;0;7;52;22;30;0;2;8;838;6;0;0;0
44;5;2010 september;1267;1265;214;194;15;52;1;0;116;10;21;98;32;62;4;1;138;804;10;1;0;1
45;5;2010 oktober;1859;1853;258;234;32;9;3;8;171;11;23;58;7;51;0;0;13;1521;3;7;0;7
46;5;2010 november;1527;1526;210;198;65;17;6;7;97;6;13;111;44;67;0;1;66;1135;2;1;0;0
47;5;2010 december;1386;1347;159;148;13;13;8;3;103;8;12;19;1;18;0;0;7;1161;0;39;39;0
48;5;2011 januari;1652;1649;233;220;53;16;36;7;100;8;13;42;17;24;0;1;35;1337;2;3;2;1
49;5;2011 februari;1070;1037;198;178;14;14;8;5;136;0;20;41;6;36;0;0;15;770;12;33;0;33
50;5;2011 maart;1283;1275;170;148;8;28;12;1;99;0;22;68;33;35;0;28;42;954;14;8;0;8
51;5;2011 april;1226;1226;238;138;7;60;1;4;64;1;100;57;46;11;1;21;122;782;6;0;0;0
52;5;2011 mei;2449;2367;177;125;29;47;2;0;47;0;52;291;241;50;0;58;1182;653;7;82;76;6
53;5;2011 juni;1126;1124;94;85;11;3;1;0;68;2;9;67;23;45;0;0;47;907;9;2;0;2
54;5;2011 juli;773;771;39;32;3;4;0;0;25;0;6;24;14;10;0;0;7;697;4;2;2;0
55;5;2011 augustus;1243;1238;193;177;1;15;28;0;132;0;16;1;0;1;0;0;1;922;121;5;4;0
56;5;2011 september;402;402;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;400;0;0;0;0
57;5;2011 oktober;1128;1127;287;267;5;27;3;2;230;0;21;55;18;36;0;2;4;779;1;1;0;1
58;5;2011 november;1194;1193;236;200;6;8;0;9;177;0;36;135;10;124;0;0;65;736;21;0;0;0
59;5;2011 december;1143;1104;209;200;0;16;6;1;176;0;9;82;77;4;1;2;31;736;45;39;38;1
60;5;2012 januari;1186;1185;78;72;1;6;1;0;64;0;6;58;26;32;0;0;9;1024;16;1;1;0
61;5;2012 februari;1247;1247;68;62;0;3;1;1;57;0;6;18;0;18;0;1;1;1157;3;0;0;0
62;5;2012 maart;1468;1465;183;160;105;3;0;4;46;2;23;49;31;18;0;2;69;1160;1;2;2;0
63;5;2012 april;821;796;286;228;4;167;3;1;53;0;57;41;22;18;0;0;12;454;4;25;25;0
64;5;2012 mei;702;672;101;67;9;8;0;0;50;0;35;44;19;25;0;1;19;491;15;31;29;2
65;5;2012 juni;826;815;81;75;9;26;0;0;39;0;6;52;29;23;0;1;11;660;10;12;10;2
66;5;2012 juli;1802;1669;109;102;13;10;0;0;79;0;7;22;11;11;0;5;9;1522;3;133;133;0
67;5;2012 augustus;882;882;30;27;0;3;6;6;12;0;3;48;25;22;0;0;0;802;2;0;0;0
68;5;2012 september;961;953;138;123;37;16;1;0;69;0;15;81;70;11;0;2;2;718;12;7;7;0
69;5;2012 oktober;2115;2114;166;160;19;8;7;5;120;1;7;119;86;34;0;5;23;1796;4;2;1;1
70;5;2012 november;1157;1155;141;124;62;15;2;2;41;2;17;41;12;29;0;8;39;921;6;2;2;0
71;5;2012 december;1797;1789;147;145;13;9;63;1;59;0;2;34;15;19;0;1;0;1563;44;8;8;0
72;5;2013 januari;2470;2469;137;126;18;36;3;2;65;3;12;153;107;46;0;1;81;2091;5;1;0;1
73;5;2013 februari;1293;1292;152;109;10;13;1;0;84;1;43;74;13;60;0;0;1;1062;2;1;1;0
74;5;2013 maart;1099;1099;188;171;9;6;14;5;137;0;17;45;7;38;0;1;65;798;2;0;0;0
75;5;2013 april;1514;1512;198;155;29;21;1;10;95;0;42;50;28;22;0;4;86;1163;13;2;0;2
76;5;2013 mei;1655;1542;209;190;49;7;15;3;116;0;18;58;1;57;0;1;5;1262;7;114;113;0
77;5;2013 juni;1916;1791;177;126;16;7;5;5;89;4;51;42;25;17;0;0;8;1553;12;124;74;50
78;5;2013 juli;1986;1945;167;140;11;27;5;5;92;0;26;12;4;8;0;0;23;1734;10;40;0;40
79;5;2013 augustus;1887;1881;112;104;16;2;1;3;82;0;8;7;0;7;0;0;2;1750;10;6;0;6
80;5;2013 september;1174;1118;93;62;6;28;1;4;23;0;31;27;25;2;0;1;13;982;2;56;22;34
81;5;2013 oktober;2432;2414;278;219;56;23;8;62;71;0;59;17;6;11;0;0;2;2112;5;18;0;18
82;5;2013 november;1980;1677;229;204;28;15;8;3;147;3;25;30;17;13;0;0;37;1376;4;303;301;3
83;5;2013 december;957;925;118;103;30;16;20;1;35;0;16;61;37;24;0;2;3;678;62;32;32;0
84;5;2014 januari;9507;9501;2055;2011;322;187;13;6;1432;52;44;13;2;10;0;0;251;7052;131;6;0;6
85;5;2014 februari;2418;2317;58;50;3;4;20;2;18;3;8;46;30;16;0;1;5;2195;11;101;1;100
86;5;2014 maart;1423;1408;339;332;42;6;11;3;266;4;7;26;4;22;0;1;68;969;4;15;0;15
87;5;2014 april;238;222;108;101;6;39;8;6;42;0;6;91;9;82;0;2;7;0;14;15;0;15
88;5;2014 mei;864;853;564;482;47;420;3;2;10;0;81;217;207;10;0;1;50;0;21;11;1;10
89;5;2014 juni;243;160;48;34;15;2;1;4;9;2;15;72;46;26;0;3;18;0;20;83;82;1
90;5;2014 juli;127;118;104;91;7;0;3;0;77;3;13;10;0;10;0;0;3;0;0;9;0;9
91;5;2014 augustus;217;212;154;122;0;7;81;9;26;0;31;47;12;35;0;0;3;0;9;4;0;4
92;5;2014 september;4057;4055;53;48;0;0;28;1;18;1;5;51;4;47;0;0;13;3935;2;1;1;0
93;5;2014 oktober;257;248;197;189;3;1;9;2;174;0;9;23;9;15;0;0;13;4;9;10;0;10
94;5;2014 november;291;283;76;66;3;10;43;2;10;0;10;159;94;65;1;0;40;0;7;8;1;7
95;5;2014 december;1285;731;555;500;1;215;5;0;279;0;56;81;34;47;0;1;10;66;17;555;550;5
96;5;2015 januari;218;151;83;48;6;11;31;0;0;0;35;53;11;42;0;1;9;0;4;68;20;48
97;5;2015 februari;541;538;479;451;6;17;89;2;337;0;28;38;7;31;0;0;12;0;9;3;0;3
98;5;2015 maart;601;600;428;413;3;5;9;1;395;0;14;111;23;88;0;1;53;0;7;0;0;0
99;5;2015 april;578;261;122;103;96;2;3;2;1;0;19;116;4;112;0;1;13;0;8;317;312;5
100;5;2015 mei;2505;2335;535;490;3;471;4;0;12;0;45;1778;1767;11;0;0;19;0;3;170;165;5
101;5;2015 juni;349;87;70;59;11;1;15;1;15;16;11;2;0;2;0;0;12;0;3;262;260;2
102;5;2015 juli;231;224;104;75;7;7;21;0;38;2;29;8;4;3;0;3;97;0;11;7;0;7
103;5;2015 augustus;490;485;333;290;15;20;92;12;150;0;43;142;1;142;0;1;8;0;1;5;0;5
104;5;2015 september;265;264;243;222;103;33;31;6;48;2;21;2;0;2;0;0;18;0;1;1;0;1
