ID;Plaatsnamen;Gemeentecode_1;Naam_2;Code_3;Naam_4;Code_5;NaamAfkorting_6;PTTWoonplaatsnaam_7;Gemeentenaam_8
5239;Stuivezand;879;Zundert                    ;104;Gebied om Breda                                   ;30;NB. ;nee;nee
5240;Sumar;737;Tytsjerksteradiel          ;9;Fries zandgebied                                  ;21;F.  ;ja ;nee
5241;558;59;Achtkarspelen              ;9;Fries zandgebied                                  ;21;F.  ;ja ;nee
5242;559;59;Achtkarspelen              ;9;Fries zandgebied                                  ;21;F.  ;ja ;nee
5243;Susteren;974;Susteren                   ;124;Westelijke Mijnstreek                             ;31;L.  ;ja ;ja 
5244;431;53;Winsum                     ;6;Groninger centrale Weidestreek                    ;20;Gr. ;nee;nee
5245;Suwâld;737;Tytsjerksteradiel          ;9;Fries zandgebied                                  ;21;F.  ;ja ;nee
5246;Swaanwert;140;Littenseradiel             ;10;Fries weidegebied                                 ;21;F.  ;nee;nee
5247;Swalmen;975;Swalmen                    ;122;Overig Midden-Limburg ten oosten v. Maas          ;31;L.  ;ja ;ja 
5248;Swartbroek;988;Weert                      ;123;Midden-Limburg ten westen van de Maas             ;31;L.  ;nee;nee
5249;Sweikhuizen;962;Schinnen                   ;124;Westelijke Mijnstreek                             ;31;L.  ;ja ;nee
5250;699;80;Leeuwarden                 ;11;Leeuwarden                                        ;21;F.  ;ja ;nee
5251;Swier;951;Nuth                       ;125;Oostelijke Mijnstreek                             ;31;L.  ;nee;nee
5252;Swifterbant;303;Dronten                    ;129;Zuidelijke IJsselmeerpolders                      ;24;Fle.;ja ;nee
5253;Swolgen;993;Meerlo-Wanssum             ;120;Noord-Limburg                                     ;31;L.  ;ja ;nee
5254;Taarlo;136;Zuidlaren                  ;14;Noorddrents randgebied                            ;22;D.  ;ja ;nee
5255;Tabakshof;335;Montfoort                  ;49;Utrechts weidegebied                              ;26;U.  ;nee;nee
5256;247;37;Stadskanaal                ;4;Groninger Veenkolonien                            ;20;Gr. ;nee;nee
5257;Tappersheul;589;Oudewater                  ;49;Utrechts weidegebied                              ;26;U.  ;nee;nee
5258;Tasdijk;675;Hontenisse                 ;100;Overige gemeenten Oost-Zeeuwsch-Vlaander          ;29;Z.  ;nee;nee
5259;Teckop;632;Woerden                    ;49;Utrechts weidegebied                              ;26;U.  ;nee;nee
5260;Teeffelen;808;Lith                       ;111;Maaskant                                          ;30;NB. ;ja ;nee
5261;700;80;Leeuwarden                 ;11;Leeuwarden                                        ;21;F.  ;ja ;nee
5262;Tegelen;976;Tegelen                    ;121;Industriegebied Venlo-Beesel                      ;31;L.  ;ja ;ja 
5263;Telgt;233;Ermelo                     ;32;IJsselmeerkust                                    ;25;Gld.;nee;nee
5264;Tempel;595;Reeuwijk                   ;74;Gouda en omstreken                                ;28;ZH. ;nee;nee
5265;673;74;Heerenveen                 ;9;Fries zandgebied                                  ;21;F.  ;ja ;nee
5266;Terblijt;994;Valkenburg aan de Geul     ;127;Overige gemeenten Zuid-Limburg                    ;31;L.  ;nee;nee
5267;Terborg;295;Wisch                      ;29;Oude-IJsselgebied (oostelijk deel)                ;25;Gld.;ja ;nee
5268;Terdiek;412;Niedorp                    ;53;Westelijk West-Friesland                          ;27;NH. ;nee;nee
5269;Tereyken;1652;Gemert-Bakel               ;118;Brabantse Peel                                    ;30;NB. ;nee;nee
5270;Tergracht (ged.);737;Tytsjerksteradiel          ;9;Fries zandgebied                                  ;21;F.  ;nee;nee
5271;612;68;Ferwerderadeel             ;12;Friese bouwstreek                                 ;21;F.  ;nee;nee
5272;Terhagen;971;Stein                      ;124;Westelijke Mijnstreek                             ;31;L.  ;nee;nee
5273;Terheijden;1665;Made                       ;101;Zeekleigebied in Noord-Brabant                    ;30;NB. ;ja ;nee
5274;Terheijl;1699;Noordenveld                ;14;Noorddrents randgebied                            ;22;D.  ;nee;nee
5275;464;55;Boarnsterhim               ;10;Fries weidegebied                                 ;21;F.  ;ja ;nee
5276;Terhofstede;1698;Sluis-Aardenburg           ;98;West-Zeeuwsch-Vlaanderen                          ;29;Z.  ;nee;nee
5277;Terhorst;936;Margraten                  ;127;Overige gemeenten Zuid-Limburg                    ;31;L.  ;nee;nee
5278;395;51;Skarsterlân                ;10;Fries weidegebied                                 ;21;F.  ;ja ;nee
5279;Terlet;277;Rozendaal                  ;36;Overige gemeenten zuidelijke Veluwezoom           ;25;Gld.;nee;nee
