ID;SectorBranchesSIC2008;Periods;Employee_1;EmployedPerson_2;Employee_3;EmployedPerson_4;Total_5;NetTurnover_6;OtherRevenues_7;Total_8;Total_9;Total_10;InitialStockOfRawAndAuxiliaryMater_11;PurchasedRawAndAuxiliaryMaterials_12;ClosingStockRawAndAuxiliaryMat_13;Total_14;InitialStockOfCommodities_15;PurchasedCommodities_16;ClosingStockOfCommodities_17;PaymentsToSubcontractors_18;PurchaseValueNotElsewhereClassified_19;Total_20;GrossWagesAndSalaries_21;Total_22;EmployerPaidSocialInsurancePremiums_23;PensionAndEarlyRetirementPremiums_24;OtherSocialInsuranceCosts_25;OtherPersonnelCosts_26;Total_27;CostsOfEnergyUse_28;HousingCosts_29;EquipmentAndInventoryCosts_30;TransportCosts_31;SalesCosts_32;CommunicationCosts_33;CostsOfOtherServices_34;OtherLiabilities_35;DepreciationFixedAssets_36;OperatingResults_37;NetFinancialIncome_38;BalanceOfProvisions_39;NetExtraordinaryIncome_40;PreTaxResults_41
16;101 Slaughtering, processing of meat;2010;14.7;24.0;12.8;20.4;8435.0;8417.0;17.0;8168.0;6321.0;6007.0;153.0;6009.0;155.0;272.0;6.0;273.0;6.0;37.0;5.0;955.0;473.0;113.0;68.0;45.0;6.0;363.0;761.0;84.0;98.0;90.0;44.0;94.0;7.0;166.0;177.0;132.0;266.0;-18.0;-2.0;0.0;247.0
17;101 Slaughtering, processing of meat;2011;13.9;24.1;12.4;20.5;9269.0;9238.0;32.0;9048.0;7260.0;6856.0;111.0;6847.0;102.0;369.0;10.0;371.0;12.0;26.0;9.0;935.0;449.0;108.0;64.0;44.0;4.0;375.0;734.0;82.0;99.0;104.0;52.0;89.0;7.0;166.0;136.0;120.0;221.0;-23.0;-3.0;2.0;198.0
18;101 Slaughtering, processing of meat;2012;13.9;24.1;12.7;21.5;9869.0;9845.0;23.0;9724.0;7824.0;7534.0;140.0;7563.0;169.0;201.0;3.0;201.0;2.0;84.0;5.0;974.0;460.0;116.0;70.0;46.0;5.0;393.0;800.0;84.0;99.0;96.0;53.0;85.0;6.0;185.0;192.0;127.0;145.0;-18.0;-2.0;-3.0;122.0
19;101 Slaughtering, processing of meat;2013;14.3;25.5;12.7;22.6;10597.0;10572.0;25.0;10419.0;8489.0;8242.0;160.0;8217.0;135.0;204.0;7.0;204.0;7.0;39.0;5.0;1032.0;486.0;121.0;70.0;50.0;6.0;420.0;767.0;87.0;101.0;104.0;53.0;79.0;6.0;173.0;163.0;131.0;178.0;-30.0;-1.0;-13.0;134.0
20;1011 Slaughterhouses (no poultry);2009;5.3;9.2;4.8;8.2;4084.0;4061.0;23.0;4003.0;3325.0;3265.0;60.0;3265.0;60.0;21.0;0.0;20.0;0.0;31.0;8.0;364.0;169.0;40.0;26.0;15.0;3.0;152.0;269.0;36.0;30.0;23.0;13.0;40.0;2.0;72.0;52.0;44.0;81.0;-11.0;-1.0;-3.0;67.0
21;1011 Slaughterhouses (no poultry);2010;5.6;10.0;4.8;8.5;4005.0;3994.0;11.0;3899.0;3177.0;2999.0;65.0;3000.0;66.0;151.0;1.0;151.0;1.0;26.0;3.0;381.0;172.0;41.0;26.0;16.0;3.0;166.0;296.0;29.0;29.0;25.0;14.0;37.0;2.0;93.0;67.0;45.0;106.0;-8.0;-1.0;0.0;97.0
22;1011 Slaughterhouses (no poultry);2011;5.0;9.3;4.5;8.4;4365.0;4339.0;26.0;4296.0;3624.0;3470.0;23.0;3475.0;27.0;129.0;1.0;129.0;2.0;21.0;5.0;372.0;166.0;39.0;23.0;16.0;1.0;165.0;262.0;30.0;30.0;31.0;14.0;32.0;2.0;78.0;46.0;38.0;68.0;-13.0;-2.0;-3.0;50.0
23;1011 Slaughterhouses (no poultry);2012;4.9;9.4;4.4;8.8;4619.0;4611.0;8.0;4617.0;3899.0;3833.0;49.0;3859.0;74.0;17.0;0.0;17.0;0.0;47.0;2.0;383.0;163.0;40.0;25.0;15.0;2.0;178.0;292.0;30.0;29.0;27.0;17.0;35.0;2.0;88.0;65.0;43.0;3.0;-7.0;-1.0;-1.0;-7.0
24;1011 Slaughterhouses (no poultry);2013;4.0;8.6;3.7;8.0;4496.0;4486.0;10.0;4441.0;3804.0;3765.0;26.0;3762.0;23.0;22.0;0.0;23.0;1.0;16.0;0.0;355.0;148.0;36.0;21.0;15.0;2.0;169.0;241.0;30.0;29.0;31.0;15.0;35.0;2.0;68.0;33.0;42.0;54.0;-13.0;-2.0;-4.0;36.0
25;1012 Slaughterhouses (poultry);2009;3.0;5.1;2.7;4.1;2049.0;2051.0;-2.0;1980.0;1577.0;1442.0;5.0;1445.0;7.0;129.0;15.0;122.0;8.0;6.0;0.0;206.0;97.0;21.0;14.0;7.0;1.0;88.0;167.0;20.0;24.0;22.0;13.0;11.0;2.0;31.0;45.0;30.0;69.0;-3.0;0.0;0.0;66.0
26;1012 Slaughterhouses (poultry);2010;3.2;5.7;2.8;4.5;2157.0;2157.0;0.0;2071.0;1643.0;1541.0;25.0;1534.0;19.0;98.0;3.0;98.0;3.0;4.0;0.0;219.0;104.0;22.0;14.0;8.0;1.0;92.0;179.0;20.0;24.0;23.0;18.0;13.0;2.0;25.0;55.0;29.0;86.0;-3.0;0.0;0.0;82.0
27;1012 Slaughterhouses (poultry);2011;3.4;6.5;3.1;4.9;2455.0;2455.0;1.0;2351.0;1882.0;1770.0;18.0;1763.0;11.0;108.0;6.0;108.0;7.0;5.0;0.0;238.0;107.0;25.0;16.0;9.0;1.0;106.0;203.0;21.0;26.0;31.0;25.0;19.0;2.0;33.0;44.0;28.0;104.0;-3.0;0.0;4.0;105.0
28;1012 Slaughterhouses (poultry);2012;3.4;6.3;3.1;5.2;2680.0;2669.0;11.0;2588.0;2083.0;1964.0;11.0;1970.0;16.0;103.0;0.0;103.0;0.0;15.0;1.0;242.0;107.0;26.0;17.0;9.0;1.0;108.0;235.0;22.0;28.0;29.0;24.0;17.0;1.0;45.0;70.0;28.0;91.0;-4.0;0.0;2.0;89.0
29;1012 Slaughterhouses (poultry);2013;4.2;7.6;3.6;6.4;3226.0;3212.0;13.0;3166.0;2586.0;2430.0;44.0;2408.0;23.0;140.0;2.0;140.0;2.0;13.0;5.0;298.0;133.0;31.0;20.0;12.0;1.0;133.0;250.0;24.0;30.0;29.0;24.0;13.0;2.0;48.0;80.0;32.0;59.0;-6.0;2.0;0.0;55.0
30;1013 Processing of meat (no dishes);2009;5.9;8.3;5.4;7.4;2406.0;2389.0;17.0;2342.0;1690.0;1622.0;64.0;1620.0;63.0;26.0;1.0;26.0;1.0;6.0;36.0;328.0;183.0;43.0;26.0;17.0;3.0;100.0;269.0;33.0;42.0;40.0;18.0;30.0;3.0;44.0;58.0;55.0;65.0;-9.0;0.0;-5.0;51.0
31;1013 Processing of meat (no dishes);2010;5.9;8.3;5.3;7.4;2273.0;2266.0;7.0;2199.0;1500.0;1467.0;63.0;1475.0;71.0;23.0;2.0;23.0;2.0;8.0;2.0;354.0;197.0;50.0;29.0;21.0;2.0;105.0;286.0;36.0;45.0;43.0;12.0;44.0;3.0;48.0;55.0;58.0;74.0;-6.0;-1.0;1.0;68.0
32;1013 Processing of meat (no dishes);2011;5.5;8.3;4.9;7.2;2450.0;2444.0;6.0;2401.0;1753.0;1616.0;70.0;1610.0;63.0;133.0;3.0;133.0;3.0;0.0;4.0;325.0;176.0;44.0;25.0;19.0;3.0;103.0;269.0;31.0;42.0;42.0;12.0;38.0;3.0;55.0;46.0;54.0;49.0;-6.0;0.0;1.0;42.0
33;1013 Processing of meat (no dishes);2012;5.6;8.4;5.2;7.5;2570.0;2566.0;4.0;2519.0;1842.0;1737.0;81.0;1734.0;78.0;81.0;2.0;81.0;2.0;22.0;2.0;349.0;190.0;50.0;28.0;22.0;2.0;106.0;273.0;32.0;42.0;40.0;12.0;33.0;2.0;53.0;58.0;56.0;51.0;-7.0;0.0;-4.0;40.0
34;1013 Processing of meat (no dishes);2013;6.1;9.3;5.4;8.2;2876.0;2874.0;2.0;2812.0;2099.0;2048.0;89.0;2047.0;89.0;42.0;5.0;41.0;5.0;10.0;0.0;379.0;205.0;54.0;30.0;24.0;2.0;118.0;276.0;33.0;42.0;45.0;15.0;31.0;2.0;57.0;50.0;57.0;64.0;-11.0;-1.0;-8.0;43.0
35;102 Processing of fish;2009;2.8;3.4;2.3;2.7;693.0;678.0;15.0;656.0;471.0;397.0;30.0;398.0;31.0;64.0;3.0;67.0;6.0;10.0;0.0;103.0;70.0;12.0;10.0;3.0;0.0;20.0;63.0;10.0;11.0;7.0;6.0;7.0;1.0;7.0;14.0;19.0;37.0;-8.0;0.0;1.0;30.0
36;102 Processing of fish;2010;3.1;3.8;2.6;3.0;801.0;798.0;3.0;765.0;540.0;453.0;44.0;460.0;51.0;78.0;8.0;77.0;6.0;9.0;1.0;120.0;84.0;14.0;11.0;3.0;0.0;22.0;84.0;11.0;12.0;10.0;7.0;11.0;1.0;11.0;21.0;21.0;35.0;-7.0;0.0;-1.0;28.0
37;102 Processing of fish;2011;3.1;3.7;2.5;3.0;867.0;855.0;12.0;833.0;611.0;517.0;59.0;504.0;46.0;84.0;28.0;62.0;6.0;9.0;1.0;122.0;85.0;16.0;12.0;3.0;0.0;22.0;80.0;12.0;12.0;12.0;7.0;9.0;1.0;10.0;17.0;21.0;34.0;-5.0;-1.0;2.0;29.0
38;102 Processing of fish;2012;3.4;4.0;2.3;2.8;831.0;827.0;4.0;803.0;583.0;418.0;49.0;421.0;53.0;146.0;22.0;149.0;25.0;13.0;7.0;116.0;80.0;16.0;13.0;3.0;0.0;20.0;85.0;11.0;12.0;10.0;9.0;11.0;1.0;15.0;17.0;20.0;28.0;-4.0;-1.0;-1.0;22.0
39;102 Processing of fish;2013;3.6;4.2;2.5;3.0;887.0;880.0;7.0;854.0;621.0;466.0;58.0;471.0;63.0;127.0;13.0;127.0;13.0;23.0;5.0;121.0;83.0;15.0;12.0;3.0;0.0;22.0;93.0;13.0;14.0;10.0;9.0;10.0;1.0;17.0;20.0;20.0;33.0;-6.0;-1.0;2.0;28.0
40;103  Processing of vegetables and fruit;2009;9.0;12.9;8.2;9.9;4235.0;4181.0;54.0;3981.0;2652.0;1934.0;202.0;1892.0;160.0;258.0;59.0;253.0;54.0;449.0;11.0;532.0;341.0;75.0;46.0;28.0;4.0;113.0;669.0;132.0;61.0;85.0;17.0;93.0;7.0;132.0;143.0;127.0;254.0;-101.0;-3.0;-5.0;146.0
41;103  Processing of vegetables and fruit;2010;10.5;;9.4;;4527.0;4509.0;17.0;4314.0;2804.0;1958.0;130.0;1990.0;163.0;424.0;65.0;433.0;74.0;418.0;4.0;645.0;404.0;106.0;52.0;53.0;3.0;132.0;716.0;117.0;64.0;93.0;21.0;105.0;6.0;157.0;153.0;149.0;213.0;-16.0;-7.0;-7.0;184.0
42;103  Processing of vegetables and fruit;2011;10.5;14.2;9.5;12.0;5027.0;4985.0;42.0;4812.0;3235.0;2807.0;172.0;2818.0;184.0;400.0;58.0;406.0;65.0;27.0;2.0;658.0;406.0;99.0;52.0;47.0;4.0;149.0;773.0;126.0;69.0;100.0;20.0;112.0;7.0;151.0;189.0;147.0;215.0;-18.0;1.0;-6.0;193.0
43;103  Processing of vegetables and fruit;2012;10.3;13.7;9.3;11.9;4901.0;4797.0;104.0;4651.0;3091.0;2605.0;166.0;2601.0;161.0;446.0;50.0;444.0;49.0;38.0;3.0;670.0;405.0;111.0;54.0;56.0;3.0;152.0;743.0;128.0;70.0;100.0;21.0;123.0;6.0;160.0;135.0;146.0;249.0;0.0;-10.0;-14.0;225.0
44;103  Processing of vegetables and fruit;2013;10.2;13.4;9.1;11.6;4990.0;4924.0;66.0;4770.0;3159.0;2620.0;160.0;2612.0;152.0;505.0;62.0;495.0;53.0;30.0;4.0;670.0;411.0;105.0;55.0;50.0;4.0;150.0;797.0;127.0;65.0;94.0;20.0;127.0;6.0;175.0;183.0;144.0;219.0;-21.0;0.0;-3.0;195.0
45;1031 Processing of potatoes;2009;3.8;5.0;3.6;4.1;2099.0;2048.0;50.0;1970.0;1283.0;716.0;27.0;715.0;26.0;126.0;3.0;125.0;3.0;434.0;8.0;243.0;163.0;32.0;22.0;11.0;2.0;46.0;376.0;92.0;21.0;45.0;8.0;52.0;3.0;79.0;75.0;68.0;129.0;-81.0;1.0;0.0;49.0
46;1031 Processing of potatoes;2010;4.0;5.1;3.7;4.2;1781.0;1756.0;25.0;1761.0;1047.0;436.0;26.0;441.0;31.0;220.0;22.0;226.0;28.0;391.0;0.0;264.0;174.0;48.0;21.0;27.0;2.0;40.0;382.0;75.0;24.0;44.0;9.0;49.0;3.0;103.0;75.0;68.0;20.0;-5.0;1.0;-1.0;15.0
47;1031 Processing of potatoes;2011;4.1;5.4;3.9;4.5;2121.0;2102.0;19.0;2075.0;1335.0;;;;;206.0;3.0;206.0;3.0;;1.0;275.0;183.0;43.0;22.0;22.0;2.0;46.0;392.0;83.0;26.0;50.0;8.0;51.0;4.0;102.0;69.0;73.0;46.0;-4.0;0.0;0.0;43.0
48;1031 Processing of potatoes;2012;4.1;5.2;3.9;4.7;2206.0;2124.0;82.0;2104.0;1315.0;;;;;209.0;5.0;209.0;5.0;;2.0;303.0;192.0;57.0;24.0;33.0;2.0;52.0;414.0;87.0;26.0;51.0;9.0;64.0;3.0;111.0;62.0;73.0;102.0;4.0;-1.0;4.0;109.0
49;1031 Processing of potatoes;2013;4.2;5.2;4.0;4.8;2300.0;2247.0;53.0;2245.0;1403.0;;;;;235.0;5.0;235.0;5.0;;2.0;305.0;198.0;52.0;27.0;26.0;2.0;54.0;466.0;89.0;24.0;52.0;10.0;62.0;4.0;118.0;108.0;71.0;55.0;-8.0;0.0;0.0;46.0
50;104 Manufacture of edible oils and fats;2009;2.5;2.9;2.4;2.7;8021.0;7990.0;31.0;7786.0;7233.0;3951.0;538.0;3851.0;437.0;3259.0;9.0;3257.0;8.0;12.0;12.0;182.0;115.0;32.0;13.0;19.0;2.0;32.0;260.0;79.0;25.0;34.0;3.0;20.0;2.0;61.0;37.0;111.0;236.0;-102.0;0.0;2.0;136.0
51;104 Manufacture of edible oils and fats;2010;2.5;2.9;2.3;2.7;5408.0;5369.0;39.0;5299.0;4771.0;3409.0;314.0;3464.0;370.0;1352.0;55.0;1464.0;167.0;3.0;7.0;193.0;119.0;33.0;13.0;19.0;2.0;40.0;285.0;60.0;24.0;35.0;4.0;17.0;2.0;85.0;57.0;51.0;109.0;7.0;0.0;42.0;157.0
52;104 Manufacture of edible oils and fats;2011;2.6;2.9;2.4;2.6;7064.0;6973.0;91.0;7012.0;6528.0;4410.0;361.0;4488.0;439.0;2105.0;123.0;2147.0;165.0;3.0;10.0;194.0;124.0;33.0;14.0;19.0;2.0;36.0;238.0;75.0;23.0;34.0;3.0;17.0;2.0;42.0;42.0;52.0;53.0;156.0;0.0;0.0;209.0
53;104 Manufacture of edible oils and fats;2012;2.7;3.1;2.5;2.9;8268.0;8292.0;-24.0;8274.0;7731.0;5063.0;461.0;4958.0;357.0;2652.0;101.0;2668.0;117.0;5.0;11.0;220.0;137.0;37.0;16.0;21.0;2.0;43.0;264.0;92.0;27.0;38.0;3.0;18.0;2.0;44.0;40.0;59.0;-5.0;-30.0;0.0;5.0;-31.0
54;104 Manufacture of edible oils and fats;2013;2.7;3.1;2.5;2.9;8177.0;8163.0;15.0;8138.0;7618.0;5137.0;355.0;5127.0;346.0;2467.0;88.0;2482.0;103.0;3.0;12.0;209.0;130.0;42.0;16.0;26.0;2.0;36.0;256.0;84.0;25.0;34.0;4.0;19.0;2.0;44.0;44.0;54.0;39.0;-37.0;0.0;3.0;5.0
55;105 Manufacture of dairy products;2009;11.6;13.7;10.3;12.1;8031.0;8011.0;20.0;8004.0;6394.0;5610.0;140.0;5609.0;138.0;643.0;31.0;649.0;37.0;139.0;1.0;709.0;456.0;122.0;57.0;65.0;6.0;125.0;723.0;123.0;34.0;117.0;45.0;192.0;10.0;86.0;117.0;178.0;27.0;13.0;2.0;-1.0;41.0
56;105 Manufacture of dairy products;2010;10.8;13.2;9.8;11.7;8911.0;8861.0;50.0;8479.0;6723.0;5878.0;216.0;5865.0;203.0;739.0;44.0;744.0;50.0;107.0;0.0;726.0;454.0;134.0;58.0;77.0;4.0;134.0;857.0;158.0;49.0;130.0;13.0;184.0;4.0;122.0;197.0;173.0;432.0;-6.0;1.0;-21.0;406.0
57;105 Manufacture of dairy products;2011;10.8;13.0;9.9;11.7;10589.0;10531.0;58.0;10131.0;8336.0;7061.0;209.0;7080.0;228.0;1168.0;84.0;1186.0;102.0;107.0;0.0;766.0;472.0;137.0;68.0;70.0;3.0;153.0;854.0;134.0;59.0;118.0;20.0;186.0;5.0;145.0;188.0;175.0;458.0;-27.0;-12.0;-7.0;412.0
58;105 Manufacture of dairy products;2012;11.1;13.2;10.2;12.0;9277.0;9235.0;42.0;9031.0;7083.0;6511.0;177.0;6529.0;196.0;495.0;113.0;499.0;118.0;77.0;0.0;833.0;509.0;159.0;78.0;81.0;5.0;161.0;936.0;162.0;63.0;134.0;19.0;172.0;6.0;197.0;184.0;180.0;245.0;-11.0;0.0;-5.0;228.0
59;105 Manufacture of dairy products;2013;12.3;15.0;11.0;13.1;11166.0;11043.0;123.0;10773.0;8646.0;7796.0;214.0;7800.0;218.0;801.0;98.0;827.0;124.0;38.0;11.0;904.0;545.0;182.0;97.0;85.0;4.0;174.0;1000.0;183.0;68.0;123.0;25.0;157.0;6.0;251.0;187.0;223.0;393.0;-26.0;-2.0;-1.0;364.0
60;106 Grain milling and starch products;2009;3.0;3.4;2.8;3.1;1882.0;1865.0;18.0;1885.0;1272.0;871.0;55.0;857.0;40.0;359.0;37.0;345.0;23.0;17.0;24.0;197.0;136.0;41.0;18.0;23.0;2.0;18.0;337.0;107.0;21.0;45.0;5.0;19.0;3.0;75.0;63.0;79.0;-2.0;-9.0;0.0;0.0;-12.0
61;106 Grain milling and starch products;2010;3.1;3.3;3.0;3.1;2007.0;2012.0;-5.0;2011.0;1371.0;1002.0;48.0;1015.0;61.0;330.0;22.0;327.0;19.0;17.0;23.0;205.0;140.0;44.0;18.0;26.0;3.0;18.0;358.0;101.0;21.0;50.0;7.0;15.0;3.0;106.0;55.0;76.0;-3.0;-8.0;2.0;3.0;-7.0
62;106 Grain milling and starch products;2011;3.5;3.6;3.3;3.3;2187.0;2176.0;11.0;2066.0;1395.0;1134.0;65.0;1121.0;52.0;255.0;22.0;264.0;30.0;5.0;1.0;218.0;151.0;45.0;20.0;25.0;3.0;20.0;392.0;103.0;23.0;82.0;5.0;25.0;3.0;101.0;50.0;62.0;121.0;-8.0;-21.0;-26.0;66.0
63;106 Grain milling and starch products;2012;3.4;3.6;2.9;3.1;2402.0;2326.0;76.0;2247.0;1507.0;1238.0;63.0;1238.0;63.0;244.0;25.0;247.0;29.0;24.0;1.0;241.0;164.0;51.0;23.0;28.0;3.0;24.0;431.0;126.0;29.0;47.0;6.0;24.0;2.0;134.0;64.0;68.0;155.0;-12.0;0.0;-8.0;135.0
64;106 Grain milling and starch products;2013;3.2;3.5;2.9;3.2;2388.0;2362.0;26.0;2270.0;1562.0;1286.0;61.0;1276.0;50.0;250.0;30.0;248.0;28.0;25.0;1.0;236.0;159.0;50.0;22.0;28.0;2.0;26.0;407.0;120.0;24.0;38.0;7.0;26.0;3.0;130.0;61.0;65.0;118.0;-12.0;1.0;-1.0;106.0
65;1061 Manufacture of grain mill products;2009;1.3;1.7;1.1;1.4;665.0;668.0;-3.0;655.0;468.0;373.0;46.0;361.0;33.0;67.0;7.0;68.0;7.0;3.0;24.0;73.0;51.0;12.0;6.0;6.0;0.0;9.0;86.0;19.0;8.0;8.0;3.0;14.0;1.0;11.0;23.0;28.0;10.0;-7.0;0.0;0.0;3.0
66;1061 Manufacture of grain mill products;2010;1.3;1.5;1.2;1.4;686.0;675.0;11.0;681.0;503.0;409.0;36.0;421.0;48.0;71.0;6.0;72.0;7.0;2.0;23.0;77.0;55.0;14.0;7.0;7.0;0.0;8.0;80.0;17.0;8.0;8.0;4.0;11.0;1.0;17.0;14.0;20.0;5.0;-8.0;2.0;2.0;1.0
