ID;RegioS;GeslachtLeeftijd;Perioden;NieuwePupillen_1;TotaalBeeindigdeVoogdij_2;Meerderjarigheid_3;AndereReden_4;PupillenPer3112_5;NieuwePupillen_6;TotaalBeeindigdeVoorlopigeVoogdij_7;Ondertoezichtstelling_8;AndereReden_9;PupillenPer3112_10;NieuwePupillen_11;TotaalBeeindigdeOndertoezichtstelling_12;Voogdij_13;Meerderjarigheid_14;AndereReden_15;PupillenPer3112_16
31;Nederland;15-17 jaar;1999;3875;3023;0.0;0;8611;27;31;0;0;6;1503;3392;0;0.0;0;6564
32;Nederland;15-17 jaar;2000;5275;4330;4158.0;172;10885;38;37;6;31;24;1542;3230;79;1760.0;1391;6752
33;Nederland;15-17 jaar;2001;4270;5001;4848.0;153;11437;67;37;2;35;25;1376;3301;43;54.0;3204;6686
34;Nederland;15-17 jaar;2002;2522;5798;5679.0;119;9408;75;39;1;38;35;1633;3468;85;125.0;3258;6866
35;Noord-Nederland;Totaal geslacht/leeftijd;1998;120;100;89.0;11;637;0;0;0;0;0;454;479;40;162.0;277;1782
36;Noord-Nederland;Totaal geslacht/leeftijd;1999;90;99;81.0;18;634;0;0;0;0;0;452;463;42;229.0;192;1836
37;Noord-Nederland;Totaal geslacht/leeftijd;2000;64;84;68.0;16;611;21;14;3;11;14;375;288;36;154.0;268;1770
38;Noord-Nederland;Totaal geslacht/leeftijd;2001;69;84;67.0;17;601;14;17;3;14;8;358;470;48;1.0;421;1683
39;Noord-Nederland;Totaal geslacht/leeftijd;2002;107;86;61.0;25;624;16;22;1;21;3;331;551;70;18.0;463;1492
40;Noord-Nederland;Jongens;1998;71;51;46.0;5;353;0;0;0;0;0;251;256;16;81.0;159;951
41;Noord-Nederland;Jongens;1999;46;52;44.0;8;353;0;0;0;0;0;220;226;23;109.0;94;978
42;Noord-Nederland;Jongens;2000;33;50;38.0;12;333;11;8;1;7;7;193;231;17;71.0;143;952
43;Noord-Nederland;Jongens;2001;35;48;37.0;11;326;11;11;1;10;6;180;254;24;0.0;230;891
44;Noord-Nederland;Jongens;2002;59;51;34.0;17;334;9;13;1;12;2;157;284;39;10.0;235;776
45;Noord-Nederland;Meisjes;1998;49;49;43.0;6;284;0;0;0;0;0;203;223;24;81.0;118;831
46;Noord-Nederland;Meisjes;1999;44;47;37.0;10;281;0;0;0;0;0;232;237;19;120.0;98;858
47;Noord-Nederland;Meisjes;2000;31;34;30.0;4;278;10;6;2;4;7;182;227;19;83.0;125;818
48;Noord-Nederland;Meisjes;2001;34;36;30.0;6;275;3;6;2;4;2;178;216;24;1.0;191;792
49;Noord-Nederland;Meisjes;2002;48;35;27.0;8;290;7;9;0;9;1;174;267;31;8.0;228;716
50;Noord-Nederland;0-4 jaar;1998;26;7;;0;57;0;0;0;0;0;94;39;0;;0;210
51;Noord-Nederland;0-4 jaar;1999;15;5;;0;60;0;0;0;0;0;113;33;0;;0;218
52;Noord-Nederland;0-4 jaar;2000;24;8;;8;58;15;13;3;10;9;101;28;6;;22;222
53;Noord-Nederland;0-4 jaar;2001;23;8;;8;62;10;14;3;11;6;90;45;15;;30;204
54;Noord-Nederland;0-4 jaar;2002;18;12;;12;50;6;20;1;19;2;64;38;8;;30;170
55;Noord-Nederland;5-9 jaar;1998;25;0;;0;131;0;0;0;0;0;94;84;0;;0;459
56;Noord-Nederland;5-9 jaar;1999;18;0;;0;134;0;0;0;0;0;99;67;0;;0;466
57;Noord-Nederland;5-9 jaar;2000;17;2;;2;126;2;0;0;0;2;76;72;14;;58;453
58;Noord-Nederland;5-9 jaar;2001;17;1;;1;116;2;1;0;1;2;73;80;15;;65;415
59;Noord-Nederland;5-9 jaar;2002;26;6;;6;117;3;0;0;0;1;48;103;24;;79;342
60;Noord-Nederland;10-14 jaar;1998;23;0;;0;237;0;0;0;0;0;152;85;0;;0;589
61;Noord-Nederland;10-14 jaar;1999;28;0;;0;250;0;0;0;0;0;135;65;0;;0;590
62;Noord-Nederland;10-14 jaar;2000;18;2;;2;246;2;0;0;0;2;90;84;13;;71;539
63;Noord-Nederland;10-14 jaar;2001;18;4;;4;245;0;1;0;1;0;98;91;14;;77;522
64;Noord-Nederland;10-14 jaar;2002;32;4;;4;250;5;1;0;1;0;103;120;23;;97;468
65;Noord-Nederland;15-17 jaar;1998;46;90;0.0;0;212;0;0;0;0;0;114;271;0;0.0;0;524
66;Noord-Nederland;15-17 jaar;1999;3;87;0.0;0;190;0;0;0;0;0;105;298;0;0.0;0;562
67;Noord-Nederland;15-17 jaar;2000;5;72;68.0;4;181;2;1;0;1;1;108;274;3;154.0;117;556
68;Noord-Nederland;15-17 jaar;2001;11;71;67.0;4;178;2;1;0;1;0;97;254;4;1.0;249;542
69;Noord-Nederland;15-17 jaar;2002;31;64;61.0;3;207;2;1;0;1;0;116;290;15;18.0;257;512
70;Groningen;Totaal geslacht/leeftijd;1998;50;44;35.0;9;291;0;0;0;0;0;188;213;22;52.0;139;680
71;Groningen;Totaal geslacht/leeftijd;1999;41;44;34.0;10;293;0;0;0;0;0;195;206;25;83.0;98;708
72;Groningen;Totaal geslacht/leeftijd;2000;33;39;28.0;11;286;11;10;3;7;7;194;11;20;40.0;121;727
73;Groningen;Totaal geslacht/leeftijd;2001;32;32;25.0;7;283;11;11;1;10;4;125;188;22;0.0;166;650
74;Groningen;Totaal geslacht/leeftijd;2002;49;40;31.0;9;291;10;15;1;14;1;138;222;25;5.0;192;575
75;Groningen;Jongens;1998;29;17;13.0;4;157;0;0;0;0;0;97;116;12;26.0;78;379
76;Groningen;Jongens;1999;22;21;17.0;4;163;0;0;0;0;0;90;104;15;44.0;45;385
77;Groningen;Jongens;2000;22;22;14.0;8;162;7;6;1;5;4;99;99;12;21.0;66;388
78;Groningen;Jongens;2001;17;16;12.0;4;166;11;10;1;9;4;66;96;10;0.0;86;350
79;Groningen;Jongens;2002;32;24;18.0;6;174;6;11;1;10;0;70;114;15;3.0;96;309
80;Groningen;Meisjes;1998;21;27;22.0;5;134;0;0;0;0;0;91;97;10;26.0;61;301
81;Groningen;Meisjes;1999;19;23;17.0;6;130;0;0;0;0;0;105;102;10;39.0;53;323
82;Groningen;Meisjes;2000;11;17;14.0;3;124;4;4;2;2;3;95;82;8;19.0;55;339
83;Groningen;Meisjes;2001;15;16;13.0;3;117;0;1;0;1;0;59;92;12;0.0;80;300
84;Groningen;Meisjes;2002;17;16;13.0;3;117;4;4;0;4;1;68;108;10;2.0;96;266
85;Groningen;0-4 jaar;1998;13;7;;0;33;0;0;0;0;0;36;24;0;;0;85
86;Groningen;0-4 jaar;1999;15;5;;0;36;0;0;0;0;0;53;25;0;;0;86
87;Groningen;0-4 jaar;2000;16;5;;5;33;6;9;3;6;3;53;17;6;;11;94
88;Groningen;0-4 jaar;2001;10;4;;4;33;7;8;1;7;3;34;18;6;;12;82
89;Groningen;0-4 jaar;2002;12;5;;5;29;4;14;1;13;1;29;15;4;;11;72
90;Groningen;5-9 jaar;1998;11;0;;0;59;0;0;0;0;0;46;42;0;;0;192
91;Groningen;5-9 jaar;1999;0;0;;0;57;0;0;0;0;0;41;41;0;;0;191
92;Groningen;5-9 jaar;2000;6;2;;2;59;2;0;0;0;2;45;31;6;;25;199
93;Groningen;5-9 jaar;2001;10;0;;0;54;2;1;0;1;1;21;36;9;;27;159
94;Groningen;5-9 jaar;2002;7;3;;3;53;2;0;0;0;0;19;50;6;;44;126
95;Groningen;10-14 jaar;1998;12;0;;0;114;0;0;0;0;0;61;41;0;;0;224
96;Groningen;10-14 jaar;1999;13;0;;0;119;0;0;0;0;0;52;35;0;;0;233
97;Groningen;10-14 jaar;2000;8;1;;1;112;1;0;0;0;1;49;37;6;;31;217
98;Groningen;10-14 jaar;2001;10;1;;1;113;0;1;0;1;0;35;39;7;;32;213
99;Groningen;10-14 jaar;2002;16;0;;0;113;3;1;0;1;0;46;53;9;;44;184
100;Groningen;15-17 jaar;1998;14;36;0.0;0;85;0;0;0;0;0;45;106;0;0.0;0;179
101;Groningen;15-17 jaar;1999;0;36;0.0;0;81;0;0;0;0;0;49;105;0;0.0;0;198
102;Groningen;15-17 jaar;2000;3;31;28.0;3;82;2;1;0;1;1;47;96;2;40.0;54;217
103;Groningen;15-17 jaar;2001;2;27;25.0;2;83;2;1;0;1;0;35;95;0;0.0;95;196
104;Groningen;15-17 jaar;2002;14;32;31.0;1;96;1;0;0;0;0;44;104;6;5.0;93;193
105;Friesland;Totaal geslacht/leeftijd;1998;29;30;28.0;2;181;0;0;0;0;0;164;148;8;70.0;70;739
106;Friesland;Totaal geslacht/leeftijd;1999;25;21;18.0;3;187;0;0;0;0;0;148;155;5;97.0;53;756
107;Friesland;Totaal geslacht/leeftijd;2000;17;24;20.0;4;179;8;3;0;3;5;117;181;9;75.0;97;698
108;Friesland;Totaal geslacht/leeftijd;2001;28;34;28.0;6;173;2;5;2;3;1;135;173;20;1.0;152;660
109;Friesland;Totaal geslacht/leeftijd;2002;31;26;16.0;10;178;6;6;0;6;1;120;214;22;8.0;184;571
110;Friesland;Jongens;1998;19;17;16.0;1;106;0;0;0;0;0;91;82;4;36.0;42;370
111;Friesland;Jongens;1999;13;11;9.0;2;110;0;0;0;0;0;74;68;2;40.0;26;388
112;Friesland;Jongens;2000;5;16;13.0;3;98;2;1;0;1;1;62;80;2;33.0;45;375
113;Friesland;Jongens;2001;15;22;18.0;4;91;0;1;0;1;0;60;92;11;0.0;81;344
114;Friesland;Jongens;2002;14;14;7.0;7;91;3;2;0;2;1;52;110;11;5.0;94;288
115;Friesland;Meisjes;1998;10;13;12.0;1;75;0;0;0;0;0;73;66;4;34.0;28;369
116;Friesland;Meisjes;1999;12;10;9.0;1;77;0;0;0;0;0;74;87;3;57.0;27;368
117;Friesland;Meisjes;2000;12;8;7.0;1;81;6;2;0;2;4;55;101;7;42.0;52;323
118;Friesland;Meisjes;2001;13;12;10.0;2;82;2;4;2;2;1;75;81;9;1.0;71;316
119;Friesland;Meisjes;2002;17;12;9.0;3;87;3;4;0;4;0;68;104;11;3.0;90;283
120;Friesland;0-4 jaar;1998;6;0;;0;9;0;0;0;0;0;41;3;0;;0;80
121;Friesland;0-4 jaar;1999;0;0;;0;9;0;0;0;0;0;36;4;0;;0;84
122;Friesland;0-4 jaar;2000;7;2;;2;14;7;3;0;3;4;32;7;0;;7;80
123;Friesland;0-4 jaar;2001;10;1;;1;20;2;5;2;3;1;41;16;8;;8;81
124;Friesland;0-4 jaar;2002;4;6;;6;12;2;5;0;5;1;19;15;2;;13;58
125;Friesland;5-9 jaar;1998;8;0;;0;38;0;0;0;0;0;30;19;0;;0;185
126;Friesland;5-9 jaar;1999;10;0;;0;43;0;0;0;0;0;34;11;0;;0;191
127;Friesland;5-9 jaar;2000;6;0;;0;38;0;0;0;0;0;21;27;6;;21;182
128;Friesland;5-9 jaar;2001;6;1;;1;33;0;0;0;0;0;32;31;5;;26;165
129;Friesland;5-9 jaar;2002;9;1;;1;30;1;0;0;0;0;18;32;8;;24;141
130;Friesland;10-14 jaar;1998;7;0;;0;67;0;0;0;0;0;55;21;0;;0;244
131;Friesland;10-14 jaar;1999;8;0;;0;73;0;0;0;0;0;48;18;0;;0;247
132;Friesland;10-14 jaar;2000;3;1;;1;70;1;0;0;0;1;25;30;3;;27;222
133;Friesland;10-14 jaar;2001;6;2;;2;67;0;0;0;0;0;29;33;4;;29;201
134;Friesland;10-14 jaar;2002;8;3;;3;76;2;0;0;0;0;45;50;7;;43;184
135;Friesland;15-17 jaar;1998;8;28;0.0;0;67;0;0;0;0;0;38;105;0;0.0;0;230
136;Friesland;15-17 jaar;1999;3;21;0.0;0;62;0;0;0;0;0;30;122;0;0.0;0;234
137;Friesland;15-17 jaar;2000;1;21;20.0;1;57;0;0;0;0;0;39;117;0;75.0;42;214
138;Friesland;15-17 jaar;2001;6;30;28.0;2;53;0;0;0;0;0;33;93;3;1.0;89;213
139;Friesland;15-17 jaar;2002;10;16;16.0;0;60;1;1;0;1;0;38;117;5;8.0;104;188
140;Drenthe;Totaal geslacht/leeftijd;1998;41;26;26.0;0;165;0;0;0;0;0;102;118;10;40.0;68;363
141;Drenthe;Totaal geslacht/leeftijd;1999;24;34;29.0;5;154;0;0;0;0;0;109;102;12;49.0;41;372
142;Drenthe;Totaal geslacht/leeftijd;2000;14;21;20.0;1;146;2;1;0;1;2;64;96;7;39.0;50;345
143;Drenthe;Totaal geslacht/leeftijd;2001;9;18;14.0;4;145;1;1;0;1;3;98;109;6;0.0;103;373
144;Drenthe;Totaal geslacht/leeftijd;2002;27;20;14.0;6;155;0;1;0;1;1;73;115;23;5.0;87;346
145;Drenthe;Jongens;1998;23;17;17.0;0;90;0;0;0;0;0;63;58;0;19.0;39;202
146;Drenthe;Jongens;1999;11;20;18.0;2;80;0;0;0;0;0;56;54;6;25.0;23;205
147;Drenthe;Jongens;2000;6;12;11.0;1;73;2;1;0;1;2;32;52;3;17.0;32;189
148;Drenthe;Jongens;2001;3;10;7.0;3;69;0;0;0;0;2;54;66;3;0.0;63;197
149;Drenthe;Jongens;2002;13;13;9.0;4;69;0;0;0;0;1;35;60;13;2.0;45;179
150;Drenthe;Meisjes;1998;18;9;9.0;0;75;0;0;0;0;0;39;60;10;21.0;29;161
151;Drenthe;Meisjes;1999;13;14;11.0;3;74;0;0;0;0;0;53;48;6;24.0;18;167
152;Drenthe;Meisjes;2000;8;9;9.0;0;73;0;0;0;0;0;32;44;4;22.0;18;156
153;Drenthe;Meisjes;2001;6;8;7.0;1;76;1;1;0;1;1;44;43;3;0.0;40;176
154;Drenthe;Meisjes;2002;14;7;5.0;2;86;0;1;0;1;0;38;55;10;3.0;42;167
155;Drenthe;0-4 jaar;1998;7;0;;0;15;0;0;0;0;0;17;12;0;;0;45
156;Drenthe;0-4 jaar;1999;0;0;;0;15;0;0;0;0;0;24;4;0;;0;48
157;Drenthe;0-4 jaar;2000;1;1;;1;11;2;1;0;1;2;16;4;0;;4;48
158;Drenthe;0-4 jaar;2001;3;3;;3;9;1;1;0;1;2;15;11;1;;10;41
159;Drenthe;0-4 jaar;2002;2;1;;1;9;0;1;0;1;0;16;8;2;;6;40
160;Drenthe;5-9 jaar;1998;6;0;;0;34;0;0;0;0;0;18;23;0;;0;82
161;Drenthe;5-9 jaar;1999;8;0;;0;34;0;0;0;0;0;24;15;0;;0;84
162;Drenthe;5-9 jaar;2000;5;0;;0;29;0;0;0;0;0;10;14;2;;12;72
163;Drenthe;5-9 jaar;2001;1;0;;0;29;0;0;0;0;1;20;13;1;;12;91
164;Drenthe;5-9 jaar;2002;10;2;;2;34;0;0;0;0;1;11;21;10;;11;75
165;Drenthe;10-14 jaar;1998;4;0;;0;56;0;0;0;0;0;36;23;0;;0;121
166;Drenthe;10-14 jaar;1999;7;0;;0;58;0;0;0;0;0;35;12;0;;0;110
167;Drenthe;10-14 jaar;2000;7;0;;0;64;0;0;0;0;0;16;17;4;;13;100
168;Drenthe;10-14 jaar;2001;2;1;;1;65;0;0;0;0;0;34;19;3;;16;108
169;Drenthe;10-14 jaar;2002;8;1;;1;61;0;0;0;0;0;12;17;7;;10;100
170;Drenthe;15-17 jaar;1998;24;26;0.0;0;60;0;0;0;0;0;31;60;0;0.0;0;115
171;Drenthe;15-17 jaar;1999;0;30;0.0;0;47;0;0;0;0;0;26;71;0;0.0;0;130
172;Drenthe;15-17 jaar;2000;1;20;20.0;0;42;0;0;0;0;0;22;61;1;39.0;21;125
173;Drenthe;15-17 jaar;2001;3;14;14.0;0;42;0;0;0;0;0;29;66;1;0.0;65;133
174;Drenthe;15-17 jaar;2002;7;16;14.0;2;51;0;0;0;0;0;34;69;4;5.0;60;131
175;Oost-Nederland;Totaal geslacht/leeftijd;1998;212;308;278.0;30;1240;0;0;0;0;0;1159;886;30;349.0;507;4000
176;Oost-Nederland;Totaal geslacht/leeftijd;1999;160;240;212.0;28;1151;0;0;0;0;0;1228;973;74;460.0;439;4369
177;Oost-Nederland;Totaal geslacht/leeftijd;2000;150;203;176.0;27;1091;32;26;9;17;28;1327;967;70;368.0;529;4764
178;Oost-Nederland;Totaal geslacht/leeftijd;2001;115;204;169.0;35;990;27;25;3;22;23;1135;1110;54;36.0;1020;4809
179;Oost-Nederland;Totaal geslacht/leeftijd;2002;143;184;153.0;31;955;39;35;7;28;26;1169;1309;87;53.0;1169;4766
180;Oost-Nederland;Jongens;1998;131;196;179.0;17;735;0;0;0;0;0;622;459;20;168.0;271;2089
181;Oost-Nederland;Jongens;1999;97;139;122.0;17;686;0;0;0;0;0;621;480;44;232.0;204;2294
182;Oost-Nederland;Jongens;2000;81;133;115.0;18;628;15;16;4;12;12;699;516;33;191.0;292;2509
183;Oost-Nederland;Jongens;2001;56;116;96.0;20;560;17;13;2;11;14;617;575;27;14.0;534;2564
184;Oost-Nederland;Jongens;2002;57;115;98.0;17;502;23;23;5;18;14;629;688;37;31.0;620;2548
185;Oost-Nederland;Meisjes;1998;81;112;99.0;13;505;0;0;0;0;0;536;427;10;181.0;236;1911
186;Oost-Nederland;Meisjes;1999;63;101;90.0;11;465;0;0;0;0;0;607;493;30;228.0;235;2075
187;Oost-Nederland;Meisjes;2000;69;70;61.0;9;463;17;10;5;5;16;628;451;37;177.0;237;2255
188;Oost-Nederland;Meisjes;2001;59;88;73.0;15;430;10;12;1;11;9;518;535;27;22.0;486;2245
189;Oost-Nederland;Meisjes;2002;86;69;55.0;14;453;16;12;2;10;12;540;621;50;22.0;549;2218
190;Oost-Nederland;0-4 jaar;1998;26;0;;0;59;0;0;0;0;0;218;40;0;;0;460
191;Oost-Nederland;0-4 jaar;1999;29;5;;0;66;0;0;0;0;0;241;45;0;;0;486
192;Oost-Nederland;0-4 jaar;2000;35;7;;7;75;11;6;3;3;12;237;53;12;;41;492
193;Oost-Nederland;0-4 jaar;2001;38;11;;11;76;13;22;3;19;6;205;54;12;;42;463
194;Oost-Nederland;0-4 jaar;2002;24;7;;7;71;19;29;6;23;8;236;67;7;;60;460
195;Oost-Nederland;5-9 jaar;1998;21;0;;0;172;0;0;0;0;0;267;104;0;;0;996
196;Oost-Nederland;5-9 jaar;1999;39;0;;0;164;0;0;0;0;0;309;140;0;;0;1099
197;Oost-Nederland;5-9 jaar;2000;27;2;;2;156;5;3;2;1;7;316;114;14;;100;1218
198;Oost-Nederland;5-9 jaar;2001;30;8;;8;158;4;1;0;1;6;264;163;24;;139;1203
199;Oost-Nederland;5-9 jaar;2002;36;4;;4;170;2;0;0;0;3;234;199;30;;169;1170
200;Oost-Nederland;10-14 jaar;1998;57;11;;0;456;0;0;0;0;0;399;165;0;;0;1342
201;Oost-Nederland;10-14 jaar;1999;57;0;;0;427;0;0;0;0;0;393;152;0;;0;1492
202;Oost-Nederland;10-14 jaar;2000;50;6;;6;419;8;6;2;4;5;446;189;32;;157;1635
203;Oost-Nederland;10-14 jaar;2001;22;10;;10;369;5;1;0;1;8;370;216;9;;207;1676
204;Oost-Nederland;10-14 jaar;2002;49;7;;7;353;10;1;0;1;12;353;290;35;;255;1621
205;Oost-Nederland;15-17 jaar;1998;108;283;0.0;0;553;0;0;0;0;0;275;577;0;0.0;0;1202
206;Oost-Nederland;15-17 jaar;1999;35;220;0.0;0;494;0;0;0;0;0;285;636;0;0.0;0;1292
207;Oost-Nederland;15-17 jaar;2000;38;188;176.0;12;441;8;11;2;9;4;328;611;12;368.0;231;1419
208;Oost-Nederland;15-17 jaar;2001;25;175;169.0;6;387;5;1;0;1;3;296;677;9;36.0;632;1467
209;Oost-Nederland;15-17 jaar;2002;34;166;153.0;13;361;8;5;1;4;3;346;753;15;53.0;685;1515
210;Overijssel;Totaal geslacht/leeftijd;1998;68;69;64.0;5;319;0;0;0;0;0;340;218;7;87.0;124;1169
211;Overijssel;Totaal geslacht/leeftijd;1999;52;70;63.0;7;298;0;0;0;0;0;405;275;28;117.0;130;1343
212;Overijssel;Totaal geslacht/leeftijd;2000;60;45;33.0;12;312;9;6;0;6;7;466;292;21;121.0;150;1532
213;Overijssel;Totaal geslacht/leeftijd;2001;40;66;53.0;13;283;12;10;1;9;6;382;362;14;13.0;335;1571
214;Overijssel;Totaal geslacht/leeftijd;2002;45;40;34.0;6;289;16;14;5;9;8;422;453;32;28.0;393;1566
215;Overijssel;Jongens;1998;45;44;41.0;3;178;0;0;0;0;0;180;117;7;41.0;69;612
216;Overijssel;Jongens;1999;39;42;36.0;6;172;0;0;0;0;0;218;136;22;55.0;59;715
217;Overijssel;Jongens;2000;38;31;23.0;8;178;5;4;0;4;3;241;154;12;56.0;86;810
218;Overijssel;Jongens;2001;22;36;27.0;9;162;8;7;1;6;3;197;182;8;6.0;168;837
219;Overijssel;Jongens;2002;18;26;22.0;4;155;9;9;4;5;3;224;245;14;18.0;213;829
220;Overijssel;Meisjes;1998;23;25;23.0;2;141;0;0;0;0;0;160;101;0;46.0;55;557
221;Overijssel;Meisjes;1999;13;28;27.0;1;126;0;0;0;0;0;187;139;6;62.0;71;628
222;Overijssel;Meisjes;2000;22;14;10.0;4;134;4;2;0;2;4;225;138;9;65.0;64;722
223;Overijssel;Meisjes;2001;18;30;26.0;4;121;4;3;0;3;3;185;180;6;7.0;167;734
224;Overijssel;Meisjes;2002;27;14;12.0;2;134;7;5;1;4;5;198;208;18;10.0;180;737
225;Overijssel;0-4 jaar;1998;7;0;;0;18;0;0;0;0;0;68;13;0;;0;136
226;Overijssel;0-4 jaar;1999;12;0;;0;24;0;0;0;0;0;95;14;0;;0;165
227;Overijssel;0-4 jaar;2000;12;4;;4;23;6;3;0;3;7;78;15;1;;14;165
228;Overijssel;0-4 jaar;2001;15;7;;7;25;4;10;1;9;1;75;22;4;;18;165
229;Overijssel;0-4 jaar;2002;11;1;;1;29;10;12;5;7;4;92;24;4;;20;165
230;Overijssel;5-9 jaar;1998;2;0;;0;44;0;0;0;0;0;77;18;0;;0;292
231;Overijssel;5-9 jaar;1999;11;0;;0;44;0;0;0;0;0;98;40;0;;0;337
232;Overijssel;5-9 jaar;2000;10;0;;0;52;0;0;0;0;0;108;25;4;;21;397
233;Overijssel;5-9 jaar;2001;8;1;;1;47;2;0;0;0;1;82;58;5;;53;383
234;Overijssel;5-9 jaar;2002;11;0;;0;51;0;0;0;0;0;90;76;11;;65;395
235;Overijssel;10-14 jaar;1998;9;0;;0;116;0;0;0;0;0;111;44;0;;0;393
236;Overijssel;10-14 jaar;1999;22;0;;0;120;0;0;0;0;0;130;46;0;;0;453
237;Overijssel;10-14 jaar;2000;21;2;;2;123;1;1;0;1;0;168;46;12;;34;556
238;Overijssel;10-14 jaar;2001;6;4;;4;107;2;0;0;0;1;120;79;2;;77;559
239;Overijssel;10-14 jaar;2002;13;1;;1;105;4;0;0;0;3;126;102;11;;91;527
240;Overijssel;15-17 jaar;1998;50;64;0.0;0;141;0;0;0;0;0;84;143;0;0.0;0;348
241;Overijssel;15-17 jaar;1999;7;65;0.0;0;110;0;0;0;0;0;82;175;0;0.0;0;388
242;Overijssel;15-17 jaar;2000;17;39;33.0;6;114;2;2;0;2;0;112;206;4;121.0;81;414
243;Overijssel;15-17 jaar;2001;11;54;53.0;1;104;4;0;0;0;3;105;203;3;13.0;187;464
244;Overijssel;15-17 jaar;2002;10;38;34.0;4;104;2;2;0;2;1;114;251;6;28.0;217;479
245;Flevoland;Totaal geslacht/leeftijd;1998;25;24;20.0;4;148;0;0;0;0;0;245;160;5;49.0;106;651
246;Flevoland;Totaal geslacht/leeftijd;1999;26;19;16.0;3;154;0;0;0;0;0;273;136;12;81.0;43;816
247;Flevoland;Totaal geslacht/leeftijd;2000;20;26;20.0;6;148;18;15;9;6;6;250;164;10;42.0;112;897
248;Flevoland;Totaal geslacht/leeftijd;2001;14;23;20.0;3;140;4;7;1;6;1;200;212;1;3.0;208;892
