ID;Energiedragers;Perioden;Hoeveelheid_1;OntwikkelingTOVEenJaarEerder_2;Prijsindexcijfer_3;OntwikkelingTOVEenJaarEerder_4
154;Totaal energiedragers;2004 februari;316.0;-0.1;57.6;-8.4
155;Totaal energiedragers;2004 maart;311.0;10.8;58.8;-0.5
156;Totaal energiedragers;2004 1e kwartaal;962.0;2.6;57.9;-5.3
157;Totaal energiedragers;2004 april;258.0;0.0;58.5;6.1
158;Totaal energiedragers;2004 mei;242.0;-3.9;60.5;9.3
159;Totaal energiedragers;2004 juni;234.0;13.5;59.3;5.8
160;Totaal energiedragers;2004 2e kwartaal;734.0;2.5;59.4;7.1
161;Totaal energiedragers;2004 juli;238.0;5.9;60.5;14.6
162;Totaal energiedragers;2004 augustus;229.0;6.0;63.1;17.6
163;Totaal energiedragers;2004 september;242.0;4.6;63.4;19.8
164;Totaal energiedragers;2004 3e kwartaal;708.0;5.2;62.3;17.3
165;Totaal energiedragers;2004 oktober;266.0;-12.7;68.5;26.0
166;Totaal energiedragers;2004 november;301.0;4.0;65.6;17.5
167;Totaal energiedragers;2004 december;346.0;4.9;61.9;7.7
168;Totaal energiedragers;2004 4e kwartaal;913.0;-1.3;65.3;16.9
169;Totaal energiedragers;2004;3318.0;2.1;61.2;8.6
170;Totaal energiedragers;2005 januari;331.0;-1.3;67.3;17.5
171;Totaal energiedragers;2005 februari;318.0;0.6;68.3;18.6
172;Totaal energiedragers;2005 maart;319.0;2.7;72.1;22.6
173;Totaal energiedragers;2005 1e kwartaal;968.0;0.6;69.2;19.6
174;Totaal energiedragers;2005 april;271.0;4.7;73.9;26.2
175;Totaal energiedragers;2005 mei;256.0;5.8;72.4;19.7
176;Totaal energiedragers;2005 juni;235.0;0.8;76.5;29.1
177;Totaal energiedragers;2005 2e kwartaal;761.0;3.7;74.3;25.0
178;Totaal energiedragers;2005 juli;225.0;-5.5;80.0;32.4
179;Totaal energiedragers;2005 augustus;233.0;1.7;83.2;31.7
180;Totaal energiedragers;2005 september;241.0;-0.8;83.4;31.6
181;Totaal energiedragers;2005 3e kwartaal;699.0;-1.3;82.2;31.9
182;Totaal energiedragers;2005 oktober;252.0;-5.2;85.9;25.4
183;Totaal energiedragers;2005 november;302.0;0.5;84.5;28.8
184;Totaal energiedragers;2005 december;333.0;-3.6;87.8;41.9
185;Totaal energiedragers;2005 4e kwartaal;887.0;-2.8;86.1;31.8
186;Totaal energiedragers;2005;3316.0;-0.1;77.9;27.3
187;Totaal energiedragers;2006 januari;352.0;6.4;95.6;42.0
188;Totaal energiedragers;2006 februari;314.0;-1.2;94.0;37.7
189;Totaal energiedragers;2006 maart;329.0;3.0;96.5;33.9
190;Totaal energiedragers;2006 1e kwartaal;994.0;2.7;95.4;37.8
191;Totaal energiedragers;2006 april;258.0;-4.6;97.0;31.3
192;Totaal energiedragers;2006 mei;242.0;-5.4;95.9;32.4
193;Totaal energiedragers;2006 juni;225.0;-4.5;96.1;25.6
194;Totaal energiedragers;2006 2e kwartaal;725.0;-4.7;96.3;29.7
195;Totaal energiedragers;2006 juli;224.0;-0.6;98.7;23.3
196;Totaal energiedragers;2006 augustus;228.0;-1.9;98.3;18.2
197;Totaal energiedragers;2006 september;227.0;-5.5;94.2;12.9
198;Totaal energiedragers;2006 3e kwartaal;679.0;-2.9;97.1;18.1
199;Totaal energiedragers;2006 oktober;249.0;-1.5;92.8;8.1
200;Totaal energiedragers;2006 november;281.0;-6.9;94.9;12.4
201;Totaal energiedragers;2006 december;307.0;-7.9;94.7;7.8
202;Totaal energiedragers;2006 4e kwartaal;837.0;-5.6;94.1;9.4
203;Totaal energiedragers;2006;3236.0;-2.4;95.7;22.8
204;Totaal energiedragers;2007 januari;324.0;-8.0;93.3;-2.5
205;Totaal energiedragers;2007 februari;297.0;-5.5;92.6;-1.6
206;Totaal energiedragers;2007 maart;292.0;-11.2;95.4;-1.1
207;Totaal energiedragers;2007 1e kwartaal;914.0;-8.0;93.7;-1.7
208;Totaal energiedragers;2007 april;245.0;-5.2;94.8;-2.3
209;Totaal energiedragers;2007 mei;254.0;4.9;94.9;-1.0
210;Totaal energiedragers;2007 juni;242.0;7.8;94.8;-1.3
211;Totaal energiedragers;2007 2e kwartaal;741.0;2.2;94.9;-1.5
212;Totaal energiedragers;2007 juli;244.0;9.0;99.2;0.5
213;Totaal energiedragers;2007 augustus;245.0;7.2;96.5;-1.8
214;Totaal energiedragers;2007 september;255.0;12.1;99.1;5.2
215;Totaal energiedragers;2007 3e kwartaal;742.0;9.3;98.3;1.3
216;Totaal energiedragers;2007 oktober;295.0;18.7;102.0;9.9
217;Totaal energiedragers;2007 november;318.0;13.1;106.4;12.1
218;Totaal energiedragers;2007 december;345.0;12.3;106.7;12.7
219;Totaal energiedragers;2007 4e kwartaal;958.0;14.5;105.0;11.6
220;Totaal energiedragers;2007;3355.0;3.7;98.0;2.4
221;Totaal energiedragers;2008 januari;338.0;4.4;109.8;17.7
222;Totaal energiedragers;2008 februari;316.0;6.4;111.8;20.8
223;Totaal energiedragers;2008 maart;320.0;9.4;112.6;18.0
224;Totaal energiedragers;2008 1e kwartaal;973.0;6.5;111.4;18.8
225;Totaal energiedragers;2008 april;273.0;11.5;118.4;24.9
226;Totaal energiedragers;2008 mei;246.0;-3.3;124.8;31.5
227;Totaal energiedragers;2008 juni;234.0;-3.7;132.8;40.0
228;Totaal energiedragers;2008 2e kwartaal;751.0;1.3;125.3;32.1
229;Totaal energiedragers;2008 juli;242.0;-0.6;143.2;44.4
230;Totaal energiedragers;2008 augustus;236.0;-3.6;137.3;42.2
231;Totaal energiedragers;2008 september;248.0;-2.6;130.6;31.8
232;Totaal energiedragers;2008 3e kwartaal;725.0;-2.3;137.0;39.4
233;Totaal energiedragers;2008 oktober;283.0;-4.1;122.8;20.4
234;Totaal energiedragers;2008 november;284.0;-10.6;113.4;6.5
235;Totaal energiedragers;2008 december;318.0;-7.9;105.9;-0.7
236;Totaal energiedragers;2008 4e kwartaal;885.0;-7.6;114.1;8.6
237;Totaal energiedragers;2008;3334.0;-0.6;122.0;24.5
238;Totaal energiedragers;2009 januari;342.0;1.0;99.5;-9.4
239;Totaal energiedragers;2009 februari;303.0;-4.0;98.6;-11.8
240;Totaal energiedragers;2009 maart;299.0;-6.5;94.9;-15.7
241;Totaal energiedragers;2009 1e kwartaal;944.0;-3.0;97.7;-12.3
242;Totaal energiedragers;2009 april;238.0;-12.8;85.1;-28.1
243;Totaal energiedragers;2009 mei;237.0;-3.5;86.9;-30.4
244;Totaal energiedragers;2009 juni;223.0;-4.5;90.3;-32.0
245;Totaal energiedragers;2009 2e kwartaal;699.0;-6.9;87.4;-30.3
246;Totaal energiedragers;2009 juli;235.0;-2.9;83.7;-41.5
247;Totaal energiedragers;2009 augustus;229.0;-2.9;85.2;-37.9
248;Totaal energiedragers;2009 september;248.0;0.0;84.0;-35.7
249;Totaal energiedragers;2009 3e kwartaal;714.0;-1.5;84.3;-38.5
250;Totaal energiedragers;2009 oktober;279.0;-1.6;89.0;-27.6
251;Totaal energiedragers;2009 november;287.0;0.8;91.3;-19.4
252;Totaal energiedragers;2009 december;346.0;8.9;90.4;-14.6
253;Totaal energiedragers;2009 4e kwartaal;910.0;2.8;90.2;-20.9
254;Totaal energiedragers;2009;3266.0;-2.0;89.9;-26.3
255;Totaal energiedragers;2010 januari;371.0;8.7;92.3;-7.2
256;Totaal energiedragers;2010 februari;326.0;7.4;91.6;-7.1
257;Totaal energiedragers;2010 maart;319.0;6.6;94.0;-1.0
258;Totaal energiedragers;2010 1e kwartaal;1018.0;7.8;92.6;-5.2
259;Totaal energiedragers;2010 april;271.0;14.1;98.7;16.0
260;Totaal energiedragers;2010 mei;266.0;12.2;98.0;12.8
261;Totaal energiedragers;2010 juni;240.0;7.4;98.9;9.5
262;Totaal energiedragers;2010 2e kwartaal;776.0;11.0;98.5;12.7
263;Totaal energiedragers;2010 juli;235.0;0.2;101.1;20.7
264;Totaal energiedragers;2010 augustus;233.0;1.9;101.7;19.4
265;Totaal energiedragers;2010 september;248.0;0.0;102.8;22.3
266;Totaal energiedragers;2010 3e kwartaal;718.0;0.6;101.9;20.8
267;Totaal energiedragers;2010 oktober;290.0;4.1;103.5;16.3
268;Totaal energiedragers;2010 november;320.0;11.6;107.1;17.3
269;Totaal energiedragers;2010 december;371.0;7.3;110.4;22.1
270;Totaal energiedragers;2010 4e kwartaal;981.0;7.8;107.0;18.6
271;Totaal energiedragers;2010;3493.0;7.0;100.0;11.2
272;Totaal energiedragers;2011 januari;337.0;-9.3;115.7;25.4
273;Totaal energiedragers;2011 februari;303.0;-7.0;118.1;28.9
274;Totaal energiedragers;2011 maart;303.0;-4.9;121.8;29.6
275;Totaal energiedragers;2011 1e kwartaal;941.0;-7.6;118.5;28.0
276;Totaal energiedragers;2011 april;241.0;-11.3;126.8;28.5
277;Totaal energiedragers;2011 mei;245.0;-7.8;121.5;24.0
278;Totaal energiedragers;2011 juni;233.0;-2.8;120.7;22.1
279;Totaal energiedragers;2011 2e kwartaal;719.0;-7.3;123.0;24.9
280;Totaal energiedragers;2011 juli;235.0;-0.1;123.4;22.1
281;Totaal energiedragers;2011 augustus;236.0;1.3;121.1;19.0
282;Totaal energiedragers;2011 september;241.0;-2.8;123.5;20.1
283;Totaal energiedragers;2011 3e kwartaal;713.0;-0.7;122.6;20.4
284;Totaal energiedragers;2011 oktober;270.0;-6.8;126.9;22.6
285;Totaal energiedragers;2011 november;293.0;-8.4;128.2;19.7
286;Totaal energiedragers;2011 december;310.0;-16.5;129.7;17.4
287;Totaal energiedragers;2011 4e kwartaal;872.0;-11.1;128.2;19.8
288;Totaal energiedragers;2011;3246.0;-7.1;123.1;23.1
289;Totaal energiedragers;2012 januari;325.0;-3.5;132.0;14.1
290;Totaal energiedragers;2012 februari;343.0;13.1;132.7;12.4
291;Totaal energiedragers;2012 maart;287.0;-5.3;137.1;12.6
292;Totaal energiedragers;2012 1e kwartaal;955.0;1.5;134.0;13.0
293;Totaal energiedragers;2012 april;267.0;11.0;135.2;6.6
294;Totaal energiedragers;2012 mei;244.0;-0.4;130.9;7.7
295;Totaal energiedragers;2012 juni;228.0;-1.9;126.2;4.5
296;Totaal energiedragers;2012 2e kwartaal;740.0;2.9;130.7;6.3
297;Totaal energiedragers;2012 juli;231.0;-1.9;130.4;5.7
298;Totaal energiedragers;2012 augustus;230.0;-2.7;134.1;10.7
299;Totaal energiedragers;2012 september;233.0;-3.4;134.5;9.0
300;Totaal energiedragers;2012 3e kwartaal;694.0;-2.7;133.0;8.4
301;Totaal energiedragers;2012 oktober;273.0;0.9;134.8;6.2
302;Totaal energiedragers;2012 november;292.0;-0.2;134.0;4.5
303;Totaal energiedragers;2012 december;316.0;1.9;132.1;1.9
304;Totaal energiedragers;2012 4e kwartaal;880.0;0.9;133.6;4.2
305;Totaal energiedragers;2012;3269.0;0.7;132.8;7.9
306;Totaal energiedragers;2013 januari;339.0;4.5;131.5;-0.4
307;Totaal energiedragers;2013 februari;309.0;-10.0;131.6;-0.9
308;Totaal energiedragers;2013 maart;321.0;11.7;130.4;-4.9
309;Totaal energiedragers;2013 1e kwartaal;968.0;1.4;131.1;-2.1
310;Totaal energiedragers;2013 april;261.0;-2.2;128.2;-5.2
311;Totaal energiedragers;2013 mei;252.0;3.0;125.5;-4.1
312;Totaal energiedragers;2013 juni;228.0;-0.2;124.5;-1.3
313;Totaal energiedragers;2013 2e kwartaal;741.0;0.1;126.0;-3.6
314;Totaal energiedragers;2013 juli;230.0;-0.4;126.5;-3.0
315;Totaal energiedragers;2013 augustus;230.0;0.0;126.4;-5.7
316;Totaal energiedragers;2013 september;235.0;0.9;126.9;-5.6
317;Totaal energiedragers;2013 3e kwartaal;694.0;0.0;126.6;-4.8
318;Totaal energiedragers;2013 oktober;256.0;-6.0;125.4;-6.9
319;Totaal energiedragers;2013 november;290.0;-0.9;126.5;-5.6
320;Totaal energiedragers;2013 december;306.0;-3.2;127.0;-3.9
321;Totaal energiedragers;2013 4e kwartaal;852.0;-3.2;126.3;-5.5
322;Totaal energiedragers;2013;3255.0;-0.4;127.5;-4.0
323;Totaal energiedragers;2014 januari;308.0;-9.2;125.0;-4.9
324;Totaal energiedragers;2014 februari;278.0;-10.0;122.8;-6.6
325;Totaal energiedragers;2014 maart;273.0;-14.9;118.9;-8.8
326;Totaal energiedragers;2014 1e kwartaal;859.0;-11.3;122.3;-6.8
327;Totaal energiedragers;2014 april;243.0;-6.8;114.8;-10.4
328;Totaal energiedragers;2014 mei;243.0;-3.5;113.4;-9.6
329;Totaal energiedragers;2014 juni;223.0;-2.3;113.5;-8.9
330;Totaal energiedragers;2014 2e kwartaal;708.0;-4.5;113.9;-9.6
331;Totaal energiedragers;2014 juli;222.0;-3.4;109.2;-13.7
332;Totaal energiedragers;2014 augustus;229.0;-0.3;108.1;-14.5
333;Totaal energiedragers;2014 september;229.0;-2.8;109.4;-13.8
334;Totaal energiedragers;2014 3e kwartaal;680.0;-2.0;108.9;-14.0
335;Totaal energiedragers;2014 oktober;234.0;-8.5;108.6;-13.4
336;Totaal energiedragers;2014 november;263.0;-9.4;105.5;-16.6
337;Totaal energiedragers;2014 december;305.0;-0.3;97.2;-23.4
338;Totaal energiedragers;2014 4e kwartaal;801.0;-6.0;103.8;-17.8
339;Totaal energiedragers;2014;3048.0;-6.4;112.2;-12.0
340;Totaal energiedragers;2015 januari;316.0;2.6;88.1;-29.5
341;Totaal energiedragers;2015 februari;285.0;2.7;94.1;-23.4
342;Totaal energiedragers;2015 maart;282.0;3.2;95.9;-19.4
343;Totaal energiedragers;2015 1e kwartaal;882.0;2.7;92.7;-24.2
344;Totaal energiedragers;2015 april;240.0;-1.2;96.0;-16.4
345;Totaal energiedragers;2015 mei;226.0;-7.1;93.0;-18.0
346;Totaal energiedragers;2015 juni;210.0;-5.8;92.6;-18.4
347;Totaal energiedragers;2015 2e kwartaal;675.0;-4.7;93.9;-17.6
348;Totaal energiedragers;2015 juli;231.0;4.1;90.0;-17.6
349;Totaal energiedragers;2015 augustus;224.0;-2.1;84.0;-22.2
350;Totaal energiedragers;2015 september;249.0;8.6;85.8;-21.7
351;Totaal energiedragers;2015 3e kwartaal;703.0;3.4;86.6;-20.5
352;Totaal energiedragers;2015 oktober;278.0;18.7;83.1;-23.5
353;Totaal energiedragers;2015 november;268.0;2.2;79.4;-24.8
354;Totaal energiedragers;2015 december;286.0;-6.1;75.0;-22.9
355;Totaal energiedragers;2015 4e kwartaal;833.0;4.0;79.2;-23.7
356;Totaal energiedragers;2015;3094.0;1.5;88.1;-21.5
357;Totaal energiedragers;2016 januari;307.0;-2.8;62.6;-29.0
358;Totaal energiedragers;2016 februari;292.0;2.4;59.0;-37.3
359;Totaal energiedragers;2016 maart;297.0;5.4;63.7;-33.5
360;Totaal energiedragers;2016 1e kwartaal;895.0;1.5;61.8;-33.4
361;Totaal energiedragers;2016 april;253.0;5.1;59.6;-37.9
362;Totaal energiedragers;2016 mei;226.0;0.3;65.9;-29.2
363;Totaal energiedragers;2016 juni;216.0;3.0;70.5;-23.9
364;Totaal energiedragers;2016 2e kwartaal;695.0;3.0;65.3;-30.4
365;Totaal energiedragers;2016 juli;222.0;-3.9;66.5;-26.1
366;Totaal energiedragers;2016 augustus;225.0;0.4;63.8;-24.1
367;Totaal energiedragers;2016 september;234.0;-6.0;63.3;-26.2
368;Totaal energiedragers;2016 3e kwartaal;681.0;-3.1;64.5;-25.5
369;Totaal energiedragers;2016 oktober;268.0;-3.7;70.7;-15.0
370;Totaal energiedragers;2016 november;295.0;9.9;74.1;-6.7
371;Totaal energiedragers;2016 december;309.0;8.0;81.4;8.6
372;Totaal energiedragers;2016 4e kwartaal;871.0;4.6;75.4;-4.8
373;Totaal energiedragers;2016;3141.0;1.5;66.8;-24.2
374;Totaal energiedragers;2017 januari;346.0;12.6;86.1;37.5
375;Totaal energiedragers;2017 februari;299.0;2.3;87.6;48.5
376;Totaal energiedragers;2017 maart;285.0;-4.0;84.6;32.7
377;Totaal energiedragers;2017 1e kwartaal;;;86.1;39.4
378;Totaal energiedragers;2017 april;250.0;-0.9;80.8;35.5
379;Totaal energiedragers;2017 mei;227.0;0.5;78.3;18.9
380;Totaal energiedragers;2017 juni;223.0;3.1;76.4;8.5
381;Totaal energiedragers;2017 2e kwartaal;;;78.5;20.2
382;Totaal energiedragers;2017 juli;231.0;4.2;73.5;10.5
383;Totaal energiedragers;2017 augustus;219.0;-2.9;75.0;17.5
384;Totaal energiedragers;2017 september;233.0;-0.1;79.7;26.0
385;Totaal energiedragers;2017 3e kwartaal;;;76.0;17.9
