ID;Omzetklassen;Perioden;Bedrijven_1;Bedrijfsopbrengsten_2;TotaalNettoOmzet_3;VerleendeDiensten_4;Handelsgoederen_5;OverigeOpbrengsten_6;TotaalBedrijfslasten_7;KostprijsVanDeOmzet_8;Personeelskosten_9;Afschrijvingen_10;OverigeBedrijfslasten_11;TotaalOverigeBedrijfslasten_12;Huisvestingskosten_13;InventarisEnMachinekosten_14;Autokosten_15;Verkoopkosten_16;AndereKosten_17;Bedrijfsresultaat_18;SaldoFinancieleResultaten_19;ResultaatVoorBelastingen_20;BrutoWinstmarge_21;OperationeleWinstmarge_22;WinstmargeVoorBelastingen_23;Investeringsquote_24;NettoOmzetPerFte_25;LoonkostenPerFte_26;OntvangstenVoorUitleenEnSubsidie_27;TotaalPersoneelskosten_28;BrutoLonenEnSalarissen_29;SocialeLasten_30;Pensioenpremies_31;KostenUitzendkrachten_32;KostenIngeleendPersoneel_33;OverigePersoneelskosten_34;TotaalOverigeBedrijfslasten_35;TotaalHuisvestingskosten_36;BetaaldeHurenPachtenEDVanLeasing_37;OnroerendeZaakbelastingMilieuheffing_38;Energiekosten_39;ReparatieEnOnderhoudskosten_40;Verzekeringen_41;OverigeHuisvestingskosten_42;TotaalInventarisEnMachinekosten_43;BetaaldeHurenEnKostenVanOperLease_44;Onderhoudskosten_45;OverigeInventarisEnMachinekosten_46;TotaalAutokosten_47;BetaaldeHurenEnKostenVanOperLease_48;Brandstof_49;OverigeAutokosten_50;TotaalVerkoopkosten_51;ReclameEnAdvertentiekosten_52;ReisVerblijfsEnRepresentatiekosten_53;OverigeVerkoopkosten_54;TotaalAndereKosten_55;AccountantsEnAdviesdiensten_56;KantoorbenodigdhDrukwerkVakliteratuur_57;OverigeVerzekeringen_58;OverigeKostprijsverhogendeBelastingen_59;Communicatiekosten_60;Beheerskosten_61;OverigeAutomatiseringskosten_62;NogNietEerderGenoemdeBedrijfskosten_63;TotaalAantalWerkzamePersonen_64;WerknemersOpDeLoonlijst_65;WerknemersNietOpLoonlijst_66;OverigPersoneel_67;AantalVte_68;TotaalInvesteringen_69;TotaalMaterieleVasteActiva_70;Bedrijfsruimten_71;Vervoermiddelen_72;Computers_73;OverigeMachinesApparatenED_74;OverigeMaterieleVasteActiva_75;TotaalImmaterieleVasteActiva_76
10;250 000 tot 2 000 000 euro;1998;2.7;184.0;182.0;181.0;0.0;2.0;170.0;26.7;39.3;4.4;29.6;50.0;9.0;1.0;4.0;8.0;28.0;13.0;-3.0;10.0;74.9;6.0;5.6;6.6;;;0.3;67.0;79.1;7.7;2.8;1.9;0.9;8.0;50.0;9.0;;;;;;;1.0;;;;4.0;;;;8.0;;;;28.0;;;;;;;;;30.0;90.2;6.2;3.6;19.0;12.0;91.5;3.9;31.1;18.5;21.3;16.9;8.5
11;250 000 tot 2 000 000 euro;1999;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;2 000 000 tot 5 000 000 euro;1996;0.2;76.0;75.0;72.0;2.0;1.0;70.0;32.7;44.6;2.7;20.0;14.0;3.0;1.0;2.0;3.0;5.0;5.0;-2.0;3.0;69.2;5.3;4.4;2.4;;;0.1;31.0;83.5;5.0;3.3;2.2;0.8;5.3;14.0;3.0;77.6;0.8;7.8;5.1;1.2;7.5;1.0;36.8;54.9;8.3;2.0;79.3;11.5;9.2;3.0;33.3;50.0;16.7;5.0;12.3;20.9;2.0;0.0;24.8;15.0;8.1;16.9;15.0;92.8;0.0;7.2;9.0;2.0;95.9;8.3;4.0;58.6;10.1;14.9;4.1
13;2 000 000 tot 5 000 000 euro;1997;0.3;88.0;87.0;87.0;0.0;1.0;79.0;32.4;43.0;3.1;21.5;17.0;4.0;1.0;2.0;4.0;7.0;9.0;-1.0;8.0;70.6;9.0;9.0;3.4;;;0.3;34.0;78.6;5.0;3.8;2.6;2.7;7.6;17.0;4.0;74.0;0.4;5.9;10.2;1.2;8.3;1.0;55.0;28.7;16.3;2.0;73.7;15.4;10.9;4.0;31.0;47.8;21.2;7.0;24.0;19.9;1.9;0.0;23.9;4.9;6.5;18.7;15.0;97.3;0.8;1.9;10.0;3.0;93.5;19.0;2.2;38.1;20.8;13.5;6.5
14;2 000 000 tot 5 000 000 euro;1998;0.3;99.0;99.0;99.0;1.0;0.0;84.0;32.6;43.1;3.1;21.2;18.0;4.0;0.0;2.0;3.0;9.0;15.0;-1.0;14.0;72.3;14.3;14.2;3.0;;;1.0;36.0;78.9;8.5;3.8;2.3;1.3;6.2;18.0;4.0;;;;;;;0.0;;;;2.0;;;;3.0;;;;9.0;;;;;;;;;19.0;95.3;0.0;4.7;12.0;3.0;95.7;4.4;4.4;44.9;31.8;10.2;4.3
15;2 000 000 tot 5 000 000 euro;1999;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;5 000 000 euro en meer;1996;0.1;154.0;149.0;149.0;0.0;5.0;145.0;25.8;49.3;5.2;19.6;28.0;6.0;2.0;3.0;4.0;13.0;9.0;-3.0;6.0;75.0;4.7;3.9;4.7;;;0.2;71.0;78.6;5.7;4.8;1.7;0.5;8.8;28.0;6.0;63.3;1.1;9.5;11.4;1.6;13.1;2.0;56.0;21.7;22.3;3.0;85.5;7.6;7.0;4.0;34.6;50.6;14.8;13.0;11.5;13.3;1.4;0.0;28.2;22.7;5.3;17.6;29.0;97.9;0.0;2.1;18.0;7.0;97.4;25.3;0.1;56.1;6.5;9.5;2.6
17;5 000 000 euro en meer;1997;0.1;168.0;166.0;166.0;0.0;2.0;159.0;25.2;49.6;4.9;20.2;32.0;6.0;3.0;4.0;5.0;15.0;9.0;-1.0;8.0;75.8;4.4;4.9;3.0;;;0.2;79.0;79.4;5.5;5.8;2.7;0.0;6.7;32.0;6.0;66.9;1.0;8.8;10.9;1.8;10.6;3.0;53.9;28.3;17.8;4.0;87.0;7.0;6.0;5.0;33.9;54.2;11.9;15.0;10.3;11.0;1.6;0.0;25.7;25.7;6.1;19.6;29.0;98.0;0.0;2.0;19.0;5.0;97.7;10.6;0.0;66.5;6.1;14.5;2.3
18;5 000 000 euro en meer;1998;0.2;201.0;198.0;198.0;0.0;3.0;190.0;27.5;47.9;4.4;20.2;38.0;8.0;3.0;4.0;6.0;18.0;11.0;1.0;12.0;73.7;5.3;5.8;3.9;;;0.2;91.0;76.5;8.5;5.9;2.4;0.0;6.9;38.0;8.0;;;;;;;3.0;;;;4.0;;;;6.0;;;;18.0;;;;;;;;;35.0;95.2;0.0;4.8;20.0;8.0;95.3;6.3;3.1;61.1;12.4;12.4;4.7
19;5 000 000 euro en meer;1999;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
