ID;RegioS;Perioden;PersonenMetEenBetalingsachterstand_1;PersMetBetalingsachterstandRelatief_2
158;Utrecht (PV);2014;16250.0;1.6
159;Utrecht (PV);2015;15770.0;1.6
160;Utrecht (PV);2016;13960.0;1.4
161;Utrecht (PV);2017;12590.0;1.2
162;Utrecht (PV);2018;11330.0;1.1
163;Utrecht (PV);2019;10640.0;1.0
164;Utrecht (PV);2020;9710.0;0.9
165;Utrecht (PV);2021;8960.0;0.8
166;Utrecht (PV);2022;8720.0;0.8
167;Utrecht (PV);2023;9300.0;0.8
168;Noord-Holland (PV);2010;37570.0;1.8
169;Noord-Holland (PV);2011;46810.0;2.2
170;Noord-Holland (PV);2012;46900.0;2.2
171;Noord-Holland (PV);2013;50220.0;2.3
172;Noord-Holland (PV);2014;51830.0;2.3
173;Noord-Holland (PV);2015;48300.0;2.2
174;Noord-Holland (PV);2016;41950.0;1.9
175;Noord-Holland (PV);2017;38240.0;1.7
176;Noord-Holland (PV);2018;33960.0;1.5
177;Noord-Holland (PV);2019;31060.0;1.3
178;Noord-Holland (PV);2020;28930.0;1.2
179;Noord-Holland (PV);2021;27000.0;1.1
180;Noord-Holland (PV);2022;26520.0;1.1
181;Noord-Holland (PV);2023;28400.0;1.2
182;Zuid-Holland (PV);2010;73540.0;2.5
183;Zuid-Holland (PV);2011;79500.0;2.8
184;Zuid-Holland (PV);2012;80410.0;2.8
185;Zuid-Holland (PV);2013;81560.0;2.9
186;Zuid-Holland (PV);2014;86750.0;3.0
187;Zuid-Holland (PV);2015;82110.0;2.8
188;Zuid-Holland (PV);2016;73580.0;2.5
189;Zuid-Holland (PV);2017;67260.0;2.3
190;Zuid-Holland (PV);2018;61330.0;2.1
191;Zuid-Holland (PV);2019;57080.0;1.9
192;Zuid-Holland (PV);2020;52500.0;1.8
193;Zuid-Holland (PV);2021;49590.0;1.6
194;Zuid-Holland (PV);2022;48890.0;1.6
195;Zuid-Holland (PV);2023;50950.0;1.6
196;Zeeland (PV);2010;4260.0;1.4
197;Zeeland (PV);2011;4850.0;1.6
198;Zeeland (PV);2012;5060.0;1.7
199;Zeeland (PV);2013;4880.0;1.6
200;Zeeland (PV);2014;5200.0;1.7
201;Zeeland (PV);2015;4320.0;1.4
202;Zeeland (PV);2016;3690.0;1.2
203;Zeeland (PV);2017;3490.0;1.1
204;Zeeland (PV);2018;3240.0;1.0
205;Zeeland (PV);2019;3220.0;1.0
206;Zeeland (PV);2020;2900.0;0.9
207;Zeeland (PV);2021;2760.0;0.9
208;Zeeland (PV);2022;2740.0;0.9
209;Zeeland (PV);2023;2790.0;0.9
210;Noord-Brabant (PV);2010;30960.0;1.6
211;Noord-Brabant (PV);2011;34690.0;1.8
212;Noord-Brabant (PV);2012;36070.0;1.8
213;Noord-Brabant (PV);2013;36340.0;1.8
214;Noord-Brabant (PV);2014;39310.0;2.0
215;Noord-Brabant (PV);2015;35940.0;1.8
216;Noord-Brabant (PV);2016;29860.0;1.5
217;Noord-Brabant (PV);2017;27650.0;1.4
218;Noord-Brabant (PV);2018;24840.0;1.2
219;Noord-Brabant (PV);2019;23040.0;1.1
220;Noord-Brabant (PV);2020;20990.0;1.0
221;Noord-Brabant (PV);2021;19520.0;0.9
222;Noord-Brabant (PV);2022;19650.0;0.9
223;Noord-Brabant (PV);2023;20890.0;1.0
224;Limburg (PV);2010;18840.0;2.1
225;Limburg (PV);2011;20530.0;2.2
226;Limburg (PV);2012;20960.0;2.3
227;Limburg (PV);2013;20710.0;2.2
228;Limburg (PV);2014;21610.0;2.3
229;Limburg (PV);2015;19520.0;2.1
230;Limburg (PV);2016;16400.0;1.8
231;Limburg (PV);2017;14700.0;1.6
232;Limburg (PV);2018;13320.0;1.4
233;Limburg (PV);2019;12230.0;1.3
234;Limburg (PV);2020;11260.0;1.2
235;Limburg (PV);2021;10390.0;1.1
236;Limburg (PV);2022;10420.0;1.1
237;Limburg (PV);2023;10840.0;1.1
238;Oost-Groningen (CR);2010;3370.0;2.8
239;Oost-Groningen (CR);2011;3210.0;2.6
240;Oost-Groningen (CR);2012;3130.0;2.6
241;Oost-Groningen (CR);2013;2940.0;2.4
242;Oost-Groningen (CR);2014;3110.0;2.6
243;Oost-Groningen (CR);2015;3100.0;2.6
244;Oost-Groningen (CR);2016;3020.0;2.5
245;Oost-Groningen (CR);2017;2920.0;2.4
246;Oost-Groningen (CR);2018;2540.0;2.3
247;Oost-Groningen (CR);2019;2300.0;2.1
248;Oost-Groningen (CR);2020;1970.0;1.8
249;Oost-Groningen (CR);2021;1800.0;1.6
250;Oost-Groningen (CR);2022;1690.0;1.5
251;Oost-Groningen (CR);2023;1680.0;1.5
252;Delfzijl en omgeving (CR);2010;890.0;2.3
253;Delfzijl en omgeving (CR);2011;790.0;2.0
254;Delfzijl en omgeving (CR);2012;730.0;1.9
255;Delfzijl en omgeving (CR);2013;790.0;2.0
256;Delfzijl en omgeving (CR);2014;920.0;2.4
257;Delfzijl en omgeving (CR);2015;910.0;2.4
258;Delfzijl en omgeving (CR);2016;900.0;2.4
259;Delfzijl en omgeving (CR);2017;900.0;2.4
260;Delfzijl en omgeving (CR);2018;770.0;2.0
261;Delfzijl en omgeving (CR);2019;730.0;1.9
262;Delfzijl en omgeving (CR);2020;670.0;1.8
263;Delfzijl en omgeving (CR);2021;560.0;1.5
264;Delfzijl en omgeving (CR);2022;530.0;1.4
265;Delfzijl en omgeving (CR);2023;550.0;1.5
266;Overig Groningen (CR);2010;6110.0;2.0
267;Overig Groningen (CR);2011;5520.0;1.8
268;Overig Groningen (CR);2012;5350.0;1.7
269;Overig Groningen (CR);2013;5300.0;1.7
270;Overig Groningen (CR);2014;5720.0;1.8
271;Overig Groningen (CR);2015;5780.0;1.8
272;Overig Groningen (CR);2016;5660.0;1.8
273;Overig Groningen (CR);2017;5370.0;1.7
274;Overig Groningen (CR);2018;4880.0;1.5
275;Overig Groningen (CR);2019;4500.0;1.3
276;Overig Groningen (CR);2020;4030.0;1.2
277;Overig Groningen (CR);2021;3680.0;1.1
278;Overig Groningen (CR);2022;3550.0;1.0
279;Overig Groningen (CR);2023;3630.0;1.0
280;Noord-Friesland (CR);2010;4270.0;1.6
281;Noord-Friesland (CR);2011;4700.0;1.8
282;Noord-Friesland (CR);2012;5260.0;2.0
283;Noord-Friesland (CR);2013;5310.0;2.0
284;Noord-Friesland (CR);2014;5440.0;2.1
285;Noord-Friesland (CR);2015;5220.0;2.0
286;Noord-Friesland (CR);2016;4800.0;1.9
287;Noord-Friesland (CR);2017;4530.0;1.7
288;Noord-Friesland (CR);2018;3750.0;1.5
289;Noord-Friesland (CR);2019;3620.0;1.4
290;Noord-Friesland (CR);2020;3180.0;1.2
291;Noord-Friesland (CR);2021;2820.0;1.1
292;Noord-Friesland (CR);2022;2710.0;1.0
293;Noord-Friesland (CR);2023;2750.0;1.0
294;Zuidwest-Friesland (CR);2010;960.0;1.2
295;Zuidwest-Friesland (CR);2011;1090.0;1.3
296;Zuidwest-Friesland (CR);2012;1280.0;1.5
297;Zuidwest-Friesland (CR);2013;1220.0;1.5
298;Zuidwest-Friesland (CR);2014;1540.0;1.5
299;Zuidwest-Friesland (CR);2015;1460.0;1.4
300;Zuidwest-Friesland (CR);2016;1330.0;1.2
301;Zuidwest-Friesland (CR);2017;1280.0;1.2
302;Zuidwest-Friesland (CR);2018;1060.0;0.9
303;Zuidwest-Friesland (CR);2019;1050.0;0.9
304;Zuidwest-Friesland (CR);2020;940.0;0.8
305;Zuidwest-Friesland (CR);2021;850.0;0.7
306;Zuidwest-Friesland (CR);2022;780.0;0.7
307;Zuidwest-Friesland (CR);2023;740.0;0.6
308;Zuidoost-Friesland (CR);2010;2300.0;1.4
309;Zuidoost-Friesland (CR);2011;2560.0;1.6
310;Zuidoost-Friesland (CR);2012;2780.0;1.7
311;Zuidoost-Friesland (CR);2013;2740.0;1.7
312;Zuidoost-Friesland (CR);2014;2670.0;1.8
313;Zuidoost-Friesland (CR);2015;2490.0;1.7
314;Zuidoost-Friesland (CR);2016;2310.0;1.6
315;Zuidoost-Friesland (CR);2017;2230.0;1.5
316;Zuidoost-Friesland (CR);2018;1820.0;1.2
317;Zuidoost-Friesland (CR);2019;1770.0;1.2
318;Zuidoost-Friesland (CR);2020;1550.0;1.0
319;Zuidoost-Friesland (CR);2021;1370.0;0.9
320;Zuidoost-Friesland (CR);2022;1260.0;0.8
321;Zuidoost-Friesland (CR);2023;1280.0;0.8
322;Noord-Drenthe (CR);2010;2040.0;1.4
323;Noord-Drenthe (CR);2011;2250.0;1.5
324;Noord-Drenthe (CR);2012;2240.0;1.5
325;Noord-Drenthe (CR);2013;2090.0;1.4
326;Noord-Drenthe (CR);2014;2230.0;1.5
327;Noord-Drenthe (CR);2015;2140.0;1.4
328;Noord-Drenthe (CR);2016;2070.0;1.4
329;Noord-Drenthe (CR);2017;1880.0;1.2
330;Noord-Drenthe (CR);2018;1660.0;1.1
331;Noord-Drenthe (CR);2019;1530.0;1.0
332;Noord-Drenthe (CR);2020;1370.0;0.9
333;Noord-Drenthe (CR);2021;1170.0;0.7
334;Noord-Drenthe (CR);2022;1080.0;0.7
335;Noord-Drenthe (CR);2023;1080.0;0.7
336;Zuidoost-Drenthe (CR);2010;2950.0;2.2
337;Zuidoost-Drenthe (CR);2011;3510.0;2.6
338;Zuidoost-Drenthe (CR);2012;3400.0;2.5
339;Zuidoost-Drenthe (CR);2013;3290.0;2.4
340;Zuidoost-Drenthe (CR);2014;3270.0;2.4
341;Zuidoost-Drenthe (CR);2015;3140.0;2.3
342;Zuidoost-Drenthe (CR);2016;2910.0;2.1
343;Zuidoost-Drenthe (CR);2017;2700.0;2.0
344;Zuidoost-Drenthe (CR);2018;2330.0;1.7
345;Zuidoost-Drenthe (CR);2019;2070.0;1.5
346;Zuidoost-Drenthe (CR);2020;1830.0;1.3
347;Zuidoost-Drenthe (CR);2021;1690.0;1.2
348;Zuidoost-Drenthe (CR);2022;1560.0;1.1
349;Zuidoost-Drenthe (CR);2023;1600.0;1.1
350;Zuidwest-Drenthe (CR);2010;1380.0;1.4
351;Zuidwest-Drenthe (CR);2011;1620.0;1.6
352;Zuidwest-Drenthe (CR);2012;1570.0;1.5
353;Zuidwest-Drenthe (CR);2013;1460.0;1.4
354;Zuidwest-Drenthe (CR);2014;1520.0;1.5
355;Zuidwest-Drenthe (CR);2015;1440.0;1.4
356;Zuidwest-Drenthe (CR);2016;1250.0;1.2
357;Zuidwest-Drenthe (CR);2017;1220.0;1.2
358;Zuidwest-Drenthe (CR);2018;1060.0;1.0
359;Zuidwest-Drenthe (CR);2019;980.0;0.9
360;Zuidwest-Drenthe (CR);2020;900.0;0.8
361;Zuidwest-Drenthe (CR);2021;780.0;0.7
362;Zuidwest-Drenthe (CR);2022;770.0;0.7
363;Zuidwest-Drenthe (CR);2023;790.0;0.7
364;Noord-Overijssel (CR);2010;3750.0;1.4
365;Noord-Overijssel (CR);2011;4240.0;1.5
366;Noord-Overijssel (CR);2012;3970.0;1.4
367;Noord-Overijssel (CR);2013;3790.0;1.4
368;Noord-Overijssel (CR);2014;3960.0;1.4
369;Noord-Overijssel (CR);2015;3870.0;1.4
370;Noord-Overijssel (CR);2016;3590.0;1.3
371;Noord-Overijssel (CR);2017;3330.0;1.2
372;Noord-Overijssel (CR);2018;2900.0;1.0
373;Noord-Overijssel (CR);2019;2580.0;0.9
374;Noord-Overijssel (CR);2020;2360.0;0.8
375;Noord-Overijssel (CR);2021;2040.0;0.7
376;Noord-Overijssel (CR);2022;2020.0;0.7
377;Noord-Overijssel (CR);2023;2080.0;0.7
378;Zuidwest-Overijssel (CR);2010;1610.0;1.4
379;Zuidwest-Overijssel (CR);2011;1960.0;1.6
380;Zuidwest-Overijssel (CR);2012;1920.0;1.6
381;Zuidwest-Overijssel (CR);2013;1890.0;1.6
382;Zuidwest-Overijssel (CR);2014;2050.0;1.7
383;Zuidwest-Overijssel (CR);2015;2130.0;1.8
384;Zuidwest-Overijssel (CR);2016;1950.0;1.6
385;Zuidwest-Overijssel (CR);2017;1740.0;1.4
386;Zuidwest-Overijssel (CR);2018;1530.0;1.2
387;Zuidwest-Overijssel (CR);2019;1340.0;1.1
388;Zuidwest-Overijssel (CR);2020;1380.0;1.1
389;Zuidwest-Overijssel (CR);2021;1290.0;1.0
390;Zuidwest-Overijssel (CR);2022;1250.0;1.0
391;Zuidwest-Overijssel (CR);2023;1230.0;0.9
392;Twente (CR);2010;8580.0;1.8
393;Twente (CR);2011;8390.0;1.7
394;Twente (CR);2012;8390.0;1.7
395;Twente (CR);2013;7730.0;1.6
396;Twente (CR);2014;8180.0;1.7
397;Twente (CR);2015;8630.0;1.7
398;Twente (CR);2016;7920.0;1.6
399;Twente (CR);2017;7700.0;1.5
400;Twente (CR);2018;7000.0;1.4
401;Twente (CR);2019;6160.0;1.2
402;Twente (CR);2020;5780.0;1.1
403;Twente (CR);2021;5200.0;1.0
404;Twente (CR);2022;5010.0;1.0
405;Twente (CR);2023;5100.0;1.0
406;Veluwe (CR);2010;5600.0;1.1
407;Veluwe (CR);2011;6490.0;1.3
408;Veluwe (CR);2012;6630.0;1.3
409;Veluwe (CR);2013;6950.0;1.3
410;Veluwe (CR);2014;7260.0;1.4
411;Veluwe (CR);2015;7320.0;1.4
412;Veluwe (CR);2016;6680.0;1.3
413;Veluwe (CR);2017;6100.0;1.1
414;Veluwe (CR);2018;5440.0;1.0
415;Veluwe (CR);2019;4980.0;0.9
416;Veluwe (CR);2020;4680.0;0.8
417;Veluwe (CR);2021;4320.0;0.8
418;Veluwe (CR);2022;4130.0;0.7
419;Veluwe (CR);2023;4250.0;0.7
420;Achterhoek (CR);2010;4000.0;1.3
421;Achterhoek (CR);2011;4200.0;1.3
422;Achterhoek (CR);2012;4260.0;1.3
423;Achterhoek (CR);2013;3940.0;1.2
424;Achterhoek (CR);2014;4130.0;1.3
425;Achterhoek (CR);2015;4230.0;1.3
426;Achterhoek (CR);2016;3870.0;1.2
427;Achterhoek (CR);2017;3620.0;1.1
428;Achterhoek (CR);2018;3260.0;1.0
429;Achterhoek (CR);2019;2860.0;0.9
430;Achterhoek (CR);2020;2670.0;0.8
431;Achterhoek (CR);2021;2340.0;0.7
432;Achterhoek (CR);2022;2230.0;0.7
433;Achterhoek (CR);2023;2270.0;0.7
434;Arnhem/Nijmegen (CR);2010;10700.0;1.9
435;Arnhem/Nijmegen (CR);2011;11330.0;2.0
436;Arnhem/Nijmegen (CR);2012;11430.0;2.0
437;Arnhem/Nijmegen (CR);2013;11590.0;2.0
438;Arnhem/Nijmegen (CR);2014;12350.0;2.1
439;Arnhem/Nijmegen (CR);2015;11790.0;2.0
440;Arnhem/Nijmegen (CR);2016;10820.0;1.8
441;Arnhem/Nijmegen (CR);2017;9750.0;1.6
442;Arnhem/Nijmegen (CR);2018;8740.0;1.5
443;Arnhem/Nijmegen (CR);2019;8010.0;1.3
444;Arnhem/Nijmegen (CR);2020;7340.0;1.2
445;Arnhem/Nijmegen (CR);2021;6530.0;1.1
446;Arnhem/Nijmegen (CR);2022;6440.0;1.0
447;Arnhem/Nijmegen (CR);2023;6670.0;1.1
448;Zuidwest-Gelderland (CR);2010;2800.0;1.6
449;Zuidwest-Gelderland (CR);2011;2930.0;1.6
450;Zuidwest-Gelderland (CR);2012;3040.0;1.7
451;Zuidwest-Gelderland (CR);2013;2820.0;1.5
452;Zuidwest-Gelderland (CR);2014;2950.0;1.6
453;Zuidwest-Gelderland (CR);2015;2930.0;1.6
454;Zuidwest-Gelderland (CR);2016;2790.0;1.5
455;Zuidwest-Gelderland (CR);2017;2510.0;1.3
456;Zuidwest-Gelderland (CR);2018;2210.0;1.1
457;Zuidwest-Gelderland (CR);2019;1970.0;1.0
458;Zuidwest-Gelderland (CR);2020;1900.0;1.0
459;Zuidwest-Gelderland (CR);2021;1690.0;0.8
460;Zuidwest-Gelderland (CR);2022;1640.0;0.8
461;Zuidwest-Gelderland (CR);2023;1730.0;0.8
462;Utrecht (CR);2010;11390.0;1.2
463;Utrecht (CR);2011;14210.0;1.5
464;Utrecht (CR);2012;14700.0;1.5
465;Utrecht (CR);2013;15390.0;1.6
466;Utrecht (CR);2014;16250.0;1.6
467;Utrecht (CR);2015;15770.0;1.6
468;Utrecht (CR);2016;13960.0;1.4
469;Utrecht (CR);2017;12590.0;1.2
470;Utrecht (CR);2018;11330.0;1.1
471;Utrecht (CR);2019;10640.0;1.0
472;Utrecht (CR);2020;9710.0;0.9
473;Utrecht (CR);2021;8960.0;0.8
474;Utrecht (CR);2022;8720.0;0.8
475;Utrecht (CR);2023;9300.0;0.8
476;Kop van Noord-Holland (CR);2010;4150.0;1.4
477;Kop van Noord-Holland (CR);2011;4550.0;1.6
478;Kop van Noord-Holland (CR);2012;4520.0;1.5
479;Kop van Noord-Holland (CR);2013;4310.0;1.5
480;Kop van Noord-Holland (CR);2014;4760.0;1.6
481;Kop van Noord-Holland (CR);2015;4440.0;1.5
482;Kop van Noord-Holland (CR);2016;3910.0;1.3
483;Kop van Noord-Holland (CR);2017;3530.0;1.2
484;Kop van Noord-Holland (CR);2018;3110.0;1.0
485;Kop van Noord-Holland (CR);2019;2720.0;0.9
486;Kop van Noord-Holland (CR);2020;2410.0;0.8
487;Kop van Noord-Holland (CR);2021;2210.0;0.7
488;Kop van Noord-Holland (CR);2022;2220.0;0.7
489;Kop van Noord-Holland (CR);2023;2490.0;0.8
490;Alkmaar en omgeving (CR);2010;2320.0;1.3
491;Alkmaar en omgeving (CR);2011;2610.0;1.4
492;Alkmaar en omgeving (CR);2012;2540.0;1.4
493;Alkmaar en omgeving (CR);2013;2510.0;1.4
494;Alkmaar en omgeving (CR);2014;2700.0;1.5
495;Alkmaar en omgeving (CR);2015;2650.0;1.4
496;Alkmaar en omgeving (CR);2016;2230.0;1.1
497;Alkmaar en omgeving (CR);2017;2020.0;1.0
498;Alkmaar en omgeving (CR);2018;1780.0;0.9
499;Alkmaar en omgeving (CR);2019;1580.0;0.8
500;Alkmaar en omgeving (CR);2020;1440.0;0.7
501;Alkmaar en omgeving (CR);2021;1330.0;0.6
502;Alkmaar en omgeving (CR);2022;1260.0;0.6
503;Alkmaar en omgeving (CR);2023;1450.0;0.7
504;IJmond (CR);2010;2640.0;1.7
505;IJmond (CR);2011;2800.0;1.8
506;IJmond (CR);2012;2620.0;1.7
507;IJmond (CR);2013;2560.0;1.7
508;IJmond (CR);2014;2690.0;1.7
509;IJmond (CR);2015;2600.0;1.7
510;IJmond (CR);2016;2310.0;1.5
511;IJmond (CR);2017;2260.0;1.4
512;IJmond (CR);2018;2050.0;1.3
513;IJmond (CR);2019;1820.0;1.1
514;IJmond (CR);2020;1640.0;1.0
515;IJmond (CR);2021;1530.0;0.9
516;IJmond (CR);2022;1480.0;0.9
517;IJmond (CR);2023;1660.0;1.0
518;Agglomeratie Haarlem (CR);2010;3620.0;2.0
519;Agglomeratie Haarlem (CR);2011;3880.0;2.2
520;Agglomeratie Haarlem (CR);2012;3780.0;2.1
521;Agglomeratie Haarlem (CR);2013;3830.0;2.1
522;Agglomeratie Haarlem (CR);2014;3680.0;2.0
523;Agglomeratie Haarlem (CR);2015;3510.0;1.9
524;Agglomeratie Haarlem (CR);2016;3050.0;1.6
525;Agglomeratie Haarlem (CR);2017;2650.0;1.4
526;Agglomeratie Haarlem (CR);2018;2350.0;1.3
527;Agglomeratie Haarlem (CR);2019;2020.0;1.1
528;Agglomeratie Haarlem (CR);2020;1870.0;1.0
529;Agglomeratie Haarlem (CR);2021;1800.0;1.0
530;Agglomeratie Haarlem (CR);2022;1710.0;0.9
531;Agglomeratie Haarlem (CR);2023;1720.0;0.9
532;Zaanstreek (CR);2010;2660.0;2.1
533;Zaanstreek (CR);2011;3450.0;2.7
534;Zaanstreek (CR);2012;3410.0;2.6
535;Zaanstreek (CR);2013;3490.0;2.6
536;Zaanstreek (CR);2014;3510.0;2.6
537;Zaanstreek (CR);2015;3400.0;2.5
538;Zaanstreek (CR);2016;3080.0;2.3
539;Zaanstreek (CR);2017;2870.0;2.1
540;Zaanstreek (CR);2018;2550.0;1.8
541;Zaanstreek (CR);2019;2380.0;1.7
542;Zaanstreek (CR);2020;2210.0;1.6
