ID;SBI93;Perioden;Indexcijfers_1;Ontwikkeling_2;Indexcijfers_3;Ontwikkeling_4;Indexcijfers_5;Ontwikkeling_6
118;C Delfstoffenwinning totaal;2006;191;24;176;23;222;28
119;C Delfstoffenwinning totaal;2007 januari;266;-13;266;-8;265;-21
120;C Delfstoffenwinning totaal;2007 februari;225;-18;228;-12;220;-27
121;C Delfstoffenwinning totaal;2007 maart;202;-29;211;-20;184;-43
122;C Delfstoffenwinning totaal;2007 1e kwartaal;231;-20;235;-13;223;-31
123;C Delfstoffenwinning totaal;2007 april;134;-34;124;-34;155;-35
124;C Delfstoffenwinning totaal;2007 mei;111;-21;93;-21;148;-22
125;C Delfstoffenwinning totaal;2007 juni;112;-12;89;-24;159;6
126;C Delfstoffenwinning totaal;2007 2e kwartaal;119;-25;102;-28;154;-20
127;C Delfstoffenwinning totaal;2007 juli;115;-1;98;1;149;-5
128;C Delfstoffenwinning totaal;2007 augustus;115;9;96;7;153;11
129;C Delfstoffenwinning totaal;2007 september;138;15;122;10;171;23
130;C Delfstoffenwinning totaal;2007 3e kwartaal;123;7;105;6;158;9
131;C Delfstoffenwinning totaal;2007 oktober;197;34;183;29;225;42
132;C Delfstoffenwinning totaal;2007 november;282;35;260;31;326;42
133;C Delfstoffenwinning totaal;2007 december;350;36;333;41;384;28
134;C Delfstoffenwinning totaal;2007 4e kwartaal;276;35;259;35;312;36
135;C Delfstoffenwinning totaal;2007;187;-2;175;0;211;-5
136;C Delfstoffenwinning totaal;2008 januari;317;19;292;10;368;39
137;C Delfstoffenwinning totaal;2008 februari;286;27;260;14;339;54
138;C Delfstoffenwinning totaal;2008 maart;295;46;274;30;336;83
139;C Delfstoffenwinning totaal;2008 1e kwartaal;299;30;276;17;348;56
140;C Delfstoffenwinning totaal;2008 april;242;81;222;79;285;83
141;C Delfstoffenwinning totaal;2008 mei;165;48;148;59;199;34
142;C Delfstoffenwinning totaal;2008 juni;152;35;130;45;197;24
143;C Delfstoffenwinning totaal;2008 2e kwartaal;186;56;167;63;227;47
144;C Delfstoffenwinning totaal;2008 juli;167;45;148;51;205;38
145;C Delfstoffenwinning totaal;2008 augustus;169;47;156;62;195;27
146;C Delfstoffenwinning totaal;2008 september;203;47;178;46;252;48
147;C Delfstoffenwinning totaal;2008 3e kwartaal;179;46;161;53;217;38
148;C Delfstoffenwinning totaal;2008 oktober;281;43;272;49;300;34
149;C Delfstoffenwinning totaal;2008 november;321;14;303;16;357;10
150;C Delfstoffenwinning totaal;2008 december;411;17;414;24;404;5
151;C Delfstoffenwinning totaal;2008 4e kwartaal;338;22;330;27;354;14
152;C Delfstoffenwinning totaal;2008;251;34;233;33;286;35
153;11 Energiehoudende delfstoffen;2000 januari;132;26;138;18;118;51
154;11 Energiehoudende delfstoffen;2000 februari;118;15;124;5;105;51
155;11 Energiehoudende delfstoffen;2000 maart;115;35;119;25;107;68
156;11 Energiehoudende delfstoffen;2000 1e kwartaal;122;25;127;15;110;56
157;11 Energiehoudende delfstoffen;2000 april;90;50;90;37;91;87
158;11 Energiehoudende delfstoffen;2000 mei;75;63;71;42;82;120
159;11 Energiehoudende delfstoffen;2000 juni;68;61;59;46;85;90
160;11 Energiehoudende delfstoffen;2000 2e kwartaal;78;57;74;41;86;97
161;11 Energiehoudende delfstoffen;2000 juli;72;74;69;55;79;122
162;11 Energiehoudende delfstoffen;2000 augustus;61;48;60;35;64;84
163;11 Energiehoudende delfstoffen;2000 september;66;54;66;41;67;92
164;11 Energiehoudende delfstoffen;2000 3e kwartaal;67;59;65;44;70;99
165;11 Energiehoudende delfstoffen;2000 oktober;105;67;99;48;116;118
166;11 Energiehoudende delfstoffen;2000 november;143;52;142;38;144;95
167;11 Energiehoudende delfstoffen;2000 december;155;23;161;21;143;28
168;11 Energiehoudende delfstoffen;2000 4e kwartaal;134;42;134;33;133;68
169;11 Energiehoudende delfstoffen;2000;100;41;100;30;100;74
170;11 Energiehoudende delfstoffen;2001 januari;206;56;200;45;217;83
171;11 Energiehoudende delfstoffen;2001 februari;163;38;162;30;165;57
172;11 Energiehoudende delfstoffen;2001 maart;172;49;172;45;170;59
173;11 Energiehoudende delfstoffen;2001 1e kwartaal;180;48;178;40;184;67
174;11 Energiehoudende delfstoffen;2001 april;138;53;132;47;151;66
175;11 Energiehoudende delfstoffen;2001 mei;100;34;89;25;124;50
176;11 Energiehoudende delfstoffen;2001 juni;86;28;78;32;104;22
177;11 Energiehoudende delfstoffen;2001 2e kwartaal;108;40;100;36;126;46
178;11 Energiehoudende delfstoffen;2001 juli;81;12;70;1;105;33
179;11 Energiehoudende delfstoffen;2001 augustus;76;24;71;18;86;34
180;11 Energiehoudende delfstoffen;2001 september;86;30;82;25;94;40
181;11 Energiehoudende delfstoffen;2001 3e kwartaal;81;22;74;14;95;36
182;11 Energiehoudende delfstoffen;2001 oktober;98;-6;86;-13;123;6
183;11 Energiehoudende delfstoffen;2001 november;149;4;148;4;150;4
184;11 Energiehoudende delfstoffen;2001 december;176;14;182;13;166;16
185;11 Energiehoudende delfstoffen;2001 4e kwartaal;141;5;139;4;145;9
186;11 Energiehoudende delfstoffen;2001;128;28;123;23;137;37
187;11 Energiehoudende delfstoffen;2002 januari;186;-10;190;-5;176;-19
188;11 Energiehoudende delfstoffen;2002 februari;141;-13;145;-10;132;-20
189;11 Energiehoudende delfstoffen;2002 maart;132;-23;134;-22;127;-25
190;11 Energiehoudende delfstoffen;2002 1e kwartaal;153;-15;156;-12;145;-21
191;11 Energiehoudende delfstoffen;2002 april;110;-21;110;-17;110;-28
192;11 Energiehoudende delfstoffen;2002 mei;88;-13;82;-8;99;-20
193;11 Energiehoudende delfstoffen;2002 juni;72;-17;64;-17;88;-16
194;11 Energiehoudende delfstoffen;2002 2e kwartaal;90;-17;86;-14;99;-22
195;11 Energiehoudende delfstoffen;2002 juli;74;-9;63;-10;95;-9
196;11 Energiehoudende delfstoffen;2002 augustus;61;-19;54;-23;76;-12
197;11 Energiehoudende delfstoffen;2002 september;75;-13;68;-17;89;-6
198;11 Energiehoudende delfstoffen;2002 3e kwartaal;70;-14;62;-17;87;-9
199;11 Energiehoudende delfstoffen;2002 oktober;126;28;116;35;147;19
200;11 Energiehoudende delfstoffen;2002 november;137;-8;134;-9;141;-6
201;11 Energiehoudende delfstoffen;2002 december;174;-1;175;-3;172;4
202;11 Energiehoudende delfstoffen;2002 4e kwartaal;146;3;142;2;153;5
203;11 Energiehoudende delfstoffen;2002;115;-10;112;-9;121;-12
204;11 Energiehoudende delfstoffen;2003 januari;217;17;226;19;198;12
205;11 Energiehoudende delfstoffen;2003 februari;193;37;194;33;192;45
206;11 Energiehoudende delfstoffen;2003 maart;147;12;142;6;158;24
207;11 Energiehoudende delfstoffen;2003 1e kwartaal;186;21;187;20;182;26
208;11 Energiehoudende delfstoffen;2003 april;114;4;115;4;111;2
209;11 Energiehoudende delfstoffen;2003 mei;84;-4;82;0;88;-11
210;11 Energiehoudende delfstoffen;2003 juni;61;-16;49;-24;86;-2
211;11 Energiehoudende delfstoffen;2003 2e kwartaal;86;-4;82;-4;95;-4
212;11 Energiehoudende delfstoffen;2003 juli;62;-16;51;-20;84;-11
213;11 Energiehoudende delfstoffen;2003 augustus;58;-5;49;-9;77;2
214;11 Energiehoudende delfstoffen;2003 september;75;0;69;2;86;-4
215;11 Energiehoudende delfstoffen;2003 3e kwartaal;65;-7;57;-9;82;-5
216;11 Energiehoudende delfstoffen;2003 oktober;144;14;145;24;143;-3
217;11 Energiehoudende delfstoffen;2003 november;149;9;151;13;143;1
218;11 Energiehoudende delfstoffen;2003 december;184;5;188;7;174;1
219;11 Energiehoudende delfstoffen;2003 4e kwartaal;159;9;161;13;153;0
220;11 Energiehoudende delfstoffen;2003;124;8;122;9;128;6
221;11 Energiehoudende delfstoffen;2004 januari;207;-4;217;-4;186;-6
222;11 Energiehoudende delfstoffen;2004 februari;181;-6;187;-3;169;-12
223;11 Energiehoudende delfstoffen;2004 maart;162;10;161;13;165;5
224;11 Energiehoudende delfstoffen;2004 1e kwartaal;184;-1;188;1;173;-5
225;11 Energiehoudende delfstoffen;2004 april;114;1;117;2;109;-2
226;11 Energiehoudende delfstoffen;2004 mei;87;4;77;-6;109;25
227;11 Energiehoudende delfstoffen;2004 juni;75;24;60;23;108;26
228;11 Energiehoudende delfstoffen;2004 2e kwartaal;92;7;85;3;109;15
229;11 Energiehoudende delfstoffen;2004 juli;77;25;69;36;94;11
230;11 Energiehoudende delfstoffen;2004 augustus;60;3;49;1;82;6
231;11 Energiehoudende delfstoffen;2004 september;92;24;82;19;113;32
232;11 Energiehoudende delfstoffen;2004 3e kwartaal;77;18;67;19;96;17
233;11 Energiehoudende delfstoffen;2004 oktober;124;-14;116;-20;141;-1
234;11 Energiehoudende delfstoffen;2004 november;169;14;161;6;187;30
235;11 Energiehoudende delfstoffen;2004 december;199;8;182;-3;234;34
236;11 Energiehoudende delfstoffen;2004 4e kwartaal;164;3;153;-5;187;22
237;11 Energiehoudende delfstoffen;2004;129;4;123;1;141;10
238;11 Energiehoudende delfstoffen;2005 januari;229;10;236;9;215;15
239;11 Energiehoudende delfstoffen;2005 februari;207;14;204;9;212;26
240;11 Energiehoudende delfstoffen;2005 maart;203;25;205;27;198;20
241;11 Energiehoudende delfstoffen;2005 1e kwartaal;213;16;215;14;208;20
242;11 Energiehoudende delfstoffen;2005 april;141;23;129;10;164;51
243;11 Energiehoudende delfstoffen;2005 mei;109;25;97;26;136;24
244;11 Energiehoudende delfstoffen;2005 juni;104;38;86;44;140;30
245;11 Energiehoudende delfstoffen;2005 2e kwartaal;118;28;104;23;147;35
246;11 Energiehoudende delfstoffen;2005 juli;76;-1;52;-25;127;35
247;11 Energiehoudende delfstoffen;2005 augustus;84;41;70;42;115;39
248;11 Energiehoudende delfstoffen;2005 september;100;8;90;10;119;6
249;11 Energiehoudende delfstoffen;2005 3e kwartaal;87;13;71;6;120;25
250;11 Energiehoudende delfstoffen;2005 oktober;133;7;118;2;164;16
251;11 Energiehoudende delfstoffen;2005 november;212;25;188;17;262;40
252;11 Energiehoudende delfstoffen;2005 december;279;40;261;43;318;36
253;11 Energiehoudende delfstoffen;2005 4e kwartaal;208;27;189;24;248;32
254;11 Energiehoudende delfstoffen;2005;156;21;145;17;181;28
255;11 Energiehoudende delfstoffen;2006 januari;318;39;300;27;356;66
256;11 Energiehoudende delfstoffen;2006 februari;284;37;266;31;320;51
257;11 Energiehoudende delfstoffen;2006 maart;291;44;268;31;340;72
258;11 Energiehoudende delfstoffen;2006 1e kwartaal;298;40;278;29;339;63
259;11 Energiehoudende delfstoffen;2006 april;209;49;189;46;251;53
260;11 Energiehoudende delfstoffen;2006 mei;142;30;117;21;195;44
261;11 Energiehoudende delfstoffen;2006 juni;128;23;114;32;157;12
262;11 Energiehoudende delfstoffen;2006 2e kwartaal;160;36;140;34;201;37
263;11 Energiehoudende delfstoffen;2006 juli;117;54;95;83;163;29
264;11 Energiehoudende delfstoffen;2006 augustus;106;25;88;26;143;25
265;11 Energiehoudende delfstoffen;2006 september;120;20;108;20;145;21
266;11 Energiehoudende delfstoffen;2006 3e kwartaal;114;32;97;37;150;25
267;11 Energiehoudende delfstoffen;2006 oktober;147;11;139;18;164;0
268;11 Energiehoudende delfstoffen;2006 november;212;0;199;5;241;-8
269;11 Energiehoudende delfstoffen;2006 december;265;-5;240;-8;316;0
270;11 Energiehoudende delfstoffen;2006 4e kwartaal;208;0;193;2;241;-3
271;11 Energiehoudende delfstoffen;2006;195;25;177;22;233;29
272;11 Energiehoudende delfstoffen;2007 januari;275;-13;273;-9;279;-22
273;11 Energiehoudende delfstoffen;2007 februari;232;-18;233;-13;231;-28
274;11 Energiehoudende delfstoffen;2007 maart;205;-29;212;-21;191;-44
275;11 Energiehoudende delfstoffen;2007 1e kwartaal;238;-20;239;-14;234;-31
276;11 Energiehoudende delfstoffen;2007 april;134;-36;121;-36;162;-36
277;11 Energiehoudende delfstoffen;2007 mei;109;-24;88;-25;153;-22
278;11 Energiehoudende delfstoffen;2007 juni;110;-14;84;-26;164;4
279;11 Energiehoudende delfstoffen;2007 2e kwartaal;118;-26;98;-30;159;-21
280;11 Energiehoudende delfstoffen;2007 juli;115;-2;96;1;154;-6
281;11 Energiehoudende delfstoffen;2007 augustus;114;8;93;6;158;10
282;11 Energiehoudende delfstoffen;2007 september;138;15;118;9;178;23
283;11 Energiehoudende delfstoffen;2007 3e kwartaal;122;7;102;5;163;9
284;11 Energiehoudende delfstoffen;2007 oktober;199;35;182;31;236;44
285;11 Energiehoudende delfstoffen;2007 november;290;37;264;33;344;43
286;11 Energiehoudende delfstoffen;2007 december;363;37;342;43;407;29
287;11 Energiehoudende delfstoffen;2007 4e kwartaal;284;37;263;36;329;37
288;11 Energiehoudende delfstoffen;2007;190;-2;176;-1;221;-5
289;11 Energiehoudende delfstoffen;2008 januari;329;20;300;10;390;40
290;11 Energiehoudende delfstoffen;2008 februari;295;27;265;14;358;55
291;11 Energiehoudende delfstoffen;2008 maart;304;48;279;31;356;86
292;11 Energiehoudende delfstoffen;2008 1e kwartaal;309;30;281;18;368;57
293;11 Energiehoudende delfstoffen;2008 april;248;84;224;84;298;84
294;11 Energiehoudende delfstoffen;2008 mei;166;52;147;67;206;35
295;11 Energiehoudende delfstoffen;2008 juni;152;38;127;51;204;24
296;11 Energiehoudende delfstoffen;2008 2e kwartaal;188;60;166;69;236;48
297;11 Energiehoudende delfstoffen;2008 juli;169;47;148;54;212;38
298;11 Energiehoudende delfstoffen;2008 augustus;171;50;156;67;203;29
299;11 Energiehoudende delfstoffen;2008 september;205;49;178;50;263;48
300;11 Energiehoudende delfstoffen;2008 3e kwartaal;182;49;161;57;226;38
301;11 Energiehoudende delfstoffen;2008 oktober;288;45;276;52;314;33
302;11 Energiehoudende delfstoffen;2008 november;332;14;310;17;378;10
303;11 Energiehoudende delfstoffen;2008 december;428;18;427;25;429;5
304;11 Energiehoudende delfstoffen;2008 4e kwartaal;349;23;337;28;374;14
305;11 Energiehoudende delfstoffen;2008;257;35;236;35;301;36
306;111 Aardolie- en aardgaswinning;2000 januari;137;25;144;17;121;49
307;111 Aardolie- en aardgaswinning;2000 februari;124;16;128;6;115;53
308;111 Aardolie- en aardgaswinning;2000 maart;118;36;120;25;114;70
309;111 Aardolie- en aardgaswinning;2000 1e kwartaal;126;25;131;15;117;57
310;111 Aardolie- en aardgaswinning;2000 april;91;51;89;37;96;86
311;111 Aardolie- en aardgaswinning;2000 mei;72;76;68;58;80;119
312;111 Aardolie- en aardgaswinning;2000 juni;60;65;55;49;72;99
313;111 Aardolie- en aardgaswinning;2000 2e kwartaal;75;62;71;47;83;99
314;111 Aardolie- en aardgaswinning;2000 juli;69;89;66;80;74;108
315;111 Aardolie- en aardgaswinning;2000 augustus;57;49;55;37;63;78
316;111 Aardolie- en aardgaswinning;2000 september;62;72;64;71;59;73
317;111 Aardolie- en aardgaswinning;2000 3e kwartaal;63;69;62;62;65;86
318;111 Aardolie- en aardgaswinning;2000 oktober;105;69;99;50;116;118
319;111 Aardolie- en aardgaswinning;2000 november;144;49;142;36;147;89
320;111 Aardolie- en aardgaswinning;2000 december;160;24;166;23;148;26
321;111 Aardolie- en aardgaswinning;2000 4e kwartaal;136;42;136;33;136;64
322;111 Aardolie- en aardgaswinning;2000;100;43;100;32;100;71
323;111 Aardolie- en aardgaswinning;2001 januari;220;60;213;48;233;93
324;111 Aardolie- en aardgaswinning;2001 februari;173;40;171;34;177;54
325;111 Aardolie- en aardgaswinning;2001 maart;182;53;181;50;183;60
326;111 Aardolie- en aardgaswinning;2001 1e kwartaal;192;52;189;44;198;69
327;111 Aardolie- en aardgaswinning;2001 april;145;58;137;54;160;67
328;111 Aardolie- en aardgaswinning;2001 mei;100;38;89;29;123;54
329;111 Aardolie- en aardgaswinning;2001 juni;86;43;77;40;107;48
330;111 Aardolie- en aardgaswinning;2001 2e kwartaal;110;48;101;42;130;57
331;111 Aardolie- en aardgaswinning;2001 juli;80;17;70;6;101;37
332;111 Aardolie- en aardgaswinning;2001 augustus;75;31;68;24;91;46
333;111 Aardolie- en aardgaswinning;2001 september;86;38;82;27;97;64
334;111 Aardolie- en aardgaswinning;2001 3e kwartaal;81;28;73;19;96;48
335;111 Aardolie- en aardgaswinning;2001 oktober;100;-4;85;-14;130;12
336;111 Aardolie- en aardgaswinning;2001 november;156;9;153;7;163;11
337;111 Aardolie- en aardgaswinning;2001 december;187;17;191;15;178;21
338;111 Aardolie- en aardgaswinning;2001 4e kwartaal;148;9;144;6;156;15
339;111 Aardolie- en aardgaswinning;2001;133;33;127;27;145;45
340;111 Aardolie- en aardgaswinning;2002 januari;199;-9;202;-5;193;-17
341;111 Aardolie- en aardgaswinning;2002 februari;150;-14;154;-10;141;-21
342;111 Aardolie- en aardgaswinning;2002 maart;139;-23;141;-22;137;-25
343;111 Aardolie- en aardgaswinning;2002 1e kwartaal;163;-15;165;-12;157;-21
344;111 Aardolie- en aardgaswinning;2002 april;113;-22;114;-17;109;-32
345;111 Aardolie- en aardgaswinning;2002 mei;88;-12;82;-7;99;-20
346;111 Aardolie- en aardgaswinning;2002 juni;70;-19;63;-18;86;-20
347;111 Aardolie- en aardgaswinning;2002 2e kwartaal;90;-18;86;-14;98;-25
348;111 Aardolie- en aardgaswinning;2002 juli;69;-13;63;-11;83;-17
349;111 Aardolie- en aardgaswinning;2002 augustus;59;-22;55;-19;67;-26
350;111 Aardolie- en aardgaswinning;2002 september;74;-15;68;-17;87;-10
351;111 Aardolie- en aardgaswinning;2002 3e kwartaal;67;-16;62;-16;79;-18
352;111 Aardolie- en aardgaswinning;2002 oktober;129;29;119;40;150;15
353;111 Aardolie- en aardgaswinning;2002 november;144;-8;141;-8;150;-8
354;111 Aardolie- en aardgaswinning;2002 december;186;-1;188;-1;181;1
355;111 Aardolie- en aardgaswinning;2002 4e kwartaal;153;4;150;4;160;2
356;111 Aardolie- en aardgaswinning;2002;118;-11;116;-9;123;-15
357;111 Aardolie- en aardgaswinning;2003 januari;232;16;244;21;207;8
358;111 Aardolie- en aardgaswinning;2003 februari;204;37;206;34;201;42
359;111 Aardolie- en aardgaswinning;2003 maart;152;9;148;6;160;17
360;111 Aardolie- en aardgaswinning;2003 1e kwartaal;196;21;199;20;189;21
361;111 Aardolie- en aardgaswinning;2003 april;118;5;122;7;109;0
362;111 Aardolie- en aardgaswinning;2003 mei;83;-6;84;2;81;-19
363;111 Aardolie- en aardgaswinning;2003 juni;57;-18;49;-23;76;-12
364;111 Aardolie- en aardgaswinning;2003 2e kwartaal;86;-5;85;-2;88;-10
365;111 Aardolie- en aardgaswinning;2003 juli;55;-21;49;-21;67;-20
366;111 Aardolie- en aardgaswinning;2003 augustus;54;-9;47;-14;68;0
367;111 Aardolie- en aardgaswinning;2003 september;72;-2;68;0;81;-7
368;111 Aardolie- en aardgaswinning;2003 3e kwartaal;60;-11;55;-11;72;-9
