ID;Persoonskenmerken;Perioden;AantalMinutenHuiswerkPerDag_1;HuiswerkWelEensInKnoeiBijbaanWerk_2;JaMoeilijk_3;HetGaatWel_4;NeeNietMoeilijk_5;Ja_6;Gedeeltelijk_7;Nee_8;OpleidingMoeilijkerDanVerwacht_9;OpleidingMakkelijkerDanVerwacht_10;OplMinderPraktijkGerichtDanVerwacht_11;OplMeerPraktijkGerichtDanGedacht_12;SfeerOpOpleidingValtTegen_13;AndereReden_14;ZeerGoed_15;Goed_16;NochGoedNochSlecht_17;ZeerSlecht_18;ZeerTevreden_19;Tevreden_20;NochTevredenNochOntevreden_21;ZeerOntevreden_22;OpHoogteToekomstigeBeroepsmogelijkh_23;OpDeHoogteHoeJeMoetSolliciteren_24;HeelVaak_25;Vaak_26;Soms_27;ZeldenOfNooit_28;VerderLerenStuderen_29;SolliciterenGaanWerken_30;WerkenEnTegelijkStuderen_31;IetsAnders_32;WelEensGespijbeldOfLessenVerzuimd_33;AantalUrenSpijbelen_34;VerzuimdWegensZiekteOngevalED_35;AantalDagenZiekteverzuim_36
10;12-17-jarigen;2001;94.0;17.0;9.0;46.0;45.0;64.0;20.0;16.0;8.0;6.0;7.0;1.0;5.0;8.0;19.0;62.0;15.0;4.0;16.0;56.0;19.0;9.0;22.0;48.0;22.0;40.0;28.0;10.0;75.0;9.0;14.0;1.0;13.0;2.0;37.0;3.0
11;12-17-jarigen;2003;86.0;12.0;11.0;46.0;43.0;64.0;20.0;16.0;8.0;10.0;6.0;2.0;4.0;6.0;18.0;67.0;13.0;3.0;14.0;59.0;19.0;7.0;29.0;53.0;22.0;37.0;31.0;10.0;80.0;8.0;10.0;3.0;13.0;2.0;35.0;3.0
12;18-24-jarigen;1997;125.0;16.0;18.0;38.0;44.0;63.0;24.0;13.0;3.0;5.0;10.0;4.0;2.0;13.0;16.0;64.0;15.0;4.0;20.0;52.0;21.0;7.0;27.0;42.0;;;;;35.0;40.0;21.0;5.0;41.0;3.0;23.0;4.0
13;18-24-jarigen;2001;115.0;34.0;17.0;35.0;49.0;56.0;25.0;19.0;6.0;7.0;12.0;3.0;5.0;12.0;13.0;60.0;21.0;6.0;18.0;55.0;19.0;8.0;27.0;39.0;13.0;31.0;36.0;20.0;39.0;34.0;20.0;7.0;39.0;3.0;31.0;4.0
14;18-24-jarigen;2003;118.0;26.0;12.0;38.0;50.0;61.0;21.0;18.0;4.0;7.0;11.0;2.0;4.0;11.0;16.0;62.0;16.0;5.0;21.0;57.0;15.0;7.0;27.0;37.0;12.0;33.0;35.0;20.0;38.0;36.0;20.0;5.0;34.0;2.0;30.0;3.0
15;25-29-jarigen;1997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;25-29-jarigen;2001;;;24.0;39.0;37.0;43.0;27.0;30.0;14.0;9.0;12.0;7.0;0.0;16.0;15.0;67.0;17.0;0.0;25.0;48.0;11.0;16.0;19.0;25.0;9.0;40.0;23.0;29.0;11.0;49.0;32.0;7.0;21.0;;18.0;
17;25-29-jarigen;2003;;;16.0;42.0;42.0;67.0;22.0;11.0;1.0;2.0;10.0;;2.0;17.0;25.0;59.0;11.0;5.0;33.0;48.0;15.0;4.0;23.0;24.0;11.0;23.0;31.0;35.0;8.0;55.0;31.0;6.0;13.0;;28.0;
18;0-14 jarigen;1997;88.0;2.0;5.0;43.0;51.0;;;;;;;;;;18.0;72.0;9.0;1.0;15.0;62.0;18.0;6.0;;;;;;;;;;;4.0;;25.0;3.0
19;0-14 jarigen;2001;88.0;9.0;6.0;48.0;47.0;;;;;;;;;;22.0;65.0;10.0;2.0;17.0;58.0;18.0;7.0;;;24.0;38.0;29.0;9.0;;;;;6.0;;35.0;3.0
20;0-14 jarigen;2003;82.0;10.0;8.0;50.0;42.0;;;;;;;;;;21.0;68.0;9.0;2.0;15.0;61.0;18.0;6.0;;;25.0;38.0;30.0;8.0;;;;;4.0;;32.0;3.0
21;15-24 jarigen;1997;116.0;11.0;16.0;42.0;42.0;66.0;20.0;14.0;6.0;7.0;7.0;3.0;2.0;9.0;15.0;65.0;16.0;4.0;17.0;54.0;22.0;8.0;26.0;48.0;;;;;58.0;24.0;15.0;3.0;31.0;2.0;28.0;4.0
22;15-24 jarigen;2001;108.0;29.0;15.0;39.0;46.0;60.0;23.0;18.0;7.0;6.0;10.0;2.0;5.0;10.0;14.0;60.0;21.0;6.0;16.0;54.0;20.0;10.0;25.0;43.0;16.0;36.0;32.0;16.0;55.0;23.0;17.0;5.0;31.0;3.0;35.0;4.0
23;15-24 jarigen;2003;105.0;20.0;13.0;40.0;47.0;63.0;21.0;17.0;6.0;8.0;8.0;2.0;4.0;9.0;15.0;64.0;16.0;5.0;17.0;57.0;18.0;8.0;28.0;45.0;16.0;35.0;33.0;16.0;58.0;23.0;15.0;4.0;29.0;2.0;34.0;3.0
24;25-44 jarigen;1997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;25-44 jarigen;2001;;;24.0;39.0;37.0;43.0;27.0;30.0;14.0;9.0;12.0;7.0;0.0;16.0;15.0;67.0;17.0;;25.0;48.0;11.0;16.0;19.0;25.0;9.0;40.0;23.0;29.0;11.0;49.0;32.0;7.0;21.0;;18.0;
26;25-44 jarigen;2003;;;16.0;42.0;42.0;67.0;22.0;11.0;1.0;2.0;10.0;;2.0;17.0;25.0;59.0;11.0;5.0;33.0;48.0;15.0;4.0;23.0;24.0;11.0;23.0;31.0;35.0;8.0;55.0;31.0;6.0;13.0;;28.0;
27;Opleidingsniveau: basisonderwijs;1997;54.0;1.0;2.0;41.0;57.0;;;;;;;;;;17.0;71.0;9.0;3.0;19.0;60.0;15.0;6.0;;;;;;;;;;;1.0;;19.0;
28;Opleidingsniveau: basisonderwijs;2001;67.0;;3.0;39.0;57.0;;;;;;;;;;27.0;57.0;12.0;3.0;21.0;62.0;12.0;5.0;;;37.0;30.0;23.0;10.0;;;;;1.0;;33.0;
29;Opleidingsniveau: basisonderwijs;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;Opleidingsniveau: vbo;1997;86.0;4.0;9.0;38.0;52.0;58.0;18.0;24.0;11.0;10.0;7.0;4.0;2.0;9.0;13.0;67.0;17.0;4.0;10.0;56.0;21.0;12.0;24.0;39.0;;;;;59.0;14.0;27.0;0.0;13.0;;36.0;
31;Opleidingsniveau: vbo;2001;89.0;15.0;2.0;38.0;60.0;61.0;17.0;23.0;1.0;7.0;12.0;5.0;8.0;6.0;19.0;56.0;20.0;6.0;14.0;49.0;26.0;11.0;18.0;38.0;15.0;39.0;29.0;17.0;67.0;11.0;20.0;2.0;15.0;;37.0;4.0
32;Opleidingsniveau: vbo;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;Opleidingsniveau: mavo;1997;106.0;3.0;8.0;43.0;49.0;67.0;18.0;14.0;13.0;10.0;2.0;1.0;2.0;4.0;19.0;69.0;12.0;1.0;14.0;60.0;21.0;6.0;24.0;48.0;;;;;89.0;4.0;5.0;1.0;7.0;;29.0;3.0
34;Opleidingsniveau: mavo;2001;96.0;15.0;9.0;48.0;43.0;61.0;23.0;16.0;12.0;7.0;4.0;;9.0;8.0;19.0;65.0;13.0;4.0;16.0;56.0;18.0;10.0;24.0;46.0;22.0;38.0;31.0;9.0;76.0;8.0;14.0;2.0;9.0;2.0;38.0;4.0
35;Opleidingsniveau: mavo;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;Opleidingsniveau: havo, mbo, vwo;1997;109.0;10.0;16.0;47.0;37.0;70.0;19.0;12.0;6.0;6.0;7.0;2.0;3.0;6.0;13.0;68.0;15.0;4.0;14.0;58.0;21.0;7.0;27.0;48.0;;;;;70.0;14.0;12.0;3.0;29.0;2.0;27.0;4.0
37;Opleidingsniveau: havo, mbo, vwo;2001;103.0;20.0;17.0;38.0;46.0;61.0;19.0;20.0;8.0;7.0;10.0;2.0;4.0;9.0;13.0;59.0;22.0;6.0;15.0;59.0;18.0;8.0;24.0;42.0;15.0;39.0;31.0;15.0;67.0;13.0;16.0;5.0;30.0;3.0;38.0;4.0
38;Opleidingsniveau: havo, mbo, vwo;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;Opleidingsniveau: hbo, universiteit;1997;147.0;18.0;18.0;36.0;46.0;59.0;26.0;14.0;2.0;7.0;9.0;4.0;2.0;17.0;18.0;65.0;15.0;2.0;25.0;48.0;19.0;8.0;26.0;44.0;;;;;16.0;57.0;21.0;5.0;44.0;3.0;19.0;
40;Opleidingsniveau: hbo, universiteit;2001;133.0;43.0;18.0;39.0;43.0;53.0;30.0;17.0;7.0;6.0;12.0;3.0;4.0;14.0;15.0;64.0;18.0;3.0;20.0;51.0;19.0;10.0;27.0;40.0;15.0;33.0;33.0;20.0;23.0;48.0;23.0;6.0;38.0;3.0;23.0;3.0
41;Opleidingsniveau: hbo, universiteit;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;Eenpersoonshuishouden;1997;151.0;24.0;20.0;29.0;51.0;49.0;36.0;15.0;0.0;7.0;10.0;5.0;4.0;26.0;18.0;66.0;16.0;0.0;24.0;49.0;19.0;7.0;34.0;51.0;;;;;18.0;54.0;20.0;6.0;53.0;;24.0;
43;Eenpersoonshuishouden;2001;144.0;52.0;13.0;43.0;44.0;52.0;32.0;17.0;8.0;7.0;15.0;5.0;2.0;11.0;15.0;62.0;20.0;4.0;22.0;51.0;17.0;10.0;27.0;45.0;21.0;37.0;27.0;15.0;27.0;45.0;16.0;12.0;38.0;;21.0;
44;Eenpersoonshuishouden;2003;157.0;39.0;14.0;37.0;49.0;66.0;22.0;12.0;4.0;5.0;11.0;;2.0;13.0;25.0;63.0;11.0;1.0;25.0;54.0;14.0;6.0;24.0;46.0;13.0;35.0;28.0;24.0;27.0;45.0;21.0;7.0;33.0;;30.0;
45;Lid van een eenoudergezin;1997;105.0;4.0;14.0;40.0;46.0;73.0;12.0;16.0;10.0;5.0;7.0;2.0;1.0;2.0;18.0;56.0;20.0;6.0;16.0;48.0;24.0;11.0;31.0;57.0;;;;;58.0;17.0;22.0;3.0;20.0;;36.0;
46;Lid van een eenoudergezin;2001;100.0;23.0;8.0;40.0;52.0;59.0;18.0;23.0;3.0;9.0;13.0;1.0;3.0;12.0;16.0;61.0;17.0;6.0;13.0;55.0;20.0;12.0;27.0;42.0;21.0;38.0;30.0;12.0;58.0;21.0;16.0;5.0;20.0;;47.0;4.0
47;Lid van een eenoudergezin;2003;94.0;16.0;10.0;39.0;52.0;63.0;18.0;19.0;8.0;10.0;9.0;3.0;1.0;7.0;16.0;64.0;14.0;6.0;12.0;59.0;22.0;6.0;33.0;37.0;17.0;31.0;38.0;14.0;63.0;15.0;16.0;5.0;23.0;2.0;41.0;4.0
48;Lid van paar zonder kinderen;1997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;Lid van paar zonder kinderen;2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;Lid van paar zonder kinderen;2003;;;12.0;38.0;50.0;;;;;;;;;;15.0;61.0;14.0;9.0;;;;;20.0;21.0;11.0;31.0;35.0;23.0;9.0;53.0;29.0;9.0;26.0;;30.0;
51;Lid van paar met kinderen;1997;104.0;7.0;11.0;44.0;44.0;66.0;20.0;14.0;7.0;7.0;7.0;2.0;2.0;8.0;15.0;70.0;12.0;3.0;15.0;59.0;20.0;7.0;26.0;46.0;;;;;63.0;20.0;14.0;2.0;19.0;2.0;25.0;3.0
52;Lid van paar met kinderen;2001;97.0;22.0;13.0;42.0;46.0;61.0;21.0;18.0;8.0;6.0;9.0;2.0;5.0;9.0;17.0;62.0;17.0;4.0;17.0;57.0;18.0;8.0;24.0;43.0;19.0;36.0;31.0;14.0;59.0;20.0;18.0;3.0;19.0;3.0;34.0;4.0
53;Lid van paar met kinderen;2003;92.0;16.0;11.0;45.0;44.0;63.0;21.0;16.0;6.0;8.0;8.0;2.0;4.0;9.0;17.0;65.0;14.0;3.0;17.0;58.0;17.0;7.0;28.0;46.0;19.0;36.0;32.0;13.0;63.0;20.0;14.0;3.0;17.0;2.0;32.0;3.0
54;Zeer sterk stedelijk;1997;125.0;10.0;14.0;43.0;43.0;56.0;28.0;16.0;5.0;8.0;9.0;5.0;3.0;13.0;15.0;69.0;14.0;2.0;17.0;51.0;24.0;8.0;30.0;42.0;;;;;43.0;33.0;22.0;2.0;28.0;;35.0;4.0
55;Zeer sterk stedelijk;2001;131.0;40.0;15.0;41.0;44.0;59.0;22.0;19.0;7.0;10.0;10.0;2.0;5.0;8.0;18.0;58.0;20.0;4.0;16.0;54.0;18.0;12.0;25.0;40.0;16.0;39.0;29.0;16.0;47.0;23.0;19.0;11.0;29.0;3.0;36.0;4.0
56;Zeer sterk stedelijk;2003;123.0;31.0;12.0;41.0;47.0;65.0;18.0;16.0;5.0;7.0;12.0;1.0;4.0;5.0;17.0;67.0;13.0;3.0;19.0;57.0;15.0;9.0;28.0;41.0;16.0;39.0;30.0;15.0;41.0;37.0;13.0;8.0;25.0;2.0;37.0;3.0
57;Sterk stedelijk;1997;108.0;9.0;13.0;40.0;47.0;66.0;20.0;13.0;5.0;9.0;4.0;3.0;1.0;11.0;17.0;68.0;14.0;2.0;19.0;57.0;15.0;8.0;25.0;48.0;;;;;58.0;25.0;14.0;3.0;25.0;3.0;27.0;3.0
58;Sterk stedelijk;2001;103.0;28.0;12.0;38.0;49.0;58.0;22.0;19.0;5.0;6.0;11.0;2.0;3.0;14.0;16.0;63.0;17.0;4.0;20.0;54.0;17.0;9.0;25.0;39.0;20.0;34.0;32.0;14.0;49.0;28.0;18.0;5.0;25.0;3.0;36.0;4.0
59;Sterk stedelijk;2003;105.0;25.0;13.0;41.0;47.0;58.0;23.0;18.0;7.0;9.0;8.0;2.0;4.0;11.0;21.0;60.0;14.0;4.0;20.0;54.0;20.0;7.0;29.0;45.0;20.0;33.0;32.0;15.0;52.0;25.0;20.0;4.0;19.0;2.0;33.0;3.0
60;Matig stedelijk;1997;106.0;6.0;14.0;43.0;43.0;63.0;21.0;16.0;7.0;7.0;9.0;2.0;2.0;10.0;17.0;65.0;15.0;3.0;17.0;56.0;22.0;6.0;26.0;43.0;;;;;56.0;25.0;15.0;4.0;19.0;2.0;24.0;4.0
61;Matig stedelijk;2001;102.0;20.0;13.0;44.0;43.0;56.0;25.0;18.0;10.0;5.0;12.0;2.0;3.0;11.0;14.0;63.0;18.0;5.0;16.0;57.0;18.0;9.0;26.0;44.0;18.0;39.0;29.0;13.0;57.0;21.0;19.0;2.0;21.0;3.0;35.0;3.0
62;Matig stedelijk;2003;92.0;12.0;9.0;49.0;42.0;64.0;19.0;16.0;5.0;9.0;7.0;2.0;4.0;8.0;16.0;65.0;16.0;4.0;16.0;60.0;18.0;5.0;25.0;40.0;19.0;34.0;33.0;14.0;59.0;24.0;13.0;4.0;21.0;3.0;32.0;4.0
63;Weinig stedelijk;1997;101.0;7.0;13.0;41.0;46.0;69.0;17.0;14.0;8.0;5.0;7.0;1.0;4.0;6.0;14.0;68.0;14.0;4.0;13.0;58.0;23.0;5.0;29.0;49.0;;;;;55.0;26.0;16.0;3.0;19.0;2.0;25.0;3.0
64;Weinig stedelijk;2001;96.0;20.0;10.0;45.0;45.0;60.0;22.0;18.0;9.0;6.0;8.0;4.0;5.0;8.0;20.0;62.0;13.0;4.0;16.0;54.0;23.0;7.0;21.0;44.0;21.0;35.0;30.0;14.0;56.0;25.0;17.0;3.0;17.0;3.0;34.0;3.0
65;Weinig stedelijk;2003;86.0;21.0;12.0;43.0;45.0;63.0;22.0;15.0;5.0;7.0;8.0;3.0;3.0;11.0;17.0;65.0;14.0;4.0;16.0;58.0;19.0;7.0;30.0;45.0;20.0;33.0;34.0;12.0;63.0;18.0;17.0;2.0;17.0;2.0;32.0;3.0
66;Niet stedelijk;1997;107.0;9.0;9.0;45.0;47.0;71.0;20.0;9.0;4.0;7.0;8.0;1.0;3.0;7.0;16.0;70.0;11.0;3.0;14.0;60.0;18.0;8.0;19.0;48.0;;;;;62.0;23.0;13.0;3.0;21.0;;22.0;4.0
67;Niet stedelijk;2001;83.0;21.0;12.0;40.0;48.0;60.0;24.0;16.0;8.0;7.0;7.0;2.0;8.0;8.0;14.0;61.0;18.0;6.0;15.0;60.0;17.0;8.0;26.0;44.0;17.0;37.0;32.0;14.0;55.0;24.0;19.0;2.0;19.0;2.0;30.0;5.0
68;Niet stedelijk;2003;90.0;16.0;10.0;43.0;47.0;69.0;17.0;15.0;6.0;6.0;8.0;2.0;1.0;9.0;15.0;71.0;11.0;3.0;15.0;63.0;15.0;8.0;23.0;46.0;17.0;37.0;32.0;14.0;62.0;21.0;15.0;3.0;15.0;;28.0;3.0
