ID;BedrijfstakkenBranchesSBI2008;RegioS;Perioden;BanenVanWerknemersInDecember_1
36;A-U Alle economische activiteiten;"Nederland; niet in te delen";2018 december;
37;A-U Alle economische activiteiten;"Nederland; niet in te delen";2019 december;16.6
38;A-U Alle economische activiteiten;"Nederland; niet in te delen";2020 december;16.8
39;A-U Alle economische activiteiten;"Nederland; niet in te delen";2021 december;18.0
40;A-U Alle economische activiteiten;"Nederland; niet in te delen";2022 december;20.2
41;A-U Alle economische activiteiten;"Nederland; niet in te delen";2023 december;23.3
42;A-U Alle economische activiteiten;Noord-Nederland (LD);2010 december;701.1
43;A-U Alle economische activiteiten;Noord-Nederland (LD);2011 december;703.5
44;A-U Alle economische activiteiten;Noord-Nederland (LD);2012 december;687.4
45;A-U Alle economische activiteiten;Noord-Nederland (LD);2013 december;671.2
46;A-U Alle economische activiteiten;Noord-Nederland (LD);2014 december;676.0
47;A-U Alle economische activiteiten;Noord-Nederland (LD);2015 december;688.6
48;A-U Alle economische activiteiten;Noord-Nederland (LD);2016 december;696.0
49;A-U Alle economische activiteiten;Noord-Nederland (LD);2017 december;715.8
50;A-U Alle economische activiteiten;Noord-Nederland (LD);2018 december;732.9
51;A-U Alle economische activiteiten;Noord-Nederland (LD);2019 december;744.6
52;A-U Alle economische activiteiten;Noord-Nederland (LD);2020 december;738.1
53;A-U Alle economische activiteiten;Noord-Nederland (LD);2021 december;765.2
54;A-U Alle economische activiteiten;Noord-Nederland (LD);2022 december;779.7
55;A-U Alle economische activiteiten;Noord-Nederland (LD);2023 december;783.2
56;A-U Alle economische activiteiten;Oost-Nederland (LD);2010 december;1585.7
57;A-U Alle economische activiteiten;Oost-Nederland (LD);2011 december;1605.5
58;A-U Alle economische activiteiten;Oost-Nederland (LD);2012 december;1576.7
59;A-U Alle economische activiteiten;Oost-Nederland (LD);2013 december;1533.3
60;A-U Alle economische activiteiten;Oost-Nederland (LD);2014 december;1538.5
61;A-U Alle economische activiteiten;Oost-Nederland (LD);2015 december;1559.6
62;A-U Alle economische activiteiten;Oost-Nederland (LD);2016 december;1590.4
63;A-U Alle economische activiteiten;Oost-Nederland (LD);2017 december;1632.0
64;A-U Alle economische activiteiten;Oost-Nederland (LD);2018 december;1683.0
65;A-U Alle economische activiteiten;Oost-Nederland (LD);2019 december;1707.1
66;A-U Alle economische activiteiten;Oost-Nederland (LD);2020 december;1691.8
67;A-U Alle economische activiteiten;Oost-Nederland (LD);2021 december;1751.3
68;A-U Alle economische activiteiten;Oost-Nederland (LD);2022 december;1799.0
69;A-U Alle economische activiteiten;Oost-Nederland (LD);2023 december;1806.9
70;A-U Alle economische activiteiten;West-Nederland (LD);2010 december;3884.3
71;A-U Alle economische activiteiten;West-Nederland (LD);2011 december;3899.3
72;A-U Alle economische activiteiten;West-Nederland (LD);2012 december;3838.8
73;A-U Alle economische activiteiten;West-Nederland (LD);2013 december;3798.4
74;A-U Alle economische activiteiten;West-Nederland (LD);2014 december;3829.9
75;A-U Alle economische activiteiten;West-Nederland (LD);2015 december;3881.7
76;A-U Alle economische activiteiten;West-Nederland (LD);2016 december;3939.9
77;A-U Alle economische activiteiten;West-Nederland (LD);2017 december;4052.0
78;A-U Alle economische activiteiten;West-Nederland (LD);2018 december;4161.8
79;A-U Alle economische activiteiten;West-Nederland (LD);2019 december;4240.5
80;A-U Alle economische activiteiten;West-Nederland (LD);2020 december;4152.2
81;A-U Alle economische activiteiten;West-Nederland (LD);2021 december;4300.8
82;A-U Alle economische activiteiten;West-Nederland (LD);2022 december;4437.0
83;A-U Alle economische activiteiten;West-Nederland (LD);2023 december;4493.8
84;A-U Alle economische activiteiten;Zuid-Nederland (LD);2010 december;1713.4
85;A-U Alle economische activiteiten;Zuid-Nederland (LD);2011 december;1724.7
86;A-U Alle economische activiteiten;Zuid-Nederland (LD);2012 december;1695.9
87;A-U Alle economische activiteiten;Zuid-Nederland (LD);2013 december;1667.5
88;A-U Alle economische activiteiten;Zuid-Nederland (LD);2014 december;1676.7
89;A-U Alle economische activiteiten;Zuid-Nederland (LD);2015 december;1702.0
90;A-U Alle economische activiteiten;Zuid-Nederland (LD);2016 december;1737.5
91;A-U Alle economische activiteiten;Zuid-Nederland (LD);2017 december;1794.1
92;A-U Alle economische activiteiten;Zuid-Nederland (LD);2018 december;1829.4
93;A-U Alle economische activiteiten;Zuid-Nederland (LD);2019 december;1851.6
94;A-U Alle economische activiteiten;Zuid-Nederland (LD);2020 december;1802.8
95;A-U Alle economische activiteiten;Zuid-Nederland (LD);2021 december;1862.3
96;A-U Alle economische activiteiten;Zuid-Nederland (LD);2022 december;1905.8
97;A-U Alle economische activiteiten;Zuid-Nederland (LD);2023 december;1912.8
98;A-U Alle economische activiteiten;Niet in te delen (LD);2010 december;3.7
99;A-U Alle economische activiteiten;Niet in te delen (LD);2011 december;4.8
100;A-U Alle economische activiteiten;Niet in te delen (LD);2012 december;
101;A-U Alle economische activiteiten;Niet in te delen (LD);2013 december;
102;A-U Alle economische activiteiten;Niet in te delen (LD);2014 december;
103;A-U Alle economische activiteiten;Niet in te delen (LD);2015 december;
104;A-U Alle economische activiteiten;Niet in te delen (LD);2016 december;
105;A-U Alle economische activiteiten;Niet in te delen (LD);2017 december;
106;A-U Alle economische activiteiten;Niet in te delen (LD);2018 december;
107;A-U Alle economische activiteiten;Niet in te delen (LD);2019 december;16.6
108;A-U Alle economische activiteiten;Niet in te delen (LD);2020 december;16.8
109;A-U Alle economische activiteiten;Niet in te delen (LD);2021 december;18.0
110;A-U Alle economische activiteiten;Niet in te delen (LD);2022 december;20.2
111;A-U Alle economische activiteiten;Niet in te delen (LD);2023 december;23.3
112;A-U Alle economische activiteiten;Groningen (PV);2010 december;249.2
113;A-U Alle economische activiteiten;Groningen (PV);2011 december;249.0
114;A-U Alle economische activiteiten;Groningen (PV);2012 december;240.7
115;A-U Alle economische activiteiten;Groningen (PV);2013 december;238.6
116;A-U Alle economische activiteiten;Groningen (PV);2014 december;239.3
117;A-U Alle economische activiteiten;Groningen (PV);2015 december;246.5
118;A-U Alle economische activiteiten;Groningen (PV);2016 december;252.5
119;A-U Alle economische activiteiten;Groningen (PV);2017 december;261.2
120;A-U Alle economische activiteiten;Groningen (PV);2018 december;265.1
121;A-U Alle economische activiteiten;Groningen (PV);2019 december;268.0
122;A-U Alle economische activiteiten;Groningen (PV);2020 december;265.2
123;A-U Alle economische activiteiten;Groningen (PV);2021 december;275.7
124;A-U Alle economische activiteiten;Groningen (PV);2022 december;280.7
125;A-U Alle economische activiteiten;Groningen (PV);2023 december;280.9
126;A-U Alle economische activiteiten;Fryslân (PV);2010 december;258.2
127;A-U Alle economische activiteiten;Fryslân (PV);2011 december;258.4
128;A-U Alle economische activiteiten;Fryslân (PV);2012 december;253.1
129;A-U Alle economische activiteiten;Fryslân (PV);2013 december;242.1
130;A-U Alle economische activiteiten;Fryslân (PV);2014 december;242.2
131;A-U Alle economische activiteiten;Fryslân (PV);2015 december;246.6
132;A-U Alle economische activiteiten;Fryslân (PV);2016 december;252.7
133;A-U Alle economische activiteiten;Fryslân (PV);2017 december;259.1
134;A-U Alle economische activiteiten;Fryslân (PV);2018 december;266.3
135;A-U Alle economische activiteiten;Fryslân (PV);2019 december;271.4
136;A-U Alle economische activiteiten;Fryslân (PV);2020 december;269.7
137;A-U Alle economische activiteiten;Fryslân (PV);2021 december;279.1
138;A-U Alle economische activiteiten;Fryslân (PV);2022 december;283.8
139;A-U Alle economische activiteiten;Fryslân (PV);2023 december;283.7
140;A-U Alle economische activiteiten;Drenthe (PV);2010 december;193.7
141;A-U Alle economische activiteiten;Drenthe (PV);2011 december;196.1
142;A-U Alle economische activiteiten;Drenthe (PV);2012 december;193.6
143;A-U Alle economische activiteiten;Drenthe (PV);2013 december;190.5
144;A-U Alle economische activiteiten;Drenthe (PV);2014 december;194.5
145;A-U Alle economische activiteiten;Drenthe (PV);2015 december;195.5
146;A-U Alle economische activiteiten;Drenthe (PV);2016 december;190.7
147;A-U Alle economische activiteiten;Drenthe (PV);2017 december;195.5
148;A-U Alle economische activiteiten;Drenthe (PV);2018 december;201.4
149;A-U Alle economische activiteiten;Drenthe (PV);2019 december;205.2
150;A-U Alle economische activiteiten;Drenthe (PV);2020 december;203.1
151;A-U Alle economische activiteiten;Drenthe (PV);2021 december;210.4
152;A-U Alle economische activiteiten;Drenthe (PV);2022 december;215.2
153;A-U Alle economische activiteiten;Drenthe (PV);2023 december;218.6
154;A-U Alle economische activiteiten;Overijssel (PV);2010 december;525.0
155;A-U Alle economische activiteiten;Overijssel (PV);2011 december;534.0
156;A-U Alle economische activiteiten;Overijssel (PV);2012 december;524.6
157;A-U Alle economische activiteiten;Overijssel (PV);2013 december;512.6
158;A-U Alle economische activiteiten;Overijssel (PV);2014 december;511.3
159;A-U Alle economische activiteiten;Overijssel (PV);2015 december;519.6
160;A-U Alle economische activiteiten;Overijssel (PV);2016 december;534.8
161;A-U Alle economische activiteiten;Overijssel (PV);2017 december;556.0
162;A-U Alle economische activiteiten;Overijssel (PV);2018 december;572.9
163;A-U Alle economische activiteiten;Overijssel (PV);2019 december;570.7
164;A-U Alle economische activiteiten;Overijssel (PV);2020 december;566.0
165;A-U Alle economische activiteiten;Overijssel (PV);2021 december;589.0
166;A-U Alle economische activiteiten;Overijssel (PV);2022 december;604.1
167;A-U Alle economische activiteiten;Overijssel (PV);2023 december;606.1
168;A-U Alle economische activiteiten;Flevoland (PV);2010 december;152.6
169;A-U Alle economische activiteiten;Flevoland (PV);2011 december;153.3
170;A-U Alle economische activiteiten;Flevoland (PV);2012 december;150.4
171;A-U Alle economische activiteiten;Flevoland (PV);2013 december;141.6
172;A-U Alle economische activiteiten;Flevoland (PV);2014 december;141.9
173;A-U Alle economische activiteiten;Flevoland (PV);2015 december;143.1
174;A-U Alle economische activiteiten;Flevoland (PV);2016 december;144.2
175;A-U Alle economische activiteiten;Flevoland (PV);2017 december;149.6
176;A-U Alle economische activiteiten;Flevoland (PV);2018 december;157.1
177;A-U Alle economische activiteiten;Flevoland (PV);2019 december;161.0
178;A-U Alle economische activiteiten;Flevoland (PV);2020 december;160.8
179;A-U Alle economische activiteiten;Flevoland (PV);2021 december;167.3
180;A-U Alle economische activiteiten;Flevoland (PV);2022 december;171.4
181;A-U Alle economische activiteiten;Flevoland (PV);2023 december;172.0
182;A-U Alle economische activiteiten;Gelderland (PV);2010 december;908.0
183;A-U Alle economische activiteiten;Gelderland (PV);2011 december;918.2
184;A-U Alle economische activiteiten;Gelderland (PV);2012 december;901.7
185;A-U Alle economische activiteiten;Gelderland (PV);2013 december;879.1
186;A-U Alle economische activiteiten;Gelderland (PV);2014 december;885.3
187;A-U Alle economische activiteiten;Gelderland (PV);2015 december;896.9
188;A-U Alle economische activiteiten;Gelderland (PV);2016 december;911.4
189;A-U Alle economische activiteiten;Gelderland (PV);2017 december;926.3
190;A-U Alle economische activiteiten;Gelderland (PV);2018 december;953.1
191;A-U Alle economische activiteiten;Gelderland (PV);2019 december;975.5
192;A-U Alle economische activiteiten;Gelderland (PV);2020 december;965.0
193;A-U Alle economische activiteiten;Gelderland (PV);2021 december;994.9
194;A-U Alle economische activiteiten;Gelderland (PV);2022 december;1023.5
195;A-U Alle economische activiteiten;Gelderland (PV);2023 december;1028.8
196;A-U Alle economische activiteiten;Utrecht (PV);2010 december;666.0
197;A-U Alle economische activiteiten;Utrecht (PV);2011 december;674.2
198;A-U Alle economische activiteiten;Utrecht (PV);2012 december;666.6
199;A-U Alle economische activiteiten;Utrecht (PV);2013 december;658.9
200;A-U Alle economische activiteiten;Utrecht (PV);2014 december;662.1
201;A-U Alle economische activiteiten;Utrecht (PV);2015 december;666.3
202;A-U Alle economische activiteiten;Utrecht (PV);2016 december;675.9
203;A-U Alle economische activiteiten;Utrecht (PV);2017 december;706.7
204;A-U Alle economische activiteiten;Utrecht (PV);2018 december;725.5
205;A-U Alle economische activiteiten;Utrecht (PV);2019 december;750.7
206;A-U Alle economische activiteiten;Utrecht (PV);2020 december;752.7
207;A-U Alle economische activiteiten;Utrecht (PV);2021 december;778.1
208;A-U Alle economische activiteiten;Utrecht (PV);2022 december;802.9
209;A-U Alle economische activiteiten;Utrecht (PV);2023 december;818.6
210;A-U Alle economische activiteiten;Noord-Holland (PV);2010 december;1400.6
211;A-U Alle economische activiteiten;Noord-Holland (PV);2011 december;1411.8
212;A-U Alle economische activiteiten;Noord-Holland (PV);2012 december;1388.3
213;A-U Alle economische activiteiten;Noord-Holland (PV);2013 december;1400.8
214;A-U Alle economische activiteiten;Noord-Holland (PV);2014 december;1419.9
215;A-U Alle economische activiteiten;Noord-Holland (PV);2015 december;1427.4
216;A-U Alle economische activiteiten;Noord-Holland (PV);2016 december;1462.6
217;A-U Alle economische activiteiten;Noord-Holland (PV);2017 december;1500.6
218;A-U Alle economische activiteiten;Noord-Holland (PV);2018 december;1549.6
219;A-U Alle economische activiteiten;Noord-Holland (PV);2019 december;1585.4
220;A-U Alle economische activiteiten;Noord-Holland (PV);2020 december;1516.3
221;A-U Alle economische activiteiten;Noord-Holland (PV);2021 december;1585.0
222;A-U Alle economische activiteiten;Noord-Holland (PV);2022 december;1642.3
223;A-U Alle economische activiteiten;Noord-Holland (PV);2023 december;1669.4
224;A-U Alle economische activiteiten;Zuid-Holland (PV);2010 december;1663.4
225;A-U Alle economische activiteiten;Zuid-Holland (PV);2011 december;1657.3
226;A-U Alle economische activiteiten;Zuid-Holland (PV);2012 december;1632.3
227;A-U Alle economische activiteiten;Zuid-Holland (PV);2013 december;1591.8
228;A-U Alle economische activiteiten;Zuid-Holland (PV);2014 december;1600.0
229;A-U Alle economische activiteiten;Zuid-Holland (PV);2015 december;1639.4
230;A-U Alle economische activiteiten;Zuid-Holland (PV);2016 december;1651.4
231;A-U Alle economische activiteiten;Zuid-Holland (PV);2017 december;1691.9
232;A-U Alle economische activiteiten;Zuid-Holland (PV);2018 december;1728.3
233;A-U Alle economische activiteiten;Zuid-Holland (PV);2019 december;1744.4
234;A-U Alle economische activiteiten;Zuid-Holland (PV);2020 december;1726.0
235;A-U Alle economische activiteiten;Zuid-Holland (PV);2021 december;1775.8
236;A-U Alle economische activiteiten;Zuid-Holland (PV);2022 december;1825.4
237;A-U Alle economische activiteiten;Zuid-Holland (PV);2023 december;1837.8
238;A-U Alle economische activiteiten;Zeeland (PV);2010 december;154.3
239;A-U Alle economische activiteiten;Zeeland (PV);2011 december;155.9
240;A-U Alle economische activiteiten;Zeeland (PV);2012 december;151.7
241;A-U Alle economische activiteiten;Zeeland (PV);2013 december;146.9
242;A-U Alle economische activiteiten;Zeeland (PV);2014 december;148.0
243;A-U Alle economische activiteiten;Zeeland (PV);2015 december;148.6
244;A-U Alle economische activiteiten;Zeeland (PV);2016 december;149.9
245;A-U Alle economische activiteiten;Zeeland (PV);2017 december;152.8
246;A-U Alle economische activiteiten;Zeeland (PV);2018 december;158.4
247;A-U Alle economische activiteiten;Zeeland (PV);2019 december;160.1
248;A-U Alle economische activiteiten;Zeeland (PV);2020 december;157.2
249;A-U Alle economische activiteiten;Zeeland (PV);2021 december;161.9
250;A-U Alle economische activiteiten;Zeeland (PV);2022 december;166.5
251;A-U Alle economische activiteiten;Zeeland (PV);2023 december;168.0
252;A-U Alle economische activiteiten;Noord-Brabant (PV);2010 december;1215.0
253;A-U Alle economische activiteiten;Noord-Brabant (PV);2011 december;1222.1
254;A-U Alle economische activiteiten;Noord-Brabant (PV);2012 december;1204.5
255;A-U Alle economische activiteiten;Noord-Brabant (PV);2013 december;1184.5
256;A-U Alle economische activiteiten;Noord-Brabant (PV);2014 december;1190.4
257;A-U Alle economische activiteiten;Noord-Brabant (PV);2015 december;1211.4
258;A-U Alle economische activiteiten;Noord-Brabant (PV);2016 december;1236.3
259;A-U Alle economische activiteiten;Noord-Brabant (PV);2017 december;1276.5
260;A-U Alle economische activiteiten;Noord-Brabant (PV);2018 december;1302.7
261;A-U Alle economische activiteiten;Noord-Brabant (PV);2019 december;1329.5
262;A-U Alle economische activiteiten;Noord-Brabant (PV);2020 december;1293.2
263;A-U Alle economische activiteiten;Noord-Brabant (PV);2021 december;1339.9
264;A-U Alle economische activiteiten;Noord-Brabant (PV);2022 december;1373.9
265;A-U Alle economische activiteiten;Noord-Brabant (PV);2023 december;1383.7
266;A-U Alle economische activiteiten;Limburg (PV);2010 december;498.4
267;A-U Alle economische activiteiten;Limburg (PV);2011 december;502.6
268;A-U Alle economische activiteiten;Limburg (PV);2012 december;491.4
269;A-U Alle economische activiteiten;Limburg (PV);2013 december;482.9
270;A-U Alle economische activiteiten;Limburg (PV);2014 december;486.3
271;A-U Alle economische activiteiten;Limburg (PV);2015 december;490.6
272;A-U Alle economische activiteiten;Limburg (PV);2016 december;501.1
273;A-U Alle economische activiteiten;Limburg (PV);2017 december;517.6
274;A-U Alle economische activiteiten;Limburg (PV);2018 december;526.7
275;A-U Alle economische activiteiten;Limburg (PV);2019 december;522.2
276;A-U Alle economische activiteiten;Limburg (PV);2020 december;509.7
277;A-U Alle economische activiteiten;Limburg (PV);2021 december;522.3
278;A-U Alle economische activiteiten;Limburg (PV);2022 december;531.9
279;A-U Alle economische activiteiten;Limburg (PV);2023 december;529.1
280;A-U Alle economische activiteiten;Niet in te delen (PV);2010 december;3.7
281;A-U Alle economische activiteiten;Niet in te delen (PV);2011 december;4.8
282;A-U Alle economische activiteiten;Niet in te delen (PV);2012 december;
283;A-U Alle economische activiteiten;Niet in te delen (PV);2013 december;
284;A-U Alle economische activiteiten;Niet in te delen (PV);2014 december;
285;A-U Alle economische activiteiten;Niet in te delen (PV);2015 december;
286;A-U Alle economische activiteiten;Niet in te delen (PV);2016 december;
287;A-U Alle economische activiteiten;Niet in te delen (PV);2017 december;
288;A-U Alle economische activiteiten;Niet in te delen (PV);2018 december;
289;A-U Alle economische activiteiten;Niet in te delen (PV);2019 december;16.6
290;A-U Alle economische activiteiten;Niet in te delen (PV);2020 december;16.8
291;A-U Alle economische activiteiten;Niet in te delen (PV);2021 december;18.0
292;A-U Alle economische activiteiten;Niet in te delen (PV);2022 december;20.2
293;A-U Alle economische activiteiten;Niet in te delen (PV);2023 december;23.3
294;A-U Alle economische activiteiten;Oost-Groningen (CR);2010 december;47.7
295;A-U Alle economische activiteiten;Oost-Groningen (CR);2011 december;47.8
296;A-U Alle economische activiteiten;Oost-Groningen (CR);2012 december;46.1
297;A-U Alle economische activiteiten;Oost-Groningen (CR);2013 december;45.7
298;A-U Alle economische activiteiten;Oost-Groningen (CR);2014 december;45.8
299;A-U Alle economische activiteiten;Oost-Groningen (CR);2015 december;44.8
300;A-U Alle economische activiteiten;Oost-Groningen (CR);2016 december;45.8
301;A-U Alle economische activiteiten;Oost-Groningen (CR);2017 december;46.8
302;A-U Alle economische activiteiten;Oost-Groningen (CR);2018 december;45.3
303;A-U Alle economische activiteiten;Oost-Groningen (CR);2019 december;46.5
304;A-U Alle economische activiteiten;Oost-Groningen (CR);2020 december;46.1
305;A-U Alle economische activiteiten;Oost-Groningen (CR);2021 december;47.1
306;A-U Alle economische activiteiten;Oost-Groningen (CR);2022 december;48.0
307;A-U Alle economische activiteiten;Oost-Groningen (CR);2023 december;47.8
308;A-U Alle economische activiteiten;Delfzijl en omgeving (CR);2010 december;16.3
309;A-U Alle economische activiteiten;Delfzijl en omgeving (CR);2011 december;16.8
310;A-U Alle economische activiteiten;Delfzijl en omgeving (CR);2012 december;16.7
311;A-U Alle economische activiteiten;Delfzijl en omgeving (CR);2013 december;15.8
312;A-U Alle economische activiteiten;Delfzijl en omgeving (CR);2014 december;15.5
313;A-U Alle economische activiteiten;Delfzijl en omgeving (CR);2015 december;15.8
314;A-U Alle economische activiteiten;Delfzijl en omgeving (CR);2016 december;16.1
315;A-U Alle economische activiteiten;Delfzijl en omgeving (CR);2017 december;15.9
316;A-U Alle economische activiteiten;Delfzijl en omgeving (CR);2018 december;15.7
317;A-U Alle economische activiteiten;Delfzijl en omgeving (CR);2019 december;15.8
318;A-U Alle economische activiteiten;Delfzijl en omgeving (CR);2020 december;15.9
319;A-U Alle economische activiteiten;Delfzijl en omgeving (CR);2021 december;16.8
320;A-U Alle economische activiteiten;Delfzijl en omgeving (CR);2022 december;16.2
321;A-U Alle economische activiteiten;Delfzijl en omgeving (CR);2023 december;15.6
322;A-U Alle economische activiteiten;Overig Groningen (CR);2010 december;185.2
323;A-U Alle economische activiteiten;Overig Groningen (CR);2011 december;184.4
324;A-U Alle economische activiteiten;Overig Groningen (CR);2012 december;177.9
325;A-U Alle economische activiteiten;Overig Groningen (CR);2013 december;177.1
326;A-U Alle economische activiteiten;Overig Groningen (CR);2014 december;178.0
327;A-U Alle economische activiteiten;Overig Groningen (CR);2015 december;185.8
328;A-U Alle economische activiteiten;Overig Groningen (CR);2016 december;190.6
329;A-U Alle economische activiteiten;Overig Groningen (CR);2017 december;198.6
330;A-U Alle economische activiteiten;Overig Groningen (CR);2018 december;204.2
331;A-U Alle economische activiteiten;Overig Groningen (CR);2019 december;205.7
332;A-U Alle economische activiteiten;Overig Groningen (CR);2020 december;203.2
333;A-U Alle economische activiteiten;Overig Groningen (CR);2021 december;211.8
334;A-U Alle economische activiteiten;Overig Groningen (CR);2022 december;216.5
335;A-U Alle economische activiteiten;Overig Groningen (CR);2023 december;217.5
336;A-U Alle economische activiteiten;Noord-Friesland (CR);2010 december;131.3
337;A-U Alle economische activiteiten;Noord-Friesland (CR);2011 december;131.4
338;A-U Alle economische activiteiten;Noord-Friesland (CR);2012 december;126.7
339;A-U Alle economische activiteiten;Noord-Friesland (CR);2013 december;120.2
340;A-U Alle economische activiteiten;Noord-Friesland (CR);2014 december;117.9
341;A-U Alle economische activiteiten;Noord-Friesland (CR);2015 december;121.6
342;A-U Alle economische activiteiten;Noord-Friesland (CR);2016 december;121.0
343;A-U Alle economische activiteiten;Noord-Friesland (CR);2017 december;124.7
344;A-U Alle economische activiteiten;Noord-Friesland (CR);2018 december;128.7
345;A-U Alle economische activiteiten;Noord-Friesland (CR);2019 december;129.4
346;A-U Alle economische activiteiten;Noord-Friesland (CR);2020 december;130.8
347;A-U Alle economische activiteiten;Noord-Friesland (CR);2021 december;136.7
348;A-U Alle economische activiteiten;Noord-Friesland (CR);2022 december;139.0
349;A-U Alle economische activiteiten;Noord-Friesland (CR);2023 december;137.6
350;A-U Alle economische activiteiten;Zuidwest-Friesland (CR);2010 december;38.6
351;A-U Alle economische activiteiten;Zuidwest-Friesland (CR);2011 december;38.0
352;A-U Alle economische activiteiten;Zuidwest-Friesland (CR);2012 december;37.7
353;A-U Alle economische activiteiten;Zuidwest-Friesland (CR);2013 december;35.6
354;A-U Alle economische activiteiten;Zuidwest-Friesland (CR);2014 december;45.1
355;A-U Alle economische activiteiten;Zuidwest-Friesland (CR);2015 december;45.7
356;A-U Alle economische activiteiten;Zuidwest-Friesland (CR);2016 december;48.1
357;A-U Alle economische activiteiten;Zuidwest-Friesland (CR);2017 december;49.7
358;A-U Alle economische activiteiten;Zuidwest-Friesland (CR);2018 december;51.8
359;A-U Alle economische activiteiten;Zuidwest-Friesland (CR);2019 december;52.4
360;A-U Alle economische activiteiten;Zuidwest-Friesland (CR);2020 december;51.4
361;A-U Alle economische activiteiten;Zuidwest-Friesland (CR);2021 december;52.7
362;A-U Alle economische activiteiten;Zuidwest-Friesland (CR);2022 december;53.9
363;A-U Alle economische activiteiten;Zuidwest-Friesland (CR);2023 december;53.3
364;A-U Alle economische activiteiten;Zuidoost-Friesland (CR);2010 december;88.3
365;A-U Alle economische activiteiten;Zuidoost-Friesland (CR);2011 december;89.0
366;A-U Alle economische activiteiten;Zuidoost-Friesland (CR);2012 december;88.7
367;A-U Alle economische activiteiten;Zuidoost-Friesland (CR);2013 december;86.3
368;A-U Alle economische activiteiten;Zuidoost-Friesland (CR);2014 december;79.2
369;A-U Alle economische activiteiten;Zuidoost-Friesland (CR);2015 december;79.2
370;A-U Alle economische activiteiten;Zuidoost-Friesland (CR);2016 december;83.7
371;A-U Alle economische activiteiten;Zuidoost-Friesland (CR);2017 december;84.7
372;A-U Alle economische activiteiten;Zuidoost-Friesland (CR);2018 december;85.9
373;A-U Alle economische activiteiten;Zuidoost-Friesland (CR);2019 december;89.6
374;A-U Alle economische activiteiten;Zuidoost-Friesland (CR);2020 december;87.5
375;A-U Alle economische activiteiten;Zuidoost-Friesland (CR);2021 december;89.7
376;A-U Alle economische activiteiten;Zuidoost-Friesland (CR);2022 december;90.9
377;A-U Alle economische activiteiten;Zuidoost-Friesland (CR);2023 december;92.8
378;A-U Alle economische activiteiten;Noord-Drenthe (CR);2010 december;74.3
379;A-U Alle economische activiteiten;Noord-Drenthe (CR);2011 december;72.4
380;A-U Alle economische activiteiten;Noord-Drenthe (CR);2012 december;72.4
381;A-U Alle economische activiteiten;Noord-Drenthe (CR);2013 december;70.4
382;A-U Alle economische activiteiten;Noord-Drenthe (CR);2014 december;72.3
