ID;AgeMotherOn31December;Periods;TotalLiveBornChildren_1;FirstChild_2;SecondChild_3;ThirdChild_4;FourthOrFollowingChildren_5;TotalMaritalLiveBornChildren_6;FirstChild_7;SecondChild_8;ThirdChild_9;FourthOrFollowingChildren_10;TotalNonMaritalLiveBornChildren_11;FirstChild_12;SecondChild_13;ThirdChild_14;FourthOrFollowingChildren_15;TotalLiveBornChildren_16;FirstChild_17;SecondChild_18;ThirdChild_19;FourthOrFollowingChildren_20
775;25 years;2010;7121.0;4569.0;2071.0;399.0;82.0;3808.0;2360.0;1191.0;217.0;40.0;3313.0;2209.0;880.0;182.0;42.0;71.1;45.62;20.68;3.98;0.82
776;25 years;2011;6877.0;4565.0;1911.0;341.0;60.0;3682.0;2421.0;1059.0;171.0;31.0;3195.0;2144.0;852.0;170.0;29.0;66.53;44.16;18.49;3.3;0.58
777;25 years;2012;6702.0;4437.0;1873.0;339.0;53.0;3448.0;2251.0;998.0;172.0;27.0;3254.0;2186.0;875.0;167.0;26.0;64.82;42.91;18.12;3.28;0.51
778;25 years;2013;6629.0;4440.0;1823.0;314.0;52.0;3450.0;2247.0;1002.0;168.0;33.0;3179.0;2193.0;821.0;146.0;19.0;63.97;42.85;17.59;3.03;0.5
779;25 years;2014;6545.0;4365.0;1790.0;328.0;62.0;3317.0;2143.0;994.0;150.0;30.0;3228.0;2222.0;796.0;178.0;32.0;62.31;41.55;17.04;3.12;0.59
780;26 years;1950;13671.0;5720.0;4635.0;2146.0;1170.0;13518.0;5618.0;4611.0;2130.0;1159.0;153.0;102.0;24.0;16.0;11.0;170.42;71.31;57.78;26.75;14.59
781;26 years;1951;13465.0;5881.0;4401.0;2063.0;1120.0;13328.0;5791.0;4377.0;2048.0;1112.0;137.0;90.0;24.0;15.0;8.0;171.87;75.07;56.18;26.33;14.3
782;26 years;1952;13692.0;6211.0;4388.0;1966.0;1127.0;13539.0;6111.0;4358.0;1951.0;1119.0;153.0;100.0;30.0;15.0;8.0;177.08;80.33;56.75;25.43;14.58
783;26 years;1953;13705.0;6194.0;4449.0;1949.0;1113.0;13578.0;6109.0;4424.0;1940.0;1105.0;127.0;85.0;25.0;9.0;8.0;179.41;81.08;58.24;25.51;14.57
784;26 years;1954;14280.0;6426.0;4703.0;1990.0;1161.0;14136.0;6326.0;4687.0;1974.0;1149.0;144.0;100.0;16.0;16.0;12.0;183.52;82.59;60.44;25.58;14.92
785;26 years;1955;14451.0;6734.0;4696.0;1952.0;1069.0;14333.0;6662.0;4666.0;1945.0;1060.0;118.0;72.0;30.0;7.0;9.0;187.52;87.38;60.94;25.33;13.87
786;26 years;1956;14903.0;6984.0;4969.0;1884.0;1066.0;14772.0;6895.0;4947.0;1875.0;1055.0;131.0;89.0;22.0;9.0;11.0;188.39;88.29;62.81;23.82;13.48
787;26 years;1957;15440.0;7293.0;5048.0;1988.0;1111.0;15318.0;7212.0;5025.0;1978.0;1103.0;122.0;81.0;23.0;10.0;8.0;200.05;94.49;65.41;25.76;14.4
788;26 years;1958;15645.0;7331.0;5275.0;1960.0;1079.0;15507.0;7250.0;5250.0;1945.0;1062.0;138.0;81.0;25.0;15.0;17.0;200.07;93.75;67.46;25.07;13.8
789;26 years;1959;15995.0;7340.0;5546.0;2042.0;1067.0;15864.0;7263.0;5517.0;2029.0;1055.0;131.0;77.0;29.0;13.0;12.0;213.55;98.0;74.05;27.26;14.25
790;26 years;1960;15958.0;7132.0;5725.0;2076.0;1025.0;15835.0;7060.0;5695.0;2062.0;1018.0;123.0;72.0;30.0;14.0;7.0;211.26;94.42;75.79;27.48;13.57
791;26 years;1961;16467.0;7145.0;6014.0;2196.0;1112.0;16333.0;7061.0;5989.0;2178.0;1105.0;134.0;84.0;25.0;18.0;7.0;219.72;95.34;80.25;29.3;14.84
792;26 years;1962;16637.0;7176.0;6197.0;2232.0;1032.0;16517.0;7103.0;6170.0;2223.0;1021.0;120.0;73.0;27.0;9.0;11.0;218.89;94.41;81.53;29.37;13.58
793;26 years;1963;16958.0;7167.0;6429.0;2271.0;1091.0;16812.0;7081.0;6398.0;2254.0;1079.0;146.0;86.0;31.0;17.0;12.0;223.82;94.6;84.85;29.97;14.4
794;26 years;1964;17759.0;7529.0;6748.0;2397.0;1085.0;17603.0;7431.0;6713.0;2384.0;1075.0;156.0;98.0;35.0;13.0;10.0;222.73;94.43;84.63;30.06;13.61
795;26 years;1965;17817.0;7731.0;6890.0;2269.0;927.0;17655.0;7629.0;6855.0;2253.0;918.0;162.0;102.0;35.0;16.0;9.0;219.64;95.3;84.94;27.97;11.43
796;26 years;1966;17578.0;7596.0;7034.0;2157.0;791.0;17400.0;7484.0;6996.0;2140.0;780.0;178.0;112.0;38.0;17.0;11.0;211.63;91.45;84.69;25.97;9.52
797;26 years;1967;16936.0;7389.0;6880.0;2001.0;666.0;16774.0;7284.0;6845.0;1987.0;658.0;162.0;105.0;35.0;14.0;8.0;210.04;91.64;85.33;24.82;8.26
798;26 years;1968;17488.0;7417.0;7332.0;2072.0;667.0;17311.0;7303.0;7299.0;2052.0;657.0;177.0;114.0;33.0;20.0;10.0;208.06;88.24;87.23;24.65;7.94
799;26 years;1969;19456.0;7812.0;8464.0;2451.0;729.0;19274.0;7709.0;8425.0;2426.0;714.0;182.0;103.0;39.0;25.0;15.0;212.65;85.38;92.51;26.79;7.97
800;26 years;1970;19196.0;7448.0;8591.0;2471.0;686.0;19022.0;7346.0;8561.0;2445.0;670.0;174.0;102.0;30.0;26.0;16.0;199.19;77.29;89.15;25.64;7.12
801;26 years;1971;17396.0;6916.0;7829.0;2108.0;543.0;17247.0;6829.0;7796.0;2093.0;529.0;149.0;87.0;33.0;15.0;14.0;190.1;75.58;85.55;23.04;5.93
802;26 years;1972;22971.0;9820.0;10383.0;2246.0;522.0;22794.0;9707.0;10346.0;2231.0;510.0;177.0;113.0;37.0;15.0;12.0;180.56;77.19;81.61;17.65;4.1
803;26 years;1973;20506.0;9135.0;9281.0;1719.0;371.0;20334.0;9035.0;9238.0;1697.0;364.0;172.0;100.0;43.0;22.0;7.0;165.97;73.94;75.12;13.91;3.0
804;26 years;1974;18934.0;8479.0;8710.0;1460.0;285.0;18762.0;8376.0;8666.0;1443.0;277.0;172.0;103.0;44.0;17.0;8.0;163.16;73.07;75.06;12.58;2.46
805;26 years;1975;17583.0;8135.0;7922.0;1244.0;282.0;17422.0;8060.0;7871.0;1223.0;268.0;161.0;75.0;51.0;21.0;14.0;156.81;72.55;70.65;11.09;2.52
806;26 years;1976;17373.0;7968.0;7788.0;1308.0;309.0;17186.0;7868.0;7730.0;1296.0;292.0;187.0;100.0;58.0;12.0;17.0;157.94;72.44;70.8;11.89;2.81
807;26 years;1977;16435.0;7592.0;7271.0;1305.0;267.0;16215.0;7484.0;7192.0;1283.0;256.0;220.0;108.0;79.0;22.0;11.0;149.87;69.23;66.3;11.9;2.44
808;26 years;1978;17082.0;8043.0;7378.0;1372.0;289.0;16779.0;7879.0;7285.0;1339.0;276.0;303.0;164.0;93.0;33.0;13.0;151.76;71.46;65.55;12.19;2.57
809;26 years;1979;16486.0;8047.0;6770.0;1384.0;285.0;16178.0;7856.0;6698.0;1345.0;279.0;308.0;191.0;72.0;39.0;6.0;146.86;71.68;60.31;12.33;2.54
810;26 years;1980;17093.0;8285.0;6918.0;1571.0;319.0;16667.0;8034.0;6797.0;1528.0;308.0;426.0;251.0;121.0;43.0;11.0;150.72;73.05;61.0;13.85;2.81
811;26 years;1981;16789.0;8150.0;6721.0;1564.0;354.0;16259.0;7818.0;6585.0;1515.0;341.0;530.0;332.0;136.0;49.0;13.0;145.81;70.78;58.37;13.58;3.08
812;26 years;1982;15750.0;7810.0;6184.0;1418.0;338.0;15119.0;7411.0;6023.0;1365.0;320.0;631.0;399.0;161.0;53.0;18.0;135.76;67.32;53.3;12.22;2.91
813;26 years;1983;15154.0;7780.0;5747.0;1325.0;302.0;14435.0;7303.0;5574.0;1272.0;286.0;719.0;477.0;173.0;53.0;16.0;128.64;66.04;48.79;11.25;2.56
814;26 years;1984;15411.0;8103.0;5703.0;1304.0;301.0;14610.0;7586.0;5494.0;1247.0;283.0;801.0;517.0;209.0;57.0;18.0;129.19;67.93;47.81;10.93;2.52
815;26 years;1985;15675.0;8230.0;5825.0;1305.0;315.0;14728.0;7626.0;5579.0;1226.0;297.0;947.0;604.0;246.0;79.0;18.0;128.25;67.34;47.66;10.68;2.58
816;26 years;1986;15157.0;7932.0;5600.0;1299.0;326.0;14180.0;7312.0;5343.0;1221.0;304.0;977.0;620.0;257.0;78.0;22.0;124.44;65.12;45.98;10.67;2.68
817;26 years;1987;14883.0;7902.0;5439.0;1226.0;316.0;13833.0;7228.0;5159.0;1151.0;295.0;1050.0;674.0;280.0;75.0;21.0;118.46;62.9;43.29;9.76;2.52
818;26 years;1988;14343.0;7856.0;4997.0;1170.0;320.0;13212.0;7127.0;4696.0;1097.0;292.0;1131.0;729.0;301.0;73.0;28.0;113.98;62.43;39.71;9.3;2.54
819;26 years;1989;13575.0;7544.0;4730.0;1038.0;263.0;12420.0;6800.0;4414.0;965.0;241.0;1155.0;744.0;316.0;73.0;22.0;106.56;59.22;37.13;8.15;2.06
820;26 years;1990;13886.0;7939.0;4543.0;1127.0;277.0;12545.0;7037.0;4213.0;1038.0;257.0;1341.0;902.0;330.0;89.0;20.0;107.73;61.59;35.24;8.74;2.15
821;26 years;1991;13040.0;7533.0;4251.0;976.0;280.0;11690.0;6627.0;3915.0;892.0;256.0;1350.0;906.0;336.0;84.0;24.0;103.08;59.55;33.6;7.72;2.21
822;26 years;1992;12008.0;6958.0;3922.0;914.0;214.0;10650.0;6061.0;3583.0;815.0;191.0;1358.0;897.0;339.0;99.0;23.0;96.3;55.8;31.45;7.33;1.72
823;26 years;1993;11234.0;6552.0;3649.0;819.0;214.0;9789.0;5584.0;3280.0;739.0;186.0;1445.0;968.0;369.0;80.0;28.0;90.45;52.75;29.38;6.59;1.72
824;26 years;1994;10814.0;6460.0;3346.0;779.0;229.0;9261.0;5440.0;2934.0;689.0;198.0;1553.0;1020.0;412.0;90.0;31.0;86.1;51.43;26.64;6.2;1.82
825;26 years;1995;10640.0;6407.0;3293.0;755.0;185.0;8887.0;5196.0;2864.0;656.0;171.0;1753.0;1211.0;429.0;99.0;14.0;81.39;49.01;25.19;5.78;1.42
826;26 years;1996;10077.0;6108.0;3108.0;692.0;169.0;8223.0;4802.0;2661.0;607.0;153.0;1854.0;1306.0;447.0;85.0;16.0;79.18;48.0;24.42;5.44;1.33
827;26 years;1997;9487.0;5909.0;2769.0;666.0;143.0;7381.0;4434.0;2251.0;571.0;125.0;2106.0;1475.0;518.0;95.0;18.0;77.78;48.45;22.7;5.46;1.17
828;26 years;1998;9427.0;5910.0;2666.0;683.0;168.0;7265.0;4370.0;2176.0;580.0;139.0;2162.0;1540.0;490.0;103.0;29.0;80.8;50.65;22.85;5.85;1.44
829;26 years;1999;8893.0;5662.0;2532.0;576.0;123.0;6590.0;4010.0;2001.0;477.0;102.0;2303.0;1652.0;531.0;99.0;21.0;82.85;52.75;23.59;5.37;1.15
830;26 years;2000;8786.0;5518.0;2546.0;588.0;134.0;6305.0;3724.0;1991.0;490.0;100.0;2481.0;1794.0;555.0;98.0;34.0;84.97;53.37;24.62;5.69;1.3
831;26 years;2001;8315.0;5253.0;2388.0;559.0;115.0;5764.0;3418.0;1807.0;448.0;91.0;2551.0;1835.0;581.0;111.0;24.0;83.8;52.94;24.07;5.63;1.16
832;26 years;2002;8258.0;5224.0;2385.0;536.0;113.0;5568.0;3282.0;1777.0;419.0;90.0;2690.0;1942.0;608.0;117.0;23.0;84.16;53.24;24.31;5.46;1.15
833;26 years;2003;8347.0;5321.0;2378.0;545.0;103.0;5525.0;3346.0;1683.0;418.0;78.0;2822.0;1975.0;695.0;127.0;25.0;85.48;54.49;24.35;5.58;1.06
834;26 years;2004;8208.0;5174.0;2375.0;550.0;109.0;5300.0;3140.0;1692.0;397.0;71.0;2908.0;2034.0;683.0;153.0;38.0;83.29;52.5;24.1;5.58;1.11
835;26 years;2005;7930.0;4881.0;2402.0;552.0;95.0;4981.0;2821.0;1679.0;411.0;70.0;2949.0;2060.0;723.0;141.0;25.0;81.0;49.86;24.54;5.64;0.97
836;26 years;2006;8394.0;5128.0;2571.0;568.0;127.0;5098.0;2871.0;1744.0;402.0;81.0;3296.0;2257.0;827.0;166.0;46.0;83.64;51.1;25.62;5.66;1.27
837;26 years;2007;8365.0;5195.0;2460.0;592.0;118.0;4847.0;2756.0;1604.0;413.0;74.0;3518.0;2439.0;856.0;179.0;44.0;84.26;52.33;24.78;5.96;1.19
838;26 years;2008;8345.0;5105.0;2561.0;578.0;101.0;4824.0;2727.0;1648.0;389.0;60.0;3521.0;2378.0;913.0;189.0;41.0;86.52;52.93;26.55;5.99;1.05
839;26 years;2009;8386.0;5128.0;2540.0;600.0;118.0;4573.0;2654.0;1486.0;380.0;53.0;3813.0;2474.0;1054.0;220.0;65.0;87.05;53.23;26.37;6.23;1.23
840;26 years;2010;8827.0;5415.0;2713.0;570.0;129.0;5051.0;2885.0;1729.0;362.0;75.0;3776.0;2530.0;984.0;208.0;54.0;89.18;54.71;27.41;5.76;1.3
841;26 years;2011;8624.0;5406.0;2570.0;533.0;115.0;4911.0;2933.0;1578.0;332.0;68.0;3713.0;2473.0;992.0;201.0;47.0;85.25;53.44;25.41;5.27;1.14
842;26 years;2012;8814.0;5549.0;2603.0;551.0;111.0;4806.0;2903.0;1511.0;334.0;58.0;4008.0;2646.0;1092.0;217.0;53.0;84.81;53.4;25.05;5.3;1.07
843;26 years;2013;8253.0;5117.0;2501.0;512.0;123.0;4467.0;2644.0;1433.0;313.0;77.0;3786.0;2473.0;1068.0;199.0;46.0;79.63;49.37;24.13;4.94;1.19
844;26 years;2014;8318.0;5283.0;2444.0;500.0;91.0;4420.0;2646.0;1432.0;289.0;53.0;3898.0;2637.0;1012.0;211.0;38.0;79.98;50.8;23.5;4.81;0.88
845;27 years;1950;14977.0;5463.0;5139.0;2693.0;1682.0;14825.0;5366.0;5110.0;2679.0;1670.0;152.0;97.0;29.0;14.0;12.0;183.42;66.9;62.94;32.98;20.6
846;27 years;1951;14682.0;5575.0;4880.0;2552.0;1675.0;14542.0;5490.0;4849.0;2539.0;1664.0;140.0;85.0;31.0;13.0;11.0;183.49;69.67;60.99;31.89;20.93
847;27 years;1952;14858.0;5839.0;4880.0;2509.0;1630.0;14720.0;5758.0;4846.0;2496.0;1620.0;138.0;81.0;34.0;13.0;10.0;190.98;75.05;62.73;32.25;20.95
848;27 years;1953;14351.0;5550.0;4886.0;2366.0;1549.0;14243.0;5483.0;4864.0;2358.0;1538.0;108.0;67.0;22.0;8.0;11.0;187.06;72.34;63.69;30.84;20.19
849;27 years;1954;14738.0;5791.0;4978.0;2376.0;1593.0;14625.0;5724.0;4964.0;2359.0;1578.0;113.0;67.0;14.0;17.0;15.0;194.13;76.28;65.57;31.3;20.98
850;27 years;1955;15060.0;5982.0;5118.0;2413.0;1547.0;14951.0;5923.0;5088.0;2405.0;1535.0;109.0;59.0;30.0;8.0;12.0;194.46;77.24;66.09;31.16;19.98
851;27 years;1956;15349.0;6144.0;5288.0;2370.0;1547.0;15232.0;6075.0;5270.0;2357.0;1530.0;117.0;69.0;18.0;13.0;17.0;200.1;80.1;68.94;30.9;20.17
852;27 years;1957;16222.0;6592.0;5620.0;2493.0;1517.0;16104.0;6521.0;5598.0;2480.0;1505.0;118.0;71.0;22.0;13.0;12.0;205.89;83.67;71.33;31.64;19.25
853;27 years;1958;16545.0;6625.0;5904.0;2493.0;1523.0;16433.0;6563.0;5885.0;2476.0;1509.0;112.0;62.0;19.0;17.0;14.0;214.94;86.07;76.7;32.39;19.79
854;27 years;1959;16697.0;6542.0;6072.0;2534.0;1549.0;16582.0;6481.0;6050.0;2522.0;1529.0;115.0;61.0;22.0;12.0;20.0;214.13;83.9;77.87;32.5;19.87
855;27 years;1960;16323.0;6103.0;6156.0;2565.0;1499.0;16217.0;6046.0;6138.0;2552.0;1481.0;106.0;57.0;18.0;13.0;18.0;218.97;81.87;82.58;34.41;20.11
856;27 years;1961;16760.0;6099.0;6420.0;2731.0;1510.0;16641.0;6033.0;6398.0;2713.0;1497.0;119.0;66.0;22.0;18.0;13.0;222.72;81.05;85.31;36.29;20.07
857;27 years;1962;16826.0;6074.0;6504.0;2829.0;1419.0;16705.0;6011.0;6472.0;2820.0;1402.0;121.0;63.0;32.0;9.0;17.0;224.66;81.1;86.84;37.77;18.95
858;27 years;1963;16829.0;5865.0;6636.0;2826.0;1502.0;16689.0;5791.0;6608.0;2809.0;1481.0;140.0;74.0;28.0;17.0;21.0;221.64;77.24;87.4;37.22;19.78
859;27 years;1964;17014.0;5959.0;6724.0;2912.0;1419.0;16877.0;5880.0;6694.0;2899.0;1404.0;137.0;79.0;30.0;13.0;15.0;224.85;78.75;88.86;38.48;18.75
860;27 years;1965;17198.0;6131.0;6966.0;2833.0;1268.0;17048.0;6050.0;6935.0;2814.0;1249.0;150.0;81.0;31.0;19.0;19.0;216.07;77.03;87.52;35.59;15.93
861;27 years;1966;17035.0;6106.0;7149.0;2709.0;1071.0;16877.0;6016.0;7115.0;2692.0;1054.0;158.0;90.0;34.0;17.0;17.0;210.19;75.34;88.21;33.43;13.22
862;27 years;1967;16902.0;6047.0;7279.0;2629.0;947.0;16740.0;5956.0;7244.0;2611.0;929.0;162.0;91.0;35.0;18.0;18.0;203.78;72.91;87.76;31.7;11.42
863;27 years;1968;16425.0;5737.0;7279.0;2544.0;865.0;16264.0;5648.0;7247.0;2523.0;846.0;161.0;89.0;32.0;21.0;19.0;204.17;71.31;90.48;31.62;10.75
864;27 years;1969;17096.0;5650.0;7723.0;2748.0;975.0;16941.0;5567.0;7694.0;2728.0;952.0;155.0;83.0;29.0;20.0;23.0;203.48;67.25;91.92;32.71;11.61
865;27 years;1970;17667.0;5635.0;8278.0;2848.0;906.0;17519.0;5560.0;8243.0;2829.0;887.0;148.0;75.0;35.0;19.0;19.0;192.92;61.53;90.39;31.1;9.89
866;27 years;1971;17543.0;5770.0;8291.0;2720.0;762.0;17407.0;5716.0;8242.0;2701.0;748.0;136.0;54.0;49.0;19.0;14.0;181.87;59.82;85.96;28.2;7.9
867;27 years;1972;15821.0;5515.0;7529.0;2167.0;610.0;15692.0;5453.0;7502.0;2147.0;590.0;129.0;62.0;27.0;20.0;20.0;172.58;60.16;82.13;23.64;6.65
868;27 years;1973;20244.0;7613.0;9842.0;2254.0;535.0;20107.0;7533.0;9811.0;2241.0;522.0;137.0;80.0;31.0;13.0;13.0;159.13;59.84;77.36;17.72;4.21
869;27 years;1974;19058.0;7277.0;9487.0;1881.0;413.0;18876.0;7181.0;9433.0;1863.0;399.0;182.0;96.0;54.0;18.0;14.0;154.11;58.84;76.72;15.21;3.34
870;27 years;1975;17561.0;7004.0;8496.0;1699.0;362.0;17385.0;6912.0;8452.0;1679.0;342.0;176.0;92.0;44.0;20.0;20.0;151.16;60.29;73.13;14.62;3.12
871;27 years;1976;16951.0;6822.0;8138.0;1623.0;368.0;16756.0;6724.0;8093.0;1596.0;343.0;195.0;98.0;45.0;27.0;25.0;150.77;60.68;72.39;14.44;3.27
872;27 years;1977;16670.0;6646.0;7974.0;1660.0;390.0;16448.0;6513.0;7927.0;1628.0;380.0;222.0;133.0;47.0;32.0;10.0;151.26;60.3;72.35;15.06;3.54
873;27 years;1978;16649.0;6817.0;7708.0;1767.0;357.0;16384.0;6659.0;7648.0;1737.0;340.0;265.0;158.0;60.0;30.0;17.0;151.62;62.08;70.19;16.09;3.25
874;27 years;1979;17166.0;7322.0;7553.0;1867.0;424.0;16828.0;7135.0;7462.0;1823.0;408.0;338.0;187.0;91.0;44.0;16.0;152.11;64.88;66.93;16.54;3.76
875;27 years;1980;17186.0;7447.0;7349.0;1935.0;455.0;16792.0;7226.0;7233.0;1895.0;438.0;394.0;221.0;116.0;40.0;17.0;152.55;66.1;65.23;17.18;4.04
876;27 years;1981;16855.0;7278.0;7107.0;1960.0;510.0;16363.0;6986.0;6973.0;1914.0;490.0;492.0;292.0;134.0;46.0;20.0;148.35;64.06;62.55;17.25;4.49
877;27 years;1982;16331.0;7045.0;6931.0;1878.0;477.0;15744.0;6702.0;6766.0;1813.0;463.0;587.0;343.0;165.0;65.0;14.0;141.88;61.21;60.22;16.32;4.14
878;27 years;1983;15906.0;7232.0;6481.0;1757.0;436.0;15204.0;6802.0;6289.0;1696.0;417.0;702.0;430.0;192.0;61.0;19.0;136.81;62.2;55.74;15.11;3.75
879;27 years;1984;16216.0;7579.0;6517.0;1725.0;395.0;15394.0;7084.0;6295.0;1646.0;369.0;822.0;495.0;222.0;79.0;26.0;137.64;64.33;55.32;14.64;3.35
880;27 years;1985;16123.0;7717.0;6256.0;1687.0;463.0;15244.0;7175.0;6031.0;1603.0;435.0;879.0;542.0;225.0;84.0;28.0;134.95;64.59;52.36;14.12;3.88
881;27 years;1986;16868.0;7989.0;6694.0;1743.0;442.0;15896.0;7389.0;6433.0;1661.0;413.0;972.0;600.0;261.0;82.0;29.0;137.76;65.25;54.67;14.24;3.61
882;27 years;1987;16388.0;8025.0;6303.0;1605.0;455.0;15364.0;7404.0;6040.0;1501.0;419.0;1024.0;621.0;263.0;104.0;36.0;134.28;65.75;51.65;13.15;3.73
883;27 years;1988;16050.0;8242.0;5786.0;1603.0;419.0;14912.0;7539.0;5480.0;1502.0;391.0;1138.0;703.0;306.0;101.0;28.0;127.39;65.42;45.92;12.72;3.33
884;27 years;1989;15670.0;8008.0;5672.0;1582.0;408.0;14475.0;7286.0;5356.0;1454.0;379.0;1195.0;722.0;316.0;128.0;29.0;124.13;63.43;44.93;12.53;3.23
885;27 years;1990;15691.0;8256.0;5543.0;1449.0;443.0;14357.0;7429.0;5186.0;1342.0;400.0;1334.0;827.0;357.0;107.0;43.0;122.85;64.64;43.4;11.35;3.47
886;27 years;1991;15434.0;8396.0;5266.0;1386.0;386.0;14037.0;7500.0;4908.0;1279.0;350.0;1397.0;896.0;358.0;107.0;36.0;119.14;64.81;40.65;10.7;2.98
887;27 years;1992;14321.0;7761.0;4972.0;1226.0;362.0;12954.0;6931.0;4601.0;1108.0;314.0;1367.0;830.0;371.0;118.0;48.0;112.62;61.03;39.1;9.64;2.85
888;27 years;1993;13618.0;7475.0;4698.0;1127.0;318.0;12140.0;6518.0;4292.0;1040.0;290.0;1478.0;957.0;406.0;87.0;28.0;108.65;59.64;37.48;8.99;2.54
889;27 years;1994;13122.0;7399.0;4293.0;1130.0;300.0;11437.0;6322.0;3836.0;1010.0;269.0;1685.0;1077.0;457.0;120.0;31.0;105.36;59.41;34.47;9.07;2.41
890;27 years;1995;12766.0;7337.0;4119.0;1033.0;277.0;11027.0;6207.0;3667.0;906.0;247.0;1739.0;1130.0;452.0;127.0;30.0;101.52;58.35;32.76;8.22;2.2
891;27 years;1996;12773.0;7472.0;4045.0;979.0;277.0;10688.0;6033.0;3532.0;867.0;256.0;2085.0;1439.0;513.0;112.0;21.0;97.46;57.01;30.86;7.47;2.11
892;27 years;1997;12233.0;7268.0;3883.0;859.0;223.0;9956.0;5684.0;3327.0;743.0;202.0;2277.0;1584.0;556.0;116.0;21.0;95.69;56.85;30.37;6.72;1.74
893;27 years;1998;11999.0;7354.0;3565.0;870.0;210.0;9422.0;5539.0;2959.0;747.0;177.0;2577.0;1815.0;606.0;123.0;33.0;97.9;60.0;29.09;7.1;1.71
894;27 years;1999;11638.0;7064.0;3473.0;873.0;228.0;8909.0;5159.0;2809.0;745.0;196.0;2729.0;1905.0;664.0;128.0;32.0;99.05;60.12;29.56;7.43;1.94
895;27 years;2000;11175.0;6759.0;3324.0;896.0;196.0;8371.0;4749.0;2699.0;756.0;167.0;2804.0;2010.0;625.0;140.0;29.0;103.21;62.42;30.7;8.28;1.81
896;27 years;2001;10430.0;6328.0;3190.0;710.0;202.0;7632.0;4383.0;2499.0;588.0;162.0;2798.0;1945.0;691.0;122.0;40.0;99.85;60.58;30.54;6.8;1.93
897;27 years;2002;10249.0;6174.0;3106.0;794.0;175.0;7262.0;4115.0;2362.0;641.0;144.0;2987.0;2059.0;744.0;153.0;31.0;102.34;61.65;31.02;7.93;1.75
898;27 years;2003;10090.0;6109.0;3077.0;731.0;173.0;6891.0;3879.0;2300.0;585.0;127.0;3199.0;2230.0;777.0;146.0;46.0;102.19;61.87;31.16;7.4;1.75
899;27 years;2004;9861.0;5961.0;3045.0;687.0;168.0;6640.0;3740.0;2235.0;536.0;129.0;3221.0;2221.0;810.0;151.0;39.0;100.57;60.8;31.06;7.01;1.71
900;27 years;2005;9731.0;5798.0;3053.0;727.0;153.0;6397.0;3523.0;2213.0;554.0;107.0;3334.0;2275.0;840.0;173.0;46.0;98.35;58.6;30.86;7.35;1.55
901;27 years;2006;9823.0;5733.0;3163.0;775.0;152.0;6276.0;3334.0;2238.0;587.0;117.0;3547.0;2399.0;925.0;188.0;35.0;100.2;58.48;32.26;7.91;1.55
902;27 years;2007;9975.0;5838.0;3246.0;730.0;161.0;5998.0;3180.0;2170.0;526.0;122.0;3977.0;2658.0;1076.0;204.0;39.0;99.15;58.03;32.27;7.26;1.6
903;27 years;2008;10423.0;6195.0;3290.0;781.0;157.0;6156.0;3315.0;2172.0;563.0;106.0;4267.0;2880.0;1118.0;218.0;51.0;104.33;62.01;32.93;7.82;1.57
904;27 years;2009;10106.0;6002.0;3218.0;725.0;161.0;5848.0;3241.0;2019.0;487.0;101.0;4258.0;2761.0;1199.0;238.0;60.0;103.82;61.66;33.06;7.45;1.65
905;27 years;2010;10064.0;5950.0;3182.0;746.0;186.0;6050.0;3378.0;2050.0;494.0;128.0;4014.0;2572.0;1132.0;252.0;58.0;103.6;61.25;32.76;7.68;1.92
906;27 years;2011;10125.0;6006.0;3212.0;762.0;145.0;5996.0;3341.0;2069.0;500.0;86.0;4129.0;2665.0;1143.0;262.0;59.0;101.55;60.24;32.22;7.64;1.45
907;27 years;2012;10320.0;6136.0;3250.0;753.0;181.0;5983.0;3322.0;2049.0;487.0;125.0;4337.0;2814.0;1201.0;266.0;56.0;101.5;60.35;31.96;7.41;1.78
908;27 years;2013;10131.0;6050.0;3209.0;716.0;156.0;5779.0;3241.0;1991.0;451.0;96.0;4352.0;2809.0;1218.0;265.0;60.0;97.24;58.07;30.8;6.87;1.5
909;27 years;2014;10110.0;6138.0;3120.0;688.0;164.0;5696.0;3262.0;1895.0;434.0;105.0;4414.0;2876.0;1225.0;254.0;59.0;97.24;59.04;30.01;6.62;1.58
910;28 years;1950;15255.0;4762.0;5111.0;3104.0;2278.0;15107.0;4681.0;5075.0;3087.0;2264.0;148.0;81.0;36.0;17.0;14.0;192.87;60.21;64.62;39.24;28.8
911;28 years;1951;15140.0;4828.0;5003.0;3014.0;2295.0;15013.0;4758.0;4977.0;3000.0;2278.0;127.0;70.0;26.0;14.0;17.0;185.87;59.27;61.42;37.0;28.18
912;28 years;1952;15359.0;5071.0;5060.0;2972.0;2256.0;15244.0;5005.0;5035.0;2962.0;2242.0;115.0;66.0;25.0;10.0;14.0;193.22;63.8;63.66;37.39;28.38
913;28 years;1953;14697.0;4701.0;5091.0;2766.0;2139.0;14601.0;4643.0;5074.0;2756.0;2128.0;96.0;58.0;17.0;10.0;11.0;190.35;60.89;65.94;35.82;27.7
914;28 years;1954;14637.0;4866.0;5041.0;2723.0;2007.0;14542.0;4812.0;5028.0;2707.0;1995.0;95.0;54.0;13.0;16.0;12.0;191.88;63.79;66.08;35.7;26.31
