ID;BedrijfstakBrancheSBI2008;Perioden;IndexcijfersOmzet_1;Omzetontwikkeling_2
139;D Energiebedrijven;2011 1e kwartaal;132.6;-9.7
140;D Energiebedrijven;2011 april;115.5;13.9
141;D Energiebedrijven;2011 mei;92.2;-5.5
142;D Energiebedrijven;2011 juni;93.6;5.5
143;D Energiebedrijven;2011 2e kwartaal;100.4;4.7
144;D Energiebedrijven;2011 juli;87.1;2.1
145;D Energiebedrijven;2011 augustus;95.3;1.0
146;D Energiebedrijven;2011 september;98.9;0.7
147;D Energiebedrijven;2011 3e kwartaal;93.8;1.2
148;D Energiebedrijven;2011 oktober;113.6;1.3
149;D Energiebedrijven;2011 november;134.0;5.1
150;D Energiebedrijven;2011 december;152.8;-5.3
151;D Energiebedrijven;2011 4e kwartaal;133.5;-0.1
152;D Energiebedrijven;2011;115.1;-1.8
153;D Energiebedrijven;2012 januari;137.7;3.6
154;D Energiebedrijven;2012 februari;153.0;14.9
155;D Energiebedrijven;2012 maart;139.3;5.8
156;D Energiebedrijven;2012 1e kwartaal;143.3;8.1
157;D Energiebedrijven;2012 april;108.8;-5.8
158;D Energiebedrijven;2012 mei;97.3;5.5
159;D Energiebedrijven;2012 juni;93.0;-0.6
160;D Energiebedrijven;2012 2e kwartaal;99.7;-0.7
161;D Energiebedrijven;2012 juli;87.9;0.9
162;D Energiebedrijven;2012 augustus;87.2;-8.5
163;D Energiebedrijven;2012 september;90.1;-8.9
164;D Energiebedrijven;2012 3e kwartaal;88.4;-5.8
165;D Energiebedrijven;2012 oktober;113.4;-0.2
166;D Energiebedrijven;2012 november;128.0;-4.5
167;D Energiebedrijven;2012 december;152.4;-0.3
168;D Energiebedrijven;2012 4e kwartaal;131.3;-1.7
169;D Energiebedrijven;2012;115.7;0.5
170;360 Waterleidingbedrijven;2003 januari;113.2;
171;360 Waterleidingbedrijven;2003 februari;96.1;
172;360 Waterleidingbedrijven;2003 maart;98.4;
173;360 Waterleidingbedrijven;2003 1e kwartaal;102.6;
174;360 Waterleidingbedrijven;2003 april;112.4;
175;360 Waterleidingbedrijven;2003 mei;87.5;
176;360 Waterleidingbedrijven;2003 juni;98.7;
177;360 Waterleidingbedrijven;2003 2e kwartaal;99.6;
178;360 Waterleidingbedrijven;2003 juli;116.0;
179;360 Waterleidingbedrijven;2003 augustus;104.5;
180;360 Waterleidingbedrijven;2003 september;89.2;
181;360 Waterleidingbedrijven;2003 3e kwartaal;103.2;
182;360 Waterleidingbedrijven;2003 oktober;112.9;
183;360 Waterleidingbedrijven;2003 november;91.9;
184;360 Waterleidingbedrijven;2003 december;83.2;
185;360 Waterleidingbedrijven;2003 4e kwartaal;96.0;
186;360 Waterleidingbedrijven;2003;100.3;
187;360 Waterleidingbedrijven;2004 januari;121.6;7.4
188;360 Waterleidingbedrijven;2004 februari;87.2;-9.2
189;360 Waterleidingbedrijven;2004 maart;85.5;-13.1
190;360 Waterleidingbedrijven;2004 1e kwartaal;98.1;-4.4
191;360 Waterleidingbedrijven;2004 april;110.2;-2.0
192;360 Waterleidingbedrijven;2004 mei;100.5;14.8
193;360 Waterleidingbedrijven;2004 juni;86.6;-12.2
194;360 Waterleidingbedrijven;2004 2e kwartaal;99.1;-0.5
195;360 Waterleidingbedrijven;2004 juli;121.4;4.6
196;360 Waterleidingbedrijven;2004 augustus;93.1;-11.0
197;360 Waterleidingbedrijven;2004 september;83.8;-6.1
198;360 Waterleidingbedrijven;2004 3e kwartaal;99.4;-3.7
199;360 Waterleidingbedrijven;2004 oktober;104.9;-7.1
200;360 Waterleidingbedrijven;2004 november;97.9;6.6
201;360 Waterleidingbedrijven;2004 december;89.5;7.6
202;360 Waterleidingbedrijven;2004 4e kwartaal;97.4;1.5
203;360 Waterleidingbedrijven;2004;98.5;-1.8
204;360 Waterleidingbedrijven;2005 januari;125.3;3.1
205;360 Waterleidingbedrijven;2005 februari;89.4;2.6
206;360 Waterleidingbedrijven;2005 maart;86.0;0.5
207;360 Waterleidingbedrijven;2005 1e kwartaal;100.3;2.2
208;360 Waterleidingbedrijven;2005 april;111.9;1.6
209;360 Waterleidingbedrijven;2005 mei;94.8;-5.7
210;360 Waterleidingbedrijven;2005 juni;96.6;11.5
211;360 Waterleidingbedrijven;2005 2e kwartaal;101.1;2.0
212;360 Waterleidingbedrijven;2005 juli;111.8;-7.9
213;360 Waterleidingbedrijven;2005 augustus;98.5;5.9
214;360 Waterleidingbedrijven;2005 september;85.6;2.0
215;360 Waterleidingbedrijven;2005 3e kwartaal;98.6;-0.8
216;360 Waterleidingbedrijven;2005 oktober;115.8;10.4
217;360 Waterleidingbedrijven;2005 november;91.6;-6.5
218;360 Waterleidingbedrijven;2005 december;92.7;3.7
219;360 Waterleidingbedrijven;2005 4e kwartaal;100.0;2.7
220;360 Waterleidingbedrijven;2005;100.0;1.5
221;360 Waterleidingbedrijven;2006 januari;126.0;0.5
222;360 Waterleidingbedrijven;2006 februari;90.8;1.6
223;360 Waterleidingbedrijven;2006 maart;87.9;2.3
224;360 Waterleidingbedrijven;2006 1e kwartaal;101.6;1.3
225;360 Waterleidingbedrijven;2006 april;110.1;-1.6
226;360 Waterleidingbedrijven;2006 mei;94.9;0.2
227;360 Waterleidingbedrijven;2006 juni;94.8;-1.8
228;360 Waterleidingbedrijven;2006 2e kwartaal;99.9;-1.1
229;360 Waterleidingbedrijven;2006 juli;138.4;23.8
230;360 Waterleidingbedrijven;2006 augustus;99.2;0.7
231;360 Waterleidingbedrijven;2006 september;108.4;26.7
232;360 Waterleidingbedrijven;2006 3e kwartaal;115.3;16.9
233;360 Waterleidingbedrijven;2006 oktober;116.9;1.0
234;360 Waterleidingbedrijven;2006 november;89.8;-1.9
235;360 Waterleidingbedrijven;2006 december;94.7;2.1
236;360 Waterleidingbedrijven;2006 4e kwartaal;100.5;0.4
237;360 Waterleidingbedrijven;2006;104.3;4.3
238;360 Waterleidingbedrijven;2007 januari;128.2;1.7
239;360 Waterleidingbedrijven;2007 februari;99.7;9.8
240;360 Waterleidingbedrijven;2007 maart;88.2;0.3
241;360 Waterleidingbedrijven;2007 1e kwartaal;105.4;3.7
242;360 Waterleidingbedrijven;2007 april;115.7;5.1
243;360 Waterleidingbedrijven;2007 mei;89.3;-5.9
244;360 Waterleidingbedrijven;2007 juni;102.0;7.6
245;360 Waterleidingbedrijven;2007 2e kwartaal;102.4;2.4
246;360 Waterleidingbedrijven;2007 juli;97.6;-29.5
247;360 Waterleidingbedrijven;2007 augustus;97.1;-2.1
248;360 Waterleidingbedrijven;2007 september;98.1;-9.5
249;360 Waterleidingbedrijven;2007 3e kwartaal;97.6;-15.4
250;360 Waterleidingbedrijven;2007 oktober;108.9;-6.9
251;360 Waterleidingbedrijven;2007 november;99.3;10.5
252;360 Waterleidingbedrijven;2007 december;116.4;22.9
253;360 Waterleidingbedrijven;2007 4e kwartaal;108.2;7.7
254;360 Waterleidingbedrijven;2007;103.4;-0.9
255;360 Waterleidingbedrijven;2008 januari;110.7;-13.6
256;360 Waterleidingbedrijven;2008 februari;121.1;21.5
257;360 Waterleidingbedrijven;2008 maart;74.8;-15.2
258;360 Waterleidingbedrijven;2008 1e kwartaal;102.2;-3.0
259;360 Waterleidingbedrijven;2008 april;112.4;-2.9
260;360 Waterleidingbedrijven;2008 mei;98.6;10.4
261;360 Waterleidingbedrijven;2008 juni;107.0;4.9
262;360 Waterleidingbedrijven;2008 2e kwartaal;106.0;3.5
263;360 Waterleidingbedrijven;2008 juli;107.4;10.0
264;360 Waterleidingbedrijven;2008 augustus;102.8;5.9
265;360 Waterleidingbedrijven;2008 september;101.8;3.8
266;360 Waterleidingbedrijven;2008 3e kwartaal;104.0;6.6
267;360 Waterleidingbedrijven;2008 oktober;105.7;-2.9
268;360 Waterleidingbedrijven;2008 november;96.4;-2.9
269;360 Waterleidingbedrijven;2008 december;100.7;-13.4
270;360 Waterleidingbedrijven;2008 4e kwartaal;100.9;-6.7
271;360 Waterleidingbedrijven;2008;103.3;-0.1
272;360 Waterleidingbedrijven;2009 januari;114.3;3.3
273;360 Waterleidingbedrijven;2009 februari;100.2;-17.3
274;360 Waterleidingbedrijven;2009 maart;100.2;34.0
275;360 Waterleidingbedrijven;2009 1e kwartaal;104.9;2.7
276;360 Waterleidingbedrijven;2009 april;116.7;3.8
277;360 Waterleidingbedrijven;2009 mei;94.9;-3.7
278;360 Waterleidingbedrijven;2009 juni;102.4;-4.3
279;360 Waterleidingbedrijven;2009 2e kwartaal;104.7;-1.2
280;360 Waterleidingbedrijven;2009 juli;117.9;9.8
281;360 Waterleidingbedrijven;2009 augustus;109.2;6.2
282;360 Waterleidingbedrijven;2009 september;84.9;-16.6
283;360 Waterleidingbedrijven;2009 3e kwartaal;104.0;0.0
284;360 Waterleidingbedrijven;2009 oktober;116.9;10.6
285;360 Waterleidingbedrijven;2009 november;95.0;-1.4
286;360 Waterleidingbedrijven;2009 december;107.9;7.2
287;360 Waterleidingbedrijven;2009 4e kwartaal;106.6;5.6
288;360 Waterleidingbedrijven;2009;105.0;1.7
289;360 Waterleidingbedrijven;2010 januari;113.9;-0.4
290;360 Waterleidingbedrijven;2010 februari;99.3;-0.9
291;360 Waterleidingbedrijven;2010 maart;105.8;5.6
292;360 Waterleidingbedrijven;2010 1e kwartaal;106.3;1.4
293;360 Waterleidingbedrijven;2010 april;117.6;0.8
294;360 Waterleidingbedrijven;2010 mei;95.0;0.1
295;360 Waterleidingbedrijven;2010 juni;117.1;14.4
296;360 Waterleidingbedrijven;2010 2e kwartaal;109.9;5.0
297;360 Waterleidingbedrijven;2010 juli;124.6;5.7
298;360 Waterleidingbedrijven;2010 augustus;94.9;-13.1
299;360 Waterleidingbedrijven;2010 september;105.1;23.8
300;360 Waterleidingbedrijven;2010 3e kwartaal;108.2;4.1
301;360 Waterleidingbedrijven;2010 oktober;114.9;-1.7
302;360 Waterleidingbedrijven;2010 november;97.5;2.6
303;360 Waterleidingbedrijven;2010 december;118.2;9.5
304;360 Waterleidingbedrijven;2010 4e kwartaal;110.2;3.4
305;360 Waterleidingbedrijven;2010;108.7;3.5
306;360 Waterleidingbedrijven;2011 januari;113.2;-0.7
307;360 Waterleidingbedrijven;2011 februari;99.5;0.2
308;360 Waterleidingbedrijven;2011 maart;104.8;-1.0
309;360 Waterleidingbedrijven;2011 1e kwartaal;105.8;-0.5
310;360 Waterleidingbedrijven;2011 april;121.5;3.3
311;360 Waterleidingbedrijven;2011 mei;104.5;10.0
312;360 Waterleidingbedrijven;2011 juni;115.7;-1.2
313;360 Waterleidingbedrijven;2011 2e kwartaal;113.9;3.6
314;360 Waterleidingbedrijven;2011 juli;118.4;-5.0
315;360 Waterleidingbedrijven;2011 augustus;97.2;2.4
316;360 Waterleidingbedrijven;2011 september;104.8;-0.3
317;360 Waterleidingbedrijven;2011 3e kwartaal;106.8;-1.3
318;360 Waterleidingbedrijven;2011 oktober;116.8;1.7
319;360 Waterleidingbedrijven;2011 november;98.6;1.1
320;360 Waterleidingbedrijven;2011 december;109.5;-7.4
321;360 Waterleidingbedrijven;2011 4e kwartaal;108.3;-1.7
322;360 Waterleidingbedrijven;2011;108.7;0.0
323;360 Waterleidingbedrijven;2012 januari;112.1;-1.0
324;360 Waterleidingbedrijven;2012 februari;97.8;-1.7
325;360 Waterleidingbedrijven;2012 maart;104.6;-0.2
326;360 Waterleidingbedrijven;2012 1e kwartaal;104.8;-1.0
327;360 Waterleidingbedrijven;2012 april;104.6;-13.9
328;360 Waterleidingbedrijven;2012 mei;91.5;-12.4
329;360 Waterleidingbedrijven;2012 juni;99.3;-14.2
330;360 Waterleidingbedrijven;2012 2e kwartaal;98.5;-13.5
331;360 Waterleidingbedrijven;2012 juli;112.6;-4.9
332;360 Waterleidingbedrijven;2012 augustus;90.8;-6.6
333;360 Waterleidingbedrijven;2012 september;93.2;-11.1
334;360 Waterleidingbedrijven;2012 3e kwartaal;98.9;-7.4
335;360 Waterleidingbedrijven;2012 oktober;108.4;-7.2
336;360 Waterleidingbedrijven;2012 november;90.3;-8.4
337;360 Waterleidingbedrijven;2012 december;98.1;-10.4
338;360 Waterleidingbedrijven;2012 4e kwartaal;98.9;-8.7
339;360 Waterleidingbedrijven;2012;100.3;-7.7
