ID;LabourVolumeTeachers;Periods;Institutions_1;TotalPupilsStudentsAvPerInst_2;Music_3;Dance_4;Art_5;AudioVisual_6;Drama_7;LanguageAndLiterature_8;Other_9;TotalManYears_10;Teachers_11;TotalReceiptsAvPerInstitution_12;SubsidiesGrantedByMunicipalities_13;SubsidiesGrantedByProvinces_14;Fees_15;OtherReceipts_16;TotalExpenditureAvPerInstitution_17;TeachingStaff_18;Accommodation_19;OtherCosts_20
36;10 - 15 man-years;2001;49;1681;81;8;7;1;1;0;2;17;71.0;977;62;1;29;8;977;78;10;12
37;10 - 15 man-years;2003;46;1584;78;9;8;1;2;0;1;17;71.0;1001;59;2;29;10;1001;76;9;15
38;10 - 15 man-years;2005;46;1811;76;7;8;0;2;0;6;19;64.0;1253;55;8;29;8;1253;71;10;19
39;10 - 15 man-years;2007;51;1976;67;9;11;1;5;0;8;19;66.0;1174;58;4;30;8;1174;72;10;18
40;15 - 20 man-years;1993;27;1894;82;5;5;0;1;0;8;23;78.0;872;69;1;28;2;887;61;11;28
41;15 - 20 man-years;1995;29;1931;86;9;5;0;0;0;0;22;;1029;68;2;28;2;1025;78;9;13
42;15 - 20 man-years;1997;22;2196;68;11;13;1;4;0;4;27;64.0;1217;67;1;28;4;1217;75;11;14
43;15 - 20 man-years;1999;24;1967;81;5;9;1;3;0;1;23;73.0;1062;67;1;27;5;1062;76;12;12
44;15 - 20 man-years;2001;30;2462;58;11;19;2;8;0;2;24;71.0;1345;62;1;32;5;1345;77;9;14
45;15 - 20 man-years;2003;25;2260;73;8;11;1;3;0;3;26;63.0;1312;51;9;28;12;1312;71;8;21
46;15 - 20 man-years;2005;24;1794;81;6;8;1;2;0;2;24;70.0;1431;63;1;29;8;1431;76;12;12
47;15 - 20 man-years;2007;27;2092;75;8;8;4;4;0;1;24;70.0;1512;60;1;30;10;1512;77;11;12
48;20 - 25 man-years;1993;23;2292;72;10;10;1;1;0;6;29;76.0;1183;68;1;29;2;1183;58;8;34
49;20 - 25 man-years;1995;13;2789;66;7;15;1;2;0;8;32;;1342;64;4;27;5;1349;75;13;12
50;20 - 25 man-years;1997;18;2470;79;11;8;0;1;0;0;30;75.0;1385;68;1;29;2;1385;72;12;16
51;20 - 25 man-years;1999;17;2585;76;5;2;2;4;2;8;31;72.0;1501;68;1;26;5;1501;78;9;13
52;20 - 25 man-years;2001;15;2633;78;9;6;0;2;0;5;32;71.0;1640;64;1;27;8;1640;76;12;12
53;20 - 25 man-years;2003;12;2609;78;10;4;0;3;0;4;32;71.0;1720;64;0;30;6;1720;76;10;14
54;20 - 25 man-years;2005;13;2926;80;9;6;0;3;0;2;32;70.0;1818;63;3;28;6;1818;74;11;15
55;20 - 25 man-years;2007;10;2705;77;13;5;0;2;0;2;32;71.0;1823;64;2;28;6;1823;75;11;14
56;25 - 30 man-years;1993;8;2751;87;8;3;0;0;0;2;34;76.0;1438;72;1;26;1;1436;58;11;31
57;25 - 30 man-years;1995;10;2955;85;8;4;0;2;0;2;35;;1691;68;1;29;2;1694;76;12;12
58;25 - 30 man-years;1997;6;3010;76;13;9;0;0;0;2;36;77.0;1705;67;2;28;3;1675;67;13;20
59;25 - 30 man-years;1999;9;3588;69;5;10;2;5;2;7;38;72.0;1870;64;0;32;4;1870;77;10;13
60;25 - 30 man-years;2001;7;3224;62;8;20;2;6;1;1;44;62.0;2521;64;1;28;7;2521;80;8;12
61;25 - 30 man-years;2003;11;3501;62;7;14;8;8;1;1;42;64.0;2559;60;5;27;8;2559;70;13;17
62;25 - 30 man-years;2005;11;4074;77;10;8;1;4;0;0;42;66.0;2597;67;0;26;7;2597;75;11;14
63;25 - 30 man-years;2007;7;3955;83;10;3;1;3;0;0;40;68.0;2559;68;0;25;7;2559;75;12;13
64;30 man-years and more;1993;20;4194;73;8;14;2;3;1;0;65;77.0;2655;71;0;24;5;2658;51;11;38
65;30 man-years and more;1995;15;5825;66;7;11;3;3;1;9;70;;3231;71;0;25;4;3257;76;11;13
66;30 man-years and more;1997;20;4974;69;7;9;2;3;1;9;67;71.0;3081;70;0;25;5;3081;77;10;13
67;30 man-years and more;1999;17;5616;65;18;11;1;2;1;2;74;72.0;3838;69;1;25;5;3838;77;10;13
68;30 man-years and more;2001;13;6230;56;13;16;2;6;2;5;74;69.0;4673;63;1;22;14;4673;76;9;15
69;30 man-years and more;2003;21;5722;57;12;17;3;7;3;0;74;68.0;4501;63;1;26;10;4501;73;12;15
70;30 man-years and more;2005;19;6458;58;10;11;4;7;2;8;74;61.0;4911;65;2;26;7;4911;71;13;16
71;30 man-years and more;2007;22;6234;55;13;12;4;8;1;6;70;66.0;4953;66;2;24;8;4953;70;14;17
