ID;Perioden;Aardappelen_1;Bier_2;Brood_3;Hamlappen_4;Kaas_5;Eieren_6;Koffie_7;Margarine_8;Melk_9;Riblappen_10;Rijst_11;Roomboter_12;Suiker_13;Thee_14
97;1897;0.01;0.02;0.05;0.24;0.17;0.01;0.21;0.09;0.03;0.26;0.05;0.12;0.16;0.03
98;1898;0.02;0.02;0.05;0.27;0.18;0.01;0.16;0.09;0.03;0.24;0.06;0.12;0.15;0.03
99;1899;0.01;0.02;0.04;0.26;0.19;0.01;0.13;0.11;0.03;0.25;0.05;0.13;0.16;0.04
100;1900;0.01;0.02;0.05;0.25;0.21;0.01;0.16;0.11;0.03;0.26;0.05;0.14;0.16;0.04
101;1901;0.01;0.02;0.05;0.25;0.2;0.01;0.15;0.11;0.03;0.27;0.05;0.14;0.16;0.03
102;1902;0.01;0.02;0.05;0.3;0.21;0.01;0.16;0.15;0.03;0.29;0.05;0.13;0.15;0.04
103;1903;0.02;0.02;0.05;0.29;0.2;0.01;0.13;0.11;0.03;0.31;0.05;0.14;0.15;0.04
104;1904;0.02;0.02;0.05;0.27;0.22;0.02;0.14;0.11;0.03;0.29;0.05;0.14;0.15;0.04
105;1905;0.02;0.02;0.05;0.28;0.21;0.02;0.14;0.13;0.03;0.29;0.05;0.14;0.19;0.03
106;1906;0.02;0.02;0.05;0.31;0.22;0.02;0.15;0.13;0.03;0.3;0.05;0.15;0.17;0.04
107;1907;0.02;0.02;0.05;0.34;0.21;0.02;0.15;0.13;0.03;0.31;0.05;0.14;0.16;0.04
108;1908;0.02;0.02;0.05;0.33;0.23;0.02;0.16;0.16;0.03;0.31;0.06;0.15;0.17;0.04
109;1909;0.02;0.02;0.06;0.35;0.25;0.02;0.18;0.17;0.03;0.32;0.06;0.15;0.17;0.04
110;1910;0.02;0.02;0.06;0.38;0.26;0.02;0.2;0.15;0.03;0.34;0.06;0.15;0.17;0.04
111;1911;0.02;0.02;0.05;0.36;0.29;0.02;0.22;0.13;0.04;0.35;0.06;0.16;0.18;0.04
112;1912;0.02;0.02;0.05;0.35;0.28;0.02;0.24;0.17;0.04;0.37;0.07;0.16;0.19;0.04
113;1913;0.02;0.02;0.06;0.37;0.28;0.02;0.21;0.15;0.04;0.37;0.07;0.16;0.19;0.04
