ID;SITC;GroupsOfCountries;Periods;ImportValue_1;ExportValue_2;BalanceOfTrade_3;ChangeInImportValue_4;ChangeInExportValue_5;ImportValue_6;ExportValue_7;BalanceOfTrade_8;ChangeInImportValue_9;ChangeInExportValue_10
68;Total goods;Total;2007 April;24397.0;26444.0;2047.0;;;24263.0;26723.0;2460.0;8.1;7.3
69;Total goods;Total;2007 May;25829.0;28030.0;2201.0;;;26004.0;28336.0;2333.0;7.4;7.2
70;Total goods;Total;2007 June;25503.0;29008.0;3505.0;;;25730.0;29257.0;3527.0;6.7;7.6
71;Total goods;Total;2007 July;24914.0;27642.0;2728.0;;;25095.0;27865.0;2770.0;10.1;14.4
72;Total goods;Total;2007 August;24875.0;27401.0;2526.0;;;24880.0;27640.0;2760.0;7.3;8.8
73;Total goods;Total;2007 September;25461.0;28899.0;3438.0;;;25437.0;29306.0;3870.0;5.3;6.7
74;Total goods;Total;2007 October;27647.0;31655.0;4008.0;;;27745.0;31917.0;4171.0;8.2;13.2
75;Total goods;Total;2007 November;28382.0;32556.0;4174.0;;;28233.0;32911.0;4678.0;10.5;12.7
76;Total goods;Total;2007 December;25259.0;28463.0;3204.0;;;25189.0;28702.0;3513.0;6.6;6.6
77;Total goods;Total;2007;306826.0;344311.0;37485.0;;;307279.0;347510.0;40231.0;7.7;9.0
78;Total goods;Total;2008 January;28100.0;31025.0;2925.0;;;;;;;
79;Total goods;Total;2008 February;27900.0;31068.0;3168.0;;;;;;;
80;Total goods;Total;2008 March;28078.0;31619.0;3541.0;;;;;;;
81;Total goods;Total;2008 April;28479.0;32020.0;3541.0;;;;;;;
82;Total goods;Total;2008 May;28156.0;30467.0;2311.0;;;;;;;
83;Total goods;Total;2008 June;29219.0;31960.0;2742.0;;;;;;;
84;Total goods;Total;2008 July;28782.0;31389.0;2607.0;;;;;;;
85;Total goods;Total;2008 August;27078.0;28863.0;1784.0;;;;;;;
86;Total goods;Total;2008 September;30031.0;33143.0;3112.0;;;;;;;
87;Total goods;Total;2008 October;29579.0;33350.0;3772.0;;;;;;;
88;Total goods;Total;2008 November;26532.0;29079.0;2548.0;;;;;;;
89;Total goods;Total;2008 December;23995.0;26505.0;2511.0;;;;;;;
90;Total goods;Total;2008;335927.0;370489.0;34562.0;;;;;;;
91;Total goods;Total;2009 January;22067.0;24975.0;2908.0;-21.5;-19.5;;;;;
92;Total goods;Total;2009 February;21818.0;24644.0;2826.0;-21.8;-20.7;;;;;
93;Total goods;Total;2009 March;23787.0;26626.0;2839.0;-15.3;-15.8;;;;;
94;Total goods;Total;2009 April;21551.0;23977.0;2426.0;-24.3;-25.1;;;;;
95;Total goods;Total;2009 May;21309.0;23898.0;2589.0;-24.3;-21.6;;;;;
96;Total goods;Total;2009 June;22395.0;25583.0;3188.0;-23.4;-20.0;;;;;
97;Total goods;Total;2009 July;22906.0;25974.0;3068.0;-20.4;-17.3;;;;;
98;Total goods;Total;2009 August;21430.0;23529.0;2099.0;-20.9;-18.5;;;;;
99;Total goods;Total;2009 September;23492.0;27491.0;3999.0;-21.8;-17.1;;;;;
100;Total goods;Total;2009 October;24144.0;28053.0;3910.0;-18.4;-15.9;;;;;
101;Total goods;Total;2009 November;24438.0;27913.0;3475.0;-7.9;-4.0;;;;;
102;Total goods;Total;2009 December;24689.0;26706.0;2017.0;2.9;0.8;;;;;
103;Total goods;Total;2009;274025.0;309369.0;35344.0;-18.4;-16.5;;;;;
104;Total goods;Total;2010 January;24569.0;26788.0;2219.0;11.3;7.3;;;;;
105;Total goods;Total;2010 February;23754.0;27600.0;3846.0;8.9;12.0;;;;;
106;Total goods;Total;2010 March;28473.0;32770.0;4297.0;19.7;23.1;;;;;
107;Total goods;Total;2010 April;27051.0;29623.0;2572.0;25.5;23.5;;;;;
108;Total goods;Total;2010 May;27081.0;29300.0;2218.0;27.1;22.6;;;;;
109;Total goods;Total;2010 June;29635.0;32152.0;2518.0;32.3;25.7;;;;;
110;Total goods;Total;2010 July;27715.0;30700.0;2984.0;21.0;18.2;;;;;
111;Total goods;Total;2010 August;26373.0;29463.0;3090.0;23.1;25.2;;;;;
112;Total goods;Total;2010 September;28009.0;32709.0;4700.0;19.2;19.0;;;;;
113;Total goods;Total;2010 October;29472.0;32823.0;3351.0;22.1;17.0;;;;;
114;Total goods;Total;2010 November;30005.0;34073.0;4067.0;22.8;22.1;;;;;
115;Total goods;Total;2010 December;29777.0;33551.0;3774.0;20.6;25.6;;;;;
116;Total goods;Total;2010;331914.0;371549.0;39636.0;21.1;20.1;;;;;
117;Total goods;Total;2011 January;28886.0;32168.0;3282.0;17.6;20.1;;;;;
118;Total goods;Total;2011 February;28549.0;32833.0;4284.0;20.2;19.0;;;;;
119;Total goods;Total;2011 March;33348.0;37341.0;3993.0;17.1;13.9;;;;;
120;Total goods;Total;2011 April;29017.0;33747.0;4729.0;7.3;13.9;;;;;
121;Total goods;Total;2011 May;30924.0;34482.0;3558.0;14.2;17.7;;;;;
122;Total goods;Total;2011 June;30435.0;33309.0;2874.0;2.7;3.6;;;;;
123;Total goods;Total;2011 July;29431.0;33057.0;3627.0;6.2;7.7;;;;;
124;Total goods;Total;2011 August;30290.0;32809.0;2519.0;14.9;11.4;;;;;
125;Total goods;Total;2011 September;31286.0;35316.0;4030.0;11.7;8.0;;;;;
126;Total goods;Total;2011 October;30622.0;33989.0;3367.0;3.9;3.6;;;;;
127;Total goods;Total;2011 November;31742.0;35799.0;4057.0;5.8;5.1;;;;;
128;Total goods;Total;2011 December;30391.0;34508.0;4117.0;2.1;2.9;;;;;
129;Total goods;Total;2011;364922.0;409358.0;44437.0;9.9;10.2;;;;;
130;Total goods;Total;2012 January;30740.0;34646.0;3907.0;6.4;7.7;;;;;
131;Total goods;Total;2012 February;32086.0;35203.0;3118.0;12.4;7.2;;;;;
132;Total goods;Total;2012 March;33947.0;38084.0;4137.0;1.8;2.0;;;;;
133;Total goods;Total;2012 April;31312.0;35005.0;3692.0;7.9;3.7;;;;;
134;Total goods;Total;2012 May;33239.0;36734.0;3495.0;7.5;6.5;;;;;
135;Total goods;Total;2012 June;32362.0;35716.0;3355.0;6.3;7.2;;;;;
136;Total goods;Total;2012 July;32170.0;34543.0;2373.0;9.3;4.5;;;;;
137;Total goods;Total;2012 August;32665.0;34340.0;1675.0;7.8;4.7;;;;;
138;Total goods;Total;2012 September;31412.0;35094.0;3682.0;0.4;-0.6;;;;;
139;Total goods;Total;2012 October;34891.0;38730.0;3840.0;13.9;13.9;;;;;
140;Total goods;Total;2012 November;33919.0;37805.0;3886.0;6.9;5.6;;;;;
141;Total goods;Total;2012 December;30706.0;33815.0;3109.0;1.0;-2.0;;;;;
142;Total goods;Total;2012;389449.0;429717.0;40268.0;6.7;5.0;;;;;
143;Total goods;Total;2013 January;32846.0;36486.0;3640.0;6.9;5.3;;;;;
144;Total goods;Total;2013 February;31368.0;34960.0;3592.0;-2.2;-0.7;;;;;
145;Total goods;Total;2013 March;33130.0;38054.0;4924.0;-2.4;-0.1;;;;;
146;Total goods;Total;2013 April;31665.0;35283.0;3618.0;1.1;0.8;;;;;
147;Total goods;Total;2013 May;33139.0;37361.0;4222.0;-0.3;1.7;;;;;
148;Total goods;Total;2013 June;32201.0;35536.0;3335.0;-0.5;-0.5;;;;;
149;Total goods;Total;2013 July;32230.0;36103.0;3873.0;0.2;4.5;;;;;
150;Total goods;Total;2013 August;30287.0;33886.0;3598.0;-7.3;-1.3;;;;;
151;Total goods;Total;2013 September;31918.0;35416.0;3498.0;1.6;0.9;;;;;
152;Total goods;Total;2013 October;33853.0;38053.0;4200.0;-3.0;-1.7;;;;;
153;Total goods;Total;2013 November;32232.0;37181.0;4949.0;-5.0;-1.7;;;;;
154;Total goods;Total;2013 December;31484.0;34787.0;3303.0;2.5;2.9;;;;;
155;Total goods;Total;2013;386355.0;433106.0;46751.0;-0.8;0.8;;;;;
156;Total goods;Total;2014 January;31902.0;36074.0;4173.0;-2.9;-1.1;;;;;
157;Total goods;Total;2014 February;30260.0;34966.0;4706.0;-3.5;0.0;;;;;
158;Total goods;Total;2014 March;32823.0;37482.0;4659.0;-0.9;-1.5;;;;;
159;Total goods;Total;2014 April;32018.0;36109.0;4090.0;1.1;2.3;;;;;
160;Total goods;Total;2014 May;32100.0;35520.0;3420.0;-3.1;-4.9;;;;;
161;Total goods;Total;2014 June;31952.0;36123.0;4171.0;-0.8;1.7;;;;;
162;Total goods;Total;2014 July;33274.0;36256.0;2983.0;3.2;0.4;;;;;
163;Total goods;Total;2014 August;29491.0;32456.0;2966.0;-2.6;-4.2;;;;;
164;Total goods;Total;2014 September;32751.0;37748.0;4997.0;2.6;6.6;;;;;
165;Total goods;Total;2014 October;33643.0;38461.0;4818.0;-0.6;1.1;;;;;
166;Total goods;Total;2014 November;31226.0;36344.0;5118.0;-3.1;-2.3;;;;;
167;Total goods;Total;2014 December;30976.0;35865.0;4888.0;-1.6;3.1;;;;;
168;Total goods;Total;2014;382416.0;433405.0;50989.0;-1.0;0.1;;;;;
169;Total goods;Total;2015 January;28306.0;33055.0;4749.0;;;;;;;
170;Total goods;Total;2015 February;28560.0;33473.0;4913.0;;;;;;;
171;Total goods;Total;2015 March;34021.0;37198.0;3177.0;;;;;;;
172;Total goods;Total;2015 April;31602.0;35240.0;3637.0;;;;;;;
173;Total goods;Total;2015 May;30740.0;33567.0;2827.0;;;;;;;
174;Total goods;Total;2015 June;32881.0;37623.0;4742.0;;;;;;;
175;Total goods;Total;2015 July;32015.0;36154.0;4138.0;;;;;;;
176;Total goods;Total;2015 August;28752.0;31689.0;2937.0;;;;;;;
177;Total goods;Total;2015 September;31059.0;35185.0;4126.0;;;;;;;
178;Total goods;Total;2015 October;31686.0;35428.0;3741.0;;;;;;;
179;Total goods;Total;2015 November;31018.0;35464.0;4446.0;;;;;;;
180;Total goods;Total;2015 December;31554.0;34907.0;3354.0;;;;;;;
181;Total goods;Total;2015;372195.0;418982.0;46787.0;;;;;;;
182;Total goods;Total;2016 January;27905.0;32235.0;4331.0;-1.4;-2.5;;;;;
183;Total goods;Total;2016 February;29404.0;33078.0;3674.0;3.0;-1.2;;;;;
184;Total goods;Total;2016 March;30801.0;36031.0;5230.0;-9.5;-3.1;;;;;
185;Total goods;Total;2016 April;30062.0;34663.0;4600.0;-4.9;-1.6;;;;;
186;Total goods;Total;2016 May;30056.0;34453.0;4397.0;-2.2;2.6;;;;;
187;Total goods;Total;2016 June;31931.0;36850.0;4919.0;-2.9;-2.1;;;;;
188;Total goods;Total;2016 July;29135.0;33620.0;4485.0;-9.0;-7.0;;;;;
189;Total goods;Total;2016 August;29552.0;33559.0;4007.0;2.8;5.9;;;;;
190;Total goods;Total;2016 September;32134.0;36739.0;4605.0;3.5;4.4;;;;;
191;Total goods;Total;2016 October;31901.0;35705.0;3803.0;0.7;0.8;;;;;
192;Total goods;Total;2016 November;33358.0;38679.0;5321.0;7.6;9.1;;;;;
193;Total goods;Total;2016 December;32621.0;37616.0;4995.0;3.4;7.8;;;;;
194;Total goods;Total;2016;368861.0;423228.0;54367.0;-0.9;1.0;;;;;
195;Total goods;Total;2017 January;33215.0;37790.0;4574.0;19.0;17.2;;;;;
196;Total goods;Total;2017 February;32372.0;37422.0;5050.0;10.1;13.1;;;;;
197;Total goods;Total;2017 March;37060.0;43551.0;6492.0;20.3;20.9;;;;;
198;Total goods;Total;2017 April;31675.0;35548.0;3873.0;5.4;2.6;;;;;
199;Total goods;Total;2017 May;35179.0;39851.0;4672.0;17.0;15.7;;;;;
200;Total goods;Total;2017 June;34314.0;40649.0;6335.0;7.5;10.3;;;;;
201;Total goods;Total;2017 July;32083.0;36814.0;4731.0;10.1;9.5;;;;;
202;Total goods;Total;2017 August;33148.0;36767.0;3619.0;12.2;9.6;;;;;
203;Total goods;Total;2017 September;33562.0;39350.0;5789.0;4.4;7.1;;;;;
204;Total goods;Total;2017 October;34811.0;39335.0;4525.0;9.1;10.2;;;;;
205;Total goods;Total;2017 November;37051.0;42232.0;5180.0;11.1;9.2;;;;;
206;Total goods;Total;2017 December;34415.0;38125.0;3711.0;5.5;1.4;;;;;
207;Total goods;Total;2017;408885.0;467434.0;58550.0;10.9;10.4;;;;;
208;Total goods;Total;2018 January;36787.0;40662.0;3875.0;10.8;7.6;;;;;
209;Total goods;Total;2018 February;34448.0;38896.0;4448.0;6.4;3.9;;;;;
210;Total goods;Total;2018 March;37320.0;43483.0;6163.0;0.7;-0.2;;;;;
211;Total goods;Total;2018 April;35009.0;38604.0;3595.0;10.5;8.6;;;;;
212;Total goods;Total;2018 May;36725.0;42078.0;5353.0;4.4;5.6;;;;;
213;Total goods;Total;2018 June;36848.0;42093.0;5246.0;7.4;3.6;;;;;
214;Total goods;Total;2018 July;36199.0;40511.0;4312.0;12.8;10.0;;;;;
215;Total goods;Total;2018 August;36848.0;40700.0;3853.0;11.2;10.7;;;;;
216;Total goods;Total;2018 September;36231.0;42142.0;5911.0;8.0;7.1;;;;;
217;Total goods;Total;2018 October;40534.0;44843.0;4309.0;16.4;14.0;;;;;
218;Total goods;Total;2018 November;38645.0;44865.0;6220.0;4.3;6.2;;;;;
219;Total goods;Total;2018 December;35681.0;38998.0;3316.0;3.7;2.3;;;;;
220;Total goods;Total;2018;441275.0;497874.0;56600.0;7.9;6.5;;;;;
221;Total goods;Total;2019 January;38632.0;41347.0;2715.0;5.0;1.7;;;;;
222;Total goods;Total;2019 February;36042.0;41121.0;5079.0;4.6;5.7;;;;;
223;Total goods;Total;2019 March;39618.0;45245.0;5628.0;6.2;4.1;;;;;
224;Total goods;Total;2019 April;39106.0;42751.0;3645.0;11.7;10.7;;;;;
225;Total goods;Total;2019 May;39665.0;44752.0;5087.0;8.0;6.4;;;;;
226;Total goods;Total;2019 June;36951.0;41632.0;4681.0;0.3;-1.1;;;;;
227;Total goods;Total;2019 July;38313.0;42386.0;4073.0;5.8;4.6;;;;;
228;Total goods;Total;2019 August;35797.0;39998.0;4201.0;-2.9;-1.7;;;;;
229;Total goods;Total;2019 September;38080.0;43269.0;5189.0;5.1;2.7;;;;;
230;Total goods;Total;2019 October;40506.0;46695.0;6189.0;-0.1;4.1;;;;;
231;Total goods;Total;2019 November;39260.0;43817.0;4557.0;1.6;-2.3;;;;;
232;Total goods;Total;2019 December;37924.0;42251.0;4327.0;6.3;8.3;;;;;
233;Total goods;Total;2019;459893.0;515264.0;55371.0;4.2;3.5;;;;;
234;Total goods;Total;2020 January;38840.0;43337.0;4497.0;0.5;4.8;;;;;
235;Total goods;Total;2020 February;35573.0;41329.0;5756.0;-1.3;0.5;;;;;
236;Total goods;Total;2020 March;37322.0;43084.0;5762.0;-5.8;-4.8;;;;;
237;Total goods;Total;2020 April;30694.0;33853.0;3159.0;-21.5;-20.8;;;;;
238;Total goods;Total;2020 May;30482.0;33936.0;3454.0;-23.2;-24.2;;;;;
239;Total goods;Total;2020 June;35258.0;39223.0;3965.0;-4.6;-5.8;;;;;
240;Total goods;Total;2020 July;34791.0;40204.0;5414.0;-9.2;-5.1;;;;;
241;Total goods;Total;2020 August;31920.0;35743.0;3823.0;-10.8;-10.6;;;;;
242;Total goods;Total;2020 September;36745.0;42070.0;5324.0;-3.5;-2.8;;;;;
243;Total goods;Total;2020 October;36895.0;43968.0;7073.0;-8.9;-5.8;;;;;
244;Total goods;Total;2020 November;37559.0;43313.0;5754.0;-4.3;-1.1;;;;;
245;Total goods;Total;2020 December;37745.0;42653.0;4908.0;-0.5;1.0;;;;;
246;Total goods;Total;2020;423823.0;482713.0;58890.0;-7.8;-6.3;;;;;
247;Total goods;Total;2021 January;35574.0;40957.0;5383.0;-8.4;-5.5;;;;;
248;Total goods;Total;2021 February;36247.0;42299.0;6051.0;1.9;2.3;;;;;
249;Total goods;Total;2021 March;44799.0;51751.0;6952.0;20.0;20.1;;;;;
250;Total goods;Total;2021 April;41658.0;46448.0;4790.0;35.7;37.2;;;;;
251;Total goods;Total;2021 May;40738.0;46097.0;5359.0;33.6;35.8;;;;;
252;Total goods;Total;2021 June;44033.0;50799.0;6766.0;24.9;29.5;;;;;
253;Total goods;Total;2021 July;43261.0;48890.0;5629.0;24.3;21.6;;;;;
254;Total goods;Total;2021 August;42955.0;47161.0;4206.0;34.6;31.9;;;;;
255;Total goods;Total;2021 September;46421.0;52181.0;5760.0;26.3;24.0;;;;;
256;Total goods;Total;2021 October;47884.0;51337.0;3454.0;29.8;16.8;;;;;
257;Total goods;Total;2021 November;52262.0;56529.0;4267.0;39.1;30.5;;;;;
258;Total goods;Total;2021 December;51223.0;54753.0;3530.0;35.7;28.4;;;;;
259;Total goods;Total;2021;527055.0;589202.0;62147.0;24.4;22.1;;;;;
260;Total goods;Total;2022 January;46956.0;49541.0;2585.0;;;;;;;
261;Total goods;Total;2022 February;45549.0;48928.0;3379.0;;;;;;;
262;Total goods;Total;2022 March;56146.0;60342.0;4196.0;;;;;;;
263;Total goods;Total;2022 April;53801.0;57119.0;3318.0;;;;;;;
264;Total goods;Total;2022 May;58232.0;61718.0;3486.0;;;;;;;
265;Total goods;Total;2022 June;58501.0;63670.0;5170.0;;;;;;;
266;Total goods;Total;2022 July;54348.0;58903.0;4555.0;;;;;;;
267;Total goods;Total;2022 August;58215.0;60227.0;2012.0;;;;;;;
268;Total goods;Total;2022 September;61086.0;67557.0;6471.0;;;;;;;
269;Total goods;Total;2022 October;61949.0;66060.0;4111.0;;;;;;;
270;Total goods;Total;2022 January-October;554782.0;594065.0;39283.0;;;;;;;
271;Total goods;European Union (excl. the Netherlands);2002 January;;;;;;9356.0;14271.0;4914.0;-9.1;-11.5
272;Total goods;European Union (excl. the Netherlands);2002 February;;;;;;9337.0;14013.0;4676.0;-7.7;-9.6
273;Total goods;European Union (excl. the Netherlands);2002 March;;;;;;10149.0;15912.0;5763.0;-7.8;-10.0
274;Total goods;European Union (excl. the Netherlands);2002 April;;;;;;9788.0;14290.0;4502.0;1.8;-5.2
275;Total goods;European Union (excl. the Netherlands);2002 May;;;;;;9770.0;14744.0;4974.0;-6.3;-10.1
276;Total goods;European Union (excl. the Netherlands);2002 June;;;;;;9911.0;14721.0;4810.0;-4.2;-10.3
277;Total goods;European Union (excl. the Netherlands);2002 July;;;;;;9429.0;13918.0;4488.0;-1.9;-3.3
278;Total goods;European Union (excl. the Netherlands);2002 August;;;;;;8775.0;13263.0;4488.0;-1.8;-6.4
279;Total goods;European Union (excl. the Netherlands);2002 September;;;;;;10189.0;15660.0;5471.0;6.3;0.7
280;Total goods;European Union (excl. the Netherlands);2002 October;;;;;;10529.0;15629.0;5099.0;4.4;-1.4
281;Total goods;European Union (excl. the Netherlands);2002 November;;;;;;9914.0;15113.0;5199.0;-0.6;-2.7
282;Total goods;European Union (excl. the Netherlands);2002 December;;;;;;9790.0;14526.0;4736.0;5.6;-0.6
283;Total goods;European Union (excl. the Netherlands);2002;;;;;;116938.0;176060.0;59122.0;-2.0;-6.0
284;Total goods;European Union (excl. the Netherlands);2003 January;;;;;;9625.0;15132.0;5507.0;2.9;6.0
285;Total goods;European Union (excl. the Netherlands);2003 February;;;;;;9729.0;14908.0;5179.0;4.2;6.4
286;Total goods;European Union (excl. the Netherlands);2003 March;;;;;;10589.0;16167.0;5578.0;4.3;1.6
287;Total goods;European Union (excl. the Netherlands);2003 April;;;;;;9611.0;14122.0;4511.0;-1.8;-1.2
288;Total goods;European Union (excl. the Netherlands);2003 May;;;;;;9388.0;13985.0;4597.0;-3.9;-5.1
289;Total goods;European Union (excl. the Netherlands);2003 June;;;;;;9510.0;14236.0;4727.0;-4.1;-3.3
290;Total goods;European Union (excl. the Netherlands);2003 July;;;;;;9690.0;13921.0;4231.0;2.8;0.0
291;Total goods;European Union (excl. the Netherlands);2003 August;;;;;;8434.0;12394.0;3960.0;-3.9;-6.6
292;Total goods;European Union (excl. the Netherlands);2003 September;;;;;;9844.0;15454.0;5611.0;-3.4;-1.3
293;Total goods;European Union (excl. the Netherlands);2003 October;;;;;;10601.0;16146.0;5545.0;0.7;3.3
294;Total goods;European Union (excl. the Netherlands);2003 November;;;;;;9942.0;15107.0;5165.0;0.3;0.0
295;Total goods;European Union (excl. the Netherlands);2003 December;;;;;;10229.0;14593.0;4364.0;4.5;0.5
296;Total goods;European Union (excl. the Netherlands);2003;;;;;;117192.0;176166.0;58974.0;0.2;0.1
297;Total goods;European Union (excl. the Netherlands);2004 January;;;;;;9381.0;14695.0;5313.0;;
298;Total goods;European Union (excl. the Netherlands);2004 February;;;;;;9635.0;14513.0;4878.0;;
299;Total goods;European Union (excl. the Netherlands);2004 March;;;;;;11228.0;17071.0;5843.0;;
300;Total goods;European Union (excl. the Netherlands);2004 April;;;;;;9999.0;15179.0;5180.0;;
301;Total goods;European Union (excl. the Netherlands);2004 May;;;;;;10090.0;15460.0;5370.0;;
302;Total goods;European Union (excl. the Netherlands);2004 June;;;;;;11622.0;17173.0;5551.0;;
303;Total goods;European Union (excl. the Netherlands);2004 July;;;;;;10533.0;15939.0;5406.0;;
304;Total goods;European Union (excl. the Netherlands);2004 August;;;;;;9965.0;15004.0;5039.0;;
305;Total goods;European Union (excl. the Netherlands);2004 September;;;;;;11567.0;18216.0;6649.0;;
306;Total goods;European Union (excl. the Netherlands);2004 October;;;;;;11321.0;17848.0;6526.0;;
307;Total goods;European Union (excl. the Netherlands);2004 November;;;;;;11686.0;18029.0;6343.0;;
308;Total goods;European Union (excl. the Netherlands);2004 December;;;;;;11747.0;17281.0;5534.0;;
309;Total goods;European Union (excl. the Netherlands);2004;;;;;;130253.0;198515.0;68262.0;;
310;Total goods;European Union (excl. the Netherlands);2005 January;;;;;;10596.0;16706.0;6110.0;;
311;Total goods;European Union (excl. the Netherlands);2005 February;;;;;;10751.0;16750.0;5999.0;;
